Id	roleId	type	initOpenAbility	starUnlock	capabilityValue	status
90402202	904022	2	61904022		0;60;120;180;240;300;360	1
90402501	904025	1			0;40;80;80;160;160;240;240;320;400	1
90402502	904025	2	61904025		0;60;120;180;240;300;360	1
90402601	904026	1			0;40;80;80;160;160;240;240;320;400	1
90402602	904026	2	61904026		0;60;120;180;240;300;360	1
90403101	904031	1			0;40;80;80;160;160;240;240;320;400	1
90403102	904031	2	61904031		0;60;120;180;240;300;360	1
90403301	904033	1			0;40;80;80;160;160;240;240;320;400	1
90403302	904033	2	61904033		0;60;120;180;240;300;360	1
90403401	904034	1			0;40;80;80;160;160;240;240;320;400	1
90403402	904034	2	61904034		0;60;120;180;240;300;360	1
90404101	904041	1			0;40;80;80;160;160;240;240;320;400	1
90404102	904041	2	61904041		0;60;120;180;240;300;360	1
90404301	904043	1			0;40;80;80;160;160;240;240;320;400	1
90404302	904043	2	61904043		0;60;120;180;240;300;360	1
90800201	908002	1			0;40;80;80;160;160;240;240;320;400	1
90800202	908002	2	61908002		0;60;120;180;240;300;360	1
90800203	908002	3	73100011	3	500	1
90800204	908002	3	75908002	5	1000	1
11500801	115008	1			0;40;80;80;160;160;240;240;320;400	1
11500802	115008	2	61115008		0;60;120;180;240;300;360	1
12700801	127008	1			0;40;80;80;160;160;240;240;320;400	1
12700802	127008	2	61127008		0;60;120;180;240;300;360	1
12700803	127008	3	73100008	3	500	1
12700804	127008	3	75127008	5	1000	1
13000801	130008	1			0;40;80;80;160;160;240;240;320;400	1
13000802	130008	2	61130008		0;60;120;180;240;300;360	1
13000803	130008	3	73100011	3	500	1
13000804	130008	3	75130008	5	1000	1
13100801	131008	1			0;40;80;80;160;160;240;240;320;400	1
13100802	131008	2	61131008		0;60;120;180;240;300;360	1
13100803	131008	3	73100008	3	500	1
13100804	131008	3	75131008	5	1000	1
11700801	117008	1			0;40;80;80;160;160;240;240;320;400	1
11700802	117008	2	61117008		0;60;120;180;240;300;360	1
11700803	117008	3	73100011	3	500	1
11700804	117008	3	75117008	5	1000	1
10300601	103006	1			0;40;80;80;160;160;240;240;320;400	1
10300602	103006	2	61103006		0;60;120;180;240;300;360	1
10300603	103006	3	73100011	3	500	1
10300604	103006	3	75103006	5	1000	1
10500401	105004	1			0;40;80;80;160;160;240;240;320;400	1
10500402	105004	2	61105004		0;60;120;180;240;300;360	1
10600901	106009	1			0;40;80;80;160;160;240;240;320;400	1
10600902	106009	2	61106009		0;60;120;180;240;300;360	1
10600903	106009	3	73100008	3	500	1
10600904	106009	3	75106009	5	1000	1
10701001	107010	1			0;40;80;80;160;160;240;240;320;400	1
10701002	107010	2	61107010		0;60;120;180;240;300;360	1
10701003	107010	3	73100006	3	500	1
10701004	107010	3	75107010	5	1000	1
10101301	101013	1			0;40;80;80;160;160;240;240;320;400	1
10101302	101013	2	61101013		0;60;120;180;240;300;360	1
10101303	101013	3	73100011	3	500	1
10101304	101013	3	75101013	5	1000	1
12900801	129008	1			0;40;80;80;160;160;240;240;320;400	1
12900802	129008	2	61129008		0;60;120;180;240;300;360	1
