weaponmainId	roleId	weaponLV	card	desc	effectMode	property	weaponskill	weaponunlock	weaponItem	weaponItemNum	capabilityValue	status	upgrade	upgrade_zh_TW	upgrade_en_UK	upgrade_ja_JP	upgrade_ko_KR	upgrade_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
102021010	102021	10	完美效劳				310202103		4105011;4105012;4105013;4105023;3000003	14;24;14;15;50000	990	1	[自动除污]破裂伤害提高8%	[自動除汙]破裂傷害提高8%	[Auto Cleaning]: Overload DMG +8%.	[除染モード]超会心ダメージ＋8%	[자동 청소] 파열 대미지 8% 증가	[​เช็ด​ล้าง​อัตโนมัติ​]​ ดา​เม​จ​ฉีก​กระชาก​เพิ่มขึ้น​ 8%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021011	102021	11	完美效劳			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	80	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021012	102021	12	完美效劳			603@0.07			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	950	1	暴击率+7%	爆擊率+7%	CRIT Rate +7%	会心率＋7%	크리티컬 확률 +7%	อัตราคริติคอล+7%	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021013	102021	13	完美效劳			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	120	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021014	102021	14	完美效劳			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	140	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021015	102021	15	完美效劳				310202104		4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	1090	1	释放[定点清洗]技能前穿透率提高8%	釋放[定點清洗]技能前穿透率提高8%	Increases Armor PEN by 8% before unleashing [Targeted Washing].	[洗濯モード]発動前、貫通率＋8%	[포인트 클리어링] 스킬 시전 시 관통률 +8%	เพิ่ม​อัตรา​เจาะ​เกราะ​ขึ้น​ 8%​ ก่อนที่จะ​ใช้​สกิล​ [​ซักล้าง​เฉพาะ​จุด​]​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021016	102021	16	完美效劳			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	190	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021017	102021	17	完美效劳			1203@0.05			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	1060	1	穿透率+5%	穿透率+5%	Armor PEN +5%	貫通率＋5%	관통률 +5%	อัตราเจาะเกราะ +5%	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021018	102021	18	完美效劳			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	230	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021019	102021	19	完美效劳			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	250	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
102021020	102021	20	完美效劳			703@0.1		1	4105011;4105012;4105013;4105031;3000003	60;100;60;1;50000	1140	1	暴击伤害+10%	爆擊傷害+10%	CRIT DMG +10%	会心ダメージ＋10%	크리티컬 대미지 +10%	ดาเมจคริติคอล+10%	家政助理	家政助理	Cleaner Bots	家事ヘルパー	가사 도우미	ผู้ช่วยกวาดล้าง
103006001	103006	1	疯人院				310300601		4105011;4105012;4105013;4105023;3000003	10;10;10;5;50000	800	1	[赤红连袭]的愤怒伤害加成*10%	[赤紅連襲]的憤怒傷害加成*10%	[Scarlet Barrage]'s Fury DMG bonus *10%.	[クリムゾンアタック]憤怒ダメージ＋10%	[레드 콤보 어택]의 분노 대미지 버프 *10%	เพิ่ม​โบนัส​ดา​เม​จ​เดือดดาล​ของ​ [​การ​จู่โจม​สี​ชาด​]​ *10%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006002	103006	2	疯人院			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	12;12;12;6;50000	160	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006003	103006	3	疯人院			603@0.07			4105011;4105012;4105013;4105023;3000003	14;14;14;7;50000	760	1	暴击率+7%	爆擊率+7%	CRIT Rate +7%	会心率＋7%	크리티컬 확률 +7%	อัตราคริติคอล+7%	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006004	103006	4	疯人院			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	16;16;16;8;50000	200	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006005	103006	5	疯人院				310300602		4105011;4105012;4105013;4105023;3000003	18;18;18;9;50000	880	1	[被动：断罪]自身所有能力额外+0.6%	[被動：斷罪]自身所有能力額外+0.6%	[Passive: Judgement]: Increases this Combatant's all attributes by an additional 0.6%.	[パッシブ:断罪]自身のすべての能力＋0.6%	[패시브:단죄] 효과 적용 시 추가로 자체 모든 속성 +0.6%	[​พาส​ซี​ฟ​:​นักโทษ​]​ ทักษะ​ทั้งหมด​ของ​ตนเอง​ +0.6%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006006	103006	6	疯人院			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	20;20;20;10;50000	250	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006007	103006	7	疯人院			1203@0.05			4105011;4105012;4105013;4105023;3000003	21;21;21;11;50000	850	1	穿透率+5%	穿透率+5%	Armor PEN +5%	貫通率＋5%	관통률 +5%	อัตราเจาะเกราะ +5%	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006008	103006	8	疯人院			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	22;22;22;13;50000	290	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006009	103006	9	疯人院			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	23;23;23;15;50000	310	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006010	103006	10	疯人院				310300603		4105011;4105012;4105013;4105023;3000003	24;24;24;15;50000	990	1	[赤红连袭]的愤怒伤害加成*10%	[赤紅連襲]的憤怒傷害加成*10%	[Scarlet Barrage]'s Fury DMG bonus *10%.	[クリムゾンアタック]憤怒ダメージ＋10%	[레드 콤보 어택]의 분노 대미지 버프 *10%	เพิ่ม​โบนัส​ดา​เม​จ​เดือดดาล​ของ​ [​การ​จู่โจม​สี​ชาด​]​ *10%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006011	103006	11	疯人院			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	25;25;25;15;50000	80	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006012	103006	12	疯人院			603@0.07			4105011;4105012;4105013;4105023;3000003	25;25;25;15;50000	950	1	暴击率+7%	爆擊率+7%	CRIT Rate +7%	会心率＋7%	크리티컬 확률 +7%	อัตราคริติคอล+7%	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006013	103006	13	疯人院			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	25;25;25;15;50000	120	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006014	103006	14	疯人院			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	25;25;25;15;50000	140	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006015	103006	15	疯人院				310300604		4105011;4105012;4105013;4105023;3000003	25;25;25;15;50000	1090	1	[被动：断罪]自身所有能力额外+0.6%	[被動：斷罪]自身所有能力額外+0.6%	[Passive: Judgement]: Increases this Combatant's all attributes by an additional 0.6%.	[パッシブ:断罪]自身のすべての能力＋0.6%	[패시브:단죄] 효과 적용 시 추가로 자체 모든 속성 +0.6%	[​พาส​ซี​ฟ​:​นักโทษ​]​ ทักษะ​ทั้งหมด​ของ​ตนเอง​ +0.6%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006016	103006	16	疯人院			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	25;25;25;15;50000	190	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006017	103006	17	疯人院			1203@0.05			4105011;4105012;4105013;4105023;3000003	25;25;25;15;50000	1060	1	穿透率+5%	穿透率+5%	Armor PEN +5%	貫通率＋5%	관통률 +5%	อัตราเจาะเกราะ +5%	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006018	103006	18	疯人院			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	25;25;25;15;50000	230	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006019	103006	19	疯人院			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	25;25;25;15;50000	250	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
103006020	103006	20	疯人院			703@0.1		1	4105011;4105012;4105013;4105031;3000003	100;100;100;1;50000	1140	1	暴击伤害+10%	爆擊傷害+10%	CRIT DMG +10%	会心ダメージ＋10%	크리티컬 대미지 +10%	ดาเมจคริติคอล+10%	斩念断罪	斬念斷罪	Shears of Sin	断罪の刃	단죄의 참념	ดาบพิพากษา
106009001	106009	1	耀夜之星				310600901		4105011;4105012;4105013;4105023;3000003	5;10;5;5;50000	800	1	[星芒爆闪]真实伤害提高8%	[星芒爆閃]真實傷害提高8%	[Starburst]'s True DMG +8%.	[スパークルスター]直撃ダメージ＋8%	[초신성 폭발] 고정 대미지 +8%	[​ประกาย​ดาว​จรัส​]​ ดา​เม​จ​จริง​เพิ่มขึ้น​ 8%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009002	106009	2	耀夜之星			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	6;12;6;6;50000	160	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009003	106009	3	耀夜之星			603@0.07			4105011;4105012;4105013;4105023;3000003	7;14;7;7;50000	760	1	暴击率+7%	爆擊率+7%	CRIT Rate +7%	会心率＋7%	크리티컬 확률 +7%	อัตราคริติคอล+7%	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009004	106009	4	耀夜之星			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	8;16;8;8;50000	200	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009005	106009	5	耀夜之星				310600902		4105011;4105012;4105013;4105023;3000003	9;18;9;9;50000	880	1	[电磁空域]提供的攻击力额外增加3%	[電磁空域]提供的攻擊力額外增加3%	[Magnetic Field] grants an additional 3% ATK boost.	[電磁波空域]攻撃力＋3%	[자기장 공간] 공격력 추가 +3%	[​สนามแม่เหล็ก​ไฟฟ้า​]​ เพิ่ม​ ATK​ เพิ่มเติม​อีก​ 3%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009006	106009	6	耀夜之星			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	10;20;10;10;50000	250	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009007	106009	7	耀夜之星			1203@0.05			4105011;4105012;4105013;4105023;3000003	11;21;11;11;50000	850	1	穿透率+5%	穿透率+5%	Armor PEN +5%	貫通率＋5%	관통률 +5%	อัตราเจาะเกราะ +5%	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009008	106009	8	耀夜之星			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	12;22;12;13;50000	290	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009009	106009	9	耀夜之星			102@0.015;202@0.015;302@0.02			4105011;4105012;4105013;4105023;3000003	13;23;13;15;50000	310	1	攻击力+1.5%,防御力+1.5%\n生命值+2%	攻擊力+1.5%,防禦力+1.5%\n生命值+2%	ATK +1.5%, DEF +1.5%\nHP +2%	攻撃力＋1.5%,防御力＋1.5%\n最大HP＋2%	공격력 +1.5%, 방어력 +1.5%\nHP +2%	ATK​ +1.5%​ DEF​ +1.5%\nHP​ +2%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009010	106009	10	耀夜之星				310600903		4105011;4105012;4105013;4105023;3000003	14;24;14;15;50000	990	1	[星芒爆闪]真实伤害提高8%	[星芒爆閃]真實傷害提高8%	[Starburst]'s True DMG +8%.	[スパークルスター]直撃ダメージ＋8%	[초신성 폭발] 고정 대미지 +8%	[​ประกาย​ดาว​จรัส​]​ ดา​เม​จ​จริง​เพิ่มขึ้น​ 8%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009011	106009	11	耀夜之星			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	80	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009012	106009	12	耀夜之星			603@0.07			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	950	1	暴击率+7%	爆擊率+7%	CRIT Rate +7%	会心率＋7%	크리티컬 확률 +7%	อัตราคริติคอล+7%	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009013	106009	13	耀夜之星			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	120	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
106009014	106009	14	耀夜之星			102@0.02;202@0.02;302@0.03			4105011;4105012;4105013;4105023;3000003	15;25;15;15;50000	140	1	攻击力+2%,防御力+2%\n生命值+3%	攻擊力+2%,防禦力+2%\n生命值+3%	ATK +2%, DEF +2%\nHP +3%	攻撃力＋2%,防御力＋2%\n最大HP＋3%	공격력 +2%, 방어력 +2%\nHP +3%	ATK​ +2%​ DEF​ +2%\nHP​ +3%​	麦克斯	麥克斯	Max	マックス	MAX	แม็กซ์
