roleId	levelLowLimit	levelUpLimit	property	status
104016	1	70	101:145;201:54;301:342;401:0;703:1.4;1203:0.03;1602:0;2102:0	1
103009	1	70	101:142;201:54;301:375;401:0;703:1.2;1203:0.07;1303:0.07;1602:0;2102:0	1
102012	1	70	101:77;201:49;301:294;401:0;703:1.2;803:0.1;903:0.1;1303:0.2;1602:0;2102:0	1
101018	1	70	101:134;201:60;301:381;401:0;703:1.2;803:0.03;1303:0.2;1602:0;2102:0	1
144001	1	70	101:148;201:54;301:355;401:0;703:1.2;803:0.03;1303:0.14;1602:0;2102:0	1
144008	1	70	101:104;201:40;301:269;401:0;703:1.2;1203:0.07;1602:0;2102:0	1
804008	1	70	101:142;201:54;301:349;401:0;703:1.4;1203:0.03;1602:0;2102:0	1
805008	1	70	101:116;201:66;301:459;401:0;703:1.2;803:0.03;903:0.1;1303:0;1602:0;2102:0	1
806008	1	70	101:106;201:40;301:266;401:0;703:1.2;1203:0.07;1602:0;2102:0	1
141008	1	70	101:116;201:66;301:459;401:0;703:1.2;803:0.03;903:0.1;1602:0;2102:0	1
129002	1	70	101:143;201:54;301:324;401:0;603:0.05;703:1.35;1203:0.03;1602:0;2102:0	1
120008	1	70	101:122;201:66;301:482;401:0;703:1.2;803:0.03;903:0.1;1602:0;2102:0	1
119008	1	70	101:142;201:54;301:336;401:0;603:0.1;703:1.3;1602:0;2102:0	1
133008	1	70	101:110;201:66;301:482;401:0;703:1.2;803:0.03;903:0;1303:0.14;1602:0;2102:0	1
104007	1	70	101:113;201:83;301:443;401:0;703:1.2;803:0.03;1303:0;1602:0;2102:0	1
103003	1	70	101:116;201:66;301:459;401:0;703:1.2;803:0.03;903:0.1;1602:0;2102:0	1
103017	1	70	101:152;201:54;301:332;401:0;603:0.08;703:1.2;1203:0.03;1602:0;2102:0	1
102018	1	70	101:142;201:54;301:375;401:0;703:1.2;803:0.03;1303:0.14;1602:0;2102:0	1
101012	1	70	101:145;201:54;301:349;401:0;703:1.35;1303:0.07;1602:0;2102:0	1
104009	1	70	101:85;201:49;301:337;401:0;703:1.2;1303:0.14;1602:0;2102:0	1
139008	1	70	101:145;201:54;301:307;401:0;603:0.08;703:1.4;1203:0.03;1602:0;2102:0	1
149008	1	70	101:148;201:54;301:342;401:0;603:0.03;703:1.35;1602:0;2102:0	1
143008	1	70	101:142;201:54;301:353;401:0;603:0.08;703:1.2;1203:0.03;1602:0;2102:0	1
122008	1	70	101:102;201:81;301:468;401:0;703:1.2;803:0.05;1303:0.07;1602:0;2102:0	1
152008	1	70	101:129;201:58;301:438;401:0;703:1.35;1303:0.07;1602:0;2102:0	1
135001	1	70	101:116;201:66;301:459;401:0;703:1.2;803:0.03;1303:0.14;1602:0;2102:0	1
104013	1	70	101:143;201:52;301:340;401:0;603:0.05;703:1.2;1203:0.14;1602:0;2102:0	1
106011	1	70	101:106;201:40;301:266;401:0;703:1.3;1602:0;2102:0	1
153008	1	70	101:152;201:54;301:340;401:0;603:0.05;703:1.35;1203:0.03;1602:0;2102:0	1
151008	1	70	101:143;201:52;301:327;401:0;603:0.1;703:1.3;1203:0.03;1602:0;2102:0	1
150008	1	70	101:109;201:64;301:431;401:0;603:0.1;703:1.2;803:0.08;1303:0.07;1602:0;2102:0	1
148008	1	70	101:143;201:52;301:353;401:0;703:1.4;1203:0.03;1602:0;2102:0	1
154008	1	70	101:145;201:54;301:349;401:0;703:1.35;1303:0.07;1602:0;2102:0	1
803001	1	70	101:145;201:54;301:349;401:0;703:1.35;1303:0.07;1602:0;2102:0	1
146008	1	70	101:135;201:54;301:349;401:0;603:0.08;703:1.4;1602:0;2102:0	1
103012	1	70	101:159;201:54;301:370;401:0;603:0.08;703:1.2;1602:0;2102:0;2101:0.07	1
147008	1	70	101:132;201:59;301:413;703:1.2;1303:0.07;1601:0.07	1
159008	1	70	101:148;201:52;301:333;401:0;603:0.05;703:1.2;1203:0.14;1602:0;2102:0	1
128008	1	70	101:103;201:72;301:468;401:0;703:1.2;803:0.05;1303:0.2;1602:0;2102:0	1
131001	1	70	101:143;201:53;301:336;401:0;603:0.1;703:1.3;1602:0;2102:0	1
160008	1	70	101:153;201:51;301:323;401:0;603:0.1;703:1.3;1602:0;2102:0	1
161008	1	70	101:159;201:56;301:381;401:0;703:1.2;903:0;1303:0.14;1602:0;2102:0;1601:0.03	1
102005	1	70	101:116;201:67;301:454;401:0;703:1.2;1303:0.27;1602:0;2102:0	1
156008	1	70	101:152;201:52;301:328;401:0;603:0.08;703:1.3;1602:0;2102:0	1
157008	1	70	101:156;201:56;301:353;401:0;603:0.1;703:1.3;1602:0;2102:0	1
158008	1	70	101:108;201:72;301:459;703:1.2;1303:0.14;1601:0.03	1
163008	1	70	101:152;201:51;301:336;401:0;603:0.08;703:1.3;1602:0;2102:0	1
162008	1	70	101:166;201:55;301:345;401:0;603:0.08;703:1.3;1602:0;2102:0	1
101002	1	70	101:152;201:52;301:328;401:0;603:0.08;703:1.3;1602:0;2102:0	1
132008	1	70	101:152;201:54;301:320;603:0.08;703:1.3	1
164008	1	70	101:170;201:54;301:341;401:0;603:0.08;703:1.3;1602:0;2102:0	1
155008	1	70	101:108;201:75;301:438;401:0;703:1.2;1303:0.14;1602:0;2102:0;1601:0.03	1
145008	1	70	101:152;201:54;301:320;401:0;603:0.08;703:1.3;1602:0;2102:0	1
103005	1	70	101:148;201:51;301:345;603:0.08;703:1.3	1
165008	1	70	101:174;201:54;301:336;401:0;603:0.08;703:1.3;1602:0;2102:0	1
135002	1	70	101:108;201:73;301:448;401:0;703:1.2;903:0;1303:0.14;1602:0;2102:0;1601:0.03	1
144002	1	70	101:148;201:51;301:345;401:0;603:0.08;703:1.3;1602:0;2102:0	1
166008	1	70	101:181;201:52;301:315;401:0;603:0.08;703:1.3;1203:0.03;1602:0;2102:0	1
103010	1	70	101:152;201:52;301:328;401:0;603:0.08;703:1.3;903:0;1602:0;2102:0	1
167008	1	70	101:159;201:54;301:356;401:0;603:0.08;703:1.3;1602:0;2102:0	1
102017	1	70	101:159;201:51;301:307;401:0;603:0.08;703:1.3;1602:0;2102:0	1
104004	1	70	101:159;201:51;301:307;401:0;603:0.08;703:1.3;1602:0;2102:0	1
170008	1	70	101:181;201:52;301:315;401:0;603:0.08;703:1.3;1203:0.03;1602:0;2102:0	1
102013	1	70	101:106;201:67;301:425;401:0;603:0.08;703:1.3;1303:0;1602:0;2102:0	1
104002	1	70	101:159;201:51;301:307;401:0;603:0.08;703:1.3;1602:0;2102:0	1
169008	1	70	101:203;201:48;301:291;401:0;603:0.08;703:1.3;1602:0;2102:0	1
103011	1	70	101:159;201:51;301:307;401:0;603:0.08;703:1.3;1602:0;2102:0	1
171008	1	70	101:210;201:47;301:283;401:0;603:0.08;703:1.3;1602:0;2102:0	1
106005	1	70	101:106;201:69;301:415;401:0;603:0.08;703:1.3;1602:0;2102:0	1
172008	1	70	101:210;201:47;301:283;401:0;603:0.08;703:1.3;1602:0;2102:0	1
173008	1	70	101:106;201:69;301:415;401:0;603:0.08;703:1.3;1602:0;2102:0	1
102010	1	70	101:159;201:51;301:307;401:0;603:0.08;703:1.3;1602:0;2102:0	1
