roleId	mainRoleStance	mainRoleDirection	mainKanbanStance	mainKanbanDirection	mainCatStance	mainCatDirection	heartStreamPosition	mainChangeCatStance	mainChangeCatDirection	startEnterCamPosition	startEnterCamRotation	startRoleStance	startRoleDirection	enterCamPosition	enterCamRotation	roleStance	roleDirection	halfRoleStance	catCamPosition	catCamRotation	catPosition	catRotation	cardRoleStance	cardRoleDirection	homePosition	CameraExclusiveWeapon	enlargeRoleCam	UpDownRole	aboutRole	camLockPosition	roleRotationLimit	catRotationLimit	BattleEndrole	scale	status
105002	-2.38;1.38;7.92	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.62;1.38;7.92					-0.03;-1.24;1.971	0;-124;0	0,0,0;0,0,0;1	105002_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.2;0	1	1
105004	-2.38;1.38;7.92	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.62;1.38;7.92					-0.03;-1.24;1.971	0;-124;0	0,0,0;0,0,0;1		7:2;3:1	0:-1;0:0	0.2;0.54				0;0.2;0	1	1
105006	-2.5;1.35;8.07	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.88;1.12;9.61	3.77;153;0	-2.78;1.29;8.07					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	105006_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
105008	-2.62;1.38;8.47	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.88;1.38;8.47					-0.03;-1.24;1.971	0;-124;0	0,0,0;0,0,0;1	105008_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.2;0	1	1
106001	-2.77;1.13;8.58	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.99;1.13;8.58					-0.11;-1.05;2.081	0;-178.9;0	0,0,0;0,0,0;1	106001_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
106002	-2.58;1.23;8.23	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.88;1.23;8.23					-0.11;-1.05;2.081	0;-178.9;0	0,0,0;0,0,0;1	106002_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
106005	-2.99;1.09;9.39	6.7;155.3;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.88;1.23;8.23					-0.11;-1.05;2.081	0;-178.9;0	0,0,0;0,0,0;1	106005_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				-0.2;0.7;0	1	1
106008	-2.46;1.16;8.1	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.75;1.16;8.1					-0.11;-1.05;2.081	0;-178.9;0	0,0,0;0,0,0;1	106008_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
106009	-2.46;1.16;8.1	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.75;1.16;8.1					-0.11;-1.05;2.081	0;-178.9;0	0,0,0;0,0,0;1	106009_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
106010	-2.92;0.88;8.63	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-3.12;0.88;8.63					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	106010_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.65;-1	1	1
106011	-2.38;1.27;8.14	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5.05;1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.38;1.27;7.782					-0.11;-1.05;2.081	0;-178.9;0	0,0,0;0,0,0;1		7:2;3:1	0:-1;0:0	0.2;0.54				0;0.4;0	1	1
107001	-2.42;1.63;8.09	3.77;153;0	-2.05;1;10.7	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.76;1.63;8.09					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	107001_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
107005	-2.5;1.63;8.09	3.77;153;0	-2.05;1;10.7	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.76;1.63;8.09					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	107005_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0;0	1	1
107008	-2.5;1.63;8.09	3.77;153;0	-2.05;1;10.7	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4;1.297;10.07	3.77;153;0	-2.76;1.63;8.09					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	107008_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0;0	1	1
107010	-2.5;1.63;8.09	3.77;153;0	-2.05;1;10.7	-1;-175;0	-2.044;0.322;7.23	3.77;153;0		-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-4.2;1.297;10.07	3.77;153;0	-2.76;1.63;8.09					-0.03;-1.1;2	0;167;0	0,0,0;0,0,0;1	107010_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				-0.15;0;0	1	1
108001	-2.5;1.43;8.14	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0	-1.463;0.24;6.185	-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.8;1.43;8.14					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	108001_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
108004	-2.52;1.29;8.14	3.77;153;0	-2.05;0.87;10.48	-1;-175;0	-2.044;0.322;7.23	3.77;153;0	-1.463;0.24;6.185	-2.336;0.323;7.165	3.77;153;0			-5;1.1;9.5	0;150;0			-3.8;1.12;9.61	3.77;153;0	-2.72;1.29;8.14					-0.36;-1.33;2.76	4.2;170;0	0,0,0;0,0,0;1	108004_lobby_equip	7:2;3:1	0:-1;0:0	0.2;0.54				0;0.1;0	1	1
