id	roleId	times	awakenLevel	openAbility	isHiding	capabilityValue	status
341	904009	5		62904009		500	1
342	904009	6	5			400	1
343	904009	7	6			400	1
344	904010	1	1	61904010		0	1
345	904010	2	2			400	1
346	904010	3	3			400	1
347	904010	4	4			400	1
348	904010	5		62904010		500	1
349	904010	6	5			400	1
350	904010	7	6			400	1
351	904014	1	1	61904014		0	1
352	904014	2	2			400	1
353	904014	3	3			400	1
354	904014	4	4			400	1
355	904014	5		62904014		500	1
356	904014	6	5			400	1
357	904014	7	6			400	1
358	904015	1	1	61904015		0	1
359	904015	2	2			400	1
360	904015	3	3			400	1
361	904015	4	4			400	1
362	904015	5		62904015		500	1
363	904015	6	5			400	1
364	904015	7	6			400	1
365	904020	1	1	61904020		0	1
366	904020	2	2			400	1
367	904020	3	3			400	1
368	904020	4	4			400	1
369	904020	5		62904020		500	1
370	904020	6	5			400	1
371	904020	7	6			400	1
372	904022	1	1	61904022		0	1
373	904022	2	2			400	1
374	904022	3	3			400	1
375	904022	4	4			400	1
376	904022	5		62904022		500	1
377	904022	6	5			400	1
378	904022	7	6			400	1
379	904025	1	1	61904025		0	1
380	904025	2	2			400	1
381	904025	3	3			400	1
382	904025	4	4			400	1
383	904025	5		62904025		500	1
384	904025	6	5			400	1
385	904025	7	6			400	1
386	904026	1	1	61904026		0	1
387	904026	2	2			400	1
388	904026	3	3			400	1
389	904026	4	4			400	1
390	904026	5		62904026		500	1
391	904026	6	5			400	1
392	904026	7	6			400	1
393	904031	1	1	61904031		0	1
394	904031	2	2			400	1
395	904031	3	3			400	1
396	904031	4	4			400	1
397	904031	5		62904031		500	1
398	904031	6	5			400	1
399	904031	7	6			400	1
400	904033	1	1	61904033		0	1
401	904033	2	2			400	1
402	904033	3	3			400	1
403	904033	4	4			400	1
404	904033	5		62904033		500	1
405	904033	6	5			400	1
406	904033	7	6			400	1
407	904034	1	1	61904034		0	1
408	904034	2	2			400	1
409	904034	3	3			400	1
410	904034	4	4			400	1
411	904034	5		62904034		500	1
412	904034	6	5			400	1
413	904034	7	6			400	1
414	904041	1	1	61904041		0	1
415	904041	2	2			400	1
416	904041	3	3			400	1
417	904041	4	4			400	1
418	904041	5		62904041		500	1
419	904041	6	5			400	1
420	904041	7	6			400	1
421	904043	1	1	61904043		0	1
422	904043	2	2			400	1
423	904043	3	3			400	1
424	904043	4	4			400	1
425	904043	5		62904043		500	1
426	904043	6	5			400	1
427	904043	7	6			400	1
428	908002	1	1	61908002		0	1
429	908002	2	2			400	1
430	908002	3	3			400	1
431	908002	4	4			400	1
432	908002	5		62908002		500	1
433	908002	6	5			400	1
434	908002	7	6			400	1
435	115008	1	1	61115008		0	1
436	115008	2	2			400	1
437	115008	3	3			400	1
438	115008	4	4			400	1
439	115008	5		62115008		500	1
440	115008	6	5			400	1
441	115008	7	6			400	1
442	127008	1	1	61127008		0	1
443	127008	2	2			400	1
444	127008	3	3			400	1
445	127008	4	4			400	1
446	127008	5		62127008		500	1
447	127008	6	5			400	1
448	127008	7	6			400	1
449	130008	1	1	61130008		0	1
450	130008	2	2			400	1
451	130008	3	3			400	1
452	130008	4	4			400	1
453	130008	5		62130008		500	1
454	130008	6	5			400	1
455	130008	7	6			400	1
456	131008	1	1	61131008		0	1
457	131008	2	2			400	1
458	131008	3	3			400	1
459	131008	4	4			400	1
460	131008	5		62131008		500	1
461	131008	6	5			400	1
462	131008	7	6			400	1
463	117008	1	1	61117008		0	1
464	117008	2	2			400	1
465	117008	3	3			400	1
466	117008	4	4			400	1
467	117008	5		62117008		500	1
468	117008	6	5			400	1
469	117008	7	6			400	1
470	103006	1	1	61103006		0	1
471	103006	2	2			400	1
472	103006	3	3			400	1
473	103006	4	4			400	1
474	103006	5		62103006		500	1
475	103006	6	5			400	1
476	103006	7	6			400	1
477	105004	1	1	61105004		0	1
478	105004	2	2			400	1
479	105004	3	3			400	1
480	105004	4	4			400	1
481	105004	5		62105004		500	1
482	105004	6	5			400	1
483	105004	7	6			400	1
484	106009	1	1	61106009		0	1
485	106009	2	2			400	1
486	106009	3	3			400	1
487	106009	4	4			400	1
488	106009	5		62106009		500	1
489	106009	6	5			400	1
490	106009	7	6			400	1
491	107010	1	1	61107010		0	1
492	107010	2	2			400	1
493	107010	3	3			400	1
494	107010	4	4			400	1
495	107010	5		62107010		500	1
496	107010	6	5			400	1
497	107010	7	6			400	1
