classId	star	levelLimit	property	status
5203	0	9999	101:55.1;201:36;301:1944;703:1.5	1
1204	0	9999	101:68.9;201:36;301:405;703:1.5	1
2204	0	9999	101:68.9;201:36;301:810;703:1.5	1
3204	0	9999	101:68.9;201:36;301:1215;703:1.5	1
4204	0	9999	101:68.9;201:36;301:2430;703:1.5	1
5204	0	9999	101:68.9;201:36;301:8100;703:1.5	1
1205	0	9999	101:45.9;201:28.8;301:64.8;703:1.5	1
2205	0	9999	101:45.9;201:28.8;301:129.6;703:1.5	1
3205	0	9999	101:45.9;201:28.8;301:194.4;703:1.5	1
4205	0	9999	101:45.9;201:28.8;301:388.8;703:1.5	1
5205	0	9999	101:45.9;201:28.8;301:1296;703:1.5	1
1206	0	9999	101:9.2;201:1.8;301:8100;703:1.5	1
2206	0	9999	101:9.2;201:1.8;301:16200;703:1.5	1
3206	0	9999	101:9.2;201:1.8;301:24300;703:1.5	1
4206	0	9999	101:9.2;201:1.8;301:48600;703:1.5	1
5206	0	9999	101:9.2;201:1.8;301:162000;703:1.5	1
1207	0	9999	101:55.1;201:40;301:64.8;703:1.5	1
2207	0	9999	101:55.1;201:40;301:129.6;703:1.5	1
3207	0	9999	101:55.1;201:40;301:210;703:1.5	1
4207	0	9999	101:55.1;201:40;301:388.8;703:1.5	1
5207	0	9999	101:55.1;201:40;301:1296;703:1.5	1
1301	0	9999	101:36.7;201:13.5;301:86.4;703:1.5	1
2301	0	9999	101:36.7;201:13.5;301:172.8;703:1.5	1
3301	0	9999	101:36.7;201:13.5;301:259.2;703:1.5	1
4301	0	9999	101:36.7;201:13.5;301:518.4;703:1.5	1
5301	0	9999	101:36.7;201:13.5;301:1728;703:1.5	1
1302	0	9999	101:45.9;201:13.5;301:64.8;703:1.5	1
2302	0	9999	101:45.9;201:13.5;301:129.6;703:1.5	1
3302	0	9999	101:45.9;201:13.5;301:194.4;703:1.5	1
4302	0	9999	101:45.9;201:13.5;301:388.8;703:1.5	1
5302	0	9999	101:45.9;201:13.5;301:1296;703:1.5	1
1303	0	9999	101:55.1;201:27;301:129.6;703:1.5	1
2303	0	9999	101:55.1;201:27;301:259.2;703:1.5	1
3303	0	9999	101:55.1;201:27;301:388.8;703:1.5	1
4303	0	9999	101:55.1;201:27;301:777.6;703:1.5	1
5303	0	9999	101:55.1;201:27;301:2592;703:1.5	1
1304	0	9999	101:68.9;201:27;301:540;703:1.5	1
2304	0	9999	101:68.9;201:27;301:1080;703:1.5	1
3304	0	9999	101:68.9;201:27;301:1620;703:1.5	1
4304	0	9999	101:68.9;201:27;301:3240;703:1.5	1
5304	0	9999	101:68.9;201:27;301:10800;703:1.5	1
1305	0	9999	101:45.9;201:21.6;301:86.4;703:1.5	1
2305	0	9999	101:45.9;201:21.6;301:172.8;703:1.5	1
3305	0	9999	101:45.9;201:21.6;301:259.2;703:1.5	1
4305	0	9999	101:45.9;201:21.6;301:518.4;703:1.5	1
5305	0	9999	101:45.9;201:21.6;301:1728;703:1.5	1
1306	0	9999	101:9.2;201:1.35;301:10800;703:1.5	1
2306	0	9999	101:9.2;201:1.35;301:21600;703:1.5	1
3306	0	9999	101:9.2;201:1.35;301:32400;703:1.5	1
4306	0	9999	101:9.2;201:1.35;301:64800;703:1.5	1
5306	0	9999	101:9.2;201:1.35;301:648000;703:1.5	1
1307	0	9999	101:55.1;201:40.5;301:86.4;703:1.5	1
2307	0	9999	101:55.1;201:40.5;301:172.8;703:1.5	1
3307	0	9999	101:55.1;201:40.5;301:259.2;703:1.5	1
4307	0	9999	101:55.1;201:40.5;301:518.4;703:1.5	1
5307	0	9999	101:55.1;201:40.5;301:1728;703:1.5	1
1401	0	9999	101:32.6;201:16.5;301:79.2;703:1.5	1
2401	0	9999	101:32.6;201:16.5;301:158.4;703:1.5	1
3401	0	9999	101:32.6;201:16.5;301:237.6;703:1.5	1
4401	0	9999	101:32.6;201:16.5;301:475.2;703:1.5	1
5401	0	9999	101:32.6;201:16.5;301:1584;703:1.5	1
1402	0	9999	101:40.8;201:16.5;301:59.4;703:1.5	1
2402	0	9999	101:40.8;201:16.5;301:118.8;703:1.5	1
3402	0	9999	101:40.8;201:16.5;301:178.2;703:1.5	1
4402	0	9999	101:40.8;201:16.5;301:356.4;703:1.5	1
5402	0	9999	101:40.8;201:16.5;301:1188;703:1.5	1
1403	0	9999	101:49;201:33;301:118.8;703:1.5	1
2403	0	9999	101:49;201:33;301:237.6;703:1.5	1
3403	0	9999	101:49;201:33;301:356.4;703:1.5	1
4403	0	9999	101:49;201:33;301:712.8;703:1.5	1
5403	0	9999	101:49;201:33;301:2376;703:1.5	1
1404	0	9999	101:61.2;201:33;301:495;703:1.5	1
2404	0	9999	101:61.2;201:33;301:990;703:1.5	1
3404	0	9999	101:61.2;201:33;301:1485;703:1.5	1
4404	0	9999	101:61.2;201:33;301:2970;703:1.5	1
5404	0	9999	101:61.2;201:33;301:9900;703:1.5	1
1405	0	9999	101:40.8;201:26.4;301:79.2;703:1.5	1
2405	0	9999	101:40.8;201:26.4;301:158.4;703:1.5	1
3405	0	9999	101:40.8;201:26.4;301:237.6;703:1.5	1
4405	0	9999	101:40.8;201:26.4;301:475.2;703:1.5	1
5405	0	9999	101:40.8;201:26.4;301:1584;703:1.5	1
1406	0	9999	101:8.2;201:1.65;301:9900;703:1.5	1
2406	0	9999	101:8.2;201:1.65;301:19800;703:1.5	1
3406	0	9999	101:8.2;201:1.65;301:29700;703:1.5	1
4406	0	9999	101:8.2;201:1.65;301:59400;703:1.5	1
5406	0	9999	101:8.2;201:1.65;301:198000;703:1.5	1
1407	0	9999	101:49;201:49.5;301:79.2;703:1.5	1
2407	0	9999	101:49;201:49.5;301:158.4;703:1.5	1
3407	0	9999	101:49;201:49.5;301:237.6;703:1.5	1
4407	0	9999	101:49;201:49.5;301:475.2;703:1.5	1
5407	0	9999	101:49;201:49.5;301:1584;703:1.5	1
1501	0	9999	101:44.9;201:12;301:79.2;703:1.5	1
2501	0	9999	101:44.9;201:12;301:158.4;703:1.5	1
3501	0	9999	101:44.9;201:12;301:237.6;703:1.5	1
4501	0	9999	101:44.9;201:12;301:475.2;703:1.5	1
5501	0	9999	101:44.9;201:12;301:1584;703:1.5	1
1502	0	9999	101:56.1;201:12;301:59.4;703:1.5	1
2502	0	9999	101:56.1;201:12;301:118.8;703:1.5	1
3502	0	9999	101:56.1;201:12;301:178.2;703:1.5	1
4502	0	9999	101:56.1;201:12;301:356.4;703:1.5	1
5502	0	9999	101:56.1;201:12;301:1188;703:1.5	1
1503	0	9999	101:67.3;201:24;301:118.8;703:1.5	1
2503	0	9999	101:67.3;201:24;301:237.6;703:1.5	1
3503	0	9999	101:67.3;201:24;301:356.4;703:1.5	1
4503	0	9999	101:67.3;201:24;301:712.8;703:1.5	1
5503	0	9999	101:67.3;201:24;301:2376;703:1.5	1
1504	0	9999	101:84.2;201:24;301:495;703:1.5	1
2504	0	9999	101:84.2;201:24;301:990;703:1.5	1
3504	0	9999	101:84.2;201:24;301:1485;703:1.5	1
4504	0	9999	101:84.2;201:24;301:2970;703:1.5	1
5504	0	9999	101:84.2;201:24;301:9900;703:1.5	1
1505	0	9999	101:56.1;201:19.2;301:79.2;703:1.5	1
2505	0	9999	101:56.1;201:19.2;301:158.4;703:1.5	1
3505	0	9999	101:56.1;201:19.2;301:237.6;703:1.5	1
4505	0	9999	101:56.1;201:19.2;301:475.2;703:1.5	1
5505	0	9999	101:56.1;201:19.2;301:1584;703:1.5	1
1506	0	9999	101:11.2;201:1.2;301:9900;703:1.5	1
2506	0	9999	101:11.2;201:1.2;301:19800;703:1.5	1
3506	0	9999	101:11.2;201:1.2;301:29700;703:1.5	1
4506	0	9999	101:11.2;201:1.2;301:59400;703:1.5	1
5506	0	9999	101:11.2;201:1.2;301:198000;703:1.5	1
1507	0	9999	101:67.3;201:36;301:79.2;703:1.5	1
2507	0	9999	101:67.3;201:36;301:158.4;703:1.5	1
3507	0	9999	101:67.3;201:36;301:237.6;703:1.5	1
4507	0	9999	101:67.3;201:36;301:475.2;703:1.5	1
5507	0	9999	101:67.3;201:36;301:1584;703:1.5	1
1601	0	9999	101:44.9;201:16.5;301:57.6;703:1.5	1
2601	0	9999	101:44.9;201:16.5;301:115.2;703:1.5	1
3601	0	9999	101:44.9;201:16.5;301:172.8;703:1.5	1
4601	0	9999	101:44.9;201:16.5;301:345.6;703:1.5	1
5601	0	9999	101:44.9;201:16.5;301:1152;703:1.5	1
1602	0	9999	101:56.1;201:16.5;301:43.2;703:1.5	1
2602	0	9999	101:56.1;201:16.5;301:86.4;703:1.5	1
3602	0	9999	101:56.1;201:16.5;301:129.6;703:1.5	1
4602	0	9999	101:56.1;201:16.5;301:259.2;703:1.5	1
5602	0	9999	101:56.1;201:16.5;301:864;703:1.5	1
1603	0	9999	101:67.3;201:33;301:86.4;703:1.5	1
2603	0	9999	101:67.3;201:33;301:172.8;703:1.5	1
3603	0	9999	101:67.3;201:33;301:259.2;703:1.5	1
4603	0	9999	101:67.3;201:33;301:518.4;703:1.5	1
5603	0	9999	101:67.3;201:33;301:1728;703:1.5	1
1604	0	9999	101:84.2;201:33;301:360;703:1.5	1
2604	0	9999	101:84.2;201:33;301:720;703:1.5	1
3604	0	9999	101:84.2;201:33;301:1080;703:1.5	1
4604	0	9999	101:84.2;201:33;301:2160;703:1.5	1
5604	0	9999	101:84.2;201:33;301:7200;703:1.5	1
1605	0	9999	101:56.1;201:26.4;301:57.6;703:1.5	1
2605	0	9999	101:56.1;201:26.4;301:115.2;703:1.5	1
3605	0	9999	101:56.1;201:26.4;301:172.8;703:1.5	1
4605	0	9999	101:56.1;201:26.4;301:345.6;703:1.5	1
5605	0	9999	101:56.1;201:26.4;301:1152;703:1.5	1
1606	0	9999	101:11.2;201:1.65;301:7200;703:1.5	1
2606	0	9999	101:11.2;201:1.65;301:14400;703:1.5	1
3606	0	9999	101:11.2;201:1.65;301:21600;703:1.5	1
4606	0	9999	101:11.2;201:1.65;301:43200;703:1.5	1
5606	0	9999	101:11.2;201:1.65;301:144000;703:1.5	1
1607	0	9999	101:67.3;201:49.5;301:57.6;703:1.5	1
2607	0	9999	101:67.3;201:49.5;301:115.2;703:1.5	1
3607	0	9999	101:67.3;201:49.5;301:172.8;703:1.5	1
4607	0	9999	101:67.3;201:49.5;301:345.6;703:1.5	1
5607	0	9999	101:67.3;201:49.5;301:1152;703:1.5	1
1708	0	9999	101:90;201:40;301:360;703:1.5;1601:0.3;2101:0.3	1
2708	0	9999	101:110;201:50;301:495;703:1.5;1601:0.3;2101:0.3	1
3708	0	9999	101:140;201:60;301:700;703:1.5;1601:0.3;2101:0.3	1
1109	0	9999	101:60;201:50;301:144000;703:1.5	1
1110	0	9999	101:2;201:0.5;301:1500;703:1.5	1
1210	0	9999	101:2;201:0.5;301:1800;703:1.5	1
1111	0	9999	101:60;201:20;301:240;703:1.5	1
2111	0	9999	101:60;201:25;301:360;703:1.5	1
3111	0	9999	101:60;201:30;301:600;703:1.5	1
1112	0	9999	101:50;201:20;301:200;703:1.5	1
2112	0	9999	101:54;201:25;301:300;703:1.5	1
3112	0	9999	101:58;201:30;301:400;703:1.5	1
1211	0	9999	101:45;201:30;301:260;703:1.5	1
2211	0	9999	101:45;201:40;301:380;703:1.5	1
3211	0	9999	101:45;201:50;301:620;703:1.5	1
3113	0	9999	101:8.2;201:1.65;301:60000;703:1.5	1
1114	0	99999	101:140;201:70;301:560;703:1.5	1
2114	0	99999	101:168;201:84;301:840;703:1.5	1
6101	0	1	101:1;201:1;301:1	1
