ID	skinID	levelID	upProperty	upqualityItem	upqualityItemNum	status
10100801058	10100801	58	101@12.4	4104041;4104042;4104043;3000003	70;70;70;4260	1
10100801059	10100801	59	201@4.8	4104041;4104042;4104043;3000003	70;70;70;4320	1
10100801060	10100801	60	301@29.2	4104041;4104042;4104043;3000003	70;70;70;4380	1
10100899001	10100899	1	101@78.3;201@30.4;301@184.7;603@0.025;1203@0.012;1602@0.017;2102@0.017			1
10100899002	10100899	2	101@16.5	4104041;3000003	20;1200	1
10100899003	10100899	3	201@6.4	4104041;3000003	20;1280	1
10100899004	10100899	4	301@38.9	4104041;3000003	20;1360	1
10100899005	10100899	5	603@0.025	4104041;3000003	20;1440	1
10100899006	10100899	6	101@16.5	4104041;3000003	20;1520	1
10100899007	10100899	7	201@6.4	4104041;3000003	20;1600	1
10100899008	10100899	8	301@38.9	4104041;3000003	20;1680	1
10100899009	10100899	9	1203@0.012	4104041;3000003	20;1760	1
10100899010	10100899	10	101@16.5	4104041;3000003	20;1840	1
10100899011	10100899	11	201@6.4	4104041;3000003	40;1920	1
10100899012	10100899	12	301@38.9	4104041;3000003	40;2000	1
10100899013	10100899	13	1602@0.017	4104041;3000003	40;2080	1
10100899014	10100899	14	101@16.5	4104041;3000003	40;2160	1
10100899015	10100899	15	201@6.4	4104041;3000003	40;2240	1
10100899016	10100899	16	301@38.9	4104041;3000003	40;2320	1
10100899017	10100899	17	2102@0.017	4104041;3000003	40;2400	1
10100899018	10100899	18	101@16.5	4104041;3000003	40;2480	1
10100899019	10100899	19	201@6.4	4104041;3000003	40;2560	1
10100899020	10100899	20	301@38.9	4104041;3000003	40;2640	1
10100899021	10100899	21	603@0.025	4104041;4104042;3000003	55;55;2720	1
10100899022	10100899	22	101@16.5	4104041;4104042;3000003	55;55;2800	1
10100899023	10100899	23	201@6.4	4104041;4104042;3000003	55;55;2880	1
10100899024	10100899	24	301@38.9	4104041;4104042;3000003	55;55;2960	1
10100899025	10100899	25	1203@0.012	4104041;4104042;3000003	55;55;3040	1
10100899026	10100899	26	101@16.5	4104041;4104042;3000003	55;55;3120	1
10100899027	10100899	27	201@6.4	4104041;4104042;3000003	55;55;3200	1
10100899028	10100899	28	301@38.9	4104041;4104042;3000003	55;55;3280	1
10100899029	10100899	29	1602@0.017	4104041;4104042;3000003	55;55;3360	1
10100899030	10100899	30	101@16.5	4104041;4104042;3000003	55;55;3440	1
10100899031	10100899	31	201@6.4	4104041;4104042;3000003	70;70;3520	1
10100899032	10100899	32	301@38.9	4104041;4104042;3000003	70;70;3600	1
10100899033	10100899	33	2102@0.017	4104041;4104042;3000003	70;70;3680	1
10100899034	10100899	34	101@16.5	4104041;4104042;3000003	70;70;3760	1
10100899035	10100899	35	201@6.4	4104041;4104042;3000003	70;70;3840	1
10100899036	10100899	36	301@38.9	4104041;4104042;3000003	70;70;3920	1
10100899037	10100899	37	603@0.025	4104041;4104042;3000003	70;70;4000	1
10100899038	10100899	38	101@16.5	4104041;4104042;3000003	70;70;4080	1
10100899039	10100899	39	201@6.4	4104041;4104042;3000003	70;70;4160	1
10100899040	10100899	40	301@38.9	4104041;4104042;3000003	70;70;4240	1
10100899041	10100899	41	1203@0.012	4104041;4104042;4104043;3000003	70;70;70;4320	1
10100899042	10100899	42	101@16.5	4104041;4104042;4104043;3000003	70;70;70;4400	1
10100899043	10100899	43	201@6.4	4104041;4104042;4104043;3000003	70;70;70;4480	1
10100899044	10100899	44	301@38.9	4104041;4104042;4104043;3000003	70;70;70;4560	1
10100899045	10100899	45	1602@0.017	4104041;4104042;4104043;3000003	70;70;70;4640	1
10100899046	10100899	46	101@16.5	4104041;4104042;4104043;3000003	70;70;70;4720	1
10100899047	10100899	47	201@6.4	4104041;4104042;4104043;3000003	70;70;70;4800	1
10100899048	10100899	48	301@38.9	4104041;4104042;4104043;3000003	70;70;70;4880	1
10100899049	10100899	49	2102@0.017	4104041;4104042;4104043;3000003	70;70;70;4960	1
10100899050	10100899	50	101@16.5	4104041;4104042;4104043;3000003	70;70;70;5040	1
10100899051	10100899	51	201@6.4	4104041;4104042;4104043;3000003	90;90;90;5120	1
10100899052	10100899	52	301@38.9	4104041;4104042;4104043;3000003	90;90;90;5200	1
10100899053	10100899	53	603@0.025	4104041;4104042;4104043;3000003	90;90;90;5280	1
10100899054	10100899	54	101@16.5	4104041;4104042;4104043;3000003	90;90;90;5360	1
10100899055	10100899	55	201@6.4	4104041;4104042;4104043;3000003	90;90;90;5440	1
10100899056	10100899	56	301@38.9	4104041;4104042;4104043;3000003	90;90;90;5520	1
10100899057	10100899	57	1203@0.012	4104041;4104042;4104043;3000003	90;90;90;5600	1
10100899058	10100899	58	101@16.5	4104041;4104042;4104043;3000003	90;90;90;5680	1
10100899059	10100899	59	201@6.4	4104041;4104042;4104043;3000003	90;90;90;5760	1
10100899060	10100899	60	301@38.9	4104041;4104042;4104043;3000003	90;90;90;5840	1
10101101001	10101101	1	101@33.3;201@12.8;301@77.8;703@0.022;401@0.01;1602@0.011;2102@0.011			1
10101101002	10101101	2	101@12.5	4104041;3000003	15;900	1
10101101003	10101101	3	201@4.8	4104041;3000003	15;960	1
10101101004	10101101	4	301@29.2	4104041;3000003	15;1020	1
10101101005	10101101	5	703@0.022	4104041;3000003	15;1080	1
10101101006	10101101	6	101@12.5	4104041;3000003	15;1140	1
10101101007	10101101	7	201@4.8	4104041;3000003	15;1200	1
10101101008	10101101	8	301@29.2	4104041;3000003	15;1260	1
10101101009	10101101	9	401@0.01	4104041;3000003	15;1320	1
10101101010	10101101	10	101@12.5	4104041;3000003	15;1380	1
10101101011	10101101	11	201@4.8	4104041;3000003	30;1440	1
10101101012	10101101	12	301@29.2	4104041;3000003	30;1500	1
10101101013	10101101	13	1602@0.011	4104041;3000003	30;1560	1
10101101014	10101101	14	101@12.5	4104041;3000003	30;1620	1
10101101015	10101101	15	201@4.8	4104041;3000003	30;1680	1
10101101016	10101101	16	301@29.2	4104041;3000003	30;1740	1
10101101017	10101101	17	2102@0.011	4104041;3000003	30;1800	1
10101101018	10101101	18	101@12.5	4104041;3000003	30;1860	1
10101101019	10101101	19	201@4.8	4104041;3000003	30;1920	1
10101101020	10101101	20	301@29.2	4104041;3000003	30;1980	1
10101101021	10101101	21	703@0.022	4104041;4104042;3000003	40;40;2040	1
10101101022	10101101	22	101@12.5	4104041;4104042;3000003	40;40;2100	1
10101101023	10101101	23	201@4.8	4104041;4104042;3000003	40;40;2160	1
10101101024	10101101	24	301@29.2	4104041;4104042;3000003	40;40;2220	1
10101101025	10101101	25	401@0.01	4104041;4104042;3000003	40;40;2280	1
10101101026	10101101	26	101@12.5	4104041;4104042;3000003	40;40;2340	1
10101101027	10101101	27	201@4.8	4104041;4104042;3000003	40;40;2400	1
10101101028	10101101	28	301@29.2	4104041;4104042;3000003	40;40;2460	1
10101101029	10101101	29	1602@0.011	4104041;4104042;3000003	40;40;2520	1
10101101030	10101101	30	101@12.5	4104041;4104042;3000003	40;40;2580	1
10101101031	10101101	31	201@4.8	4104041;4104042;3000003	50;50;2640	1
10101101032	10101101	32	301@29.2	4104041;4104042;3000003	50;50;2700	1
10101101033	10101101	33	2102@0.011	4104041;4104042;3000003	50;50;2760	1
10101101034	10101101	34	101@12.5	4104041;4104042;3000003	50;50;2820	1
10101101035	10101101	35	201@4.8	4104041;4104042;3000003	50;50;2880	1
10101101036	10101101	36	301@29.2	4104041;4104042;3000003	50;50;2940	1
10101101037	10101101	37	703@0.022	4104041;4104042;3000003	50;50;3000	1
10101101038	10101101	38	101@12.5	4104041;4104042;3000003	50;50;3060	1
10101101039	10101101	39	201@4.8	4104041;4104042;3000003	50;50;3120	1
10101101040	10101101	40	301@29.2	4104041;4104042;3000003	50;50;3180	1
10101101041	10101101	41	401@0.01	4104041;4104042;3000003	50;50;50;3240	1
10101101042	10101101	42	101@12.5	4104041;4104042;4104043;3000003	50;50;50;3300	1
10101101043	10101101	43	201@4.8	4104041;4104042;4104043;3000003	50;50;50;3360	1
10101101044	10101101	44	301@29.2	4104041;4104042;4104043;3000003	50;50;50;3420	1
10101101045	10101101	45	1602@0.011	4104041;4104042;4104043;3000003	50;50;50;3480	1
10101101046	10101101	46	101@12.5	4104041;4104042;4104043;3000003	50;50;50;3540	1
10101101047	10101101	47	201@4.8	4104041;4104042;4104043;3000003	50;50;50;3600	1
10101101048	10101101	48	301@29.2	4104041;4104042;4104043;3000003	50;50;50;3660	1
10101101049	10101101	49	2102@0.011	4104041;4104042;4104043;3000003	50;50;50;3720	1
10101101050	10101101	50	101@12.5	4104041;4104042;4104043;3000003	50;50;50;3780	1
10101101051	10101101	51	201@4.8	4104041;4104042;4104043;3000003	70;70;70;3840	1
10101101052	10101101	52	301@29.2	4104041;4104042;4104043;3000003	70;70;70;3900	1
10101101053	10101101	53	703@0.022	4104041;4104042;4104043;3000003	70;70;70;3960	1
10101101054	10101101	54	101@12.5	4104041;4104042;4104043;3000003	70;70;70;4020	1
10101101055	10101101	55	201@4.8	4104041;4104042;4104043;3000003	70;70;70;4080	1
10101101056	10101101	56	301@29.2	4104041;4104042;4104043;3000003	70;70;70;4140	1
10101101057	10101101	57	401@0.01	4104041;4104042;4104043;3000003	70;70;70;4200	1
10101101058	10101101	58	101@12.5	4104041;4104042;4104043;3000003	70;70;70;4260	1
10101101059	10101101	59	201@4.8	4104041;4104042;4104043;3000003	70;70;70;4320	1
10101101060	10101101	60	301@29.2	4104041;4104042;4104043;3000003	70;70;70;4380	1
10101199001	10101199	1	101@79;201@30.4;301@184.7;603@0.017;1203@0.019;1602@0.017;2102@0.017			1
10101199002	10101199	2	101@16.6	4104041;3000003	20;1200	1
10101199003	10101199	3	201@6.4	4104041;3000003	20;1280	1
10101199004	10101199	4	301@38.9	4104041;3000003	20;1360	1
10101199005	10101199	5	603@0.017	4104041;3000003	20;1440	1
10101199006	10101199	6	101@16.6	4104041;3000003	20;1520	1
10101199007	10101199	7	201@6.4	4104041;3000003	20;1600	1
10101199008	10101199	8	301@38.9	4104041;3000003	20;1680	1
10101199009	10101199	9	1203@0.019	4104041;3000003	20;1760	1
10101199010	10101199	10	101@16.6	4104041;3000003	20;1840	1
10101199011	10101199	11	201@6.4	4104041;3000003	40;1920	1
10101199012	10101199	12	301@38.9	4104041;3000003	40;2000	1
10101199013	10101199	13	1602@0.017	4104041;3000003	40;2080	1
10101199014	10101199	14	101@16.6	4104041;3000003	40;2160	1
10101199015	10101199	15	201@6.4	4104041;3000003	40;2240	1
10101199016	10101199	16	301@38.9	4104041;3000003	40;2320	1
10101199017	10101199	17	2102@0.017	4104041;3000003	40;2400	1
10101199018	10101199	18	101@16.6	4104041;3000003	40;2480	1
10101199019	10101199	19	201@6.4	4104041;3000003	40;2560	1
10101199020	10101199	20	301@38.9	4104041;3000003	40;2640	1
10101199021	10101199	21	603@0.017	4104041;4104042;3000003	55;55;2720	1
10101199022	10101199	22	101@16.6	4104041;4104042;3000003	55;55;2800	1
10101199023	10101199	23	201@6.4	4104041;4104042;3000003	55;55;2880	1
10101199024	10101199	24	301@38.9	4104041;4104042;3000003	55;55;2960	1
10101199025	10101199	25	1203@0.019	4104041;4104042;3000003	55;55;3040	1
10101199026	10101199	26	101@16.6	4104041;4104042;3000003	55;55;3120	1
10101199027	10101199	27	201@6.4	4104041;4104042;3000003	55;55;3200	1
10101199028	10101199	28	301@38.9	4104041;4104042;3000003	55;55;3280	1
10101199029	10101199	29	1602@0.017	4104041;4104042;3000003	55;55;3360	1
10101199030	10101199	30	101@16.6	4104041;4104042;3000003	55;55;3440	1
10101199031	10101199	31	201@6.4	4104041;4104042;3000003	70;70;3520	1
10101199032	10101199	32	301@38.9	4104041;4104042;3000003	70;70;3600	1
10101199033	10101199	33	2102@0.017	4104041;4104042;3000003	70;70;3680	1
10101199034	10101199	34	101@16.6	4104041;4104042;3000003	70;70;3760	1
10101199035	10101199	35	201@6.4	4104041;4104042;3000003	70;70;3840	1
10101199036	10101199	36	301@38.9	4104041;4104042;3000003	70;70;3920	1
10101199037	10101199	37	603@0.017	4104041;4104042;3000003	70;70;4000	1
10101199038	10101199	38	101@16.6	4104041;4104042;3000003	70;70;4080	1
10101199039	10101199	39	201@6.4	4104041;4104042;3000003	70;70;4160	1
10101199040	10101199	40	301@38.9	4104041;4104042;3000003	70;70;4240	1
10101199041	10101199	41	1203@0.019	4104041;4104042;4104043;3000003	70;70;70;4320	1
10101199042	10101199	42	101@16.6	4104041;4104042;4104043;3000003	70;70;70;4400	1
10101199043	10101199	43	201@6.4	4104041;4104042;4104043;3000003	70;70;70;4480	1
10101199044	10101199	44	301@38.9	4104041;4104042;4104043;3000003	70;70;70;4560	1
10101199045	10101199	45	1602@0.017	4104041;4104042;4104043;3000003	70;70;70;4640	1
10101199046	10101199	46	101@16.6	4104041;4104042;4104043;3000003	70;70;70;4720	1
10101199047	10101199	47	201@6.4	4104041;4104042;4104043;3000003	70;70;70;4800	1
10101199048	10101199	48	301@38.9	4104041;4104042;4104043;3000003	70;70;70;4880	1
10101199049	10101199	49	2102@0.017	4104041;4104042;4104043;3000003	70;70;70;4960	1
10101199050	10101199	50	101@16.6	4104041;4104042;4104043;3000003	70;70;70;5040	1
10101199051	10101199	51	201@6.4	4104041;4104042;4104043;3000003	90;90;90;5120	1
10101199052	10101199	52	301@38.9	4104041;4104042;4104043;3000003	90;90;90;5200	1
10101199053	10101199	53	603@0.017	4104041;4104042;4104043;3000003	90;90;90;5280	1
10101199054	10101199	54	101@16.6	4104041;4104042;4104043;3000003	90;90;90;5360	1
10101199055	10101199	55	201@6.4	4104041;4104042;4104043;3000003	90;90;90;5440	1
10101199056	10101199	56	301@38.9	4104041;4104042;4104043;3000003	90;90;90;5520	1
10101199057	10101199	57	1203@0.019	4104041;4104042;4104043;3000003	90;90;90;5600	1
10101199058	10101199	58	101@16.6	4104041;4104042;4104043;3000003	90;90;90;5680	1
10101199059	10101199	59	201@6.4	4104041;4104042;4104043;3000003	90;90;90;5760	1
10101199060	10101199	60	301@38.9	4104041;4104042;4104043;3000003	90;90;90;5840	1
10100501001	10100501	1	101@26.9;201@9.9;301@59.5;703@0.033;401@0.01;1602@0.011;2102@0.011			1
10100501002	10100501	2	101@10.1	4104041;3000003	15;900	1
10100501003	10100501	3	201@3.7	4104041;3000003	15;960	1
10100501004	10100501	4	301@22.3	4104041;3000003	15;1020	1
10100501005	10100501	5	703@0.033	4104041;3000003	15;1080	1
10100501006	10100501	6	101@10.1	4104041;3000003	15;1140	1
10100501007	10100501	7	201@3.7	4104041;3000003	15;1200	1
10100501008	10100501	8	301@22.3	4104041;3000003	15;1260	1
10100501009	10100501	9	401@0.01	4104041;3000003	15;1320	1
10100501010	10100501	10	101@10.1	4104041;3000003	15;1380	1
10100501011	10100501	11	201@3.7	4104041;3000003	30;1440	1
10100501012	10100501	12	301@22.3	4104041;3000003	30;1500	1
10100501013	10100501	13	1602@0.011	4104041;3000003	30;1560	1
10100501014	10100501	14	101@10.1	4104041;3000003	30;1620	1
10100501015	10100501	15	201@3.7	4104041;3000003	30;1680	1
10100501016	10100501	16	301@22.3	4104041;3000003	30;1740	1
10100501017	10100501	17	2102@0.011	4104041;3000003	30;1800	1
10100501018	10100501	18	101@10.1	4104041;3000003	30;1860	1
10100501019	10100501	19	201@3.7	4104041;3000003	30;1920	1
10100501020	10100501	20	301@22.3	4104041;3000003	30;1980	1
10100501021	10100501	21	703@0.033	4104041;4104042;3000003	40;40;2040	1
10100501022	10100501	22	101@10.1	4104041;4104042;3000003	40;40;2100	1
10100501023	10100501	23	201@3.7	4104041;4104042;3000003	40;40;2160	1
10100501024	10100501	24	301@22.3	4104041;4104042;3000003	40;40;2220	1
10100501025	10100501	25	401@0.01	4104041;4104042;3000003	40;40;2280	1
10100501026	10100501	26	101@10.1	4104041;4104042;3000003	40;40;2340	1
10100501027	10100501	27	201@3.7	4104041;4104042;3000003	40;40;2400	1
10100501028	10100501	28	301@22.3	4104041;4104042;3000003	40;40;2460	1
10100501029	10100501	29	1602@0.011	4104041;4104042;3000003	40;40;2520	1
10100501030	10100501	30	101@10.1	4104041;4104042;3000003	40;40;2580	1
10100501031	10100501	31	201@3.7	4104041;4104042;3000003	50;50;2640	1
10100501032	10100501	32	301@22.3	4104041;4104042;3000003	50;50;2700	1
10100501033	10100501	33	2102@0.011	4104041;4104042;3000003	50;50;2760	1
10100501034	10100501	34	101@10.1	4104041;4104042;3000003	50;50;2820	1
10100501035	10100501	35	201@3.7	4104041;4104042;3000003	50;50;2880	1
10100501036	10100501	36	301@22.3	4104041;4104042;3000003	50;50;2940	1
10100501037	10100501	37	703@0.033	4104041;4104042;3000003	50;50;3000	1
10100501038	10100501	38	101@10.1	4104041;4104042;3000003	50;50;3060	1
10100501039	10100501	39	201@3.7	4104041;4104042;3000003	50;50;3120	1
10100501040	10100501	40	301@22.3	4104041;4104042;3000003	50;50;3180	1
10100501041	10100501	41	401@0.01	4104041;4104042;3000003	50;50;50;3240	1
10100501042	10100501	42	101@10.1	4104041;4104042;4104043;3000003	50;50;50;3300	1
10100501043	10100501	43	201@3.7	4104041;4104042;4104043;3000003	50;50;50;3360	1
10100501044	10100501	44	301@22.3	4104041;4104042;4104043;3000003	50;50;50;3420	1
10100501045	10100501	45	1602@0.011	4104041;4104042;4104043;3000003	50;50;50;3480	1
10100501046	10100501	46	101@10.1	4104041;4104042;4104043;3000003	50;50;50;3540	1
10100501047	10100501	47	201@3.7	4104041;4104042;4104043;3000003	50;50;50;3600	1
10100501048	10100501	48	301@22.3	4104041;4104042;4104043;3000003	50;50;50;3660	1
10100501049	10100501	49	2102@0.011	4104041;4104042;4104043;3000003	50;50;50;3720	1
10100501050	10100501	50	101@10.1	4104041;4104042;4104043;3000003	50;50;50;3780	1
10100501051	10100501	51	201@3.7	4104041;4104042;4104043;3000003	70;70;70;3840	1
10100501052	10100501	52	301@22.3	4104041;4104042;4104043;3000003	70;70;70;3900	1
10100501053	10100501	53	703@0.033	4104041;4104042;4104043;3000003	70;70;70;3960	1
10100501054	10100501	54	101@10.1	4104041;4104042;4104043;3000003	70;70;70;4020	1
10100501055	10100501	55	201@3.7	4104041;4104042;4104043;3000003	70;70;70;4080	1
10100501056	10100501	56	301@22.3	4104041;4104042;4104043;3000003	70;70;70;4140	1
10100501057	10100501	57	401@0.01	4104041;4104042;4104043;3000003	70;70;70;4200	1
10100501058	10100501	58	101@10.1	4104041;4104042;4104043;3000003	70;70;70;4260	1
10100501059	10100501	59	201@3.7	4104041;4104042;4104043;3000003	70;70;70;4320	1
10100501060	10100501	60	301@22.3	4104041;4104042;4104043;3000003	70;70;70;4380	1
10100599001	10100599	1	101@63.8;201@23.6;301@141.4;603@0.025;1203@0.012;1602@0.017;2102@0.017			1
10100599002	10100599	2	101@13.4	4104041;3000003	20;1200	1
10100599003	10100599	3	201@5	4104041;3000003	20;1280	1
10100599004	10100599	4	301@29.8	4104041;3000003	20;1360	1
10100599005	10100599	5	603@0.025	4104041;3000003	20;1440	1
10100599006	10100599	6	101@13.4	4104041;3000003	20;1520	1
10100599007	10100599	7	201@5	4104041;3000003	20;1600	1
10100599008	10100599	8	301@29.8	4104041;3000003	20;1680	1
10100599009	10100599	9	1203@0.012	4104041;3000003	20;1760	1
10100599010	10100599	10	101@13.4	4104041;3000003	20;1840	1
10100599011	10100599	11	201@5	4104041;3000003	40;1920	1
10100599012	10100599	12	301@29.8	4104041;3000003	40;2000	1
10100599013	10100599	13	1602@0.017	4104041;3000003	40;2080	1
10100599014	10100599	14	101@13.4	4104041;3000003	40;2160	1
10100599015	10100599	15	201@5	4104041;3000003	40;2240	1
10100599016	10100599	16	301@29.8	4104041;3000003	40;2320	1
10100599017	10100599	17	2102@0.017	4104041;3000003	40;2400	1
10100599018	10100599	18	101@13.4	4104041;3000003	40;2480	1
10100599019	10100599	19	201@5	4104041;3000003	40;2560	1
10100599020	10100599	20	301@29.8	4104041;3000003	40;2640	1
10100599021	10100599	21	603@0.025	4104041;4104042;3000003	55;55;2720	1
10100599022	10100599	22	101@13.4	4104041;4104042;3000003	55;55;2800	1
10100599023	10100599	23	201@5	4104041;4104042;3000003	55;55;2880	1
10100599024	10100599	24	301@29.8	4104041;4104042;3000003	55;55;2960	1
10100599025	10100599	25	1203@0.012	4104041;4104042;3000003	55;55;3040	1
10100599026	10100599	26	101@13.4	4104041;4104042;3000003	55;55;3120	1
10100599027	10100599	27	201@5	4104041;4104042;3000003	55;55;3200	1
10100599028	10100599	28	301@29.8	4104041;4104042;3000003	55;55;3280	1
10100599029	10100599	29	1602@0.017	4104041;4104042;3000003	55;55;3360	1
10100599030	10100599	30	101@13.4	4104041;4104042;3000003	55;55;3440	1
10100599031	10100599	31	201@5	4104041;4104042;3000003	70;70;3520	1
10100599032	10100599	32	301@29.8	4104041;4104042;3000003	70;70;3600	1
10100599033	10100599	33	2102@0.017	4104041;4104042;3000003	70;70;3680	1
10100599034	10100599	34	101@13.4	4104041;4104042;3000003	70;70;3760	1
10100599035	10100599	35	201@5	4104041;4104042;3000003	70;70;3840	1
10100599036	10100599	36	301@29.8	4104041;4104042;3000003	70;70;3920	1
10100599037	10100599	37	603@0.025	4104041;4104042;3000003	70;70;4000	1
10100599038	10100599	38	101@13.4	4104041;4104042;3000003	70;70;4080	1
10100599039	10100599	39	201@5	4104041;4104042;3000003	70;70;4160	1
10100599040	10100599	40	301@29.8	4104041;4104042;3000003	70;70;4240	1
10100599041	10100599	41	1203@0.012	4104041;4104042;4104043;3000003	70;70;70;4320	1
10100599042	10100599	42	101@13.4	4104041;4104042;4104043;3000003	70;70;70;4400	1
10100599043	10100599	43	201@5	4104041;4104042;4104043;3000003	70;70;70;4480	1
10100599044	10100599	44	301@29.8	4104041;4104042;4104043;3000003	70;70;70;4560	1
10100599045	10100599	45	1602@0.017	4104041;4104042;4104043;3000003	70;70;70;4640	1
10100599046	10100599	46	101@13.4	4104041;4104042;4104043;3000003	70;70;70;4720	1
10100599047	10100599	47	201@5	4104041;4104042;4104043;3000003	70;70;70;4800	1
10100599048	10100599	48	301@29.8	4104041;4104042;4104043;3000003	70;70;70;4880	1
10100599049	10100599	49	2102@0.017	4104041;4104042;4104043;3000003	70;70;70;4960	1
10100599050	10100599	50	101@13.4	4104041;4104042;4104043;3000003	70;70;70;5040	1
10100599051	10100599	51	201@5	4104041;4104042;4104043;3000003	90;90;90;5120	1
10100599052	10100599	52	301@29.8	4104041;4104042;4104043;3000003	90;90;90;5200	1
10100599053	10100599	53	603@0.025	4104041;4104042;4104043;3000003	90;90;90;5280	1
10100599054	10100599	54	101@13.4	4104041;4104042;4104043;3000003	90;90;90;5360	1
10100599055	10100599	55	201@5	4104041;4104042;4104043;3000003	90;90;90;5440	1
10100599056	10100599	56	301@29.8	4104041;4104042;4104043;3000003	90;90;90;5520	1
10100599057	10100599	57	1203@0.012	4104041;4104042;4104043;3000003	90;90;90;5600	1
10100599058	10100599	58	101@13.4	4104041;4104042;4104043;3000003	90;90;90;5680	1
10100599059	10100599	59	201@5	4104041;4104042;4104043;3000003	90;90;90;5760	1
10100599060	10100599	60	301@29.8	4104041;4104042;4104043;3000003	90;90;90;5840	1
10101301001	10101301	1	101@44.5;201@17.6;301@105.6;703@0.033;401@0.01;1602@0.011;2102@0.011			1
10101301002	10101301	2	101@16.7	4104041;3000003	15;900	1
