roleId	ids	status
904025	90402510,90402511,90402512,90402513,90402514,90402515,90402516	1
904026	90402610,90402611,90402612,90402613,90402614,90402615,90402616	1
904031	90403110,90403111,90403112,90403113,90403114,90403115,90403116	1
904033	90403310,90403311,90403312,90403313,90403314,90403315,90403316	1
904034	90403410,90403411,90403412,90403413,90403414,90403415,90403416	1
904041	90404110,90404111,90404112,90404113,90404114,90404115,90404116	1
904043	90404310,90404311,90404312,90404313,90404314,90404315,90404316	1
908002	90800210,90800211,90800212,90800213,90800214,90800215,90800216	1
115008	11500810,11500811,11500812,11500813,11500814,11500815,11500816	1
127008	12700810,12700811,12700812,12700813,12700814,12700815,12700816	1
130008	13000810,13000811,13000812,13000813,13000814,13000815,13000816	1
131008	13100810,13100811,13100812,13100813,13100814,13100815,13100816	1
117008	11700810,11700811,11700812,11700813,11700814,11700815,11700816	1
121008	12100810,12100811,12100812,12100813,12100814,12100815,12100816	1
103006	10300610,10300611,10300612,10300613,10300614,10300615,10300616	1
105004	10500410,10500411,10500412,10500413,10500414,10500415,10500416	1
106009	10600910,10600911,10600912,10600913,10600914,10600915,10600916	1
107010	10701010,10701011,10701012,10701013,10701014,10701015,10701016	1
123008	12300810,12300811,12300812,12300813,12300814,12300815,12300816	1
125008	12500810,12500811,12500812,12500813,12500814,12500815,12500816	1
129008	12900810,12900811,12900812,12900813,12900814,12900815,12900816	1
137008	13700810,13700811,13700812,13700813,13700814,13700815,13700816	1
135008	13500810,13500811,13500812,13500813,13500814,13500815,13500816	1
116001	11600110,11600111,11600112,11600113,11600114,11600115,11600116	1
140008	14000810,14000811,14000812,14000813,14000814,14000815,14000816	1
129001	12900110,12900111,12900112,12900113,12900114,12900115,12900116	1
109002	10900210,10900211,10900212,10900213,10900214,10900215,10900216	1
113002	11300210,11300211,11300212,11300213,11300214,11300215,11300216	1
114002	11400210,11400211,11400212,11400213,11400214,11400215,11400216	1
138008	13800810,13800811,13800812,13800813,13800814,13800815,13800816	1
802008	80200810,80200811,80200812,80200813,80200814,80200815,80200816	1
803008	80300810,80300811,80300812,80300813,80300814,80300815,80300816	1
801008	80100810,80100811,80100812,80100813,80100814,80100815,80100816	1
127001	12700110,12700111,12700112,12700113,12700114,12700115,12700116	1
136008	13600810,13600811,13600812,13600813,13600814,13600815,13600816	1
104016	10401610,10401611,10401612,10401613,10401614,10401615,10401616	1
103009	10300910,10300911,10300912,10300913,10300914,10300915,10300916	1
102012	10201210,10201211,10201212,10201213,10201214,10201215,10201216	1
101018	10101810,10101811,10101812,10101813,10101814,10101815,10101816	1
144001	14400110,14400111,14400112,14400113,14400114,14400115,14400116	1
144008	14400810,14400811,14400812,14400813,14400814,14400815,14400816	1
804008	80400810,80400811,80400812,80400813,80400814,80400815,80400816	1
805008	80500810,80500811,80500812,80500813,80500814,80500815,80500816	1
806008	80600810,80600811,80600812,80600813,80600814,80600815,80600816	1
141008	14100810,14100811,14100812,14100813,14100814,14100815,14100816	1
129002	12900210,12900211,12900212,12900213,12900214,12900215,12900216	1
120008	12000810,12000811,12000812,12000813,12000814,12000815,12000816	1
119008	11900810,11900811,11900812,11900813,11900814,11900815,11900816	1
133008	13300810,13300811,13300812,13300813,13300814,13300815,13300816	1
104007	10400710,10400711,10400712,10400713,10400714,10400715,10400716	1
103003	10300310,10300311,10300312,10300313,10300314,10300315,10300316	1
103017	10301710,10301711,10301712,10301713,10301714,10301715,10301716	1
102018	10201810,10201811,10201812,10201813,10201814,10201815,10201816	1
101012	10101210,10101211,10101212,10101213,10101214,10101215,10101216	1
104009	10400910,10400911,10400912,10400913,10400914,10400915,10400916	1
139008	13900810,13900811,13900812,13900813,13900814,13900815,13900816	1
149008	14900810,14900811,14900812,14900813,14900814,14900815,14900816	1
143008	14300810,14300811,14300812,14300813,14300814,14300815,14300816	1
122008	12200810,12200811,12200812,12200813,12200814,12200815,12200816	1
152008	15200810,15200811,15200812,15200813,15200814,15200815,15200816	1
135001	13500110,13500111,13500112,13500113,13500114,13500115,13500116	1
104013	10401310,10401311,10401312,10401313,10401314,10401315,10401316	1
106011	10601110,10601111,10601112,10601113,10601114,10601115,10601116	1
153008	15300810,15300811,15300812,15300813,15300814,15300815,15300816	1
151008	15100810,15100811,15100812,15100813,15100814,15100815,15100816	1
150008	15000810,15000811,15000812,15000813,15000814,15000815,15000816	1
148008	14800810,14800811,14800812,14800813,14800814,14800815,14800816	1
154008	15400810,15400811,15400812,15400813,15400814,15400815,15400816	1
803001	80300110,80300111,80300112,80300113,80300114,80300115,80300116	1
146008	14600810,14600811,14600812,14600813,14600814,14600815,14600816	1
159008	15900810,15900811,15900812,15900813,15900814,15900815,15900816	1
147008	14700810,14700811,14700812,14700813,14700814,14700815,14700816	1
103012	10301210,10301211,10301212,10301213,10301214,10301215,10301216	1
138001	13800110,13800111,13800112,13800113,13800114,13800115,13800116	1
126008	12600810,12600811,12600812,12600813,12600814,12600815,12600816	1
128008	12800810,12800811,12800812,12800813,12800814,12800815,12800816	1
131001	13100110,13100111,13100112,13100113,13100114,13100115,13100116	1
160008	16000810,16000811,16000812,16000813,16000814,16000815,16000816	1
161008	16100810,16100811,16100812,16100813,16100814,16100815,16100816	1
102005	10200510,10200511,10200512,10200513,10200514,10200515,10200516	1
156008	15600810,15600811,15600812,15600813,15600814,15600815,15600816	1
157008	15700810,15700811,15700812,15700813,15700814,15700815,15700816	1
158008	15800810,15800811,15800812,15800813,15800814,15800815,15800816	1
163008	16300810,16300811,16300812,16300813,16300814,16300815,16300816	1
162008	16200810,16200811,16200812,16200813,16200814,16200815,16200816	1
101002	10100210,10100211,10100212,10100213,10100214,10100215,10100216	1
132008	13200810,13200811,13200812,13200813,13200814,13200815,13200816	1
164008	16400810,16400811,16400812,16400813,16400814,16400815,16400816	1
155008	15500810,15500811,15500812,15500813,15500814,15500815,15500816	1
145008	14500810,14500811,14500812,14500813,14500814,14500815,14500816	1
103005	10300510,10300511,10300512,10300513,10300514,10300515,10300516	1
165008	16500810,16500811,16500812,16500813,16500814,16500815,16500816	1
144002	14400210,14400211,14400212,14400213,14400214,14400215,14400216	1
135002	13500210,13500211,13500212,13500213,13500214,13500215,13500216	1
166008	16600810,16600811,16600812,16600813,16600814,16600815,16600816	1
103010	10301010,10301011,10301012,10301013,10301014,10301015,10301016	1
167008	16700810,16700811,16700812,16700813,16700814,16700815,16700816	1
102017	10201710,10201711,10201712,10201713,10201714,10201715,10201716	1
104004	10400410,10400411,10400412,10400413,10400414,10400415,10400416	1
170008	17000810,17000811,17000812,17000813,17000814,17000815,17000816	1
102013	10201310,10201311,10201312,10201313,10201314,10201315,10201316	1
104002	10400210,10400211,10400212,10400213,10400214,10400215,10400216	1
169008	16900810,16900811,16900812,16900813,16900814,16900815,16900816	1
103011	10301110,10301111,10301112,10301113,10301114,10301115,10301116	1
171008	17100810,17100811,17100812,17100813,17100814,17100815,17100816	1
106005	10600510,10600511,10600512,10600513,10600514,10600515,10600516	1
172008	17200810,17200811,17200812,17200813,17200814,17200815,17200816	1
173008	17300810,17300811,17300812,17300813,17300814,17300815,17300816	1
102010	10201010,10201011,10201012,10201013,10201014,10201015,10201016	1
