mainId	roleId	star	upStarType	condition	type	initOpenAbility	SpLevel	SpDescId	PassiveLevel	capabilityValue	property	upstarIteam	upstarIteamNum	superUpStarExp	status	levelLimit	upProperty
10200711	102007	1	1				10	7310200701		120	101:94.1;201:41.3;301:250.3	7102007;3000003	100;50000		1	50000	301:176.28;101:20.46;201:8.79
10200712	102007	2	1						2	120	101:94.1;201:41.3;301:250.3	7102007;3000003	100;100000		1	100000	301:176.28;101:20.46;201:8.79
10200713	102007	3	1		3	73102007	11	7310200703		180	101:141.1;201:62;301:375.4	7102007;3000003	100;150000		1	200000	301:176.28;101:20.46;201:8.79
10200714	102007	4	1						3	180	101:141.1;201:62;301:375.4	7102007;3000003	200;200000		1	400000	
10200715	102007	5	1		3	75102007	12	7310200705		250	101:188.1;201:82.6;301:500.6	7102007;3000003	200;250000		1	800000	301:88.14;101:10.23;201:4.395
10200716	102007	6	1						4	250	101:282.2;201:123.9;301:750.9	7102007;3000003	200;300000		1	1600000	301:102.83;101:11.935;201:5.1275
10201110	102011	0	1		2	61102011	9		1	0					1		301:117.52;101:13.64;201:5.86
10201111	102011	1	1		3	71102011	10	7310201101		120	101:85.5;201:45.9;301:278.1	7102011;3000003	100;50000		1	40000	301:132.21;101:15.345;201:6.5925
10201112	102011	2	1						2	120	101:85.5;201:45.9;301:278.1	7102011;3000003	100;100000		1	80000	301:146.9;101:17.05;201:7.325
10201113	102011	3	1		3	73102011	11	7310201103		180	101:128.3;201:68.9;301:417.2	7102011;3000003	100;150000		1	160000	301:176.28;101:20.46;201:8.79
10201114	102011	4	1						3	180	101:128.3;201:68.9;301:417.2	7102011;3000003	200;200000		1	320000	301:176.28;101:20.46;201:8.79
10201115	102011	5	1		3	75102011	12	7310201105		250	101:171;201:91.8;301:556.2	7102011;3000003	200;250000		1	640000	301:176.28;101:20.46;201:8.79
10201116	102011	6	1						4	250	101:256.5;201:137.7;301:834.3	7102011;3000003	200;300000		1	1280000	301:176.28;101:20.46;201:8.79
10200110	102001	0	1		2	61102001	1		1	0					1		301:176.28;101:20.46;201:8.79
10200111	102001	1	1				2	7310200101		60	101:47.9;201:19.2;301:115.1	7102001;3000003	100;10000		1	50000	301:176.28;101:20.46;201:8.79
10200112	102001	2	1						2	60	101:47.9;201:19.2;301:115.1	7102001;3000003	100;20000		1	100000	301:176.28;101:20.46;201:8.79
10200113	102001	3	1		3	73102001	3	7310200103		80	101:47.9;201:19.2;301:115.1	7102001;3000003	100;30000		1	200000	
10200114	102001	4	1						3	80	101:54.3;201:21.8;301:130.6	7102001;3000003	200;40000		1	400000	
10200115	102001	5	1		3	75102001	4	7310200105		100	101:54.3;201:21.8;301:130.6	7102001;3000003	200;50000		1	800000	
10200116	102001	6	1						4	100	101:54.3;201:21.8;301:130.6	7102001;3000003	200;60000		1	1600000	
10202110	102021	0	1		2	61102021	9		1	0					1		
10202111	102021	1	1				10	7310202101		120	101:98;201:40.9;301:243	7102021;3000003	100;50000		1	50000	
10202112	102021	2	1						2	120	101:98;201:40.9;301:243	7102021;3000003	100;100000		1	100000	
10202113	102021	3	1		3	73102021	11	7310202103		180	101:147;201:61.4;301:364.5	7102021;3000003	100;150000		1	200000	
10202114	102021	4	1						3	180	101:147;201:61.4;301:364.5	7102021;3000003	200;200000		1	400000	
10202115	102021	5	1		3	75102021	12	7310202105		250	101:196;201:81.8;301:486	7102021;3000003	200;250000		1	800000	
10202116	102021	6	1						4	250	101:294;201:122.7;301:729	7102021;3000003	200;300000		1	1600000	
10300810	103008	0	1		2	61103008	5		1	0					1		
10300811	103008	1	1				6	7310300801		90	101:59.3;201:31.2;301:187.2	7103008;3000003	100;20000		1	40000	
10300812	103008	2	1						2	90	101:59.3;201:31.2;301:187.2	7103008;3000003	100;40000		1	80000	
10300813	103008	3	1		3	73103008	7	7310300803		130	101:88.9;201:46.8;301:280.8	7103008;3000003	100;60000		1	160000	
10300814	103008	4	1						3	130	101:88.9;201:46.8;301:280.8	7103008;3000003	200;80000		1	320000	
10300815	103008	5	1		3	75103008	8	7310300805		180	101:114;201:60;301:360	7103008;3000003	200;100000		1	640000	
10300816	103008	6	1						4	180	101:171;201:90;301:540	7103008;3000003	200;120000		1	1280000	
10300210	103002	0	1		2	61103002	5		1	0					1		
10300211	103002	1	1				6	7310300201		90	101:68.6;201:26.7;301:168.5	7103002;3000003	100;20000		1	50000	
10300212	103002	2	1						2	90	101:68.6;201:26.7;301:168.5	7103002;3000003	100;40000		1	100000	
10300213	103002	3	1		3	73103002	7	7310300203		130	101:103;201:40;301:252.7	7103002;3000003	100;60000		1	200000	
10300214	103002	4	1						3	130	101:103;201:40;301:252.7	7103002;3000003	200;80000		1	400000	
10300215	103002	5	1		3	75103002	8	7310300205		180	101:132;201:51.3;301:324	7103002;3000003	200;100000		1	800000	
10300216	103002	6	1						4	180	101:198;201:77;301:486	7103002;3000003	200;120000		1	1600000	
10300710	103007	0	1		2	61103007	9		1	0					1		
10300711	103007	1	1				10	7310300701		120	101:99;201:38.5;301:255.2	7103007;3000003	100;50000		1	40000	
10300712	103007	2	1						2	120	101:99;201:38.5;301:255.2	7103007;3000003	100;100000		1	80000	
10300713	103007	3	1		3	73103007	11	7310300703		180	101:148.5;201:57.7;301:382.7	7103007;3000003	100;150000		1	160000	
10300714	103007	4	1						3	180	101:148.5;201:57.7;301:382.7	7103007;3000003	200;200000		1	320000	
10300715	103007	5	1		3	75103007	12	7310300705		250	101:198;201:77;301:510.3	7103007;3000003	200;250000		1	640000	
10300716	103007	6	1						4	250	101:297;201:115.4;301:765.5	7103007;3000003	200;300000		1	1280000	
10301910	103019	0	1		2	61103019	1		1	0					1		
10301911	103019	1	1				2	7310301901		60	101:38.4;201:23;301:146.5	7103019;3000003	100;10000		1	50000	
10301912	103019	2	1						2	60	101:38.4;201:23;301:146.5	7103019;3000003	100;20000		1	100000	
10301913	103019	3	1		3	73103019	3	7310301903		80	101:38.4;201:23;301:146.5	7103019;3000003	100;30000		1	200000	
10301914	103019	4	1						3	80	101:43.5;201:26.1;301:166.3	7103019;3000003	200;40000		1	400000	
10301915	103019	5	1		3	75103019	4	7310301905		100	101:43.5;201:26.1;301:166.3	7103019;3000003	200;50000		1	800000	
10301916	103019	6	1						4	100	101:43.5;201:26.1;301:166.3	7103019;3000003	200;60000		1	1600000	
10302110	103021	0	1		2	61103021	9		1	0					1		
10302111	103021	1	1				10	7310302101		120	101:90.9;201:43.2;301:278.1	7103021;3000003	100;50000		1	30000	
10302112	103021	2	1						2	120	101:90.9;201:43.2;301:278.1	7103021;3000003	100;100000		1	60000	
10302113	103021	3	1		3	73103021	11	7310302103		180	101:136.4;201:64.8;301:417.2	7103021;3000003	100;150000		1	120000	
10302114	103021	4	1						3	180	101:136.4;201:64.8;301:417.2	7103021;3000003	200;200000		1	240000	
10302115	103021	5	1		3	75103021	12	7310302105		250	101:181.8;201:86.4;301:556.2	7103021;3000003	200;250000		1	480000	
10302116	103021	6	1						4	250	101:272.7;201:129.6;301:834.3	7103021;3000003	200;300000		1	960000	
10400310	104003	0	1		2	61104003	5		1	0					1		
10400311	104003	1	1				6	7310400301		90	101:52.8;201:34.3;301:208	7104003;3000003	100;20000		1	50000	
10400312	104003	2	1						2	90	101:52.8;201:34.3;301:208	7104003;3000003	100;40000		1	100000	
10400313	104003	3	1		3	73104003	7	7310400303		130	101:79.2;201:51.5;301:312	7104003;3000003	100;60000		1	200000	
10400314	104003	4	1						3	130	101:79.2;201:51.5;301:312	7104003;3000003	200;80000		1	400000	
10400315	104003	5	1		3	75104003	8	7310400305		180	101:101.5;201:66;301:400	7104003;3000003	200;100000		1	800000	
10400316	104003	6	1						4	180	101:152.3;201:99;301:599.9	7104003;3000003	200;120000		1	1600000	
10400510	104005	0	1		2	61104005	1		1	0					1		
10400511	104005	1	1				2	7310400501		60	101:37.2;201:23.7;301:146.5	7104005;3000003	100;10000		1	40000	
10400512	104005	2	1						2	60	101:37.2;201:23.7;301:146.5	7104005;3000003	100;20000		1	80000	
10400513	104005	3	1		3	73104005	3	7310400503		80	101:37.2;201:23.7;301:146.5	7104005;3000003	100;30000		1	160000	
10400514	104005	4	1						3	80	101:42.2;201:26.9;301:166.3	7104005;3000003	200;40000		1	320000	
10400515	104005	5	1		3	75104005	4	7310400505		100	101:42.2;201:26.9;301:166.3	7104005;3000003	200;50000		1	640000	
10400516	104005	6	1						4	100	101:42.2;201:26.9;301:166.3	7104005;3000003	200;60000		1	1280000	
10400110	104001	0	1		2	61104001	9		1	0					1		
10400111	104001	1	1				10	7310400101		120	101:81;201:49.5;301:297	7104001;3000003	100;50000		1	30000	
10400112	104001	2	1						2	120	101:81;201:49.5;301:297	7104001;3000003	100;100000		1	60000	
10400113	104001	3	1		3	73104001	11	7310400103		180	101:121.5;201:74.3;301:445.5	7104001;3000003	100;150000		1	120000	
10400114	104001	4	1						3	180	101:121.5;201:74.3;301:445.5	7104001;3000003	200;200000		1	240000	
10400115	104001	5	1		3	75104001	12	7310400105		250	101:162;201:99;301:594	7104001;3000003	200;250000		1	480000	
10400116	104001	6	1						4	250	101:243;201:148.5;301:891	7104001;3000003	200;300000		1	960000	
10400810	104008	0	1		2	61104008	5		1	0					1		
10400811	104008	1	1				6	7310400801		90	101:53.9;201:33.6;301:208	7104008;3000003	100;20000		1	40000	
10400812	104008	2	1						2	90	101:53.9;201:33.6;301:208	7104008;3000003	100;40000		1	80000	
10400813	104008	3	1		3	73104008	7	7310400803		130	101:80.9;201:50.5;301:312	7104008;3000003	100;60000		1	160000	
10400814	104008	4	1						3	130	101:80.9;201:50.5;301:312	7104008;3000003	200;80000		1	320000	
10400815	104008	5	1		3	75104008	8	7310400805		180	101:103.7;201:64.7;301:400	7104008;3000003	200;100000		1	640000	
10400816	104008	6	1						4	180	101:155.5;201:97;301:599.9	7104008;3000003	200;120000		1	1280000	
10500810	105008	0	1		2	61105008	9		1	0					1		
10500811	105008	1	1				10	7310500801		120	101:99;201:40.5;301:243	7105008;3000003	100;50000		1	40000	
10500812	105008	2	1						2	120	101:99;201:40.5;301:243	7105008;3000003	100;100000		1	80000	
10500813	105008	3	1		3	73105008	11	7310500803		180	101:148.5;201:60.8;301:364.5	7105008;3000003	100;150000		1	160000	
10500814	105008	4	1						3	180	101:148.5;201:60.8;301:364.5	7105008;3000003	200;200000		1	320000	
10500815	105008	5	1		3	75105008	12	7310500805		250	101:198;201:81;301:486	7105008;3000003	200;250000		1	640000	
10500816	105008	6	1						4	250	101:297;201:121.5;301:729	7105008;3000003	200;300000		1	1280000	
10500110	105001	0	1		2	61105001	5		1	0					1		
10500111	105001	1	1				6	7310500101		90	101:68;201:26.7;301:170.2	7105001;3000003	100;20000		1	30000	
10500112	105001	2	1						2	90	101:68;201:26.7;301:170.2	7105001;3000003	100;40000		1	60000	
10500113	105001	3	1		3	73105001	7	7310500103		130	101:101.9;201:40;301:255.2	7105001;3000003	100;60000		1	120000	
10500114	105001	4	1						3	130	101:101.9;201:40;301:255.2	7105001;3000003	200;80000		1	240000	
10500115	105001	5	1		3	75105001	8	7310500105		180	101:130.7;201:51.3;301:327.2	7105001;3000003	200;100000		1	480000	
10500116	105001	6	1						4	180	101:196;201:77;301:490.9	7105001;3000003	200;120000		1	960000	
10500210	105002	0	1		2	61105002	1		1	0					1		
10500211	105002	1	1				2	7310500201		60	101:46.9;201:19.4;301:116.3	7105002;3000003	100;10000		1	40000	
10500212	105002	2	1						2	60	101:46.9;201:19.4;301:116.3	7105002;3000003	100;20000		1	80000	
10500213	105002	3	1		3	73105002	3	7310500203		80	101:46.9;201:19.4;301:116.3	7105002;3000003	100;30000		1	160000	
10500214	105002	4	1						3	80	101:53.2;201:22;301:132	7105002;3000003	200;40000		1	320000	
10500215	105002	5	1		3	75105002	4	7310500205		100	101:53.2;201:22;301:132	7105002;3000003	200;50000		1	640000	
10500216	105002	6	1						4	100	101:53.2;201:22;301:132	7105002;3000003	200;60000		1	1280000	
10500610	105006	0	1		2	61105006	5		1	0					1		
10500611	105006	1	1				6	7310500601		90	101:66.6;201:27.5;301:168.5	7105006;3000003	100;20000		1	50000	
10500612	105006	2	1						2	90	101:66.6;201:27.5;301:168.5	7105006;3000003	100;40000		1	100000	
10500613	105006	3	1		3	73105006	7	7310500603		130	101:99.9;201:41.3;301:252.7	7105006;3000003	100;60000		1	200000	
10500614	105006	4	1						3	130	101:99.9;201:41.3;301:252.7	7105006;3000003	200;80000		1	400000	
10500615	105006	5	1		3	75105006	8	7310500605		180	101:128;201:52.9;301:324	7105006;3000003	200;100000		1	800000	
10500616	105006	6	1						4	180	101:192.1;201:79.4;301:486	7105006;3000003	200;120000		1	1600000	
10600810	106008	0	1		2	61106008	5		1	0					1		
10600811	106008	1	1				6	7310600801		90	101:54.5;201:33.6;301:205.9	7106008;3000003	100;20000		1	30000	
10600812	106008	2	1						2	90	101:54.5;201:33.6;301:205.9	7106008;3000003	100;40000		1	60000	
10600813	106008	3	1		3	73106008	7	7310600803		130	101:81.7;201:50.5;301:308.9	7106008;3000003	100;60000		1	120000	
10600814	106008	4	1						3	130	101:81.7;201:50.5;301:308.9	7106008;3000003	200;80000		1	240000	
10600815	106008	5	1		3	75106008	8	7310600805		180	101:104.8;201:64.7;301:396	7106008;3000003	200;100000		1	480000	
10600816	106008	6	1						4	180	101:157.1;201:97;301:594	7106008;3000003	200;120000		1	960000	
10600110	106001	0	1		2	61106001	1		1	0					1		
10600111	106001	1	1				2	7310600101		60	101:38.4;201:23.9;301:140.7	7106001;3000003	100;10000		1	50000	
10600112	106001	2	1						2	60	101:38.4;201:23.9;301:140.7	7106001;3000003	100;20000		1	100000	
10600113	106001	3	1		3	73106001	3	7310600103		80	101:38.4;201:23.9;301:140.7	7106001;3000003	100;30000		1	200000	
10600114	106001	4	1						3	80	101:43.5;201:27.2;301:159.7	7106001;3000003	200;40000		1	400000	
10600115	106001	5	1		3	75106001	4	7310600105		100	101:43.5;201:27.2;301:159.7	7106001;3000003	200;50000		1	800000	
10600116	106001	6	1						4	100	101:43.5;201:27.2;301:159.7	7106001;3000003	200;60000		1	1600000	
10600210	106002	0	1		2	61106002	9		1	0					1		
10600211	106002	1	1				10	7310600201		120	101:81;201:48.5;301:302.9	7106002;3000003	100;50000		1	40000	
10600212	106002	2	1						2	120	101:81;201:48.5;301:302.9	7106002;3000003	100;100000		1	80000	
10600213	106002	3	1		3	73106002	11	7310600203		180	101:121.5;201:72.8;301:454.4	7106002;3000003	100;150000		1	160000	
10600214	106002	4	1						3	180	101:121.5;201:72.8;301:454.4	7106002;3000003	200;200000		1	320000	
10600215	106002	5	1		3	75106002	12	7310600205		250	101:162;201:97;301:605.9	7106002;3000003	200;250000		1	640000	
10600216	106002	6	1						4	250	101:243;201:145.5;301:908.8	7106002;3000003	200;300000		1	1280000	
10601010	106010	0	1		2	61106010	5		1	0					1		
10601011	106010	1	1				6	7310601001		90	101:53.9;201:34;301:205.9	7106010;3000003	100;20000		1	40000	
10601012	106010	2	1						2	90	101:53.9;201:34;301:205.9	7106010;3000003	100;40000		1	80000	
10601013	106010	3	1		3	73106010	7	7310601003		130	101:80.9;201:51;301:308.9	7106010;3000003	100;60000		1	160000	
10601014	106010	4	1						3	130	101:80.9;201:51;301:308.9	7106010;3000003	200;80000		1	320000	
10601015	106010	5	1		3	75106010	8	7310601005		180	101:103.7;201:65.3;301:396	7106010;3000003	200;100000		1	640000	
10601016	106010	6	1						4	180	101:155.5;201:98;301:594	7106010;3000003	200;120000		1	1280000	
10700810	107008	0	1		2	61107008	5		1	0					1		
10700811	107008	1	1				6	7310700801		90	101:67.3;201:27.5;301:166.8	7107008;3000003	100;20000		1	50000	
10700812	107008	2	1						2	90	101:67.3;201:27.5;301:166.8	7107008;3000003	100;40000		1	100000	
10700813	107008	3	1		3	73107008	7	7310700803		130	101:100.9;201:41.3;301:250.2	7107008;3000003	100;60000		1	200000	
10700814	107008	4	1						3	130	101:100.9;201:41.3;301:250.2	7107008;3000003	200;80000		1	400000	
10700815	107008	5	1		3	75107008	8	7310700805		180	101:129.4;201:52.9;301:320.8	7107008;3000003	200;100000		1	800000	
10700816	107008	6	1						4	180	101:194;201:79.4;301:481.1	7107008;3000003	200;120000		1	1600000	
10700110	107001	0	1		2	61107001	9		1	0					1		
10700111	107001	1	1				10	7310700101		120	101:99;201:40.5;301:243	7107001;3000003	100;50000		1	40000	
10700112	107001	2	1						2	120	101:99;201:40.5;301:243	7107001;3000003	100;100000		1	80000	
10700113	107001	3	1		3	73107001	11	7310700103		180	101:148.5;201:60.8;301:364.5	7107001;3000003	100;150000		1	160000	
10700114	107001	4	1						3	180	101:148.5;201:60.8;301:364.5	7107001;3000003	200;200000		1	320000	
10700115	107001	5	1		3	75107001	12	7310700105		250	101:198;201:81;301:486	7107001;3000003	200;250000		1	640000	
10700116	107001	6	1						4	250	101:297;201:121.5;301:729	7107001;3000003	200;300000		1	1280000	
10700510	107005	0	1		2	61107005	5		1	0					1		
10700511	107005	1	1				6	7310700501		90	101:56.2;201:33.3;301:201.8	7107005;3000003	100;20000		1	40000	
10700512	107005	2	1						2	90	101:56.2;201:33.3;301:201.8	7107005;3000003	100;40000		1	80000	
10700513	107005	3	1		3	73107005	7	7310700503		130	101:84.2;201:49.9;301:302.7	7107005;3000003	100;60000		1	160000	
10700514	107005	4	1						3	130	101:84.2;201:49.9;301:302.7	7107005;3000003	200;80000		1	320000	
10700515	107005	5	1		3	75107005	8	7310700505		180	101:108;201:64;301:388.1	7107005;3000003	200;100000		1	640000	
10700516	107005	6	1						4	180	101:162;201:96;301:582.1	7107005;3000003	200;120000		1	1280000	
10800810	108008	0	1		2	61108008	1		1	0					1		
10800811	108008	1	1				2	7310800801		60	101:47.9;201:19.2;301:115.1	7108008;3000003	100;10000		1	50000	
10800812	108008	2	1						2	60	101:47.9;201:19.2;301:115.1	7108008;3000003	100;20000		1	100000	
10800813	108008	3	1		3	73108008	3	7310800803		80	101:47.9;201:19.2;301:115.1	7108008;3000003	100;30000		1	200000	
10800814	108008	4	1						3	80	101:54.3;201:21.8;301:130.6	7108008;3000003	200;40000		1	400000	
10800815	108008	5	1		3	75108008	4	7310800805		100	101:54.3;201:21.8;301:130.6	7108008;3000003	200;50000		1	800000	
10800816	108008	6	1						4	100	101:54.3;201:21.8;301:130.6	7108008;3000003	200;60000		1	1600000	
10800110	108001	0	1		2	61108001	9		1	0					1		
10800111	108001	1	1				10	7310800101		120	101:99;201:40.1;301:245.4	7108001;3000003	100;50000		1	40000	
10800112	108001	2	1						2	120	101:99;201:40.1;301:245.4	7108001;3000003	100;100000		1	80000	
10800113	108001	3	1		3	73108001	11	7310800103		180	101:148.5;201:60.1;301:368.1	7108001;3000003	100;150000		1	160000	
10800114	108001	4	1						3	180	101:148.5;201:60.1;301:368.1	7108001;3000003	200;200000		1	320000	
10800115	108001	5	1		3	75108001	12	7310800105		250	101:198;201:80.2;301:490.9	7108001;3000003	200;250000		1	640000	
10800116	108001	6	1						4	250	101:297;201:120.3;301:736.3	7108001;3000003	200;300000		1	1280000	
10800610	108006	0	1		2	61108006	9		1	0					1		
10800611	108006	1	1		3	71108006	10	7310800601		120	101:100;201:40.1;301:243	7108006;3000003	100;50000		1	50000	
10800612	108006	2	1						2	120	101:100;201:40.1;301:243	7108006;3000003	100;100000		1	100000	
10800613	108006	3	1				11	7310800603		180	101:150;201:60.1;301:364.5	7108006;3000003	100;150000		1	200000	
10800614	108006	4	1						3	180	101:150;201:60.1;301:364.5	7108006;3000003	200;200000		1	400000	
10800615	108006	5	1				12	7310800605		250	101:200;201:80.2;301:486	7108006;3000003	200;250000		1	800000	
10800616	108006	6	1						4	250	101:300;201:120.3;301:729	7108006;3000003	200;300000		1	1600000	
10800410	108004	0	1		2	61108004	5		1	0					1		
10800411	108004	1	1				6	7310800401		90	101:69.3;201:27;301:165.1	7108004;3000003	100;20000		1	30000	
10800412	108004	2	1						2	90	101:69.3;201:27;301:165.1	7108004;3000003	100;40000		1	60000	
10800413	108004	3	1		3	73108004	7	7310800403		130	101:104;201:40.4;301:247.7	7108004;3000003	100;60000		1	120000	
10800414	108004	4	1						3	130	101:104;201:40.4;301:247.7	7108004;3000003	200;80000		1	240000	
10800415	108004	5	1		3	75108004	8	7310800405		180	101:133.3;201:51.8;301:317.5	7108004;3000003	200;100000		1	480000	
10800416	108004	6	1						4	180	101:200;201:77.8;301:476.3	7108004;3000003	200;120000		1	960000	
10900810	109008	0	1		2	61109008	9		1	0					1		
10900811	109008	1	1				10	7310900801		120	101:96;201:41.7;301:243	7109008;3000003	100;50000		1	50000	
10900812	109008	2	1						2	120	101:96;201:41.7;301:243	7109008;3000003	100;100000		1	100000	
10900813	109008	3	1		3	73109008	11	7310900803		180	101:144;201:62.6;301:364.5	7109008;3000003	100;150000		1	200000	
10900814	109008	4	1						3	180	101:144;201:62.6;301:364.5	7109008;3000003	200;200000		1	400000	
10900815	109008	5	1		3	75109008	12	7310900805		250	101:192.1;201:83.4;301:486	7109008;3000003	200;250000		1	800000	
10900816	109008	6	1						4	250	101:288.1;201:125.1;301:729	7109008;3000003	200;300000		1	1600000	
11000810	110008	0	1		2	61110008	9		1	0					1		
11000811	110008	1	1				10	7311000801		120	101:97;201:40.9;301:245.4	7110008;3000003	100;50000		1	50000	
11000812	110008	2	1						2	120	101:97;201:40.9;301:245.4	7110008;3000003	100;100000		1	100000	
11000813	110008	3	1		3	73110008	11	7311000803		180	101:145.5;201:61.4;301:368.1	7110008;3000003	100;150000		1	200000	
11000814	110008	4	1						3	180	101:145.5;201:61.4;301:368.1	7110008;3000003	200;200000		1	400000	
11000815	110008	5	1		3	75110008	12	7311000805		250	101:194;201:81.8;301:490.9	7110008;3000003	200;250000		1	800000	
11000816	110008	6	1						4	250	101:291.1;201:122.7;301:736.3	7110008;3000003	200;300000		1	1600000	
11100810	111008	0	1		2	61111008	5		1	0					1		
11100811	111008	1	1				6	7311100801		90	101:60.5;201:30.6;301:187.2	7111008;3000003	100;20000		1	50000	
11100812	111008	2	1						2	90	101:60.5;201:30.6;301:187.2	7111008;3000003	100;40000		1	100000	
11100813	111008	3	1		3	73111008	7	7311100803		130	101:90.8;201:45.9;301:280.8	7111008;3000003	100;60000		1	200000	
11100814	111008	4	1						3	130	101:90.8;201:45.9;301:280.8	7111008;3000003	200;80000		1	400000	
11100815	111008	5	1		3	75111008	8	7311100805		180	101:116.4;201:58.8;301:360	7111008;3000003	200;100000		1	800000	
11100816	111008	6	1						4	180	101:174.6;201:88.2;301:540	7111008;3000003	200;120000		1	1600000	
11100210	111002	0	1		2	61111002	9		1	0					1		
11100211	111002	1	1				10	7311100201		120	101:88.2;201:45;301:275.4	7111002;3000003	100;50000		1	40000	
