id	property	status
10200808	101:380.1;201:164.5;301:965	1
10200809	101:470.1;201:200.5;301:1193	1
10200810	101:574.1;201:246.1;301:1453	1
10200811	101:686.1;201:288.1;301:1733	1
10200812	101:813.6;201:340.7;301:2048	1
10200813	101:949.6;201:404.7;301:2400	1
10200814	101:1102.6;201:464.2;301:2774	1
10200815	101:1264.6;201:536.3;301:3188	1
10200701		1
10200702	101:30;201:12;301:75	1
10200703	101:80;201:32;301:200	1
10200704	101:153.6;201:63.5;301:375	1
10200705	101:233.6;201:95.5;301:575	1
10200706	101:323.6;201:131.5;301:800	1
10200707	101:423.6;201:171.5;301:1045	1
10200708	101:539.1;201:221;301:1331	1
10200709	101:671.1;201:275;301:1649	1
10200710	101:814.1;201:333.5;301:2006.5	1
10200711	101:975.1;201:396.5;301:2405.5	1
10200712	101:1155.1;201:471.5;301:2840.5	1
10200713	101:1347.1;201:551.6;301:3320.5	1
10200714	101:1559.6;201:636.6;301:3847.5	1
10200715	101:1793.6;201:726.6;301:4414.5	1
10201101		1
10201102	101:25.5;201:16.5;301:93	1
10201103	101:68;201:41.5;301:248	1
10201104	101:127.6;201:76.5;301:468.5	1
10201105	101:195.6;201:120.5;301:716.5	1
10201106	101:272.1;201:165.5;301:995.5	1
10201107	101:357.1;201:215.6;301:1305.5	1
10201108	101:456.1;201:276.1;301:1663	1
10201109	101:564.1;201:342.1;301:2059	1
10201110	101:687.6;201:420.2;301:2507.5	1
10201111	101:827.6;201:497.2;301:2997.5	1
10201112	101:977.6;201:587.2;301:3545	1
10201113	101:1137.6;201:691.2;301:4145	1
10201114	101:1316.1;201:801.7;301:4791.1	1
10201115	101:1514.1;201:918.7;301:5502.1	1
10200101		1
10200102	101:18;201:6;301:42	1
10200103	101:45.5;201:18.5;301:112	1
10200104	101:87.5;201:36;301:210	1
10200105	101:131.5;201:52;301:322	1
10200106	101:185.5;201:74.5;301:448	1
10200107	101:240.6;201:94.5;301:583	1
10200108	101:306.7;201:122;301:742.5	1
10200109	101:384.7;201:152;301:922.5	1
10200110	101:462.7;201:184.5;301:1124	1
10200111	101:560.7;201:226.5;301:1341	1
10200112	101:658.3;201:264;301:1588.5	1
10200113	101:770.3;201:312.1;301:1852.5	1
10200114	101:889.3;201:354.6;301:2150	1
10200115	101:1024.3;201:408.6;301:2465	1
10202101		1
10202102	101:28.5;201:12;301:75	1
10202103	101:78.5;201:32;301:202.5	1
10202104	101:148.5;201:60;301:377.5	1
10202105	101:224.5;201:92;301:581.5	1
10202106	101:314.5;201:128;301:806.5	1
10202107	101:409.5;201:168;301:1056.5	1
10202108	101:525;201:217.5;301:1348	1
10202109	101:651;201:271.5;301:1666	1
10202110	101:787.5;201:323.5;301:2030	1
10202111	101:948.5;201:393.5;301:2429	1
10202112	101:1121;201:461;301:2871.5	1
10202113	101:1305;201:541.1;301:3351.5	1
10202114	101:1509;201:626.1;301:3878.5	1
10202115	101:1734;201:716.1;301:4454.5	1
10300801		1
10300802	101:19.5;201:10.5;301:70.5	1
10300803	101:49.5;201:25.5;301:188	1
10300804	101:95;201:50;301:352.5	1
10300805	101:147;201:78;301:540.5	1
10300806	101:205.5;201:109.5;301:752	1
10300807	101:265.6;201:139.5;301:982	1
10300808	101:342.7;201:178;301:1251.5	1
10300809	101:420.7;201:226;301:1551.5	1
10300810	101:511.7;201:271.5;301:1889.5	1
10300811	101:616.7;201:327.5;301:2260.6	1
10300812	101:729.2;201:387.5;301:2673.1	1
10300813	101:849.2;201:451.6;301:3121.1	1
10300814	101:985.2;201:519.7;301:3614.1	1
10300815	101:1129.2;201:600.7;301:4145.1	1
10300201		1
10300202	101:22.5;201:9.1;301:63	1
10300203	101:60;201:24.1;301:168	1
10300204	101:112.5;201:41.6;301:315	1
10300205	101:172.6;201:65.6;301:483	1
10300206	101:240.1;201:92.6;301:672	1
10300207	101:310.1;201:117.6;301:882	1
10300208	101:398.2;201:150.6;301:1124	1
10300209	101:494.2;201:186.6;301:1394	1
10300210	101:598.2;201:232.2;301:1693	1
10300211	101:717.2;201:274.2;301:2029.1	1
10300212	101:844.7;201:326.7;301:2396.6	1
10300213	101:988.7;201:382.8;301:2804.7	1
10300214	101:1141.7;201:442.3;301:3246.7	1
10300215	101:1312.7;201:505.4;301:3723.8	1
10300701		1
10300702	101:31.5;201:10.5;301:88.6	1
10300703	101:84;201:30.5;301:236.1	1
10300704	101:161;201:58.5;301:442.6	1
10300705	101:245.1;201:86.5;301:678.6	1
10300706	101:339.6;201:122.5;301:944.1	1
10300707	101:444.6;201:157.5;301:1239.1	1
10300708	101:571.1;201:201.5;301:1580.1	1
10300709	101:703.1;201:255.5;301:1958.1	1
10300710	101:859.1;201:307.5;301:2380.6	1
10300711	101:1027.1;201:370.5;301:2849.6	1
10300712	101:1214.6;201:438;301:3367.1	1
10300713	101:1414.6;201:510;301:3927.1	1
10300714	101:1635.6;201:586.5;301:4547.6	1
10300715	101:1878.6;201:676.5;301:5222.6	1
10301901		1
10301902	101:13.5;201:9;301:61.5	1
10301903	101:36;201:21.5;301:164	1
10301904	101:71;201:42.5;301:311	1
10301905	101:107;201:62.5;301:475	1
10301906	101:147.5;201:89.5;301:659.5	1
10301907	101:192.5;201:114.5;301:864.5	1
10301908	101:247.5;201:147.5;301:1101	1
10301909	101:307.5;201:183.5;301:1365	1
10301910	101:372.5;201:222.5;301:1657.5	1
10301911	101:449.5;201:271.6;301:1986.5	1
10301912	101:532.1;201:316.6;301:2346.5	1
10301913	101:620.2;201:372.6;301:2746.5	1
10301914	101:713.7;201:432.2;301:3180.1	1
10301915	101:821.7;201:495.2;301:3648.1	1
10302101		1
10302102	101:30;201:13.5;301:97.6	1
10302103	101:77.5;201:33.5;301:257.6	1
10302104	101:147.6;201:65;301:485.1	1
10302105	101:223.6;201:97;301:741.1	1
10302106	101:313.6;201:137.5;301:1033.6	1
10302107	101:408.6;201:177.5;301:1353.6	1
10302108	101:524.1;201:227;301:1722.1	1
10302109	101:644.1;201:281;301:2136.1	1
10302110	101:787.1;201:346;301:2597.6	1
10302111	101:941.1;201:416;301:3108.7	1
10302112	101:1113.6;201:491.1;301:3671.2	1
10302113	101:1297.6;201:571.1;301:4295.2	1
10302114	101:1501.6;201:656.1;301:4966.7	1
10302115	101:1726.6;201:755.1;301:5704.8	1
10400301		1
10400302	101:16.5;201:12;301:78	1
10400303	101:46.5;201:29.5;301:208	1
10400304	101:85;201:54;301:390	1
10400305	101:133;201:86;301:598	1
10400306	101:182.5;201:117.5;301:832	1
10400307	101:237.5;201:152.6;301:1092.1	1
10400308	101:303.6;201:196.6;301:1389.1	1
10400309	101:375.6;201:244.6;301:1725.1	1
10400310	101:460.1;201:296.6;301:2095.6	1
10400311	101:551.2;201:352.6;301:2508.6	1
10400312	101:648.7;201:420.1;301:2966.1	1
10400313	101:760.7;201:492.1;301:3462.1	1
10400314	101:879.7;201:568.6;301:4006.1	1
10400315	101:1005.7;201:649.7;301:4600.2	1
10400501		1
10400502	101:13.5;201:9.1;301:61.5	1
10400503	101:36;201:24.1;301:164	1
10400504	101:67.5;201:41.6;301:311	1
10400505	101:103.5;201:65.6;301:475	1
10400506	101:144;201:92.6;301:659.5	1
10400507	101:189;201:117.6;301:864.5	1
10400508	101:244;201:150.6;301:1101	1
10400509	101:298;201:186.6;301:1365	1
10400510	101:363;201:232.2;301:1657.5	1
10400511	101:433;201:274.2;301:1986.5	1
10400512	101:515.5;201:326.7;301:2346.5	1
10400513	101:603.6;201:382.8;301:2746.5	1
10400514	101:697.2;201:442.3;301:3180.1	1
10400515	101:796.2;201:505.4;301:3648.1	1
10400101		1
10400102	101:25.5;201:16.5;301:103.5	1
10400103	101:70.5;201:44;301:276	1
10400104	101:130;201:86;301:517.5	1
10400105	101:202;201:130;301:793.5	1
10400106	101:278.5;201:179.6;301:1104	1
10400107	101:363.5;201:234.6;301:1444	1
10400108	101:462.5;201:300.7;301:1840	1
10400109	101:576.5;201:372.7;301:2278	1
10400110	101:700;201:450.7;301:2772	1
10400111	101:840;201:541.8;301:3318	1
10400112	101:990;201:639.4;301:3918	1
10400113	101:1158;201:751.4;301:4582.1	1
10400114	101:1345;201:870.4;301:5304.6	1
10400115	101:1543;201:996.4;301:6087.6	1
10400801		1
10400802	101:18;201:10.5;301:78	1
10400803	101:45.5;201:30.5;301:208	1
10400804	101:87.5;201:55;301:390	1
10400805	101:131.5;201:83;301:598	1
10400806	101:185.5;201:114.5;301:832	1
10400807	101:240.6;201:149.5;301:1092.1	1
10400808	101:306.7;201:193.5;301:1389.1	1
10400809	101:384.7;201:241.5;301:1725.1	1
10400810	101:462.7;201:293.5;301:2095.6	1
10400811	101:560.7;201:349.5;301:2508.6	1
10400812	101:658.3;201:409.6;301:2966.1	1
10400813	101:770.3;201:481.6;301:3462.1	1
10400814	101:889.3;201:558.1;301:4006.1	1
10400815	101:1024.3;201:639.1;301:4600.2	1
10500801		1
10500802	101:33;201:12;301:72	1
10500803	101:85.5;201:32;301:194.5	1
10500804	101:162.5;201:60;301:366	1
10500805	101:250.6;201:92;301:558	1
10500806	101:349.6;201:128;301:778.5	1
10500807	101:454.6;201:168;301:1018.5	1
10500808	101:581.1;201:217.5;301:1299	1
10500809	101:719.1;201:271.5;301:1611	1
10500810	101:875.1;201:323.5;301:1955.5	1
10500811	101:1050.1;201:393.5;301:2340.5	1
10500812	101:1237.6;201:461;301:2768	1
10500813	101:1445.6;201:541.1;301:3232	1
10500814	101:1675.1;201:626.1;301:3742	1
10500815	101:1927.1;201:716.1;301:4300	1
10500101		1
10500102	101:24;201:9.1;301:61.5	1
10500103	101:64;201:24.1;301:164	1
10500104	101:120;201:41.6;301:307.5	1
10500105	101:184.1;201:65.6;301:471.5	1
10500106	101:256.1;201:92.6;301:656	1
10500107	101:336.1;201:117.6;301:861	1
10500108	101:429.7;201:150.6;301:1097.5	1
10500109	101:531.7;201:186.6;301:1361.5	1
10500110	101:648.7;201:232.2;301:1654	1
10500111	101:774.7;201:274.2;301:1983	1
10500112	101:917.2;201:326.7;301:2343.1	1
10500113	101:1069.2;201:382.8;301:2735.1	1
10500114	101:1239.2;201:442.3;301:3168.7	1
10500115	101:1419.2;201:505.4;301:3636.7	1
10500201		1
10500202	101:18;201:6;301:42	1
10500203	101:50.5;201:18.5;301:114.6	1
10500204	101:92.5;201:36;301:212.6	1
10500205	101:144.5;201:52;301:324.6	1
10500206	101:198.5;201:74.5;301:450.6	1
10500207	101:258.6;201:94.5;301:590.6	1
10500208	101:330.1;201:122;301:755.6	1
10500209	101:414.1;201:152;301:935.6	1
10500210	101:498.6;201:184.5;301:1137.1	1
10500211	101:596.6;201:226.5;301:1361.1	1
10500212	101:709.1;201:264;301:1608.6	1
10500213	101:829.1;201:312.1;301:1872.6	1
10500214	101:956.6;201:354.6;301:2170.1	1
10500215	101:1100.6;201:408.6;301:2494.1	1
10500601		1
10500602	101:24;201:9;301:54	1
10500603	101:61.5;201:24;301:146.5	1
10500604	101:117.5;201:45;301:272.5	1
10500605	101:181.6;201:69;301:420.5	1
10500606	101:253.6;201:96;301:582.5	1
10500607	101:328.6;201:121;301:762.5	1
10500608	101:422.2;201:159.5;301:971.5	1
10500609	101:524.2;201:195.5;301:1205.5	1
10500610	101:634.7;201:234.5;301:1465.5	1
10500611	101:760.7;201:283.6;301:1752.5	1
10500612	101:895.7;201:336.1;301:2075	1
10500613	101:1047.7;201:392.1;301:2427	1
10500614	101:1209.2;201:451.7;301:2809.5	1
10500615	101:1389.2;201:514.7;301:3223.5	1
10600801		1
10600802	101:18;201:10.5;301:73.5	1
10600803	101:48;201:30.5;301:198.5	1
10600804	101:86.5;201:55;301:373.5	1
10600805	101:134.5;201:83;301:573.5	1
10600806	101:188.5;201:114.5;301:798.5	1
10600807	101:243.5;201:149.5;301:1043.5	1
10600808	101:315.1;201:193.5;301:1329.5	1
10600809	101:387.1;201:241.5;301:1647.5	1
10600810	101:471.6;201:293.5;301:2005	1
10600811	101:562.7;201:349.5;301:2397.1	1
10600812	101:667.7;201:409.6;301:2832.1	1
10600813	101:779.7;201:481.6;301:3312.1	1
10600814	101:898.7;201:558.1;301:3839.1	1
10600815	101:1033.7;201:639.1;301:4406.1	1
10600101		1
10600102	101:13.5;201:10.5;301:51	1
10600103	101:36;201:28;301:138.5	1
10600104	101:71;201:52.5;301:257.5	1
10600105	101:107;201:80.5;301:393.5	1
10600106	101:147.5;201:112;301:546.5	1
10600107	101:192.5;201:142;301:716.5	1
10600108	101:247.5;201:186;301:914.5	1
10600109	101:307.5;201:228;301:1130.5	1
10600110	101:372.5;201:280;301:1377.5	1
10600111	101:449.5;201:329;301:1650.5	1
10600112	101:532.1;201:389.1;301:1950.5	1
10600113	101:620.2;201:461.1;301:2278.5	1
10600114	101:713.7;201:529.1;301:2635.5	1
10600115	101:821.7;201:610.1;301:3022.5	1
10600201		1
10600202	101:24;201:13.5;301:100.5	1
10600203	101:66.5;201:38.5;301:270.5	1
10600204	101:122.5;201:73.5;301:508.5	1
10600205	101:186.6;201:109.5;301:780.5	1
10600206	101:258.6;201:154.5;301:1086.5	1
10600207	101:338.7;201:199.5;301:1421.6	1
10600208	101:432.2;201:254.5;301:1812.1	1
10600209	101:540.2;201:320.6;301:2244.1	1
10600210	101:650.7;201:385.6;301:2725.1	1
10600211	101:783.7;201:462.6;301:3264.1	1
10600212	101:926.2;201:545.2;301:3856.6	1
10600213	101:1078.2;201:641.2;301:4512.7	1
10600214	101:1248.2;201:743.2;301:5218.2	1
10600215	101:1437.2;201:851.2;301:5992.2	1
10601001		1
10601002	101:18;201:12;301:73.5	1
10601003	101:45.5;201:29.5;301:198.5	1
10601004	101:87.5;201:54;301:373.5	1
10601005	101:131.5;201:86;301:573.5	1
10601006	101:185.5;201:117.5;301:798.5	1
10601007	101:240.6;201:152.6;301:1043.5	1
10601008	101:306.7;201:196.6;301:1329.5	1
10601009	101:384.7;201:244.6;301:1647.5	1
10601010	101:462.7;201:296.6;301:2005	1
10601011	101:560.7;201:352.6;301:2397.1	1
10601012	101:658.3;201:420.1;301:2832.1	1
10601013	101:770.3;201:492.1;301:3312.1	1
10601014	101:889.3;201:568.6;301:3839.1	1
10601015	101:1024.3;201:649.7;301:4406.1	1
10700801		1
10700802	101:22.5;201:9;301:54	1
10700803	101:57.5;201:24;301:144	1
10700804	101:110;201:45;301:270	1
10700805	101:166;201:69;301:414	1
10700806	101:233.5;201:96;301:576	1
10700807	101:303.5;201:121;301:756	1
10700808	101:391.6;201:159.5;301:965	1
10700809	101:481.6;201:195.5;301:1193	1
10700810	101:585.6;201:234.5;301:1453	1
10700811	101:704.6;201:283.6;301:1733	1
10700812	101:832.1;201:336.1;301:2048	1
10700813	101:968.1;201:392.1;301:2400	1
10700814	101:1121.1;201:451.7;301:2774	1
10700815	101:1283.1;201:514.7;301:3188	1
10700101		1
10700102	101:31.5;201:12;301:72	1
10700103	101:84;201:32;301:194.5	1
10700104	101:161;201:60;301:366	1
10700105	101:245.1;201:92;301:558	1
10700106	101:339.6;201:128;301:778.5	1
10700107	101:444.6;201:168;301:1018.5	1
10700108	101:571.1;201:217.5;301:1299	1
10700109	101:703.1;201:271.5;301:1611	1
10700110	101:859.1;201:323.5;301:1955.5	1
10700111	101:1027.1;201:393.5;301:2340.5	1
10700112	101:1214.6;201:461;301:2768	1
10700113	101:1414.6;201:541.1;301:3232	1
10700114	101:1635.6;201:626.1;301:3742	1
10700115	101:1878.6;201:716.1;301:4300	1
10700501		1
10700502	101:19.5;201:10.5;301:64.5	1
10700503	101:52;201:30.5;301:174.5	1
10700504	101:97.5;201:55;301:328.5	1
10700505	101:149.5;201:83;301:500.5	1
10700506	101:208.1;201:114.5;301:698.5	1
10700507	101:273.1;201:149.5;301:913.5	1
10700508	101:350.2;201:193.5;301:1166.5	1
10700509	101:434.3;201:241.5;301:1442.5	1
10700510	101:525.3;201:293.5;301:1754.5	1
10700511	101:630.3;201:349.5;301:2104.5	1
10700512	101:742.8;201:409.6;301:2487.1	1
10700513	101:870.8;201:481.6;301:2903.1	1
10700514	101:1006.8;201:558.1;301:3362.1	1
10700515	101:1159.8;201:639.1;301:3857.1	1
10800801		1
10800802	101:19.5;201:6;301:48	1
10800803	101:49.5;201:18.5;301:125.5	1
10800804	101:95;201:36;301:234	1
10800805	101:147;201:52;301:362	1
10800806	101:205.5;201:74.5;301:501.5	1
10800807	101:265.6;201:94.5;301:656.5	1
10800808	101:342.7;201:122;301:838	1
10800809	101:420.7;201:152;301:1036	1
10800810	101:511.7;201:184.5;301:1263.5	1
10800811	101:616.7;201:226.5;301:1508.5	1
10800812	101:729.2;201:264;301:1786	1
10800813	101:849.2;201:312.1;301:2090	1
10800814	101:985.2;201:354.6;301:2413	1
10800815	101:1129.2;201:408.6;301:2773	1
10800101		1
10800102	101:33;201:12;301:82.5	1
10800103	101:85.5;201:32;301:220	1
10800104	101:162.5;201:60;301:412.5	1
10800105	101:250.6;201:92;301:632.5	1
10800106	101:349.6;201:128;301:880	1
10800107	101:454.6;201:163;301:1150	1
10800108	101:581.1;201:212.5;301:1463.5	1
10800109	101:719.1;201:260.5;301:1817.5	1
10800110	101:875.1;201:319;301:2207.5	1
10800111	101:1050.1;201:382;301:2641.5	1
10800112	101:1237.6;201:449.5;301:3121.5	1
10800113	101:1445.6;201:529.5;301:3649.6	1
10800114	101:1675.1;201:614.5;301:4227.6	1
10800115	101:1927.1;201:704.5;301:4857.6	1
10800601		1
10800602	101:33;201:12;301:79.6	1
10800603	101:88;201:32;301:209.6	1
10800604	101:165.1;201:60;301:391.6	1
10800605	101:253.1;201:92;301:603.6	1
10800606	101:352.1;201:128;301:837.6	1
10800607	101:457.1;201:163;301:1097.6	1
10800608	101:583.6;201:212.5;301:1400.1	1
10800609	101:721.6;201:260.5;301:1730.1	1
10800610	101:884.1;201:319;301:2107.1	1
10800611	101:1052.1;201:382;301:2520.1	1
10800612	101:1247.1;201:449.5;301:2977.6	1
10800613	101:1455.1;201:529.5;301:3481.6	1
10800614	101:1684.6;201:614.5;301:4034.1	1
10800615	101:1936.6;201:704.5;301:4628.2	1
10800401		1
10800402	101:25.5;201:9.1;301:60.1	1
10800403	101:65.5;201:24.1;301:160.1	1
10800404	101:121.6;201:41.6;301:300.1	1
10800405	101:189.6;201:65.6;301:460.1	1
10800406	101:261.7;201:92.6;301:640.1	1
10800407	101:341.7;201:117.6;301:835.1	1
10800408	101:435.2;201:150.6;301:1066.1	1
10800409	101:543.2;201:186.6;301:1318.1	1
10800410	101:660.2;201:232.2;301:1604.1	1
10800411	101:786.2;201:274.2;301:1919.1	1
10800412	101:928.7;201:326.7;301:2271.6	1
10800413	101:1088.7;201:382.8;301:2655.7	1
10800414	101:1258.7;201:442.3;301:3072.2	1
10800415	101:1447.7;201:505.4;301:3531.3	1
10900801		1
10900802	101:28.5;201:12;301:72	1
10900803	101:78.5;201:32;301:194.5	1
10900804	101:148.5;201:63.5;301:366	1
10900805	101:224.5;201:95.5;301:558	1
10900806	101:314.5;201:131.5;301:778.5	1
10900807	101:409.5;201:171.5;301:1018.5	1
10900808	101:525;201:221;301:1299	1
10900809	101:651;201:275;301:1611	1
10900810	101:787.5;201:333.5;301:1955.5	1
10900811	101:948.5;201:396.5;301:2340.5	1
10900812	101:1121;201:471.5;301:2768	1
10900813	101:1305;201:551.6;301:3232	1
10900814	101:1509;201:636.6;301:3742	1
10900815	101:1734;201:726.6;301:4300	1
11000801		1
11000802	101:31.5;201:12;301:73.5	1
11000803	101:84;201:32;301:196	1
11000804	101:157.6;201:60;301:367.5	1
11000805	101:241.7;201:92;301:563.5	1
11000806	101:336.2;201:128;301:784	1
11000807	101:436.2;201:168;301:1029	1
11000808	101:557.2;201:217.5;301:1309.5	1
11000809	101:689.2;201:271.5;301:1627.5	1
11000810	101:838.7;201:323.5;301:1972	1
11000811	101:1006.7;201:393.5;301:2364	1
11000812	101:1186.7;201:461;301:2791.5	1
11000813	101:1386.7;201:541.1;301:3263.5	1
11000814	101:1607.7;201:626.1;301:3782	1
11000815	101:1841.7;201:716.1;301:4340	1
11100801		1
11100802	101:19.5;201:9.1;301:70.5	1
11100803	101:52;201:26.6;301:188	1
11100804	101:97.5;201:51.1;301:352.5	1
11100805	101:149.5;201:75.1;301:540.5	1
11100806	101:208.1;201:106.6;301:752	1
11100807	101:273.1;201:136.7;301:982	1
11100808	101:350.2;201:175.2;301:1251.5	1
11100809	101:434.3;201:217.2;301:1551.5	1
11100810	101:525.3;201:269.2;301:1889.5	1
11100811	101:630.3;201:318.2;301:2260.6	1
11100812	101:742.8;201:378.3;301:2673.1	1
11100813	101:870.8;201:442.3;301:3121.1	1
11100814	101:1006.8;201:510.4;301:3614.1	1
11100815	101:1159.8;201:582.5;301:4145.1	1
11100201		1
11100202	101:27;201:13.5;301:96	1
11100203	101:69.6;201:36;301:253.5	1
11100204	101:132.6;201:67.5;301:477.5	1
11100205	101:200.6;201:103.5;301:733.5	1
11100206	101:281.6;201:144;301:1021.5	1
11100207	101:366.6;201:189;301:1336.6	1
11100208	101:471.1;201:244;301:1699.6	1
11100209	101:579.1;201:298;301:2107.6	1
11100210	101:709.1;201:363;301:2562.7	1
11100211	101:849.1;201:433;301:3073.7	1
11100212	101:999.1;201:515.5;301:3628.7	1
11100213	101:1167.1;201:603.6;301:4244.7	1
11100214	101:1354.1;201:697.2;301:4907.7	1
11100215	101:1552.1;201:796.2;301:5636.7	1
11200801		1
11200802	101:19.5;201:9.1;301:70.5	1
11200803	101:52;201:26.6;301:188	1
11200804	101:97.5;201:51.1;301:352.5	1
11200805	101:149.5;201:75.1;301:540.5	1
11200806	101:208.1;201:106.6;301:752	1
11200807	101:273.1;201:136.7;301:982	1
11200808	101:350.2;201:175.2;301:1251.5	1
11200809	101:434.3;201:217.2;301:1551.5	1
11200810	101:525.3;201:269.2;301:1889.5	1
11200811	101:630.3;201:318.2;301:2260.6	1
11200812	101:742.8;201:378.3;301:2673.1	1
11200813	101:870.8;201:442.3;301:3121.1	1
11200814	101:1006.8;201:510.4;301:3614.1	1
11200815	101:1159.8;201:582.5;301:4145.1	1
11200201		1
11200202	101:31.5;201:10.5;301:88.6	1
11200203	101:84;201:30.5;301:233.6	1
11200204	101:157.6;201:58.5;301:440.1	1
11200205	101:241.7;201:90.5;301:672.1	1
11200206	101:336.2;201:126.5;301:937.6	1
11200207	101:436.2;201:161.6;301:1227.7	1
11200208	101:557.2;201:211.1;301:1563.2	1
11200209	101:689.2;201:259.1;301:1935.2	1
11200210	101:838.7;201:311.1;301:2357.7	1
11200211	101:1006.7;201:374.1;301:2819.7	1
11200212	101:1186.7;201:441.6;301:3329.7	1
11200213	101:1386.7;201:521.6;301:3889.7	1
11200214	101:1607.7;201:598.2;301:4510.3	1
11200215	101:1841.7;201:688.2;301:5176.3	1
11300801		1
11300802	101:22.5;201:9;301:54	1
11300803	101:62.5;201:24;301:146.5	1
11300804	101:118.6;201:45;301:272.5	1
11300805	101:178.6;201:69;301:420.5	1
11300806	101:250.6;201:96;301:582.5	1
11300807	101:325.6;201:121;301:762.5	1
11300808	101:419.1;201:159.5;301:971.5	1
11300809	101:515.2;201:195.5;301:1205.5	1
11300810	101:625.7;201:234.5;301:1465.5	1
11300811	101:751.7;201:283.6;301:1752.5	1
11300812	101:886.7;201:336.1;301:2075	1
11300813	101:1038.7;201:392.1;301:2427	1
11300814	101:1200.2;201:451.7;301:2809.5	1
11300815	101:1380.2;201:514.7;301:3223.5	1
11300101		1
11300102	101:31.5;201:12;301:72	1
11300103	101:84;201:32;301:194.5	1
11300104	101:161;201:60;301:366	1
11300105	101:245.1;201:92;301:558	1
11300106	101:339.6;201:128;301:778.5	1
11300107	101:444.6;201:168;301:1018.5	1
11300108	101:571.1;201:217.5;301:1299	1
11300109	101:703.1;201:271.5;301:1611	1
11300110	101:859.1;201:323.5;301:1955.5	1
11300111	101:1027.1;201:393.5;301:2340.5	1
11300112	101:1214.6;201:461;301:2768	1
11300113	101:1414.6;201:541.1;301:3232	1
11300114	101:1635.6;201:626.1;301:3742	1
11300115	101:1878.6;201:716.1;301:4300	1
11400801		1
11400802	101:18;201:9.1;301:72.1	1
11400803	101:50.5;201:26.6;301:192.1	1
11400804	101:96;201:51.1;301:363.6	1
11400805	101:144;201:75.1;301:555.6	1
11400806	101:202.5;201:106.6;301:771.6	1
11400807	101:262.6;201:136.7;301:1011.6	1
11400808	101:339.7;201:175.2;301:1286.6	1
11400809	101:417.7;201:217.2;301:1598.6	1
11400810	101:508.8;201:269.2;301:1943.1	1
11400811	101:606.8;201:318.2;301:2328.1	1
11400812	101:719.3;201:378.3;301:2748.2	1
11400813	101:839.3;201:442.3;301:3212.2	1
11400814	101:966.8;201:510.4;301:3722.2	1
11400815	101:1110.8;201:582.5;301:4271.2	1
11400101		1
11400102	101:31.5;201:12;301:75.1	1
