roleId	characterId	defaultSkin	urSkin	starSkin	colorSkin	mainCat	playboard	canBattle	catType	location	race	rare	startRareLevel	starMin	attribute	starMax	autoEquip	starLevelType	isHarmonious	mode	lobbyMode	sound	atkSkill1	atkSkill2	atkSkill3	atkSkill4	atkSkill5	atkSkill0	passiveSkill	maxSp	reward	rewardNum	animation	cueName	summonPool	summonData	summonPriority	inChallengPool	inHandBook	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	jp_CV	jp_CV_zh_TW	jp_CV_en_UK	jp_CV_ja_JP	jp_CV_ko_KR	jp_CV_th_TH	cn_CV	cn_CV_zh_TW	cn_CV_en_UK	cn_CV_ja_JP	cn_CV_ko_KR	cn_CV_th_TH
105006	105	10500601	10500699	10500699		2	1	1	7	4	2	2	1	0	2	6	111;104;106;110;109;112;107;108	1	0	105006	105006_lobby	105006	71105006	72105006				73105006	0	5			0					0	0	1	海滩冒险	海灘冒險	Beach Adventure	シーサイドアドバンチャー	비치 보이	พจญภัยบนชายหาด	内特	內特	Nate	ネイト	네이트	เนท	黑铁头发	黑鐵頭髮	Hepaisutosu Kurogane	黒鉄ヘパイストス	쿠로테츠 헤파이스토스	คุโรกาเนะ เฮเฟสทัส						
105008	105	10500801	10500899	10500899		2	1	1	7	4	2	3	1	0	3	6	111;104;106;110;109;112;107;108	1	0	105008	105008_lobby	105008	71105008	72105008				73105008	0	5			1	sfx_card_ssr_105008				0	0	1	英雄憧憬	英雄憧憬	Heroic Visage	憧れのヒーロー	엠비셔스 보이	ฮีโร่ในความฝัน	内特	內特	Nate	ネイト	네이트	เนท	黑铁头发	黑鐵頭髮	Hepaisutosu Kurogane	黒鉄ヘパイストス	쿠로테츠 헤파이스토스	คุโรกาเนะ เฮเฟสทัส						
106001	106	10600101	10600199	10600199		2	1	1	8	3	4	1	1	0	2	6	112;107;109;110;104;106;111;108	1	0	106001	106001_lobby	106001	71106001	72106001				73106001	0	5			0					0	1	1	搬运工	搬運工	Little Docker	運び屋	큐티 포터	แมวส้มขนส่ง	小音	小音	Poppy	イナ	이나	อินะ	三森铃子	三森鈴子	Suzuko Mimori	三森すずこ	미모리 스즈코	มิโมริ สุซึโกะ						
106002	106	10600201	10600299	10600299		2	1	1	8	3	4	3	1	0	2	6	112;107;109;110;104;106;111;108	1	0	106002	106002_lobby	106002	71106002	72106002				73106002	0	5			1	sfx_card_ssr_106002				1	1	1	幽灵社团	幽靈社團	Ghost Club	幽霊クラブ	심령 동아리	ชมรมลี้ลับ	小音	小音	Poppy	イナ	이나	อินะ	三森铃子	三森鈴子	Suzuko Mimori	三森すずこ	미모리 스즈코	มิโมริ สุซึโกะ						
106008	106	10600801	10600899	10600899		2	1	1	8	6	4	2	1	0	3	6	112;107;109;110;104;106;111;108	1	0	106008	106008_lobby	106008	71106008	72106008				73106008	0	5			0					1	1	1	橘色纯真	橘色純真	Orange Naivete	オレンジイノセンス	오렌지 이노센스	แมวส้มแสนซน	小音	小音	Poppy	イナ	이나	อินะ	三森铃子	三森鈴子	Suzuko Mimori	三森すずこ	미모리 스즈코	มิโมริ สุซึโกะ						
106010	106	10601001	10601099			2	1	1	8	3	4	2	1	0	1	6	112;107;109;110;104;106;111;108	1	0	106010	106010_lobby	106010	71106010	72106010				73106010	0	5			0					1	1	1	不思议鸭鸭	不思議鴨鴨	Duck 'n' Roll	ダックファンタシー	어린이 구조대	ห่วงยางเป็ด	小音	小音	Poppy	イナ	이나	อินะ	三森铃子	三森鈴子	Suzuko Mimori	三森すずこ	미모리 스즈코	มิโมริ สุซึโกะ						
107001	107	10700101	10700199	10700199		2	1	1	9	4	4	3	1	0	2	6	111;104;106;110;109;112;107;108	1	0	107001	107001_lobby	107001	71107001	72107001				73107001	0	5			1	sfx_card_ssr_107001				0	0	1	烈火战线	烈火戰線	Frontline Warder	烈火戦線	파이어 파이터	ผู้พิทักษ์แนวหน้า	伊德	伊德	Idego	イード	에이드	เอ็ด	小野友树	小野友樹	Yuki Ono	小野友樹	오노 유우키	โอโนะ ยูกิ						
107005	107	10700501	10700599	10700599		2	1	1	9	4	2	2	1	0	1	6	112;107;109;110;104;106;111;108	1	0	107005	107005_lobby	107005	71107005	72107005				73107005	0	5			0					0	0	1	雪地飞驰	雪地飛馳	Dashing Snow	スキーフライング	보드 마스터	สโนว์รันเนอร์	伊德	伊德	Idego	イード	에이드	เอ็ด	小野友树	小野友樹	Yuki Ono	小野友樹	오노 유우키	โอโนะ ยูกิ						
107008	107	10700801	10700899	10700899		2	1	1	9	4	2	2	1	0	3	6	104;106;110;109;111;112;107;108	1	0	107008	107008_lobby	107008	71107008	72107008				73107008	0	5			0					0	0	1	继承者	繼承者	Protector	継承者	인헤리터	ผู้พิทักษ์	伊德	伊德	Idego	イード	에이드	เอ็ด	小野友树	小野友樹	Yuki Ono	小野友樹	오노 유우키	โอโนะ ยูกิ						
108001	108	10800101	10800199	10800199		2	1	1	10	4	1	3	1	0	3	6	104;106;110;109;111;112;107;108	1	0	108001	108001_lobby	108001	71108001	72108001				73108001	0	5			1	sfx_card_ssr_108001				1	1	1	战略潜艇	戰略潛艇	Tactical Submarine	戦術型サブマリン	서브마린	แบทเทิลมารีน	小白	小白	Shiro	シロ	화이트	ชิโระ	三森铃子	三森鈴子	Suzuko Mimori	三森すずこ	미모리 스즈코	มิโมริ สุซึโกะ						
108004	108	10800401	10800499			2	1	1	10	4	1	2	1	0	3	6	104;106;110;109;111;112;107;108	1	0	108004	108004_lobby	108004	71108004	72108004				73108004	0	5			0					1	1	1	棋盘游戏	棋盤遊戲	Game Master	チェスゲーム	보드 게임	รุกฆาต	小白	小白	Shiro	シロ	화이트	ชิโระ	三森铃子	三森鈴子	Suzuko Mimori	三森すずこ	미모리 스즈코	มิโมริ สุซึโกะ						
108006	108	10800601	10800699	10800699		2	1	1	10	4	2	3	1	0	2	6	111;104;106;110;109;112;107;108	1	0	108006	108006_lobby	108006	71108006	72108006				73108006	0	5			1	sfx_card_ssr_108006				1	1	1	涤荡者	滌蕩者	Combat Mode	穢れを浄化せし者	메이드	คอมแบทโหมด	小白	小白	Shiro	シロ	화이트	ชิโระ	三森铃子	三森鈴子	Suzuko Mimori	三森すずこ	미모리 스즈코	มิโมริ สุซึโกะ						
108008	108	10800801	10800899	10800899		1	1	1	10	4	1	1	1	0	2	6	104;106;110;109;111;112;107;108	1	0	108008	108008_lobby	108008	71108008	72108008				73108008	0	5			0					0	1	1	AI助理	AI助理	AI Assistant	AIアシスタント	AI 어시스턴트	AI ผู้ช่วย	小白	小白	Shiro	シロ	화이트	ชิโระ	三森铃子	三森鈴子	Suzuko Mimori	三森すずこ	미모리 스즈코	มิโมริ สุซึโกะ						
110008	110	11000801	11000899	11000899		2	1	1	12	4	2	3	1	0	1	6	104;106;110;109;111;112;107;108	1	0	110008	110008_lobby	110008	71110008	72110008				73110008	0	5			1	sfx_card_ssr_110008				0	0	1	秘密调查	秘密調查	Secret Investigation	秘密調査	시크릿 에이전트	หน่วยสืบลับ	可可	可可	Cody	ココ	코코	โคโค่	小野友树	小野友樹	Yuki Ono	小野友樹	오노 유우키	โอโนะ ยูกิ						
111002	111	11100201	11100299	11100299		2	1	1	13	6	2	3	1	0	2	6	108;107;112;110;109;104;106;111	1	0	111002	111002_lobby	111002	71111002	72111002				73111002	0	5			1	sfx_card_ssr_111002				1	1	1	长夜冰冕	長夜冰冕	Crown of Frost	ナイトクラウン	얼음 여왕	ราชินีน้ำแข็ง	安雅	安雅	Anja	アンヤ	아냐	อันยา							林步灵	林步靈	Willow		숲의 정령	หลินหลิง
111008	111	11100801	11100899	11100899		2	1	1	13	1	2	2	1	0	1	6	108;107;112;110;109;104;106;111	1	0	111008	111008_lobby	111008	71111008	72111008				73111008	0	5			0					1	1	1	镜光旖梦	鏡光旖夢	Mirrored Dreams	ミラードリーム	거울빛 꿈	กระจกความฝัน	安雅	安雅	Anja	アンヤ	아냐	อันยา												
112002	112	11200201	11200299	11200299		2	1	1	14	1	2	3	1	0	3	6	104;106;110;109;111;112;107;108	1	0	112002	112002_lobby	112002	71112002	72112002				73112002	0	5			1	sfx_card_ssr_112002				1	1	1	冬季奇遇	冬季奇遇	Winter Encounter	スノーフェアリー	스노우 페어리	หิมะแรกพบ	米娅	米婭	Mia	ミーヤ	미아	มีอา	歌仓 千登星	歌倉 千登星	Chitose Kagura	歌倉千登星	카구라 치토세	คางุระ จิโตะเซะ						
112008	112	11200801	11200899	11200899		2	1	1	14	6	2	2	1	0	2	6	108;107;112;110;109;104;106;111	1	0	112008	112008_lobby	112008	71112008	72112008				73112008	0	5			0					1	1	1	爱心妆点	愛心妝點	Lovely Makeup	プロデュースの極意	러블리 메이크업	เมกอัปสุดน่ารัก	米娅	米婭	Mia	ミーヤ	미아	มีอา	歌仓 千登星	歌倉 千登星	Chitose Kagura	歌倉千登星	카구라 치토세	คางุระ จิโตะเซะ						
113001	113	11300101	11300199	11300199		2	1	1	15	3	4	3	1	0	1	6	104;106;110;109;111;112;107;108	1	0	113001	113001_lobby	113001	71113001	72113001				73113001	0	5			1	sfx_card_ssr_113001				1	1	1	火树流光	火樹流光	Flying Embers	火樹流光	소녀와 등불	ดวงไฟล่องลอย	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน	向日 真优 	向日 真優	Mayu Hinata	向日真優	마유 히나타	ฮินาตะ มายุ	欧珂	歐珂	Flora		오메가	โอเกอร์
113008	113	11300801	11300899	11300899		2	1	1	15	4	4	2	1	0	1	6	111;104;106;110;109;112;107;108	1	0	113008	113008_lobby	113008	71113008	72113008				73113008	0	5			0					1	1	1	银钩墨舞	銀鉤墨舞	Dances & Ink	墨の舞い	수묵화가	ระบำแห่งหมึก	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน	向日 真优 	向日 真優	Mayu Hinata	向日真優	마유 히나타	ฮินาตะ มายุ						
114001	114	11400101	11400199	11400199		2	1	1	15	4	4	3	1	0	1	6	111;104;106;110;109;112;107;108	1	0	114001	114001_lobby	114001	71114001	72114001				73114001	0	5			1	sfx_card_ssr_114001				1	1	1	夕雪晚照	夕雪晚照	Sunset Radiance	夕雪晩照	이브닝 스노우	ตะวันลับฟ้า	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	歌仓 千登星	歌倉 千登星	Chitose Kagura	歌倉千登星	카구라 치토세	คางุระ จิโตะเซะ	杜松子	杜松子	Juniper		진	ซงซื่อ
114008	114	11400801	11400899	11400899		2	1	1	15	2	4	2	1	0	1	6	108;107;112;110;109;104;106;111	1	0	114008	114008_lobby	114008	71114008	72114008				73114008	0	5			0					1	1	1	墨蕴寻真	墨蘊尋真	Truths & Ink	墨韻追跡	진리의 나침반	คำลับแห่งหมึก	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย	歌仓 千登星	歌倉 千登星	Chitose Kagura	歌倉千登星	카구라 치토세	คางุระ จิโตะเซะ						
904001	4001	90400101		90400199		2	0	1	1	4	1	1	1	0	3	6	104;106;110;109;111;112;107;108	1	0	904001	904001_lobby	904001	71904001	72904001				73904001	0	5			0					0	1	1	憎恶斗者	憎惡鬥者	Fury Fighter	憎悪の闘士	증오의 투사	นักสู้สาว	玛拉	瑪拉	Mara	マーラ	마라	มาร่า	汐崎 帆南	汐崎 帆南	Honami Shiozaki	汐崎帆南	시노자키 호노미	ชิโอซากิ โฮนามิ						
904002	4002	90400201		90400299		2	0	1	1	4	1	1	1	0	2	6	111;104;106;110;109;112;107;108	1	0	904002	904002_lobby	904002	71904002	72904002				73904002	0	5			0					0	1	1	守夜人	守夜人	Night Watch	夜回り	나이트 가디언	ผู้เฝ้าระวังยามราตรี	通夜	通夜	Notte	テツヤ	테츠야	ไนต์เซนต์	间宫 智明	間宮 智明	Tomoaki Mamiya	間宮智明	마미야 토모아키	มามิยะ โทโมอากิ						
904005	4005	90400501		90400599		2	0	1	2	4	1	2	1	0	1	6	111;104;106;110;109;112;107;108	1	0	904005	904005_lobby	904005	71904005	72904005				73904005	0	5			0					0	1	1	修习者	修習者	Blade Master	修行者	수행자	ผู้ฝึกตน	刀客	刀客	Sabre	剣客	소드맨	ซอร์ดแมน	呼山纪之	呼山紀之	Noriyuki Koyama	呼山紀之	코야마 노부유키	โคยามะ โนริยูกิ						
904006	4006	90400601		90400699		2	0	1	1	4	1	1	1	0	3	6	104;106;110;109;111;112;107;108	1	0	904006	904006_lobby	904006	71904006	72904006				73904006	0	5			0					0	1	1	电玩怪客	電玩怪客	Pro Gamer	ゲームオタク	게임 마스터	อัลติเมทเกมเมอร์	阿嘘	阿噓	Ozul	キョーヤ	허쉬	ชู	猪俣 由纪	豬俁 由紀	Yuki Inomata	猪俣由紀	이노마타 유키	ยูกิ อิโนะมาตะ						
904009	4009	90400901		90400999		2	0	1	1	3	1	2	1	0	2	6	104;106;110;109;111;112;107;108	1	0	904009	904009_lobby	904009	71904009	72904009				73904009	0	5			0					0	1	1	欺诈小丑	欺詐小丑	Wicked Clown	ピエロ	조커	โจ๊กเกอร์	瑞德	瑞德	Jester	レド	레더	เร็ตต์	吉良贤介	吉良賢介	Kensuke Kira	吉良賢介	키라 켄스케	คิระ เคนสุเกะ						
904010	4010	90401001				2	0	1	1	5	1	2	1	0	1	6	104;106;110;109;111;112;107;108	1	0	904010	904010_lobby	904010	71904010	72904010				73904010	0	5			0					0	1	1	爆裂火山	爆裂火山	Gas Punk	爆裂火山	볼케이노	ลาวาเบิร์ส	伊雷	伊雷	Ealy	イーリー	일레이	อัลเลน	犬饲真志	犬飼真志	Masashi Inukai	犬饲真志	이누카이 마사히	อินุคาอิ มาซาชิ						
904014	4014	90401401		90401499		2	0	1	1	2	1	3	1	0	3	6	112;107;109;110;104;106;111;108	1	0	904014	904014_lobby	904014	71904014	72904014				73904014	0	5			0	sfx_card_ssr_904014				0	1	1	苍白舞者	蒼白舞者	Ashen Dancer	ホワイトダンサー	페일 댄서	ไวท์ชาโดว์	依琳	依琳	Elaine	エリン	일레인	เอเลน	汐崎 帆南	汐崎 帆南	Honami Shiozaki	汐崎帆南	시노자키 호노미	ชิโอซากิ โฮนามิ						
904015	4015	90401501		90401599		2	0	1	2	5	1	2	1	0	3	6	104;106;110;109;111;112;107;108	1	0	904015	904015_lobby	904015	71904015	72904015				73904015	0	5			0	sfx_card_ssr_904015				0	1	1	怪力巨兔	怪力巨兔	Mighty Bunny	ジャイアントラビット	자이언트 래빗	ตุ๊กต่ายยักษ์	兔子玩偶	兔子玩偶	Rabbit Doll	ウサギのぬいぐるみ	토끼인형	ตุ๊กตากระต่าย	真广式	真廣式	Shiki Mahiro	真広式	마히로 시키	มาฮิโระ ชิกิ						
904020	4020	90402001		90402099		2	0	1	1	4	1	2	1	0	3	6	111;104;106;110;109;112;107;108	1	0	904020	904020_lobby	904020	71904020	72904020				73904020	0	5			0	sfx_card_ssr_904020				0	1	1	时运失衡	時運失衡	Bad Luck	アンバランス	포츈 언밸런스	โชคไม่เข้าข้าง	杰克皇	杰克皇	Jack Roy	ジャック･ザ･キング	잭 로이	คิงแจ็ค	高木谦成	高木謙成	Yoshinari Takagi	高木謙成	타카기 요시나리	ทาคากิ โยชินาริ						
904022	4022	90402201		90402299		2	0	1	2	5	1	2	1	0	3	6	111;104;106;110;109;112;107;108	1	0	904022	904022_lobby	904022	71904022	72904022				73904022	0	5			0					0	1	1	夺魂之镰	奪魂之鐮	Soul Taker	収穫の時期	소울사이드	โซลริปเปอร์	死神	死神	Reaper	シニガミ	하데스	กริมรีปเปอร์	稻村惠太郎	稻村惠太郎	Keitaro Inamura	稲村恵太郎	이나무라 케이타로	อินามุระ เคอิทาโร่ 						
