id	type	target	attTypeId	num	status	dec	dec_zh_TW	dec_en_UK	dec_ja_JP	dec_ko_KR	dec_th_TH
1043	1	129	201	43	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1044	1	132	201	44	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1045	1	135	201	45	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1046	1	138	201	46	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1047	1	141	201	47	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1048	1	144	201	48	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1049	1	147	201	49	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1050	1	150	201	50	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1051	1	153	201	51	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1052	1	156	201	52	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1053	1	159	201	53	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1054	1	162	201	54	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1055	1	165	201	55	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1056	1	168	201	56	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1057	1	171	201	57	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1058	1	174	201	58	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1059	1	177	201	59	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1060	1	180	201	60	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1061	1	183	201	61	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1062	1	186	201	62	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1063	1	189	201	63	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1064	1	192	201	64	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1065	1	195	201	65	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1066	1	198	201	66	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1067	1	201	201	67	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1068	1	204	201	68	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1069	1	207	201	69	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1070	1	210	201	70	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1071	1	213	201	71	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1072	1	216	201	72	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1073	1	219	201	73	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1074	1	222	201	74	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1075	1	225	201	75	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1076	1	228	201	76	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1077	1	231	201	77	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1078	1	234	201	78	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1079	1	237	201	79	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1080	1	240	201	80	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1081	1	243	201	81	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1082	1	246	201	82	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1083	1	249	201	83	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1084	1	252	201	84	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1085	1	255	201	85	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1086	1	258	201	86	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1087	1	261	201	87	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1088	1	264	201	88	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1089	1	267	201	89	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1090	1	270	201	90	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1091	1	273	201	91	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1092	1	276	201	92	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1093	1	279	201	93	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1094	1	282	201	94	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1095	1	285	201	95	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1096	1	288	201	96	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1097	1	291	201	97	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1098	1	294	201	98	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1099	1	297	201	99	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1100	1	300	201	100	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1101	1	303	201	101	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1102	1	306	201	102	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1103	1	309	201	103	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1104	1	312	201	104	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1105	1	315	201	105	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1106	1	318	201	106	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1107	1	321	201	107	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1108	1	324	201	108	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1109	1	327	201	109	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1110	1	330	201	110	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1111	1	333	201	111	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1112	1	336	201	112	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1113	1	339	201	113	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1114	1	342	201	114	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1115	1	345	201	115	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1116	1	348	201	116	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1117	1	351	201	117	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1118	1	354	201	118	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1119	1	357	201	119	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1120	1	360	201	120	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1121	1	363	201	121	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1122	1	366	201	122	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1123	1	369	201	123	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1124	1	372	201	124	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1125	1	375	201	125	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1126	1	378	201	126	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1127	1	381	201	127	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1128	1	384	201	128	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1129	1	387	201	129	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1130	1	390	201	130	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1131	1	393	201	131	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1132	1	396	201	132	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1133	1	399	201	133	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1134	1	402	201	134	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1135	1	405	201	135	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1136	1	408	201	136	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1137	1	411	201	137	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1138	1	414	201	138	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1139	1	417	201	139	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1140	1	420	201	140	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1141	1	423	201	141	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1142	1	426	201	142	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1143	1	429	201	143	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1144	1	432	201	144	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1145	1	435	201	145	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1146	1	438	201	146	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1147	1	441	201	147	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1148	1	444	201	148	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1149	1	447	201	149	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
1150	1	450	201	150	1	角色星级总数	角色星級總數	Total Character Stars	キャラの★数	캐릭터 별 등급 총 수량	จำนวน​รวม​ระดับ​ดาว​ของ​ตัวละคร​
