id	copyId	bossTypes	types	SceneId	rounds	roleNun	proposalLevel	powerRatioTeamID	battleRules	damageTotal	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	illustrate	illustrate_zh_TW	illustrate_en_UK	illustrate_ja_JP	illustrate_ko_KR	illustrate_th_TH
801010	3	1	2	15801	6	4	1	11	13	1	1												
801011	3	1	3	15801	6	4	1	11	13	1	1												
801012	3	2	4	15801	6	4	1	11	13	1	1							游戏机自身防御力大幅提升，每受到一段伤害提升效果降低1层（共50层），当提升效果完全消失时，重置被动，并使游戏机下一次受到伤害时额外按攻击者500%攻击力造成一次【纯粹伤害】。	遊戲機自身防禦力大幅提升，每受到一段傷害提升效果降低1層（共50層），當提升效果完全消失時，重置被動，並使遊戲機下一次受到傷害時額外按攻擊者500%攻擊力造成一次【純粹傷害】。	The Arcade has a substantial DEF Boost. For each instance of damage it takes, the Boost effect is reduced by 1 stack (up to a maximum of 50 stacks). Once the Boost effect is fully depleted, its Passive resets, causing it to take an additional [Pure DMG] at 500% of the attacker's ATK the next time it is attacked.	ゲーム機自身の防御力は大幅に上昇し、ダメージを受ける度にその効果が1スタック(最大50スタック)削減される。防御力上昇効果が完全に消えると、パッシブスキルがリセットされ、次にダメージを受ける時、攻撃を発動した者の攻撃力500％に相当する【純ダメージ】を追加で受ける。	게임기는 자체 방어력이 대폭 증가하며, 대미지가 적용된 후 적용되는 효과가 1스택 감소합니다.(총 50스택). 증가 효과가 완전히 사라지면 패시브 효과는 초기화되고, 게임기가 다음 번 공격에서 대미지 적용 시 공격자의 공격력의 500%에 해당하는 [순수 대미지]를 1회 부여합니다.	วอร์​แมชชีน​เพิ่ม​ DEF​ ขึ้น​อย่าง​มาก​ และ​เอฟเฟกต์​เพิ่ม​ DEF​ จะ​ลดลง​ 1​ ชั้น​ทุกครั้งที่​ได้รับ​ดา​เม​จ​ (​รวม​ 50​ ชั้น​)​ เมื่อ​เอฟเฟกต์​เพิ่ม​ DEF​ หมด​ลง​ จะ​รีเซ็ต​ และ​การ​โจมตี​ครั้ง​ถัดไป​จะ​สร้าง​ [​ดา​เม​จ​เพียว​]​ 500%​ ของ​ ATK​ ผู้​โจมตี​
801013	4	1	1	15801	6	4	1	11	13	1	1												
801014	4	1	2	15801	6	4	1	11	13	1	1												
801015	4	1	3	15801	6	4	1	11	13	1	1												
801016	4	2	4	15801	6	4	1	11	13	1	1							游戏机自身防御力大幅提升，每受到一段伤害提升效果降低1层（共50层），当提升效果完全消失时，重置被动，并使游戏机下一次受到伤害时额外按攻击者500%攻击力造成一次【纯粹伤害】。	遊戲機自身防禦力大幅提升，每受到一段傷害提升效果降低1層（共50層），當提升效果完全消失時，重置被動，並使遊戲機下一次受到傷害時額外按攻擊者500%攻擊力造成一次【純粹傷害】。	The Arcade has a substantial DEF Boost. For each instance of damage it takes, the Boost effect is reduced by 1 stack (up to a maximum of 50 stacks). Once the Boost effect is fully depleted, its Passive resets, causing it to take an additional [Pure DMG] at 500% of the attacker's ATK the next time it is attacked.	ゲーム機自身の防御力は大幅に上昇し、ダメージを受ける度にその効果が1スタック(最大50スタック)削減される。防御力上昇効果が完全に消えると、パッシブスキルがリセットされ、次にダメージを受ける時、攻撃を発動した者の攻撃力500％に相当する【純ダメージ】を追加で受ける。	게임기는 자체 방어력이 대폭 증가하며, 대미지가 적용된 후 적용되는 효과가 1스택 감소합니다.(총 50스택). 증가 효과가 완전히 사라지면 패시브 효과는 초기화되고, 게임기가 다음 번 공격에서 대미지 적용 시 공격자의 공격력의 500%에 해당하는 [순수 대미지]를 1회 부여합니다.	วอร์​แมชชีน​เพิ่ม​ DEF​ ขึ้น​อย่าง​มาก​ และ​เอฟเฟกต์​เพิ่ม​ DEF​ จะ​ลดลง​ 1​ ชั้น​ทุกครั้งที่​ได้รับ​ดา​เม​จ​ (​รวม​ 50​ ชั้น​)​ เมื่อ​เอฟเฟกต์​เพิ่ม​ DEF​ หมด​ลง​ จะ​รีเซ็ต​ และ​การ​โจมตี​ครั้ง​ถัดไป​จะ​สร้าง​ [​ดา​เม​จ​เพียว​]​ 500%​ ของ​ ATK​ ผู้​โจมตี​
801017	5	1	1	15801	6	4	1	11	13	1	1												
801018	5	1	2	15801	6	4	1	11	13	1	1												
801019	5	1	3	15801	6	4	1	11	13	1	1												
801020	5	2	4	15801	6	4	1	11	13	1	1							话筒蜥蜴的奥义技能会频繁召唤怪物助战，且承担召唤怪物50%受到的伤害，可以通过攻击召唤怪物对首领造成额外伤害	麥克風蜥蜴的奧義技能會頻繁召喚怪獸助戰，承擔召喚怪獸50%受到的傷害，可以透過攻擊召喚怪獸對首領造成額外傷害	The MIC Lizard regularly summons assisting monsters with its Ultimate, absorbing 50% of the damage these summoned creatures receive. You can attack the summoned monsters to deal additional damage to the boss.	マイクトカゲのSP技は敵を召喚して加勢を呼びかける技となり、その上自身が召喚された敵たちの受けるダメージを50％分担する。召喚された敵を攻撃することでボスに追加ダメージを与えることができる。	마이크 도마뱀의 필살기 스킬은 몬스터를 소환하여 도움을 받는 것이며, 소환된 몬스터가 적용되는 대미지의 50%를 대신 적용하며, 소환된 몬스터를 공격하면 보스에게 추가 대미지를 부여할 수 있다.	ซาวด์​ลิ​ซาร์​ด​สามารถ​ใช้​สกิลอัล​ติ​เมท​ เรียก​มอนสเตอร์​มา​ช่วย​ต่อสู้​ได้​ และ​จะ​รับ​ดา​เม​จ​ 50%​ ที่​มอนสเตอร์​ที่​ถูก​เรียก​ได้รับ​ ผู้​เล่น​สามารถ​โจมตี​มอนสเตอร์​ที่​ถูก​เรียก​เพื่อ​สร้าง​ดา​เม​จ​เพิ่มเติม​แก่​บอส​ได้​
801021	6	1	1	15801	6	4	1	11	13	1	1												
801022	6	1	2	15801	6	4	1	11	13	1	1												
801023	6	1	3	15801	6	4	1	11	13	1	1												
801024	6	2	4	15801	6	4	1	11	13	1	1							话筒蜥蜴的奥义技能会频繁召唤怪物助战，且承担召唤怪物50%受到的伤害，可以通过攻击召唤怪物对首领造成额外伤害	麥克風蜥蜴的奧義技能會頻繁召喚怪獸助戰，承擔召喚怪獸50%受到的傷害，可以透過攻擊召喚怪獸對首領造成額外傷害	The MIC Lizard regularly summons assisting monsters with its Ultimate, absorbing 50% of the damage these summoned creatures receive. You can attack the summoned monsters to deal additional damage to the boss.	マイクトカゲのSP技は敵を召喚して加勢を呼びかける技となり、その上自身が召喚された敵たちの受けるダメージを50％分担する。召喚された敵を攻撃することでボスに追加ダメージを与えることができる。	마이크 도마뱀의 필살기 스킬은 몬스터를 소환하여 도움을 받는 것이며, 소환된 몬스터가 적용되는 대미지의 50%를 대신 적용하며, 소환된 몬스터를 공격하면 보스에게 추가 대미지를 부여할 수 있다.	ซาวด์​ลิ​ซาร์​ด​สามารถ​ใช้​สกิลอัล​ติ​เมท​ เรียก​มอนสเตอร์​มา​ช่วย​ต่อสู้​ได้​ และ​จะ​รับ​ดา​เม​จ​ 50%​ ที่​มอนสเตอร์​ที่​ถูก​เรียก​ได้รับ​ ผู้​เล่น​สามารถ​โจมตี​มอนสเตอร์​ที่​ถูก​เรียก​เพื่อ​สร้าง​ดา​เม​จ​เพิ่มเติม​แก่​บอส​ได้​
