id	ruleId	startDay	endDay	NextID	copyId	status
120	4004	2033/7/20 5:00	2033/7/27 4:59	121	3	1
121	4004	2033/8/17 5:00	2033/8/24 4:59	122	5	1
122	4004	2033/9/14 5:00	2033/9/21 4:59	123	1	1
123	4004	2033/10/12 5:00	2033/10/19 4:59	124	2	1
124	4004	2033/11/9 5:00	2033/11/16 4:59	125	3	1
125	4004	2033/12/7 5:00	2033/12/14 4:59	126	5	1
126	4004	2034/1/4 5:00	2034/1/11 4:59	127	1	1
127	4004	2034/2/1 5:00	2034/2/8 4:59	128	2	1
128	4004	2034/3/1 5:00	2034/3/8 4:59	129	3	1
129	4004	2034/3/29 5:00	2034/4/5 4:59	130	5	1
130	4004	2034/4/26 5:00	2034/5/3 4:59	131	1	1
131	4004	2034/5/24 5:00	2034/5/31 4:59	132	1	1
132	4004	2034/6/21 5:00	2034/6/28 4:59	133	2	1
133	4004	2034/7/19 5:00	2034/7/26 4:59	134	3	1
134	4004	2034/8/16 5:00	2034/8/23 4:59	135	5	1
135	4004	2034/9/13 5:00	2034/9/20 4:59	136	1	1
136	4004	2034/10/11 5:00	2034/10/18 4:59	137	2	1
137	4004	2034/11/8 5:00	2034/11/15 4:59	138	3	1
138	4004	2034/12/6 5:00	2034/12/13 4:59	139	5	1
139	4004	2035/1/3 5:00	2035/1/10 4:59	140	1	1
140	4004	2035/1/31 5:00	2035/2/7 4:59	141	2	1
141	4004	2035/2/28 5:00	2035/3/7 4:59	142	3	1
142	4004	2035/3/28 5:00	2035/4/4 4:59	143	5	1
143	4004	2035/4/25 5:00	2035/5/2 4:59	144	1	1
144	4004	2035/5/23 5:00	2035/5/30 4:59	145	1	1
145	4004	2035/6/20 5:00	2035/6/27 4:59	146	2	1
146	4004	2035/7/18 5:00	2035/7/25 4:59	147	3	1
147	4004	2035/8/15 5:00	2035/8/22 4:59	148	5	1
148	4004	2035/9/12 5:00	2035/9/19 4:59	149	1	1
149	4004	2035/10/10 5:00	2035/10/17 4:59	150	2	1
150	4004	2035/11/7 5:00	2035/11/14 4:59	151	3	1
151	4004	2035/12/5 5:00	2035/12/12 4:59	152	5	1
152	4004	2036/1/2 5:00	2036/1/9 4:59	153	1	1
153	4004	2036/1/30 5:00	2036/2/6 4:59	154	2	1
154	4004	2036/2/27 5:00	2036/3/5 4:59	155	3	1
155	4004	2036/3/26 5:00	2036/4/2 4:59	156	5	1
156	4004	2036/4/23 5:00	2036/4/30 4:59	157	1	1
157	4004	2036/5/21 5:00	2036/5/28 4:59	158	-575	1
158	4004	2036/6/18 5:00	2036/6/25 4:59	159	1	1
159	4004	2036/7/16 5:00	2036/7/23 4:59	160	2	1
160	4004	2036/8/13 5:00	2036/8/20 4:59	161	3	1
161	4004	2036/9/10 5:00	2036/9/17 4:59	162	5	1
162	4004	2036/10/8 5:00	2036/10/15 4:59	163	1	1
163	4004	2036/11/5 5:00	2036/11/12 4:59	164	2	1
164	4004	2036/12/3 5:00	2036/12/10 4:59	165	3	1
165	4004	2036/12/31 5:00	2037/1/7 4:59	166	5	1
166	4004	2037/1/28 5:00	2037/2/4 4:59	167	1	1
167	4004	2037/2/25 5:00	2037/3/4 4:59	168	2	1
168	4004	2037/3/25 5:00	2037/4/1 4:59	169	3	1
169	4004	2037/4/22 5:00	2037/4/29 4:59	170	5	1
170	4004	2037/5/20 5:00	2037/5/27 4:59	171	1	1
171	4004	2037/6/17 5:00	2037/6/24 4:59	172	1	1
172	4004	2037/7/15 5:00	2037/7/22 4:59	173	2	1
173	4004	2037/8/12 5:00	2037/8/19 4:59	174	3	1
174	4004	2037/9/9 5:00	2037/9/16 4:59	175	5	1
175	4004	2037/10/7 5:00	2037/10/14 4:59	176	1	1
176	4004	2037/11/4 5:00	2037/11/11 4:59	177	2	1
177	4004	2037/12/2 5:00	2037/12/9 4:59	178	3	1
178	4004	2037/12/30 5:00	2038/1/6 4:59	179	5	1
179	4004	2038/1/27 5:00	2038/2/3 4:59	180	1	1
