id	activityId	placeId	unlockBossQuestId	type	unlockLevel	exp	cardExp	battleRules	proposalLevel	costItem	costNum	costNumLose	sceneId	rounds	petLineup	roleNun	repeatButton	powerRatioTeamID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
12008100	1	102		2	12008090			1	40000	9000037	50	0	89904	99	0	4	0	0	1	2-1 兔子玩偶	2-1 兔子玩偶	2-1 Rabbit Doll	2-1 うさぎのぬいぐるみ	2-1 토끼인형	2-1 ตุ๊กตากระต่าย	你们追着暴饮来到了南港区，发现这里到处都是兔子玩偶。你们尝试询问它们暴饮的行踪，却遭受到了攻击。	你們追著暴飲來到了南港區，發現這裡到處都是兔子玩偶。你們嘗試詢問它們暴飲的行蹤，卻遭受到了攻擊。	Chase leads to Southport, swarming with aggressive Rabbit Dolls. They attack at Gorin's mention.	暴飲王子を追いかけて南港区までやって来ると、至る所にうさぎのぬいぐるみがいた。暴飲王子の行方を尋ねようとするが、攻撃を受けてしまう。	주귀를 쫓아서 사우스포트로 왔고 그곳엔 토끼인형으로 가득했다. 그들에게 주귀의 행방에 대해서 물어봤지만 여러분을 공격하기 시작했다.	พวกคุณ​ไล่ตาม​โกริน​มาถึง​เขต​ทะเล​ใต้​ และ​พบ​ว่า​ที่นี่​มี​บัน​นี่​ดอล​อยู่​เต็มไปหมด​ พวกคุณ​พยายาม​ถามหา​เบาะแส​ของ​โกริน​จาก​พวก​มัน​ แต่กลับ​ถูก​โจมตี​ใส่​
12008110	1	102		2	12008100			1	50000	9000037	50	0	89905	99	0	4	0	0	1	2-2 被追逐的人	2-2 被追逐的人	2-2 The Hunted	2-2 追われている人	2-2 쫓기는 사람	2-2 ผู้ถูกไล่ล่า	你们发现了兔子玩偶的怪异之处，想从它们身上找到线索——就在此时，面前出现了被另一只兔子玩偶追赶的拉斐尔和达妮卡等人。	你們發現了兔子玩偶的怪異之處，想從它們身上找到線索——就在此時，面前出現了被另一隻兔子玩偶追趕的拉斐爾和達妮卡等人。	As you search the Rabbit Dolls, Raphaella and Danica appear, a Rabbit Doll at their heels.	うさぎのぬいぐるみのおかしな点に気づき、何か手がかりを見つけようとしたその時ーー目の前に別のうさぎのぬいぐるみに追われているラファエルとダニカらが現れた。	이상한 토끼인형을 발견한 여러분은 그들에게서 단서를 찾았다.——바로 이때, 눈앞에 다른 한 토끼인형에게 쫓기고 있는 라파엘과 다니카를 만났다.	พวกคุณ​สังเกตเห็น​ความผิดปกติ​ของ​ตุ๊กตา​กระต่าย​ และ​พยายาม​หา​เบาะแส​จาก​พวก​มัน​ ใน​ตอนนั้น​เอง​ก็ได้​เจอ​ ราฟาเอล​ ดา​นิ​ก้า​ และ​คนอื่นๆ​ ที่​โดน​ตุ๊กตา​กระต่าย​ไล่ตาม​อยู่​
12008120	1	102		1	12008110			1	60000			0		99	0	4	0	0	1	2-3 突然的噩耗	2-3 突然的噩耗	2-3 Unforeseen Tragedy	2-3 突然の悲報	2-3 갑작스러운 나쁜 소식	2-3​ ข่าวร้าย​ที่มา​อย่าง​กะทันหัน​	好不容易避开了兔子玩偶的追击，你们从拉斐尔口中知道了「流浪猫之家」发生的「意外」。	好不容易避開了兔子玩偶的追擊，你們從拉斐爾口中知道了「流浪貓之家」發生的「意外」。	Narrowly escaping Rabbit Dolls, Raphaella fills you in on Stray Cat Shelter's woes.	ようやくうさぎのぬいぐるみの追撃から逃れたが、ラファエルから「野良猫の家」で起こった「アクシデント」を知らされる。	토끼인형의 추격을 어렵게 피한 후 라파엘에게 「낭만 고양이 하우스」에 「예기치 못한 일」이 생겼다는 소식을 들었다.	หลังจาก​หลบหนี​การ​ไล่ล่า​ของ​ตุ๊กตา​กระต่าย​ได้​ พวกคุณ​ได้​รู้เรื่อง​ "​อุบัติเหตุ​"​ ที่​เกิดขึ้น​ที่​ "​บ้าน​แมว​จร​"​ จาก​ปาก​ของ​ราฟาเอล​
12008130	1	102		1	12008120			1	60000			0		99	0	4	0	0	1	2-4 开放日	2-4 開放日	2-4 Open Day	2-4 開放日	2-4 오픈데이	2-4 วันเปิดบ้าน	拉斐尔告诉了你数小时前「流浪猫之家」发生的事情，「犯人」是一个带着黑兔子玩偶的小男孩。	拉斐爾告訴了你數小時前「流浪貓之家」發生的事情，「犯人」是一個帶著黑兔子玩偶的小男孩。	Raphaella tells of a young boy with a black Rabbit Doll at the shelter earlier.	ラファエルから数時間前に「野良猫の家」で起こったことを教えられ、「犯人」は黒いうさぎのぬいぐるみを連れた男の子だと知らされた。	라파엘이 몇 시간 전에 「낭만 고양이 하우스」에 발생한 일에 대해 들었고 「범인」은 검은 토끼인형을 들고 있는 소년이었다.	ราฟาเอล​เล่า​ให้​คุณ​ฟัง​ถึง​เหตุการณ์​ที่​เกิดขึ้น​ที่​ "​บ้าน​แมว​จร​"​ เมื่อ​ไม่​กี่​ชั่วโมง​ก่อน​ "​คนร้าย​"​ คือ​เด็กชาย​ตัว​น้อย​ที่​พก​ตุ๊กตา​กระต่าย​สี​ดำ​มา​ด้วย​
12008140	1	102		2	12008130			1	60000	9000037	50	0	89906	99	0	4	0	0	1	2-5 流浪猫之家	2-5 流浪貓之家	2-5 Stray Cat Shelter	2-5 野良猫の家	2-5 낭만 고양이 하우스	2-5 บ้านแมวจร	你们决定一起去「流浪猫之家」看看情况，但必须要先解决眼前这个狂暴的兔子玩偶。	你們決定一起去「流浪貓之家」看看情況，但必須要先解決眼前這個狂暴的兔子玩偶。	You're determined to check the Stray Cat Shelter, but a frenzied Rabbit Doll blocks your way.	あなたたちは「野良猫の家」に行って様子を見ることにしたが、まずは目の前の凶暴なうさぎのぬいぐるみを何とかしなければいけない。	여러분은 「낭만 고양이 하우스」에 함께 가서 상황을 보기로 결정했고, 그 전에 눈앞에 있는 폭주하는 토끼인형을 해결해야 한다.	พวกคุณ​ตัดสินใจ​ไปดู​สถานการณ์​ที่​ "​บ้าน​แมว​จร​"​ แต่​ต้อง​จัดการ​กับ​ตุ๊กตา​กระต่าย​ที่​กำลัง​คลั่ง​ตรงหน้า​ก่อน​
12008150	1	102		2	12008140			1	70000	9000037	50	0	89907	99	0	4	0	0	1	2-6 躲猫猫	2-6 躲貓貓	2-6 Hide and Seek	2-6 かくれんぼ	2-6 술래잡기	2-6 ซ่อนแอบ	多亏了红酒的「牺牲」，你们终于来到了「流浪猫之家」。却发现变成兔子玩偶的孩子们正和「犯人」玩着「躲猫猫」。很快，你们的存在引起了「犯人」的注意。	多虧了紅酒的「犧牲」，你們終於來到了「流浪貓之家」。卻發現變成兔子玩偶的孩子們正和「犯人」玩著「躲貓貓」。很快，你們的存在引起了「犯人」的注意。	Thanks to Red Wine's "sacrifice," you reach the Stray Cat Shelter. Kids, turned into Rabbit Dolls, play with the "culprit."	赤ワインの「犠牲」のおかげで、あなたたちはついに「野良猫の家」に辿り着くが、うさぎのぬいぐるみになった子どもたちは「犯人」と「かくれんぼ」をしていた。「犯人」は、すぐにあなたたちに気づいた。	레드 와인의 「희생」 덕분에 여러분은 「낭만 고양이 하우스」에 도착할 수 있었고, 그곳에 가보니 토끼인형으로 변한 아이들이 그 「범인」과 「숨바꼭질」을 하고 있었다. 「범인」이 여러분을 금방 발견해 버렸다.	ด้วย​การ​ "​เสียสละ​"​ ของ​เร​ด​ไวน์​ พวกคุณ​จึง​มาถึง​ "​บ้าน​แมว​จร​"​ ได้​ในที่สุด​ แต่กลับ​พบ​ว่า​เด็ก​ๆ​ ที่​กลายเป็น​ตุ๊กตา​กระต่าย​กำลัง​เล่น​ "​ซ่อนหา​"​ กับ​ "​คนร้าย​"​ อยู่​ และ​การ​ปรากฏตัว​ของ​พวกคุณ​ก็​ดึงดูด​ความสนใจ​ของ​ "​คนร้าย​"​
12008160	1	102		2	12008150			1	80000	9000037	50	0	89908	99	0	4	0	0	1	2-7 所谓的朋友	2-7 所謂的朋友	2-7 A Misguided Friend	2-7 いわゆる友達	2-7 친구란	2-7 เพื่อนที่ว่า	在男孩眼中，你们所做的都是伤害他朋友的「恶行」……愤怒情绪感染了他身旁的黑兔子玩偶，它对你们发起了攻击。	在男孩眼中，你們所做的都是傷害他朋友的「惡行」……憤怒情緒感染了他身旁的黑兔子玩偶，它對你們發起了攻擊。	In his eyes, you are the villain for harming his friends. Driven by anger, the black Rabbit Doll beside him lashes out at you.	男の子からすれば、あなたたちがしていることはすべて彼の友だちを傷つける「悪行」……怒りの感情が彼のそばにいる黒いうさぎのぬいぐるみにも移り、あなたたちに攻撃してきた。	소년의 눈에 비친 여러분의 행동은 그의 친구를 해치는 「악행」 그 자체였다… 분노의 이모션으로 가득 찬 검은 토끼인형은 여러분을 공격하기 시작했다.	ใน​สายตา​ของ​เด็กชาย​ สิ่ง​ที่​พวกคุณ​ทำเป็น​ "​การกระทำ​ที่​ชั่วร้าย​"​ เป็น​การทำร้าย​เพื่อน​ของ​เขา​...​ ความโกรธแค้น​ได้​แพร่กระจาย​ไป​ยัง​ตุ๊กตา​กระต่าย​สี​ดำ​ข้าง​กาย​ และ​เริ่ม​เข้า​จู่โจม​คุณ​
12008170	1	102		1	12008160			1	80000			0		99	0	4	0	0	1	2-8 西敏的实验	2-8 西敏的實驗	2-8 Simon's Experiment	2-8 サイモンの実験	2-8 씨민의 실험	2-8 การทดลองของไซมอน	为了找到将兔子玩偶们变回原样的方法，你们跟着榴莲班戟，来到了西敏的住处，发现正是西敏的失败实验导致了这一切。	為了找到將兔子玩偶們變回原樣的方法，你們跟著榴槤班戟，來到了西敏的住處，發現正是西敏的失敗實驗導致了這一切。	Guided by Durian Pancake, you confront Simon, the cause of the Rabbit Dolls' transformation.	あなたたちは、うさぎのぬいぐるみたちを元に戻す方法を見つけるため、ドリアンパンケーキと共にサイモンの家に行くと、すべては、彼の実験の失敗が招いたことだと知る。	토끼인형들을 원래대로 복구할 방법을 찾기 위해, 여러분은 두리안 팬케이크를 쫓아가기로 했다. 씨민이 살고 있는 곳으로 와보니 이 모든 것이 씨민이 실험에 실패해서 초래했다는 것을 알게 되었다.	เพื่อ​หา​วิธี​เปลี่ยน​เหล่า​ตุ๊กตากระต่าย​ให้​คืน​สู่​สภาพเดิม​ พวกคุณ​จึง​ตาม​ทุเรียน​แพนเค้ก​ไป​ที่​บ้าน​ของ​ไซมอน​ และ​พบ​ว่า​ทั้งหมด​นี้​เกิด​จาก​การทดลอง​ที่​ล้มเหลว​ของ​ไซมอน​
12008180	1	101		1	12008170			1	80000			0		99	0	4	0	0	1	3-1 诡异的钟声	3-1 詭異的鐘聲	3-1 The Eerie Chimes	3-1 不気味な鐘の音	3-1 기괴한 종소리	3-1​ เสียง​ระฆัง​​น่าพิศวง​	一到昆士区，你们就因为奇怪的钟声忘记了正在追暴饮的事，转而为了休息进入了一家咖啡花店。	一到昆士區，你們就因為奇怪的鐘聲忘記了正在追暴飲的事，轉而為了休息進入了一家咖啡花店。	A haunting chime in Quince diverts you from Gorin, leading to a cozy flower-filled cafe.	コンシ区で奇妙な鐘の音を聞くと、暴飲王子を追いかけていることを忘れてしまう。そして、休憩のためにフラワーコーヒーショップに入った。	퀸즈 타운에 오자마자 기괴한 종소리 때문에 주귀를 쫓고 있던 일을 잊게 되었고, 쉬기 위해서 플라워 카페에 들어갔다.	ทันทีที่​มาถึง​เขต​ควินซ์​ เสียง​ระฆัง​ประหลาด​ก็​ทำให้​พวกคุณ​ลืม​เรื่อง​ที่​กำลัง​ไล่ตาม​โกริน​ และ​แวะ​เข้า​ร้านกาแฟ​เพื่อ​พักผ่อน​
12008190	1	101		1	12008180			1	80000			0		99	0	4	0	0	1	3-2 花之伊甸	3-2 花之伊甸	3-2 Eden of Blooms	3-2 花のエデン	3-2 에덴의 꽃	3-2​ สวนอีเดนของเหล่าดอกไม้	你们在咖啡花店里遇到了小曼、特莉丝，安妮和贝斯特，从而了解到了钟楼的古怪，也知道了安妮想要「告白」的心事——你们决定帮助她！	你們在咖啡花店裡遇到了小曼、特莉絲，安妮和貝斯特，從而瞭解到了鐘樓的古怪，也知道了安妮想要「告白」的心事——你們決定幫助她！	Inside, you encounter Mandy, Triss, Annie, and Best. They enlighten you about the peculiar clock tower and Annie's desire to confess her feelings. You decide to lend her a hand.	あなたたちはフラワーコーヒーショップでマンディー、トリス、アンヌとベストに出会い、時計台の怪しさに気付き、そしてアンヌが「告白」しようとしていることを知り、彼女を手伝うことにした。	플라워 카페에 들어가니 맨디, 트리스, 애니, 베스티를 만났고, 그곳에서 기괴한 시계탑에 대해서 알게 되었다. 그리고 애니가 「고백」을 하려고 한다는 사실까지 말이다. 여러분은 그녀를 돕기로 했다!	ที่​ร้านกาแฟ​ พวกคุณ​ได้​พบ​กับ​แมน​ดี้​ ท​ริ​ส​ แอน​นี่​ และ​เบสต์​ ทำ​ให้ได้​รู้เรื่อง​ประหลาด​ของ​หอระฆัง​ และ​ยัง​รู้เรื่อง​ที่​แอน​นี่​อยาก​ "​สารภาพ​รัก​"​ ด้วย​ พวกคุณ​จึง​ตัดสินใจ​ช่วย​เธอ​!​
12008200	1	101		2	12008190			1	80000	9000037	50	0	89909	99	0	4	0	0	1	3-3 购物风波	3-3 購物風波	3-3 Shopping Spree	3-3 買い物騒ぎ	3-3 소란스러운 쇼핑	3-3​ เรื่อง​วุ่น​ระหว่าง​ช็อปปิ้ง​	来到商场购买气氛道具的你们，遇到了帮朋友开店的小铃、艾可和非天，最后在小铃的推荐下，你们选到了不错的商品。	來到商場購買氣氛道具的你們，遇到了幫朋友開店的小鈴、艾可和非天，最後在小鈴的推薦下，你們選到了不錯的商品。	Browsing the mall for decor, you run into Linn, Echo, and Asura, lending a hand at a friend's store. Linn's advice scores you the ideal finds.	雰囲気を盛り上げる道具を購入しにデパートにやって来たあなたたちは、友人の店を手伝っているリン、アイコ、アスラに会い、リンの勧めでとてもいい商品を購入できた。	쇼핑몰에 와서 도구를 구매하려던 여러분은 친구의 가게 오픈을 돕고 있던 린, 에코 그리고 아수라를 만났고, 결국 린의 추천을 받고 괜찮은 상품을 선택했다.	พวกคุณ​มา​ที่​ห้างสรรพสินค้า​เพื่อ​ซื้อ​ของ​ตกแต่ง​ และ​ได้​พบ​กับ​ลินน์​ เอ​ค​โค​ และ​อา​สึ​ระ​ ที่มา​ช่วย​เพื่อน​ดูแล​ร้าน​ สุดท้าย​พวกคุณ​ก็​เลือก​ซื้อ​สินค้า​ตามคำแนะนำ​ของ​ลินน์​
12008210	1	101		1	12008200			1	80000			0		99	0	4	0	0	1	3-4 偶像对决	3-4 偶像對決	3-4 Idol Showdown	3-4 アイドル対決	3-4 아이돌 대결	3-4 ศึกประชันไอดอล	游乐园某处的舞台上正进行着人气对决，看完了表演的你们也为此投上了宝贵的一票。	遊樂園某處的舞臺上正進行著人氣對決，看完了表演的你們也為此投上了寶貴的一票。	A fierce popularity contest is underway on a stage in the amusement park. After enjoying the show, you cast your valuable vote.	遊園地のとあるステージで人気対決が行われており、パフォーマンスを見終わったあなたたちも貴重な一票を投じた。	놀이공원의 어딘가에 있는 무대 위에서 인기 투표를 하고 있었고, 공연을 본 여러분은 귀중한 한표를 던졌다.	บน​เวที​ใน​สวนสนุก​แห่ง​หนึ่ง​กำลัง​มี​การประชัน​ความนิยม​ หลังจาก​ดู​การแสดง​จบ​ พวกคุณ​ก็ได้​ร่วม​ลงคะแนน​
