id	voicecode	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
203	vo_interface_803_03	1	米饭	米飯	Rice	ライス	백미	ไรซ์	这次让调查官大人帮了这么多忙，该准备什么谢礼给您才好呢？	這次讓調查官大人幫了這麼多忙，該準備什麼謝禮給您才好呢？	After all the help you've provided, Inspector, what kind of gift should I prepare to express my gratitude?	調査官さまには色々とお世話になりました、どうお礼すればいいでしょうか？	조사관 나리가 이번에 큰 도움을 주셨는데, 어떤 것으로 보답을 해야할까요?	ครั้งนี้​ต้อง​ให้​ท่าน​ผู้ตรวจการ​ช่วยเหลือ​ตั้ง​มากมาย​ ควร​เตรียม​ของขวัญ​อะไร​เพื่อ​ตอบแทน​ท่าน​ดี​นะ​?​
204	vo_interface_803_04	1	米饭	米飯	Rice	ライス	백미	ไรซ์	要摸摸看这只猫猫吗？别担心，它不会跑走的。因为——红茶姐姐是个温柔的人，猫猫也一定能感受得到……	要摸摸看這只貓貓嗎？別擔心，它不會跑走的。因為——紅茶姐姐是個溫柔的人，貓貓也一定能感受得到……	Would you like to pet this kitty? Don't worry, it won't run away. Black Tea, you have a gentle soul, and the kitty can surely sense that.	ねこちゃんをなでてみませんか？心配しないでください、逃げたりしませんよ。だって、紅茶お姉さんは優しいから、ねこちゃんもきっとそれがわかるはずです……	이 고양이의 머리를 쓰다듬어 주고 싶으신가요? 걱정하지 마세요. 도망가지 않을 거예요. 왜냐하면—— 홍차 언니는 따뜻한 사람이니까, 고양이도 느낄 수 있을 거랍니다…	อยาก​ลอง​ลูบตัว​แมว​ตัว​นี้​ไหม​?​ ไม่ต้อง​กลัว​ มัน​ไม่​หนี​ไป​ไหน​หรอก​ เพราะว่า​...​พี่​แบล็ก​ที​เป็น​คนใจดี​ เจ้า​แมว​ก็​สามารถ​สัมผัส​ได้​แน่​นอ​น.​..​
205	vo_interface_803_05	1	米饭	米飯	Rice	ライス	백미	ไรซ์	祈姐姐每次出现都很突然，完全没有声响。果然……是猫猫啊……	祈姐姐每次出現都很突然，完全沒有聲響。果然……是貓貓啊……	Qi always appears so suddenly, without a sound. She truly embodies a cat's nature...	祈お姉さんはいつも音も立てずに突然現れます。ねこちゃん……だからでしょうか？	기 언니는 항상 아무 기척도 없이 갑자기 등장하네요. 역시… 고양이였네요...	พี่​ฉี​มักจะ​ปรากฏ​ตัวอย่าง​กะทันหัน​อย่าง​เงียบเชียบ​สุด​ๆ​ อย่างว่า​...​ ก็​เป็น​แมว​จริงๆ​ นี่​นะ​...​
206	vo_interface_803_06	1	米饭	米飯	Rice	ライス	백미	ไรซ์	呵呵，能在这里见到大家，真是太好了~	呵呵，能在這裡見到大家，真是太好了~	Oh, it's wonderful to see everyone here!	ふふっ、ここで皆さんに会えて、とても嬉しいです～	하하, 여기서 여러분을 만날 수 있다니, 정말 다행이에요~	คิคิ​ ได้​เจอ​กับ​ทุกคน​ที่นี่​ ดี​จริงๆ​เลย​น้า​~​
207	vo_interface_803_07	1	米饭	米飯	Rice	ライス	백미	ไรซ์	猫猫……摸上去真柔软啊，嘿嘿……唔——怎么会有这么可爱又美好的生命呢。	貓貓……摸上去真柔軟啊，嘿嘿……唔——怎麼會有這麼可愛又美好的生命呢。	This kitty... It feels incredibly soft. Hehe... How can such an adorable and wonderful creature exist?	ねこちゃん……柔らかくて、触り心地がいいです、えへへっ……あぁ……なんて可愛らしい生き物なんでしょう……	고양이…는 만져보면 정말 부드러워요~ 헤헤… 음—— 어떻게 이렇게 귀여운 생명체가 있을까요	เจ้า​แมว​...​ ลูบ​แล้ว​นุ่ม​สุด​ๆ​ เลย​ ฮิ​ฮิ​...​ อืม​...​ ทำไม​ถึง​ได้​มีชีวิต​ที่​น่ารัก​และ​สวยงาม​ขนาด​นี้​อยู่​ได้กัน​นะ​
301	vo_interface_129_01	1	祈	祈	Qi	祈	기	ฉี	哎呀，这扑面而来的花香，让奴家的心都沉醉了……	哎呀，這撲面而來的花香，讓奴家的心都沉醉了……	Ah, the fragrance of flowers is so captivating. It has completely enchanted my heart...	あら、この花の香り、妾の心が酔ってしまうわ……	아이고, 이건 어디서 풍겨지는 꽃향기인지, 소첩의 마음도 취해버리는 것 같소…	อา​...​ กลิ่นหอม​ของ​ดอก​ไม้ลอย​มา​ ทำให้​จิตใจ​ของ​ดิฉัน​ลุ่มหลง​จน​แทบจะ​ละลาย​
302	vo_interface_129_02	1	祈	祈	Qi	祈	기	ฉี	最近啊，总觉得这心里痒痒的……不知道是因为这刚刚到来的春天呢……还是奴家太挂念我们的调查官了……	最近啊，總覺得這心裡癢癢的……不知道是因為這剛剛到來的春天呢……還是奴家太掛念我們的調查官了……	I've been feeling a flutter in my heart... Is it the arrival of spring, or is it my longing for you, my Inspector?	最近ね、ずっと心の中がムズムズするの……来たばかりの春のせいかしら……それとも調査官のことが恋しいからかしら……	요즘은 항상 마음속이 간질간질하오… 봄이 막 와서 그런 것인지… 아니면 소첩이 항상 조사관을 마음속에 두고 있어서인지 모르겠소…	ช่วงนี้​เนี่ย​ รู้สึก​คัน​ยุบยิบ​ใน​ใจ​ตลอด​เลย​...​ ไม่​รู้​ว่า​เป็น​เพราะ​ฤดูใบไม้ผลิ​ที่​เพิ่ง​มา​...​ หรือ​เพราะ​ดิฉัน​คิดถึง​ท่าน​ผู้ตรวจการ​ของ​พวกเรา​มากเกินไป​กัน​แน่​...​
303	vo_interface_129_03	1	祈	祈	Qi	祈	기	ฉี	总是忍不住想对调查官做些「坏事」呢，毕竟奴家可是很贪心的～	總是忍不住想對調查官做些「壞事」呢，畢竟奴家可是很貪心的～	I can't help but have some mischievous thoughts about you, Inspector. You know, I am quite fond of indulgence...	つい調査官をいじめちゃうの、だって妾は欲ばりなんだもの～	항상 조사관을 보면 조사관에게 「나쁜 짓」을 하고만 싶소. 결국 소첩은 욕심이 많은가 보오~	อด​ไม่​ได้​ที่จะ​ทำ​ "​เรื่อง​ไม่​ดี​"​ กับ​ผู้ตรวจการ​ ก็​แห​ม.​..​ ดิฉัน​ก็​เป็น​คน​โลภมาก​คน​หนึ่ง​นี่​นา​~​
304	vo_interface_129_04	1	祈	祈	Qi	祈	기	ฉี	你这般认真的人啊，就该像现在这样多笑笑。不然……可是很难得到美梦的眷顾哦。	你這般認真的人啊，就該像現在這樣多笑笑。不然……可是很難得到美夢的眷顧哦。	Someone as earnest as you should keep wearing that smile on your face. If not... the sweetness of dreams might elude you.	あなたは真面目だね、でも今みたいにもっと笑った方がいいわ。そうでないと……良い夢を見たくても見れないのよ。	그대같이 고지식한 사람은 지금처럼 많이 웃는 것이 좋소. 그렇지 않으면… 아름다운 꿈의 가호를 받지 못할 테니	คน​จริงจัง​แบบ​คุณ​เนี่ย​ ควร​ยิ้ม​ให้​บ่อย​เหมือน​ตอนนี้​นะ​ ไม่อย่างนั้น​ คง​ยาก​ที่จะ​ได้รับ​ความเมตตา​จาก​ฝันดี​นะ​
305	vo_interface_129_05	1	祈	祈	Qi	祈	기	ฉี	呵呵……小家伙的模样生得倒是可爱，连奴家也忍不住想要疼爱一下呢。	呵呵……小傢伙的模樣生得倒是可愛，連奴家也忍不住想要疼愛一下呢。	Hehe... The little one is incredibly adorable. Even I can't resist the urge to pamper it.	ふふっ……なんとも愛らしい子ね、この妾ですら愛でたくなってしまうわ。	후후… 작은 것들은 항상 귀엽소. 소첩도 항상 예뻐해주고 싶소	คิคิ​...​ เจ้า​ตัวเล็ก​นี่​ช่าง​น่ารัก​เสีย​จริง​ แม้แต่​ดิฉัน​ก็​อด​ไม่​ได้​ที่จะ​เอ็นดู​สักหน่อย​
306	vo_interface_129_06	1	祈	祈	Qi	祈	기	ฉี	唔——真是清闲呢……那么，接下来该找谁来当个乐子打发时间呢~	唔——真是清閒呢……那麼，接下來該找誰來當個樂子打發時間呢~	So peaceful and chill... Now, who's up for some fun to pass the time?	う～ん、暇だわ……さてと、誰で暇つぶしをしようかしら～	음—— 정말 여유롭구려… 그럼 소첩은 앞으로 어떤 즐거움을 찾아서 시간을 보낼지 생각해야겠소~	อืม​...​ ว่าง​จัง​เลย​...​ ถ้า​งั้น​ก็​ ไปหา​ใคร​สัก​คน​มา​เล่น​สนุก​เพื่อ​ฆ่าเวลา​ดีกว่า​~​
307	vo_interface_129_07	1	祈	祈	Qi	祈	기	ฉี	缘分，可真是奇妙啊~今日这般偶然的际会，也不知还能再有几回呢……	緣分，可真是奇妙啊~今日這般偶然的際會，也不知還能再有幾回呢……	Fate's got its own plans, huh? I'm curious how many more surprise meetings like today we'll get...	袖振り合うも他生の縁。このような運命の出会いに、あと何度巡り会えるだろうね……	인연이란 묘한 것이오~ 오늘 이 우연한 만남이 앞으로 언젠가 다시 찾아올지도 모른다오…	พรหมลิขิต​ ช่าง​เป็น​สิ่ง​ที่​มหัศจรรย์​จริงๆ​~​ การพบกัน​โดยบังเอิญ​ใน​วันนี้​ ไม่​รู้​จะ​มีโอกาส​แบบนี้​อีก​กี่​ครั้ง​กัน​...​
