id	activityId	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
18	2	1101	4	1	5200011	8			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
19	2	2101	2	50	5200011	40			1	在本期精品展柜活动中抽取达到50次	在本期精品展櫃活動中抽取達到50次	Make 50 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を50回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 50회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 50​ ครั้ง​
20	2	2101	2	100	5200011	40			1	在本期精品展柜活动中抽取达到100次	在本期精品展櫃活動中抽取達到100次	Make 100 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を100回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 100회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 100​ ครั้ง​
21	3	2102	0	1	9000033	1			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
22	3	2102	0	3	9000033	1			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
23	3	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
24	3	601	1	10	9000033	2			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
25	3	7	3000004	200	9000033	2			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
26	3	1101	6	1	9000033	2			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
27	3	1101	4	1	9000033	2			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
28	3	2101	3	50	9000033	10			1	在本期精品展柜活动中抽取达到50次	在本期精品展櫃活動中抽取達到50次	Make 50 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を50回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 50회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 50​ ครั้ง​
29	3	2101	3	100	9000033	10			1	在本期精品展柜活动中抽取达到100次	在本期精品展櫃活動中抽取達到100次	Make 100 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を100回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 100회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 100​ ครั้ง​
30	3	2101	3	150	9000033	10			1	在本期精品展柜活动中抽取达到150次	在本期精品展櫃活動中抽取達到150次	Make 150 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を150回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 150회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 150​ ครั้ง​
31	3	2101	3	200	9000034	1			1	在本期精品展柜活动中抽取达到200次	在本期精品展櫃活動中抽取達到200次	Make 200 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を200回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 200회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 200​ ครั้ง​
32	4	2102	0	1	5200011	4			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
33	4	2102	0	3	5200011	4			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
34	4	2102	0	7	5200011	8			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
35	4	601	1	10	5200011	8			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
36	4	7	3000004	200	5200011	8			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
37	4	1101	6	1	5200011	8			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
38	4	1101	4	1	5200011	8			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
39	4	2101	4	50	5200011	40			1	在本期精品展柜活动中抽取达到50次	在本期精品展櫃活動中抽取達到50次	Make 50 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を50回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 50회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 50​ ครั้ง​
40	4	2101	4	100	5200011	40			1	在本期精品展柜活动中抽取达到100次	在本期精品展櫃活動中抽取達到100次	Make 100 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を100回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 100회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 100​ ครั้ง​
41	5	2102	0	1	9000033	1			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
42	5	2102	0	3	9000033	1			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
43	5	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
44	5	601	1	10	9000033	2			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
45	5	7	3000004	200	9000033	2			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
46	5	1101	6	1	9000033	2			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
47	5	1101	4	1	9000033	2			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
48	5	2101	5	50	9000033	10			1	在本期精品展柜活动中抽取达到50次	在本期精品展櫃活動中抽取達到50次	Make 50 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を50回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 50회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 50​ ครั้ง​
49	5	2101	5	100	9000033	10			1	在本期精品展柜活动中抽取达到100次	在本期精品展櫃活動中抽取達到100次	Make 100 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を100回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 100회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 100​ ครั้ง​
50	6	2102	0	1	9000033	1			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
51	6	2102	0	3	9000033	1			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
52	6	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
53	6	601	1	10	9000033	2			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
54	6	7	3000004	200	9000033	2			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
55	6	1101	6	1	9000033	2			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
56	6	1101	4	1	9000033	2			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
57	6	2101	6	50	9000033	10			1	在本期精品展柜活动中抽取达到50次	在本期精品展櫃活動中抽取達到50次	Make 50 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を50回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 50회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 50​ ครั้ง​
58	6	2101	6	100	9000033	10			1	在本期精品展柜活动中抽取达到100次	在本期精品展櫃活動中抽取達到100次	Make 100 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を100回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 100회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 100​ ครั้ง​
59	7	2102	0	3	5200011	2			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
60	7	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
61	7	601	1	10	5200011	3			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
62	7	601	1	50	9000033	3			1	进行50次召唤	進行50次召喚	Make 50 summons.	召喚を50回行う	소환 50회 진행	รับสมัครครบ 50 ครั้ง
63	7	7	4190004	1000	5200011	5			1	消耗1000点特化绪晶	消耗1000點特化緒晶	Spend 1,000 Refined Pathites.	特化緒晶を1000消費する	스페셜 이모션 크리스털 1000개 소모	ใช้​พา​ไธต์​พิเศษ​ถึง​ 1,000​ เม็ด​
64	7	7	4190004	3000	9000033	5			1	消耗3000点特化绪晶	消耗3000點特化緒晶	Spend 3,000 Refined Pathites.	特化緒晶を3000消費する	스페셜 이모션 크리스털 3000개 소모	ใช้​พา​ไธต์​พิเศษ​ถึง​ 3,000​ เม็ด​
65	7	2101	7	50	5200011	5			1	在本期活动中抽取达到50次	在本期活動中抽取達到50次	Make 50 summons in the current event.	今期の外観ガチャを50回引く	이번 이벤트 소환 50회 진행	ทำการ​สุ่ม​ใน​กิจกรรม​นี้​ถึง​ 50​ ครั้ง​
66	7	2101	7	100	9000033	10			1	在本期活动中抽取达到100次	在本期活動中抽取達到100次	Make 100 summons in the current event.	今期の外観ガチャを100回引く	이번 이벤트 소환 100회 진행	ทำการ​สุ่ม​ใน​กิจกรรม​นี้​ถึง​ 100​ ครั้ง​
68	8	2102	0	1	9000033	1			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
69	8	2102	0	3	9000033	1			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
70	8	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
71	8	601	1	10	9000033	2			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
72	8	7	3000004	200	9000033	2			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
73	8	1101	6	1	9000033	2			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
74	8	1101	4	1	9000033	2			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
75	8	2101	8	50	9000033	10			1	在本期精品展柜活动中抽取达到50次	在本期精品展櫃活動中抽取達到50次	Make 50 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を50回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 50회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 50​ ครั้ง​
76	8	2101	8	100	9000033	10			1	在本期精品展柜活动中抽取达到100次	在本期精品展櫃活動中抽取達到100次	Make 100 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を100回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 100회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 100​ ครั้ง​
77	9	2102	0	1	9000033	1			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
78	9	2102	0	3	9000033	1			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
79	9	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
80	9	601	1	10	9000033	2			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
81	9	7	3000004	200	9000033	2			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
82	9	1101	6	1	9000033	2			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
83	9	1101	4	1	9000033	2			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
84	9	2101	9	50	9000033	10			1	在本期精品展柜活动中抽取达到50次	在本期精品展櫃活動中抽取達到50次	Make 50 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を50回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 50회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 50​ ครั้ง​
85	9	2101	9	100	9000033	10			1	在本期精品展柜活动中抽取达到100次	在本期精品展櫃活動中抽取達到100次	Make 100 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を100回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 100회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 100​ ครั้ง​
86	10	2102	0	1	9000033	1			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
87	10	2102	0	3	9000033	1			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
88	10	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
89	10	601	1	10	9000033	2			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
90	10	7	3000004	200	9000033	2			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
91	10	1101	6	1	9000033	2			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
92	10	1101	4	1	9000033	2			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
93	10	2101	10	50	9000033	10			1	在本期精品展柜活动中抽取达到50次	在本期精品展櫃活動中抽取達到50次	Make 50 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を50回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 50회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 50​ ครั้ง​
94	10	2101	10	100	9000033	10			1	在本期精品展柜活动中抽取达到100次	在本期精品展櫃活動中抽取達到100次	Make 100 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を100回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 100회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 100​ ครั้ง​
95	11	2102	0	1	9000033	1			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
96	11	2102	0	3	9000033	1			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
97	11	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
98	11	601	1	10	9000033	2			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
99	11	7	3000004	200	9000033	2			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
100	11	1101	6	1	9000033	2			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
101	11	1101	4	1	9000033	2			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
102	11	2101	11	50	9000033	10			1	在本期精品展柜活动中抽取达到50次	在本期精品展櫃活動中抽取達到50次	Make 50 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を50回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 50회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 50​ ครั้ง​
103	11	2101	11	100	9000033	10			1	在本期精品展柜活动中抽取达到100次	在本期精品展櫃活動中抽取達到100次	Make 100 summons in the Glamour Galore event.	今回の＜新海コレクション＞イベントで抽選を100回行う	이번 시즌 뉴오션 컬렉션 이벤트에서 누적 100회 소환	ทำการ​สุ่ม​ใน​กิจกรรม​ตู้​โชว์​คอสตูม​พรีเมียม​นี้​ถึง​ 100​ ครั้ง​
104	12	2102	0	1	9000033	1			1	登陆即送	登入即送	Log into the game.	ログインする	로그인 시 증정	ล็อกอินรับทันที
105	12	2102	0	3	9000033	1			1	累计登录达到3天	累計登入達到3天	Log in 3 days in total.	3日ログインする	누적 로그인 3일	สะสมล็อกอินถึง 3 วัน
106	12	2102	0	7	9000033	2			1	累计登录达到7天	累計登入達到7天	Log in 7 days in total.	7日ログインする	누적 로그인 7일	สะสมล็อกอินถึง 7 วัน
107	12	601	1	10	9000033	2			1	进行10次召唤	進行10次召喚	Make 10 summons.	10回召喚する	10회 소환 진행	รับสมัคร 10 ครั้ง
108	12	7	3000004	200	9000033	2			1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
109	12	1101	6	1	9000033	2			1	通关任意难度经验副本1次	通關任意難度經驗副本1次	Complete any EXP Stage 1 time.	EXPステージを1回クリアする	임의의 난이도 경험치 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
110	12	1101	4	1	9000033	2			1	通关任意难度晶片副本1次	通關任意難度晶片副本1次	Complete any Chip Stage 1 time.	チップステージを1回クリアする	임의의 난이도 크리스털 던전 1회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 1​ ครั้ง​
