id	skinIcon	maxRoundNum	ruleID	video	videoStartTime	homeIcon	consumeId	shopIcon	shopBg	mailId	miniNum	status	poolDes	poolDes_zh_TW	poolDes_en_UK	poolDes_ja_JP	poolDes_ko_KR	poolDes_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
10	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13500850.usm	0		9000033	161:skin_draw_shop_icon_13500850	161:skin_draw_exchange_bg	1		1	本期互动皮肤：<color=#ea29b6>萌动女仆</color>	本期互動皮膚：<color=#ea29b6>萌動女僕</color>	Limited interactive skin: <color=#ea29b6>Sweetheart Maid</color>	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>メイドの流儀</color>	이번 시즌 시네마틱 인터랙션 스킨: <color=#ea29b6>사랑스런 메이드</color>	คอสตูม​โต้ตอบ​ใน​รอบ​นี้​:​ <color=#ea29b6>เมดสาวแสนหวาน</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
11	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13500850.usm	0		9000033	161:skin_draw_shop_icon_13500850	161:skin_draw_exchange_bg	1		1	本期互动皮肤：<color=#ea29b6>萌动女仆</color>	本期互動皮膚：<color=#ea29b6>萌動女僕</color>	Limited interactive skin: <color=#ea29b6>Sweetheart Maid</color>	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>メイドの流儀</color>	이번 시즌 시네마틱 인터랙션 스킨: <color=#ea29b6>사랑스런 메이드</color>	คอสตูม​โต้ตอบ​ใน​รอบ​นี้​:​ <color=#ea29b6>เมดสาวแสนหวาน</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
12	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13600850.usm	0		9000033	161:skin_draw_shop_icon_13600850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>春色满园</color>	本期限定互動皮膚：<color=#ea29b6>春色滿園</color>	Featured interactive skin: <color=#ea29b6>Bountiful Bloom</color>.	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>春の陽気に包まれて</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>봄의 정원</color>!	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>สปริงการ์เดน</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
13	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13500850.usm	0		9000033	161:skin_draw_shop_icon_13500850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>萌动女仆、炎夏海滩的绮梦</color>	本期限定互動皮膚：<color=#ea29b6>萌動女僕、炎夏海灘的綺夢</color>	Featured interactive skin: <color=#ea29b6>Sweetheart Maid, Sun-kissed Seashore Reverie</color>.	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>メイドの流儀</color>、<color=#ea29b6>夏薫る砂浜の綺夢にて</color>。	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>사랑스런 메이드, 여름 해변에서의 꿈</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>เมดสาวแสนหวาน และ ซัมเมอร์ดรีม</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
14	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_15200850.usm	0		9000033	161:skin_draw_shop_icon_15200850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>心动触诊</color>	本期限定互動時裝：<color=#ea29b6>心動觸診</color>	Featured interactive skin: <color=#ea29b6>Heartfelt Touch</color>	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>ドキメキ触診</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>두근두근 진찰</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>สัมผัสดวงใจ</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
15	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13500850.usm;Movie/gachapon_skin_15100850.usm	1209600;0		9000033	161:skin_draw_shop_icon_13500850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>微醺密语</color>！	本期限定互動皮膚：<color=#ea29b6>微醺密語</color>！	Featured interactive skin: <color=#ea29b6>Tipsy Whispers</color>!	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>ほろ酔い蜜語</color>！	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>술기운의 밀회</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>เมามายพร่ำรัก</color>!​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
16	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_10302150_11302150.usm	0		9000033	161:skin_draw_shop_icon_general	161:skin_draw_exchange_bg	1		1	获取精品礼券抽取奖励，累计抽取进度获得稀有的情绪面料可兑换多款互动皮肤	獲取精品禮券抽取獎勵，累計抽取進度獲得稀有的情緒面料可兌換多款互動皮膚	Obtain Premium Vouchers to summon rewards, and collect these rewards to unlock rare Pathos Threads that can be exchanged for various interactive skins.	コレクション抽選券で抽選を行い、抽選回数が一定に達するとイベント付き外観と交換できるエモーション生地を入手できます。	컬렉션 티켓으로 뽑기를 진행할 수 있습니다. 뽑기 진행도가 누적되면 희귀 이모션 원단을 획득해 인터랙션 스킨과 교환할 수 있습니다.	รับ​คูปอง​พรีเมียม​เพื่อ​สุ่ม​รางวัล​ สะสม​ความคืบหน้า​การ​สุ่ม​เพื่อ​รับ​ผ้า​พา​โธส​ และ​นำ​ไป​แลก​คอสตูม​โต้ตอบ​ได้​หลากหลาย​รูปแบบ​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
17	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_12700150.usm;Movie/gachapon_skin_13600850.usm	604800;0		9000033	161:skin_draw_shop_icon_13600850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>春色满园、由身入心的放松（12月5日开启）</color>	本期限定互動皮膚：<color=#ea29b6>春色滿園、由身入心的放鬆（12月5日開啟）</color>	Featured interactive skin: <color=#ea29b6>Bountiful Bloom, Restful Retreat</color>	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>春の陽気に包まれて・身を以て心に伝う（12/5登場）</color>	이번 시즌 시네마틱 인터랙션: <color=#ea29b6>봄의 정원, 마음을 다하는 서비스</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>สปริงการ์เดน และ วิถีแห่งการผ่อนคลาย (เปิดวันที่ 5 ธ.ค.)</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
18	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13300850.usm;Movie/gachapon_skin_15200850.usm	1209600;0		9000033	161:skin_draw_shop_icon_general	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>心动触诊、私汤体验（1月1日开启）</color>	本期限定互動皮膚：<color=#ea29b6>心動觸診、私湯體驗（1月1日開啟）</color>	Featured interactive skin: <color=#ea29b6>Viola: Heartfelt Touch, Moonlight Whisper (Dewdrop)</color>\nInteractive Skin Rerun: <color=#ea29b6>Anja: Victory Reward, Triss: Mistveil of Passion</color>	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>ドキメキ触診、内湯体験（1/1登場）</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>두근두근 진찰, 온천 체험(1월 1일 오픈)</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>สัมผัสดวงใจ และ ไพรเวตออนเซ็น (เปิดวันที่ 1 ม.ค.)</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
19	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_10302150_11302150.usm;Movie/gachapon_skin_12700150.usm	0;0		9000033	161:skin_draw_shop_icon_general	161:skin_draw_exchange_bg	1		1	获取精品礼券抽取奖励，累计抽取进度获得稀有的情绪面料可兑换多款互动皮肤	獲取精品禮券抽取獎勵，累計抽取進度獲得稀有的情緒面料可兌換多款互動皮膚	Obtain Premium Vouchers to summon rewards, and collect these rewards to unlock rare Pathos Threads that can be exchanged for various interactive skins.	コレクション抽選券で抽選を行い、抽選回数が一定に達するとイベント付き外観と交換できるエモーション生地を入手できます。	컬렉션 티켓으로 뽑기를 진행할 수 있습니다. 뽑기 진행도가 누적되면 희귀 이모션 원단을 획득해 인터랙션 스킨과 교환할 수 있습니다.	รับ​คูปอง​พรีเมียม​เพื่อ​สุ่ม​รางวัล​ สะสม​ความคืบหน้า​การ​สุ่ม​เพื่อ​รับ​ผ้า​พา​โธส​ และ​นำ​ไป​แลก​คอสตูม​โต้ตอบ​ได้​หลากหลาย​รูปแบบ​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
20	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13300850.usm	0		9000033	161:skin_draw_shop_icon_13300850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>私汤体验</color>	本期限定互動皮膚：<color=#ea29b6>私湯體驗</color>	Featured interactive skin: <color=#ea29b6>Whispering Steam</color>	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>内湯体験</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>온천체험</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>ไพรเวตออนเซ็น</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
21	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13300850.usm	0		9000033	161:skin_draw_shop_icon_13300850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>私汤体验</color>	本期限定互動皮膚：<color=#ea29b6>私湯體驗</color>	Featured interactive skin: <color=#ea29b6>Whispering Steam</color>	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>内湯体験</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>온천체험</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>ไพรเวตออนเซ็น</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
22	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_15200850.usm	0		9000033	161:skin_draw_shop_icon_15200850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>心动触诊</color>	本期限定互動時裝：<color=#ea29b6>心動觸診</color>	Featured interactive skin: <color=#ea29b6>Heartfelt Touch</color>	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>ドキメキ触診</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>두근두근 진찰</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>สัมผัสดวงใจ</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
23	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_11300102_11400102.usm	0		9000033	161:skin_draw_shop_icon_11400102_11300102	161:skin_draw_exchange_bg	1		1	纯白之恋，佳人相会~获取精品礼券抽取奖励，累计抽取进度获得稀有的情绪面料可兑换本期情人节限定互动皮肤：<color=#ea29b6>夕雪晚照·暖雪</color>和<color=#ea29b6>火树流光·碎金</color>！	純白之戀，佳人相會~獲取精品禮券抽取獎勵，累計抽取進度獲得稀有的情緒面料可兌換本期情人節限定互動時裝：<color=#ea29b6>夕雪晚照·暖雪</color>和<color=#ea29b6>火樹流光·碎金</color>！	As radiant love blossoms, two hearts unite. Obtain Premium Vouchers to summon rewards, and increase your summoning progress to unlock rare Pathos Threads that can be exchanged for Valentine's Day interactive skins: <color=#ea29b6>Sunset Radiance (Meltflake)</color> and <color=#ea29b6>Flying Embers (Gleam)</color>!	想い人と溺れる、純白色の恋！コレクション抽選券で抽選を行い、抽選回数が一定に達するとバレンタイン限定お触りイベント付き外観：<color=#ea29b6>夕雪晩照・暖光</color>と<color=#ea29b6>火樹流光・金橙</color>と交換できるエモーション生地を入手できます。	뽑기 진행도가 누적되면 희귀 이모션 원단을 획득해 인터랙션 스킨: <color=#ea29b6>이브닝 스노우·따뜻한 눈</color> 및 <color=#ea29b6>소녀와 등불·황금 조각</color>을 얻을 수 있습니다!	​ความรัก​สีขาว​บริสุทธิ์​ พบ​กับ​คน​พิเศษ​~​ รับ​คูปอง​พรีเมียม​เพื่อ​สุ่ม​รางวัล​ สะสม​ความ​คืบ​หน้า​ใน​การ​สุ่ม​รางวัล​เพื่อ​รับ​ผ้า​พาโธส​หายาก​ สามารถ​แลก​รับ​คอสตูม​โต้ตอบ​ได้​พิเศษ​เฉพาะ​ช่วง​วาเลนไทน์​นี้​:\n​<color=#ea29b6>ตะวันลับฟ้า·วิวาห์อัสดง</color>​ และ ​<color=#ea29b6>ดวงไฟล่องลอย·วิวาห์รุ่งอรุณ</color>​!	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
24	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_12700150.usm	0		9000033	161:skin_draw_shop_icon_15400850	161:skin_draw_exchange_bg	1	9000035;5	1	本期限定：<color=#ea29b6>禁锢神卫</color>；互动皮肤<color=#ea29b6>限时全员返场</color>中	本期限定：<color=#ea29b6>禁錮神衛</color>；互動皮膚<color=#ea29b6>限時全員返場</color>中	Featured: <color=#ea29b6>Imprisoned Divine Guard</color>; Interactive skin <color=#ea29b6>returns for a limited time</color>!	＜期間限定＞：<color=#ea29b6>囚われのパトローナス</color>、今まで登場したお触りイベント付き外観<color=#ea29b6>期間限定復刻中</color>。	이번의 한정: <color=#ea29b6>속박된 신위</color>; 인터랙션 스킨 <color=#ea29b6>전원 기간 한정 재등장</color>	ลิมิเต็ด​รอบ​นี้​:​\n<color=#ea29b6>องครักษ์ต้องห้าม</color>​ ;​ คอสตูม​โต้ตอบ​ลิมิเต็ด​<color=#ea29b6>กลับมาให้เลือกใช้อีกครั้งแบบจำกัดเวลา</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
25	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_12700150.usm	0		9000033	161:skin_draw_shop_icon_15400850	161:skin_draw_exchange_bg	1	9000035;5	1	本期限定：<color=#ea29b6>禁锢神卫</color>	本期限定：<color=#ea29b6>禁錮神衛</color>	Featured: <color=#ea29b6>Imprisoned Divine Guard</color>	＜期間限定＞：<color=#ea29b6>囚われのパトローナス</color>。	이번의 한정: <color=#ea29b6>속박된 신위</color>	ลิมิเต็ด​รอบ​นี้​:​ <color=#ea29b6>องครักษ์ต้องห้าม</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
101	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_11300102_11400102.usm	0		9000033	161:skin_draw_shop_icon_11400102_11300102	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>夕雪晚照·暖雪</color>和<color=#ea29b6>火树流光·碎金</color>！	本期限定互動皮膚：<color=#ea29b6>夕雪晚照·暖雪</color>和<color=#ea29b6>火樹流光·碎金</color>！	Limited-Time Interactive Skin available during this period:\n<color=#ea29b6>Sunset Radiance (Meltflake)</color> and <color=#ea29b6>Flying Embers (Gleam)</color>!	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>夕雪晩照・暖光</color>と<color=#ea29b6>火樹流光・金橙</color>！	이번 기간 한정 인터랙션 스킨: <color=#ea29b6>이브닝 스노우·따뜻한 눈</color>과 <color=#ea29b6>소녀와 등불·황금 조각</color>!	คอสตูมโต้ตอบได้ลิมิเต็ดเฉพาะช่วงนี้:\n<color=#ea29b6>ตะวันลับฟ้า·วิวาห์อัสดง</color> และ <color=#ea29b6>ดวงไฟล่องลอย·วิวาห์รุ่งอรุณ</color>!	纯白之恋	純白之戀	Pure White Romance	純白色の恋	순백의 사랑	ความรักสีขาวบริสุทธิ์
26	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_replicate01.usm	0		9000033	161:skin_draw_shop_icon_general	161:skin_draw_exchange_bg	1		1	互动皮肤<color=#ea29b6>限时全员返场</color>中	互動皮膚<color=#ea29b6>限時全員返場</color>中	Interactive skin <color=#ea29b6>returns for a limited time</color>!	過去に登場したお触りイベント付き外観が<color=#ea29b6>期間限定で復刻中</color>。	인터랙션 스킨 <color=#ea29b6>전원 기간 한정 재등장</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​<color=#ea29b6>กลับมาให้เลือกคัดสรรอีกครั้งแบบจำกัดเวลา</color>​	全员返场	全員返場	All Combatants Available!	全員限定復刻	전원 재등장	รีรันคอสตูมทั้งหมด!
