id	activityId	reward	rewardNum	weight	picture	status	title	title_zh_TW	title_en_UK	title_ja_JP	title_ko_KR	title_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
10	1	3000002	50	100	18:npc_icon_492_7.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	我们相处的时间不算长，但你还算是个不错的家伙……那个，你可别误会了啊，本小姐只是不讨厌你罢了！	我們相處的時間不算長，但你還算是個不錯的傢伙……那個，你可別誤會了啊，本小姐只是不討厭你罷了！	Although we haven't known each other for long, I can already tell that you have a kind heart. Please don't get the wrong idea—I definitely don't dislike you. In fact, it's quite the opposite!	付き合いはまだ長くないけど……まあ、悪くないやつだと思ってるわ。\nか、勘違いしないでよね！あたしはただ、嫌いじゃないって言ってるだけなんだから！	우리가 함께한 시간이 그렇기 길지 않지만, 이몸은 네가 꽤~ 괜찮은 사람이라고 생각한다고? 근데 오해하지 마! 이몸께서는 그냥 네가 싫지 않다는 뜻이니까!	ช่วงเวลา​ที่​เรา​ได้​อยู่​ด้วยกัน​อาจจะ​ไม่​ได้​ยาวนาน​ขนาด​นั้น​ แต่​เธอ​ก็​ถือว่า​เป็น​คน​ที่​ใช้ได้​เลย​ล่ะ​...​ เอ่อ​ อย่า​เข้าใจผิด​ล่ะ​!​ ฉัน​คน​นี้​ก็​แค่​ไม่​ได้​รังเกียจ​เธอ​ก็​เท่านั้นเอง​!​	艾琳娜	艾琳娜	Erina	エリナ	에리나	เอรินา
11	1	3000002	50	100	18:npc_icon_495_4.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	虽然我还有很多不足，但会努力跟上大家的脚步的……这样，我就也能为大家分担一些了吧……	雖然我還有很多不足，但會努力跟上大家的腳步的……這樣，我就也能為大家分擔一些了吧……	Even though I may have my flaws, I'm committed to keeping up with the team. In doing so, I hope to be of assistance to you as well.	ミーヤはまだまだですが……みんなに追いつけるよう、頑張りますよ。\nそうすれば、少しでも調査官のお役に立てますよね……	제가 아직 부족한 점은 많지만, 더 노력해서 모두를 따라갈 거예요.. 그러면 저도 분명 도움이 되겠죠!	ถึง​ฉัน​จะ​ยัง​มีข้อบกพร่อง​อีก​มาก​ แต่​ก็​จะ​พยายาม​ไล่ตาม​ทุกคน​ให้​ทัน​ให้ได้​เลย​ค่ะ​...​ แบบนี้​ ฉัน​ก็​น่าจะ​ช่วย​แบ่งเบาภาระ​ให้​พวกเรา​ทุกคน​ได้​บ้าง​...​ ใช่​มั้ย​คะ​...​	米娅	米婭	Mia	ミーヤ	미아	มีอา
12	1	3000002	50	100	18:npc_icon_597_5.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	店长有没有过，只是见到就会很高兴的对象？我听同学说哦，和对方一起度过新春，下一年两个人都会开心和幸福……	店長有沒有過，只是見到就會很高興的對象？我聽同學說哦，和對方一起度過新春，下一年兩個人都會開心和幸福……	I can't help but imagine the Manager's face brightening with joy when you spot that special someone. My classmates say that if you spend New Year's with a loved one, you'll both be blessed with happiness in the year ahead.	店長さんには、会えるだけで心が弾む相手はいませんか？クラスメイトから聞いたんです。そんな相手と一緒に新年を迎えると、その一年は二人とも幸せで楽しくなるんですって……	점장님은 그냥 보고만 있어도 기분이 좋아지는 사람이 있나요? 친구한테 들었는데 그 사람과 함께 새해를 맞이하면, 그 다음 해에는 두 사람이 모두 행복해진다고 했어요~	คุณ​ผู้จัดการ​เคย​มี​มั้ย​คะ​ —​ ที่​แค่​ได้​เห็น​หน้า​คน​คน​นึง​ ก็​จะ​รู้สึก​ดีใจ​ขึ้น​มา​ทันที​อะไร​แบบ​นั้น​น่ะ​ค่ะ​ เพื่อนร่วมชั้น​ของ​ฉัน​บอ​กว่า​ ถ้า​ได้​ใช้​ช่วงเวลา​เทศกาล​ปีใหม่​ไป​กับ​คน​คน​นั้น​ ใน​ปี​ถัดไป​ ทั้งสอง​คน​ก็​จะ​มีความสุข​และ​สมหวัง​ด้วย​ค่ะ​...​	小曼	小曼	Mandy	マンディー	맨디	แมนดี้
13	1	3000002	50	100	18:npc_icon_599_1.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	距离桃花盛开的时节越来越近了，店长要不要和大家去折一枝呢？这也是一种祈福的方式哦。	距離桃花盛開的時節越來越近了，店長要不要和大家去折一枝呢？這也是一種祈福的方式哦。	With peach blossom season just around the corner, why don't you join us in picking a branch, Manager? It's a delightful way to share good fortune and well wishes.	もうすぐ、桃の花が咲き誇る季節ね。祈願に、皆さんと一緒に一枝手折りに行くのはどう？	복숭아꽃이 만개하는 시기가 점점 가까워지고 있네요. 점장님도 같이 가지를 하나 꺾으러 가지 않으시겠나요? 이것도 일종의 소원을 비는 방법이랍니다.	ฤดู​ที่​ดอก​ท้อ​ผลิบาน​ใกล้​เข้ามา​ทุกที​แล้ว​สิ​นะคะ​ คุณ​ผู้จัดการ​อยาก​จะ​ลอง​ไป​เด็ด​สัก​กิ่ง​กับ​ทุกคน​มั้ย​คะ​?​ นี่​ก็​ถือ​เป็นการ​ขอพร​ใน​อีก​รูปแบบ​หนึ่ง​เลย​นะคะ​	法夕黛	法夕黛	Felicia	ファルスタ	파르시타	เฟริเซีย
14	1	3000002	50	100	18:npc_icon_601_4.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	世间的一切谜底，都蕴于因果之间的必然联系。人与人的相遇也是这样吧，我的协作者。	世間的一切謎底，都蘊於因果之間的必然聯繫。人與人的相遇也是這樣吧，我的協作者。	Every enigma in this world is connected through an intricate tapestry of cause and effect. Isn't it fascinating how this principle also applies to the serendipitous meetings we have with one another?	この世のすべての謎は、因果という必然の連なりの中にあります。人と人との出会いも、きっと同じ。そうでしょう、カカオの協力者さん。	세상의 모든 수수께끼는 인과 관계 속에서 필연적인 연결이 숨겨져 있지. 사람과 사람의 만남도 마친가지 아닐까 우리 협력자님?	คำตอบ​ของ​ทุก​ปริศนา​ใน​โลก​ใบ​นี้​ ทั้งหมด​ซ่อน​อยู่​ใน​ความ​เชื่อมโยง​ของ​เหตุ​และ​ผล​ การ​ได้​พบ​เจอกัน​ของ​ผู้คน​เอง​ก็​เช่นกัน​ ใช่​มั้ย​ล่ะ​ ผู้ร่วมงาน​ของ​ฉัน​	可可	可可	Cody	カカオ	코코	โคโค่
15	1	3000002	50	100	18:npc_icon_623_4.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	调查官，很高兴认识你。未来或许还有很多很多不确定的事，但小铃会一直在心中为你预留VIP的位置哦~	調查官，很高興認識你。未來或許還有很多很多不確定的事，但小鈴會一直在心中為你預留VIP的位置哦~	Inspector, it's a pleasure to make your acquaintance. While the future may hold uncertainties, know that you will always have a special place reserved in my heart.	調査官さん、会えて嬉しいわ。これから先、わからないことがたくさんあるかもしれないが……リンの心の中には、いつもあなた専用のVIP席があるのよ～	조사관님을 만나 뵙게 돼서 기뻤어요. 미래에 불확실한 일이 많을 수도 있지만, 린의 마음속에서는 항상 조사관님을 위한 VIP 자리를 마련해 놓을 거예요~	คุณ​ผู้ตรวจการ​!​ ได้มา​รู้จัก​กับ​คุณ​แบบนี้​ ลินน์​มีความสุข​ที่สุด​เลย​ค่ะ​ ถึง​ในอนาคต​จะ​ยัง​เต็มไปด้วย​เรื่องราว​ที่​ไม่​แน่นอน​อีก​มากมาย​ แต่​หนู​ลินน์​จะ​เก็บ​ที่นั่ง​ VIP​ ไว้​ให้​คุณ​ใน​ใจ​เสมอ​เลย​นะ​~​	铃	鈴	Linn	リン	린	ลินน์
16	1	3000002	50	100	18:card_icon_113002_1.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	挥别了过去就会迎来新的开始，调查官，准备好和我一起去新的冒险了嘛！	揮別了過去就會迎來新的開始，調查官，準備好和我一起去新的冒險了嘛！	As one chapter closes, a new beginning emerges. Are you ready to embark on a fresh adventure by my side, Inspector?	過去に別れを告げれば、新しい始まりが待っているよ。\n調査官、次の冒険も…...私と一緒に行く準備はできてる？	과거를 떠나보내면 새로운 시작이 다가오는 법이죠. 조사관님! 저와 함께 모험을 떠날 준비가 되셨나요?	พอได้​โบกมือ​ลา​อดีต​ ก็​ย่อม​ได้​ต้อนรับ​การ​เริ่มต้น​ใหม่​ ผู้ตรวจการ​!​ พร้อม​จะ​ออก​ผจญภัย​ครั้ง​ใหม่​ไป​พร้อมกับ​ฉัน​แล้ว​รึ​ยัง​ล่ะ​?​	云灿	雲燦	Yuncan	雲燦	운찬	หยุนซาน
17	1	3000002	50	100	18:card_icon_114002_1.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	一路走来，我也与调查官经历了不少。如果可以的话，今后的旅程也请多多指教。	一路走來，我也與調查官經歷了不少。如果可以的話，今後的旅程也請多多指教。	We've traversed a long and winding road together. If it's not too much to ask, I would be grateful for your guidance as we navigate the path ahead.	これまで、調査官とはいろんな経験をしてきました。もしよければ、これからも……よろしくお願いします。	조사관, 지금까지 정말 많은 일이 겪은 것 같아. 앞으로도 여정을 함께 떠날 때 잘 부탁할게~	ตลอดทาง​ที่ผ่านมา​ ฉัน​เอง​ก็ได้​ผ่าน​เรื่องราว​ต่างๆ​ ร่วมกับ​คุณ​ผู้ตรวจการ​มา​ไม่​น้อย​เลย​ ถ้า​เป็นไปได้​ ใน​การ​เดินทาง​ต่อ​จากนี้ไป​ก็​ขอ​ฝากเนื้อฝากตัว​ด้วย​นะคะ​	云沛	雲沛	Yunpei	雲沛	운비	หยุนเพ่ย
18	1	3000002	50	100	18:npc_icon_596_4.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	梦境是真实与虚幻的交界，最近也是陈旧与新生的过渡地带。既然如此，我们要不要再见上一面呢？春宵良夜……不可辜负啊。	夢境是真實與虛幻的交界，最近也是陳舊與新生的過渡地帶。既然如此，我們要不要再見上一面呢？春宵良夜……不可辜負啊。	Dreams act as the liminal space where reality and fantasy intertwine, a gateway that connects the past and the future. On that note, how about we plan another rendezvous? This enchanting night is too delightful to let end, don't you think?	夢境は、現実と虚構の境界。そして今は、古きものと新しきものが交差する季節でもあるわ。でしたら、もう一度お会いしませんか？この良き宵……無為に過ごすなんて惜しいとは思わないか。	꿈이란 현실과 허구의 경계, 낡은 것과 새로운 것의 과도기이기도 하오. 소첩은 그대와 다시 만날 수 있기를 바라고 있소. 허니 그대가 봄밤을… 놓치지 않았으면 하는구려.	ความฝัน​คือ​เส้น​แบ่ง​ระหว่าง​ความจริง​กับ​ภาพลวงตา​ และ​ใน​ช่วงเวลา​แบบนี้​เอง​ ก็​เป็น​รอยต่อ​ระหว่าง​ความเก่า​กับ​การเกิดใหม่​ ใน​เมื่อ​เป็น​เช่นนั้น​ —​ เรา​มา​นัด​เจอกัน​อีก​สักครั้ง​ดี​มั้ย​คะ​?​ ค่ำคืน​แห่ง​ฤดูใบไม้ผลิ​อัน​งดงาม​แบบนี้​...​ ไม่​ควร​ปล่อย​ให้​มัน​สูญเปล่า​นะคะ​	祈	祈	Qi	祈	기	ฉี
19	1	3000002	50	100	18:npc_icon_582_4.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	这段时间我的工作很多，如果你有需求可以提前说。\n就是之前约定好的长期受雇于你这件事……该不会忘记了吧？那我可是赚大了呢。	這段時間我的工作很多，如果你有需求可以提前說。\n就是之前約定好的長期受雇於你這件事……該不會忘記了吧？那我可是賺大了呢。	I've been swamped with work recently, so please give me a heads up if you need anything.\nAnd about me working for you long-term, you haven't forgotten, have you? It's a fantastic opportunity for me.	このところ仕事が立て込んでいてね。何か用があるなら、前もって言ってくれると助かるわ……それより、以前約束した「長期雇用」の件、忘れてないよね？\nもし忘れてたら……私の大儲け、ってことになるけど？	최근에 의뢰가 너무 많기는 한데, 도움이 필요하면 말해. 예전에 약속한 대로 장기간 동안 너한테 고용되겠다고 했으니까.. 설마 잊었냐? 그럼 나한테 이득이긴 한데~	ช่วงนี้​งาน​ของ​ฉัน​ค่อนข้าง​เยอะ​ ถ้า​คุณ​อยากได้​อะไร​ ก็​บอก​มา​ล่วงหน้า​ได้​เลย​นะ​\nยังไง​ซะ​นี่​เป็นเรื่อง​ที่​เรา​เคย​ตกลง​กัน​ไว้​ ว่า​ฉัน​จะ​ทำงาน​ให้​คุณ​ใน​ระยะยาว​น่ะ​...​ นี่​อย่า​บอก​นะ​ว่า​ลืม​ไป​แล้ว​?​ งั้น​ฉัน​ก็​กำไร​สุด​ๆ​ เลย​น่ะ​สิ​	海蕾	海蕾	Hailey	ヘイリー	헤일리	เฮย์ลีย์
20	1	3000002	50	100	18:npc_icon_583_4.png	1	心的寄语	心的寄語	Messages From The Heart 	心を込めたメッセージ	감사 편지	คำอวยพรจากใจ	冒昧写下这封信，是为了感谢您所赐予的勇气……\n丝卡蕾特、永志不忘……\n将为您于神明前日夜祝祷，以祈求在新的伊始，顺遂平安。	冒昧寫下這封信，是為了感謝您所賜予的勇氣……\n絲卡蕾特、永志不忘……\n將為您於神明前日夜祝禱，以祈求在新的伊始，順遂平安。	I took the liberty of penning this letter to express my gratitude for the courage you have instilled in me.\nScarlett will never forget.\nI will offer prayers to the gods day and night, asking for a smooth and peaceful start to the new year on your behalf.	不躾ながら、この手紙を書かせていただきましたのは、あなたから授かった「勇気」への感謝をお伝えするためです……スカーレット、決して忘れません。新たな始まりにあたり、順遂と平安が訪れますよう、神の御前にて昼夜祈り続けることを、ここにお誓いします。	주제넘긴 하지만 이 편지를 작성하는 이유는, 당신이 주신 용기에 대해 감사한 마음을 담아 전하기 위함이에요.. 스칼렛은 영원히 잊지 않을 거예요. 신 앞에서 당신을 위해 기도드리고, 평안한 나날이 되기를 기원드려요.	ขออภัย​ที่​เขียนจดหมาย​ฉบับ​นี้​อย่าง​กะทันหัน​...​ สการ์เลตต์​เขียน​ขึ้น​มา​เพื่อ​ขอบคุณ​...​ สำหรับ​ความกล้า​ที่​ท่าน​ได้​มอบให้​...​\nสการ์เลตต์​...​ จะ​ไม่​มี​วัน​ลืม​\nจะ​อธิษฐาน​ต่อ​ท่าน​เทพเจ้า​ให้​ท่าน​ทั้ง​กลางวัน​และ​กลางคืน​ เพื่อ​ขอ​ให้การ​เริ่มต้น​ครั้ง​ใหม่​นี้​ เป็นไป​อย่าง​ราบรื่น​และ​ปลอดภัย​...​	丝卡蕾特	絲卡蕾特	Scarlett	スカーレット	스칼렛	สการ์เลตต์
