id	phylogeneticStage	color	skinType	skinId	partName	color1	color2	color3	color4	itemId	status	skinPool	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
304002	3	4	1			4674E9	CFFF96	D8FF72	E4FFE1	8700024	1		毛色-青柠	毛色-青檸	Fur Color - Lime Green	毛色-ライムグリーン	털 색상-라임색	สีขน-มะนาว
305001	3	5	1			7946E9	FFBD6D	FFA34C	FFFFFF	8700025	1		毛色-橘云	毛色-橘雲	Fur Color - Sunset Cloud	毛色-ホワイトアンドオレンジ	털 색상-주황색	สีขน-เมฆ
305002	3	5	1			DC46E9	FFBD6D	F9FF4C	FFFDEB	8700026	1		毛色-暖橙	毛色-暖橙	Fur Color - Tangerine	毛色-オレンジ	털 색상-코랄색	สีขน-ส้มอบอุ่น
401001	4	1	1			E9469E	F38BE8	FF9EF5	FFFFFF	8700027	1		毛色-素紫	毛色-素紫	Fur Color - Subtle Lilac	毛色-ペールパープル	털 색상-보라색	สีขน-ม่วงอ่อน
401002	4	1	1			E94646	FFAEF9	E9CEFF	FFC6CF	8700028	1		毛色-晚樱	毛色-晚櫻	Fur Color - Cherry Pink	毛色-ピンク	털 색상-연분홍색	สีขน-ซากุระ
401003	4	1	1			E98946	FBE1FF	FFFFFF	F9C9FF	8700029	1		毛色-绛紫	毛色-絳紫	Fur Color - Dark Purple	毛色-ダークパープル	털 색상-자주색	สีขน-ม่วงเข้ม
402001	4	2	1			E9DB46	79A9FF	B1D8FF	FFFFFF	8700030	1		毛色-碧空	毛色-碧空	Fur Color - Sky Blue	毛色-クリアブルー	털 색상-비취색	สีขน-ฟ้าใส
402002	4	2	1			FFFFFF	FFFFFF	72C6FF	C2E1FF	8700031	1		毛色-远海	毛色-遠海	Fur Color - Distant Sea	毛色-グレイブルー	털 색상-바다 남색	สีขน-ทะเลลึก
403001	4	3	1			222222	99FFF9	B8FFF8	FFFFFF	8700032	1		毛色-清风	毛色-清風	Fur Color - Gentle Breeze	毛色-ホワイトブルー	털 색상-시원한 바람색	สีขน-ลมเย็น
403002	4	3	1			5C5C5C	96E6FF	31FFF9	D2FAFF	8700033	1		毛色-薄荷	毛色-薄荷	Fur Color - Minty Fresh	毛色-ミントグリーン	털 색상-민트색	สีขน-มินต์
404001	4	4	1			BABABA	E1FF96	94FF72	FFFFFF	8700034	1		毛色-翠竹	毛色-翠竹	Fur Color - Verdant Bamboo	毛色-ホワイトアンドグリーン	털 색상-대나무색	สีขน-เขียวใบไผ่
404002	4	4	1			C0EA46	CFFF96	D8FF72	E4FFE1	8700035	1		毛色-青柠	毛色-青檸	Fur Color - Lime Green	毛色-ライムグリーン	털 색상-라임색	สีขน-มะนาว
405001	4	5	1			46E946	FFBD6D	FFA34C	FFFFFF	8700036	1		毛色-橘云	毛色-橘雲	Fur Color - Sunset Cloud	毛色-ホワイトアンドオレンジ	털 색상-주황색	สีขน-เมฆ
405002	4	5	1			46E9A4	FFBD6D	F9FF4C	FFFDEB	8700037	1		毛色-暖橙	毛色-暖橙	Fur Color - Tangerine	毛色-オレンジ	털 색상-코랄색	สีขน-ส้มอบอุ่น
501001	4	1	2	182:20041_necklace01_01.mat	20041_necklace01					8700101	1		毛色-素紫	毛色-素紫	Fur Color - Subtle Lilac	毛色-ペールパープル	털 색상-보라색	สีขน-ม่วงอ่อน
502001	4	2	2	182:20041_necklace01_02.mat	20041_necklace01					8700102	1		毛色-晚樱	毛色-晚櫻	Fur Color - Cherry Pink	毛色-ピンク	털 색상-연분홍색	สีขน-ซากุระ
503001	4	3	2	182:20041_necklace01_03.mat	20041_necklace01					8700103	1		毛色-绛紫	毛色-絳紫	Fur Color - Dark Purple	毛色-ダークパープル	털 색상-자주색	สีขน-ม่วงเข้ม
504001	4	4	2	182:20041_necklace01_04.mat	20041_necklace01					8700104	1		毛色-碧空	毛色-碧空	Fur Color - Sky Blue	毛色-クリアブルー	털 색상-비취색	สีขน-ฟ้าใส
505001	4	5	2	182:20041_necklace01_05.mat	20041_necklace01					8700105	1		毛色-远海	毛色-遠海	Fur Color - Distant Sea	毛色-グレイブルー	털 색상-바다 남색	สีขน-ทะเลลึก
501002	4	1	2	182:20041_necklace02_01.mat	20041_necklace02					8700106	1		毛色-清风	毛色-清風	Fur Color - Gentle Breeze	毛色-ホワイトブルー	털 색상-시원한 바람색	สีขน-ลมเย็น
502002	4	2	2	182:20041_necklace02_02.mat	20041_necklace02					8700107	1		毛色-薄荷	毛色-薄荷	Fur Color - Minty Fresh	毛色-ミントグリーン	털 색상-민트색	สีขน-มินต์
503002	4	3	2	182:20041_necklace02_03.mat	20041_necklace02					8700108	1		毛色-翠竹	毛色-翠竹	Fur Color - Verdant Bamboo	毛色-ホワイトアンドグリーン	털 색상-대나무색	สีขน-เขียวใบไผ่
504002	4	4	2	182:20041_necklace02_04.mat	20041_necklace02					8700109	1		毛色-青柠	毛色-青檸	Fur Color - Lime Green	毛色-ライムグリーン	털 색상-라임색	สีขน-มะนาว
505002	4	5	2	182:20041_necklace02_05.mat	20041_necklace02					8700110	1		毛色-橘云	毛色-橘雲	Fur Color - Sunset Cloud	毛色-ホワイトアンドオレンジ	털 색상-주황색	สีขน-เมฆ
501003	4	1	2	182:20041_necklace03_01.mat	20041_necklace03					8700111	1		毛色-暖橙	毛色-暖橙	Fur Color - Tangerine	毛色-オレンジ	털 색상-코랄색	สีขน-ส้มอบอุ่น
502003	4	2	2	182:20041_necklace03_02.mat	20041_necklace03					8700112	1		守护项圈-海蓝	守護項圈-海藍	Guardian Collar - Azure	首輪御守-マーリンブルー	가디언 목걸이-남색	ปลอกคอ​การ์เดียน​-​ฟ้า​ทะเล​
503003	4	3	2	182:20041_necklace03_03.mat	20041_necklace03					8700113	1		守护项圈-天青	守護項圈-天青	Guardian Collar - Pale Blue	首輪御守-スカイブルー	가디언 목걸이-하늘색	ปลอกคอ​การ์เดียน​-​ฟ้า​สว่าง​
504003	4	4	2	182:20041_necklace03_04.mat	20041_necklace03					8700114	1		守护项圈-绿柠	守護項圈-綠檸	Guardian Collar - Lime Green	首輪御守-ライムグリーン	가디언 목걸이-연두색	ปลอกคอ​การ์เดียน​-​มะนาว​
505003	4	5	2	182:20041_necklace03_05.mat	20041_necklace03					8700115	1		守护项圈-暖橙	守護項圈-暖橙	Guardian Collar - Tangerine	首輪御守-オレンジ	가디언 목걸이-코랄색	ปลอกคอ​การ์เดียน​-​ส้ม​อบอุ่น​
501004	4	1	2	182:20041_necklace04_01.mat	20041_necklace04					8700116	1		华丽项链-樱紫	華麗項鍊-櫻紫	Gorgeous Necklace - Lavender	ネックレス-ピンク	엘레강스 목걸이-연보라색	สร้อยคอ​สุด​หรู​-​ม่วง​ซากุระ​
502004	4	2	2	182:20041_necklace04_02.mat	20041_necklace04					8700117	1		华丽项链-海蓝	華麗項鍊-海藍	Gorgeous Necklace - Azure	ネックレス-マーリンブルー	엘레강스 목걸이-바다 남색	สร้อยคอสุดหรู-ฟ้าทะเล
503004	4	3	2	182:20041_necklace04_03.mat	20041_necklace04					8700118	1		华丽项链-天青	華麗項鍊-天青	Gorgeous Necklace - Pale Blue	ネックレス-スカイブルー	엘레강스 목걸이-하늘색	สร้อยคอ​สุด​หรู​-​ฟ้า​สว่าง​
504004	4	4	2	182:20041_necklace04_04.mat	20041_necklace04					8700119	1		华丽项链-绿柠	華麗項鍊-綠檸	Gorgeous Necklace - Lime Green	ネックレス-ライムグリーン	엘레강스 목걸이-연두색	สร้อยคอสุดหรู-มะนาว
505004	4	5	2	182:20041_necklace04_05.mat	20041_necklace04					8700120	1		华丽项链-暖橙	華麗項鍊-暖橙	Gorgeous Necklace - Tangerine	ネックレス-オレンジ	엘레강스 목걸이-코랄색	สร้อยคอ​สุด​หรู​-​ส้ม​อบอุ่น​
501006	4	1	3	182:20041_headwear01_01.mat	20041_headwear01					8700201	1		暖心围脖-樱紫	暖心圍脖-櫻紫	Cozy Scarf - Lavender	マフラー-ピンク	따뜻한 목도리-연보라색	ผ้าพันคอ​อุ่นใจ​-​ม่วง​ซากุระ​
502006	4	2	3	182:20041_headwear01_02.mat	20041_headwear01					8700202	1		暖心围脖-海蓝	暖心圍脖-海藍	Cozy Scarf - Azure	マフラー-マーリンブルー	따뜻한 목도리-남색	ผ้าพันคอ​อุ่นใจ​-​ฟ้า​ทะเล​
503006	4	3	3	182:20041_headwear01_03.mat	20041_headwear01					8700203	1		暖心围脖-天青	暖心圍脖-天青	Cozy Scarf - Pale Blue	マフラー-スカイブルー	따뜻한 목도리-하늘색	ผ้าพันคอ​อุ่นใจ​-​ฟ้า​สว่าง​
504006	4	4	3	182:20041_headwear01_04.mat	20041_headwear01					8700204	1		暖心围脖-绿柠	暖心圍脖-綠檸	Cozy Scarf - Lime Green	マフラー-ライムグリーン	따뜻한 목도리-연두색	ผ้าพันคออุ่นใจ-มะนาว
505006	4	5	3	182:20041_headwear01_05.mat	20041_headwear01					8700205	1		暖心围脖-暖橙	暖心圍脖-暖橙	Cozy Scarf - Tangerine	マフラー-オレンジ	따뜻한 목도리-코랄색	ผ้าพันคอ​อุ่นใจ​-​ส้ม​อบอุ่น​
501007	4	1	3	182:20041_headwear02_01.mat	20041_headwear02					8700206	1		馨香花环-樱紫	馨香花環-櫻紫	Fragrant Wreath - Lavender	花冠-ピンク	꽃 화환-연보라색	มง​กุ​ฏ​ดอกไม้​-​ม่วง​ซากุระ​
502007	4	2	3	182:20041_headwear02_02.mat	20041_headwear02					8700207	1		馨香花环-海蓝	馨香花環-海藍	Fragrant Wreath - Azure	花冠-マーリンブルー	꽃 화환-남색	มงกุฏดอกไม้-ฟ้าทะเล
503007	4	3	3	182:20041_headwear02_03.mat	20041_headwear02					8700208	1		馨香花环-天青	馨香花環-天青	Fragrant Wreath - Pale Blue	花冠-スカイブルー	꽃 화환-하늘색	มงกุฏดอกไม้-ฟ้าสว่าง
504007	4	4	3	182:20041_headwear02_04.mat	20041_headwear02					8700209	1		馨香花环-绿柠	馨香花環-綠檸	Fragrant Wreath - Lime Green	花冠-ライムグリーン	꽃 화환-연두색	มงกุฏดอกไม้-มะนาว
505007	4	5	3	182:20041_headwear02_05.mat	20041_headwear02					8700210	1		馨香花环-暖橙	馨香花環-暖橙	Fragrant Wreath - Tangerine	花冠-オレンジ	꽃 화환-코랄색	มงกุฏดอกไม้-ส้มอบอุ่น
501008	4	1	3	182:20041_headwear03_01.mat	20041_headwear03					8700211	1		蝴蝶丝带-樱紫	蝴蝶絲帶-櫻紫	Butterfly Ribbon - Lavender	リボン-ピンク	리본-연보라색	ริบบิ้น​ผีเสื้อ​-​ม่วง​ซากุระ​
502008	4	2	3	182:20041_headwear03_02.mat	20041_headwear03					8700212	1		蝴蝶丝带-海蓝	蝴蝶絲帶-海藍	Butterfly Ribbon - Azure	リボン-マーリンブルー	리본-남색	ริบบิ้นผีเสื้อ-ฟ้าทะเล
503008	4	3	3	182:20041_headwear03_03.mat	20041_headwear03					8700213	1		蝴蝶丝带-天青	蝴蝶絲帶-天青	Butterfly Ribbon - Pale Blue	リボン-スカイブルー	리본-하늘색	ริบบิ้นผีเสื้อ-ฟ้าสว่าง
504008	4	4	3	182:20041_headwear03_04.mat	20041_headwear03					8700214	1		蝴蝶丝带-绿柠	蝴蝶絲帶-綠檸	Butterfly Ribbon - Lime Green	リボン-ライムグリーン	리본-연두색	ริบบิ้นผีเสื้อ-มะนาว
505008	4	5	3	182:20041_headwear03_05.mat	20041_headwear03					8700215	1		蝴蝶丝带-暖橙	蝴蝶絲帶-暖橙	Butterfly Ribbon - Tangerine	リボン-オレンジ	리본-코랄색	ริบบิ้นผีเสื้อ-ส้มอบอุ่น
501009	4	1	3	182:20041_headwear04_01.mat	20041_headwear04					8700216	1		伙伴玩偶-樱紫	夥伴玩偶-櫻紫	Companion Doll - Lavender	ぬいぐるみ-ピンク	인형-연보라색	ตุ๊กตาคู่หู-ม่วงซากุระ
502009	4	2	3	182:20041_headwear04_02.mat	20041_headwear04					8700217	1		伙伴玩偶-海蓝	夥伴玩偶-海藍	Companion Doll - Azure	ぬいぐるみ-マーリンブルー	인형-남색	ตุ๊กตาคู่หู-ฟ้าทะเล
503009	4	3	3	182:20041_headwear04_03.mat	20041_headwear04					8700218	1		伙伴玩偶-天青	夥伴玩偶-天青	Companion Doll - Pale Blue	ぬいぐるみ-スカイブルー	인형-하늘색	ตุ๊กตาคู่หู-ฟ้าสว่าง
504009	4	4	3	182:20041_headwear04_04.mat	20041_headwear04					8700219	1		伙伴玩偶-绿柠	夥伴玩偶-綠檸	Companion Doll - Lime Green	ぬいぐるみ-ライムグリーン	인형-연두색	ตุ๊กตาคู่หู-มะนาว
505009	4	5	3	182:20041_headwear04_05.mat	20041_headwear04					8700220	1		伙伴玩偶-暖橙	夥伴玩偶-暖橙	Companion Doll - Tangerine	ぬいぐるみ-オレンジ	인형-코랄색	ตุ๊กตาคู่หู-ส้มอบอุ่น
