level	phase	consNum	catSatiety	buff	status	id	txtBuff	txtBuff_zh_TW	txtBuff_en_UK	txtBuff_ja_JP	txtBuff_ko_KR	txtBuff_th_TH	txtLevel	txtLevel_zh_TW	txtLevel_en_UK	txtLevel_ja_JP	txtLevel_ko_KR	txtLevel_th_TH
10	2	200	1400	900011_2	1		社团大乱斗中攻击+2.50%,防御+2.50%,血量+5.00%	社團大亂鬥中攻擊+2.50%,防禦+2.50%,血量+5.00%	ATK +2.50%, DEF +2.50%, HP +5.00% in Clan Showdown	Pending社团大乱斗中攻击+2.50%,防御+2.50%,血量+5.00%	클럽 대항전에서 공격력 +2.50%, 방어력 +2.50%, HP +5.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +2.50%​ DEF​ +2.50%​ HP​ +5.00%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
11	2	200	1600	900011_2	1		社团大乱斗中攻击+2.75%,防御+2.75%,血量+5.50%	社團大亂鬥中攻擊+2.75%,防禦+2.75%,血量+5.50%	ATK +2.75%, DEF +2.75%, HP +5.50% in Clan Showdown	Pending社团大乱斗中攻击+2.75%,防御+2.75%,血量+5.50%	클럽 대항전에서 공격력 +2.75%, 방어력 +2.75%, HP +5.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +2.75%​ DEF​ +2.75%​ HP​ +5.50%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
12	2	200	1800	900011_2	1		社团大乱斗中攻击+3.00%,防御+3.00%,血量+6.00%	社團大亂鬥中攻擊+3.00%,防禦+3.00%,血量+6.00%	ATK +3.00%, DEF +3.00%, HP +6.00% in Clan Showdown	Pending社团大乱斗中攻击+3.00%,防御+3.00%,血量+6.00%	클럽 대항전에서 공격력 +3.00%, 방어력 +3.00%, HP +6.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +3.00%​ DEF​ +3.00%​ HP​ +6.00%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
13	2	200	2000	900011_2	1		社团大乱斗中攻击+3.25%,防御+3.25%,血量+6.50%	社團大亂鬥中攻擊+3.25%,防禦+3.25%,血量+6.50%	ATK +3.25%, DEF +3.25%, HP +6.50% in Clan Showdown	Pending社团大乱斗中攻击+3.25%,防御+3.25%,血量+6.50%	클럽 대항전에서 공격력 +3.25%, 방어력 +3.25%, HP +6.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +3.25%​ DEF​ +3.25%​ HP​ +6.50%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
14	2	200	2200	900011_2	1		社团大乱斗中攻击+3.50%,防御+3.50%,血量+7.00%	社團大亂鬥中攻擊+3.50%,防禦+3.50%,血量+7.00%	ATK +3.50%, DEF +3.50%, HP +7.00% in Clan Showdown	Pending社团大乱斗中攻击+3.50%,防御+3.50%,血量+7.00%	클럽 대항전에서 공격력 +3.50%, 방어력 +3.50%, HP +7.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +3.50%​ DEF​ +3.50%​ HP​ +7.00%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
15	2	200	2400	900011_2	1		社团大乱斗中攻击+3.75%,防御+3.75%,血量+7.50%	社團大亂鬥中攻擊+3.75%,防禦+3.75%,血量+7.50%	ATK +3.75%, DEF +3.75%, HP +7.50% in Clan Showdown	Pending社团大乱斗中攻击+3.75%,防御+3.75%,血量+7.50%	클럽 대항전에서 공격력 +3.75%, 방어력 +3.75%, HP +7.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +3.75%​ DEF​ +3.75%​ HP​ +7.50%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
16	3	200	2600	900011_3	1		社团大乱斗中攻击+4.00%,防御+4.00%,血量+8.00%	社團大亂鬥中攻擊+4.00%,防禦+4.00%,血量+8.00%	ATK +4.00%, DEF +4.00%, HP +8.00% in Clan Showdown	Pending社团大乱斗中攻击+4.00%,防御+4.00%,血量+8.00%	클럽 대항전에서 공격력 +4.00%, 방어력 +4.00%, HP +8.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +4.00%​ DEF​ +4.00%​ HP​ +8.00%​	都说了我还能长高哦！	都說了我還能長高哦！	I told you I could grow taller!	まだまだ背が伸びるって言ったのに！	난 아직도 더 클 수 있다옹!	บอก​แล้ว​ไง​ว่า​ฉัน​ยัง​โต​ได้​อีก​น่ะ​!​
17	3	300	2900	900011_3	1		社团大乱斗中攻击+4.25%,防御+4.25%,血量+8.50%	社團大亂鬥中攻擊+4.25%,防禦+4.25%,血量+8.50%	ATK +4.25%, DEF +4.25%, HP +8.50% in Clan Showdown	Pending社团大乱斗中攻击+4.25%,防御+4.25%,血量+8.50%	클럽 대항전에서 공격력 +4.25%, 방어력 +4.25%, HP +8.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +4.25%​ DEF​ +4.25%​ HP​ +8.50%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
18	3	300	3200	900011_3	1		社团大乱斗中攻击+4.50%,防御+4.50%,血量+9.00%	社團大亂鬥中攻擊+4.50%,防禦+4.50%,血量+9.00%	ATK +4.50%, DEF +4.50%, HP +9.00% in Clan Showdown	Pending社团大乱斗中攻击+4.50%,防御+4.50%,血量+9.00%	클럽 대항전에서 공격력 +4.50%, 방어력 +4.50%, HP +9.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +4.50%​ DEF​ +4.50%​ HP​ +9.00%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
19	3	300	3500	900011_3	1		社团大乱斗中攻击+4.75%,防御+4.75%,血量+9.50%	社團大亂鬥中攻擊+4.75%,防禦+4.75%,血量+9.50%	ATK +4.75%, DEF +4.75%, HP +9.50% in Clan Showdown	Pending社团大乱斗中攻击+4.75%,防御+4.75%,血量+9.50%	클럽 대항전에서 공격력 +4.75%, 방어력 +4.75%, HP +9.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +4.75%​ DEF​ +4.75%​ HP​ +9.50%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
20	3	300	3800	900011_3	1		社团大乱斗中攻击+5.00%,防御+5.00%,血量+10.00%	社團大亂鬥中攻擊+5.00%,防禦+5.00%,血量+10.00%	ATK +5.00%, DEF +5.00%, HP +10.00% in Clan Showdown	Pending社团大乱斗中攻击+5.00%,防御+5.00%,血量+10.00%	클럽 대항전에서 공격력 +5.00%, 방어력 +5.00%, HP +10.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +5.00%​ DEF​ +5.00%​ HP​ +10.00%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
21	3	300	4100	900011_3	1		社团大乱斗中攻击+5.25%,防御+5.25%,血量+10.50%	社團大亂鬥中攻擊+5.25%,防禦+5.25%,血量+10.50%	ATK +5.25%, DEF +5.25%, HP +10.50% in Clan Showdown	Pending社团大乱斗中攻击+5.25%,防御+5.25%,血量+10.50%	클럽 대항전에서 공격력 +5.25%, 방어력 +5.25%, HP +10.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +5.25%​ DEF​ +5.25%​ HP​ +10.50%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
22	3	300	4400	900011_3	1		社团大乱斗中攻击+5.50%,防御+5.50%,血量+11.00%	社團大亂鬥中攻擊+5.50%,防禦+5.50%,血量+11.00%	ATK +5.50%, DEF +5.50%, HP +11.00% in Clan Showdown	Pending社团大乱斗中攻击+5.50%,防御+5.50%,血量+11.00%	클럽 대항전에서 공격력 +5.50%, 방어력 +5.50%, HP +11.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +5.50%​ DEF​ +5.50%​ HP​ +11.00%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
23	3	300	4700	900011_3	1		社团大乱斗中攻击+5.75%,防御+5.75%,血量+11.50%	社團大亂鬥中攻擊+5.75%,防禦+5.75%,血量+11.50%	ATK +5.75%, DEF +5.75%, HP +11.50% in Clan Showdown	Pending社团大乱斗中攻击+5.75%,防御+5.75%,血量+11.50%	클럽 대항전에서 공격력 +5.75%, 방어력 +5.75%, HP +11.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +5.75%​ DEF​ +5.75%​ HP​ +11.50%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
24	3	300	5000	900011_3	1		社团大乱斗中攻击+6.00%,防御+6.00%,血量+12.00%	社團大亂鬥中攻擊+6.00%,防禦+6.00%,血量+12.00%	ATK +6.00%, DEF +6.00%, HP +12.00% in Clan Showdown	Pending社团大乱斗中攻击+6.00%,防御+6.00%,血量+12.00%	클럽 대항전에서 공격력 +6.00%, 방어력 +6.00%, HP +12.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +6.00%​ DEF​ +6.00%​ HP​ +12.00%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
25	3	300	5300	900011_3	1		社团大乱斗中攻击+6.25%,防御+6.25%,血量+12.50%	社團大亂鬥中攻擊+6.25%,防禦+6.25%,血量+12.50%	ATK +6.25%, DEF +6.25%, HP +12.50% in Clan Showdown	Pending社团大乱斗中攻击+6.25%,防御+6.25%,血量+12.50%	클럽 대항전에서 공격력 +6.25%, 방어력 +6.25%, HP +12.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +6.25%​ DEF​ +6.25%​ HP​ +12.50%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
26	3	300	5600	900011_3	1		社团大乱斗中攻击+6.50%,防御+6.50%,血量+13.00%	社團大亂鬥中攻擊+6.50%,防禦+6.50%,血量+13.00%	ATK +6.50%, DEF +6.50%, HP +13.00% in Clan Showdown	Pending社团大乱斗中攻击+6.50%,防御+6.50%,血量+13.00%	클럽 대항전에서 공격력 +6.50%, 방어력 +6.50%, HP +13.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +6.50%​ DEF​ +6.50%​ HP​ +13.00%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
27	3	300	5900	900011_3	1		社团大乱斗中攻击+6.75%,防御+6.75%,血量+13.50%	社團大亂鬥中攻擊+6.75%,防禦+6.75%,血量+13.50%	ATK +6.75%, DEF +6.75%, HP +13.50% in Clan Showdown	Pending社团大乱斗中攻击+6.75%,防御+6.75%,血量+13.50%	클럽 대항전에서 공격력 +6.75%, 방어력 +6.75%, HP +13.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +6.75%​ DEF​ +6.75%​ HP​ +13.50%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
28	3	300	6200	900011_3	1		社团大乱斗中攻击+7.00%,防御+7.00%,血量+14.00%	社團大亂鬥中攻擊+7.00%,防禦+7.00%,血量+14.00%	ATK +7.00%, DEF +7.00%, HP +14.00% in Clan Showdown	Pending社团大乱斗中攻击+7.00%,防御+7.00%,血量+14.00%	클럽 대항전에서 공격력 +7.00%, 방어력 +7.00%, HP +14.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +7.00%​ DEF​ +7.00%​ HP​ +14.00%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
29	3	300	6500	900011_3	1		社团大乱斗中攻击+7.25%,防御+7.25%,血量+14.50%	社團大亂鬥中攻擊+7.25%,防禦+7.25%,血量+14.50%	ATK +7.25%, DEF +7.25%, HP +14.50% in Clan Showdown	Pending社团大乱斗中攻击+7.25%,防御+7.25%,血量+14.50%	클럽 대항전에서 공격력 +7.25%, 방어력 +7.25%, HP +14.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +7.25%​ DEF​ +7.25%​ HP​ +14.50%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
30	3	300	6800	900011_3	1		社团大乱斗中攻击+7.50%,防御+7.50%,血量+15.00%	社團大亂鬥中攻擊+7.50%,防禦+7.50%,血量+15.00%	ATK +7.50%, DEF +7.50%, HP +15.00% in Clan Showdown	Pending社团大乱斗中攻击+7.50%,防御+7.50%,血量+15.00%	클럽 대항전에서 공격력 +7.50%, 방어력 +7.50%, HP +15.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +7.50%​ DEF​ +7.50%​ HP​ +15.00%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
31	4	300	7100	900011_4	1		社团大乱斗中攻击+7.75%,防御+7.75%,血量+15.50%	社團大亂鬥中攻擊+7.75%,防禦+7.75%,血量+15.50%	ATK +7.75%, DEF +7.75%, HP +15.50% in Clan Showdown	Pending社团大乱斗中攻击+7.75%,防御+7.75%,血量+15.50%	클럽 대항전에서 공격력 +7.75%, 방어력 +7.75%, HP +15.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +7.75%​ DEF​ +7.75%​ HP​ +15.50%​	尾巴还会更蓬松吗？	尾巴還會更蓬鬆嗎？	Will my tail get fluffier?	しっぽがさらにモフモフになるのかな？	꼬리가 더 풍성해지는 거냐옹?	หาง​ยัง​ฟูฟ่อง​ได้​กว่า​นี้​อีก​เหรอ​?​
32	4	400	7500	900011_4	1		社团大乱斗中攻击+8.00%,防御+8.00%,血量+16.00%	社團大亂鬥中攻擊+8.00%,防禦+8.00%,血量+16.00%	ATK +8.00%, DEF +8.00%, HP +16.00% in Clan Showdown	Pending社团大乱斗中攻击+8.00%,防御+8.00%,血量+16.00%	클럽 대항전에서 공격력 +8.00%, 방어력 +8.00%, HP +16.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +8.00%​ DEF​ +8.00%​ HP​ +16.00%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
33	4	400	7900	900011_4	1		社团大乱斗中攻击+8.25%,防御+8.25%,血量+16.50%	社團大亂鬥中攻擊+8.25%,防禦+8.25%,血量+16.50%	ATK +8.25%, DEF +8.25%, HP +16.50% in Clan Showdown	Pending社团大乱斗中攻击+8.25%,防御+8.25%,血量+16.50%	클럽 대항전에서 공격력 +8.25%, 방어력 +8.25%, HP +16.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +8.25%​ DEF​ +8.25%​ HP​ +16.50%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
34	4	400	8300	900011_4	1		社团大乱斗中攻击+8.50%,防御+8.50%,血量+17.00%	社團大亂鬥中攻擊+8.50%,防禦+8.50%,血量+17.00%	ATK +8.50%, DEF +8.50%, HP +17.00% in Clan Showdown	Pending社团大乱斗中攻击+8.50%,防御+8.50%,血量+17.00%	클럽 대항전에서 공격력 +8.50%, 방어력 +8.50%, HP +17.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +8.50%​ DEF​ +8.50%​ HP​ +17.00%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
35	4	400	8700	900011_4	1		社团大乱斗中攻击+8.75%,防御+8.75%,血量+17.50%	社團大亂鬥中攻擊+8.75%,防禦+8.75%,血量+17.50%	ATK +8.75%, DEF +8.75%, HP +17.50% in Clan Showdown	Pending社团大乱斗中攻击+8.75%,防御+8.75%,血量+17.50%	클럽 대항전에서 공격력 +8.75%, 방어력 +8.75%, HP +17.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +8.75%​ DEF​ +8.75%​ HP​ +17.50%​	感觉变得更厉害了！	感覺變得更厲害了！	I feel like I'm getting stronger!	もっと強くなった気がする！	힘이 세진 것 같다냥!	รู้สึก​แข็งแกร่ง​ขึ้น​แล้ว​!​
36	4	400	9100	900011_4	1		社团大乱斗中攻击+9.00%,防御+9.00%,血量+18.00%	社團大亂鬥中攻擊+9.00%,防禦+9.00%,血量+18.00%	ATK +9.00%, DEF +9.00%, HP +18.00% in Clan Showdown	Pending社团大乱斗中攻击+9.00%,防御+9.00%,血量+18.00%	클럽 대항전에서 공격력 +9.00%, 방어력 +9.00%, HP +18.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +9.00%​ DEF​ +9.00%​ HP​ +18.00%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
37	4	400	9500	900011_4	1		社团大乱斗中攻击+9.25%,防御+9.25%,血量+18.50%	社團大亂鬥中攻擊+9.25%,防禦+9.25%,血量+18.50%	ATK +9.25%, DEF +9.25%, HP +18.50% in Clan Showdown	Pending社团大乱斗中攻击+9.25%,防御+9.25%,血量+18.50%	클럽 대항전에서 공격력 +9.25%, 방어력 +9.25%, HP +18.50%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +9.25%​ DEF​ +9.25%​ HP​ +18.50%​	啊……不想努力了……	啊……不想努力了……	Ah... I don't feel like trying anymore...	あぁ……やる気が出ない……	아... 그만 힘내고 싶다냥...	อา​...​ ไม่​อยาก​ทำ​แล้ว​...​
38	4	400	9900	900011_4	1		社团大乱斗中攻击+9.50%,防御+9.50%,血量+19.00%	社團大亂鬥中攻擊+9.50%,防禦+9.50%,血量+19.00%	ATK +9.50%, DEF +9.50%, HP +19.00% in Clan Showdown	Pending社团大乱斗中攻击+9.50%,防御+9.50%,血量+19.00%	클럽 대항전에서 공격력 +9.50%, 방어력 +9.50%, HP +19.00%	ระหว่าง​ศึก​ตะลุมบอน​ชมรม​ ATK​ +9.50%​ DEF​ +9.50%​ HP​ +19.00%​	好想快点长大呀……	好想快點長大呀……	I wish I could grow up faster...	早く大人になりたいなぁ…	얼른 자라고 싶다냥...	อยากโตไวๆ จังเลย...
