id	storyId	groupId	people	headIcon	jumpId	choiceOneType	choiceOneId	choiceOneJumpId	choiceOneReward	choiceTwoType	choiceTwoId	choiceTwoJumpId	choiceTwoReward	choiceThreeType	choiceThreeId	choiceThreeJumpId	choiceThreeReward	rewardGroupId	end	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	choiceOne	choiceOne_zh_TW	choiceOne_en_UK	choiceOne_ja_JP	choiceOne_ko_KR	choiceOne_th_TH	choiceTwo	choiceTwo_zh_TW	choiceTwo_en_UK	choiceTwo_ja_JP	choiceTwo_ko_KR	choiceTwo_th_TH	choiceThree	choiceThree_zh_TW	choiceThree_en_UK	choiceThree_ja_JP	choiceThree_ko_KR	choiceThree_th_TH
28	11	10	1	18:guest_icon_01	11															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	我打算去南港区碰碰运气。\n听说斯皮亚水库钓鱼体验不错，虽然也变成了俱乐部……	我打算去南港區碰碰運氣。\n聽說斯皮亞水庫釣魚體驗不錯，雖然也變成了俱樂部……	I plan to try my luck in the Southport District. I heard the fishing experience at the Spya Reservoir is good, even though it has turned into a club...	南港区だよ。一丁、運試しに行くんだ。\nスピアダムの釣り場はなかなか評判がいいしね。まぁ、サークル活動みたいなもんだけど。	사우스포트 지역에서 제 운을 시험해 봐야겠어요. 스피아 저수지에서의 낚시 체험이 좋다고 들었어요. 비록 그곳도 클럽의 소유가 되어버렸지만…	ฉัน​ว่า​จะ​ไป​เสี่ยง​ดวง​ที่​เขต​ทะเล​ใต้​ดู​\nได้ยิน​ว่า​ตกปลา​ที่​อ่างเก็บน้ำ​สเปียร์​สนุก​ดี​ ถึง​จะ​กลายเป็น​คลับ​ไป​แล้วก็​เถอะ​...​																		
29	11	11	1	18:guest_icon_01															1	1	博林	博林	Bolin	ポーリン	볼린	โบลิน	不管怎么说，祝我好运吧！	不管怎麼說，祝我好運吧！	Anyway, wish me luck!	とにかく店長、いっぱい釣れるように祈っててよ！	어쨌든, 행운을 빌어요!	จะ​ว่า​ยังไง​ก็ช่าง​ อวยพร​ให้​ฉัน​หน่อย​นะ​!​																		
30	12	1	1	18:guest_icon_01		3	5730004	2	2											1	博林	博林	Bolin	ポーリン	볼린	โบลิน	好香、好香啊！真不愧是香鱼！	好香、好香啊！真不愧是香魚！	So fragrant! This truly is Sweetfish!	うーん、いい匂い！香る魚と書いてアユ！伊達じゃないね！	정말 향기롭고 맛있어요! 역시 은어네요!	หอม​ หอม​จริงๆ​!​ สม​แล้ว​ที่​เป็น​ปลา​อายุ​!​	请给我一份香鱼葱花面	請給我一份香魚蔥花麵	Please give me Scallion Oil Noodle with Sweetfish.	アユのあんかけ麺をください	양념 고등어 파 스프 하나 주세요	ขอ​บะหมี่​ปลา​อายุ​หนึ่ง​ชาม​												
31	12	2	2		3															1	我	我	Me	私	나	ฉัน	博林先生，对今天的餐品味道还满意吗？	博林先生，對今天的餐品味道還滿意嗎？	Mr. Bolin, are you satisfied with today's meal?	ポーリンさん、今日の料理は気に入ってくれたかな？	볼린 씨, 오늘 식사 맛은 어떠셨나요?	คุณ​โบ​ลิ​น​ รสชาติ​อาหาร​วันนี้​เป็นไง​บ้าง​?​																		
32	12	3	1	18:guest_icon_01	4															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	怎么能说满意呢？应该说满意极了！\n店长，你们的食材真的很新鲜啊！	怎麼能說滿意呢？應該說滿意極了！\n店長，你們的食材真的很新鮮啊！	How can I say I'm merely satisfied? I should say I'm extremely satisfied! Manager, your ingredients are truly fresh!	気に入ったかって？気に入りすぎだよ！\n店長のとこの食材は、本当に新鮮だね！	만족하다 못해 최고로 만족스럽답니다! 점장님, 이곳의 식재료는 정말 신선하네요!	จะ​บอ​กว่า​พอใจ​ได้​ไง​?​ ต้อง​บอ​กว่า​พอใจ​สุด​ๆ​!​\nผู้จัดการ​ วัตถุดิบ​ของ​ที่นี่​สด​จริงๆ​ เลย​นะ​!​																		
33	12	4	1	18:guest_icon_01	5															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	这是玛瑙湾出产的正宗香鱼，我一下就尝出来了！\n跟有些滥竽充数的餐厅完全不一样！	這是瑪瑙灣出產的正宗香魚，我一下就嘗出來了！\n跟有些濫竽充數的餐廳完全不一樣！	This is Sweetfish from Cowrie Cove. I could tell right away! It's completely different from some subpar restaurants!	これはメノウ湾産の本物のアユだね。一口で分かったよ！\n有象無象のレストランとは格が違うね、格が！	이건 카넬리언 베이에서 잡힌 제대로 된 은어예요, 바로 맞췄지요! 다른 식당들처럼 허접한 재료로 속이지 않아요!	นี่​เป็น​ปลา​อายุ​แท้ๆ​ จาก​อ่าว​อา​เก​ต​ ชิม​ปุ๊บ​รู้​เลย​!​\nต่าง​จา​กร้าน​ที่​เอา​ของปลอม​มา​ใช้​แทน​โดยสิ้นเชิง​!​																		
34	12	5	1	18:guest_icon_01	6															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	香鱼独特的口感和味道，被热油完全激发出来了……\n就连葱花都被染上了鲜香……	香魚獨特的口感和味道，被熱油完全激發出來了……\n就連蔥花都被染上了鮮香……	The unique texture and flavor of Sweetfish have been fully brought out by the hot oil... even the scallions have absorbed the fresh fragrance.	アユの独特の食感と風味が、高温の油でバッチリ引き出されている。\nそして清涼感たっぷりに、彩りを添えた散らしネギ……	은어의 독특한 식감과 맛이 뜨거운 기름에 완전히 살아났어요… 게다가 파 향도 엄청나네요…	รสชาติ​และ​เนื้อ​สัมผัส​เฉพาะตัว​ของ​ปลา​อายุ​ ถูก​น้ำมัน​ร้อน​ๆ​ ดึง​ออกมา​ได้​หมด​เลย​...​\nแม้​แต่ต้น​หอม​ยัง​ซึมซับ​ความ​หอม​ไป​ด้วย​...​																		
35	12	6	2		7															1	我	我	Me	私	나	ฉัน	看得出来，博林先生确实是个内行。	看得出來，博林先生確實是個內行。	It's clear that Mr. Bolin is quite knowledgeable.	ポーリンさんにかかれば、玄人も裸足で逃げちゃうな。	볼린 씨의 내공은 정말 엄청나신 것 같네요	เห็นได้ชัด​เลย​ว่า​คุณ​โบ​ลิ​น​เป็น​คนใน​วงการ​จริงๆ​																		
36	12	7	1	18:guest_icon_01	8															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	香鱼可是「淡水鱼之王」！\n高端的食材，往往只需要简单的烹饪方法……这样刚刚好！	香魚可是「淡水魚之王」！\n高端的食材，往往只需要簡單的烹飪方法……這樣剛剛好！	This is the "king of freshwater fish!" High-quality ingredients often only require the simplest cooking methods... just like this!	アユはまさに「淡水魚の王様」だね！\n高級食材はシンプルな料理が一番だったりするけど……これはまさに最高だよ！	은어는 '민물고기의 왕'이니까요! 고급 식재료를 다룰 땐 간단한 조리 방법이 최고랍니다… 이렇게 하면 맛을 살릴 수 있죠!	ปลา​อายุ​นี่​เป็น​ '​ราชา​แห่ง​ปลาน้ำจืด​'​ นะ​!​\nวัตถุดิบ​ระดับ​พรีเมียม​น่ะ​ แค่​ปรุง​ด้วย​วิธีการ​ง่ายๆ​ก็​พอ​...​ แบบ​นี้แหละ​กำลังดี​!​																		
37	12	8	1	18:guest_icon_01	9															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	你们餐厅有没有顾客意见簿啊？\n我要用最最最——大的字迹，留下我的赞美！	你們餐廳有沒有顧客意見簿啊？\n我要用最最最——大的字跡，留下我的讚美！	Do you have a book for customer reviews? I want to leave my praise in the biggest letters!	口コミとかアンケートを書くところはあるかな？\n最大限の賛辞を送らせてもらうよ！	식당에 손님의 리뷰를 남길 수 있는 공간이 있나요? 이 음식에 대한 제 칭찬을 아주 크게 적어 놓고 싶네요!	ร้าน​ของ​พวก​เธอ​มี​สมุด​แสดงความคิดเห็น​ไหม​?​\nฉัน​จะ​เขียน​คำชม​ด้วย​ตัวอักษร​ที่​ใหญ่​ที่สุด​ ใหญ่​แบบ​สุด​ๆ​ไป​เลย​!​																		
38	12	9	1	18:guest_icon_01	10															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	有眼光的店长，尽职的供应商，一丝不苟完成制作的主厨……\n每一个人都值得被铭记啊！	有眼光的店長，盡職的供應商，一絲不苟完成製作的主廚……\n每一個人都值得被銘記啊！	A discerning manager, diligent suppliers, and a chef who addresses every detail meticulously... each and every person deserves to be remembered!	目利き力のある店長、プロフェッショナルなサプライヤー、そして妥協しないシェフ……\nその一人一人が人々の記憶に刻まれるべきだ！	안목이 있는 점장님과 성실한 공급업체, 그리고 하나하나 정성껏 만드는 주방장… 모든 사람이 기억될 가치가 있답니다!	ผู้จัดการ​มี​วิสัยทัศน์​ ซัพพลายเออร์​ที่​ทุ่มเท​ เชฟ​ที่ทำงาน​อย่าง​พิถีพิถัน​...​\nทุกคน​สมควร​ได้รับ​การ​จดจำ​นะ​!​																		
39	12	10	2		11															1	我	我	Me	私	나	ฉัน	啊？这……您过誉了！\n餐厅提供美食是义务，也是职责……	啊？這……您過譽了！\n餐廳提供美食是義務，也是職責……	You give me too much credit! Providing great food is a duty and responsibility...	え？そんな大げさな！\nレストランにとって、美味しい料理を提供するのは義務みたいなもので……	아? 이… 과찬입니다! 카페테리아에서 맛있는 음식을 제공하는 건 저희의 의무니까요…	เอ๊ะ​?​ นี่​...​คุณ​ชม​กัน​เกินไป​แล้ว​!​\nการ​เสิร์ฟ​อาหาร​อร่อย​เป็น​หน้าที่​และ​ความรับผิดชอบ​ของ​ร้าน​อยู่แล้ว​...​																		
40	12	11	2		12															1	我	我	Me	私	나	ฉัน	顾客能够尽情享受用餐这件事，就是对我们最大的认可了。	顧客能夠盡情享受用餐這件事，就是對我們最大的認可了。	Customers being able to enjoy their meals to the fullest is the greatest recognition for us.	お客様に食事を楽しんでいただけたら、もうそれで十分というか……	손님께서 저희가 만든 음식을 맛있게 드셔주시는 것이야말로 저희에게 가장 큰 보람이랍니다	การ​ที่​ลูกค้า​ได้​เพลิดเพลิน​กับ​มื้อ​อาหาร​อย่าง​เต็มที่​ นั่น​คือ​การ​ยอมรับ​ที่​ยิ่งใหญ่​ที่สุด​สำหรับ​พวกเรา​แล้ว​																		
41	12	12	1	18:guest_icon_01															1	1	博林	博林	Bolin	ポーリン	볼린	โบลิน	这、这样啊……\n好吧，看来只能期待更多的惊喜了！	這、這樣啊……\n好吧，看來只能期待更多的驚喜了！	I see! Well, it seems we can only hope for more surprises!	うーん、そんなものなのか……\nよーし、それじゃあ今後も驚きの味に期待するとしよう！	그, 그렇군요… 알겠습니다. 앞으로가 더 기대되네요!	งั้น​ งั้น​เห​รอ.​..​\nก็ได้​ สงสัย​คง​ได้​แต่​หวัง​ว่า​จะ​มี​เซอร์ไพรส์​เพิ่ม​ล่ะ​นะ​!​																		
42	13	1	1	18:guest_icon_01	2															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	嘿嘿，今天真是个好日子！	嘿嘿，今天真是個好日子！	Ha, today is truly a good day!	うーん、なんて最高の日なんだ！	헤헤, 오늘 정말 좋은 날이네요!	ฮ่ะ​ๆ​ วันนี้​เป็น​วันที่​ดี​จริงๆ​!​																		
43	13	2	2		3															1	我	我	Me	私	나	ฉัน	博林先生心情很好呢。	博林先生心情很好呢。	Mr. Bolin is in a good mood.	ご機嫌のようだね。	볼린 씨 기분이 아주 좋아 보여요.	คุณโบลินดูอารมณ์ดีจังนะ																		
44	13	3	1	18:guest_icon_01	4	3	5710002	4	2											1	博林	博林	Bolin	ポーリン	볼린	โบลิน	店长！快来，我给你看个好东西！	店長！快來，我給你看個好東西！	Manager! Come here, I've got something to show you!	お、店長か！ちょっと来てくれよ。いいものがあるんだ！	점장님! 빨리 오세요, 좋은 거 보여드릴게요!	ผู้จัดการ​!​ มา​นี่​เร็ว​ มี​ของดี​ให้​ดู​!​	一杯快乐水	一杯快樂水	A glass of Happy Soda, please.	コーラを1杯	해피워터 한 잔 주세요	เอาแฮปปี้โซดาแก้วนึง 												
45	13	4	2		5															1	我	我	Me	私	나	ฉัน	这是……弹壳？哪里来的？	這是……彈殼？哪裡來的？	Is this... a shell casing? Where did you get it?	これは……薬莢？そんなものどこで？	이건…… 탄피 아닌가요? 어디서 난 거죠?	นี่​มัน​...​ ปลอกกระสุน​เหรอ​?​ เอา​มาจาก​ไหน​น่ะ​?​																		
46	13	5	1	18:guest_icon_01	6															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	路上捡的啊！这可是个大宝贝！\n你看这花纹，这品质，肯定是军方的货！	路上撿的啊！這可是個大寶貝！\n你看這花紋，這品質，肯定是軍方的貨！	I picked it up on the way! This is a big find, you see the pattern and quality, it's definitely military-grade!	道で拾ったんだ！お宝だよ！\nこのデザインといい、品質といい、軍用品に違いない！	길에서 주웠어요! 이건 정말 큰 보물이랍니다! 이 무늬랑, 품질을 보세요, 분명 군용품이에요!	เก็บ​ได้​ระหว่างทาง​น่ะ​!​ นี่​เป็น​ของมีค่า​ชิ้น​ใหญ่​เลย​นะ​!​\nดู​ลวดลาย​นี่​สิ​ ดู​จาก​คุณภาพ​ ต้อง​เป็น​ของ​ทหาร​แน่ๆ​!​																		
47	13	6	1	18:guest_icon_01	7															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	你知道吧？他们对这种玩意管控可严格了。\n每次行动后都会清点数量，收回所有的弹壳。	你知道吧？他們對這種玩意管控可嚴格了。\n每次行動後都會清點數量，收回所有的彈殼。	Do you know? They have strict control over this sort of thing. After every operation, they count the number and collect all the casings.	店長は知っているかな？軍部はこういうのにかなり厳しいんだよ。\n作戦が終わるたびに薬莢を全部回収して、数が合っているかチェックするんだ。	이런 물건에 대한 관리가 매우 엄격한 것은 알고 계시죠? 작전이 종료된 후에는 수량을 점검하고 모든 탄피를 회수하니까요.	คุณ​รู้​ใช่ไหม​?​ พวกเขา​จัดการ​กับ​ของ​พวก​นี้​อย่าง​เข้มงวด​สุด​ๆ​\nทุก​ครั้งหลัง​ปฏิบัติการ​จะ​ต้อง​นับ​จำนวน​ และ​เก็บ​ปลอกกระสุน​คืน​ทั้งหมด​																		
48	13	7	1	18:guest_icon_01	8															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	嘘，看看就行了，千万别说出去啊……\n我可不想交出去。嘿嘿，这可是难得的纪念品啊！	噓，看看就行了，千萬別說出去啊……\n我可不想交出去。嘿嘿，這可是難得的紀念品啊！	Shh, just take a look, but don't tell anyone... I don't want to give it away. Ha, it's a rare keepsake!	シーッ！声を出さないで！見るだけだよ。\nとられちゃったらたまらないからね。ハッハッハ、これはいい記念になるぞ！	쉿, 봤다고만 하세요, 절대로 말하지 마세요… 저는 절대로 돌려주고 싶지 않으니까요. 헤헤, 이건 정말 귀한 기념품이잖아요!	ชู่ว​ แค่​ดู​ก็​พอแล้ว​ อย่า​ไป​บอก​ใคร​เด็ดขาด​ล่ะ​...​\nฉัน​ไม่​อยาก​ส่งคืน​ ฮ่ะ​ๆ​ นี่​มัน​ของที่ระลึก​หา​ยาก​นะ​!​																		
49	13	8	2		9															1	我	我	Me	私	나	ฉัน	博林先生，军方既然会出台这样的条例，就一定有他们的道理……	博林先生，軍方既然會出這樣的條例，就一定有他們的道理……	Mr. Bolin, the military enforces regulations like this for a reason…	ポーリンさん、軍にだって事情があるんだよ。わざわざそんなことしてるってことは……	볼린 씨, 군에서 그런 규정을 만든 건 분명 그들 나름의 이유가 있을 거예요…	คุณ​โบ​ลิ​น​ ใน​เมื่อ​ทางการทหาร​ออก​กฎข้อบังคับ​แบบนี้​ ก็​ต้อง​มีเหตุผล​ของ​พวกเขา​นะ​...​																		
50	13	9	2		10															1	我	我	Me	私	나	ฉัน	说不定弹壳里就有残存的情绪粒子，很可能会影响到你和身边的人……	說不定彈殼裡就有殘存的情緒粒子，很可能會影響到你和身邊的人……	Maybe there are Pathos Particles in the casings that could affect you and the people around you…	たとえば薬莢にエモーション粒子が残っているとかはあるかもよ？ポーリンさんや周りの人に影響があることだって……	혹시 탄피에 이모션 파티클이 남아있을 수도 있어서, 당신과 주변 사람들에게 영향을 줄 수도 있어요…	บางที​ใน​ปลอกกระสุน​อาจจะ​มี​อนุภาค​พา​โธส​หลง​เหลืออยู่​ก็ได้​ มัน​อาจจะ​ส่ง​ผลกระทบ​ต่อ​คุณ​และ​คน​รอบข้าง​นะ​...​																		
51	13	10	1	18:guest_icon_01	11															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	你这样一说，好像也有道理。\n可我好不容易拿到的……只要不贴身戴着，就没问题了吧？	你這樣一說，好像也有道理。\n可我好不容易拿到的……只要不貼身戴著，就沒問題了吧？	When you put it that way, it sounds reasonable. But I worked so hard to get it... as long as I don't carry it on me, it should be fine, right?	確かに一理あるな。\nでも、滅多にないお宝だし……体に触れていなければ大丈夫じゃないかな？	그렇게 말씀하시니, 말씀이 맞는 것 같아요. 하지만 이렇게 어렵게 얻은 건데… 몸에 지니지 않는다면 문제 없겠죠?	คุณ​พูด​แบบนี้​ก็​ดู​มีเหตุผล​นะ​\nแต่​ฉัน​ไม่​ได้​เก็บ​มัน​มา​ง่ายๆ​นี่​นา​...​ แค่​ไม่​ได้​พก​ติดตัว​ ก็​ไม่เป็นไร​แล้ว​ใช่ไหม​?​																		
52	13	11	1	18:guest_icon_01															1	1	博林	博林	Bolin	ポーリン	볼린	โบลิน	总而言之，谢谢你啊，店长！我会小心的！	總而言之，謝謝你啊，店長！我會小心的！	In any case, thank you, Manager! I'll be careful!	いやぁ、店長に見てもらってよかった！気をつけるよ！	어쨌든, 고마워요, 점장님! 조심할게요!	ยังไง​ก็​ขอบคุณ​นะ​ ผู้จัดการ​!​ ฉัน​จะ​ระวังตัว​!​																		
53	14	1	1	18:guest_icon_01	2															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	奇怪……我明明带了红色喷漆呀，怎么找不到了呢？	奇怪……我明明帶了紅色噴漆呀，怎麼找不到了呢？	Strange... I'm pretty sure I had red spray paint. Why can't I find it now?	おかしいな……赤のラッカースプレーを持ってきたはずなのに、なんでどこにもないんだ？	이상해… 분명히 빨간색 마카를 가져왔는데, 어디 있지?	แปลก​จัง​...​ ฉัน​แน่ใจ​ว่า​เอา​สเปรย์​สีแดง​มา​ด้วย​นี่​นา​ ทำไม​หาไม่​เจอ​แล้ว​ล่ะ​?​																		
54	14	2	2		3															1	我	我	Me	私	나	ฉัน	博林先生，这一大袋……都是你的？	博林先生，這一大袋……都是你的？	Mr. Bolin, is this big bag... all yours?	ポーリンさん、この大きな袋、ポーリンさんのじゃ？	볼린 씨, 이 큰 가방이… 모두 당신 거예요?	คุณ​โบ​ลิ​น​ ถุง​ใบ​ใหญ่​นี่​...​ เป็น​ของ​คุณ​ทั้งหมด​เลย​เหรอ​?​																		
55	14	3	1	18:guest_icon_01	4															1	博林	博林	Bolin	ポーリン	볼린	โบลิน	店长来啦！没错，这些都是我刚买的！新鲜热辣充满活力的涂鸦罐！	店長來啦！沒錯，這些都是我剛買的！新鮮熱辣充滿活力的塗鴉罐！	The Manager is here! I just bought all of these! Brand-new, fresh-in, and fully-loaded spray cans!	あ、店長！そうそう！ついさっき、買ったものなんだ！サラッサラの新品で、エネルギッシュなラッカースプレーだよ！	점장님 오셨군요! 맞아요, 이건 제가 방금 산 거예요! 신규 출시된 정열적인 마카들이에요!	ผู้จัดการ​มา​แล้ว​!​ ใช่​แล้ว​ ทั้งหมด​นี่​ฉัน​เพิ่ง​ซื้อ​มา​!​ กระป๋อง​สเปรย์​ใหม่เอี่ยม​ ร้อนแรง​ เต็มไปด้วย​พลัง​!​																		
56	14	4	2		5															1	我	我	Me	私	나	ฉัน	为什么要买这么多……	為什麼要買這麼多……	Why did you buy so many?	なんでこんなにたくさん……	왜 이렇게 많이 사셨어요…	ทำไม​ถึง​ซื้อ​มา​เยอะ​ขนาด​นี้​ล่ะ​...​																		
