id	rankId	icon	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
111	6	4	1	<color=#A88665>员工设置:</color>增加新的店员工位	<color=#A88665>員工設置:</color>增加新的店員工位	<color=#A88665>Management:</color> Adds new staff members.	<color=#A88665>店員配置:</color>新しい店員枠解放	<color=#A88665>점원 설정:</color> 추가 점원 배치 가능	<color=#A88665>ตั้งค่าพนักงาน:</color>​เพิ่ม​ตำแหน่ง​พนักงาน​ร้าน​ใหม่​
112	7	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至160	<color=#A88665>套餐售賣:</color>上架數量增加至160	<color=#A88665>Set Menus:</color> Sale quantity increased to 160.	<color=#A88665>セット販売:</color>最大販売数は160までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 160으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 160​
113	7	3	1	<color=#A88665>休息室:</color>增加新的休息房间	<color=#A88665>休息室:</color>增加新的休息房間	<color=#A88665>Lounge: </color> Adds new rooms.	<color=#A88665>休憩室:</color>新しい休憩室解放	<color=#A88665>휴게실:</color> 새로운 휴게 공간 추가	<color=#A88665>ห้องพัก:</color>​ เพิ่ม​ห้องพัก​ใหม่​
114	8	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至180	<color=#A88665>套餐售賣:</color>上架數量增加至180	<color=#A88665>Set Menus:</color> Sale quantity increased to 180.	<color=#A88665>セット販売:</color>最大販売数は180までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 180으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 180​
115	8	4	1	<color=#A88665>套餐售卖:</color>解锁新的套餐售卖位置	<color=#A88665>套餐售賣:</color>解鎖新的套餐售賣位置	<color=#A88665>Set Menus:</color> Unlocks a new set menu slot.	<color=#A88665>セット販売:</color>新しいセット枠解放	<color=#A88665>세트 판매:</color> 새 세트 판매 위치 해금	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ ปลดล็อก​ตำแหน่ง​ใหม่​สำหรับ​จำหน่าย​เซ็ต​เมนู​
116	9	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至200	<color=#A88665>套餐售賣:</color>上架數量增加至200	<color=#A88665>Set Menus:</color> Sale quantity increased to 200.	<color=#A88665>セット販売:</color>最大販売数は200までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 200으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 200​
117	10	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至220	<color=#A88665>套餐售賣:</color>上架數量增加至220	<color=#A88665>Set Menus:</color> Sale quantity increased to 220.	<color=#A88665>セット販売:</color>最大販売数は220までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 220으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 220​
118	10	4	1	<color=#A88665>员工设置:</color>增加新的店员工位	<color=#A88665>員工設置:</color>增加新的店員工位	<color=#A88665>Management:</color> Adds new staff members.	<color=#A88665>店員配置:</color>新しい店員枠解放	<color=#A88665>점원 설정:</color> 추가 점원 배치 가능	<color=#A88665>ตั้งค่าพนักงาน:</color>​เพิ่ม​ตำแหน่ง​พนักงาน​ร้าน​ใหม่​
119	11	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至240	<color=#A88665>套餐售賣:</color>上架數量增加至240	<color=#A88665>Set Menus:</color> Sale quantity increased to 240.	<color=#A88665>セット販売:</color>最大販売数は240までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 240으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 240​
120	11	4	1	<color=#A88665>套餐售卖:</color>解锁新的套餐售卖位置	<color=#A88665>套餐售賣:</color>解鎖新的套餐售賣位置	<color=#A88665>Set Menus:</color> Unlocks a new set menu slot.	<color=#A88665>セット販売:</color>新しいセット枠解放	<color=#A88665>세트 판매:</color> 새 세트 판매 위치 해금	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ ปลดล็อก​ตำแหน่ง​ใหม่​สำหรับ​จำหน่าย​เซ็ต​เมนู​
121	12	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至260	<color=#A88665>套餐售賣:</color>上架數量增加至260	<color=#A88665>Set Menus:</color> Sale quantity increased to 260.	<color=#A88665>セット販売:</color>最大販売数は260までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 260으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 260​
122	12	4	1	<color=#A88665>套餐售卖:</color>解锁新的套餐售卖位置	<color=#A88665>套餐售賣:</color>解鎖新的套餐售賣位置	<color=#A88665>Set Menus:</color> Unlocks a new set menu slot.	<color=#A88665>セット販売:</color>新しいセット枠解放	<color=#A88665>세트 판매:</color> 새 세트 판매 위치 해금	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ ปลดล็อก​ตำแหน่ง​ใหม่​สำหรับ​จำหน่าย​เซ็ต​เมนู​
123	13	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至280	<color=#A88665>套餐售賣:</color>上架數量增加至280	<color=#A88665>Set Menus:</color> Sale quantity increased to 280.	<color=#A88665>セット販売:</color>最大販売数は280までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 280으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 280​
124	13	4	1	<color=#A88665>套餐售卖:</color>解锁新的套餐售卖位置	<color=#A88665>套餐售賣:</color>解鎖新的套餐售賣位置	<color=#A88665>Set Menus:</color> Unlocks a new set menu slot.	<color=#A88665>セット販売:</color>新しいセット枠解放	<color=#A88665>세트 판매:</color> 새 세트 판매 위치 해금	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ ปลดล็อก​ตำแหน่ง​ใหม่​สำหรับ​จำหน่าย​เซ็ต​เมนู​
125	14	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至300	<color=#A88665>套餐售賣:</color>上架數量增加至300	<color=#A88665>Set Menus:</color> Sale quantity increased to 300.	<color=#A88665>セット販売:</color>最大販売数は300までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 300으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 300​
126	15	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至330	<color=#A88665>套餐售賣:</color>上架數量增加至330	<color=#A88665>Set Menus:</color> Sale quantity increased to 330.	<color=#A88665>セット販売:</color>最大販売数は330までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 330으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 330​
127	15	4	1	<color=#A88665>套餐售卖:</color>解锁新的套餐售卖位置	<color=#A88665>套餐售賣:</color>解鎖新的套餐售賣位置	<color=#A88665>Set Menus:</color> Unlocks a new set menu slot.	<color=#A88665>セット販売:</color>新しいセット枠解放	<color=#A88665>세트 판매:</color> 새 세트 판매 위치 해금	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ ปลดล็อก​ตำแหน่ง​ใหม่​สำหรับ​จำหน่าย​เซ็ต​เมนู​
128	16	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至360	<color=#A88665>套餐售賣:</color>上架數量增加至360	<color=#A88665>Set Menus:</color> Sale quantity increased to 360.	<color=#A88665>セット販売:</color>最大販売数は360までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 360으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 360​
129	17	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至390	<color=#A88665>套餐售賣:</color>上架數量增加至390	<color=#A88665>Set Menus:</color> Sale quantity increased to 390.	<color=#A88665>セット販売:</color>最大販売数は390までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 390으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 390​
130	17	3	1	<color=#A88665>休息室:</color>增加新的休息房间	<color=#A88665>休息室:</color>增加新的休息房間	<color=#A88665>Lounge: </color> Adds new rooms.	<color=#A88665>休憩室:</color>新しい休憩室解放	<color=#A88665>휴게실:</color> 새로운 휴게 공간 추가	<color=#A88665>ห้องพัก:</color>​ เพิ่ม​ห้องพัก​ใหม่​
131	18	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至420	<color=#A88665>套餐售賣:</color>上架數量增加至420	<color=#A88665>Set Menus:</color> Sale quantity increased to 420.	<color=#A88665>セット販売:</color>最大販売数は420までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 420으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 420​
132	19	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至450	<color=#A88665>套餐售賣:</color>上架數量增加至450	<color=#A88665>Set Menus:</color> Sale quantity increased to 450.	<color=#A88665>セット販売:</color>最大販売数は450までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 450으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 450​
133	20	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至480	<color=#A88665>套餐售賣:</color>上架數量增加至480	<color=#A88665>Set Menus:</color> Sale quantity increased to 480.	<color=#A88665>セット販売:</color>最大販売数は480までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 480으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 480​
134	21	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至510	<color=#A88665>套餐售賣:</color>上架數量增加至510	<color=#A88665>Set Menus:</color> Sale quantity increased to 510.	<color=#A88665>セット販売:</color>最大販売数は510までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 510으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 510​
135	22	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至540	<color=#A88665>套餐售賣:</color>上架數量增加至540	<color=#A88665>Set Menus:</color> Sale quantity increased to 540.	<color=#A88665>セット販売:</color>最大販売数は540までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 540으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 540​
136	23	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至570	<color=#A88665>套餐售賣:</color>上架數量增加至570	<color=#A88665>Set Menus:</color> Sale quantity increased to 570.	<color=#A88665>セット販売:</color>最大販売数は570までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 570으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 570​
137	24	4	1	<color=#A88665>套餐售卖:</color>上架数量增加至600	<color=#A88665>套餐售賣:</color>上架數量增加至600	<color=#A88665>Set Menus:</color> Sale quantity increased to 600.	<color=#A88665>セット販売:</color>最大販売数は600までアップ	<color=#A88665>세트 판매:</color> 진열 가능 수량 600으로 증가	<color=#A88665>จำหน่ายเซ็ตเมนู:</color>​ จำนวน​การ​วางขาย​เพิ่มขึ้น​ถึง​ 600​
138	25		1						
