id	setMeal	seat	type	skill	maxSkill	group	status	name1	name1_zh_TW	name1_en_UK	name1_ja_JP	name1_ko_KR	name1_th_TH	name2	name2_zh_TW	name2_en_UK	name2_ja_JP	name2_ko_KR	name2_th_TH
10	1	1	1	5002	5002	2	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
11	1	2	2	5001	5001	2	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
12	1	3	4	5003	5004	2	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
13	2	1	1	5002	5002	2	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
14	2	2	3	5001	5001	2	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
15	2	3	4	5003	5004	2	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
16	3	1	1	5002	5002	2	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
17	3	2	3	5001	5001	2	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
18	3	3	4	5003	5004	2	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
19	1	1	1	5002	5002	3	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
20	1	2	2	5001	5001	3	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
21	1	3	4	5003	5004	3	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
22	2	1	1	5002	5002	3	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
23	2	2	3	5001	5001	3	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
24	2	3	4	5003	5004	3	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
25	3	1	1	5002	5002	3	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
26	3	2	2	5001	5001	3	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
27	3	3	4	5003	5004	3	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
28	1	1	1	5002	5002	4	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
29	1	2	2	5001	5001	4	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
30	1	3	4	5003	5004	4	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
31	2	1	1	5002	5002	4	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
32	2	2	3	5001	5001	4	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
33	2	3	4	5003	5004	4	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
34	3	1	1	5002	5002	4	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
35	3	2	3	5001	5001	4	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
36	3	3	4	5003	5004	4	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
37	1	1	1	5002	5002	5	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
38	1	2	2	5001	5001	5	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
39	1	3	4	5003	5004	5	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
40	2	1	1	5002	5002	5	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
41	2	2	3	5001	5001	5	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
42	2	3	4	5003	5004	5	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
43	3	1	1	5002	5002	5	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
44	3	2	2	5001	5001	5	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
45	3	3	4	5003	5004	5	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
46	1	1	1	5002	5002	6	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
47	1	2	2	5001	5001	6	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
48	1	3	4	5003	5004	6	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
49	2	1	1	5002	5002	6	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
50	2	2	3	5001	5001	6	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
51	2	3	4	5003	5004	6	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
52	3	1	1	5002	5002	6	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
53	3	2	3	5001	5001	6	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
54	3	3	4	5003	5004	6	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
55	1	1	1	5002	5002	7	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
56	1	2	2	5001	5001	7	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
57	1	3	4	5003	5004	7	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
58	2	1	1	5002	5002	7	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
59	2	2	3	5001	5001	7	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
60	2	3	4	5003	5004	7	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
61	3	1	1	5002	5002	7	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
62	3	2	2	5001	5001	7	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
63	3	3	4	5003	5004	7	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
64	1	1	1	5002	5002	8	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
65	1	2	2	5001	5001	8	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
66	1	3	4	5003	5004	8	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
67	2	1	1	5002	5002	8	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
68	2	2	3	5001	5001	8	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
69	2	3	4	5003	5004	8	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
70	3	1	1	5002	5002	8	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
71	3	2	3	5001	5001	8	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
72	3	3	4	5003	5004	8	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
73	1	1	1	5002	5002	9	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
74	1	2	2	5001	5001	9	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
75	1	3	4	5003	5004	9	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
76	2	1	1	5002	5002	9	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
77	2	2	3	5001	5001	9	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
78	2	3	4	5003	5004	9	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
79	3	1	1	5002	5002	9	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
80	3	2	2	5001	5001	9	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
81	3	3	4	5003	5004	9	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
82	1	1	1	5002	5002	10	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
83	1	2	2	5001	5001	10	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
84	1	3	4	5003	5004	10	1	贝克街定制套餐	貝克街定制套餐	Custom Set Meal	ベイカーストリート特製セット	베이커 가 특제 세트	เซ็ตเมนูที่ถนนเบเกอร์	店长随心套餐	店長隨心套餐	Manager's Pick Set	店長おまかせセット	점장 추천 세트	เช็ตเมนูตามใจผู้จัดการ
