id	taskContentType	taskContentId	taskContenNum	rankId	costId	costNum	type	status	desc1	desc1_zh_TW	desc1_en_UK	desc1_ja_JP	desc1_ko_KR	desc1_th_TH	desc2	desc2_zh_TW	desc2_en_UK	desc2_ja_JP	desc2_ko_KR	desc2_th_TH
40302	1415	2	3	3			2	1	将3个食谱品级提升至C级	將3個食譜品級提升至C級	Upgrade the quality of 3 Recipes to C.	C級レシピが3種に達する	3개의 레시피 등급 C급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 3​ สูตร​ ให้​ถึง​ระดับ​ C​						
40402	1415	2	4	4			2	1	将4个食谱品级提升至C级	將4個食譜品級提升至C級	Upgrade the quality of 4 Recipes to C.	C級レシピが4種に達する	4개의 레시피 등급 C급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 4​ สูตร​ ให้​ถึง​ระดับ​ C​						
40502	1415	2	6	5			2	1	将6个食谱品级提升至C级	將6個食譜品級提升至C級	Upgrade the quality of 6 Recipes to C.	C級レシピが6種に達する	6개의 레시피 등급 C급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 6​ สูตร​ ให้​ถึง​ระดับ​ C​						
40602	1415	2	8	6			2	1	将8个食谱品级提升至C级	將8個食譜品級提升至C級	Upgrade the quality of 8 Recipes to C.	C級レシピが8種に達する	8개의 레시피 등급 C급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 8​ สูตร​ ให้​ถึง​ระดับ​ C​						
40702	1415	2	10	7			2	1	将10个食谱品级提升至C级	將10個食譜品級提升至C級	Upgrade the quality of 10 Recipes to C.	C級レシピが10種に達する	10개의 레시피 등급 C급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 10​ สูตร​ ให้​ถึง​ระดับ​ C​						
40802	1415	2	12	8			2	1	将12个食谱品级提升至C级	將12個食譜品級提升至C級	Upgrade the quality of 12 Recipes to C.	C級レシピが12種に達する	12개의 레시피 등급 C급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 12​ สูตร​ ให้​ถึง​ระดับ​ C​						
40902	1415	2	14	9			2	1	将14个食谱品级提升至C级	將14個食譜品級提升至C級	Upgrade the quality of 14 Recipes to C.	C級レシピが14種に達する	14개의 레시피 등급 C급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 14​ สูตร​ ให้​ถึง​ระดับ​ C​						
41002	1415	3	10	10			2	1	将10个食谱品级提升至B级	將10個食譜品級提升至B級	Upgrade the quality of 10 Recipes to B.	B級レシピが10種に達する	10개의 레시피 등급 B급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 10​ สูตร​ ให้​ถึง​ระดับ​ B​						
41102	1415	3	12	11			2	1	将12个食谱品级提升至B级	將12個食譜品級提升至B級	Upgrade the quality of 12 Recipes to B.	B級レシピが12種に達する	12개의 레시피 등급 B급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 12​ สูตร​ ให้​ถึง​ระดับ​ B​						
41202	1415	3	14	12			2	1	将14个食谱品级提升至B级	將14個食譜品級提升至B級	Upgrade the quality of 14 Recipes to B.	B級レシピが14種に達する	14개의 레시피 등급 B급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 14​ สูตร​ ให้​ถึง​ระดับ​ B​						
41302	1415	3	16	13			2	1	将16个食谱品级提升至B级	將16個食譜品級提升至B級	Upgrade the quality of 16 Recipes to B.	B級レシピが16種に達する	16개의 레시피 등급 B급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 16​ สูตร​ ให้​ถึง​ระดับ​ B​						
41402	1415	3	18	14			2	1	将18个食谱品级提升至B级	將18個食譜品級提升至B級	Upgrade the quality of 18 Recipes to B.	B級レシピが18種に達する	18개의 레시피 등급 B급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 18​ สูตร​ ให้​ถึง​ระดับ​ B​						
41502	1415	4	15	15			2	1	将15个食谱品级提升至A级	將15個食譜品級提升至A級	Upgrade the quality of 15 Recipes to A.	A級レシピが15種に達する	15개의 레시피 등급 A급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 15​ สูตร​ ให้​ถึง​ระดับ​ A​						
41602	1415	4	20	16			2	1	将20个食谱品级提升至A级	將20個食譜品級提升至A級	Upgrade the quality of 20 Recipes to A.	A級レシピが20種に達する	20개의 레시피 등급 A급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 20​ สูตร​ ให้​ถึง​ระดับ​ A​						
41702	1415	4	25	17			2	1	将25个食谱品级提升至A级	將25個食譜品級提升至A級	Upgrade the quality of 25 Recipes to A.	A級レシピが25種に達する	25개의 레시피 등급 A급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 25​ สูตร​ ให้​ถึง​ระดับ​ A​						
41802	1415	4	30	18			2	1	将30个食谱品级提升至A级	將30個食譜品級提升至A級	Upgrade the quality of 30 Recipes to A.	A級レシピが30種に達する	30개의 레시피 등급 A급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 30​ สูตร​ ให้​ถึง​ระดับ​ A​						
41902	1415	4	35	19			2	1	将35个食谱品级提升至A级	將35個食譜品級提升至A級	Upgrade the quality of 35 Recipes to A.	A級レシピが35種に達する	35개의 레시피 등급 A급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 35​ สูตร​ ให้​ถึง​ระดับ​ A​						
42002	1415	5	20	20			2	1	将20个食谱品级提升至S级	將20個食譜品級提升至S級	Upgrade the quality of 20 Recipes to S.	S級レシピが20種に達する	20개의 레시피 등급 S급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 20​ สูตร​ ให้​เป็น​ระดับ​ S​						
42102	1415	5	30	21			2	1	将30个食谱品级提升至S级	將30個食譜品級提升至S級	Upgrade the quality of 30 Recipes to S.	S級レシピが30種に達する	30개의 레시피 등급 S급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 30​ สูตร​ ให้​ถึง​ระดับ​ S​						
42202	1415	5	40	22			2	1	将40个食谱品级提升至S级	將40個食譜品級提升至S級	Upgrade the quality of 40 Recipes to S.	S級レシピが40種に達する	40개의 레시피 등급 S급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 40​ สูตร​ ให้​เป็น​ระดับ​ S​						
42302	1415	5	50	23			2	1	将50个食谱品级提升至S级	將50個食譜品級提升至S級	Upgrade the quality of 50 Recipes to S.	S級レシピが50種に達する	50개의 레시피 등급 S급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 50​ สูตร​ ให้​ถึง​ระดับ​ S​						
42402	1415	5	60	24			2	1	将60个食谱品级提升至S级	將60個食譜品級提升至S級	Upgrade the quality of 60 Recipes to S.	S級レシピが60種に達する	60개의 레시피 등급 S급으로 상승	อัป​ระดับ​ของ​สูตร​อาหาร​ 60​ สูตร​ ให้​ถึง​ระดับ​ S​						
42502				25			2	1												
