id	type	foodStuff	foodStuffNum	sale	experience	experienceAdd	piece	weight	cost	foodId	sort	addToAward	addToRestExp	maxAddToAward	MaxAddToGold	fishId	status
5530017	3	8000341	1	126;139;151;164;189	0;24;120;360;720	2;4;6	1;2;3	900;100;20	25	5730017	332	5300002	13;26;39	3000003	26;52;78	8000341	1
5530019	3	8000332	1	144;158;173;187;216	0;24;120;360;720	2;4;6	1;2;3	900;100;20	29	5730019	333	5300002	14;28;42	3000003	28;56;84	8000332	1
5530008	3	8000361	1	162;178;194;211;243	0;24;120;360;720	2;4;6	1;2;3	900;100;20	32	5730008	334	5300002	16;32;48	3000003	32;64;96	8000361	1
5530007	3	8000351	1	180;198;216;234;270	0;24;120;360;720	2;4;6	1;2;3	900;100;20	36	5730007	335	5300002	18;36;54	3000003	36;72;108	8000351	1
5510010	1	5600004	10	65;72;78;85;98	0;5;26;130;260	2;4;6	1;2;3	900;100;20	13	5710010	411	5300002	7;14;21	3000003	14;28;42		1
5510011	1	5600004;5600021	10;5	78;86;94;101;117	0;13;65;195;390	2;4;6	1;2;3	900;100;20	16	5710011	412	5300002	8;16;24	3000003	16;32;48		1
5510012	1	5600004;5600021;5600101	10;5;5	98;108;118;127;147	0;26;130;390;780	2;4;6	1;2;3	900;100;20	20	5710012	414	5300002	10;20;30	3000003	20;40;60		1
5520010	2	5600041	10	98;108;118;127;147	0;5;26;130;260	2;4;6	1;2;3	900;100;20	20	5720010	421	5300002	10;20;30	3000003	20;40;60		1
5520011	2	5600041;5600102	10;5	118;130;142;153;177	0;13;65;195;390	2;4;6	1;2;3	900;100;20	24	5720011	422	5300002	12;24;36	3000003	24;48;72		1
5520012	2	5600041;5600102;5600103	10;5;5	147;162;176;191;221	0;26;130;390;780	2;4;6	1;2;3	900;100;20	29	5720012	424	5300002	15;30;45	3000003	30;60;90		1
5540010	4	5600083	10	78;86;94;101;117	0;5;26;130;260	2;4;6	1;2;3	900;100;20	16	5740010	441	5300002	8;16;24	3000003	16;32;48		1
5540011	4	5600083;5600104	10;5	94;103;113;122;141	0;13;65;195;390	2;4;6	1;2;3	900;100;20	19	5740011	442	5300002	9;18;27	3000003	18;36;54		1
5540012	4	5600083;5600104;5600044	10;5;5	117;129;140;152;176	0;26;130;390;780	2;4;6	1;2;3	900;100;20	23	5740012	444	5300002	12;24;36	3000003	24;48;72		1
5530002	3	8000421	1	118;130;142;153;177	0;26;130;390;780	2;4;6	1;2;3	900;100;20	24	5730002	431	5300002	12;24;36	3000003	24;48;72	8000421	1
5530016	3	8000432	1	137;151;164;178;206	0;26;130;390;780	2;4;6	1;2;3	900;100;20	27	5730016	432	5300002	14;28;42	3000003	28;56;84	8000432	1
5530018	3	8000441	1	157;173;188;204;236	0;26;130;390;780	2;4;6	1;2;3	900;100;20	31	5730018	433	5300002	16;32;48	3000003	32;64;96	8000441	1
5530010	3	8000452	1	176;194;211;229;264	0;26;130;390;780	2;4;6	1;2;3	900;100;20	35	5730010	434	5300002	18;36;54	3000003	36;72;108	8000452	1
5530009	3	8000461	1	196;216;235;255;294	0;26;130;390;780	2;4;6	1;2;3	900;100;20	39	5730009	435	5300002	20;40;60	3000003	40;80;120	8000461	1
5510013	1	5600105	10	70;77;84;91;105	0;6;28;140;280	2;4;6	1;2;3	900;100;20	14	5710013	511	5300002	7;14;21	3000003	14;28;42		1
5510014	1	5600105;5600106	10;5	84;92;101;109;126	0;14;70;210;420	2;4;6	1;2;3	900;100;20	17	5710014	512	5300002	8;16;24	3000003	16;32;48		1
5510015	1	5600105;5600106;5600107	10;5;5	105;116;126;137;158	0;28;140;420;840	2;4;6	1;2;3	900;100;20	21	5710015	514	5300002	11;22;33	3000003	22;44;66		1
5520013	2	5600108	10	105;116;126;137;158	0;6;28;140;280	2;4;6	1;2;3	900;100;20	21	5720013	521	5300002	11;22;33	3000003	22;44;66		1
5520014	2	5600108;5600024	10;5	126;139;151;164;189	0;14;70;210;420	2;4;6	1;2;3	900;100;20	25	5720014	522	5300002	13;26;39	3000003	26;52;78		1
5520015	2	5600108;5600024;5600104	10;5;5	158;174;190;205;237	0;28;140;420;840	2;4;6	1;2;3	900;100;20	32	5720015	524	5300002	16;32;48	3000003	32;64;96		1
5540013	4	5600109	10	84;92;101;109;126	0;6;28;140;280	2;4;6	1;2;3	900;100;20	17	5740013	541	5300002	8;16;24	3000003	16;32;48		1
5540014	4	5600109;5600110	10;5	101;111;121;131;152	0;14;70;210;420	2;4;6	1;2;3	900;100;20	20	5740014	542	5300002	10;20;30	3000003	20;40;60		1
5540015	4	5600109;5600110;5600111	10;5;5	126;139;151;164;189	0;28;140;420;840	2;4;6	1;2;3	900;100;20	25	5740015	544	5300002	13;26;39	3000003	26;52;78		1
5530003	3	8000521	1	126;139;151;164;189	0;28;140;420;840	2;4;6	1;2;3	900;100;20	25	5730003	531	5300002	13;26;39	3000003	26;52;78	8000521	1
5530022	3	8000531	1	147;162;176;191;221	0;28;140;420;840	2;4;6	1;2;3	900;100;20	29	5730022	532	5300002	15;30;45	3000003	30;60;90	8000531	1
5530020	3	8000542	1	168;185;202;218;252	0;28;140;420;840	2;4;6	1;2;3	900;100;20	34	5730020	533	5300002	17;34;51	3000003	34;68;102	8000542	1
5530013	3	8000552	1	189;208;227;246;284	0;28;140;420;840	2;4;6	1;2;3	900;100;20	38	5730013	534	5300002	19;38;57	3000003	38;76;114	8000552	1
5530011	3	8000561	1	210;231;252;273;315	0;28;140;420;840	2;4;6	1;2;3	900;100;20	42	5730011	535	5300002	21;42;63	3000003	42;84;126	8000561	1
5510016	1	5600112	10	75;83;90;98;113	0;6;30;150;300	2;4;6	1;2;3	900;100;20	15	5710016	611	5300002	8;16;24	3000003	16;32;48		1
5510017	1	5600112;5600015	10;5	90;99;108;117;135	0;15;75;225;450	2;4;6	1;2;3	900;100;20	18	5710017	612	5300002	9;18;27	3000003	18;36;54		1
5510018	1	5600112;5600015;5600113	10;5;5	113;124;136;147;170	0;30;150;450;900	2;4;6	1;2;3	900;100;20	23	5710018	614	5300002	11;22;33	3000003	22;44;66		1
5520016	2	5600114	10	113;124;136;147;170	0;6;30;150;300	2;4;6	1;2;3	900;100;20	23	5720016	621	5300002	11;22;33	3000003	22;44;66		1
5520017	2	5600114;5600115	10;5	136;150;163;177;204	0;15;75;225;450	2;4;6	1;2;3	900;100;20	27	5720017	622	5300002	14;28;42	3000003	28;56;84		1
5520018	2	5600114;5600115;5600090	10;5;5	170;187;204;221;255	0;30;150;450;900	2;4;6	1;2;3	900;100;20	34	5720018	624	5300002	17;34;51	3000003	34;68;102		1
5540016	4	5600116	10	90;99;108;117;135	0;6;30;150;300	2;4;6	1;2;3	900;100;20	18	5740016	641	5300002	9;18;27	3000003	18;36;54		1
5540017	4	5600116;5600044	10;5	108;119;130;140;162	0;15;75;225;450	2;4;6	1;2;3	900;100;20	22	5740017	642	5300002	11;22;33	3000003	22;44;66		1
5540018	4	5600116;5600044;5600024	10;5;5	135;149;162;176;203	0;30;150;450;900	2;4;6	1;2;3	900;100;20	27	5740018	644	5300002	14;28;42	3000003	28;56;84		1
5530021	3	8000612	1	136;150;163;177;204	0;30;150;450;900	2;4;6	1;2;3	900;100;20	27	5730021	631	5300002	14;28;42	3000003	28;56;84	8000612	1
5530023	3	8000631	1	158;174;190;205;237	0;30;150;450;900	2;4;6	1;2;3	900;100;20	32	5730023	632	5300002	16;32;48	3000003	32;64;96	8000631	1
5530024	3	8000642	1	181;199;217;235;272	0;30;150;450;900	2;4;6	1;2;3	900;100;20	36	5730024	633	5300002	18;36;54	3000003	36;72;108	8000642	1
5530012	3	8000651	1	203;223;244;264;305	0;30;150;450;900	2;4;6	1;2;3	900;100;20	41	5730012	634	5300002	20;40;60	3000003	40;80;120	8000651	1
5530025	3	8000661	1	226;249;271;294;339	0;30;150;450;900	2;4;6	1;2;3	900;100;20	45	5730025	635	5300002	23;46;69	3000003	46;92;138	8000661	1
