id	additionId	additionNum	percentage	job	timeLineId	hasLookAt	cardId	coordinate	bubble	cloudPoint	status
104008				3			104008				1
105001				3			105001				1
105002				3			105002				1
105008				3			105008				1
106002				3			106002				1
106010				3			106010				1
107001				3			107001				1
107005				3			107005				1
108001				3			108001				1
108004				3			108004				1
110008				3			110008				1
111002				3			111002				1
112002				3			112002				1
113001				3			113001				1
114001				3			114001				1
109008				3			109008				1
115008				3			115008				1
117008				3			117008				1
121008				3			121008				1
127008				3			127008				1
130008				3			130008				1
131008				3			131008				1
103006				3			103006				1
105004				3			105004				1
106009				3			106009				1
107010				3			107010				1
101013				3			101013				1
116001				3			116001				1
129008				3			129008				1
123008				3			123008				1
137008				3			137008				1
129001				3			129001				1
140008				3			140008				1
114002				3			114002				1
113002				3			113002				1
801008				3			801008				1
136008				3			136008				1
127001				3			127001				1
103009				3			103009				1
104016				3			104016				1
101018				3			101018				1
102012				3			102012				1
144001				3			144001				1
144008				3			144008				1
141008				3			141008				1
129002				3			129002				1
806008				3			806008				1
125008				3			125008				1
120008				3			120008				1
119008				3			119008				1
103003				3			103003				1
103017				3			103017				1
101012				3			101012				1
104009				3			104009				1
102018				3			102018				1
122008				3			122008				1
143008				3			143008				1
149008				3			149008				1
152008				3			152008				1
133008				3			133008				1
104007				3			104007				1
139008				3			139008				1
104013				3			104013				1
106011				3			106011				1
151008				3			151008				1
148008				3			148008				1
150008				3			150008				1
153008				3			153008				1
154008				3			154008				1
146008				3			146008				1
103012				3			103012				1
147008				3			147008				1
159008				3			159008				1
126008				3			126008				1
138001				3			138001				1
131001				3			131001				1
128008				3			128008				1
161008				3			161008				1
160008				3			160008				1
156008				3			156008				1
157008				3			157008				1
158008				3			158008				1
102005				3			102005				1
132008				3			132008				1
162008				3			162008				1
163008				3			163008				1
101002				3			101002				1
145008				3			145008				1
155008				3			155008				1
164008				3			164008				1
103005				3			103005				1
165008				3			165008				1
135002				3			135002				1
144002				3			144002				1
904001				3			904001				1
904002				3			904002				1
904005				3			904005				1
904006				3			904006				1
904007				3			904007				1
904009				3			904009				1
904010				3			904010				1
904014				3			904014				1
904015				3			904015				1
904020				3			904020				1
904022				3			904022				1
904025				3			904025				1
904026				3			904026				1
904031				3			904031				1
904033				3			904033				1
904034				3			904034				1
904041				3			904041				1
904043				3			904043				1
908002				3			908002				1
