id	icon	rewardId	percentage	isTakeout	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	decr	decr_zh_TW	decr_en_UK	decr_ja_JP	decr_ko_KR	decr_th_TH
5003		5300002		0	1	吸收经验	吸收經驗	Learn Lessons	経験吸収	EXP 흡수	ซึมซับประสบการณ์	每售卖一份套餐，有_target_num_的概率额外获得_target_num_点餐厅经验	每售賣一份套餐，有_target_num_的機率額外獲得_target_num_點餐廳經驗	_target_num_ chance to earn extra _target_num_ Cafe EXP for each set menu sold.	セット販売時、_target_num_の確率で_target_num_のレストランEXPがもらえる	한 세트 판매 시마다 _target_num_의 확률로_target_num_점의 추가 카페테리아 EXP 획득	ทุกครั้งที่​ขาย​เซ็ต​เมนู​ จะ​มีโอกาส​ _target_num_​ ที่จะ​ได้รับ​ EXP​ คาเฟ่​เพิ่มเติม​ _target_num_​ หน่วย​
5103		5300002			1	稳妥运营	穩妥運營	Safe Operations	安定運営	안전 경영	บริหารรอบคอบ	每售卖一份套餐，可额外获得_target_num_点餐厅经验	每售賣一份套餐，可額外獲得_target_num_點餐廳經驗	Earn extra _target_num_ Cafe EXP for each set menu sold.	セット販売時、追加で_target_num_のレストランEXPがもらえる	한 세트 판매 시마다 _target_num_점의 추가 카페테리아 EXP 획득	ทุกครั้งที่​ขาย​เซ็ต​เมนู​ จะ​ได้รับ​ EXP​ คาเฟ่​เพิ่มเติม​ _target_num_​ หน่วย​
5004		3000003		0	1	促销能手	促銷能手	Promotion Expert	営業の達人	세일즈 전문가	เชี่ยวชาญการโปรโมท	每售卖一份套餐，有_target_num_的概率额外获得_target_num_个金币	每售賣一份套餐，有_target_num_的機率額外獲得_target_num_個金幣	_target_num_ chance to earn extra _target_num_ Catto Coins for each set menu sold.	セット販売時、_target_num_の確率で_target_num_の新海コインがもらえる	한 세트 판매 시마다 _target_num_의 확률로_target_num_개의 추가 골드 획득	ทุกครั้งที่​ขาย​เซ็ต​เมนู​ จะ​มีโอกาส​ _target_num_​ ที่จะ​ได้รับ​โกลด์​เพิ่มเติม​ _target_num_​ หน่วย​
5104		5300002			1	稳定收益	穩定收益	Stable Income	安定収益	고정 수익	รายได้ที่มั่นคง	每售卖一份套餐，可额外获得_target_num_个金币	每售賣一份套餐，可額外獲得_target_num_個金幣	Earn extra _target_num_ Catto Coins for each set menu sold.	セット販売時、追加で_target_num_の新海コインがもらえる	한 세트 판매 시마다 _target_num_ 개의 추가 골드 획득	ทุกครั้งที่​ขาย​เซ็ต​เมนู​ จะ​ได้รับ​โกลด์​เพิ่มเติม​ _target_num_​ หน่วย​
5005					1	售卖达人	售賣達人	Sale Expert	セールスの達人	세일즈 달인	เซียนด้านการขาย	每售卖一份套餐，可额外获得_target_num_个金币，同时有_target_num_的概率额外获得_target_num_的套餐收益	每售賣一份套餐，可額外獲得_target_num_個金幣，同時有_target_num_的機率額外獲得_target_num_的套餐收益	For each set menu sold, get extra _target_num_ Catto Coins and have _target_num_ chance to get extra _target_num_ set menu income.	セット販売時、追加で_target_num_の新海コインがもらえる。さらに_target_num_の確率で_target_num_の追加収益がもらえる	한 세트 판매 시마다 _target_num_개의 골드 획득, 동시에 _target_num_의 확률로 _target_num_의 추가 세트 매출액 획득	ทุกครั้งที่​ขาย​เซ็ต​เมนู​ จะ​ได้รับ​โกลด์​เพิ่มเติม​ _target_num_​ หน่วย​ ขณะเดียวกัน​ มีโอกาส​ _target_num_​ ที่จะ​ได้รับ​รายได้​จาก​เซ็ต​เมนู​เพิ่มเติม​ _target_num_​
5006					1	微笑服务	微笑服務	Smiling Service	スマイルサービス	스마일 서비스	บริการด้วยรอยยิ้ม	每售卖一份套餐，可额外获得_target_num_个小费，同时有_target_num_的概率额外获得_target_num_个的小费	每售賣一份套餐，可額外獲得_target_num_個小費，同時有_target_num_的機率額外獲得_target_num_個的小費	For each set menu sold, get extra _target_num_ tips and have _target_num_ chance to earn extra _target_num_ tips.	セット販売時、追加で_target_num_チップがもらえる。さらに_target_num_の確率で_target_num_心付けが追加でもらえる	한 세트 판매 시마다 _target_num_개의 추가 팁 획득, 동시에 _target_num_의 확률로 _target_num_의 추가 팁 획득	ทุกครั้งที่​ขาย​เซ็ต​เมนู​ จะ​ได้รับ​ค่า​ทิป​เพิ่มเติม​ _target_num_​ ขณะเดียวกัน​ มีโอกาส​ _target_num_​ ที่จะ​ได้รับ​ค่า​ทิป​เพิ่มเติม​อีก​ _target_num_​ หน่วย​
9100	147:cat_ico_9100.png			0	1	昆士区寻宝	昆士區尋寶	Quince Treasure	宝探し・コンシ区	퀸즈 타운 보물 찾기	ล่าสมบัติเขตควินซ์	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的概率可获得<color=#00beb8>_#skillNum_0_</color>份食材，其中昆士区的食材获取概率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的概率可获得<color=#00beb8>_#goodsSkillNum_0_</color>个战斗心得随机箱	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的機率可獲得<color=#00beb8>_#skillNum_0_</color>份食材，其中昆士區的食材獲取機率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的機率可獲得<color=#00beb8>_#goodsSkillNum_0_</color>個戰鬥心得隨主機殼	Every <color=#00beb8>_#skillTime_0_</color> sec, there is <color=#00beb8>_#skillProbability_0_</color> chance to obtain <color=#00beb8>_#skillNum_0_</color> ingredient(s). The chance of acquiring ingredients is increased for Quince.\nEvery <color=#00beb8>_#goodsSkillTime_0_</color> sec, there is <color=#00beb8>_#goodsSkillProbability_0_</color> chance to obtain <color=#00beb8>_#goodsSkillNum_0_</color> Combat Insight Chest(s).	<color=#00beb8>_#skillTime_0_</color>秒ごとに<color=#00beb8>_#skillProbability_0_</color>の確率で食材を<color=#00beb8>_#skillNum_0_</color>個獲得できる。コンシ区の食材のドロップ確率がアップする。\n<color=#00beb8>_#goodsSkillTime_0_</color>秒ごとに<color=#00beb8>_#goodsSkillProbability_0_</color>の確率で戦闘の心得ボックスを<color=#00beb8>_#goodsSkillNum_0_</color>個獲得できる。	매 <color=#00beb8>_#skillTime_0_</color>초마다 <color=#00beb8>_#skillProbability_0_</color>의 확률로 <color=#00beb8>_#skillNum_0_</color>개의 식재료 획득, 특히 퀸즈 타운의 식재료 획득 확률 증가\n<color=#00beb8>_#goodsSkillTime_0_</color>초당 <color=#00beb8>_#goodsSkillProbability_0_</color>의 확률로 전투 교본 랜덤 상자 <color=#00beb8>_#goodsSkillNum_0_</color>개를 획득한다.	ทุกๆ​ <color=#00beb8>_#skillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#skillProbability_0_</color>​ ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ <color=#00beb8>_#skillNum_0_</color>​ ชุด​ โดย​มีโอกาส​ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ของ​เขต​ควินซ์​เพิ่มขึ้น​\n​ ทุกๆ​ <color=#00beb8>_#goodsSkillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#goodsSkillProbability_0_</color>​ ที่จะ​ได้รับ​กล่อง​สุ่ม​เคล็ดลับ​การต่อสู้​ <color=#00beb8>_#goodsSkillNum_0_</color>​ กล่อง​
9200	147:cat_ico_9200.png			0	1	南港区寻宝	南港區尋寶	Southport Treasure	宝探し・南港区	사우스포트 보물 찾기	ล่าสมบัติเขตทะเลใต้	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的概率可获得<color=#00beb8>_#skillNum_0_</color>份食材，其中南港区的食材获取概率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的概率可获得<color=#00beb8>_#goodsSkillNum_0_</color>个战斗心得随机箱	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的機率可獲得<color=#00beb8>_#skillNum_0_</color>份食材，其中南港區的食材獲取機率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的機率可獲得<color=#00beb8>_#goodsSkillNum_0_</color>個戰鬥心得隨主機殼	Every <color=#00beb8>_#skillTime_0_</color> sec, there is <color=#00beb8>_#skillProbability_0_</color> chance to obtain <color=#00beb8>_#skillNum_0_</color> ingredient(s). The chance of acquiring ingredients is increased for Southport.\nEvery <color=#00beb8>_#goodsSkillTime_0_</color> sec, there is <color=#00beb8>_#goodsSkillProbability_0_</color> chance to obtain <color=#00beb8>_#goodsSkillNum_0_</color> Combat Insight Chest(s).	<color=#00beb8>_#skillTime_0_</color>秒ごとに<color=#00beb8>_#skillProbability_0_</color>の確率で食材を<color=#00beb8>_#skillNum_0_</color>個獲得できる。南港区の食材のドロップ確率がアップする。\n<color=#00beb8>_#goodsSkillTime_0_</color>秒ごとに<color=#00beb8>_#goodsSkillProbability_0_</color>の確率で戦闘の心得ボックスを<color=#00beb8>_#goodsSkillNum_0_</color>個獲得できる。	매 <color=#00beb8>_#skillTime_0_</color>초마다 <color=#00beb8>_#skillProbability_0_</color>의 확률로 <color=#00beb8>_#skillNum_0_</color>개의 식재료 획득, 특히 사우스포트의 식재료 획득 확률 증가\n<color=#00beb8>_#goodsSkillTime_0_</color>초당 <color=#00beb8>_#goodsSkillProbability_0_</color>의 확률로 전투 교본 랜덤 상자 <color=#00beb8>_#goodsSkillNum_0_</color>개를 획득한다.	ทุกๆ​ <color=#00beb8>_#skillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#skillProbability_0_</color>​ ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ <color=#00beb8>_#skillNum_0_</color>​ ชุด​ โดย​มีโอกาส​ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ของ​เขต​ทะเล​ใต้​เพิ่มขึ้น​\n​ ทุกๆ​ <color=#00beb8>_#goodsSkillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#goodsSkillProbability_0_</color>​ ที่จะ​ได้รับ​กล่อง​สุ่ม​เคล็ดลับ​การต่อสู้​ <color=#00beb8>_#goodsSkillNum_0_</color>​ กล่อง​
9300	147:cat_ico_9300.png			0	1	耀州区寻宝	耀州區尋寶	Yaozhou Treasure	宝探し・耀州区	요주 타운 보물 찾기	ล่าสมบัติเขตเหยาโจว	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的概率可获得<color=#00beb8>_#skillNum_0_</color>份食材，其中耀州区的食材获取概率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的概率可获得<color=#00beb8>_#goodsSkillNum_0_</color>个战斗心得随机箱	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的機率可獲得<color=#00beb8>_#skillNum_0_</color>份食材，其中耀州區的食材獲取機率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的機率可獲得<color=#00beb8>_#goodsSkillNum_0_</color>個戰鬥心得隨主機殼	Every <color=#00beb8>_#skillTime_0_</color> sec, there is <color=#00beb8>_#skillProbability_0_</color> chance to obtain <color=#00beb8>_#skillNum_0_</color> ingredient(s). The chance of acquiring ingredients is increased for Yaozhou.\nEvery <color=#00beb8>_#goodsSkillTime_0_</color> sec, there is <color=#00beb8>_#goodsSkillProbability_0_</color> chance to obtain <color=#00beb8>_#goodsSkillNum_0_</color> Combat Insight Chest(s).	<color=#00beb8>_#skillTime_0_</color>秒ごとに<color=#00beb8>_#skillProbability_0_</color>の確率で食材を<color=#00beb8>_#skillNum_0_</color>個獲得できる。耀州区の食材のドロップ確率がアップする。\n<color=#00beb8>_#goodsSkillTime_0_</color>秒ごとに<color=#00beb8>_#goodsSkillProbability_0_</color>の確率で戦闘の心得ボックスを<color=#00beb8>_#goodsSkillNum_0_</color>個獲得できる。	매 <color=#00beb8>_#skillTime_0_</color>초마다 <color=#00beb8>_#skillProbability_0_</color>의 확률로 <color=#00beb8>_#skillNum_0_</color>개의 식재료 획득, 특히 요주 타운의 식재료 획득 확률 증가\n<color=#00beb8>_#goodsSkillTime_0_</color>초당 <color=#00beb8>_#goodsSkillProbability_0_</color>의 확률로 전투 교본 랜덤 상자 <color=#00beb8>_#goodsSkillNum_0_</color>개를 획득한다.	ทุกๆ​ <color=#00beb8>_#skillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#skillProbability_0_</color>​ ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ <color=#00beb8>_#skillNum_0_</color>​ ชุด​ โดย​มีโอกาส​ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ของ​เขต​เหยา​โจว​เพิ่มขึ้น​\n​ ทุกๆ​ <color=#00beb8>_#goodsSkillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#goodsSkillProbability_0_</color>​ ที่จะ​ได้รับ​กล่อง​สุ่ม​เคล็ดลับ​การต่อสู้​ <color=#00beb8>_#goodsSkillNum_0_</color>​ กล่อง​
9400	147:cat_ico_9400.png			0	1	旧城区寻宝	舊城區尋寶	Oldtown Treasure	宝探し・オールドタウン	구시가지 보물 찾기	ล่าสมบัติเขตเมืองโบราณ	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的概率可获得<color=#00beb8>_#skillNum_0_</color>份食材，其中旧城区的食材获取概率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的概率可获得<color=#00beb8>_#goodsSkillNum_0_</color>个战斗心得随机箱	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的機率可獲得<color=#00beb8>_#skillNum_0_</color>份食材，其中舊城區的食材獲取機率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的機率可獲得<color=#00beb8>_#goodsSkillNum_0_</color>個戰鬥心得隨主機殼	Every <color=#00beb8>_#skillTime_0_</color> sec, there is <color=#00beb8>_#skillProbability_0_</color> chance to obtain <color=#00beb8>_#skillNum_0_</color> ingredient(s). The chance of acquiring ingredients is increased for Oldtown.\nEvery <color=#00beb8>_#goodsSkillTime_0_</color> sec, there is <color=#00beb8>_#goodsSkillProbability_0_</color> chance to obtain <color=#00beb8>_#goodsSkillNum_0_</color> Combat Insight Chest(s).	<color=#00beb8>_#skillTime_0_</color>秒ごとに<color=#00beb8>_#skillProbability_0_</color>の確率で食材を<color=#00beb8>_#skillNum_0_</color>個獲得できる。オールドタウンの食材のドロップ確率がアップする。\n<color=#00beb8>_#goodsSkillTime_0_</color>秒ごとに<color=#00beb8>_#goodsSkillProbability_0_</color>の確率で戦闘の心得ボックスを<color=#00beb8>_#goodsSkillNum_0_</color>個獲得できる。	매 <color=#00beb8>_#skillTime_0_</color>초마다 <color=#00beb8>_#skillProbability_0_</color>의 확률로 <color=#00beb8>_#skillNum_0_</color>개의 식재료 획득, 특히 구시가지의 식재료 획득 확률 증가\n<color=#00beb8>_#goodsSkillTime_0_</color>초당 <color=#00beb8>_#goodsSkillProbability_0_</color>의 확률로 전투 교본 랜덤 상자 <color=#00beb8>_#goodsSkillNum_0_</color>개를 획득한다.	ทุกๆ​ <color=#00beb8>_#skillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#skillProbability_0_</color>​ ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ <color=#00beb8>_#skillNum_0_</color>​ ชุด​ โดย​มีโอกาส​ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ของ​เขตเมือง​โบราณ​เพิ่มขึ้น​\n​ ทุกๆ​ <color=#00beb8>_#goodsSkillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#goodsSkillProbability_0_</color>​ ที่จะ​ได้รับ​กล่อง​สุ่ม​เคล็ดลับ​การต่อสู้​ <color=#00beb8>_#goodsSkillNum_0_</color>​ กล่อง​
9500	147:cat_ico_9500.png			0	1	中心区寻宝	中心區尋寶	Central District Treasure	宝探し・中央区	센트럴 타운 보물 찾기	ล่าสมบัติเขตศูนย์กลาง	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的概率可获得<color=#00beb8>_#skillNum_0_</color>份食材，其中中心区的食材获取概率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的概率可获得<color=#00beb8>_#goodsSkillNum_0_</color>个战斗心得随机箱	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的機率可獲得<color=#00beb8>_#skillNum_0_</color>份食材，其中中心區的食材獲取機率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的機率可獲得<color=#00beb8>_#goodsSkillNum_0_</color>個戰鬥心得隨主機殼	Every <color=#00beb8>_#skillTime_0_</color> sec, there is <color=#00beb8>_#skillProbability_0_</color> chance to obtain <color=#00beb8>_#skillNum_0_</color> ingredient(s). The chance of acquiring ingredients is increased for the Central District.\nEvery <color=#00beb8>_#goodsSkillTime_0_</color> sec, there is <color=#00beb8>_#goodsSkillProbability_0_</color> chance to obtain <color=#00beb8>_#goodsSkillNum_0_</color> Combat Insight Chest(s).	<color=#00beb8>_#skillTime_0_</color>秒ごとに<color=#00beb8>_#skillProbability_0_</color>の確率で食材を<color=#00beb8>_#skillNum_0_</color>個獲得できる。中央区の食材のドロップ確率がアップする。\n<color=#00beb8>_#goodsSkillTime_0_</color>秒ごとに<color=#00beb8>_#goodsSkillProbability_0_</color>の確率で戦闘の心得ボックスを<color=#00beb8>_#goodsSkillNum_0_</color>個獲得できる。	매 <color=#00beb8>_#skillTime_0_</color>초마다 <color=#00beb8>_#skillProbability_0_</color>의 확률로 <color=#00beb8>_#skillNum_0_</color>개의 식재료 획득, 특히 센트럴 타운의 식재료 획득 확률 증가\n<color=#00beb8>_#goodsSkillTime_0_</color>초당 <color=#00beb8>_#goodsSkillProbability_0_</color>의 확률로 전투 교본 랜덤 상자 <color=#00beb8>_#goodsSkillNum_0_</color>개를 획득한다.	ทุกๆ​ <color=#00beb8>_#skillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#skillProbability_0_</color>​ ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ <color=#00beb8>_#skillNum_0_</color>​ ชุด​ โดย​มีโอกาส​ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ของ​เขต​ศูนย์กลาง​เพิ่มขึ้น​\n​ ทุกๆ​ <color=#00beb8>_#goodsSkillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#goodsSkillProbability_0_</color>​ ที่จะ​ได้รับ​กล่อง​สุ่ม​เคล็ดลับ​การต่อสู้​ <color=#00beb8>_#goodsSkillNum_0_</color>​ กล่อง​
9600	147:cat_ico_9600.png			0	1	凛北区寻宝	凜北區尋寶	Boreala Treasure	宝探し・凛北区	노스 타운 보물 찾기	ล่าสมบัติเขตโบเรียร่า	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的概率可获得<color=#00beb8>_#skillNum_0_</color>份食材，其中凛北区的食材获取概率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的概率可获得<color=#00beb8>_#goodsSkillNum_0_</color>个战斗心得随机箱	每<color=#00beb8>_#skillTime_0_</color>秒有<color=#00beb8>_#skillProbability_0_</color>的機率可獲得<color=#00beb8>_#skillNum_0_</color>份食材，其中凜北區的食材獲取機率提升\n每<color=#00beb8>_#goodsSkillTime_0_</color>秒有<color=#00beb8>_#goodsSkillProbability_0_</color>的機率可獲得<color=#00beb8>_#goodsSkillNum_0_</color>個戰鬥心得隨主機殼	Every <color=#00beb8>_#skillTime_0_</color> sec, there is <color=#00beb8>_#skillProbability_0_</color> chance to obtain <color=#00beb8>_#skillNum_0_</color> ingredient(s). The chance of acquiring ingredients is increased for Boreala.\nEvery <color=#00beb8>_#goodsSkillTime_0_</color> sec, there is <color=#00beb8>_#goodsSkillProbability_0_</color> chance to obtain <color=#00beb8>_#goodsSkillNum_0_</color> Combat Insight Chest(s).	<color=#00beb8>_#skillTime_0_</color>秒ごとに<color=#00beb8>_#skillProbability_0_</color>の確率で食材を<color=#00beb8>_#skillNum_0_</color>個獲得できる。凛北区の食材のドロップ確率がアップする。\n<color=#00beb8>_#goodsSkillTime_0_</color>秒ごとに<color=#00beb8>_#goodsSkillProbability_0_</color>の確率で戦闘の心得ボックスを<color=#00beb8>_#goodsSkillNum_0_</color>個獲得できる。	매 <color=#00beb8>_#skillTime_0_</color>초마다 <color=#00beb8>_#skillProbability_0_</color>의 확률로 <color=#00beb8>_#skillNum_0_</color>개의 식재료 획득, 특히 노스 타운의 식재료 획득 확률 증가\n<color=#00beb8>_#goodsSkillTime_0_</color>초당 <color=#00beb8>_#goodsSkillProbability_0_</color>의 확률로 전투 교본 랜덤 상자 <color=#00beb8>_#goodsSkillNum_0_</color>개를 획득한다.	ทุกๆ​ <color=#00beb8>_#skillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#skillProbability_0_</color>​ ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ <color=#00beb8>_#skillNum_0_</color>​ ชุด​ โดย​มีโอกาส​ที่จะ​ได้รับ​วัตถุดิบ​อาหาร​ของ​เขต​โบ​เรีย​ร่า​เพิ่มขึ้น​\n​ ทุกๆ​ <color=#00beb8>_#goodsSkillTime_0_</color>​ วินาที​จะ​มีโอกาส​ <color=#00beb8>_#goodsSkillProbability_0_</color>​ ที่จะ​ได้รับ​กล่อง​สุ่ม​เคล็ดลับ​การต่อสู้​ <color=#00beb8>_#goodsSkillNum_0_</color>​ กล่อง​
