id	icon	appearNum	group	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	decr	decr_zh_TW	decr_en_UK	decr_ja_JP	decr_ko_KR	decr_th_TH
1059001	18:npc_icon_590_1		10590	1	达利娅	達利婭	Dahlia	ダリア	달리아	ดาเลีย	真是让我想了又想呢。	真是讓我想了又想呢。	This really got me thinking about it.	ずっと食べたかったんだ。	여러 번 생각나게 만드네요.	ทำให้​ฉัน​คิด​แล้ว​คิด​อีก​จริงๆ​
1038101	18:npc_icon_381_1		10381	1	自动点餐机	自動點餐機	Self-ordering Machine	オーダーマシン	키오스크	เครื่องสั่งอาหารอัตโนมัติ	已为客户隐藏个人信息，已为客户推荐最优菜单。	已為客戶隱藏個人資訊，已為客戶推薦最優功能表。	Customer personal information has been hidden. The best menu options have been recommended.	お客様の個人情報を隠蔽しました。最適なメニューをお勧めしました。	손님이 개인 정보를 숨기고 손님께 최적의 메뉴를 추천해 드렸습니다.	ซ่อน​ข้อมูล​ส่วนตัว​ของ​ลูกค้า​แล้ว​ แนะนำ​เมนู​อาหาร​ที่​ดี​ที่สุด​ให้​ลูกค้า​แล้ว​
2035101	18:npc_icon_351_1		20351	1	快乐每一天	快樂每一天	Happy Everyday	楽しい毎日	해피 데이	มีความสุขในทุกๆ วัน	我还以为没有这种店了……	我還以為沒有這種店了……	I thought there were no more shops like this around...	もうこんな店はないかと思ったよ。	저는 이런 가게가 없을 거라고 생각했는데...	ฉัน​นึก​ว่า​ไม่​มี​ร้าน​แบบนี้​อยู่​อีกแล้ว​...​
2035102	18:npc_icon_351_1	2	20351	1	快乐每一天	快樂每一天	Happy Everyday	楽しい毎日	해피 데이	มีความสุขในทุกๆ วัน	时间紧，任务多，来十分钟就能吃完的。	時間緊，任務多，來十分鐘就能吃完的。	With a tight schedule and a heavy workload, I only have ten minutes for meals.	仕事で急いでるから、簡単な物でいい。	시간은 없고, 미션은 많고. 십 분 안에 먹을 수 있는 걸로 주세요.	เวลา​ก็​น้อย​ งาน​ก็​เยอะ​ แค่​ 10​ นาที​ก็​กิน​หมด​
2035103	18:npc_icon_351_1	4	20351	1	快乐每一天	快樂每一天	Happy Everyday	楽しい毎日	해피 데이	มีความสุขในทุกๆ วัน	跟工友说的一样神奇，最近我工作效率还挺高。	跟工友說的一樣神奇，最近我工作效率還挺高。	It's amazing just like my workmate said. I've been very productive lately.	同僚の言う通りだ。最近、仕事の効率が高い気がする。	직원분이 말씀하신 것처럼 신기하네요. 요즘 제 업무 효율이 꽤나 잘 나와요.	อัศจรรย์​เหมือน​ที่​เพื่อนร่วมงาน​พูด​เลย​ ช่วงนี้​คุณภาพ​งาน​ของ​ฉัน​ค่อนข้าง​สูง​
2035104	18:npc_icon_351_1	6	20351	1	快乐每一天	快樂每一天	Happy Everyday	楽しい毎日	해피 데이	มีความสุขในทุกๆ วัน	店长，我升职了！不用做一线流水工了！	店長，我升職了！不用做一線流水工了！	Manager, I got a promotion! I don't need to be a grunt anymore!	店長、俺昇進したよ！ライン作業はもうおさらばだ！	점장님, 저 승진했어요! 현장에 안 나가도 돼요!	คุณ​ผู้จัดการ​ ฉัน​เลื่อนตำแหน่ง​แล้ว​!​ ไม่ต้อง​ทำงาน​สาย​การผลิต​ระดับ​ล่าง​แล้ว​!​
2035105	18:npc_icon_351_1	8	20351	1	快乐每一天	快樂每一天	Happy Everyday	楽しい毎日	해피 데이	มีความสุขในทุกๆ วัน	看来什么岗位都挺辛苦，我现在吃饭时间还是少……	看來什麼崗位都挺辛苦，我現在吃飯時間還是少……	Seems like every job is quite demanding. I still have less time for meals...	でもどんな職種も大変そうだ。俺は今でも決まった時間に食事できない。	어떤 직책이든 다들 고생하시네요, 전 아직 식사시간이 얼마 없어서...	ดูท่า​แล้ว​งาน​ตำแหน่ง​อะไร​ก็​เหนื่อย​ทั้งนั้น​ ตอนนี้​เวลา​ทาน​ข้าวของ​ฉัน​ก็​ยังคง​น้อย​เหมือนเดิม​...​
2035106	18:npc_icon_351_1	9	20351	1	快乐每一天	快樂每一天	Happy Everyday	楽しい毎日	해피 데이	มีความสุขในทุกๆ วัน	下次带家里人去店里吃堂食，店长记得给我们优惠啊！	下次帶家裡人去店裡吃堂食，店長記得給我們優惠啊！	Next time, I'll bring my family to dine at the restaurant. Manager, don't forget to give us a discount!	今度は家族を連れてくるよ。店長、サービスしてくれよ。	다음에 안사람 데리고 와서 한번 먹어 봐야겠네요, 점장님 다음 번엔 서비스 좀 부탁해요!	ครั้งหน้า​จะ​พา​คนใน​ครอบครัว​มา​ทานอาหาร​ที่​ร้าน​ คุณ​ผู้จัดการ​อย่า​ลืม​ให้​ส่วนลด​กับ​พวกเรา​ด้วย​นะ​!​
2038801	18:npc_icon_388_1		20388	1	铃	鈴	Linn	リン	린	ลินน์	这单平台会报销的，所以多来一点也没关系哦（打印小票的时候帮我删掉这句话啦……）	這單平台會報銷的，所以多來一點也沒關係哦（列印小票的時候幫我刪掉這句話啦……）	I can include this order in my expense account submission to the platform, so I'll order a bit more. (Please disregard this sentence when printing the receipt...)	会社が支給してくれるから、多めに頼んじゃった。	이번엔 법인 카드로 결제할 거니까, 좀 많이 먹어도 괜찮아요(영수증에는 이 말 안 들어가게 해 주세요...)	ออเดอร์​นี้​แพลตฟอร์ม​จะ​เป็น​คน​จ่าย​คืนให้​ ดังนั้น​สั่ง​เยอะ​หน่อย​ก็​ไม่เป็นไร​นะ​ (​ตอน​พิมพ์​ใบเสร็จ​ช่วย​ลบ​ประโยค​นี้​ออก​ให้​ด้วย​ล่ะ​...)​
2046201	18:npc_icon_462_4		20462	1	特莉丝最棒！	特莉絲最棒！	Triss is the best!	トリス最高！	트리스 최고!	ทริสเก่งที่สุด!	可以的话，特莉丝能在小票上签名吗？谢谢谢谢！	可以的話，特莉絲能在小票上簽名嗎？謝謝謝謝！	If possible, could you sign on the receipt? Thanks a lot!	よかったら、レシートにトリスさんのサイン入れてくれますか？お願いします！	트리스 님 혹시 영수증에 사인 좀 해 주실 수 있을까요? 감사합니다! 감사합니다!	ถ้า​เป็นไปได้​ ท​ริ​ส​เซ็นชื่อ​ลง​บน​บัตร​ใบเสร็จ​นี้​ได้​ไหม​?​ ขอบคุณ​ ขอบคุณ​!​
2057301	18:npc_icon_573_4		20573	1	歌罗茜尼	歌羅茜尼	Gloria	カーロヒス	로지	กลอเรีย	我刚好在南港区有临时工作，放在门口就可以了。	我剛好在南港區有臨時工作，放在門口就可以了。	I happen to have temporary work in Southport. Just leave it at the door.	急に仕事が入りましたので、玄関に置いておいてください。	저는 마침 사우스포트에서 잠깐 할 수 있는 일이 있네요. 문 앞에 두고 가시면 됩니다.	ฉัน​มีธุระ​ที่​เขต​ทะเล​ใต้​พอดี​ วาง​ไว้​ที่​หน้า​ประตู​ก็ได้​
2035401	18:npc_icon_354_1		20354	1	贝贝奶奶	貝貝奶奶	Grandma Bay	べべのお婆さん	베베 할머니	คุณยายเป่ยเป่ย	孩子爸妈跟我说要这么点，就弄小孩喜欢的就行，他挑食。	孩子爸媽跟我說要這麼點，就弄小孩喜歡的就行，他挑食。	The child's parents informed me of the desired quantity. Just choose something the child enjoys. He can be quite picky when it comes to food.	この子の両親がね、注文はこれでいいって言ったの。孫は好き嫌いが激しいから、好きな物だけ頼んだわ。	아이 부모가 요만큼만 시켰어요. 아이가 편식을 해서 좋아하는 것만 만들어 주면 된다고.	พ่อแม่​ของ​เด็ก​บอ​กว่า​สั่ง​แค่นี้​ก็​พอ​ เอา​เป็น​สิ่ง​ที่​เด็ก​ชอบ​ก็แล้วกัน​ เขา​เป็น​คน​เลือก​กิน​
2038101	18:npc_icon_381_1		20381	1	自动点餐机	自動點餐機	Self-ordering Machine	オーダーマシン	키오스크	เครื่องสั่งอาหารอัตโนมัติ	已为客户隐藏个人信息，已为客户推荐最优菜单。	已為客戶隱藏個人資訊，已為客戶推薦最優功能表。	Customer personal information has been hidden. The best menu options have been recommended.	お客様の個人情報を隠蔽しました。最適なメニューをお勧めしました。	손님이 개인 정보를 숨기고 손님께 최적의 메뉴를 추천해 드렸습니다.	ซ่อน​ข้อมูล​ส่วนตัว​ของ​ลูกค้า​แล้ว​ แนะนำ​เมนู​อาหาร​ที่​ดี​ที่สุด​ให้​ลูกค้า​แล้ว​
3056001	18:npc_icon_560_1		30560	1	凌霄	淩霄	Linsho	凌霄	영소	หลิงเซียว	是你们的话，就算外卖也不会影响口感，对吧？	是你們的話，就算外賣也不會影響口感，對吧？	The taste won't change if it's your takeout, right?	あなたなら、出前でも店舗での味と変わらないおいしさを保証できるでしょう？	당신들이라면 배달을 시켜도 음식 식감은 바뀌지 않겠죠?	ถ้า​เป็น​พวก​เธอ​แล้ว​ล่ะ​ก็​ ต่อให้​ซื้อ​กลับบ้าน​ก็​ไม่​ทำให้​รสชาติ​เปลี่ยน​หรอก​ ใช่ไหม​ล่ะ​?​
3056002	18:npc_icon_560_5	2	30560	1	凌霄	淩霄	Linsho	凌霄	영소	หลิงเซียว	我们的探店没有脚本，所以店长要准备最新的美食哦~	我們的探店沒有腳本，所以店長要準備最新的美食哦~	We don't have any script before we explore your cafe. So please do prepare the best food for us, Manager.	撮影には台本がありませんからね。店長さん、最新の料理を用意してくれませんか？	저희 맛집 탐방은 대본이 없답니다. 그러니까 점장님은 가장 최신에 출시된 맛있는 음식을 준비해주세요~	การ​รีวิว​ร้านอาหาร​ของ​พวกเรา​ไม่​มี​สคริปต์​ ดังนั้น​คุณ​ผู้จัดการ​ต้อง​เตรียม​อาหาร​ที่​สด​ใหม่​ที่สุด​ไว้​ด้วย​นะ​~​
3056003	18:npc_icon_560_1	4	30560	1	凌霄	淩霄	Linsho	凌霄	영소	หลิงเซียว	难怪连祈小姐也念念不忘……嗯？我说的是食物还是人呢。	難怪連祈小姐也念念不忘……嗯？我說的是食物還是人呢。	No wonder even Qi is obsessed... Huh? Am I talking about food or a person?	あの祈さんでさえも忘れられない味…おや？料理と人、どっちのことでしょうね。	어쩐지 기 아가씨도 좀처럼 잊질 못하시더라니...어라? 그게 음식이던가, 사람이던가.	ถึงว่า​ แม้แต่​คุณ​ฉี​ก็​ยัง​ไม่​ลืม​...​เอ่อ​?​ นี่​ฉัน​พูดถึง​นี่​อาหาร​หรือว่า​คน​นะ​
3056004	18:npc_icon_560_5	6	30560	1	凌霄	淩霄	Linsho	凌霄	영소	หลิงเซียว	小稻稻她不好意思点单呢~	小稻稻她不好意思點單呢~	Dae, haha, she is too shy to order.	稲ちゃんは恥ずかしがって、なかなか注文が決まらないようですね。	도리는 주문하는 걸 쑥쓰러워하더라구요	เสี่ยว​เต้า​เธอ​ไม่​กล้า​สั่ง​น่ะ​~​
3056005	18:npc_icon_560_4	8	30560	1	凌霄	淩霄	Linsho	凌霄	영소	หลิงเซียว	有机会的话，把店也开到耀州本土去吧？	有機會的話，把店也開到耀州本土去吧？	If there's a chance, open a shop in Yaozhou too, okay?	機会があれば、光耀大陸にも出店するのはどうですか？	기회가 된다면 요주에 2호점 내 보지 그래요?	ถ้า​มีโอกาส​ ไป​เปิดร้าน​ใน​เขต​เหยา​โจว​ด้วย​ไหม​?​
3056006	18:npc_icon_560_4	9	30560	1	凌霄	淩霄	Linsho	凌霄	영소	หลิงเซียว	「那个人」也会喜欢你的手艺吧。	「那個人」也會喜歡你的手藝吧。	"They" will love your cooking skills too.	「あの人」もきっと、その料理の腕前を認めるでしょう。	「그 사람」도 당신의 요리를 좋아할 거예요	[​คน​คน​นั้น​]​ ก็​คงจะ​ชอบ​อาหาร​ฝีมือ​ของ​คุณ​ล่ะ​นะ​
3032001	18:npc_icon_320_1		30320	1	林一	林一	Linyi	林一	하야시	หลินอี	快快在我出外勤之前送到吧……	快快在我出外勤之前送到吧……	Please deliver it quickly before I head out for my field assignment...	出かける前に届けてくれるといいんだが…	빨리 제가 외근 나가기 전에 보내주세요...	รีบ​ๆ​ ส่ง​ให้​ถึง​ก่อนที่​ฉัน​จะ​ออก​ไป​ทำงาน​ข้างนอก​เถอะ​นะ​...​
3057001	18:npc_icon_570_1		30570	1	耀州卧龙	耀州臥龍	Yaozhou Wolong	耀州に眠る龍	요주의 와룡	มังกรแห่งเหยาโจว	挺好挺好，我和老伴都爱吃。	挺好挺好，我和老伴都愛吃。	That is good. My wife and I love it.	いつもうちのじいさんと食べてるよ。	아주 좋습니다. 저랑 안사람 모두 좋아하는 음식이예요.	ดีมาก​ ดีมาก​ ฉัน​กับ​แฟน​ชอบ​มาก​เลย​
3063101	18:npc_icon_631_1		30631	1	美都子	美都子	Mitsuko	美都子	미츠코	มิสึโกะ	是小女向我推荐的店面。	是小女向我推薦的店面。	It's the store my daughter recommended to me.	このお店は、娘に勧められて来たの。	소녀가 제게 추천한 가게입니다.	เป็น​ร้าน​ที่​สาวน้อย​แนะนำ​ให้​ฉัน​รู้จัก​
3044501	18:npc_icon_445_4		30445	1	暴风眼打工人	暴風眼打工人	StormEye Staff	ストームアイ事務員	스톰아이 아르바이트 직원	คนงานของสตอร์มอาย	学习借鉴一下先进餐厅的手艺！	學習借鑒一下先進餐廳的手藝！	Just learn from the skills of those established cafes!	先進的な料理技術を勉強しに来ました！	최고 등급 카페테리아의 솜씨를 한번 배워봐야겠어!	เรียนรู้​ฝีมือ​จาก​ร้านอาหาร​ชั้น​นำมาใช้​สักหน่อย​!​
3038101	18:npc_icon_381_1		30381	1	自动点餐机	自動點餐機	Self-ordering Machine	オーダーマシン	키오스크	เครื่องสั่งอาหารอัตโนมัติ	已为客户隐藏个人信息，已为客户推荐最优菜单。	已為客戶隱藏個人資訊，已為客戶推薦最優功能表。	Customer personal information has been hidden. The best menu options have been recommended.	お客様の個人情報を隠蔽しました。最適なメニューをお勧めしました。	손님이 개인 정보를 숨기고 손님께 최적의 메뉴를 추천해 드렸습니다.	ซ่อน​ข้อมูล​ส่วนตัว​ของ​ลูกค้า​แล้ว​ แนะนำ​เมนู​อาหาร​ที่​ดี​ที่สุด​ให้​ลูกค้า​แล้ว​
4018301	18:npc_icon_183_5		40183	1	露西亚	露西亞	Lucia	ルシア	루시아	ลูเซีย	这样就行了吗？好奇怪的感觉……	這樣就行了嗎？好奇怪的感覺……	Is that all? What a strange feeling...	これでいいのかな？なんかへんよね…	이걸로 된다고? 느낌이 묘하네…	แบบนี้​ก็ได้​แล้ว​เหรอ​?​ รู้สึก​แปลก​ๆ​ ...​
4018302	18:npc_icon_183_5	2	40183	1	露西亚	露西亞	Lucia	ルシア	루시아	ลูเซีย	上次吃的还不错，换个口味。	上次吃的還不錯，換個口味。	The last time I had it, it was pretty good. Let's try a different flavor this time.	この前に食べたのが美味しかったよ。今日は別のものを試してみる。	저번에 먹었던 거 정말 맛있었어. 이번엔 다른 걸 먹어볼게	ที่​กิน​ไป​ครั้งก่อน​ก็​ไม่เลว​ แต่​เปลี่ยน​รสชาติ​บ้าง​
4018303	18:npc_icon_183_5	4	40183	1	露西亚	露西亞	Lucia	ルシア	루시아	ลูเซีย	伊安最近的状态越来越好了，你们还蛮有一套的啊。	伊安最近的狀態越來越好了，你們還蠻有一套的啊。	Yana's getting better lately. You truly have a knack for this, don't you?	イアンの調子はどんどん良くなってきている。君たちなかなかできるじゃん。	이안이 요즘 상태가 점점 좋아지고 있다더라고, 역시 너희들 대단한 것 같아	ช่วงนี้​อาการ​ของ​เอียน​ดีขึ้น​เรื่อยๆ​ พวกคุณ​ก็​เก่ง​ใช้ได้​นี่​
4018304	18:npc_icon_183_9	6	40183	1	露西亚	露西亞	Lucia	ルシア	루시아	ลูเซีย	点太多次，义父开始问我了……	點太多次，義父開始問我了……	I ordered too many times, and my foster father started questioning me...	いつも同じ物を頼んでるから、お義父さんに聞かれたよ。	너무 자주 시켰더니, 의부께서 물어보시더라고......	สั่ง​ไป​หลาย​รอบ​เกิน​ พ่อบุญธรรม​เริ่ม​ถาม​ฉัน​แล้ว​...​
4018305	18:npc_icon_183_7	8	40183	1	露西亚	露西亞	Lucia	ルシア	루시아	ลูเซีย	遗迹暂时没事，多犒劳一下我就行。	遺跡暫時沒事，多犒勞一下我就行。	For now, the relics are fine. Just treat me a bit more.	遺跡の方は大丈夫。今はおいしいものを奢ってほしい。	유적은 당분간 괜찮으니까, 밥이나 좀 사 줘.	ตอนนี้​ซากปรักหักพัง​ไม่เป็นอะไร​ ตบ​รางวัล​ให้​ฉัน​เยอะ​ๆ​ ก็​พอ​
4018306	18:npc_icon_183_9	9	40183	1	露西亚	露西亞	Lucia	ルシア	루시아	ลูเซีย	如果利兹城的每一个人都能吃到……	如果利茲城的每一個人都能吃到……	If everyone in Leids Town has a taste...	リーズダムの人々もこんな美味しい料理が食べられたら…	만약 리즈덤의 모든 사람이 먹을 수 있다면...	ถ้า​คน​ทุกคน​ที่อยู่​ใน​เมือง​ลี​ซ​ได้​กิน​ล่ะ​ก็​...​
4032801	18:npc_icon_328_1		40328	1	云灿姐让我点的	雲燦姐讓我點的	Yuncan asked me to order it.	これは雲燦さんが勧めてくれたんです。	운찬 누나 대신 주문	พี่หยุนชานให้ฉันสั่งน่ะ	她说这样就可以点学者特供餐了！	她說這樣就可以點學者特供餐了！	She said I could order the Scholar's Special Meal like this!	これで学者セットが注文できるって！	이렇게 하면 학자 특식을 주문할 수 있다고 했는데!	เธอ​บอ​กว่า​แบบนี้​ก็​สามารถ​สั่ง​เมนู​พิเศษ​สำหรับ​นักวิชาการ​ได้​แล้ว​!​
4038501	18:npc_icon_385_1		40385	1	暴风眼特定名单	暴風眼特定名單	The StormEye Specific List	ストームアイ特定リスト	스톰아이 특별 주문	รายชื่อพิเศษจากสตอร์มอาย	比考古更难的就是待在这考古，教授他们艺高人胆大，我倒是有点害怕……	比考古更難的就是待在這考古，教授他們藝高人膽大，我倒是有點害怕……	Being on this archaeological project is even more challenging than actual archaeology. The professors are fearless, and I'm starting to get a bit scared...	ここの教授たち、すごい人だけどなんだが怖いよ。	유물 연구보다 어려운 것은 유물 옆에서 기다리는 겁니다. 교수님들은 능력이 뛰어나고 대담하던데, 전 오히려 좀 무섭더라구요...	สิ่ง​ที่​ยา​กก​ว่าการ​ขุดค้น​โบราณคดี​ คือ​การ​มา​ขุดค้น​อยู่​ที่นี่​ด้วย​ พวก​ศาสตราจารย์​เขา​มีฝีมือ​และ​กล้าหาญ​ ส่วนตัว​ฉัน​กลับ​รู้สึก​กลัว​หน่อย​ๆ​ ...​
4047101	18:npc_icon_471_2		40471	1	暴风眼特定名单	暴風眼特定名單	The StormEye Specific List	ストームアイ特定リスト	스톰아이 특별 주문	รายชื่อพิเศษจากสตอร์มอาย	最近越来越乱了，多吃点才能应对可能出现的危机。	最近越來越亂了，多吃點才能應對可能出現的危機。	Things have been getting more chaotic lately. Eating more will help me deal with potential crises.	最近面倒なことが多いな。危機が起きても対処できるように、多めに食べておくんだ。	요즘 점점 세상이 어지러워지는데, 많이 먹어 둬야 여차했을 때 힘을 쓸 수 있겠죠	ช่วงนี้​ยิ่ง​วุ่นวาย​ขึ้น​เรื่อยๆ​ กิน​ให้​เยอะ​หน่อย​ถึง​จะ​รับมือ​กับ​วิกฤต​ที่​อาจจะ​เกิดขึ้น​ได้​
4060701	18:npc_icon_607_1		40607	1	暴风眼特定名单	暴風眼特定名單	The StormEye Specific List	ストームアイ特定リスト	스톰아이 특별 주문	รายชื่อพิเศษจากสตอร์มอาย	照常就行。	照常就行。	Just the usual.	いつものください。	평소대로 하시면 됩니다.	ทำตามปกติก็พอ
5038101	18:npc_icon_381_1		50381	1	自动点餐机	自動點餐機	Self-ordering Machine	オーダーマシン	키오스크	เครื่องสั่งอาหารอัตโนมัติ	已为客户隐藏个人信息，已为客户推荐最优菜单。	已為客戶隱藏個人資訊，已為客戶推薦最優功能表。	Customer personal information has been hidden. The best menu options have been recommended.	お客様の個人情報を隠蔽しました。最適なメニューをお勧めしました。	손님이 개인 정보를 숨기고 손님께 최적의 메뉴를 추천해 드렸습니다.	ซ่อน​ข้อมูล​ส่วนตัว​ของ​ลูกค้า​แล้ว​ แนะนำ​เมนู​อาหาร​ที่​ดี​ที่สุด​ให้​ลูกค้า​แล้ว​
5038102	18:npc_icon_381_1	2	50381	1	贝克特	貝克特	Beckett	ベクター	베켓	เบ็คเก็ตต์	如果看到戴护士帽的人，就先等会儿再送来！！！	如果看到戴護士帽的人，就先等會兒再送來！！！	If you see anyone in a nurse's hat, just bring it back later.	ナースハットをかぶっている人を見かけたら、少し待ってから届けること！	간호사 모자 쓰신 분 보시면 잠깐 기다리시라고 하세요, 금방 다시 올게요!!!	หาก​เห็น​คน​ที่​สวม​หมวก​พยาบาล​ ก็​รอ​สักครู่​แล้ว​ค่อย​มา​ส่ง​!!!​
5038103	18:npc_icon_381_1	4	50381	1	贝克特	貝克特	Beckett	ベクター	베켓	เบ็คเก็ตต์	最近，居然有人和我说该减肥了……	最近，居然有人和我說該減肥了……	Someone actually told me that I should lose weight recently.	最近、ダイエットしたほうがいいよって言われた。	요즘 나한테 다이어트 좀 하라고 하는 사람이 있더라고요...	ช่วงนี้​ มี​คน​มา​บอก​กับ​ฉัน​ว่า​ควร​ลดความอ้วน​ได้​แล้ว​...​
5038104	18:npc_icon_381_1	6	50381	1	贝克特	貝克特	Beckett	ベクター	베켓	เบ็คเก็ตต์	不管了，再不吃点好的我都活不下去了！	不管了，再不吃點好的我都活不下去了！	Forget it, I can't live without some good food.	とにかく今は美味しい物を食べたい！でないとストレスで死にそう。	아, 몰라, 지금 안 시키면 배고파 죽을지도	ไม่​สนใจ​แล้ว​ ถ้า​ไม่​ได้​กิน​อาหาร​ดี​ๆ​ ฉัน​คง​มีชีวิต​ต่อไป​ไม่​ไหว​แล้ว​!​
