id	type	area	areaLv	isMax	group	weight	foodNum	foodRandomAmount	foodGroup	rewardId	rewardNum	mood	time	npcGroup	npcGroupWeight	status
20201	2	2	1	0	201	100	2;2	1;1	1,4;2	3000018;5300002;5010003	3;5;1	200	1	20351;20388;20462	50;100;100	1
2020101	3	2	1	0	201	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	20351;20388;20462	50;100;100	1
2020102	3	2	2	0	201	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	20351;20388;20462	50;100;100	1
2020103	3	2	3	0	201	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	20351;20388;20462	50;100;100	1
2020104	3	2	4	0	201	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	20351;20388;20462	50;100;100	1
2020105	3	2	5	0	201	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	20351;20388;20462	50;100;100	1
2020106	3	2	6	0	201	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	20351;20388;20462	50;100;100	1
2020204	3	2	4	0	202	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	20573;20354;20381	100;100;100	1
2020205	3	2	5	0	202	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	20573;20354;20381	100;100;100	1
2020206	3	2	6	0	202	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	20573;20354;20381	100;100;100	1
2120101	3	2	1	1	201	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	20351;20388;20462	50;100;100	1
2120102	3	2	2	1	201	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	20351;20388;20462	50;100;100	1
2120103	3	2	3	1	201	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	20351;20388;20462	50;100;100	1
2120104	3	2	4	1	201	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	20351;20388;20462	50;100;100	1
2120105	3	2	5	1	201	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	20351;20388;20462	50;100;100	1
2120106	3	2	6	1	201	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	20351;20388;20462	50;100;100	1
2120204	3	2	4	1	202	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	20573;20354;20381	100;100;100	1
2120205	3	2	5	1	202	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	20573;20354;20381	100;100;100	1
2120206	3	2	6	1	202	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	20573;20354;20381	100;100;100	1
30301	2	3	1	0	301	100	2;2	1;1	1,4;2	3000018;5300002;5010003	3;5;1	200	1	30560;30320;30570	50;100;100	1
3030101	3	3	1	0	301	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	30560;30320;30570	50;100;100	1
3030102	3	3	2	0	301	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	30560;30320;30570	50;100;100	1
3030103	3	3	3	0	301	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	30560;30320;30570	50;100;100	1
3030104	3	3	4	0	301	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	30560;30320;30570	50;100;100	1
3030105	3	3	5	0	301	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	30560;30320;30570	50;100;100	1
3030106	3	3	6	0	301	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	30560;30320;30570	50;100;100	1
3030204	3	3	4	0	302	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	30631;30445;30381	100;100;100	1
3030205	3	3	5	0	302	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	30631;30445;30381	100;100;100	1
3030206	3	3	6	0	302	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	30631;30445;30381	100;100;100	1
3130101	3	3	1	1	301	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	30560;30320;30570	50;100;100	1
3130102	3	3	2	1	301	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	30560;30320;30570	50;100;100	1
3130103	3	3	3	1	301	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	30560;30320;30570	50;100;100	1
3130104	3	3	4	1	301	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	30560;30320;30570	50;100;100	1
3130105	3	3	5	1	301	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	30560;30320;30570	50;100;100	1
3130106	3	3	6	1	301	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	30560;30320;30570	50;100;100	1
3130204	3	3	4	1	302	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	30631;30445;30381	100;100;100	1
3130205	3	3	5	1	302	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	30631;30445;30381	100;100;100	1
3130206	3	3	6	1	302	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	30631;30445;30381	100;100;100	1
40401	2	4	1	0	401	100	2;2	1;1	1,4;2	3000018;5300002;5010003	3;5;1	200	1	40183;40328;40385	50;100;100	1
4040101	3	4	1	0	401	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	40183;40328;40385	50;100;100	1
4040102	3	4	2	0	401	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	40183;40328;40385	50;100;100	1
4040103	3	4	3	0	401	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	40183;40328;40385	50;100;100	1
4040104	3	4	4	0	401	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	40183;40328;40385	50;100;100	1
4040105	3	4	5	0	401	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	40183;40328;40385	50;100;100	1
4040106	3	4	6	0	401	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	40183;40328;40385	50;100;100	1
4040204	3	4	4	0	402	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	40471;40607	100;100;100	1
4040205	3	4	5	0	402	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	40471;40607	100;100;100	1
4040206	3	4	6	0	402	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	40471;40607	100;100;100	1
4140101	3	4	1	1	401	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	40183;40328;40385	50;100;100	1
4140102	3	4	2	1	401	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	40183;40328;40385	50;100;100	1
4140103	3	4	3	1	401	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	40183;40328;40385	50;100;100	1
4140104	3	4	4	1	401	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	40183;40328;40385	50;100;100	1
4140105	3	4	5	1	401	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	40183;40328;40385	50;100;100	1
4140106	3	4	6	1	401	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	40183;40328;40385	50;100;100	1
4140204	3	4	4	1	402	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	40471;40607	100;100;100	1
4140205	3	4	5	1	402	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	40471;40607	100;100;100	1
4140206	3	4	6	1	402	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	40471;40607	100;100;100	1
50501	2	5	1	0	501	100	2;2	1;1	1,4;2	3000018;5300002;5010003	3;5;1	200	1	50381;50432;50588	50;100;100	1
5050101	3	5	1	0	501	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	50381;50432;50588	50;100;100	1
5050102	3	5	2	0	501	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	50381;50432;50588	50;100;100	1
5050103	3	5	3	0	501	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	50381;50432;50588	50;100;100	1
5050104	3	5	4	0	501	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	50381;50432;50588	50;100;100	1
5050105	3	5	5	0	501	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	50381;50432;50588	50;100;100	1
5050106	3	5	6	0	501	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	50381;50432;50588	50;100;100	1
5050204	3	5	4	0	502	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	50431;50632;5038199	100;100;100	1
5050205	3	5	5	0	502	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	50431;50632;5038199	100;100;100	1
5050206	3	5	6	0	502	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	50431;50632;5038199	100;100;100	1
5150101	3	5	1	1	501	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	50381;50432;50588	50;100;100	1
5150102	3	5	2	1	501	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	50381;50432;50588	50;100;100	1
5150103	3	5	3	1	501	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	50381;50432;50588	50;100;100	1
5150104	3	5	4	1	501	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	50381;50432;50588	50;100;100	1
5150105	3	5	5	1	501	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	50381;50432;50588	50;100;100	1
5150106	3	5	6	1	501	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	50381;50432;50588	50;100;100	1
5150204	3	5	4	1	502	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	50431;50632;5038199	100;100;100	1
5150205	3	5	5	1	502	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	50431;50632;5038199	100;100;100	1
5150206	3	5	6	1	502	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	50431;50632;5038199	100;100;100	1
60601	2	6	1	0	601	100	2;2	1;1	1,4;2	3000018;5300002;5010003	3;5;1	200	1	60427;60452;60607	50;100;100	1
6060101	3	6	1	0	601	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	60427;60452;60607	50;100;100	1
6060102	3	6	2	0	601	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	60427;60452;60607	50;100;100	1
6060103	3	6	3	0	601	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	60427;60452;60607	50;100;100	1
6060104	3	6	4	0	601	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	60427;60452;60607	50;100;100	1
6060105	3	6	5	0	601	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	60427;60452;60607	50;100;100	1
6060106	3	6	6	0	601	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	60427;60452;60607	50;100;100	1
6060204	3	6	4	0	602	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	60455;60653;60381	100;100;100	1
6060205	3	6	5	0	602	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	60455;60653;60381	100;100;100	1
6060206	3	6	6	0	602	100	2;2	1;1	1,4;2,3	3000018;5300002;5010003	3;5;1	200	1	60455;60653;60381	100;100;100	1
6160101	3	6	1	1	601	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	60427;60452;60607	50;100;100	1
6160102	3	6	2	1	601	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	60427;60452;60607	50;100;100	1
6160103	3	6	3	1	601	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	60427;60452;60607	50;100;100	1
6160104	3	6	4	1	601	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	60427;60452;60607	50;100;100	1
6160105	3	6	5	1	601	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	60427;60452;60607	50;100;100	1
6160106	3	6	6	1	601	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	60427;60452;60607	50;100;100	1
6160204	3	6	4	1	602	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	60455;60653;60381	100;100;100	1
6160205	3	6	5	1	602	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	60455;60653;60381	100;100;100	1
6160206	3	6	6	1	602	100	2;2	1;1	1,4;2,3	3000018;3000003;5010003	3;100;1	200	1	60455;60653;60381	100;100;100	1
