coreId	type	quality	occupationId	expOffered	sellMoney	suitId	coreBigICon	coreLongCon	isRandom	status
480162	2	2	0	300	3000	416	45:tarot_img_416	10:tarot_img_416_x	1	1
480163	2	3	0	500	5000	416	45:tarot_img_416	10:tarot_img_416_x	1	1
480164	2	4	0	2500	25000	416	45:tarot_img_416	10:tarot_img_416_x	1	1
480165	2	5	0	10000	100000	416	45:tarot_img_416	10:tarot_img_416_x	1	1
480171	2	1	0	100	1000	417	45:tarot_img_417	10:tarot_img_417_x	1	1
480172	2	2	0	300	3000	417	45:tarot_img_417	10:tarot_img_417_x	1	1
480173	2	3	0	500	5000	417	45:tarot_img_417	10:tarot_img_417_x	1	1
480174	2	4	0	2500	25000	417	45:tarot_img_417	10:tarot_img_417_x	1	1
480175	2	5	0	10000	100000	417	45:tarot_img_417	10:tarot_img_417_x	1	1
480181	2	1	0	100	1000	418	45:tarot_img_418	10:tarot_img_418_x	1	1
480182	2	2	0	300	3000	418	45:tarot_img_418	10:tarot_img_418_x	1	1
480183	2	3	0	500	5000	418	45:tarot_img_418	10:tarot_img_418_x	1	1
480184	2	4	0	2500	25000	418	45:tarot_img_418	10:tarot_img_418_x	1	1
480185	2	5	0	10000	100000	418	45:tarot_img_418	10:tarot_img_418_x	1	1
480191	2	1	0	100	1000	419	45:tarot_img_419	10:tarot_img_419_x	1	1
480192	2	2	0	300	3000	419	45:tarot_img_419	10:tarot_img_419_x	1	1
480193	2	3	0	500	5000	419	45:tarot_img_419	10:tarot_img_419_x	1	1
480194	2	4	0	2500	25000	419	45:tarot_img_419	10:tarot_img_419_x	1	1
480195	2	5	0	10000	100000	419	45:tarot_img_419	10:tarot_img_419_x	1	1
480201	2	1	0	100	1000	420	45:tarot_img_420	10:tarot_img_420_x	1	1
480202	2	2	0	300	3000	420	45:tarot_img_420	10:tarot_img_420_x	1	1
480203	2	3	0	500	5000	420	45:tarot_img_420	10:tarot_img_420_x	1	1
480204	2	4	0	2500	25000	420	45:tarot_img_420	10:tarot_img_420_x	1	1
480205	2	5	0	10000	100000	420	45:tarot_img_420	10:tarot_img_420_x	1	1
480211	2	1	0	100	1000	421	45:tarot_img_421	10:tarot_img_421_x	1	1
480212	2	2	0	300	3000	421	45:tarot_img_421	10:tarot_img_421_x	1	1
480213	2	3	0	500	5000	421	45:tarot_img_421	10:tarot_img_421_x	1	1
480214	2	4	0	2500	25000	421	45:tarot_img_421	10:tarot_img_421_x	1	1
480215	2	5	0	10000	100000	421	45:tarot_img_421	10:tarot_img_421_x	1	1
480221	2	1	0	100	1000	422	45:tarot_img_422	10:tarot_img_422_x	1	1
480222	2	2	0	300	3000	422	45:tarot_img_422	10:tarot_img_422_x	1	1
480223	2	3	0	500	5000	422	45:tarot_img_422	10:tarot_img_422_x	1	1
480224	2	4	0	2500	25000	422	45:tarot_img_422	10:tarot_img_422_x	1	1
480225	2	5	0	10000	100000	422	45:tarot_img_422	10:tarot_img_422_x	1	1
480231	2	1	0	100	1000	423	45:tarot_img_423	10:tarot_img_423_x	1	1
480232	2	2	0	300	3000	423	45:tarot_img_423	10:tarot_img_423_x	1	1
480233	2	3	0	500	5000	423	45:tarot_img_423	10:tarot_img_423_x	1	1
480234	2	4	0	2500	25000	423	45:tarot_img_423	10:tarot_img_423_x	1	1
480235	2	5	0	10000	100000	423	45:tarot_img_423	10:tarot_img_423_x	1	1
480241	2	1	0	100	1000	424	45:tarot_img_424	10:tarot_img_424_x	1	1
480242	2	2	0	300	3000	424	45:tarot_img_424	10:tarot_img_424_x	1	1
480243	2	3	0	500	5000	424	45:tarot_img_424	10:tarot_img_424_x	1	1
480244	2	4	0	2500	25000	424	45:tarot_img_424	10:tarot_img_424_x	1	1
480245	2	5	0	10000	100000	424	45:tarot_img_424	10:tarot_img_424_x	1	1
480251	2	1	0	100	1000	425	45:tarot_img_425	10:tarot_img_425_x	0	1
480252	2	2	0	300	3000	425	45:tarot_img_425	10:tarot_img_425_x	0	1
480253	2	3	0	500	5000	425	45:tarot_img_425	10:tarot_img_425_x	0	1
480254	2	4	0	2500	25000	425	45:tarot_img_425	10:tarot_img_425_x	0	1
480255	2	5	0	10000	100000	425	45:tarot_img_425	10:tarot_img_425_x	0	1
480261	2	1	0	100	1000	426	45:tarot_img_426	10:tarot_img_426_x	0	1
480262	2	2	0	300	3000	426	45:tarot_img_426	10:tarot_img_426_x	0	1
480263	2	3	0	500	5000	426	45:tarot_img_426	10:tarot_img_426_x	0	1
480264	2	4	0	2500	25000	426	45:tarot_img_426	10:tarot_img_426_x	0	1
480265	2	5	0	10000	100000	426	45:tarot_img_426	10:tarot_img_426_x	0	1
480271	2	1	0	100	1000	427	45:tarot_img_427	10:tarot_img_427_x	1	1
480272	2	2	0	300	3000	427	45:tarot_img_427	10:tarot_img_427_x	1	1
480273	2	3	0	500	5000	427	45:tarot_img_427	10:tarot_img_427_x	1	1
480274	2	4	0	2500	25000	427	45:tarot_img_427	10:tarot_img_427_x	1	1
480275	2	5	0	10000	100000	427	45:tarot_img_427	10:tarot_img_427_x	1	1
480281	2	1	0	100	1000	428	45:tarot_img_428	10:tarot_img_428_x	0	1
480282	2	2	0	300	3000	428	45:tarot_img_428	10:tarot_img_428_x	0	1
480283	2	3	0	500	5000	428	45:tarot_img_428	10:tarot_img_428_x	0	1
480284	2	4	0	2500	25000	428	45:tarot_img_428	10:tarot_img_428_x	0	1
480285	2	5	0	10000	100000	428	45:tarot_img_428	10:tarot_img_428_x	0	1
480291	2	1	0	100	1000	429	45:tarot_img_429	10:tarot_img_429_x	1	1
480292	2	2	0	300	3000	429	45:tarot_img_429	10:tarot_img_429_x	1	1
480293	2	3	0	500	5000	429	45:tarot_img_429	10:tarot_img_429_x	1	1
480294	2	4	0	2500	25000	429	45:tarot_img_429	10:tarot_img_429_x	1	1
480295	2	5	0	10000	100000	429	45:tarot_img_429	10:tarot_img_429_x	1	1
480301	2	1	0	100	1000	430	45:tarot_img_430	10:tarot_img_430_x	0	1
480302	2	2	0	300	3000	430	45:tarot_img_430	10:tarot_img_430_x	0	1
480303	2	3	0	500	5000	430	45:tarot_img_430	10:tarot_img_430_x	0	1
480304	2	4	0	2500	25000	430	45:tarot_img_430	10:tarot_img_430_x	0	1
480305	2	5	0	10000	100000	430	45:tarot_img_430	10:tarot_img_430_x	0	1
