id	purifyid	dec	attTypeId	quality	starterdown	starterup	weight	status
3020202	1003	防御百分比	202	2	0.0297	0.054	3000	1
3020203	1003	防御百分比	202	3	0.0567	0.081	3000	1
3020204	1003	防御百分比	202	4	0.0837	0.135	2000	1
3030201	1003	生命百分比	302	1	0.0027	0.027	1500	1
3030202	1003	生命百分比	302	2	0.0297	0.054	3000	1
3030203	1003	生命百分比	302	3	0.0567	0.081	3000	1
3030204	1003	生命百分比	302	4	0.0837	0.135	2000	1
3040101	1003	幸运	401	1	0.0003	0.003	1500	1
3040102	1003	幸运	401	2	0.0033	0.006	3000	1
3040103	1003	幸运	401	3	0.0063	0.009	3000	1
3040104	1003	幸运	401	4	0.0093	0.015	2000	1
3060301	1003	暴击	603	1	0.0008	0.008	1500	1
3060302	1003	暴击	603	2	0.0088	0.016	3000	1
3060303	1003	暴击	603	3	0.0168	0.024	3000	1
3060304	1003	暴击	603	4	0.0248	0.04	2000	1
3070301	1003	暴伤	703	1	0.0012	0.012	1500	1
3070302	1003	暴伤	703	2	0.0132	0.024	3000	1
3070303	1003	暴伤	703	3	0.0252	0.036	3000	1
3070304	1003	暴伤	703	4	0.0372	0.06	2000	1
3080301	1003	暴击抵抗	803	1	0.0008	0.008	1500	1
3080302	1003	暴击抵抗	803	2	0.0088	0.016	3000	1
3080303	1003	暴击抵抗	803	3	0.0168	0.024	3000	1
3080304	1003	暴击抵抗	803	4	0.0248	0.04	2000	1
3090301	1003	暴伤抵抗	903	1	0.0012	0.012	1500	1
3090302	1003	暴伤抵抗	903	2	0.0132	0.024	3000	1
3090303	1003	暴伤抵抗	903	3	0.0252	0.036	3000	1
3090304	1003	暴伤抵抗	903	4	0.0372	0.06	2000	1
3120301	1003	穿透	1203	1	0.0006	0.006	1500	1
3120302	1003	穿透	1203	2	0.0066	0.012	3000	1
3120303	1003	穿透	1203	3	0.0126	0.018	3000	1
3120304	1003	穿透	1203	4	0.0186	0.03	2000	1
3130301	1003	忍耐	1303	1	0.00119	0.0119	1500	1
3130302	1003	忍耐	1303	2	0.01309	0.0238	3000	1
3130303	1003	忍耐	1303	3	0.02499	0.0357	3000	1
3130304	1003	忍耐	1303	4	0.03689	0.0595	2000	1
3160101	1003	造成治疗提升	1601	1	0.00108	0.0108	1500	1
3160102	1003	造成治疗提升	1601	2	0.01188	0.0216	3000	1
3160103	1003	造成治疗提升	1601	3	0.02268	0.0324	3000	1
3160104	1003	造成治疗提升	1601	4	0.03348	0.054	2000	1
3210101	1003	造成护盾提升	2101	1	0.00108	0.0108	1500	1
3210102	1003	造成护盾提升	2101	2	0.01188	0.0216	3000	1
3210103	1003	造成护盾提升	2101	3	0.02268	0.0324	3000	1
3210104	1003	造成护盾提升	2101	4	0.03348	0.054	2000	1
3160201	1003	受到治疗提升	1602	1	0.00108	0.0108	1500	1
3160202	1003	受到治疗提升	1602	2	0.01188	0.0216	3000	1
3160203	1003	受到治疗提升	1602	3	0.02268	0.0324	3000	1
3160204	1003	受到治疗提升	1602	4	0.03348	0.054	2000	1
3210201	1003	受到护盾提升	2102	1	0.00108	0.0108	1500	1
3210202	1003	受到护盾提升	2102	2	0.01188	0.0216	3000	1
3210203	1003	受到护盾提升	2102	3	0.02268	0.0324	3000	1
3210204	1003	受到护盾提升	2102	4	0.03348	0.054	2000	1
4010201	1004	攻击百分比	102	1	0.001	0.01	1500	1
4010202	1004	攻击百分比	102	2	0.011	0.02	3000	1
4010203	1004	攻击百分比	102	3	0.021	0.03	3000	1
4010204	1004	攻击百分比	102	4	0.031	0.05	2000	1
4010205	1004	攻击百分比	102	5	0.051	0.08	400	1
4020201	1004	防御百分比	202	1	0.0027	0.027	1500	1
4020202	1004	防御百分比	202	2	0.0297	0.054	3000	1
4020203	1004	防御百分比	202	3	0.0567	0.081	3000	1
4020204	1004	防御百分比	202	4	0.0837	0.135	2000	1
4020205	1004	防御百分比	202	5	0.1377	0.216	400	1
4030201	1004	生命百分比	302	1	0.0027	0.027	1500	1
4030202	1004	生命百分比	302	2	0.0297	0.054	3000	1
4030203	1004	生命百分比	302	3	0.0567	0.081	3000	1
4030204	1004	生命百分比	302	4	0.0837	0.135	2000	1
4030205	1004	生命百分比	302	5	0.1377	0.216	400	1
4040101	1004	幸运	401	1	0.0003	0.003	1500	1
4040102	1004	幸运	401	2	0.0033	0.006	3000	1
4040103	1004	幸运	401	3	0.0063	0.009	3000	1
4040104	1004	幸运	401	4	0.0093	0.015	2000	1
4040105	1004	幸运	401	5	0.0153	0.024	400	1
4060301	1004	暴击	603	1	0.0008	0.008	1500	1
4060302	1004	暴击	603	2	0.0088	0.016	3000	1
4060303	1004	暴击	603	3	0.0168	0.024	3000	1
4060304	1004	暴击	603	4	0.0248	0.04	2000	1
4060305	1004	暴击	603	5	0.0408	0.064	400	1
4070301	1004	暴伤	703	1	0.0012	0.012	1500	1
4070302	1004	暴伤	703	2	0.0132	0.024	3000	1
4070303	1004	暴伤	703	3	0.0252	0.036	3000	1
4070304	1004	暴伤	703	4	0.0372	0.06	2000	1
4070305	1004	暴伤	703	5	0.0612	0.096	400	1
4080301	1004	暴击抵抗	803	1	0.0008	0.008	1500	1
4080302	1004	暴击抵抗	803	2	0.0088	0.016	3000	1
4080303	1004	暴击抵抗	803	3	0.0168	0.024	3000	1
4080304	1004	暴击抵抗	803	4	0.0248	0.04	2000	1
4080305	1004	暴击抵抗	803	5	0.0408	0.064	400	1
4090301	1004	暴伤抵抗	903	1	0.0012	0.012	1500	1
4090302	1004	暴伤抵抗	903	2	0.0132	0.024	3000	1
4090303	1004	暴伤抵抗	903	3	0.0252	0.036	3000	1
4090304	1004	暴伤抵抗	903	4	0.0372	0.06	2000	1
4090305	1004	暴伤抵抗	903	5	0.0612	0.096	400	1
4120301	1004	穿透	1203	1	0.0006	0.006	1500	1
4120302	1004	穿透	1203	2	0.0066	0.012	3000	1
4120303	1004	穿透	1203	3	0.0126	0.018	3000	1
4120304	1004	穿透	1203	4	0.0186	0.03	2000	1
4120305	1004	穿透	1203	5	0.0306	0.048	400	1
4130301	1004	忍耐	1303	1	0.00119	0.0119	1500	1
4130302	1004	忍耐	1303	2	0.01309	0.0238	3000	1
4130303	1004	忍耐	1303	3	0.02499	0.0357	3000	1
4130304	1004	忍耐	1303	4	0.03689	0.0595	2000	1
4130305	1004	忍耐	1303	5	0.06069	0.0952	400	1
4160101	1004	造成治疗提升	1601	1	0.00108	0.0108	1500	1
4160102	1004	造成治疗提升	1601	2	0.01188	0.0216	3000	1
4160103	1004	造成治疗提升	1601	3	0.02268	0.0324	3000	1
4160104	1004	造成治疗提升	1601	4	0.03348	0.054	2000	1
4160105	1004	造成治疗提升	1601	5	0.05508	0.0864	400	1
4210101	1004	造成护盾提升	2101	1	0.00108	0.0108	1500	1
4210102	1004	造成护盾提升	2101	2	0.01188	0.0216	3000	1
4210103	1004	造成护盾提升	2101	3	0.02268	0.0324	3000	1
4210104	1004	造成护盾提升	2101	4	0.03348	0.054	2000	1
4210105	1004	造成护盾提升	2101	5	0.05508	0.0864	400	1
4160201	1004	受到治疗提升	1602	1	0.00108	0.0108	1500	1
4160202	1004	受到治疗提升	1602	2	0.01188	0.0216	3000	1
4160203	1004	受到治疗提升	1602	3	0.02268	0.0324	3000	1
4160204	1004	受到治疗提升	1602	4	0.03348	0.054	2000	1
4160205	1004	受到治疗提升	1602	5	0.05508	0.0864	400	1
4210201	1004	受到护盾提升	2102	1	0.00108	0.0108	1500	1
4210202	1004	受到护盾提升	2102	2	0.01188	0.0216	3000	1
4210203	1004	受到护盾提升	2102	3	0.02268	0.0324	3000	1
4210204	1004	受到护盾提升	2102	4	0.03348	0.054	2000	1
4210205	1004	受到护盾提升	2102	5	0.05508	0.0864	400	1
5010201	1005	攻击百分比	102	1	0.001	0.01	1500	1
5010202	1005	攻击百分比	102	2	0.011	0.02	3000	1
5010203	1005	攻击百分比	102	3	0.021	0.03	3000	1
5010204	1005	攻击百分比	102	4	0.031	0.05	2000	1
5010205	1005	攻击百分比	102	5	0.051	0.08	400	1
5010206	1005	攻击百分比	102	6	0.081	0.1	100	1
5020201	1005	防御百分比	202	1	0.0027	0.027	1500	1
5020202	1005	防御百分比	202	2	0.0297	0.054	3000	1
5020203	1005	防御百分比	202	3	0.0567	0.081	3000	1
5020204	1005	防御百分比	202	4	0.0837	0.135	2000	1
5020205	1005	防御百分比	202	5	0.1377	0.216	400	1
5020206	1005	防御百分比	202	6	0.2187	0.27	100	1
5030201	1005	生命百分比	302	1	0.0027	0.027	1500	1
5030202	1005	生命百分比	302	2	0.0297	0.054	3000	1
5030203	1005	生命百分比	302	3	0.0567	0.081	3000	1
5030204	1005	生命百分比	302	4	0.0837	0.135	2000	1
5030205	1005	生命百分比	302	5	0.1377	0.216	400	1
5030206	1005	生命百分比	302	6	0.2187	0.27	100	1
5040101	1005	幸运	401	1	0.0003	0.003	1500	1
5040102	1005	幸运	401	2	0.0033	0.006	3000	1
5040103	1005	幸运	401	3	0.0063	0.009	3000	1
5040104	1005	幸运	401	4	0.0093	0.015	2000	1
5040105	1005	幸运	401	5	0.0153	0.024	400	1
5040106	1005	幸运	401	6	0.0243	0.03	100	1
5060301	1005	暴击	603	1	0.0008	0.008	1500	1
5060302	1005	暴击	603	2	0.0088	0.016	3000	1
5060303	1005	暴击	603	3	0.0168	0.024	3000	1
5060304	1005	暴击	603	4	0.0248	0.04	2000	1
5060305	1005	暴击	603	5	0.0408	0.064	400	1
5060306	1005	暴击	603	6	0.0648	0.08	100	1
5070301	1005	暴伤	703	1	0.0012	0.012	1500	1
5070302	1005	暴伤	703	2	0.0132	0.024	3000	1
5070303	1005	暴伤	703	3	0.0252	0.036	3000	1
5070304	1005	暴伤	703	4	0.0372	0.06	2000	1
5070305	1005	暴伤	703	5	0.0612	0.096	400	1
5070306	1005	暴伤	703	6	0.0972	0.12	100	1
5080301	1005	暴击抵抗	803	1	0.0008	0.008	1500	1
5080302	1005	暴击抵抗	803	2	0.0088	0.016	3000	1
5080303	1005	暴击抵抗	803	3	0.0168	0.024	3000	1
5080304	1005	暴击抵抗	803	4	0.0248	0.04	2000	1
5080305	1005	暴击抵抗	803	5	0.0408	0.064	400	1
5080306	1005	暴击抵抗	803	6	0.0648	0.08	100	1
5090301	1005	暴伤抵抗	903	1	0.0012	0.012	1500	1
5090302	1005	暴伤抵抗	903	2	0.0132	0.024	3000	1
5090303	1005	暴伤抵抗	903	3	0.0252	0.036	3000	1
5090304	1005	暴伤抵抗	903	4	0.0372	0.06	2000	1
5090305	1005	暴伤抵抗	903	5	0.0612	0.096	400	1
5090306	1005	暴伤抵抗	903	6	0.0972	0.12	100	1
5120301	1005	穿透	1203	1	0.0006	0.006	1500	1
5120302	1005	穿透	1203	2	0.0066	0.012	3000	1
5120303	1005	穿透	1203	3	0.0126	0.018	3000	1
5120304	1005	穿透	1203	4	0.0186	0.03	2000	1
5120305	1005	穿透	1203	5	0.0306	0.048	400	1
5120306	1005	穿透	1203	6	0.0486	0.06	100	1
5130301	1005	忍耐	1303	1	0.00119	0.0119	1500	1
5130302	1005	忍耐	1303	2	0.01309	0.0238	3000	1
5130303	1005	忍耐	1303	3	0.02499	0.0357	3000	1
5130304	1005	忍耐	1303	4	0.03689	0.0595	2000	1
5130305	1005	忍耐	1303	5	0.06069	0.0952	400	1
5130306	1005	忍耐	1303	6	0.09639	0.119	100	1
5160101	1005	造成治疗提升	1601	1	0.00108	0.0108	1500	1
5160102	1005	造成治疗提升	1601	2	0.01188	0.0216	3000	1
5160103	1005	造成治疗提升	1601	3	0.02268	0.0324	3000	1
5160104	1005	造成治疗提升	1601	4	0.03348	0.054	2000	1
5160105	1005	造成治疗提升	1601	5	0.05508	0.0864	400	1
5160106	1005	造成治疗提升	1601	6	0.08748	0.108	100	1
5210101	1005	造成护盾提升	2101	1	0.00108	0.0108	1500	1
5210102	1005	造成护盾提升	2101	2	0.01188	0.0216	3000	1
5210103	1005	造成护盾提升	2101	3	0.02268	0.0324	3000	1
5210104	1005	造成护盾提升	2101	4	0.03348	0.054	2000	1
5210105	1005	造成护盾提升	2101	5	0.05508	0.0864	400	1
5210106	1005	造成护盾提升	2101	6	0.08748	0.108	100	1
5160201	1005	受到治疗提升	1602	1	0.00108	0.0108	1500	1
5160202	1005	受到治疗提升	1602	2	0.01188	0.0216	3000	1
5160203	1005	受到治疗提升	1602	3	0.02268	0.0324	3000	1
5160204	1005	受到治疗提升	1602	4	0.03348	0.054	2000	1
5160205	1005	受到治疗提升	1602	5	0.05508	0.0864	400	1
5160206	1005	受到治疗提升	1602	6	0.08748	0.108	100	1
5210201	1005	受到护盾提升	2102	1	0.00108	0.0108	1500	1
5210202	1005	受到护盾提升	2102	2	0.01188	0.0216	3000	1
5210203	1005	受到护盾提升	2102	3	0.02268	0.0324	3000	1
5210204	1005	受到护盾提升	2102	4	0.03348	0.054	2000	1
5210205	1005	受到护盾提升	2102	5	0.05508	0.0864	400	1
5210206	1005	受到护盾提升	2102	6	0.08748	0.108	100	1
6010201	1006	攻击百分比	102	1	0.001	0.01	1500	1
6010202	1006	攻击百分比	102	2	0.011	0.02	3000	1
6010203	1006	攻击百分比	102	3	0.021	0.03	3000	1
6010204	1006	攻击百分比	102	4	0.031	0.05	2000	1
6010205	1006	攻击百分比	102	5	0.051	0.08	400	1
6010206	1006	攻击百分比	102	6	0.081	0.1	100	1
6020201	1006	防御百分比	202	1	0.0027	0.027	1500	1
6020202	1006	防御百分比	202	2	0.0297	0.054	3000	1
6020203	1006	防御百分比	202	3	0.0567	0.081	3000	1
6020204	1006	防御百分比	202	4	0.0837	0.135	2000	1
6020205	1006	防御百分比	202	5	0.1377	0.216	400	1
6020206	1006	防御百分比	202	6	0.2187	0.27	100	1
6030201	1006	生命百分比	302	1	0.0027	0.027	1500	1
6030202	1006	生命百分比	302	2	0.0297	0.054	3000	1
6030203	1006	生命百分比	302	3	0.0567	0.081	3000	1
6030204	1006	生命百分比	302	4	0.0837	0.135	2000	1
6030205	1006	生命百分比	302	5	0.1377	0.216	400	1
6030206	1006	生命百分比	302	6	0.2187	0.27	100	1
6040101	1006	幸运	401	1	0.0003	0.003	1500	1
6040102	1006	幸运	401	2	0.0033	0.006	3000	1
6040103	1006	幸运	401	3	0.0063	0.009	3000	1
6040104	1006	幸运	401	4	0.0093	0.015	2000	1
6040105	1006	幸运	401	5	0.0153	0.024	400	1
6040106	1006	幸运	401	6	0.0243	0.03	100	1
6060301	1006	暴击	603	1	0.0008	0.008	1500	1
6060302	1006	暴击	603	2	0.0088	0.016	3000	1
6060303	1006	暴击	603	3	0.0168	0.024	3000	1
6060304	1006	暴击	603	4	0.0248	0.04	2000	1
6060305	1006	暴击	603	5	0.0408	0.064	400	1
6060306	1006	暴击	603	6	0.0648	0.08	100	1
6070301	1006	暴伤	703	1	0.0012	0.012	1500	1
6070302	1006	暴伤	703	2	0.0132	0.024	3000	1
6070303	1006	暴伤	703	3	0.0252	0.036	3000	1
6070304	1006	暴伤	703	4	0.0372	0.06	2000	1
6070305	1006	暴伤	703	5	0.0612	0.096	400	1
6070306	1006	暴伤	703	6	0.0972	0.12	100	1
6080301	1006	暴击抵抗	803	1	0.0008	0.008	1500	1
6080302	1006	暴击抵抗	803	2	0.0088	0.016	3000	1
6080303	1006	暴击抵抗	803	3	0.0168	0.024	3000	1
6080304	1006	暴击抵抗	803	4	0.0248	0.04	2000	1
6080305	1006	暴击抵抗	803	5	0.0408	0.064	400	1
6080306	1006	暴击抵抗	803	6	0.0648	0.08	100	1
6090301	1006	暴伤抵抗	903	1	0.0012	0.012	1500	1
6090302	1006	暴伤抵抗	903	2	0.0132	0.024	3000	1
6090303	1006	暴伤抵抗	903	3	0.0252	0.036	3000	1
6090304	1006	暴伤抵抗	903	4	0.0372	0.06	2000	1
6090305	1006	暴伤抵抗	903	5	0.0612	0.096	400	1
6090306	1006	暴伤抵抗	903	6	0.0972	0.12	100	1
6120301	1006	穿透	1203	1	0.0006	0.006	1500	1
6120302	1006	穿透	1203	2	0.0066	0.012	3000	1
6120303	1006	穿透	1203	3	0.0126	0.018	3000	1
6120304	1006	穿透	1203	4	0.0186	0.03	2000	1
6120305	1006	穿透	1203	5	0.0306	0.048	400	1
6120306	1006	穿透	1203	6	0.0486	0.06	100	1
6130301	1006	忍耐	1303	1	0.00119	0.0119	1500	1
6130302	1006	忍耐	1303	2	0.01309	0.0238	3000	1
6130303	1006	忍耐	1303	3	0.02499	0.0357	3000	1
6130304	1006	忍耐	1303	4	0.03689	0.0595	2000	1
6130305	1006	忍耐	1303	5	0.06069	0.0952	400	1
6130306	1006	忍耐	1303	6	0.09639	0.119	100	1
6160101	1006	造成治疗提升	1601	1	0.00108	0.0108	1500	1
6160102	1006	造成治疗提升	1601	2	0.01188	0.0216	3000	1
6160103	1006	造成治疗提升	1601	3	0.02268	0.0324	3000	1
6160104	1006	造成治疗提升	1601	4	0.03348	0.054	2000	1
6160105	1006	造成治疗提升	1601	5	0.05508	0.0864	400	1
6160106	1006	造成治疗提升	1601	6	0.08748	0.108	100	1
6210101	1006	造成护盾提升	2101	1	0.00108	0.0108	1500	1
6210102	1006	造成护盾提升	2101	2	0.01188	0.0216	3000	1
6210103	1006	造成护盾提升	2101	3	0.02268	0.0324	3000	1
6210104	1006	造成护盾提升	2101	4	0.03348	0.054	2000	1
6210105	1006	造成护盾提升	2101	5	0.05508	0.0864	400	1
6210106	1006	造成护盾提升	2101	6	0.08748	0.108	100	1
6160201	1006	受到治疗提升	1602	1	0.00108	0.0108	1500	1
6160202	1006	受到治疗提升	1602	2	0.01188	0.0216	3000	1
6160203	1006	受到治疗提升	1602	3	0.02268	0.0324	3000	1
6160204	1006	受到治疗提升	1602	4	0.03348	0.054	2000	1
6160205	1006	受到治疗提升	1602	5	0.05508	0.0864	400	1
6160206	1006	受到治疗提升	1602	6	0.08748	0.108	100	1
6210201	1006	受到护盾提升	2102	1	0.00108	0.0108	1500	1
6210202	1006	受到护盾提升	2102	2	0.01188	0.0216	3000	1
6210203	1006	受到护盾提升	2102	3	0.02268	0.0324	3000	1
6210204	1006	受到护盾提升	2102	4	0.03348	0.054	2000	1
6210205	1006	受到护盾提升	2102	5	0.05508	0.0864	400	1
6210206	1006	受到护盾提升	2102	6	0.08748	0.108	100	1
