id	coreId	suitNum	attAddType	addNum	buffId	level	status
480255_425_4	480255	4			122502;122503	4;4	1
480261_426_2	480261	2	202	0.03			1
480261_426_3	480261	3	302	0.03			1
480261_426_4	480261	4			122601	1	1
480262_426_2	480262	2	202	0.04			1
480262_426_3	480262	3	302	0.04			1
480262_426_4	480262	4			122601	1	1
480263_426_2	480263	2	202	0.05			1
480263_426_3	480263	3	302	0.05			1
480263_426_4	480263	4			122601	2	1
480264_426_2	480264	2	202	0.07			1
480264_426_3	480264	3	302	0.07			1
480264_426_4	480264	4			122601	3	1
480265_426_2	480265	2	202	0.1			1
480265_426_3	480265	3	302	0.1			1
480265_426_4	480265	4			122601	4	1
480271_427_2	480271	2	102	0.03			1
480271_427_3	480271	3	302	0.03			1
480271_427_4	480271	4			122701	1	1
480272_427_2	480272	2	102	0.04			1
480272_427_3	480272	3	302	0.04			1
480272_427_4	480272	4			122701	1	1
480273_427_2	480273	2	102	0.05			1
480273_427_3	480273	3	302	0.05			1
480273_427_4	480273	4			122701	2	1
480274_427_2	480274	2	102	0.07			1
480274_427_3	480274	3	302	0.07			1
480274_427_4	480274	4			122701	3	1
480275_427_2	480275	2	102	0.1			1
480275_427_3	480275	3	302	0.1			1
480275_427_4	480275	4			122701	4	1
480281_428_2	480281	2	202	0.03			1
480281_428_3	480281	3	2101	0.045			1
480281_428_4	480281	4			122806	1	1
480282_428_2	480282	2	202	0.04			1
480282_428_3	480282	3	2101	0.06			1
480282_428_4	480282	4			122806	1	1
480283_428_2	480283	2	202	0.05			1
480283_428_3	480283	3	2101	0.075			1
480283_428_4	480283	4			122806	2	1
480284_428_2	480284	2	202	0.07			1
480284_428_3	480284	3	2101	0.105			1
480284_428_4	480284	4			122806	3	1
480285_428_2	480285	2	202	0.1			1
480285_428_3	480285	3	2101	0.15			1
480285_428_4	480285	4			122806	4	1
480291_429_2	480291	2	202	0.03			1
480291_429_3	480291	3	1601	0.045			1
480291_429_4	480291	4	1601	0.1	122902	1	1
480292_429_2	480292	2	202	0.04			1
480292_429_3	480292	3	1601	0.06			1
480292_429_4	480292	4	1601	0.1	122902	1	1
480293_429_2	480293	2	202	0.05			1
480293_429_3	480293	3	1601	0.075			1
480293_429_4	480293	4	1601	0.15	122902	2	1
480294_429_2	480294	2	202	0.07			1
480294_429_3	480294	3	1601	0.105			1
480294_429_4	480294	4	1601	0.2	122902	3	1
480295_429_2	480295	2	202	0.1			1
480295_429_3	480295	3	1601	0.15			1
480295_429_4	480295	4	1601	0.25	122902	4	1
480301_430_2	480301	2	202	0.03			1
480301_430_3	480301	3	302	0.03			1
480301_430_4	480301	4			123002	1	1
480302_430_2	480302	2	202	0.04			1
480302_430_3	480302	3	302	0.04			1
480302_430_4	480302	4			123002	1	1
480303_430_2	480303	2	202	0.05			1
480303_430_3	480303	3	302	0.05			1
480303_430_4	480303	4			123002	2	1
480304_430_2	480304	2	202	0.07			1
480304_430_3	480304	3	302	0.07			1
480304_430_4	480304	4			123002	3	1
480305_430_2	480305	2	202	0.1			1
480305_430_3	480305	3	302	0.1			1
480305_430_4	480305	4			123002	4	1
