equipId	quality	equipPart	poolMain	poolsub	equipRefiningItem	equipRefiningNum	equipRefiningItemWay2	equipRefiningItemWay2Num	suitId	equipICon	equipIBigCon	isRandom	status	levelupType	type	equipName	equipName_zh_TW	equipName_en_UK	equipName_ja_JP	equipName_ko_KR	equipName_th_TH	equipDesc	equipDesc_zh_TW	equipDesc_en_UK	equipDesc_ja_JP	equipDesc_ko_KR	equipDesc_th_TH
4010425	2	5	5	1002	4100032;3000003	1;5000			104	7:goods_icon_4010425	7:goods_icon_4010425	1	1			暴击套-嘴套	爆擊套-嘴套	Critical Set - Mouthpiece	会心装飾・顔	크리티컬 세트 - 마스크	เซ็ตคริติคอล - ส่วนปาก	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010426	2	6	6	1002	4100032;3000003	1;5000			104	7:goods_icon_4010426	7:goods_icon_4010426	1	1			暴击套-爪饰	爆擊套-爪飾	Critical Set - Claws	会心装飾・爪	크리티컬 세트 - 장갑	เซ็ตคริติคอล - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010431	3	1	1	1003	4100032;3000003	1;10000			104	7:goods_icon_4010431	7:goods_icon_4010431	1	1			暴击套-头饰	爆擊套-頭飾	Critical Set - Headpiece	会心装飾・頭部	크리티컬 세트 - 머리 장식	เซ็ตคริติคอล - ประดับหัว	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010432	3	2	2	1003	4100032;3000003	1;10000			104	7:goods_icon_4010432	7:goods_icon_4010432	1	1			暴击套-耳饰	爆擊套-耳飾	Critical Set - Earrings	会心装飾・耳	크리티컬 세트 - 귀 장식	เซ็ตคริติคอล - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010433	3	3	3	1003	4100032;3000003	1;10000			104	7:goods_icon_4010433	7:goods_icon_4010433	1	1			暴击套-颈环	爆擊套-頸環	Critical Set - Necklace	会心装飾・首	크리티컬 세트 - 목걸이	เซ็ตคริติคอล - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010434	3	4	4	1003	4100032;3000003	1;10000			104	7:goods_icon_4010434	7:goods_icon_4010434	1	1			暴击套-尾饰	爆擊套-尾飾	Critical Set - Tailpiece	会心装飾・尻尾	크리티컬 세트 - 꼬리 장식	เซ็ต​ค​ริ​ติ​คอ​ล​ -​ ประดับ​หาง​	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010435	3	5	5	1003	4100032;3000003	1;10000			104	7:goods_icon_4010435	7:goods_icon_4010435	1	1			暴击套-嘴套	爆擊套-嘴套	Critical Set - Mouthpiece	会心装飾・顔	크리티컬 세트 - 마스크	เซ็ตคริติคอล - ส่วนปาก	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010436	3	6	6	1003	4100032;3000003	1;10000			104	7:goods_icon_4010436	7:goods_icon_4010436	1	1			暴击套-爪饰	爆擊套-爪飾	Critical Set - Claws	会心装飾・爪	크리티컬 세트 - 장갑	เซ็ตคริติคอล - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010441	4	1	1	1004	4100032;3000003	1;15000			104	7:goods_icon_4010441	7:goods_icon_4010441	1	1			暴击套-头饰	爆擊套-頭飾	Critical Set - Headpiece	会心装飾・頭部	크리티컬 세트 - 머리 장식	เซ็ตคริติคอล - ประดับหัว	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010442	4	2	2	1004	4100032;3000003	1;15000			104	7:goods_icon_4010442	7:goods_icon_4010442	1	1			暴击套-耳饰	爆擊套-耳飾	Critical Set - Earrings	会心装飾・耳	크리티컬 세트 - 귀 장식	เซ็ตคริติคอล - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010443	4	3	3	1004	4100032;3000003	1;15000			104	7:goods_icon_4010443	7:goods_icon_4010443	1	1			暴击套-颈环	爆擊套-頸環	Critical Set - Necklace	会心装飾・首	크리티컬 세트 - 목걸이	เซ็ตคริติคอล - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010444	4	4	4	1004	4100032;3000003	1;15000			104	7:goods_icon_4010444	7:goods_icon_4010444	1	1			暴击套-尾饰	爆擊套-尾飾	Critical Set - Tailpiece	会心装飾・尻尾	크리티컬 세트 - 꼬리 장식	เซ็ต​ค​ริ​ติ​คอ​ล​ -​ ประดับ​หาง​	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010445	4	5	5	1004	4100032;3000003	1;15000			104	7:goods_icon_4010445	7:goods_icon_4010445	1	1			暴击套-嘴套	爆擊套-嘴套	Critical Set - Mouthpiece	会心装飾・顔	크리티컬 세트 - 마스크	เซ็ตคริติคอล - ส่วนปาก	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010446	4	6	6	1004	4100032;3000003	1;15000			104	7:goods_icon_4010446	7:goods_icon_4010446	1	1			暴击套-爪饰	爆擊套-爪飾	Critical Set - Claws	会心装飾・爪	크리티컬 세트 - 장갑	เซ็ตคริติคอล - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010451	5	1	1	1005	4100032;3000003	1;20000			104	7:goods_icon_4010451	7:goods_icon_4010451	1	1			暴击套-头饰	爆擊套-頭飾	Critical Set - Headpiece	会心装飾・頭部	크리티컬 세트 - 머리 장식	เซ็ตคริติคอล - ประดับหัว	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010452	5	2	2	1005	4100032;3000003	1;20000			104	7:goods_icon_4010452	7:goods_icon_4010452	1	1			暴击套-耳饰	爆擊套-耳飾	Critical Set - Earrings	会心装飾・耳	크리티컬 세트 - 귀 장식	เซ็ตคริติคอล - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010453	5	3	3	1005	4100032;3000003	1;20000			104	7:goods_icon_4010453	7:goods_icon_4010453	1	1			暴击套-颈环	爆擊套-頸環	Critical Set - Necklace	会心装飾・首	크리티컬 세트 - 목걸이	เซ็ตคริติคอล - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010454	5	4	4	1005	4100032;3000003	1;20000			104	7:goods_icon_4010454	7:goods_icon_4010454	1	1			暴击套-尾饰	爆擊套-尾飾	Critical Set - Tailpiece	会心装飾・尻尾	크리티컬 세트 - 꼬리 장식	เซ็ต​ค​ริ​ติ​คอ​ล​ -​ ประดับ​หาง​	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010455	5	5	5	1005	4100032;3000003	1;20000			104	7:goods_icon_4010455	7:goods_icon_4010455	1	1			暴击套-嘴套	爆擊套-嘴套	Critical Set - Mouthpiece	会心装飾・顔	크리티컬 세트 - 마스크	เซ็ตคริติคอล - ส่วนปาก	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010456	5	6	6	1005	4100032;3000003	1;20000			104	7:goods_icon_4010456	7:goods_icon_4010456	1	1			暴击套-爪饰	爆擊套-爪飾	Critical Set - Claws	会心装飾・爪	크리티컬 세트 - 장갑	เซ็ตคริติคอล - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010461	6	1	1	1006	4100032;3000003	1;20000			104	7:goods_icon_4010461	7:goods_icon_4010461	1	1			暴击套-头饰	爆擊套-頭飾	Critical Set - Headpiece	会心装飾・頭部	크리티컬 세트 - 머리 장식	เซ็ตคริติคอล - ประดับหัว	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010462	6	2	2	1006	4100032;3000003	1;20000			104	7:goods_icon_4010462	7:goods_icon_4010462	1	1			暴击套-耳饰	爆擊套-耳飾	Critical Set - Earrings	会心装飾・耳	크리티컬 세트 - 귀 장식	เซ็ตคริติคอล - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010463	6	3	3	1006	4100032;3000003	1;20000			104	7:goods_icon_4010463	7:goods_icon_4010463	1	1			暴击套-颈环	爆擊套-頸環	Critical Set - Necklace	会心装飾・首	크리티컬 세트 - 목걸이	เซ็ตคริติคอล - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010464	6	4	4	1006	4100032;3000003	1;20000			104	7:goods_icon_4010464	7:goods_icon_4010464	1	1			暴击套-尾饰	爆擊套-尾飾	Critical Set - Tailpiece	会心装飾・尻尾	크리티컬 세트 - 꼬리 장식	เซ็ต​ค​ริ​ติ​คอ​ล​ -​ ประดับ​หาง​	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010465	6	5	5	1006	4100032;3000003	1;20000			104	7:goods_icon_4010465	7:goods_icon_4010465	1	1			暴击套-嘴套	爆擊套-嘴套	Critical Set - Mouthpiece	会心装飾・顔	크리티컬 세트 - 마스크	เซ็ตคริติคอล - ส่วนปาก	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010466	6	6	6	1006	4100032;3000003	1;20000			104	7:goods_icon_4010466	7:goods_icon_4010466	1	1			暴击套-爪饰	爆擊套-爪飾	Critical Set - Claws	会心装飾・爪	크리티컬 세트 - 장갑	เซ็ตคริติคอล - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010611	1	1	1	1001	4100032;3000003	1;2000			106	7:goods_icon_4010611	7:goods_icon_4010611	1	1			暴伤套-头饰	爆傷套-頭飾	CRIT DMG Set - Headpiece	会心ダメージ装飾・頭部	크리티컬 대미지 세트-머리 장식	เซ็ต​ดา​เม​จค​ริ​ -​ ประดับ​หัว​	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010612	1	2	2	1001	4100032;3000003	1;2000			106	7:goods_icon_4010612	7:goods_icon_4010612	1	1			暴伤套-耳饰	爆傷套-耳飾	CRIT DMG Set - Earrings	会心ダメージ装飾・耳	크리티컬 대미지 세트-귀 장식	เซ็ตดาเมจคริ - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010613	1	3	3	1001	4100032;3000003	1;2000			106	7:goods_icon_4010613	7:goods_icon_4010613	1	1			暴伤套-颈环	爆傷套-頸環	CRIT DMG Set - Necklace	会心ダメージ装飾・首	크리티컬 대미지 세트-목걸이	เซ็ตดาเมจคริ - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010614	1	4	4	1001	4100032;3000003	1;2000			106	7:goods_icon_4010614	7:goods_icon_4010614	1	1			暴伤套-尾饰	爆傷套-尾飾	CRIT DMG Set - Tailpiece	会心ダメージ装飾・尻尾	크리티컬 대미지 세트-꼬리 장식	เซ็ต​ดา​เม​จค​ริ​ -​ ประดับ​หาง​	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010615	1	5	5	1001	4100032;3000003	1;2000			106	7:goods_icon_4010615	7:goods_icon_4010615	1	1			暴伤套-嘴套	爆傷套-嘴套	CRIT DMG Set - Mouthpiece	会心ダメージ装飾・顔	크리티컬 대미지 세트-마스크	เซ็ต​ดา​เม​จค​ริ​ -​ ส่วน​ปาก​	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010616	1	6	6	1001	4100032;3000003	1;2000			106	7:goods_icon_4010616	7:goods_icon_4010616	1	1			暴伤套-爪饰	爆傷套-爪飾	CRIT DMG Set - Claws	会心ダメージ装飾・爪	크리티컬 대미지 세트-장갑	เซ็ตดาเมจคริ - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010621	2	1	1	1002	4100032;3000003	1;5000			106	7:goods_icon_4010621	7:goods_icon_4010621	1	1			暴伤套-头饰	爆傷套-頭飾	CRIT DMG Set - Headpiece	会心ダメージ装飾・頭部	크리티컬 대미지 세트-머리 장식	เซ็ต​ดา​เม​จค​ริ​ -​ ประดับ​หัว​	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010622	2	2	2	1002	4100032;3000003	1;5000			106	7:goods_icon_4010622	7:goods_icon_4010622	1	1			暴伤套-耳饰	爆傷套-耳飾	CRIT DMG Set - Earrings	会心ダメージ装飾・耳	크리티컬 대미지 세트-귀 장식	เซ็ตดาเมจคริ - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010623	2	3	3	1002	4100032;3000003	1;5000			106	7:goods_icon_4010623	7:goods_icon_4010623	1	1			暴伤套-颈环	爆傷套-頸環	CRIT DMG Set - Necklace	会心ダメージ装飾・首	크리티컬 대미지 세트-목걸이	เซ็ตดาเมจคริ - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010624	2	4	4	1002	4100032;3000003	1;5000			106	7:goods_icon_4010624	7:goods_icon_4010624	1	1			暴伤套-尾饰	爆傷套-尾飾	CRIT DMG Set - Tailpiece	会心ダメージ装飾・尻尾	크리티컬 대미지 세트-꼬리 장식	เซ็ต​ดา​เม​จค​ริ​ -​ ประดับ​หาง​	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010625	2	5	5	1002	4100032;3000003	1;5000			106	7:goods_icon_4010625	7:goods_icon_4010625	1	1			暴伤套-嘴套	爆傷套-嘴套	CRIT DMG Set - Mouthpiece	会心ダメージ装飾・顔	크리티컬 대미지 세트-마스크	เซ็ต​ดา​เม​จค​ริ​ -​ ส่วน​ปาก​	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010626	2	6	6	1002	4100032;3000003	1;5000			106	7:goods_icon_4010626	7:goods_icon_4010626	1	1			暴伤套-爪饰	爆傷套-爪飾	CRIT DMG Set - Claws	会心ダメージ装飾・爪	크리티컬 대미지 세트-장갑	เซ็ตดาเมจคริ - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010631	3	1	1	1003	4100032;3000003	1;10000			106	7:goods_icon_4010631	7:goods_icon_4010631	1	1			暴伤套-头饰	爆傷套-頭飾	CRIT DMG Set - Headpiece	会心ダメージ装飾・頭部	크리티컬 대미지 세트-머리 장식	เซ็ต​ดา​เม​จค​ริ​ -​ ประดับ​หัว​	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010632	3	2	2	1003	4100032;3000003	1;10000			106	7:goods_icon_4010632	7:goods_icon_4010632	1	1			暴伤套-耳饰	爆傷套-耳飾	CRIT DMG Set - Earrings	会心ダメージ装飾・耳	크리티컬 대미지 세트-귀 장식	เซ็ตดาเมจคริ - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010633	3	3	3	1003	4100032;3000003	1;10000			106	7:goods_icon_4010633	7:goods_icon_4010633	1	1			暴伤套-颈环	爆傷套-頸環	CRIT DMG Set - Necklace	会心ダメージ装飾・首	크리티컬 대미지 세트-목걸이	เซ็ตดาเมจคริ - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010634	3	4	4	1003	4100032;3000003	1;10000			106	7:goods_icon_4010634	7:goods_icon_4010634	1	1			暴伤套-尾饰	爆傷套-尾飾	CRIT DMG Set - Tailpiece	会心ダメージ装飾・尻尾	크리티컬 대미지 세트-꼬리 장식	เซ็ต​ดา​เม​จค​ริ​ -​ ประดับ​หาง​	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010635	3	5	5	1003	4100032;3000003	1;10000			106	7:goods_icon_4010635	7:goods_icon_4010635	1	1			暴伤套-嘴套	爆傷套-嘴套	CRIT DMG Set - Mouthpiece	会心ダメージ装飾・顔	크리티컬 대미지 세트-마스크	เซ็ต​ดา​เม​จค​ริ​ -​ ส่วน​ปาก​	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010636	3	6	6	1003	4100032;3000003	1;10000			106	7:goods_icon_4010636	7:goods_icon_4010636	1	1			暴伤套-爪饰	爆傷套-爪飾	CRIT DMG Set - Claws	会心ダメージ装飾・爪	크리티컬 대미지 세트-장갑	เซ็ตดาเมจคริ - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010641	4	1	1	1004	4100032;3000003	1;15000			106	7:goods_icon_4010641	7:goods_icon_4010641	1	1			暴伤套-头饰	爆傷套-頭飾	CRIT DMG Set - Headpiece	会心ダメージ装飾・頭部	크리티컬 대미지 세트-머리 장식	เซ็ต​ดา​เม​จค​ริ​ -​ ประดับ​หัว​	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010642	4	2	2	1004	4100032;3000003	1;15000			106	7:goods_icon_4010642	7:goods_icon_4010642	1	1			暴伤套-耳饰	爆傷套-耳飾	CRIT DMG Set - Earrings	会心ダメージ装飾・耳	크리티컬 대미지 세트-귀 장식	เซ็ตดาเมจคริ - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010643	4	3	3	1004	4100032;3000003	1;15000			106	7:goods_icon_4010643	7:goods_icon_4010643	1	1			暴伤套-颈环	爆傷套-頸環	CRIT DMG Set - Necklace	会心ダメージ装飾・首	크리티컬 대미지 세트-목걸이	เซ็ตดาเมจคริ - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010644	4	4	4	1004	4100032;3000003	1;15000			106	7:goods_icon_4010644	7:goods_icon_4010644	1	1			暴伤套-尾饰	爆傷套-尾飾	CRIT DMG Set - Tailpiece	会心ダメージ装飾・尻尾	크리티컬 대미지 세트-꼬리 장식	เซ็ต​ดา​เม​จค​ริ​ -​ ประดับ​หาง​	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
4010645	4	5	5	1004	4100032;3000003	1;15000			106	7:goods_icon_4010645	7:goods_icon_4010645	1	1			暴伤套-嘴套	爆傷套-嘴套	CRIT DMG Set - Mouthpiece	会心ダメージ装飾・顔	크리티컬 대미지 세트-마스크	เซ็ต​ดา​เม​จค​ริ​ -​ ส่วน​ปาก​	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010646	4	6	6	1004	4100032;3000003	1;15000			106	7:goods_icon_4010646	7:goods_icon_4010646	1	1			暴伤套-爪饰	爆傷套-爪飾	CRIT DMG Set - Claws	会心ダメージ装飾・爪	크리티컬 대미지 세트-장갑	เซ็ตดาเมจคริ - กรงเล็บ	主属性为攻击	主屬性為攻擊	Primary Stat: ATK	メインステータス:攻撃力	메인 속성은 공격	คุณสมบัติหลักคือโจมตี
4010651	5	1	1	1005	4100032;3000003	1;20000			106	7:goods_icon_4010651	7:goods_icon_4010651	1	1			暴伤套-头饰	爆傷套-頭飾	CRIT DMG Set - Headpiece	会心ダメージ装飾・頭部	크리티컬 대미지 세트-머리 장식	เซ็ต​ดา​เม​จค​ริ​ -​ ประดับ​หัว​	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010652	5	2	2	1005	4100032;3000003	1;20000			106	7:goods_icon_4010652	7:goods_icon_4010652	1	1			暴伤套-耳饰	爆傷套-耳飾	CRIT DMG Set - Earrings	会心ダメージ装飾・耳	크리티컬 대미지 세트-귀 장식	เซ็ตดาเมจคริ - ต่างหู	主属性为生命	主屬性為生命	Primary Stat: HP	メインステータス:最大HP	메인 속성은 HP	คุณสมบัติหลักคือ HP
4010653	5	3	3	1005	4100032;3000003	1;20000			106	7:goods_icon_4010653	7:goods_icon_4010653	1	1			暴伤套-颈环	爆傷套-頸環	CRIT DMG Set - Necklace	会心ダメージ装飾・首	크리티컬 대미지 세트-목걸이	เซ็ตดาเมจคริ - ปลอกคอ	主属性为防御	主屬性為防禦	Primary Stat: DEF	メインステータス:防御力	메인 속성은 방어	คุณสมบัติหลักคือป้องกัน
