id	level	star	quality	upgradeItem	upgradeNum	upstarItem	upstarNum	successChance	recycleItem	recycleItemNum	SuperSuccessExtraItem	SuperSuccessExtraChance	SuperSuccessExtraNum	BigSuccessExtraItem	BigSuccessExtraChance	BigSuccessExtraNum	status
522	2	2	5	4100011	15			100;900;9000	4100011;4100011;4100011	330;220;110							1
523	3	2	5	4100011	15			100;900;9000	4100011;4100011;4100011	375;250;125							1
524	4	2	5	4100011	15			100;900;9000	4100011;4100011;4100011	420;280;140							1
525	5	2	5	4100011	15			100;900;9000	4100011;4100011;4100011	465;310;155							1
530	0	3	5			4100025;3000003	1;200000	100;900;9000	4100011;4100011;4100011	465;310;155							1
531	1	3	5	4100011	20			100;900;9000	4100011;4100011;4100011	525;350;175							1
532	2	3	5	4100011	20			100;900;9000	4100011;4100011;4100011	585;390;195							1
533	3	3	5	4100011	20			100;900;9000	4100011;4100011;4100011	645;430;215							1
534	4	3	5	4100011	20			100;900;9000	4100011;4100011;4100011	705;470;235							1
535	5	3	5	4100011	20			100;900;9000	4100011;4100011;4100011	765;510;255							1
540	0	4	5			4100025;3000003	1;200000	100;900;9000	4100011;4100011;4100011	765;510;255							1
541	1	4	5	4100011	25			100;900;9000	4100011;4100011;4100011	840;560;280							1
542	2	4	5	4100011	25			100;900;9000	4100011;4100011;4100011	915;610;305							1
543	3	4	5	4100011	25			100;900;9000	4100011;4100011;4100011	990;660;330							1
544	4	4	5	4100011	25			100;900;9000	4100011;4100011;4100011	1065;710;355							1
545	5	4	5	4100011	25			100;900;9000	4100011;4100011;4100011	1140;760;380							1
550	0	5	5			4100025;3000003	1;200000	100;900;9000	4100011;4100011;4100011	1140;760;380							1
551	1	5	5	4100011	30			100;900;9000	4100011;4100011;4100011	1230;820;410							1
552	2	5	5	4100011	30			100;900;9000	4100011;4100011;4100011	1320;880;440							1
553	3	5	5	4100011	30			100;900;9000	4100011;4100011;4100011	1410;940;470							1
554	4	5	5	4100011	30			100;900;9000	4100011;4100011;4100011	1500;1000;500							1
555	5	5	5	4100011	30			100;900;9000	4100011;4100011;4100011	1590;1060;530							1
556	0	6	5			4100036;3000003	5;1000000	100;900;9000	4100036|4100011;4100036|4100011;4100036|4100011	5|1500;5|1060;5|530							1
557	0	7	5			4100036	1	100;900;9000	4100036|4100011;4100036|4100011;4100036|4100011	6|1500;6|1060;6|530							1
558	0	8	5			4100036	1	100;900;9000	4100036|4100011;4100036|4100011;4100036|4100011	7|1500;7|1060;7|530							1
559	0	9	5			4100036	1	100;900;9000	4100036|4100011;4100036|4100011;4100036|4100011	8|1500;8|1060;8|530							1
560	0	10	5			4100036	1	100;900;9000	4100036|4100011;4100036|4100011;4100036|4100011	9|1500;9|1060;9|530							1
561	0	11	5			4100036	1	100;900;9000	4100036|4100011;4100036|4100011;4100036|4100011	10|1500;10|1060;10|530							1
