id	StoryId	status	PlayerName	PlayerName_zh_TW	PlayerName_en_UK	PlayerName_ja_JP	PlayerName_ko_KR	PlayerName_th_TH	Content	Content_zh_TW	Content_en_UK	Content_ja_JP	Content_ko_KR	Content_th_TH
110	1002	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	娜卡？！我没想到你真人和特莉丝那么像……	娜卡？！我沒想到你真人和特莉絲那麼像……	Naka?! I didn't expect you to bear such a striking resemblance to Triss in person...	ナカ？！こんなにトリスに似ているとは……	나카?! 트리스랑 쏙 빼닮았는데...	นา​กะ​?!​ ฉัน​ไม่​คิด​เลย​ว่า​ตัวจริง​ของ​เธอ​จะ​เหมือนกับ​ท​ริ​ส​ขนาด​นี้​...​
111	1002	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	……看来你没看过新海市建立者的画像，或者曾经看过此刻却遗忘了。	……看來你沒看過新海市建立者的畫像，或者曾經看過此刻卻遺忘了。	...It seems you haven't come across a portrait of the founder of Catto City, or perhaps you've seen it before but forgotten.	……新海市の創設者の肖像画を見たことがないな。あるいは一度は見たが今は忘れてしまったようだ。	...너 뉴오션 시티 창립자 초상화를 본 적이 없구나. 아니면 너무 오래 전에 봤거나.	...​ดูท่า​เธอ​จะ​ยัง​ไม่​เคย​เห็นภาพ​ของ​ผู้ก่อตั้ง​แค​ทโตะ​ ซิตี้​ หรือไม่​ก็​เคย​เห็น​มา​แล้วแต่​ตอนนี้​กลับ​ลืม​ไป​แล้ว​
112	1002	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	我曾答应过你，会尽我所能地为你提供帮助。	我曾答應過你，會盡我所能地為你提供幫助。	I made a promise to provide you with my utmost assistance.	できる限りのことをすると、約束したでしょう。	예전에 말했을 거야. 최대한 도와주겠다고.	ฉัน​เคย​สัญญา​กับ​เธอ​ ว่า​จะ​พยายาม​ให้​ความช่วยเหลือ​เธอ​เท่าที่​ฉัน​จะ​สามารถ​ทำได้​
113	1002	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	梦境是深层意识的延伸，通过意识相接……我得以用部分力量影响梦境。	夢境是深層意識的延伸，通過意識相接……我得以用部分力量影響夢境。	Dreams are an extension of the subconscious, intricately linked to our consciousness... I possess the ability to influence dreams to some extent.	夢はより深い意識の延長であり、意識を通してつながっている……私は力の一部で夢に影響を与えることができた。	꿈은 심층의식의 연장이야. 의식이 이어지면... 내가 힘의 일부를 써서 꿈결에 간섭해 볼게.	แดน​ฝัน​เป็นการ​ขยาย​ของ​จิตสำนึก​ใน​ชั้น​ลึก​ ผ่าน​การ​เชื่อมต่อ​ของ​จิตสำนึก​...​ ฉัน​สามารถ​ใช้​พลัง​บางส่วน​เพื่อ​ทำ​บางสิ่ง​ให้​ส่ง​อิทธิพล​ต่อ​ความฝัน​ได้​
114	1002	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	但你的梦境暂时无法承载过多力量，我现在借用的是原本就存在于你意识中的拟像。	但你的夢境暫時無法承載過多力量，我現在借用的是原本就存在於你意識中的擬像。	However, your dreams are currently unable to withstand excessive power. What I'm utilizing now is an image already present in your consciousness.	しかし、あなたの夢は今、あまり大きな力を持ち続けることができない。だから私はあなたの意識の中にもともと存在していたイメージを借りている。	하지만 지금은 네 꿈이 힘을 버틸 수 없어. 지금 내가 빌려 쓰고 있는 건 네 의식 속 환상이거든.	แต่​ความฝัน​ของ​เธอ​ใน​ขณะนี้​ไม่​สามารถ​รองรับ​พลัง​ที่​มากเกินไป​ได้​ ฉัน​กำลัง​ยืม​ภาพลวงตา​ที่​มี​อยู่แล้ว​ใน​จิตสำนึก​ของ​เธอ​มา​ใช้​
115	1002	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	那……为什么是特莉丝？	那……為什麼是特莉絲？	Then... why is it Triss?	じゃあ……なぜトリスなのか？	그럼...왜 트리스야?	งั้น​...​ทำไม​ถึง​เป็น​ท​ริ​ส​ล่ะ​?​
116	1002	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	梦境的逻辑光怪陆离，但也有其相关性。	夢境的邏輯光怪陸離，但也有其相關性。	Dreams have weird logic but have their own way of connecting things.	夢の論理は軽くて奇妙だが、相関関係はある。	꿈결의 논리는 기괴하지만, 분명 연관성도 있어.	ตรรกะ​ของ​แดน​ฝัน​นั้น​แปลกประหลาด​ แต่​ก็​ยังมี​ความเกี่ยวข้องกัน​อยู่​
117	1002	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	那个，我其实……现在的大脑不算清醒……	那個，我其實……現在的大腦不算清醒……	Well, actually... my brain's not clear right now...	その、実は……今はあまり調子が良くないんだ……	그, 나는...... 윽... 머릿속이 흐릿해......	คือ​ว่า​...​ ที่จริง​ฉัน​...​ ตอนนี้​ใน​หัว​ของ​ฉัน​ก็​ยัง​เบลอ​ๆ​ อยู่​...​
118	1002	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	……简单来说，在你的潜意识中，特莉丝有某种特殊之处。或许是羁绊，或许是别的什么。	……簡單來說，在你的潛意識中，特莉絲有某種特殊之處。或許是羈絆，或許是別的什麼。	...Simply put, Triss holds some special place in your subconscious. Maybe there's a special bond between you, or something else.	……簡単に言えば、あなたの潜在意識の中にトリスに関する特別な何かがある。それは絆かもしれないし、他の何かかもしれない。	......간단히 말해서, 네 잠재의식 중에는 트리스라는 사람이 뭔가 특별한 거야. 속박이거나, 아니면 다른 무언가겠지.	...​พูด​ง่ายๆ​ก็​คือ​ ใน​จิตใต้สำนึก​ของ​คุณ​ ท​ริ​สมี​บางสิ่ง​ที่​พิเศษ​ อาจจะ​เป็น​พันธะ​ หรือ​อาจจะ​เป็น​สิ่ง​อื่น​
119	1002	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	你的意思是，你也不清楚其中的缘由？	你的意思是，你也不清楚其中的緣由？	You mean, you don't know why either?	あなたも、その理由を知らないっていうのか？	그러니까 네 말은, 너도 잘 모르겠다는 거고?	คุณ​หมายความว่า​ คุณ​ก็​ไม่​รู้​เหตุผล​ของ​มัน​งั้น​เหรอ​?​
120	1002	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	咳。意识相接并不代表渗透。我无法窥探到你的深层意识，一切需要你自己向更深处探索……	咳。意識相接並不代表滲透。我無法窺探到你的深層意識，一切需要你自己向更深處探索……	Ahem. Linking consciousness doesn't mean reading it. I can't see into your deep subconscious, so you'll have to explore it yourself...	エヘン。意識がつながったといって、侵入することはできない。あなたのより深い意識を覗き見ることはできない。すべては自分でより探求する必要がある……	하아. 의식이 연결된다는 게 완벽한 동기화를 말하는 건 아니야. 나라고 해서 네 심층의식을 엿볼 수는 없어. 네 스스로 더 깊은 곳을 향해 찾아가야 해...	อืม​ การ​เชื่อมต่อ​จิตสำนึก​ไม่​ได้​หมายความว่า​เป็นการ​แทรกซึม​ ฉัน​ไม่​สามารถ​มอง​ลึก​เข้าไป​ใน​จิตใต้สำนึก​ของ​เธอ​ได้​ ทุกอย่าง​ต้อง​ให้​เธอ​สำรวจ​ด้วยตัวเอง​...​
121	1003	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	还以为用猫咪的形态行动会遇到不少困难，没想到这里的电力设施安装得很低。	還以為用貓咪的形態行動會遇到不少困難，沒想到這裡的電力設施安裝得很低。	I figured moving as a cat would be hard, but the electrical installations here are quite low, perfect for a cat's size.	猫の姿で行動するのはかなり大変だと思ったが、ここの電気設備が低い位置に設置されているようだ。	고양이 형태로 움직이면 더 힘들 줄 알았는데. 여기 전력시설들은 꽤 낮게 지어졌네.	ก็​นึก​ว่า​พอใช้​รูปร่าง​ของ​แมว​ใน​การเคลื่อนไหว​แล้​วจะ​เจอ​อุปสรรค​เยอะ​ แต่​ไม่​คิด​เลย​ว่า​อุปกรณ์ไฟฟ้า​ที่นี่​ติดตั้ง​ไว้​ต่ำ​มาก​
122	1003	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	这就是，适猫化？	這就是，適貓化？	Is this what they call cat-friendly?	これは……猫化？	이게 바로, 냥적화?	นี่​คือ​ ปรับ​ให้​เหมาะกับ​ร่าง​แมว​?​
123	1003	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	不过这里看起来是仓库？荒废了很久的样子，没想到电力系统还在运行啊……	不過這裡看起來是倉庫？荒廢了很久的樣子，沒想到電力系統還在運行啊……	This place looks like a warehouse though? It appears to have been abandoned for quite some time, yet the power system still functions...	ここは倉庫のようだな？長い間放置されていたんようけど、まだ電力システムが動いていたとは……	그런데 여기, 창고인 것 같은데? 엄청 오랫동안 쓰이질 않은 것 같은데도 전력 시스템은 돌아가고 있네...	แต่​ที่นี่​ก็​ดูเหมือน​โกดัง​สินค้า​อยู่​นะ​?​ เหมือนว่า​จะ​ถูก​ทิ้ง​ร้าง​มา​นาน​ แต่​ไม่​คิด​เลย​ว่า​ระบบ​ไฟฟ้า​ยัง​ทำงาน​อยู่​...​
124	1003	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	梦境中发生什么都不奇怪。	夢境中發生什麼都不奇怪。	Anything can occur within dreams.	夢の世界で何が起きても不思議ではない。	꿈 속에선 뭐가 일어나도 이상하지 않아.	ใน​ความฝัน​อะไร​ก็​เกิดขึ้น​ได้​ทั้งนั้น​
125	1003	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	说起来，你记得这是哪里吗？	說起來，你記得這是哪裡嗎？	By the way, do you happen to remember where we are?	そういえば、ここがどこか覚えている？	그러고 보니, 넌 여기가 어딘지 기억나?	จะ​ว่า​ไป​ เธอ​จำได้​ไหม​ว่า​นี่​มัน​ที่ไหน​?​
126	1003	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	到目前为止，我对这个地方还是很陌生。	到目前為止，我對這個地方還是很陌生。	I am still relatively unfamiliar with this location thus far.	今のところ、まだここには慣れていない。	아직까진 잘 모르겠어.	จนถึง​ตอนนี้​ ฉัน​ยัง​ไม่​คุ้นเคย​กับ​ที่นี่​เลย​
127	1003	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	……这样啊。	……這樣啊。	...I see.	……そうか。	......그렇구나.	...งี้นี่เอง
128	1004	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	……唔！	……嗯！	...Ugh!	……ぐぅ！	......윽!	...หืม!
129	1004	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	刚刚那是……？	剛剛那是……？	What was that just now...?	今のは……？	방금 그건......?	เมื่อกี้มัน...?
130	1004	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	徘徊在梦境中的情绪碎片。	徘徊在夢境中的情緒碎片。	Pathos Shards drifting in the dream.	夢の世界をさまようエモーションのかけら。	꿈에서 배회하고 있는 이모션 조각이야.	ชิ้นส่วน​พา​โธส​ที่​ล่องลอย​อยู่​ใน​ความฝัน​
131	1004	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	情绪碎片？	情緒碎片？	Pathos Shards?	エモーションのかけら？	이모션 조각?	ชิ้นส่วนพาโธส?
132	1004	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	在清醒时，被你无意或刻意忽视的情绪并不会无故消失。	在清醒時，被你無意或刻意忽視的情緒並不會無故消失。	While you're awake, the emotions you unintentionally or deliberately ignore don't just vanish.	起きている間に無意識に、あるいは意図的に無視した感情は、理由もなく消えることはない。	깨어날 때, 무의식적이든 아니든 무시당한 이모션이 사라지지는 않아.	ในขณะที่​ตื่นตัว​ พา​โธส​ที่​เธอ​เพิกเฉย​โดยไม่ตั้งใจ​หรือ​โดยตั้งใจ​จะ​ไม่​หาย​ไป​โดย​ไม่​มีเหตุผล​
133	1004	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	它们在这里自由行动，可能随时在某些不一定合适的时机浮出脑海……	它們在這裡自由行動，可能隨時在某些不一定合適的時機浮出腦海……	They roam freely here and may resurface at certain, not necessarily opportune, moments...	ここでは自由に動き回り、いつもタイミングがいいとは限らないが、頭に浮かんでくるかもしれない……	그것들은 여기서 자유롭게 움직이지. 언제든지 아무때나 머릿속에서 흘러 넘칠 수 있어......	พวก​มัน​สามารถ​เคลื่อนไหว​ได้​อย่าง​อิสระ​ที่นี่​ และ​อาจ​โผล่​ขึ้น​มา​ใน​บาง​ช่วงเวลา​ที่​ไม่​แน่ใจ​ว่า​เหมาะสม​หรือไม่​...​
134	1004	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	干扰你的梦境，干扰你的情绪状态，甚至干扰你的思维逻辑……	干擾你的夢境，干擾你的情緒狀態，甚至干擾你的思維邏輯……	Disrupting your dreams, emotional state, and even logical thinking...	夢や感情、さらには思考に干渉する……	네 꿈결에 간섭하고, 너의 이모션에 간섭하고, 심지어 너의 사고회로에도 간섭하지......	มัน​รบกวน​แดน​ฝัน​ของ​เธอ​ รบกวน​สภาวะ​อารมณ์​ของ​เธอ​ แม้กระทั่ง​รบกวน​ตรรกะ​ความคิด​ของ​เธอ​...​
135	1004	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	或许现在将它们收集起来才是更好的选择。	或許現在將它們收集起來才是更好的選擇。	Maybe it's best to collect them right now.	おそらく、今集めた方がいいのかもしれない。	오히려 지금 저것들을 한 군데에 잘 모아두는 게 더 나을 수도 있어.	บางที​การ​รวบรวม​มัน​ไว้​ใน​ตอนนี้​อาจจะ​เป็น​ทางเลือก​ที่​ดีกว่า​
136	1004	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	所以，对它们不管不顾，未来的某个时间点我会突然发狂?	所以，對它們不管不顧，未來的某個時間點我會突然發狂?	So, I might go nuts someday if I don't deal with them—is that what you mean?	それらを無視すれば、いつか暴走してしまうのか？	그러니까, 저것들을 그냥 저렇게 두면, 언젠가 갑자기 내가 미쳐버릴 수도 있다, 이건가?	เพราะ​งั้น​ ถ้า​ปล่อยปละละเลย​พวก​มัน​ไป​ ในอนาคต​ฉัน​จะ​เกิด​บ้าคลั่ง​ขึ้น​มา​ใน​สักวันหนึ่ง​เหรอ​?​
137	1004	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	……没有那么严重。	……沒有那麼嚴重。	...It's not that extreme.	……それほど重くないよ。	......그 정도는 아니고.	...ไม่ถึงขนาดนั้นหรอก
138	1004	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	在我目光无法触及的地方，你的情绪或者说心理活动，应该很精彩吧……	在我目光無法觸及的地方，你的情緒或者說心理活動，應該很精彩吧……	In places beyond my sight, your emotions, or rather, your mental activities, must be quite vivid...	私の目が届かないところで、あなたの感情や精神的な活動が思ったより面白そう……	내 눈이 닿지 않는 곳의 네 이모션이나 심리활동은 꽤 멋있을 것 같은데......	ใน​ที่​ที่​สายตา​ของ​ฉัน​ไป​ไม่​ถึง​ ความรู้สึก​หรือ​พูดว่า​กิจกรรม​ทางจิตใจ​ของ​เธอ​ คงจะ​น่าสน​ใจมา​กสิ​นะ​...​
139	1005	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	这是……猫的爪印？	這是……貓的爪印？	Is this... a cat's paw print?	これは……猫の足跡？	이건... 고양이 발자국?	นี่มัน...รอยเท้าแมว?
140	1005	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	完美的两侧对称，是个很标准的猫爪印。	完美的兩側對稱，是個很標準的貓爪印。	Perfectly symmetrical, it's a textbook cat paw print.	完全に左右対称で、ごく標準的な猫の足跡だ。	완벽하게 좌우 대칭이네. 발자국의 표본이야.	เป็นความ​สมมาตร​ที่​สมบูรณ์แบบ​ทั้งสอง​ข้าง​ เป็น​รอยเท้า​แมว​ที่​ได้มาตรฐาน​มาก​
141	1005	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	……正常的猫咪，跳跃时整个猫掌着力点不同……	……正常的貓咪，跳躍時整個貓掌著力點不同……	...Normal cats apply pressure to different parts of their paws when they jump...	……普通の猫の場合、ジャンプするときの足全体の動きが違う……	......정상적인 야옹이라면 점프할 때 발바닥에 힘을 똑같이 주진 않지...	...​แมว​ทั่วไป​ เวลา​กระโดด​จะ​มี​จุด​ที่​เท้า​แมว​กด​ลง​ต่างกัน​...​
142	1005	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	怎么会留下如此规整的爪印？	怎麼會留下如此規整的爪印？	So how could there be such a symmetrical paw print?	どうしてあんなにきれいな足跡が残るのだろう？	어떻게 이렇게 예쁜 발자국이 남았지?	ทำไม​ถึง​มี​รอยเท้า​แมว​เหลือ​ทิ้ง​ไว้​เป็นระเบียบ​ขนาด​นี้​นะ​?​
143	1005	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	你也说了，前提是「正常的猫咪」。	你也說了，前提是「正常的貓咪」。	As you mentioned, the assumption is a "normal cat."	「普通の猫」だと言ったな。	너가 방금 말했잖아, 「정상적인 야옹이라면」.	เธอ​ก็​พูด​ออกมา​แล้ว​ไง​ เงื่อนไข​คือ​ต้อง​เป็น​ "​แมว​ทั่วไป​"​
144	1005	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	……	……	...	……	...	...
145	1006	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	……这里是梦境的边界。	……這裡是夢境的邊界。	...This is the edge of the dream.	……ココは夢の境。	......이곳은 꿈의 경계, 끝자락이야.	...​ที่นี่​คือ​ขอบเขต​ของ​ความฝัน​
146	1006	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	完整的我，正在被情绪污染……	完整的我，正在被情緒污染……	I, as a whole, am being influenced by Pathos...	完全な私が、エモーションに汚染されている……	완전한 나는 지금 이모션에 오염되어 있지......	ตัว​ฉัน​ที่​สมบูรณ์​ กำลัง​ถูก​พา​โธส​ปนเปื้อน​...​
147	1006	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	目前所呈现在你眼前的，是「我」能做到的最大努力。	目前所呈現在你眼前的，是「我」能做到的最大努力。	What you currently witness is the utmost effort that "I" can muster.	これまで見せたものは、「私」ができた最大限の努力だ。	지금 네 눈 앞에 나타난 것들은, 「내」가 만들어 낼 수 있는 최대한의 결과물이야.	สิ่ง​ที่​ปรากฏ​อยู่​ตรงหน้า​คุณ​ใน​ตอนนี้​ คือ​ความพยายาม​สูงสุด​ที่​ "​ฉัน​"​ จะ​ทำได้​
148	1006	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	操之过切容易造成梦境破碎，这不是我愿意看到的……	操之過切容易造成夢境破碎，這不是我願意看到的……	Rushing it might shatter your dream—that's not what I want.	急ぎすぎると夢が壊れてしまう。それは私が望むものではない……	너무 조급하면 꿈에서 깨기 쉬워. 그건 내가 바라는 게 아니고......	การกระทำ​ที่​มากเกินไป​อาจ​ทำให้​ความฝัน​แตกสลาย​ นี่​ไม่​ใช่​สิ่ง​ที่​ฉัน​อยาก​เห็น​...​
149	1006	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	等到能力提升之时，梦境或将能够承载更多的力量。	等到能力提升之時，夢境或將能夠承載更多的力量。	Once your strength grows, your dream might be able to bear more power.	強くなったら、夢はもっと大きな力を持つことができるかもしれない。	힘이 더 강해지면 꿈도 더 많은 힘을 버틸 수 있어.	รอ​ให้​พลัง​เพิ่มขึ้น​มากกว่า​นี้​ แดน​ฝัน​อาจจะ​สามารถ​รองรับ​พลัง​มากขึ้น​กว่า​นี้​ได้​
150	1006	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	随着探索深入，意识也将沉入更深层……到时会有更多线索浮现……	隨著探索深入，意識也將沉入更深層……到時會有更多線索浮現……	As you delve deeper, your consciousness will sink further... more clues will appear then...	探索が深まり、意識はより深く沈んでいく……そのとき、より多くの手がかりが浮かび上がってくるでしょう……	더 깊게 탐색해 들어갈수록, 의식도 더욱 깊은 곳으로 들어갈 수 있게 돼...... 때가 되면 더 많은 실마리가 나타날 거야......	เมื่อ​สำรวจ​ให้​ลึก​ขึ้น​ จิตสำนึก​ก็​จะ​จม​ลง​ไป​ใน​ชั้น​ที่​ลึก​ขึ้น​...​ ถึง​ตอนนั้น​ จะ​มี​เบาะแส​เพิ่มเติม​ปรากฏ​ขึ้น​มา​...​
151	1006	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	我相信你……	我相信你……	I believe in you...	信じている……	난 널 믿어......	ฉันเชื่อใจเธอ...
152	1006	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	……什么？	……什麼？	...What?	……何？	......뭐?	...อะไรนะ?
153	1006	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	耳边的声音不甚清晰。	耳邊的聲音不甚清晰。	The voice in my ear is faint.	耳に入ってくる声は鮮明ではなかった。	귓가에 들리던 목소리가 잘 들리지 않는다.	เสียง​ที่​ข้าง​หู​ไม่ค่อย​ชัดเจน​
154	1006	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	你不……一个人……我也会……	你不……一個人……我也會……	You're not... alone... I will also...	一人じゃ……ない……私も……	너는...... 혼자...... 나도......	เธอ​ไม่​...​ เพียง​คนเดียว​...​ ฉัน​ก็​จะ​...​
155	1006	1	娜卡	娜卡	Naka	ナカ	나카	นากะ	……现在……请，真正地睡吧……	……現在……請，真正地睡吧……	...Now... please, get some real sleep...	……さぁ、今、本物の眠りに入りなさい……	......지금...... 부디, 진정한 잠을......	...​ตอนนี้​...​ ได้​โปรด​...​ นอนหลับ​อย่าง​แท้จริง​เถอะ​นะ​...​
156	1006	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	好像能感知到，温暖的力量在渐渐抽离。	好像能感知到，溫暖的力量在漸漸抽離。	I can feel the warm energy slowly receding.	温もりが遠ざかっていくような気がした。	따뜻한 힘이 점점 빠져나가는 것처럼 느껴졌다.	ราวกับว่า​ฉัน​สามารถ​รู้สึก​ได้​ ว่า​พลัง​อัน​อบอุ่น​กำลัง​ค่อยๆ​ ถอนตัว​ออก​ไป​
157	1006	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	挥之不去的混沌感再次包裹上来，整个人好似坠入深海，连睁开眼睛都宛如奢想。	揮之不去的混沌感再次籠罩上來，整個人好似墜入深海，連睜開眼睛都宛如奢想。	The unshakable sense of chaos wraps around me again, making me feel like I'm sinking into the deep sea, and even opening my eyes seems impossible.	まるで深海に落ちていくように、混沌の余韻が再び包み込み、目を開けることさえ億劫になっていた。	떨쳐낼 수 없는 혼돈이 다시 나를 감싸 안아 심해로 떨어뜨리는 것과 같은 느낌에, 눈을 뜨는 것이 과분한 듯 느껴졌다.	ความรู้สึก​ที่​เต็มไปด้วย​ความยุ่งเหยิง​ที่​ไม่​สามารถ​ขับไล่​ได้​กลับมา​หุ้ม​ห่อ​อีกครั้ง​ ร่างกาย​ทั้งหมด​เหมือน​ตกลง​ไป​ใน​ทะเล​ลึก​ แม้แต่​การ​ลืมตา​ก็​ยัง​เป็น​เหมือน​ความปรารถนา​ที่​ห่างไกล​
158	1006	1	#playerName	#playerName	#playerName	#playerName	#playerName	#playerName	……该睡觉了。	……該睡覺了。	...Time to sleep.	……寝る時間だ。	......자야겠어.	...ควรจะนอนได้แล้ว
