id	activityId	questId	unlockTask	extraScore	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
2130302	3	12015032	0	10	1	领域结界	領域結界	Sanctum Field	結界領域	영역 결계	เขตแดนลี้ลับ
2130303	3	12015032	0	10	1	咒怨复苏	咒怨復蘇	Curse Reborn	蘇りし呪怨	저주의 부활	คำสาปอาฆาตคืนชีพ
2130401	3	12015033	0	10	1	无痕的池沼	無痕的池沼	Silent Mire	淵のない池沼	흔적 없는 늪	หนองน้ำร้าง
2130402	3	12015033	0	10	1	无形的魔物	無形的魔物	Invisible Fiend	形のない魔物	형체 없는 마물	ปีศาจไร้รูปร่าง
2130403	3	12015033	0	10	1	无心的人类	無心的人類	Heartless Human	心のない人間	무심한 인간	มนุษย์ผู้ไร้จิตใจ
2130501	3	12015034	0	10	1	凭吊者	憑弔者	Graveshade	弔う者	추모자	ผู้ไว้อาลัย
2130502	3	12015034	0	10	1	盗墓贼	盜墓賊	Tomb Raider	墓荒らし	도굴꾼	โจรปล้นสุสาน
2130503	3	12015034	0	10	1	活死人	活死人	Living Dead	生ける屍	산송장	คนตายคืนชีพ
2130601	3	12015035	0	10	1	笼中人	籠中人	Caged Soul	籠の中の人	감금된 자	คนในกรงขัง
2130602	3	12015035	0	10	1	玲珑局	玲瓏局	Intricate Gambit	玲瓏局	영롱한 국면	กลยุทธ์อัจฉริยะ
2130603	3	12015035	0	10	1	青灯游	青燈遊	Will-o'-the-Wisp	青灯遊	청등 유희	ดวงไฟสีมรกต
2130701	3	12015036	0	10	1	无声讯息	無聲訊息	Silent Message	無言のメッセージ	무성한 신호	ข้อความไร้เสียง
2130702	3	12015036	0	10	1	千变万化	千變萬化	Shapeshifter	千変万化	천변만화	พันแปรหมื่นผัน
2130703	3	12015036	0	10	1	幽灵集会	幽靈集會	Spectral Conclave	幽霊のお茶会	유령의 집회	ชุมนุมวิญญาณ
2130801	3	12015037	0	10	1	泣血之木	泣血之木	Weeping Bloodwood	泣血の木	피눈물 나무	ร่ำไห้เป็นสายเลือด
2130802	3	12015037	0	10	1	树下低语	樹下低語	Rootwhisper	樹下の囁き	나무 아래 속삭임	เสียงกระซิบใต้ร่มไม้
2130803	3	12015037	0	10	1	枯骨作枝	枯骨作枝	Bonebough	枯骨枝	말라붙은 뼈 가지	กิ่งก้านกระดูกแห้ง
