id	type	param	status
31103104	5	12150220	1
31103105	1	120151095	1
31103106	1	120151028	1
31103107	1	120151325	1
31103108	1	120151326	1
31103109	2	30003	1
31103110	2	30004	1
31103111	1	120151327	1
31103112	4	2	1
31103113	1	120151328	1
31103114	1	120151329	1
31103115	1	120151110	1
31103116	5	12150221	1
31103117	1	120151047	1
31103118	1	120151001	1
31103119	1	120151330	1
31103120	2	30006	1
31103121	1	120151145	1
31103122	1	120151163	1
31103123	6	3	1
31103124	3	6	1
31103125	1	120151017	1
31103126	1	120151004	1
31103127	1	120151079	1
31103128	1	120151331	1
31103129	1	120151050	1
31103130	1	120151115	1
31103131	1	120151031	1
31103132	1	120151332	1
31103133	4	1	1
31103134	1	120151073	1
31103135	5	12150220	1
31103136	6	3	1
31103137	3	6	1
31104101	1	120151200	1
31104102	1	120151333	1
31104103	1	120151334	1
31104104	1	120151335	1
31104105	1	120151336	1
31104106	1	120151001	1
31104107	1	120151163	1
31104108	1	120151145	1
31104109	6	3	1
31104110	1	120151337	1
31104111	1	120151338	1
31104112	1	120151339	1
31104113	1	120151200	1
31104114	1	120151010	1
31104115	5	12150230	1
31104116	5	12150231	1
31104117	1	120151340	1
31104118	1	120151073	1
31104119	1	120151341	1
31104120	1	120151203	1
31104121	1	120151028	1
31104122	1	120151001	1
31104123	3	6	1
31104124	1	120151342	1
31104125	1	120151203	1
31104126	1	120151200	1
31104127	1	120151004	1
31104128	1	120151007	1
31104129	1	120151343	1
31104130	1	120151344	1
31104131	1	120151345	1
31104132	1	120151346	1
31104133	1	120151347	1
31104134	1	120151203	1
31104135	1	120151348	1
31104136	3	6	1
31105101	1	120151074	1
31105102	1	120151119	1
31105103	1	120151146	1
31105104	1	120151001	1
31105105	1	120151020	1
31105106	1	120151200	1
31105107	5	12150241	1
31105108	1	120151073	1
31105109	1	120151046	1
31105110	1	120151111	1
31105111	1	120151234	1
31105112	1	120151033	1
31105113	1	120151236	1
31105114	1	120151237	1
31105115	1	120151020	1
31105116	1	120151074	1
31105117	1	120151203	1
31105118	1	120151011	1
31105119	1	120151110	1
31105120	5	12150241	1
31105121	1	120151011	1
31105122	1	120151008	1
31105123	2	30005	1
31105124	1	120151235	1
31105125	1	120151028	1
31105126	1	120151023	1
31105127	1	120151331	1
31105128	3	6	1
31105129	1	120151110	1
31105130	1	120151119	1
31105131	1	120151046	1
31105132	1	120151073	1
31105133	1	120151297	1
31105134	1	120151237	1
31105135	1	120151300	1
31105136	1	120151301	1
31105137	1	120151238	1
31106101	1	120151019	1
31106102	1	120151302	1
31106103	1	120151073	1
31106104	2	30007	1
31106105	2	30006	1
31106106	1	120151191	1
31106107	1	120151297	1
31106108	1	120151305	1
31106109	1	120151306	1
31106110	1	120151165	1
31106111	1	120151308	1
31106112	1	120151241	1
31106113	1	120151304	1
31106114	1	120151245	1
31106115	1	120151248	1
31106116	1	120151242	1
31106117	1	120151242	1
31106118	1	120151002	1
31106119	5	12150251	1
31106120	1	120151250	1
31106121	1	120151253	1
31106122	1	120151029	1
31106123	1	120151255	1
31106124	1	120151038	1
31106125	1	120151200	1
31106127	1	120151002	1
31106128	1	120151256	1
31106129	1	120151020	1
31106130	5	12150251	1
31106131	1	120151343	1
31106132	1	120151344	1
31106133	1	120151304	1
31106134	1	120151300	1
31106135	1	120151074	1
31106136	1	120151268	1
31106137	1	120151271	1
31106138	1	120151272	1
31107101	4	2	1
31107102	5	12150261	1
31107103	1	120151297	1
31107104	1	120151002	1
31107105	1	120151311	1
31107106	1	120151274	1
31107107	1	120151276	1
31107108	1	120151277	1
31107109	1	120151020	1
31107110	1	120151065	1
31107111	1	120151280	1
31107114	1	120151297	1
31107115	1	120151029	1
31107116	1	120151003	1
31107117	1	120151066	1
31107118	1	120151038	1
31107119	1	120151274	1
31107120	1	120151311	1
31107121	1	120151020	1
31107122	1	120151276	1
31107123	1	120151277	1
31107124	1	120151330	1
31107125	1	120151281	1
31107126	1	120151020	1
31107127	1	120151002	1
31107128	1	120151285	1
31107129	1	120151288	1
31107130	1	120151073	1
31107131	3	6	1
31107132	1	120151297	1
31107133	2	30005	1
31107134	1	120151360	1
31107135	1	120151291	1
31107136	1	120151355	1
31107137	5	12150261	1
31107138	1	120151295	1
31108101	1	120151020	1
31108102	1	120151349	1
31108103	1	120151001	1
31108104	1	120151350	1
31108105	1	120151351	1
31108106	5	12150271	1
31108107	5	12150272	1
31108108	1	120151019	1
31108109	1	120151352	1
31108110	1	120151353	1
31108111	1	120151354	1
31108112	1	120151355	1
31108113	1	120151110	1
31108114	1	120151001	1
31108115	1	120151073	1
31108116	1	120151010	1
31108117	4	2	1
31108118	1	120151092	1
31108119	5	12150272	1
31108120	1	120151074	1
31108121	1	120151083	1
31108122	1	120151203	1
31108123	3	6	1
31108124	1	120151001	1
31108125	1	120151356	1
31108126	1	120151357	1
31108127	1	120151020	1
31108128	1	120151200	1
31108129	1	120151358	1
31108130	1	120151359	1
31108131	1	120151019	1
31108132	3	6	1
31108133	4	2	1
31108134	5	12150271	1
31201101	1	120151001	1
31201102	1	120151028	1
31201103	1	120151010	1
31201104	1	120151073	1
31201105	1	120151046	1
31201106	1	120151055	1
31201107	1	120151064	1
31201108	1	120151037	1
31201109	1	120151190	1
31201110	1	120151181	1
31201111	1	120151202	1
31201112	1	120151199	1
31201113	1	120151020	1
31201114	1	120151002	1
31201115	1	120151029	1
31201116	1	120151011	1
31201117	1	120151074	1
31201118	1	120151002	1
31201119	4	1	1
31201120	1	120151020	1
31201121	4	2	1
31201122	5	12150200	1
31201123	1	120151016	1
31201124	1	120151025	1
31201125	1	120151205	1
31201126	1	120151007	1
31201127	1	120151206	1
31201128	1	120151207	1
31201129	5	12150201	1
31201130	1	120151208	1
31201131	1	120151209	1
31201132	1	120151210	1
31201133	1	120151211	1
31201134	1	120151212	1
31201135	5	12150202	1
31201136	1	120151001	1
31201137	1	120151019	1
31201138	1	120151224	1
31201139	1	120151225	1
31201140	1	120151226	1
31201141	1	120151227	1
31201142	1	120151228	1
31201143	1	120151229	1
31201144	1	120151230	1
31201145	1	120151231	1
31201146	1	120151232	1
31201147	1	120151233	1
31201148	4	1	1
31201149	4	2	1
31201150	1	120151110	1
31201151	1	120151119	1
31201152	1	120151146	1
31201153	1	120151137	1
31201154	2	30001	1
31201155	2	30002	1
31201156	2	30003	1
31201157	2	30004	1
31201158	6	3	1
31201159	1	120151010	1
31201160	3	10	1
31201161	1	120151360	1
31201162	1	120151361	1
31201163	1	120151362	1
31201164	1	120151363	1
31201165	1	120151364	1
31201166	1	120151092	1
31201167	3	9	1
31201168	3	8	1
31201169	3	7	1
31201170	1	120151365	1
31201171	1	120151002	1
31201172	1	120151065	1
31201173	1	120151020	1
31201174	1	120151366	1
31201175	1	120151367	1
31201176	1	120151368	1
31201177	6	2	1
31201178	7	16	1
31201179	5	12150203	1
31202101	1	120151001	1
31202102	1	120151010	1
31202103	1	120151314	1
31202104	1	120151073	1
31202105	1	120151028	1
31202106	1	120151001	1
31202107	1	120151315	1
31202108	1	120151316	1
31202109	1	120151011	1
31202110	3	6	1
31202111	1	120151074	1
31202112	1	120151317	1
31202113	1	120151318	1
31202114	1	120151001	1
31202115	1	120151203	1
31202116	1	120151029	1
31202117	1	120151191	1
31202118	1	120151182	1
31202119	1	120151319	1
31202120	4	2	1
31202121	1	120151011	1
31202122	1	120151074	1
31202123	5	12150210	1
31202124	5	12150211	1
31202125	3	6	1
31202126	1	120151001	1
31202127	5	12150210	1
31202128	5	12150211	1
31202129	1	120151011	1
31202130	1	120151320	1
31202131	1	120151321	1
31202132	1	120151322	1
31202133	1	120151002	1
31202134	1	120151029	1
31202135	3	6	1
31202136	2	30003	1
31202137	1	120151323	1
31202138	1	120151324	1
31203101	1	120151136	1
31203102	1	120151118	1
31203103	1	120151002	1
31203104	5	12150220	1
31203105	1	120151095	1
31203106	1	120151028	1
31203107	1	120151325	1
31203108	1	120151326	1
31203109	2	30003	1
31203110	2	30004	1
31203111	1	120151327	1
31203112	4	2	1
31203113	1	120151328	1
31203114	1	120151329	1
31203115	1	120151110	1
31203116	5	12150221	1
31203117	1	120151047	1
31203118	1	120151001	1
31203119	1	120151330	1
31203120	2	30006	1
31203121	1	120151145	1
31203122	1	120151163	1
31203123	6	3	1
31203124	3	6	1
31203125	1	120151017	1
31203126	1	120151004	1
31203127	1	120151079	1
31203128	1	120151331	1
31203129	1	120151050	1
31203130	1	120151115	1
31203131	1	120151031	1
31203132	1	120151332	1
31203133	4	1	1
31203134	1	120151073	1
31203135	5	12150220	1
31203136	6	3	1
31203137	3	6	1
31204101	1	120151200	1
31204102	1	120151333	1
31204103	1	120151334	1
31204104	1	120151335	1
31204105	1	120151336	1
31204106	1	120151001	1
31204107	1	120151163	1
31204108	1	120151145	1
31204109	6	3	1
31204110	1	120151337	1
31204111	1	120151338	1
31204112	1	120151339	1
31204113	1	120151200	1
31204114	1	120151010	1
31204115	5	12150230	1
31204116	5	12150231	1
31204117	1	120151340	1
31204118	1	120151073	1
31204119	1	120151341	1
31204120	1	120151203	1
31204121	1	120151028	1
31204122	1	120151001	1
31204123	3	6	1
31204124	1	120151342	1
31204125	1	120151203	1
31204126	1	120151200	1
31204127	1	120151004	1
31204128	1	120151007	1
31204129	1	120151343	1
31204130	1	120151344	1
31204131	1	120151345	1
31204132	1	120151346	1
31204133	1	120151347	1
31204134	1	120151203	1
31204135	1	120151348	1
31204136	3	6	1
31205101	1	120151074	1
31205102	1	120151119	1
31205103	1	120151146	1
31205104	1	120151001	1
31205105	1	120151020	1
31205106	1	120151200	1
31205107	5	12150241	1
31205108	1	120151073	1
31205109	1	120151046	1
31205110	1	120151111	1
31205111	1	120151234	1
31205112	1	120151033	1
31205113	1	120151236	1
31205114	1	120151237	1
31205115	1	120151020	1
31205116	1	120151074	1
31205117	1	120151203	1
31205118	1	120151011	1
31205119	1	120151110	1
31205120	5	12150241	1
31205121	1	120151011	1
31205122	1	120151008	1
31205123	2	30005	1
31205124	1	120151235	1
31205125	1	120151028	1
31205126	1	120151023	1
31205127	1	120151331	1
31205128	3	6	1
31205129	1	120151110	1
31205130	1	120151119	1
31205131	1	120151046	1
31205132	1	120151073	1
31205133	1	120151297	1
31205134	1	120151237	1
31205135	1	120151300	1
31205136	1	120151301	1
31205137	1	120151238	1
31206101	1	120151019	1
31206102	1	120151302	1
31206103	1	120151073	1
31206104	2	30007	1
31206105	2	30006	1
31206106	1	120151191	1
31206107	1	120151297	1
31206108	1	120151305	1
31206109	1	120151306	1
31206110	1	120151165	1
31206111	1	120151308	1
31206112	1	120151241	1
31206113	1	120151304	1
31206114	1	120151245	1
31206115	1	120151248	1
31206116	1	120151242	1
31206117	1	120151242	1
31206118	1	120151002	1
31206119	5	12150251	1
31206120	1	120151250	1
31206121	1	120151253	1
31206122	1	120151029	1
31206123	1	120151255	1
31206124	1	120151038	1
31206125	1	120151200	1
31206127	1	120151002	1
31206128	1	120151256	1
31206129	1	120151020	1
31206130	5	12150251	1
31206131	1	120151343	1
31206132	1	120151344	1
31206133	1	120151304	1
31206134	1	120151300	1
31206135	1	120151074	1
31206136	1	120151268	1
31206137	1	120151271	1
31206138	1	120151272	1
31207101	4	2	1
31207102	5	12150261	1
31207103	1	120151297	1
31207104	1	120151002	1
31207105	1	120151311	1
31207106	1	120151274	1
31207107	1	120151276	1
31207108	1	120151277	1
31207109	1	120151020	1
31207110	1	120151065	1
31207111	1	120151280	1
31207114	1	120151297	1
31207115	1	120151029	1
31207116	1	120151003	1
31207117	1	120151066	1
31207118	1	120151038	1
31207119	1	120151274	1
31207120	1	120151311	1
31207121	1	120151020	1
31207122	1	120151276	1
31207123	1	120151277	1
31207124	1	120151330	1
31207125	1	120151281	1
31207126	1	120151020	1
31207127	1	120151002	1
31207128	1	120151285	1
31207129	1	120151288	1
31207130	1	120151073	1
31207131	3	6	1
31207132	1	120151297	1
31207133	2	30005	1
31207134	1	120151360	1
31207135	1	120151291	1
31207136	1	120151355	1
31207137	5	12150261	1
31207138	1	120151295	1
31208101	1	120151020	1
31208102	1	120151349	1
31208103	1	120151001	1
31208104	1	120151350	1
31208105	1	120151351	1
31208106	5	12150271	1
31208107	5	12150272	1
31208108	1	120151019	1
31208109	1	120151352	1
31208110	1	120151353	1
31208111	1	120151354	1
31208112	1	120151355	1
31208113	1	120151110	1
31208114	1	120151001	1
31208115	1	120151073	1
31208116	1	120151010	1
31208117	4	2	1
31208118	1	120151092	1
31208119	5	12150272	1
31208120	1	120151074	1
31208121	1	120151083	1
31208122	1	120151203	1
31208123	3	6	1
31208124	1	120151001	1
31208125	1	120151356	1
31208126	1	120151357	1
31208127	1	120151020	1
31208128	1	120151200	1
31208129	1	120151358	1
31208130	1	120151359	1
31208131	1	120151019	1
31208132	3	6	1
31208133	4	2	1
31208134	5	12150271	1
31301101	1	120151001	1
31301102	1	120151028	1
31301103	1	120151010	1
31301104	1	120151073	1
31301105	1	120151046	1
31301106	1	120151055	1
31301107	1	120151064	1
31301108	1	120151037	1
31301109	1	120151190	1
31301110	1	120151181	1
31301111	1	120151202	1
31301112	1	120151199	1
31301113	1	120151020	1
31301114	1	120151002	1
31301115	1	120151029	1
31301116	1	120151011	1
31301117	1	120151074	1
31301118	1	120151002	1
31301119	4	1	1
31301120	1	120151020	1
31301121	4	2	1
31301122	5	12150300	1
31301123	1	120151016	1
31301124	1	120151025	1
31301125	1	120151205	1
31301126	1	120151007	1
31301127	1	120151206	1
31301128	1	120151207	1
31301129	5	12150301	1
31301130	1	120151208	1
31301131	1	120151209	1
31301132	1	120151210	1
31301133	1	120151211	1
31301134	1	120151212	1
31301135	5	12150302	1
31301136	1	120151001	1
31301137	1	120151019	1
31301138	1	120151224	1
31301139	1	120151225	1
31301140	1	120151226	1
31301141	1	120151227	1
31301142	1	120151228	1
31301143	1	120151229	1
31301144	1	120151230	1
31301145	1	120151231	1
31301146	1	120151232	1
31301147	1	120151233	1
31301148	4	1	1
31301149	4	2	1
31301150	1	120151110	1
31301151	1	120151119	1
31301152	1	120151146	1
31301153	1	120151137	1
31301154	2	30001	1
31301155	2	30002	1
31301156	2	30003	1
31301157	2	30004	1
31301158	6	3	1
31301159	1	120151010	1
31301160	3	10	1
31301161	1	120151360	1
31301162	1	120151361	1
31301163	1	120151362	1
31301164	1	120151363	1
31301165	1	120151364	1
31301166	1	120151092	1
31301167	3	9	1
31301168	3	8	1
31301169	3	7	1
31301170	1	120151365	1
31301171	1	120151002	1
31301172	1	120151065	1
31301173	1	120151020	1
31301174	1	120151366	1
31301175	1	120151367	1
31301176	1	120151368	1
31301177	6	2	1
31301178	7	16	1
31301179	5	12150303	1
31302101	1	120151001	1
31302102	1	120151010	1
31302103	1	120151314	1
31302104	1	120151073	1
31302105	1	120151028	1
31302106	1	120151001	1
31302107	1	120151315	1
31302108	1	120151316	1
31302109	1	120151011	1
31302110	3	6	1
31302111	1	120151074	1
31302112	1	120151317	1
31302113	1	120151318	1
31302114	1	120151001	1
31302115	1	120151203	1
31302116	1	120151029	1
31302117	1	120151191	1
31302118	1	120151182	1
31302119	1	120151319	1
31302120	4	2	1
31302121	1	120151011	1
31302122	1	120151074	1
31302123	5	12150310	1
31302124	5	12150311	1
31302125	3	6	1
31302126	1	120151001	1
31302127	5	12150310	1
31302128	5	12150311	1
31302129	1	120151011	1
31302130	1	120151320	1
31302131	1	120151321	1
31302132	1	120151322	1
31302133	1	120151002	1
31302134	1	120151029	1
31302135	3	6	1
31302136	2	30003	1
31302137	1	120151323	1
31302138	1	120151324	1
31303101	1	120151136	1
31303102	1	120151118	1
31303103	1	120151002	1
31303104	5	12150320	1
31303105	1	120151095	1
31303106	1	120151028	1
31303107	1	120151325	1
31303108	1	120151326	1
31303109	2	30003	1
31303110	2	30004	1
31303111	1	120151327	1
31303112	4	2	1
31303113	1	120151328	1
31303114	1	120151329	1
31303115	1	120151110	1
31303116	5	12150321	1
31303117	1	120151047	1
31303118	1	120151001	1
31303119	1	120151330	1
31303120	2	30006	1
31303121	1	120151145	1
31303122	1	120151163	1
31303123	6	3	1
31303124	3	6	1
31303125	1	120151017	1
31303126	1	120151004	1
31303127	1	120151079	1
31303128	1	120151331	1
31303129	1	120151050	1
31303130	1	120151115	1
31303131	1	120151031	1
31303132	1	120151332	1
31303133	4	1	1
31303134	1	120151073	1
31303135	5	12150320	1
31303136	6	3	1
31303137	3	6	1
31304101	1	120151200	1
31304102	1	120151333	1
31304103	1	120151334	1
31304104	1	120151335	1
31304105	1	120151336	1
31304106	1	120151001	1
31304107	1	120151163	1
31304108	1	120151145	1
31304109	6	3	1
31304110	1	120151337	1
31304111	1	120151338	1
31304112	1	120151339	1
31304113	1	120151200	1
31304114	1	120151010	1
31304115	5	12150330	1
31304116	5	12150331	1
31304117	1	120151340	1
31304118	1	120151073	1
31304119	1	120151341	1
31304120	1	120151203	1
31304121	1	120151028	1
31304122	1	120151001	1
31304123	3	6	1
31304124	1	120151342	1
31304125	1	120151203	1
31304126	1	120151200	1
31304127	1	120151004	1
31304128	1	120151007	1
31304129	1	120151343	1
31304130	1	120151344	1
31304131	1	120151345	1
31304132	1	120151346	1
31304133	1	120151347	1
31304134	1	120151203	1
31304135	1	120151348	1
31304136	3	6	1
31305101	1	120151074	1
31305102	1	120151119	1
31305103	1	120151146	1
31305104	1	120151001	1
31305105	1	120151020	1
31305106	1	120151200	1
31305107	5	12150341	1
31305108	1	120151073	1
31305109	1	120151046	1
31305110	1	120151111	1
31305111	1	120151234	1
31305112	1	120151033	1
31305113	1	120151236	1
31305114	1	120151237	1
31305115	1	120151020	1
31305116	1	120151074	1
31305117	1	120151203	1
31305118	1	120151011	1
31305119	1	120151110	1
31305120	5	12150341	1
31305121	1	120151011	1
31305122	1	120151008	1
31305123	2	30005	1
31305124	1	120151235	1
31305125	1	120151028	1
31305126	1	120151023	1
31305127	1	120151331	1
31305128	3	6	1
31305129	1	120151110	1
31305130	1	120151119	1
31305131	1	120151046	1
31305132	1	120151073	1
31305133	1	120151297	1
31305134	1	120151237	1
31305135	1	120151300	1
31305136	1	120151301	1
31305137	1	120151238	1
31306101	1	120151019	1
31306102	1	120151302	1
31306103	1	120151073	1
31306104	2	30007	1
31306105	2	30006	1
31306106	1	120151191	1
31306107	1	120151297	1
31306108	1	120151305	1
31306109	1	120151306	1
31306110	1	120151165	1
31306111	1	120151308	1
31306112	1	120151241	1
31306113	1	120151304	1
31306114	1	120151245	1
31306115	1	120151248	1
31306116	1	120151242	1
31306117	1	120151242	1
31306118	1	120151002	1
31306119	5	12150351	1
31306120	1	120151250	1
31306121	1	120151253	1
31306122	1	120151029	1
31306123	1	120151255	1
31306124	1	120151038	1
31306125	1	120151200	1
31306127	1	120151002	1
31306128	1	120151256	1
31306129	1	120151020	1
31306130	5	12150351	1
31306131	1	120151343	1
31306132	1	120151344	1
31306133	1	120151304	1
31306134	1	120151300	1
31306135	1	120151074	1
31306136	1	120151268	1
31306137	1	120151271	1
31306138	1	120151272	1
31307101	4	2	1
31307102	5	12150361	1
31307103	1	120151297	1
31307104	1	120151002	1
31307105	1	120151311	1
31307106	1	120151274	1
31307107	1	120151276	1
31307108	1	120151277	1
31307109	1	120151020	1
31307110	1	120151065	1
31307111	1	120151280	1
31307114	1	120151297	1
31307115	1	120151029	1
31307116	1	120151003	1
31307117	1	120151066	1
31307118	1	120151038	1
31307119	1	120151274	1
31307120	1	120151311	1
31307121	1	120151020	1
31307122	1	120151276	1
31307123	1	120151277	1
31307124	1	120151330	1
31307125	1	120151281	1
31307126	1	120151020	1
31307127	1	120151002	1
31307128	1	120151285	1
31307129	1	120151288	1
31307130	1	120151073	1
31307131	3	6	1
31307132	1	120151297	1
31307133	2	30005	1
31307134	1	120151360	1
31307135	1	120151291	1
31307136	1	120151355	1
31307137	5	12150361	1
31307138	1	120151295	1
31308101	1	120151020	1
31308102	1	120151349	1
31308103	1	120151001	1
31308104	1	120151350	1
31308105	1	120151351	1
31308106	5	12150371	1
31308107	5	12150372	1
31308108	1	120151019	1
31308109	1	120151352	1
31308110	1	120151353	1
31308111	1	120151354	1
31308112	1	120151355	1
31308113	1	120151110	1
31308114	1	120151001	1
31308115	1	120151073	1
31308116	1	120151010	1
31308117	4	2	1
31308118	1	120151092	1
31308119	5	12150372	1
31308120	1	120151074	1
31308121	1	120151083	1
31308122	1	120151203	1
31308123	3	6	1
31308124	1	120151001	1
31308125	1	120151356	1
31308126	1	120151357	1
31308127	1	120151020	1
31308128	1	120151200	1
31308129	1	120151358	1
31308130	1	120151359	1
31308131	1	120151019	1
31308132	3	6	1
31308133	4	2	1
31308134	5	12150371	1
