id	activityId	groupId	tagOr	tagClash	unlockTask	unlockTag	nextTag	tagScore	iconId	status	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
31101112	1	2110101	110104		0	0	31101113	10	183:astrict_prop_heal_12	1	我方战斗员造成治疗降低20%	我方戰鬥員造成治療降低20%	Reduces allied Combatants' Healing Effect by 20%.	味方の与回復効果－20%	아군에게 적용되는 치유 -20%	การฟื้นฟู​ที่​ตัวละคร​ฝ่าย​เรา​สร้าง​ขึ้น​ลดลง​ 20%​
31101113	1	2110101			1110301	0	31101114;31101115;31101116;31101117	20	183:astrict_prop_hp_21	1	敌方生命值提升40%	敵方生命值提升40%	Increases enemies' HP by 40%.	敵のHP＋40%	적 HP +40%	HP​ ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 40%​
31101114	1	2110101	110105		0	0	31101118;31101119	20	183:astrict_prop_atk_21	1	敌方攻击力提升20%	敵方攻擊力提升20%	Increases enemies' ATK by 20%.	敵の攻撃力＋20%	적 공격력 +20%	ATK​ ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 20%​
31101115	1	2110101	110105		0	0	31101118;31101119	20	183:astrict_prop_criRate_21	1	敌方暴击率提升25%	敵方爆擊率提升25%	Increases enemies' CRIT Rate by 25%.	敵の会心率＋25%	적 크리티컬율 25%	อัต​ราค​ริ​ติ​คอ​ล​ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 25%​
31101116	1	2110101	110106		0	0	31101120;31101121	20	183:astrict_prop_def_21	1	敌方防御力提升40%	敵方防禦力提升40%	Increases enemies' DEF by 40%.	敵の防御力＋40%	적 방어력 +40%	DEF​ ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 40%​
31101117	1	2110101	110106		0	0	31101120;31101121	20	183:astrict_prop_dur_21	1	敌方忍耐率提升25%	敵方忍耐率提升25%	Increases enemies' Endurance by 25%.	敵の忍耐率＋25%	적 인내율 +25%	อัตรา​อดทน​ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 25%​
31101118	1	2110101	110107		0	0	0	20	183:astrict_prop_atk_21	1	敌方攻击力提升20%	敵方攻擊力提升20%	Increases enemies' ATK by 20%.	敵の攻撃力＋20%	적 공격력 +20%	ATK​ ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 20%​
31101119	1	2110101	110107	110101	0	0	0	20	183:astrict_team_catos_01	1	禁止上阵主动猫球	禁止上陣主動貓球	Unable to deploy active Catos.	アクティブガトが出撃不可	액티브 냥냥볼 출전 금지	ห้าม​ใช้​แอ็ก​ที​ฟ​แค​ทบ​อล​เข้าร่วม​ต่อสู้​
31101120	1	2110101	110108		0	0	0	20	183:astrict_prop_hp_21	1	敌方生命值提升40%	敵方生命值提升40%	Increases enemies' HP by 40%.	敵のHP＋40%	적 HP +40%	HP​ ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 40%​
31101121	1	2110101	110108	110102	0	0	0	20	183:astrict_team_catos_02	1	禁止上阵被动猫球	禁止上陣被動貓球	Unable to deploy passive Catos.	パッシブガトが出撃不可	패시브 냥냥볼 출전 금지	ห้าม​ใช้​พาส​ซี​ฟ​แค​ทบ​อล​เข้าร่วม​ต่อสู้​
31101122	1	2110102		110103	1110201	-1	31101123;31101126	20	183:astrict_levl_summon_01	1	第二波战斗增加2名<头盔鼠>敌人	第二波戰鬥增加2名<頭盔鼠>敵人	Adds 2 <Helmeted Mouse> enemies in the second wave.	第2ウェーブで敵側に「ヘルメットマウス」が2体追加する	2페이즈 전투에서 <헬멧 쥐> 적 2마리 추가	ใน​การต่อสู้​เวฟ​ที่สอง​จะ​เพิ่ม​ศัตรู​ <​เฮล์ม​เมาส์​>​ 2​ ตัว​
31101123	1	2110102			0	0	31101124	10	183:astrict_prop_def_11	1	普通敌人防御力提升34%	普通敵人防禦力提升34%	Increases normal enemies' DEF by 34%.	ザコ敵の防御力＋34%	일반 몬스터 방어력 +34%	DEF​ ของ​ศัตรู​ทั่วไป​เพิ่มขึ้น​ 34%​
31101124	1	2110102			0	0	31101125	10	183:astrict_prop_hp_11	1	普通敌人生命值提升22%	普通敵人生命值提升22%	Increases normal enemies' HP by 22%.	ザコ敵のHP＋22%	일반 몬스터 HP +22%	HP​ ของ​ศัตรู​ทั่วไป​เพิ่มขึ้น​ 22%​
31101125	1	2110102			0	0	0	10	183:astrict_dmtp_bas_02	1	<头盔鼠>攻击时为目标施加2回合造成伤害降低10%	<頭盔鼠>攻擊時為目標施加2回合造成傷害降低10%	When <Helmeted Mouse> attacks, it reduces the target's DMG dealt by 10% for 2 turns.	「ヘルメットマウス」攻撃時、対象の与ダメージを10%ダウンさせる。2ターン持続	<헬멧 쥐> 공격 시 2턴 동안 목표에게 부여하는 대미지 -10%	เมื่อ​ <​เฮล์ม​เมาส์​>​ โจมตี​ ดา​เม​จ​ที่​เป้าหมาย​สร้าง​ขึ้น​จะ​ลดลง​ 10%​ เป็นเวลา​ 2​ เทิร์น​
31101126	1	2110102			0	0	31101127	10	183:astrict_prop_atk_11	1	普通敌人攻击力提升17%	普通敵人攻擊力提升17%	Increases normal enemies' ATK by 17%.	ザコ敵の防御力＋17%	일반 몬스터 방어력 +17%	ATK​ ของ​ศัตรู​ทั่วไป​เพิ่มขึ้น​ 17%​
31101127	1	2110102			0	0	31101128	10	183:astrict_ctl_sp_03	1	普通敌人开场获得1点奥义能量	普通敵人開場獲得1點奧義能量	Normal enemies start with 1 SP.	戦闘開始時、ザコ敵のSP＋1点	전장 오픈 시 일반 몬스터 필살기 게이지 1pt 획득	เมื่อ​เริ่ม​เกม​ศัตรู​ทั่วไป​จะ​ได้รับ​พลังงาน​อัล​ติ​เมท​ 1​ แต้ม​
31101128	1	2110102			0	0	0	10	183:astrict_dmtp_bas_01	1	<头盔鼠>攻击时为目标施加2回合受到伤害提升15%	<頭盔鼠>攻擊時為目標施加2回合受到傷害提升15%	When <Helmeted Mouse> attacks, it increases the target's DMG taken by 15% for 2 turns.	「ヘルメットマウス」攻撃時、対象の被ダメージを15%アップさせる。2ターン持続。	<헬멧 쥐> 공격 시 2턴 동안 목표에게 적용하는 대미지 -15% 	เมื่อ​ <​เฮล์ม​เมาส์​>​ โจมตี​ ดา​เม​จ​ที่​เป้าหมาย​สร้าง​ขึ้น​จะ​ลดลง​ 15%​ เป็นเวลา​ 2​ เทิร์น​
31101129	1	2110102		110103	1110201	-1	31101130;31101132	20	183:astrict_levl_summon_01	1	第二波战斗增加1名<海鸥流氓>敌人	第二波戰鬥增加1名<海鷗流氓>敵人	Adds 1 <Gull Gangster> enemy in the second wave.	ウエーブ2で敵側に「カモメ悪党」が1体追加する	2페이즈 전투에서 <갈매기 건달> 적 1마리 추가	ใน​การต่อสู้​เวฟ​ที่สอง​จะ​เพิ่ม​ศัตรู​ <​นก​นางนวล​จอม​ซ่า​>​ 1​ ตัว​
31101130	1	2110102			0	0	31101131	10	183:astrict_prop_reHeal_11	1	<海鸥流氓>受到治疗量提升50%	<海鷗流氓>受到治療量提升50%	<Gull Gangster> receives 50% more healing.	「カモメ悪党」の被回復効果＋50%	<갈매기 건달> 적용되는 치유 +50%	<​นก​นางนวล​จอม​ซ่า​>​ จะ​ได้รับ​ปริมาณ​การฟื้นฟู​เพิ่มขึ้น​ 50%​
31101131	1	2110102			0	0	31101134	10	183:astrict_dmtp_bas_02	1	<海鸥流氓>死亡后敌方全体获得1层受到伤害降低20%	<海鷗流氓>死亡後敵方全體獲得1層受到傷害降低20%	All enemies gain 1 stack of an effect that reduces their DMG taken by 20% when the <Gull Gangster> is defeated.	「カモメ悪党」死亡後、敵全員に「被ダメージ－20%」が1スタック付与される	<갈매기 건달> 사망 후 적 전체에게 적용되는 대미지 -20% 	 เมื่อ​ <​นก​นางนวล​จอม​ซ่า​>​ ถูก​กำจัด​ ฝ่าย​ศัตรู​ทั้งหมด​จะ​ได้รับ​ดา​เม​จล​ดล​ง​ 20%​ จำนวน​ 1​ ชั้น​
31101132	1	2110102			0	0	31101133	10	183:astrict_prop_reShi_01	1	<海鸥流氓>每回合开始时获得自身最大生命值15%的护盾	<海鷗流氓>每回合開始時獲得自身最大生命值15%的護盾	At the beginning of each turn, <Gull Gangster> gains a shield equal to 15% of its max HP.	ターン開始時、「カモメ悪党」は自身に最大HPの15%分のシールドを付与する	<갈매기 건달> 매 턴 시작 시 자신에게 최대 HP의 15%에 해당하는 실드 부여	เมื่อ​เริ่ม​ใน​แต่ละ​เทิร์น​ <​นก​นางนวล​จอม​ซ่า​>​ จะ​ได้รับ​โล่​ป้องกัน​ 15%​ ของ​ MaxHP​ ของ​ตนเอง​
31101133	1	2110102			0	0	31101134	10	183:astrict_dmtp_bas_01	1	<海鸥流氓>死亡后敌方全体获得1层造成伤害提升20%	<海鷗流氓>死亡後敵方全體獲得1層造成傷害提升20%	All enemies gain 1 stack of an effect that increases their DMG dealt by 20% when the <Gull Gangster> is defeated.	「カモメ悪党」死亡後、敵全員に「与ダメージ＋20%」が1スタック付与される	<갈매기 건달> 사망 후 적 전체가 부여하는 대미지 +20% 	 เมื่อ​ <​นก​นางนวล​จอม​ซ่า​>​ ถูก​กำจัด​ ฝ่าย​ศัตรู​ทั้งหมด​จะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 20%​ จำนวน​ 1​ ชั้น​
31101134	1	2110102			0	0	0	10	183:astrict_bufcha_bufdis_02	1	首领敌人每回合清除自身1层减益状态	首領敵人每回合清除自身1層減益狀態	The boss removes 1 stack of debuff from themselves each turn.	毎ターン、ボスは自身にあるデバフを1スタック解除する	보스 몬스터는 턴당 자신의 디버프 1스택 해제	ใน​แต่ละ​เทิร์น​ ศัตรู​ระดับ​บอส​จะ​ลบล้าง​สถานะ​ดี​บัฟ​ให้​ตนเอง​ 1​ ชั้น​
31101135	1	2110103			1110301	-1	31101136;31101137	10	183:astrict_ctl_sp_02	1	第二波次开始时扣除我方全体1点奥义能量	第二波次開始時扣除我方全體1點奧義能量	Reduces all allies' SP by 1 at the start of the second wave.	ウエーブ2開始時、味方全員のSP－1点	2페이즈 시작 시 아군 전체의 필살기 게이지 1pt 감소	ใน​การต่อสู้​เวฟ​ที่สอง​จะ​หักลบ​พลังงาน​อัล​ติ​เมท​ของ​ฝ่าย​เรา​ทั้งหมด​จำนวน​ 1​ แต้ม​
31101136	1	2110103	110113		0	0	31101138;31101139	10	183:astrict_prop_atk_11	1	敌方攻击力提升15%	敵方攻擊力提升15%	Increases enemies' ATK by 15%.	敵の攻撃力＋15%	적 공격력 +15%	ATK​ ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 15%​
31101137	1	2110103	110113		0	0	31101138;31101139	10	183:astrict_prop_hp_11	1	敌方生命值提升30%	敵方生命值提升30%	Increases enemies' HP by 30%.	敵のHP＋30%	적 HP +30%	HP​ ของ​ศัตรู​เพิ่มขึ้น​ 30%​
31101138	1	2110103			0	0	31101140;31101141	20	183:astrict_comb_comb_02	1	敌方单位死亡时，我方全体受到自身最大生命值15%的伤害	敵方單位死亡時，我方全體受到自身最大生命值15%的傷害	When an enemy is defeated, all allies take DMG equal to 15% of their own max HP.	敵死亡時、味方全員は自身最大HPの15%分のダメージを受ける	적 1마리가 사망 시 아군 전체에게 자신의 최대 HP 15%에 해당하는 대미지 부여	เมื่อ​ศัตรู​ถูก​กำจัด​ ฝ่าย​เรา​ทั้งหมด​จะ​ได้รับ​ดา​เม​จ​ 15%​ ของ​ MaxHP​
31101139	1	2110103			0	0	31101142;31101143	20	183:astrict_bufcha_bufdis_02	1	每2回合驱散敌方全体1层减益效果	每2回合驅散敵方全體1層減益效果	Removes 1 stack of debuff from all enemies every 2 turns.	2ターンごとに、敵全員を対象としてデバフを1スタック解除する	적 전체에게 매 2턴 마다 디버프 효과 1스택 해제	ทุกๆ​ 2​ เทิร์น​ จะ​ลบล้าง​เอฟเฟกต์​ดี​บัฟ​ของ​ฝ่าย​ศัตรู​ทั้งหมด​จำนวน​ 1​ ชั้น​
31101140	1	2110103			0	0	31101144	10	183:astrict_dmtp_bas_01	1	我方战斗员击杀敌方时自身获得2回合受到伤害提升30%（上限1层）	我方戰鬥員擊殺敵方時自身獲得2回合受到傷害提升30%（上限1層）	After defeating an enemy, allied Combatants take 30% more damage for 2 turns (stacks once).	味方戦闘員は敵を撃破すると、自身の被ダメージ＋30%。2ターン持続(最大1スタックまで)	아군 전투원이 적 처치 시 2턴 동안 자신에게 적용되는 대미지 +30%(1스택 상한)	เมื่อ​ตัวละคร​ฝ่าย​เรา​กำจัด​ฝ่าย​ศัตรู​ ตนเอง​จะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 30%​ เป็นเวลา​ 2​ เทิร์น​ (​จำกัด​ 1​ ชั้น​)​
31101141	1	2110103			0	0	31101144	10	183:astrict_dmtp_bas_01	1	我方战斗员击杀敌方时自身获得2回合造成伤害降低30%（上限1层）	我方戰鬥員擊殺敵方時自身獲得2回合造成傷害降低30%（上限1層）	After defeating an enemy, allied Combatants deal 30% reduced damage for 2 turns (stacks once).	味方戦闘員は敵を撃破すると、自身の与ダメージ－30%。2ターン持続(最大1スタックまで)	아군 전투원이 적 처치 시 2턴 동안 자신에게 적용되는 대미지 -30%(1스택 상한)	เมื่อ​ตัวละคร​ฝ่าย​เรา​กำจัด​ฝ่าย​ศัตรู​  ตนเอง​จะ​สร้าง​ดา​เม​จ​เพิ่มขึ้น​ 30%​ เป็นเวลา​ 2​ เทิร์น​ (​จำกัด​ 1​ ชั้น​)​
31101142	1	2110103			0	0	31101145	10	183:astrict_dmtp_bas_01	1	携带减益效果的我方单位受到伤害提升20%	攜帶減益效果的我方單位受到傷害提升20%	Debuffed allied units take 20% more damage.	デバフを持っている味方の被ダメージ＋20%	디버프 효과를 보유한 단일 아군에게 적용되는 대미지 +20%	ฝ่าย​เรา​ที่​ติด​เอฟเฟกต์​ดี​บัฟ​ จะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 20%​
31101143	1	2110103			0	0	31101146	10	183:astrict_dmtp_bas_01	1	携带增益效果的敌方单位造成伤害提升20%	攜帶增益效果的敵方單位造成傷害提升20%	Buffed enemies deal 20% more damage.	バフを持っている敵の与ダメージ＋20%	디버프 효과를 보유한 단일 적이 부여하는 대미지 +20%	ฝ่าย​ศัตรู​ที่​มี​เอฟเฟกต์​บัฟ​ จะ​สร้าง​ดา​เม​จ​เพิ่มขึ้น​ 20%​
31101144	1	2110103			0	0	0	20	183:astrict_dmtp_bas_01	1	敌方单位血量低于30%时造成伤害提升30%	敵方單位血量低於30%時造成傷害提升30%	Enemies deal 30% more DMG when their HP is below 30%.	敵のHPが30%未満の場合、与ダメージ＋30%	단일 적의 HP가 30% 이하일 때 부여하는 대미지 +30%	เมื่อ​ฝ่าย​ศัตรู​มี​ HP​ ต่ำกว่า​ 30%​ จะ​สร้าง​ดา​เม​จ​เพิ่มขึ้น​ 30%​
31101145	1	2110103			0	0	31101147	10	183:astrict_dmgcha_stoh_01	1	回合结束时会按自身剩余护盾量的60%治疗自身	回合結束時會按自身剩餘護盾量的60%治療自身	At the end of turns, heals this Combatant for 60% of the remaining shield amount.	ターン終了時、自身の残りシールド量の60％に相当するHPを回復する	턴 종료 시 남은 실드의 60%로 자신의 HP를 회복한다.	เมื่อ​จบ​เทิร์น​ จะ​ฟื้นฟู​ HP​ ให้​ตนเอง​ 60%​ ของ​ปริมาณ​โล่​ป้อง​กันที่​เหลืออยู่​
31101146	1	2110103			0	0	31101147	10	183:astrict_dmgcha_htos_01	1	敌方治疗溢出时会转化为护盾	敵方治療溢出時會轉化為護盾	Converts excess healing on enemies into shields.	敵回復時、余剰の回復量がシールドに転化する	적의 치유 효과가 초과될 경우 실드로 전환	เมื่อ​การฟื้นฟู​ของ​ฝ่าย​ศัตรู​ล้น​เกิน​จะ​เปลี่ยนเป็น​โล่​ป้องกัน​
31101147	1	2110103			0	0	0	20	183:astrict_dmtp_bas_01	1	敌方单位血量不低于100%时造成伤害提升30%	敵方單位血量不低於100%時造成傷害提升30%	Enemies deal 30% more DMG when their HP is at 100% or higher.	敵のHPが100%以上の場合、与ダメージ＋30%	단일 적의 HP가 100% 이하일 때 부여하는 대미지 +30%	เมื่อ​ฝ่าย​ศัตรู​เหลือ​ HP​ ไม่​ต่ำกว่า​ 100%​ จะ​สร้าง​ดา​เม​จ​เพิ่มขึ้น​ 30%​
31101148	1	2110104		110101	1110301	-1	31101150;31101151	20	183:astrict_team_catos_01	1	禁止上阵主动猫球	禁止上陣主動貓球	Unable to deploy active Catos.	アクティブガトが出撃不可	액티브 냥냥볼 출전 금지	ห้าม​ใช้​แอ็ก​ที​ฟ​แค​ทบ​อล​เข้าร่วม​ต่อสู้​
31101149	1	2110104		110102	1110301	-1	31101152;31101153	20	183:astrict_team_catos_02	1	禁止上阵被动猫球	禁止上陣被動貓球	Unable to deploy passive Catos.	パッシブガトが出撃不可	패시브 냥냥볼 출전 금지	ห้าม​ใช้​พาส​ซี​ฟ​แค​ทบ​อล​เข้าร่วม​ต่อสู้​
31101150	1	2110104	110109		0	0	31101154;31101155;31101156;31101157	20	183:astrict_dmtp_per_12	1	敌方受到间接伤害降低45%	敵方受到間接傷害降低45%	Enemies take 45% reduced Indirect DMG.	敵が受ける間接ダメージ－45%	적에게 적용되는 간접 대미지 -45%	ฝ่าย​ศัตรู​ได้รับ​ดา​เม​จ​ต่อเนื่อง​ลดลง​ 45%​
31101151	1	2110104	110109		0	0	31101154;31101155;31101156;31101157	20	183:astrict_dmtp_tru_12	1	敌方受到真实伤害降低45%	敵方受到真實傷害降低45%	Enemies take 45% reduced True DMG.	敵が受ける直撃ダメージ－45%	적에게 적용되는 고정 대미지 -45%	ฝ่าย​ศัตรู​ได้รับ​ดา​เม​จ​จริง​ลดลง​ 45%​
31101152	1	2110104	110110		0	0	31101154;31101155;31101156;31101157	20	183:astrict_dmtp_sha_12	1	敌方受到破碎伤害降低45%	敵方受到破碎傷害降低45%	Enemies take 45% reduced Sunder DMG.	敵が受ける超会心ダメージ－45%	적에게 적용되는 파쇄 대미지 -45%	ฝ่าย​ศัตรู​ได้รับ​ดา​เม​จบ​ด​ขยี้​ลดลง​ 45%​
31101153	1	2110104	110110		0	0	31101154;31101155;31101156;31101157	20	183:astrict_dmtp_pie_12	1	敌方受到穿刺伤害降低45%	敵方受到穿刺傷害降低45%	Enemies take 45% reduced Jab DMG.	敵が受ける穿刺ダメージ－45%	적에게 적용되는 크리티컬 관통 대미지 -45%	ฝ่าย​ศัตรู​ได้รับ​ดา​เม​จ​ทะลวง​ลดลง​ 45%​
31101154	1	2110104	110111		0	0	31101158;31101159;31101160	10	183:astrict_team_par_02	1	限制<三相>战斗员上阵	限制<三相>戰鬥員上陣	Unable to deploy <Trinity> Combatants.	「スタック」戦闘員は出撃不可	<트리플 페이즈> 전투원 출전 금지	จำกัด​เฉพาะ​ตัวละคร​ <​สาม​ธาตุ​>​ เข้าร่วม​ต่อสู้​
31101155	1	2110104	110111		0	0	31101158;31101159;31101160	10	183:astrict_team_par_03	1	限制<方波>战斗员上阵	限制<方波>戰鬥員上陣	Unable to deploy <Quadris> Combatants.	「ウェーブ」戦闘員は出撃不可	<스피어 웨이브> 전투원 출전 금지	จำกัด​เฉพาะ​ตัวละคร​ <​คลื่น​พลัง​>​ เข้าร่วม​ต่อสู้​
31101156	1	2110104	110111		0	0	31101158;31101159;31101160	10	183:astrict_team_par_04	1	限制<星流>战斗员上阵	限制<星流>戰鬥員上陣	Unable to deploy <Astra> Combatants.	「フロウ」戦闘員は出撃不可	<스타 스트림> 전투원 출전 금지	จำกัด​เฉพาะ​ตัวละคร​ <​สาย​ดาว​>​ เข้าร่วม​ต่อสู้​
31101157	1	2110104	110111		0	0	31101158;31101159;31101160	10	183:astrict_team_par_01	1	限制<圆振>战斗员上阵	限制<圓振>戰鬥員上陣	Unable to deploy <Orbis> Combatants.	「シンクロ」戦闘員は出撃不可	<서클 퀘이버> 전투원 출전 금지	จำกัด​เฉพาะ​ตัวละคร​ <​คลื่น​รอบตัว​>​ เข้าร่วม​ต่อสู้​
31101158	1	2110104			0	0	31101161;31101162;31101163;31101164	30	183:astrict_team_num_01	1	上阵位减少到3	上陣位減少到3	Reduces deployment slots to 3.	出撃人数が3名になる	출전 가능 전투원 3명으로 감소	ตำแหน่ง​ต่อสู้​ลดลง​เหลือ​ 3​
31101159	1	2110104			0	0	0	10	183:astrict_prop_def_11	1	敌方防御力提升30%	敵方防禦力提升30%	Increases enemies' DEF by 30%.	敵の防御力＋30%	적 방어력 +30%	DEF​ ของ​ฝ่าย​ศัตรู​เพิ่มขึ้น​ 30%​
31101160	1	2110104			0	0	31101161;31101162;31101163;31101164	20	183:astrict_levl_round_01	1	回合数上限减少到10回合	回合數上限減少到10回合	Reduces the turn limit to 10 turns.	戦闘ターン数が10ターンに制限される	전투 시 턴 10턴 이내로 제한	จำกัด​จำนวน​เทิร์น​สูงสุด​ลดลง​เหลือ​ 10​ เทิร์น​
31101161	1	2110104	110112		0	0	31101165	10	183:astrict_levl_color_01	1	敌人情绪颜色改为红色	敵人情緒顏色改為紅色	Changes enemies' Pathos color to Red.	敵はレッド属性になる	적 이모션 컬러 레드로 변경	สี​พา​โธส​ของ​ศัตรู​เปลี่ยนเป็น​สีแดง​
31101162	1	2110104	110112		0	0	31101165	10	183:astrict_levl_color_01	1	敌人情绪颜色改为绿色	敵人情緒顏色改為綠色	Changes enemies' Pathos color to Green.	敵はグリーン属性になる	적 이모션 컬러 그린으로 변경	สี​พา​โธส​ของ​ศัตรู​เปลี่ยนเป็น​สี​เขียว​
31101163	1	2110104	110112		0	0	31101165	10	183:astrict_levl_color_01	1	敌人情绪颜色改为蓝色	敵人情緒顏色改為藍色	Changes enemies' Pathos color to Blue.	敵はブルー属性になる	적 이모션 컬러 블루로 변경	สี​พา​โธส​ของ​ศัตรู​เปลี่ยนเป็น​สีน้ำเงิน​
31101164	1	2110104	110112		0	0	31101165	10	183:astrict_levl_color_01	1	敌人情绪颜色改为黑色	敵人情緒顏色改為黑色	Changes enemies' Pathos color to Black.	敵はブラック属性になる	적 이모션 컬러 블랙으로 변경	สี​พา​โธส​ของ​ศัตรู​เปลี่ยนเป็น​สี​ดำ​
31101165	1	2110104			0	0	0	20	183:astrict_color_shi_01	1	敌方情绪颜色克制伤害提升30%	敵方情緒顏色克制傷害提升30%	Enemies deal 30% more DMG when exploiting Pathos color advantages.	敵の有利属性ダメージ＋30%	적 이모션 컬러 상성 대미지 +30%	ดา​เม​จ​ชนะ​ทาง​จาก​สี​พา​โธส​ของ​ศัตรู​เพิ่มขึ้น​ 30%​
31101166	1	2110105			1110401	-1	31101167	10	183:astrict_dmtp_bas_12	1	敌方受到伤害降低20%	敵方受到傷害降低20%	Enemies take 20% reduced DMG.	敵の被ダメージ－20%	적에게 적용되는 대미지 -20%	ศัตรู​ได้รับ​ดา​เม​จล​ดล​ง​ 20%​
31101167	1	2110105			0	0	31101168	10	183:astrict_levl_round_01	1	回合数上限减少到9回合	回合數上限減少到9回合	Reduces the turn limit to 9 turns.	戦闘ターン数が9ターンに制限される	전투 시 턴 9턴 이내로 제한	จำกัด​จำนวน​เทิร์น​สูงสุด​ลดลง​เหลือ​ 9​ เทิร์น​
31101168	1	2110105			0	0	31101169	10	183:astrict_levl_round_01	1	回合数上限减少到8回合	回合數上限減少到8回合	Reduces the turn limit to 8 turns.	戦闘ターン数が8ターンに制限される	전투 시 턴 8턴 이내로 제한	จำกัด​จำนวน​เทิร์น​สูงสุด​ลดลง​เหลือ​ 8​ เทิร์น​
