id	regularReward	regularRewardNum	rareReward	rareRewardRandom	rareRewardMinNum	rareRewardMaxNum	rareRewardShow	rareRewardShowNum	fristRewards	fristRewardsNum	energy	showItem	showItemTag	showItemNum	status	label	label_zh_TW	label_en_UK	label_ja_JP	label_ko_KR	label_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
201304	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	3	3	3	3	3	3	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​
201305	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	3	3	3	3	3	3	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​
201306	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	3	3	3	3	3	3	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​	定時副本-蓝	定時副本-藍	Ltd-time Stage - Blue	定時作戦・青	요일 던전 - 블루	ดัน​เจี้ยน​จำกัด​เวลา​-​น้ำเงิน​
201401	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	4	4	4	4	4	4	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง
201402	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	4	4	4	4	4	4	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง
201403	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	4	4	4	4	4	4	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง
201404	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	4	4	4	4	4	4	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง
201405	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	4	4	4	4	4	4	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง
201406	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	4	4	4	4	4	4	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง	定時副本-光	定時副本-光	Ltd-time Stage - Light	定時作戦・白	요일 던전 - 라이트	ดันเจี้ยนจำกัดเวลา-แสง
201501	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	5	5	5	5	5	5	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด
201502	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	5	5	5	5	5	5	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด
201503	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	5	5	5	5	5	5	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด
201504	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	5	5	5	5	5	5	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด
201505	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	5	5	5	5	5	5	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด
201506	3000002;3000004;4110001	300;200;30										3000002;3000004;4110001	1;1;1	300;200;30	1	5	5	5	5	5	5	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด	定時副本-暗	定時副本-暗	Ltd-time Stage - Dark	定時作戦・黒	요일 던전 - 다크	ดันเจี้ยนจำกัดเวลา-มืด
