id	group	pos	pointType	Exp	cardExp	unlockNum	proposalLevel	frequency	costItem	costNum	costNumLose	SceneId	rounds	showMonster	status
221245	204	5	2	0	0	221244	0		0	0	0	11401	16	32410071	1
221251	205	1	1	0	0	0	0		0	0	0	11401	16	32510041	1
221252	205	2	1	0	0	221251	0		0	0	0	11401	16	32510161	1
221253	205	3	1	0	0	221252	0		0	0	0	11401	16	32510041	1
221254	205	4	1	0	0	221253	0		0	0	0	11401	16	32510161	1
221255	205	5	2	0	0	221254	0		0	0	0	11401	16	32540031	1
221261	206	1	1	0	0	0	0		0	0	0	11401	16	32610231	1
221262	206	2	1	0	0	221261	0		0	0	0	11401	16	32610231	1
221263	206	3	1	0	0	221262	0		0	0	0	11401	16	32610231	1
221264	206	4	1	0	0	221263	0		0	0	0	11401	16	32610231	1
221265	206	5	2	0	0	221264	0		0	0	0	11401	16	32640091	1
221311	301	1	1	0	0	0	0		0	0	0	11401	16	31210061	1
221312	301	2	1	0	0	221311	0		0	0	0	11401	16	31210071	1
221313	301	3	1	0	0	221312	0		0	0	0	11401	16	31210061	1
221314	301	4	1	0	0	221313	0		0	0	0	11401	16	31210071	1
221315	301	5	2	0	0	221314	0		0	0	0	11401	16	31210061	1
221321	302	1	1	0	0	0	0		0	0	0	11401	16	31310231	1
221322	302	2	1	0	0	221321	0		0	0	0	11401	16	31310241	1
221323	302	3	1	0	0	221322	0		0	0	0	11401	16	31310231	1
221324	302	4	1	0	0	221323	0		0	0	0	11401	16	31310241	1
221325	302	5	2	0	0	221324	0		0	0	0	11401	16	31340071	1
221331	303	1	1	0	0	0	0		0	0	0	11401	16	31110021	1
221332	303	2	1	0	0	221331	0		0	0	0	11401	16	31110031	1
221333	303	3	1	0	0	221332	0		0	0	0	11401	16	31110041	1
221334	303	4	1	0	0	221333	0		0	0	0	11401	16	31110021	1
221335	303	5	2	0	0	221334	0		0	0	0	11401	16	31110031	1
221341	304	1	1	0	0	0	0		0	0	0	11401	16	31510051	1
221342	304	2	1	0	0	221341	0		0	0	0	11401	16	31510061	1
221343	304	3	1	0	0	221342	0		0	0	0	11401	16	31510071	1
221344	304	4	1	0	0	221343	0		0	0	0	11401	16	31510091	1
221345	304	5	2	0	0	221344	0		0	0	0	11401	16	31510131	1
221351	305	1	1	0	0	0	0		0	0	0	11401	16	31610171	1
221352	305	2	1	0	0	221351	0		0	0	0	11401	16	31610181	1
221353	305	3	1	0	0	221352	0		0	0	0	11401	16	31610171	1
221354	305	4	1	0	0	221353	0		0	0	0	11401	16	31610181	1
221355	305	5	2	0	0	221354	0		0	0	0	11401	16	31640011	1
221361	306	1	1	0	0	0	0		0	0	0	11401	16	31410101	1
221362	306	2	1	0	0	221361	0		0	0	0	11401	16	31410221	1
221363	306	3	1	0	0	221362	0		0	0	0	11401	16	31410101	1
221364	306	4	1	0	0	221363	0		0	0	0	11401	16	31410221	1
221365	306	5	2	0	0	221364	0		0	0	0	11401	16	31440051	1
221411	401	1	1	0	0	0	0		0	0	0	11401	16	32210111	1
221412	401	2	1	0	0	221411	0		0	0	0	11401	16	32210121	1
221413	401	3	1	0	0	221412	0		0	0	0	11401	16	32210111	1
221414	401	4	1	0	0	221413	0		0	0	0	11401	16	32210121	1
221415	401	5	2	0	0	221414	0		0	0	0	11401	16	32210111	1
221421	402	1	1	0	0	0	0		0	0	0	11401	16	32310101	1
221422	402	2	1	0	0	221421	0		0	0	0	11401	16	32310221	1
221423	402	3	1	0	0	221422	0		0	0	0	11401	16	32310101	1
221424	402	4	1	0	0	221423	0		0	0	0	11401	16	32310221	1
221425	402	5	2	0	0	221424	0		0	0	0	11401	16	32340161	1
221431	403	1	1	0	0	0	0		0	0	0	11401	16	32610231	1
221432	403	2	1	0	0	221431	0		0	0	0	11401	16	32610231	1
221433	403	3	1	0	0	221432	0		0	0	0	11401	16	32610231	1
221434	403	4	1	0	0	221433	0		0	0	0	11401	16	32610231	1
221435	403	5	2	0	0	221434	0		0	0	0	11401	16	32640091	1
221441	404	1	1	0	0	0	0		0	0	0	11401	16	32110061	1
221442	404	2	1	0	0	221441	0		0	0	0	11401	16	32110261	1
221443	404	3	1	0	0	221442	0		0	0	0	11401	16	32110061	1
221444	404	4	1	0	0	221443	0		0	0	0	11401	16	32110261	1
221445	404	5	2	0	0	221444	0		0	0	0	11401	16	32110061	1
221451	405	1	1	0	0	0	0		0	0	0	11401	16	32410071	1
221452	405	2	1	0	0	221451	0		0	0	0	11401	16	32410151	1
221453	405	3	1	0	0	221452	0		0	0	0	11401	16	32410071	1
221454	405	4	1	0	0	221453	0		0	0	0	11401	16	32410151	1
221455	405	5	2	0	0	221454	0		0	0	0	11401	16	32410071	1
221461	406	1	1	0	0	0	0		0	0	0	11401	16	32510041	1
221462	406	2	1	0	0	221461	0		0	0	0	11401	16	32510161	1
221463	406	3	1	0	0	221462	0		0	0	0	11401	16	32510041	1
221464	406	4	1	0	0	221463	0		0	0	0	11401	16	32510161	1
221465	406	5	2	0	0	221464	0		0	0	0	11401	16	32540031	1
221511	501	1	1	0	0	0	0		0	0	0	11401	16	31510051	1
221512	501	2	1	0	0	221511	0		0	0	0	11401	16	31510061	1
221513	501	3	1	0	0	221512	0		0	0	0	11401	16	31510071	1
221514	501	4	1	0	0	221513	0		0	0	0	11401	16	31510091	1
221515	501	5	2	0	0	221514	0		0	0	0	11401	16	31510131	1
221521	502	1	1	0	0	0	0		0	0	0	11401	16	31110021	1
221522	502	2	1	0	0	221521	0		0	0	0	11401	16	31110031	1
221523	502	3	1	0	0	221522	0		0	0	0	11401	16	31110041	1
221524	502	4	1	0	0	221523	0		0	0	0	11401	16	31110021	1
221525	502	5	2	0	0	221524	0		0	0	0	11401	16	31110031	1
221531	503	1	1	0	0	0	0		0	0	0	11401	16	31610171	1
221532	503	2	1	0	0	221531	0		0	0	0	11401	16	31610181	1
221533	503	3	1	0	0	221532	0		0	0	0	11401	16	31610171	1
221534	503	4	1	0	0	221533	0		0	0	0	11401	16	31610181	1
221535	503	5	2	0	0	221534	0		0	0	0	11401	16	31640011	1
221541	504	1	1	0	0	0	0		0	0	0	11401	16	31210061	1
221542	504	2	1	0	0	221541	0		0	0	0	11401	16	31210071	1
221543	504	3	1	0	0	221542	0		0	0	0	11401	16	31210061	1
221544	504	4	1	0	0	221543	0		0	0	0	11401	16	31210071	1
221545	504	5	2	0	0	221544	0		0	0	0	11401	16	31210061	1
221551	505	1	1	0	0	0	0		0	0	0	11401	16	31310231	1
221552	505	2	1	0	0	221551	0		0	0	0	11401	16	31310241	1
221553	505	3	1	0	0	221552	0		0	0	0	11401	16	31310231	1
221554	505	4	1	0	0	221553	0		0	0	0	11401	16	31310241	1
221555	505	5	2	0	0	221554	0		0	0	0	11401	16	31340071	1
221561	506	1	1	0	0	0	0		0	0	0	11401	16	31410101	1
221562	506	2	1	0	0	221561	0		0	0	0	11401	16	31410221	1
221563	506	3	1	0	0	221562	0		0	0	0	11401	16	31410101	1
221564	506	4	1	0	0	221563	0		0	0	0	11401	16	31410221	1
221565	506	5	2	0	0	221564	0		0	0	0	11401	16	31440051	1
221611	601	1	1	0	0	0	0		0	0	0	11401	16	32410071	1
221612	601	2	1	0	0	221611	0		0	0	0	11401	16	32410151	1
221613	601	3	1	0	0	221612	0		0	0	0	11401	16	32410071	1
221614	601	4	1	0	0	221613	0		0	0	0	11401	16	32410151	1
221615	601	5	2	0	0	221614	0		0	0	0	11401	16	32410071	1
221621	602	1	1	0	0	0	0		0	0	0	11401	16	32110061	1
221622	602	2	1	0	0	221621	0		0	0	0	11401	16	32110261	1
221623	602	3	1	0	0	221622	0		0	0	0	11401	16	32110061	1
221624	602	4	1	0	0	221623	0		0	0	0	11401	16	32110261	1
221625	602	5	2	0	0	221624	0		0	0	0	11401	16	32110061	1
221631	603	1	1	0	0	0	0		0	0	0	11401	16	32510041	1
221632	603	2	1	0	0	221631	0		0	0	0	11401	16	32510161	1
221633	603	3	1	0	0	221632	0		0	0	0	11401	16	32510041	1
221634	603	4	1	0	0	221633	0		0	0	0	11401	16	32510161	1
221635	603	5	2	0	0	221634	0		0	0	0	11401	16	32540031	1
221641	604	1	1	0	0	0	0		0	0	0	11401	16	32610231	1
221642	604	2	1	0	0	221641	0		0	0	0	11401	16	32610231	1
221643	604	3	1	0	0	221642	0		0	0	0	11401	16	32610231	1
221644	604	4	1	0	0	221643	0		0	0	0	11401	16	32610231	1
221645	604	5	2	0	0	221644	0		0	0	0	11401	16	32640091	1
221651	605	1	1	0	0	0	0		0	0	0	11401	16	32210111	1
221652	605	2	1	0	0	221651	0		0	0	0	11401	16	32210121	1
221653	605	3	1	0	0	221652	0		0	0	0	11401	16	32210111	1
221654	605	4	1	0	0	221653	0		0	0	0	11401	16	32210121	1
221655	605	5	2	0	0	221654	0		0	0	0	11401	16	32210111	1
221661	606	1	1	0	0	0	0		0	0	0	11401	16	32310101	1
221662	606	2	1	0	0	221661	0		0	0	0	11401	16	32310221	1
221663	606	3	1	0	0	221662	0		0	0	0	11401	16	32310101	1
221664	606	4	1	0	0	221663	0		0	0	0	11401	16	32310221	1
221665	606	5	2	0	0	221664	0		0	0	0	11401	16	32340161	1
