Id	quality	cehua	Icon	times	points	type	parameter	limit	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
110	1		189:buff_icon_101	2	6	1	15	1	1	风险投资⑥·Ⅰ	風險投資⑥·Ⅰ	Risk Investment⑥ I	ベンチャー投資⑥・Ⅰ	리스크 투자⑥·Ⅰ	การลงทุน​มี​ความเสี่ยง​⑥​ ·​ Ⅰ​	后续2次投掷，如点数为6，上升层数额外增加15层（仅生效1次）	後續2次投擲，如點數為6，上升層數額外增加15層（僅生效1次）	If you roll a 6 on the next 2 rolls, gain an additional 15 steps (effective only once).	次の2回の投げで、6が出た場合、「点数＋15」マス前進する(1回のみ発動)	다음 2회 던지기에서 만약 점수가 6이면, 올라가는 층수가 추가로 15층 증가(1회만 적용)	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ หาก​แต้ม​ออก​เป็น​ 6​ จำนวน​ชั้น​จะ​เพิ่มขึ้น​อีก​ 15​ ชั้น​ (​ส่งผล​เพียง​ 1​ ครั้ง​)​
111	1		189:buff_icon_111	0	0	5	1;9000060		1	坐享其成·Ⅰ	坐享其成·Ⅰ	Free Ride I	濡れ手で粟・Ⅰ	숙시주의·Ⅰ	นั่งชิลรับผล · Ⅰ	免费获得1个骰子	免費獲得1個骰子	Receive 1 free dice.	サイコロを無料で1個獲得する	주사위 1개 무료 획득	ได้รับลูกเต๋าฟรี 1 ลูก
112	2		189:buff_icon_101	2	0	1	5		1	加点·Ⅱ	加點·Ⅱ	Bonus Points II	加点・Ⅱ	가점·Ⅱ	เพิ่มแต้ม · Ⅱ	后续2次投掷，上升层数为投掷点数+5	後續2次投擲，上升層數為投擲點數+5	Adds 5 to the dice result for the next 2 rolls.	次の2回の投げで、毎回「点数+5」マス前進する	다음 2회 던지기에서 올라가는 층수가 던진 점수 +5	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ จำนวน​ชั้น​เพิ่มขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ +5​
113	2		189:buff_icon_102	2	0	2	3		1	倍乘·Ⅱ	倍乘·Ⅱ	Multiplier II	倍増・Ⅱ	곱셈·Ⅱ	คูณแต้ม · Ⅱ	后续2次投掷，上升层数为投掷点数*3	後續2次投擲，上升層數為投擲點數*3	Triples the dice result for the next 2 rolls.	次の2回の投げで、毎回「点数×3」マス前進する	다음 2회 던지기에서 올라가는 층수가 던진 점수 *3	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ จำนวน​ชั้น​เพิ่มขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ *3​
114	2		189:buff_icon_103	2	2;4;6	1	10		1	偶数至上·Ⅱ	偶數至上·Ⅱ	Even Number Supremacy II	偶数至上・Ⅱ	짝수 지향·Ⅱ	พลังแห่งเลขคู่ · Ⅱ	后续2次投掷，如果点数为2,4,6，则上升层数为投掷点数+10	後續2次投擲，如果點數為2,4,6，則上升層數為投擲點數+10	If you roll an even number (2, 4, or 6) on the next 2 rolls, add 10 to the dice result.	次の2回の投げで、点数が2/4/6の場合、「点数+10」マス前進する	다음 2회 던지기에서 만약 점수가 2, 4, 6일 경우, 올라가는 층수가 던진 점수 +10	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ หาก​ได้แต้ม​ 2,​ 4,​ 6​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ +10​
115	2		189:buff_icon_104	2	1;3;5	2	4		1	奇数至上·Ⅱ	奇數至上·Ⅱ	Odd Number Supremacy II	奇数至上・Ⅱ	홀수 지향·Ⅱ	พลังแห่งเลขคี่ · Ⅱ	后续2次投掷，如果点数为1,3,5，则上升层数为投掷点数*4	後續2次投擲，如果點數為1,3,5，則上升層數為投擲點數*4	If you roll an odd number (1, 3, or 5) on the next 2 rolls, multiply the dice result by 4.	次の2回の投げで、点数が1/3/5の場合、「点数×4」マス前進する	다음 2회 던지기에서 만약 점수가 1, 3, 5일 경우, 올라가는 층수가 던진 점수 *4	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ หาก​ได้แต้ม​ 1,​ 3,​ 5​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ x4​
116	2		189:buff_icon_105	2	1;2;3	2	6		1	押小·Ⅱ	押小·Ⅱ	Bet on Small II	小を当てる・Ⅱ	스몰 베팅·Ⅱ	เดิมพันเลขต่ำ · Ⅱ	后续2次投掷，如果点数<=3，则上升层数为投掷点数*6	後續2次投擲，如果點數<=3，則上升層數為投擲點數*6	If your roll number is 3 or lower on the next 2 rolls, multiply the dice result by 6.	次の2回の投げで、点数≦3の場合、「点数×6」マス前進する	다음 1회 던지기에서 만약 점수가 3이하일 경우, 올라가는 층수가 던진 점수 *6	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ หาก​ได้แต้ม​น้อยกว่า​หรือ​เท่ากับ​ 3​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ *6​
117	2		189:buff_icon_106	2	4;5;6	1	10		1	押大·Ⅱ	押大·Ⅱ	Bet on Big II	大を当てる・Ⅱ	빅 베팅·Ⅱ	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ หาก​ได้แต้ม​น้อยกว่า​หรือ​เท่ากับ​ 3​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ x6​	后续2次投掷，如果点数>3，则上升层数为投掷点数+10	後續2次投擲，如果點數>3，則上升層數為投擲點數+10	If your roll number is greater than 3 on the next 2 rolls, add 10 to the dice result.	次の2回の投げで、点数>3の場合、「点数+10」マス前進する	다음 1회 던지기에서 만약 점수가 3보다 높을 경우, 올라가는 층수가 던진 점수 +10	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ หาก​ได้แต้ม​มากกว่า​ 3​ จะ​เพิ่มจำนวน​ชั้น​ขึ้น​ตาม​แต้ม​ที่​ทอย​ได้​ +10​
118	2		189:buff_icon_107	3	0	4	6		1	幸运6·Ⅱ	幸運6·Ⅱ	Lucky 6 II	ラッキー6・Ⅱ	행운6·Ⅱ	โชคดี 6 · Ⅱ	后续3次投掷，点数必定为6	後續3次投擲，點數必定為6	Guarantees a dice result of 6 for the next 3 rolls.	次の3回の投げで、点数が必ず6になる	다음 3회 던지기에서 점수가 반드시 6이 나온다	การ​ทอย​ครั้ง​ถัดไป​ 3​ ครั้ง​ จะ​ทอย​ได้แต้ม​เป็น​ 6​ อย่าง​แน่นอน​
119	2		189:buff_icon_119	4	1;2;3;4	6	5		1	稳健收益·Ⅱ	穩健收益·Ⅱ	Stable Gains II	安定収益・Ⅱ	안정적 이익·Ⅱ	ผลประโยชน์​ที่​มั่นคง​ ·​ Ⅱ​	后续4次投掷，点数必定>4	後續4次投擲，點數必定>4	Guarantees dice results bigger than 4 for the next 4 rolls.	次の4回の投げで、毎回必ず4を超えた点数が出る	다음 4회 던지기에서 점수가 반드시 4보다 높음	การ​ทอย​ครั้ง​ถัดไป​ 4​ ครั้ง​ จะ​ทอย​ได้แต้ม​มากกว่า​ 4​ อย่าง​แน่นอน​
120	2		189:buff_icon_120	2	1	1	30	1	1	风险投资①·Ⅱ	風險投資①·Ⅱ	Risk Investment① II	ベンチャー投資①・Ⅰ	리스크 투자①·Ⅱ	การลงทุน​มี​ความเสี่ยง​①​ ·​ Ⅱ​	后续2次投掷，如点数为1，上升层数额外增加30层（仅生效1次）	後續2次投擲，如點數為1，上升層數額外增加30層（僅生效1次）	If you roll a 1 on the next 2 rolls, gain an additional 30 steps (effective only once).	次の2回の投げで、1が出た場合、「点数＋30」マス前進する(1回のみ発動)	다음 2회 던지기에서 만약 점수가 1이면, 올라가는 층수가 추가로 30층 증가(1회만 적용)	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ หาก​แต้ม​ออก​เป็น​ 1​ จำนวน​ชั้น​จะ​เพิ่มขึ้น​อีก​ 30​ ชั้น​ (​ส่งผล​เพียง​ 1​ ครั้ง​)​
121	2		189:buff_icon_120	2	6	1	30	1	1	风险投资⑥·Ⅱ	風險投資⑥·Ⅱ	Risk Investment⑥ II	ベンチャー投資⑥・Ⅰ	리스크 투자⑥·Ⅱ	การลงทุน​มี​ความเสี่ยง​⑥​ ·​ Ⅱ​	后续2次投掷，如点数为6，上升层数额外增加30层（仅生效1次）	後續2次投擲，如點數為6，上升層數額外增加30層（僅生效1次）	If you roll a 6 on the next 2 rolls, gain an additional 30 steps (effective only once).	次の2回の投げで、6が出た場合、「点数+30」マス前進する(1回のみ発動)	다음 2회 던지기에서 만약 점수가 6이면, 올라가는 층수가 추가로 30층 증가(1회만 적용)	การ​ทอย​ครั้ง​ถัดไป​ 2​ ครั้ง​ หาก​แต้ม​ออก​เป็น​ 6​ จำนวน​ชั้น​จะ​เพิ่มขึ้น​อีก​ 30​ ชั้น​ (​ส่งผล​เพียง​ 1​ ครั้ง​)​
122	2		189:buff_icon_111	0	0	5	3;9000060		1	坐享其成·Ⅱ	坐享其成·Ⅱ	Free Ride II	濡れ手で粟・Ⅱ	숙시주의·Ⅱ	นั่งชิลรับผล · Ⅱ	免费获得3个骰子	免費獲得3個骰子	Receive 3 free dice.	サイコロを無料で3個獲得する	주사위 3개 무료 획득	ได้รับลูกเต๋าฟรี 3 ลูก
