id	type	exp	fristRewards	fristRewardsNum	showItem	showItemNum	revenueRewardsTime	revenueRewardsNum	status
610087	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610088	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610089	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610090	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610091	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610092	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610093	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610094	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610095	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610096	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610097	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610098	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610099	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610100	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610101	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610102	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610103	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610104	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610105	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610106	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610107	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610108	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610109	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610110	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610111	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610112	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610113	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610114	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610115	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610116	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610117	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610118	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610119	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610120	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610121	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610122	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610123	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610124	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610125	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610126	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610127	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610128	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610129	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610130	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610131	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610132	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610133	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610134	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610135	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610136	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610137	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610138	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610139	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610140	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610141	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610142	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610143	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610144	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610145	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610146	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610147	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610148	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610149	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610150	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610151	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610152	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610153	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610154	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610155	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610156	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610157	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610158	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610159	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610160	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610161	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610162	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610163	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610164	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610165	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610166	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610167	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610168	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610169	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610170	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610171	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610172	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610173	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610174	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610175	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610176	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610177	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610178	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610179	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610180	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610181	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610182	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610183	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610184	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610185	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610186	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610187	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610188	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610189	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610190	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610191	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610192	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610193	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610194	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610195	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610196	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610197	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610198	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610199	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610200	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610201	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610202	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610203	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610204	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610205	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610206	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610207	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610208	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610209	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610210	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610211	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610212	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610213	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610214	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610215	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610216	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610217	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610218	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610219	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610220	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610221	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610222	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610223	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610224	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610225	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610226	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610227	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610228	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610229	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610230	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610231	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610232	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610233	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610234	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610235	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;1;0	1
610236	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610237	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610238	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610239	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610240	1	0	4190001;4100032;3000019	300;1;2	4190001;4100032;3000019	300;1;2	12;1;60	0;2;0	1
610241	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
610242	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;2;0	1
610243	1	0	4190001;4100032;3000019	50;1;2	4190001;4100032;3000019	50;1;2	12;1;60	0;1;0	1
