id	proposalLevel	tag	roleRestrictions	sceneId	battleRules	roleNun	powerRatioTeamID	rounds	damageTotal	exp	cardExp	restartBattleBtn	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	buffDec	buffDec_zh_TW	buffDec_en_UK	buffDec_ja_JP	buffDec_ko_KR	buffDec_th_TH
90110	106700	203;301;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·八	灰暗之域·八	Void Domain VIII	闇ノ領域Ⅷ	그레이 존Ⅷ	แดนมืดมัว·8	<color=#800080>梦魇涌动</color>：敌方受到方波伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到方波傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more damage from Quadris.	<color=#800080>ステージ効果</color>：敵が受けるウェーブダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 스피어 웨이브의 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จ​คลื่น​พลัง​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
90111	106700	201;303;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·八	灰暗之域·八	Void Domain VIII	闇ノ領域Ⅷ	그레이 존Ⅷ	แดนมืดมัว·8	<color=#800080>梦魇涌动</color>：敌方受到圆振伤害提升30%	<color=#800080>夢魘湧動</color>：敵方受到圓振傷害提升30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more damage from Orbis.	<color=#800080>ステージ効果</color>：敵が受けるシンクロダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 서클 퀘이버의 대미지 +30%	<color=#800080>กระแสฝันร้าย</color>:​ ดา​เม​จ​คลื่น​รอบตัว​ที่​ฝ่าย​ศัตรู​ได้รับ​เพิ่มขึ้น​ 30%​
90112	115200	104;303;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·九	灰暗之域·九	Void Domain IX	闇ノ領域Ⅸ	그레이 존Ⅸ	แดนมืดมัว·9	<color=#800080>梦魇涌动</color>：敌方受到群体伤害降低30%	<color=#800080>夢魘湧動</color>：敵方受到群體傷害降低30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% less AoE damage.	<color=#800080>ステージ効果</color>：敵が受ける穿刺ダメージ−30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 광역 대미지 -30%	<color=#800080>ฝันร้ายที่ทะลัก</color>:​ ฝ่าย​ศัตรู​ได้รับ​ดา​เม​จ​หมู่​ลดลง​ 30%​
90113	115200	104;301;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·九	灰暗之域·九	Void Domain IX	闇ノ領域Ⅸ	그레이 존Ⅸ	แดนมืดมัว·9	<color=#800080>梦魇涌动</color>：敌方受到群体伤害降低30%	<color=#800080>夢魘湧動</color>：敵方受到群體傷害降低30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% less AoE damage.	<color=#800080>ステージ効果</color>：敵が受ける穿刺ダメージ−30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 광역 대미지 -30%	<color=#800080>ฝันร้ายที่ทะลัก</color>:​ ฝ่าย​ศัตรู​ได้รับ​ดา​เม​จ​หมู่​ลดลง​ 30%​
90114	123800	105;303;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·十	灰暗之域·十	Void Domain X	闇ノ領域Ⅹ	그레이 존Ⅹ	แดนมืดมัว·10	<color=#800080>梦魇涌动</color>：敌方受到群攻伤害提高30%	<color=#800080>夢魘湧動</color>：敵方受到群攻傷害提高30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more AoE damage.	<color=#800080>ステージ効果</color>：敵が受ける全体ダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 광역 공격 대미지 +30%	<color=#800080>ฝันร้ายที่ทะลัก</color>:​ ฝ่าย​ศัตรู​ได้รับ​ดา​เม​จ​หมู่​เพิ่มขึ้น​ 30%​
90115	123800	105;301;304;305	0	13201	1	4	0	100	0			1	1	灰暗之域·十	灰暗之域·十	Void Domain X	闇ノ領域Ⅹ	그레이 존Ⅹ	แดนมืดมัว·10	<color=#800080>梦魇涌动</color>：敌方受到群攻伤害提高30%	<color=#800080>夢魘湧動</color>：敵方受到群攻傷害提高30%	<color=#800080>Nightmare Surge</color>: Enemies take 30% more AoE damage.	<color=#800080>ステージ効果</color>：敵が受ける全体ダメージ＋30%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 광역 공격 대미지 +30%	<color=#800080>ฝันร้ายที่ทะลัก</color>:​ ฝ่าย​ศัตรู​ได้รับ​ดา​เม​จ​หมู่​เพิ่มขึ้น​ 30%​
91101	108900	301;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·一	黑霧之淵·一	Misty Depths I	黒霧ノ淵Ⅰ	검은 안개의 심연I 	เหวหมอกมืด·1	<color=#800080>梦魇涌动</color>：每回合开始时，场上所有单位获得5层暴击率降低10%和暴击伤害降低20%，持续1回合	<color=#800080>夢魘湧動</color>：每回合開始時，場上所有單位獲得5層爆擊率降低10%和爆擊傷害降低20%，持續1回合	<color=#800080>Nightmare Surge</color>: At the beginning of each turn, all units on the field receive 5 stacks of an effect that reduces their CRIT Rate by 10% and CRIT DMG by 20%, lasting for 1 turn.	<color=#800080>ステージ効果</color>：ターン開始時、フィールド上のすべての単位は「会心率-10%」、「会心ダメージ-20%」を5スタック付与される（1ターン持続）。	<color=#800080>나이트메어 침식</color>: 매 턴 시작 시, 1턴 동안 전장에 참여한 모두의 크리티컬율이 10% 감소하고, 크리티컬 대미지는 20% 감소됩니다.(5스택 획득)	<color=#800080>กระแสฝันร้าย</color>:​ เมื่อ​เริ่มต้น​แต่ละ​รอบ​ ยูนิต​ทั้งหมด​ใน​สนาม​จะ​ได้รับ​สถานะ​ลด​อัต​ราค​ริ​ติ​คอ​ลลง​ 10%​ และ​ลด​ดา​เม​จค​ริ​ติ​คอ​ลลง​ 20%​ 5​ ชั้น​ เป็นเวลา​ 1​ รอบ​
91102	108900	302;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·一	黑霧之淵·一	Misty Depths I	黒霧ノ淵Ⅰ	검은 안개의 심연I 	เหวหมอกมืด·1	<color=#800080>梦魇涌动</color>：敌方受到【破灭伤害】提升15%，若处于【易伤】状态则额外提升15%	<color=#800080>夢魘湧動</color>：敵方受到【破滅傷害】提升15%，若處於【易傷】狀態則額外提升15%	<color=#800080>Nightmare Surge</color>: Enemies take 15% more [Dire DMG], with an additional 15% boost if they are in the [Vulnerability] state.	<color=#800080>ステージ効果</color>：敵の受ける「弱体特攻ダメージ」＋15%。敵が「被ダメージ増加」状態にある場合、さらに「弱体特攻ダメージ」＋15%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 [파멸 대미지]는 15% 증가하며, [취약] 상태 시 추가로 15%가 증가한다	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​ได้รับ​ [​ดา​เม​จ​ทำลายล้าง​]​ เพิ่มขึ้น​ 15%​ หาก​อยู่​ใน​สถานะ​ [​เปราะบาง​]​ จะ​โดน​เพิ่มขึ้น​อีก​ 15%​
91103	117700	301;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·二	黑霧之淵·二	Misty Depths II	黒霧ノ淵Ⅱ	검은 안개의 심연II	เหวหมอกมืด·2	<color=#800080>梦魇涌动</color>：每回合开始时，场上所有单位获得5层暴击率降低10%和暴击伤害降低20%，持续1回合	<color=#800080>夢魘湧動</color>：每回合開始時，場上所有單位獲得5層爆擊率降低10%和爆擊傷害降低20%，持續1回合	<color=#800080>Nightmare Surge</color>: At the beginning of each turn, all units on the field receive 5 stacks of an effect that reduces their CRIT Rate by 10% and CRIT DMG by 20%, lasting for 1 turn.	<color=#800080>ステージ効果</color>：ターン開始時、フィールド上のすべての単位は「会心率-10%」、「会心ダメージ-20%」を5スタック付与される（1ターン持続）。	<color=#800080>나이트메어 침식</color>: 매 턴 시작 시, 1턴 동안 전장에 참여한 모두의 크리티컬율이 10% 감소하고, 크리티컬 대미지는 20% 감소됩니다.(5스택 획득)	<color=#800080>กระแสฝันร้าย</color>:​ เมื่อ​เริ่มต้น​แต่ละ​รอบ​ ยูนิต​ทั้งหมด​ใน​สนาม​จะ​ได้รับ​สถานะ​ลด​อัต​ราค​ริ​ติ​คอ​ลลง​ 10%​ และ​ลด​ดา​เม​จค​ริ​ติ​คอ​ลลง​ 20%​ 5​ ชั้น​ เป็นเวลา​ 1​ รอบ​
91104	117700	302;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·二	黑霧之淵·二	Misty Depths II	黒霧ノ淵Ⅱ	검은 안개의 심연II	เหวหมอกมืด·2	<color=#800080>梦魇涌动</color>：敌方受到【破灭伤害】提升15%，若处于【易伤】状态则额外提升15%	<color=#800080>夢魘湧動</color>：敵方受到【破滅傷害】提升15%，若處於【易傷】狀態則額外提升15%	<color=#800080>Nightmare Surge</color>: Enemies take 15% more [Dire DMG], with an additional 15% boost if they are in the [Vulnerability] state.	<color=#800080>ステージ効果</color>：敵の受ける「弱体特攻ダメージ」＋15%。敵が「被ダメージ増加」状態にある場合、さらに「弱体特攻ダメージ」＋15%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 [파멸 대미지]는 15% 증가하며, [취약] 상태 시 추가로 15%가 증가한다	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​ได้รับ​ [​ดา​เม​จ​ทำลายล้าง​]​ เพิ่มขึ้น​ 15%​ หาก​อยู่​ใน​สถานะ​ [​เปราะบาง​]​ จะ​โดน​เพิ่มขึ้น​อีก​ 15%​
91105	126400	301;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·三	黑霧之淵·三	Misty Depths III	黒霧ノ淵Ⅲ	검은 안개의 심연III	เหวหมอกมืด·3	<color=#800080>梦魇涌动</color>：每回合开始时，场上所有单位获得5层暴击率降低10%和暴击伤害降低20%，持续1回合	<color=#800080>夢魘湧動</color>：每回合開始時，場上所有單位獲得5層爆擊率降低10%和爆擊傷害降低20%，持續1回合	<color=#800080>Nightmare Surge</color>: At the beginning of each turn, all units on the field receive 5 stacks of an effect that reduces their CRIT Rate by 10% and CRIT DMG by 20%, lasting for 1 turn.	<color=#800080>ステージ効果</color>：ターン開始時、フィールド上のすべての単位は「会心率-10%」、「会心ダメージ-20%」を5スタック付与される（1ターン持続）。	<color=#800080>나이트메어 침식</color>: 매 턴 시작 시, 1턴 동안 전장에 참여한 모두의 크리티컬율이 10% 감소하고, 크리티컬 대미지는 20% 감소됩니다.(5스택 획득)	<color=#800080>กระแสฝันร้าย</color>:​ เมื่อ​เริ่มต้น​แต่ละ​รอบ​ ยูนิต​ทั้งหมด​ใน​สนาม​จะ​ได้รับ​สถานะ​ลด​อัต​ราค​ริ​ติ​คอ​ลลง​ 10%​ และ​ลด​ดา​เม​จค​ริ​ติ​คอ​ลลง​ 20%​ 5​ ชั้น​ เป็นเวลา​ 1​ รอบ​
91106	126400	302;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·三	黑霧之淵·三	Misty Depths III	黒霧ノ淵Ⅲ	검은 안개의 심연III	เหวหมอกมืด·3	<color=#800080>梦魇涌动</color>：敌方受到【破灭伤害】提升15%，若处于【易伤】状态则额外提升15%	<color=#800080>夢魘湧動</color>：敵方受到【破滅傷害】提升15%，若處於【易傷】狀態則額外提升15%	<color=#800080>Nightmare Surge</color>: Enemies take 15% more [Dire DMG], with an additional 15% boost if they are in the [Vulnerability] state.	<color=#800080>ステージ効果</color>：敵の受ける「弱体特攻ダメージ」＋15%。敵が「被ダメージ増加」状態にある場合、さらに「弱体特攻ダメージ」＋15%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 [파멸 대미지]는 15% 증가하며, [취약] 상태 시 추가로 15%가 증가한다	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​ได้รับ​ [​ดา​เม​จ​ทำลายล้าง​]​ เพิ่มขึ้น​ 15%​ หาก​อยู่​ใน​สถานะ​ [​เปราะบาง​]​ จะ​โดน​เพิ่มขึ้น​อีก​ 15%​
91107	135100	301;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·四	黑霧之淵·四	Misty Depths IV	黒霧ノ淵Ⅳ	검은 안개의 심연IV	เหวหมอกมืด·4	<color=#800080>梦魇涌动</color>：每回合开始时，场上所有单位获得5层暴击率降低10%和暴击伤害降低20%，持续1回合	<color=#800080>夢魘湧動</color>：每回合開始時，場上所有單位獲得5層爆擊率降低10%和爆擊傷害降低20%，持續1回合	<color=#800080>Nightmare Surge</color>: At the beginning of each turn, all units on the field receive 5 stacks of an effect that reduces their CRIT Rate by 10% and CRIT DMG by 20%, lasting for 1 turn.	<color=#800080>ステージ効果</color>：ターン開始時、フィールド上のすべての単位は「会心率-10%」、「会心ダメージ-20%」を5スタック付与される（1ターン持続）。	<color=#800080>나이트메어 침식</color>: 매 턴 시작 시, 1턴 동안 전장에 참여한 모두의 크리티컬율이 10% 감소하고, 크리티컬 대미지는 20% 감소됩니다.(5스택 획득)	<color=#800080>กระแสฝันร้าย</color>:​ เมื่อ​เริ่มต้น​แต่ละ​รอบ​ ยูนิต​ทั้งหมด​ใน​สนาม​จะ​ได้รับ​สถานะ​ลด​อัต​ราค​ริ​ติ​คอ​ลลง​ 10%​ และ​ลด​ดา​เม​จค​ริ​ติ​คอ​ลลง​ 20%​ 5​ ชั้น​ เป็นเวลา​ 1​ รอบ​
91108	135100	302;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·四	黑霧之淵·四	Misty Depths IV	黒霧ノ淵Ⅳ	검은 안개의 심연IV	เหวหมอกมืด·4	<color=#800080>梦魇涌动</color>：敌方受到【破灭伤害】提升15%，若处于【易伤】状态则额外提升15%	<color=#800080>夢魘湧動</color>：敵方受到【破滅傷害】提升15%，若處於【易傷】狀態則額外提升15%	<color=#800080>Nightmare Surge</color>: Enemies take 15% more [Dire DMG], with an additional 15% boost if they are in the [Vulnerability] state.	<color=#800080>ステージ効果</color>：敵の受ける「弱体特攻ダメージ」＋15%。敵が「被ダメージ増加」状態にある場合、さらに「弱体特攻ダメージ」＋15%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 [파멸 대미지]는 15% 증가하며, [취약] 상태 시 추가로 15%가 증가한다	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​ได้รับ​ [​ดา​เม​จ​ทำลายล้าง​]​ เพิ่มขึ้น​ 15%​ หาก​อยู่​ใน​สถานะ​ [​เปราะบาง​]​ จะ​โดน​เพิ่มขึ้น​อีก​ 15%​
91109	143900	301;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·五	黑霧之淵·五	Misty Depths V	黒霧ノ淵Ⅴ	검은 안개의 심연V	เหวหมอกมืด·5	<color=#800080>梦魇涌动</color>：每回合开始时，场上所有单位获得5层暴击率降低10%和暴击伤害降低20%，持续1回合	<color=#800080>夢魘湧動</color>：每回合開始時，場上所有單位獲得5層爆擊率降低10%和爆擊傷害降低20%，持續1回合	<color=#800080>Nightmare Surge</color>: At the beginning of each turn, all units on the field receive 5 stacks of an effect that reduces their CRIT Rate by 10% and CRIT DMG by 20%, lasting for 1 turn.	<color=#800080>ステージ効果</color>：ターン開始時、フィールド上のすべての単位は「会心率-10%」、「会心ダメージ-20%」を5スタック付与される（1ターン持続）。	<color=#800080>나이트메어 침식</color>: 매 턴 시작 시, 1턴 동안 전장에 참여한 모두의 크리티컬율이 10% 감소하고, 크리티컬 대미지는 20% 감소됩니다.(5스택 획득)	<color=#800080>กระแสฝันร้าย</color>:​ เมื่อ​เริ่มต้น​แต่ละ​รอบ​ ยูนิต​ทั้งหมด​ใน​สนาม​จะ​ได้รับ​สถานะ​ลด​อัต​ราค​ริ​ติ​คอ​ลลง​ 10%​ และ​ลด​ดา​เม​จค​ริ​ติ​คอ​ลลง​ 20%​ 5​ ชั้น​ เป็นเวลา​ 1​ รอบ​
91110	143900	302;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·五	黑霧之淵·五	Misty Depths V	黒霧ノ淵Ⅴ	검은 안개의 심연V	เหวหมอกมืด·5	<color=#800080>梦魇涌动</color>：敌方受到【破灭伤害】提升15%，若处于【易伤】状态则额外提升15%	<color=#800080>夢魘湧動</color>：敵方受到【破滅傷害】提升15%，若處於【易傷】狀態則額外提升15%	<color=#800080>Nightmare Surge</color>: Enemies take 15% more [Dire DMG], with an additional 15% boost if they are in the [Vulnerability] state.	<color=#800080>ステージ効果</color>：敵の受ける「弱体特攻ダメージ」＋15%。敵が「被ダメージ増加」状態にある場合、さらに「弱体特攻ダメージ」＋15%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 [파멸 대미지]는 15% 증가하며, [취약] 상태 시 추가로 15%가 증가한다	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​ได้รับ​ [​ดา​เม​จ​ทำลายล้าง​]​ เพิ่มขึ้น​ 15%​ หาก​อยู่​ใน​สถานะ​ [​เปราะบาง​]​ จะ​โดน​เพิ่มขึ้น​อีก​ 15%​
91111	152600	301;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·六	黑霧之淵·六	Misty Depths VI	黒霧ノ淵Ⅵ	검은 안개의 심연VI 	เหวหมอกมืด·6	<color=#800080>梦魇涌动</color>：每回合开始时，场上所有单位获得5层暴击率降低10%和暴击伤害降低20%，持续1回合	<color=#800080>夢魘湧動</color>：每回合開始時，場上所有單位獲得5層爆擊率降低10%和爆擊傷害降低20%，持續1回合	<color=#800080>Nightmare Surge</color>: At the beginning of each turn, all units on the field receive 5 stacks of an effect that reduces their CRIT Rate by 10% and CRIT DMG by 20%, lasting for 1 turn.	<color=#800080>ステージ効果</color>：ターン開始時、フィールド上のすべての単位は「会心率-10%」、「会心ダメージ-20%」を5スタック付与される（1ターン持続）。	<color=#800080>나이트메어 침식</color>: 매 턴 시작 시, 1턴 동안 전장에 참여한 모두의 크리티컬율이 10% 감소하고, 크리티컬 대미지는 20% 감소됩니다.(5스택 획득)	<color=#800080>กระแสฝันร้าย</color>:​ เมื่อ​เริ่มต้น​แต่ละ​รอบ​ ยูนิต​ทั้งหมด​ใน​สนาม​จะ​ได้รับ​สถานะ​ลด​อัต​ราค​ริ​ติ​คอ​ลลง​ 10%​ และ​ลด​ดา​เม​จค​ริ​ติ​คอ​ลลง​ 20%​ 5​ ชั้น​ เป็นเวลา​ 1​ รอบ​
91112	152600	302;304;305	0	14803	1	4	0	100	0			1	1	黑雾之渊·六	黑霧之淵·六	Misty Depths VI	黒霧ノ淵Ⅵ	검은 안개의 심연VI 	เหวหมอกมืด·6	<color=#800080>梦魇涌动</color>：敌方受到【破灭伤害】提升15%，若处于【易伤】状态则额外提升15%	<color=#800080>夢魘湧動</color>：敵方受到【破滅傷害】提升15%，若處於【易傷】狀態則額外提升15%	<color=#800080>Nightmare Surge</color>: Enemies take 15% more [Dire DMG], with an additional 15% boost if they are in the [Vulnerability] state.	<color=#800080>ステージ効果</color>：敵の受ける「弱体特攻ダメージ」＋15%。敵が「被ダメージ増加」状態にある場合、さらに「弱体特攻ダメージ」＋15%	<color=#800080>나이트메어 침식</color>: 적에게 적용되는 [파멸 대미지]는 15% 증가하며, [취약] 상태 시 추가로 15%가 증가한다	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​ได้รับ​ [​ดา​เม​จ​ทำลายล้าง​]​ เพิ่มขึ้น​ 15%​ หาก​อยู่​ใน​สถานะ​ [​เปราะบาง​]​ จะ​โดน​เพิ่มขึ้น​อีก​ 15%​
