id	groupId	place	unlockPlace	levelList	hardLevel1	hardLevel2	starCondition	starConditionNum	starConditionRound	fristRewards	fristRewardsNum	hardRewards1	hardRewardsNum1	hardRewards2	hardRewardsNum2	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
2101009	101	9	2101008	91117			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;60;9;45000					1	冰峰·九	冰峰·九	Icepeaks IX	氷峰Ⅸ	서리IX	ยอดน้ำแข็ง·9
2101010	101	10	2101009	91119			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;70;10;50000					1	冰峰·十	冰峰·十	Icepeaks X	氷峰Ⅹ	서리X	ยอดน้ำแข็ง·10
2102001	102	1	0	91201;91202			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;20;1;5000					1	永夜·一	永夜·一	Evernight I	永夜Ⅰ	영원한 밤I 	คืนนิรันดร์·1
2102002	102	2	2102001	91203;91204			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;25;2;10000					1	永夜·二	永夜·二	Evernight II	永夜Ⅱ	영원한 밤II	คืนนิรันดร์·2
2102003	102	3	2102002	91205;91206			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;30;3;15000					1	永夜·三	永夜·三	Evernight III	永夜Ⅲ	영원한 밤III	คืนนิรันดร์·3
2102004	102	4	2102003	91207;91208			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;35;4;20000					1	永夜·四	永夜·四	Evernight IV	永夜Ⅳ	영원한 밤IV	คืนนิรันดร์·4
2102005	102	5	2102004	91209;91210			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;40;5;25000					1	永夜·五	永夜·五	Evernight V	永夜Ⅴ	영원한 밤V	คืนนิรันดร์·5
2102006	102	6	2102005	91211;91212			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;45;6;30000					1	永夜·六	永夜·六	Evernight VI	永夜Ⅵ	영원한 밤VI 	คืนนิรันดร์·6
2102007	102	7	2102006	91213;91214			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;50;7;35000					1	永夜·七	永夜·七	Evernight VII	永夜Ⅶ	영원한 밤VII	คืนนิรันดร์·7
2102008	102	8	2102007	91215;91216			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;55;8;40000					1	永夜·八	永夜·八	Evernight VIII	永夜Ⅷ	영원한 밤VIII	คืนนิรันดร์·8
2102009	102	9	2102008	91217;91218			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	2;60;9;45000					1	永夜·九	永夜·九	Evernight IX	永夜Ⅸ	영원한 밤IX	คืนนิรันดร์·9
2102010	102	10	2102009	91219;91220			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	2;70;10;50000					1	永夜·十	永夜·十	Evernight X	永夜Ⅹ	영원한 밤X	คืนนิรันดร์·10
2103001	103	1	0	91301;91302			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;20;1;5000					1	雾沼·一	霧沼·一	Fogmarsh I	霧沼Ⅰ	안개의 늪I 	บึงแห่งหมอก·1
2103002	103	2	2103001	91303;91304			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;25;2;10000					1	雾沼·二	霧沼·二	Fogmarsh II	霧沼Ⅱ	안개의 늪II	บึงแห่งหมอก·2
2103003	103	3	2103002	91305;91306			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;30;3;15000					1	雾沼·三	霧沼·三	Fogmarsh III	霧沼Ⅲ	안개의 늪III	บึงแห่งหมอก·3
2103004	103	4	2103003	91307;91308			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;35;4;20000					1	雾沼·四	霧沼·四	Fogmarsh IV	霧沼Ⅳ	안개의 늪IV	บึงแห่งหมอก·4
2103005	103	5	2103004	91309;91310			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;40;5;25000					1	雾沼·五	霧沼·五	Fogmarsh V	霧沼Ⅴ	안개의 늪V	บึงแห่งหมอก·5
2103006	103	6	2103005	91311;91312			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;45;6;30000					1	雾沼·六	霧沼·六	Fogmarsh VI	霧沼Ⅵ	안개의 늪VI 	บึงแห่งหมอก·6
2103007	103	7	2103006	91313;91314			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;50;7;35000					1	雾沼·七	霧沼·七	Fogmarsh VII	霧沼Ⅶ	안개의 늪VII	บึงแห่งหมอก·7
2103008	103	8	2103007	91315;91316			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;55;8;40000					1	雾沼·八	霧沼·八	Fogmarsh VIII	霧沼Ⅷ	안개의 늪VIII	บึงแห่งหมอก·8
2103009	103	9	2103008	91317;91318			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	2;60;9;45000					1	雾沼·九	霧沼·九	Fogmarsh IX	霧沼Ⅸ	안개의 늪IX	บึงแห่งหมอก·9
2103010	103	10	2103009	91319;91320			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	2;70;10;50000					1	雾沼·十	霧沼·十	Fogmarsh X	霧沼Ⅹ	안개의 늪X	บึงแห่งหมอก·10
2104001	104	1	0	91401;91402			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;20;1;5000					1	迷心·一	迷心·一	Mindmaze I	迷心Ⅰ	미혹I 	วงกตดวงใจ·1
2104002	104	2	2104001	91403;91404			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;25;2;10000					1	迷心·二	迷心·二	Mindmaze II	迷心Ⅱ	미혹II 	วงกตดวงใจ·2
2104003	104	3	2104002	91405;91406			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;30;3;15000					1	迷心·三	迷心·三	Mindmaze III	迷心Ⅲ	미혹III 	วงกตดวงใจ·3
2104004	104	4	2104003	91407;91408			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;35;4;20000					1	迷心·四	迷心·四	Mindmaze IV	迷心Ⅳ	미혹IV	วงกตดวงใจ·4
2104005	104	5	2104004	91409;91410			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;40;5;25000					1	迷心·五	迷心·五	Mindmaze V	迷心Ⅴ	미혹V	วงกตดวงใจ·5
2104006	104	6	2104005	91411;91412			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;45;6;30000					1	迷心·六	迷心·六	Mindmaze VI	迷心Ⅵ	미혹VI 	วงกตดวงใจ·6
2104007	104	7	2104006	91413;91414			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;50;7;35000					1	迷心·七	迷心·七	Mindmaze VII	迷心Ⅶ	미혹VII 	วงกตดวงใจ·7
2104008	104	8	2104007	91415;91416			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;55;8;40000					1	迷心·八	迷心·八	Mindmaze VIII	迷心Ⅷ	미혹VIII 	วงกตดวงใจ·8
2104009	104	9	2104008	91417;91418			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	2;60;9;45000					1	迷心·九	迷心·九	Mindmaze IX	迷心Ⅸ	미혹IX	วงกตดวงใจ·9
2104010	104	10	2104009	91419;91420			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	2;70;10;50000					1	迷心·十	迷心·十	Mindmaze X	迷心Ⅹ	미혹X	วงกตดวงใจ·10
2105001	105	1	0	91501;91502			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;20;1;5000					1	尘劫·一	塵劫·一	Tribulation I	劫火Ⅰ	더스트I 	เถ้าธุลี·1
2105002	105	2	0	91503;91504			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;25;2;10000					1	尘劫·二	塵劫·二	Tribulation II	劫火Ⅱ	더스트II 	เถ้าธุลี·2
2105003	105	3	0	91505;91506			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;30;3;15000					1	尘劫·三	塵劫·三	Tribulation III	劫火Ⅲ	더스트III 	เถ้าธุลี·3
2105004	105	4	0	91507;91508			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;35;4;20000					1	尘劫·四	塵劫·四	Tribulation IV	劫火Ⅳ	더스트IV	เถ้าธุลี·4
2105005	105	5	0	91509;91510			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;40;5;25000					1	尘劫·五	塵劫·五	Tribulation V	劫火Ⅴ	더스트V	เถ้าธุลี·5
2105006	105	6	0	91511;91512			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;45;6;30000					1	尘劫·六	塵劫·六	Tribulation VI	劫火Ⅵ	더스트VI 	เถ้าธุลี·6
2105007	105	7	0	91513;91514			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;50;7;35000					1	尘劫·七	塵劫·七	Tribulation VII	劫火Ⅶ	더스트VII 	เถ้าธุลี·7
2105008	105	8	0	91515;91516			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;55;8;40000					1	尘劫·八	塵劫·八	Tribulation VIII	劫火Ⅷ	더스트VIII 	เถ้าธุลี·8
2105009	105	9	0	91517;91518			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	2;60;9;45000					1	尘劫·九	塵劫·九	Tribulation IX	劫火Ⅸ	더스트IX	เถ้าธุลี·9
2105010	105	10	2105009	91519;91520			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	2;70;10;50000					1	尘劫·十	塵劫·十	Tribulation X	劫火Ⅹ	더스트X	เถ้าธุลี·10
2106001	106	1	0	91601;91602			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;20;1;5000					1	蝶变·一	蝶變·一	Metamorphosis I	蝶変Ⅰ	버터플라이I 	วัฏจักรผีเสื้อ·1
2106002	106	2	0	91603;91604			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;25;2;10000					1	蝶变·二	蝶變·二	Metamorphosis II	蝶変Ⅱ	버터플라이II 	วัฏจักรผีเสื้อ·2
2106003	106	3	0	91605;91606			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;30;3;15000					1	蝶变·三	蝶變·三	Metamorphosis III	蝶変Ⅲ	버터플라이III 	วัฏจักรผีเสื้อ·3
2106004	106	4	0	91607;91608			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;35;4;20000					1	蝶变·四	蝶變·四	Metamorphosis IV	蝶変Ⅳ	버터플라이IV	วัฏจักรผีเสื้อ·4
2106005	106	5	0	91609;91610			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;40;5;25000					1	蝶变·五	蝶變·五	Metamorphosis V	蝶変Ⅴ	버터플라이V	วัฏจักรผีเสื้อ·5
2106006	106	6	0	91611;91612			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;45;6;30000					1	蝶变·六	蝶變·六	Metamorphosis VI	蝶変Ⅵ	버터플라이VI 	วัฏจักรผีเสื้อ·6
2106007	106	7	0	91613;91614			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;50;7;35000					1	蝶变·七	蝶變·七	Metamorphosis VII	蝶変Ⅶ	버터플라이VII 	วัฏจักรผีเสื้อ·7
2106008	106	8	0	91615;91616			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	2;55;8;40000					1	蝶变·八	蝶變·八	Metamorphosis VII	蝶変Ⅷ	버터플라이VIII 	วัฏจักรผีเสื้อ·8
2106009	106	9	0	91617;91618			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	2;60;9;45000					1	蝶变·九	蝶變·九	Metamorphosis IX	蝶変Ⅸ	버터플라이IX	วัฏจักรผีเสื้อ·9
2106010	106	10	2106009	91619;91620			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	2;70;10;50000					1	蝶变·十	蝶變·十	Metamorphosis X	蝶変Ⅹ	버터플라이X	วัฏจักรผีเสื้อ·10
2201001	201	1	0	91131			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;50;5;50000					1	困难·冰峰·一	困難·冰峰·一	Hard (Icepeaks) I	困難・氷峰Ⅰ	서리·하드I 	ยาก·ยอดน้ำแข็ง·1
2201002	201	2	2201001	91133			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;55;5;60000					1	困难·冰峰·二	困難·冰峰·二	Hard (Icepeaks) II	困難・氷峰Ⅱ	서리·하드II 	ยาก·ยอดน้ำแข็ง·2
2201003	201	3	2201002	91135			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;60;5;70000					1	困难·冰峰·三	困難·冰峰·三	Hard (Icepeaks) III	困難・氷峰Ⅲ	서리·하드III 	ยาก·ยอดน้ำแข็ง·3
2201004	201	4	2201003	91137			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;65;10;80000					1	困难·冰峰·四	困難·冰峰·四	Hard (Icepeaks) IV	困難・氷峰Ⅳ	서리·하드IV	ยาก·ยอดน้ำแข็ง·4
2201005	201	5	2201004	91139			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;70;10;90000					1	困难·冰峰·五	困難·冰峰·五	Hard (Icepeaks) V	困難・氷峰Ⅴ	서리·하드V	ยาก·ยอดน้ำแข็ง·5
2201006	201	6	2201005	91141			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;75;10;100000					1	困难·冰峰·六	困難·冰峰·六	Hard (Icepeaks) VI	困難・氷峰Ⅵ	서리·하드VI 	ยาก·ยอดน้ำแข็ง·6
2201007	201	7	2201006	91143			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;80;20;110000					1	困难·冰峰·七	困難·冰峰·七	Hard (Icepeaks) VII	困難・氷峰Ⅶ	서리·하드VII 	ยาก·ยอดน้ำแข็ง·7
2201008	201	8	2201007	91145			300;300;200	0;0;0	6;10;0	4100032;5112001;4105023;3000003	5;85;20;120000					1	困难·冰峰·八	困難·冰峰·八	Hard (Icepeaks) VIII	困難・氷峰Ⅷ	서리·하드VIII 	ยาก·ยอดน้ำแข็ง·8
2201009	201	9	2201008	91147			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;90;20;130000					1	困难·冰峰·九	困難·冰峰·九	Hard (Icepeaks) IX	困難・氷峰Ⅸ	서리·하드IX	ยาก·ยอดน้ำแข็ง·9
2201010	201	10	2201009	91149			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;100;30;150000					1	困难·冰峰·十	困難·冰峰·十	Hard (Icepeaks) X	困難・氷峰Ⅹ	서리·하드X	ยาก·ยอดน้ำแข็ง·10
2202001	202	1	0	91231;91232			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;50;5;50000					1	困难·永夜·一	困難·永夜·一	Hard (Evernight)  I	困難・永夜Ⅰ	영원한 밤·하드I 	ยาก·คืนนิรันดร์·1
2202002	202	2	2202001	91233;91234			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;55;5;60000					1	困难·永夜·二	困難·永夜·二	Hard (Evernight) II	困難・永夜Ⅱ	영원한 밤·하드II 	ยาก·คืนนิรันดร์·2
2202003	202	3	2202002	91235;91236			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;60;5;70000					1	困难·永夜·三	困難·永夜·三	Hard (Evernight) III	困難・永夜Ⅲ	영원한 밤·하드III 	ยาก·คืนนิรันดร์·3
2202004	202	4	2202003	91237;91238			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;65;10;80000					1	困难·永夜·四	困難·永夜·四	Hard (Evernight) IV	困難・永夜Ⅳ	영원한 밤·하드IV	ยาก·คืนนิรันดร์·4
2202005	202	5	2202004	91239;91240			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;70;10;90000					1	困难·永夜·五	困難·永夜·五	Hard (Evernight) V	困難・永夜Ⅴ	영원한 밤·하드V	ยาก·คืนนิรันดร์·5
2202006	202	6	2202005	91241;91242			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;75;10;100000					1	困难·永夜·六	困難·永夜·六	Hard (Evernight) VI	困難・永夜Ⅵ	영원한 밤·하드VI 	ยาก·คืนนิรันดร์·6
2202007	202	7	2202006	91243;91244			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;80;20;110000					1	困难·永夜·七	困難·永夜·七	Hard (Evernight) VII	困難・永夜Ⅶ	영원한 밤·하드VII 	ยาก·คืนนิรันดร์·7
2202008	202	8	2202007	91245;91246			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;85;20;120000					1	困难·永夜·八	困難·永夜·八	Hard (Evernight) VIII	困難・永夜Ⅷ	영원한 밤·하드VIII 	ยาก·คืนนิรันดร์·8
2202009	202	9	2202008	91247;91248			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	5;90;20;130000					1	困难·永夜·九	困難·永夜·九	Hard (Evernight) IX	困難・永夜Ⅸ	영원한 밤·하드IX	ยาก·คืนนิรันดร์·9
2202010	202	10	2202009	91249;91250			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	5;100;30;150000					1	困难·永夜·十	困難·永夜·十	Hard (Evernight) X	困難・永夜Ⅹ	영원한 밤·하드X	ยาก·คืนนิรันดร์·10
2203001	203	1	0	91331;91332			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;50;5;50000					1	困难·雾沼·一	困難·霧沼·一	Hard (Fogmarsh) I	困難・霧沼Ⅰ	안개의 늪·하드I 	ยาก·บึงแห่งหมอก·1
2203002	203	2	2203001	91333;91334			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;55;5;60000					1	困难·雾沼·二	困難·霧沼·二	Hard (Fogmarsh) II	困難・霧沼Ⅱ	안개의 늪·하드II 	ยาก·บึงแห่งหมอก·2
2203003	203	3	2203002	91335;91336			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;60;5;70000					1	困难·雾沼·三	困難·霧沼·三	Hard (Fogmarsh) III	困難・霧沼Ⅲ	안개의 늪·하드III 	ยาก·บึงแห่งหมอก·3
2203004	203	4	2203003	91337;91338			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;65;10;80000					1	困难·雾沼·四	困難·霧沼·四	Hard (Fogmarsh) IV	困難・霧沼Ⅳ	안개의 늪·하드IV	ยาก·บึงแห่งหมอก·4
2203005	203	5	2203004	91339;91340			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;70;10;90000					1	困难·雾沼·五	困難·霧沼·五	Hard (Fogmarsh) V	困難・霧沼Ⅴ	안개의 늪·하드V	ยาก·บึงแห่งหมอก·5
2203006	203	6	2203005	91341;91342			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;75;10;100000					1	困难·雾沼·六	困難·霧沼·六	Hard (Fogmarsh) VI	困難・霧沼Ⅵ	안개의 늪·하드VI 	ยาก·บึงแห่งหมอก·6
2203007	203	7	2203006	91343;91344			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;80;20;110000					1	困难·雾沼·七	困難·霧沼·七	Hard (Fogmarsh) VII	困難・霧沼Ⅶ	안개의 늪·하드VII 	ยาก·บึงแห่งหมอก·7
2203008	203	8	2203007	91345;91346			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;85;20;120000					1	困难·雾沼·八	困難·霧沼·八	Hard (Fogmarsh) VIII	困難・霧沼Ⅷ	안개의 늪·하드VIII 	ยาก·บึงแห่งหมอก·8
2203009	203	9	2203008	91347;91348			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	5;90;20;130000					1	困难·雾沼·九	困難·霧沼·九	Hard (Fogmarsh) IX	困難・霧沼Ⅸ	안개의 늪·하드IX	ยาก·บึงแห่งหมอก·9
2203010	203	10	2203009	91349;91350			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	5;100;30;150000					1	困难·雾沼·十	困難·霧沼·十	Hard (Fogmarsh) X	困難・霧沼Ⅹ	안개의 늪·하드X	ยาก·บึงแห่งหมอก·10
2204001	204	1	0	91431;91432			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;50;5;50000					1	困难·迷心·一	困難·迷心·一	Hard (Mindmaze) I	困難・迷心Ⅰ	미혹·하드I 	ยาก·วงกตดวงใจ·1
2204002	204	2	2204001	91433;91434			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;55;5;60000					1	困难·迷心·二	困難·迷心·二	Hard (Mindmaze) II	困難・迷心Ⅱ	미혹·하드II 	ยาก·วงกตดวงใจ·2
2204003	204	3	2204002	91435;91436			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;60;5;70000					1	困难·迷心·三	困難·迷心·三	Hard (Mindmaze) III	困難・迷心Ⅲ	미혹·하드III 	ยาก·วงกตดวงใจ·3
2204004	204	4	2204003	91437;91438			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;65;10;80000					1	困难·迷心·四	困難·迷心·四	Hard (Mindmaze) IV	困難・迷心Ⅳ	미혹·하드IV	ยาก·วงกตดวงใจ·4
2204005	204	5	2204004	91439;91440			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;70;10;90000					1	困难·迷心·五	困難·迷心·五	Hard (Mindmaze) V	困難・迷心Ⅴ	미혹·하드V	ยาก·วงกตดวงใจ·5
2204006	204	6	2204005	91441;91442			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;75;10;100000					1	困难·迷心·六	困難·迷心·六	Hard (Mindmaze) VI	困難・迷心Ⅵ	미혹·하드VI 	ยาก·วงกตดวงใจ·6
2204007	204	7	2204006	91443;91444			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;80;20;110000					1	困难·迷心·七	困難·迷心·七	Hard (Mindmaze) VII	困難・迷心Ⅶ	미혹·하드VII 	ยาก·วงกตดวงใจ·7
2204008	204	8	2204007	91445;91446			300;300;200	0;0;0	8;12;0	4100032;5112001;4105023;3000003	5;85;20;120000					1	困难·迷心·八	困難·迷心·八	Hard (Mindmaze) VIII	困難・迷心Ⅷ	미혹·하드VIII 	ยาก·วงกตดวงใจ·8
2204009	204	9	2204008	91447;91448			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	5;90;20;130000					1	困难·迷心·九	困難·迷心·九	Hard (Mindmaze) IX	困難・迷心Ⅸ	미혹·하드IX	ยาก·วงกตดวงใจ·9
2204010	204	10	2204009	91449;91450			300;300;200	0;0;0	12;18;0	4100032;5112001;4105023;3000003	5;100;30;150000					1	困难·迷心·十	困難·迷心·十	Hard (Mindmaze) X	困難・迷心Ⅹ	미혹·하드X	ยาก·วงกตดวงใจ·10
