id	groupId	starLevel	Rewards	ItemNum	status
50	102	30	3000002;5200005;4199001	80;1;5	1
51	202	3	3000002;5200005;4199001	50;2;5	1
52	202	6	3000002;5200005;4199001	50;2;5	1
53	202	9	3000002;5200005;4199001	50;2;5	1
54	202	12	3000002;5200005;4199001	80;2;5	1
55	202	15	3000002;5200005;4199001	80;2;5	1
56	202	18	3000002;5200005;4199001	80;2;5	1
57	202	21	3000002;5200005;4199001	80;2;5	1
58	202	24	3000002;5200005;4199001	100;2;5	1
59	202	27	3000002;5200005;4199001	100;2;5	1
60	202	30	3000002;5200005;4199001	100;2;5	1
61	302	3	3000002;5200005;4199001	80;3;5	1
62	302	6	3000002;5200005;4199001	80;3;5	1
63	302	9	3000002;5200005;4199001	80;3;5	1
64	302	12	3000002;5200005;4199001	100;3;5	1
65	302	15	3000002;5200005;4199001	100;3;5	1
66	302	18	3000002;5200005;4199001	100;3;5	1
67	302	21	3000002;5200005;4199001	100;3;5	1
68	302	24	3000002;5200005;4199001	120;3;5	1
69	302	27	3000002;5200005;4199001	120;3;5	1
70	302	30	3000002;5200005;4199001	120;3;5	1
71	103	3	3000002;5200005;4199001	20;1;5	1
72	103	6	3000002;5200005;4199001	20;1;5	1
73	103	9	3000002;5200005;4199001	20;1;5	1
74	103	12	3000002;5200005;4199001	50;1;5	1
75	103	15	3000002;5200005;4199001	50;1;5	1
76	103	18	3000002;5200005;4199001	50;1;5	1
77	103	21	3000002;5200005;4199001	50;1;5	1
78	103	24	3000002;5200005;4199001	80;1;5	1
79	103	27	3000002;5200005;4199001	80;1;5	1
80	103	30	3000002;5200005;4199001	80;1;5	1
81	203	3	3000002;5200005;4199001	50;2;5	1
82	203	6	3000002;5200005;4199001	50;2;5	1
83	203	9	3000002;5200005;4199001	50;2;5	1
84	203	12	3000002;5200005;4199001	80;2;5	1
85	203	15	3000002;5200005;4199001	80;2;5	1
86	203	18	3000002;5200005;4199001	80;2;5	1
87	203	21	3000002;5200005;4199001	80;2;5	1
88	203	24	3000002;5200005;4199001	100;2;5	1
89	203	27	3000002;5200005;4199001	100;2;5	1
90	203	30	3000002;5200005;4199001	100;2;5	1
91	303	3	3000002;5200005;4199001	80;3;5	1
92	303	6	3000002;5200005;4199001	80;3;5	1
93	303	9	3000002;5200005;4199001	80;3;5	1
94	303	12	3000002;5200005;4199001	100;3;5	1
95	303	15	3000002;5200005;4199001	100;3;5	1
96	303	18	3000002;5200005;4199001	100;3;5	1
97	303	21	3000002;5200005;4199001	100;3;5	1
98	303	24	3000002;5200005;4199001	120;3;5	1
99	303	27	3000002;5200005;4199001	120;3;5	1
100	303	30	3000002;5200005;4199001	120;3;5	1
101	104	3	3000002;5200005;4199001	20;1;5	1
102	104	6	3000002;5200005;4199001	20;1;5	1
103	104	9	3000002;5200005;4199001	20;1;5	1
104	104	12	3000002;5200005;4199001	50;1;5	1
105	104	15	3000002;5200005;4199001	50;1;5	1
106	104	18	3000002;5200005;4199001	50;1;5	1
107	104	21	3000002;5200005;4199001	50;1;5	1
108	104	24	3000002;5200005;4199001	80;1;5	1
109	104	27	3000002;5200005;4199001	80;1;5	1
110	104	30	3000002;5200005;4199001	80;1;5	1
111	204	3	3000002;5200005;4199001	50;2;5	1
112	204	6	3000002;5200005;4199001	50;2;5	1
113	204	9	3000002;5200005;4199001	50;2;5	1
114	204	12	3000002;5200005;4199001	80;2;5	1
115	204	15	3000002;5200005;4199001	80;2;5	1
116	204	18	3000002;5200005;4199001	80;2;5	1
117	204	21	3000002;5200005;4199001	80;2;5	1
118	204	24	3000002;5200005;4199001	100;2;5	1
119	204	27	3000002;5200005;4199001	100;2;5	1
120	204	30	3000002;5200005;4199001	100;2;5	1
121	304	3	3000002;5200005;4199001	80;3;5	1
122	304	6	3000002;5200005;4199001	80;3;5	1
123	304	9	3000002;5200005;4199001	80;3;5	1
124	304	12	3000002;5200005;4199001	100;3;5	1
125	304	15	3000002;5200005;4199001	100;3;5	1
126	304	18	3000002;5200005;4199001	100;3;5	1
127	304	21	3000002;5200005;4199001	100;3;5	1
128	304	24	3000002;5200005;4199001	120;3;5	1
129	304	27	3000002;5200005;4199001	120;3;5	1
130	304	30	3000002;5200005;4199001	120;3;5	1
131	105	3	3000002;5200005;4199001	20;1;5	1
132	105	6	3000002;5200005;4199001	20;1;5	1
133	105	9	3000002;5200005;4199001	20;1;5	1
134	105	12	3000002;5200005;4199001	50;1;5	1
135	105	15	3000002;5200005;4199001	50;1;5	1
136	105	18	3000002;5200005;4199001	50;1;5	1
137	105	21	3000002;5200005;4199001	50;1;5	1
138	105	24	3000002;5200005;4199001	80;1;5	1
139	105	27	3000002;5200005;4199001	80;1;5	1
140	105	30	3000002;5200005;4199001	80;1;5	1
141	205	3	3000002;5200005;4199001	50;2;5	1
142	205	6	3000002;5200005;4199001	50;2;5	1
143	205	9	3000002;5200005;4199001	50;2;5	1
144	205	12	3000002;5200005;4199001	80;2;5	1
145	205	15	3000002;5200005;4199001	80;2;5	1
146	205	18	3000002;5200005;4199001	80;2;5	1
147	205	21	3000002;5200005;4199001	80;2;5	1
148	205	24	3000002;5200005;4199001	100;2;5	1
149	205	27	3000002;5200005;4199001	100;2;5	1
150	205	30	3000002;5200005;4199001	100;2;5	1
151	305	3	3000002;5200005;4199001	80;3;5	1
152	305	6	3000002;5200005;4199001	80;3;5	1
153	305	9	3000002;5200005;4199001	80;3;5	1
154	305	12	3000002;5200005;4199001	100;3;5	1
155	305	15	3000002;5200005;4199001	100;3;5	1
156	305	18	3000002;5200005;4199001	100;3;5	1
157	305	21	3000002;5200005;4199001	100;3;5	1
158	305	24	3000002;5200005;4199001	120;3;5	1
159	305	27	3000002;5200005;4199001	120;3;5	1
160	305	30	3000002;5200005;4199001	120;3;5	1
161	106	3	3000002;5200005;4199001	20;1;5	1
162	106	6	3000002;5200005;4199001	20;1;5	1
163	106	9	3000002;5200005;4199001	20;1;5	1
164	106	12	3000002;5200005;4199001	50;1;5	1
165	106	15	3000002;5200005;4199001	50;1;5	1
166	106	18	3000002;5200005;4199001	50;1;5	1
167	106	21	3000002;5200005;4199001	50;1;5	1
168	106	24	3000002;5200005;4199001	80;1;5	1
169	106	27	3000002;5200005;4199001	80;1;5	1
170	106	30	3000002;5200005;4199001	80;1;5	1
171	206	3	3000002;5200005;4199001	50;2;5	1
172	206	6	3000002;5200005;4199001	50;2;5	1
173	206	9	3000002;5200005;4199001	50;2;5	1
174	206	12	3000002;5200005;4199001	80;2;5	1
175	206	15	3000002;5200005;4199001	80;2;5	1
176	206	18	3000002;5200005;4199001	80;2;5	1
177	206	21	3000002;5200005;4199001	80;2;5	1
178	206	24	3000002;5200005;4199001	100;2;5	1
179	206	27	3000002;5200005;4199001	100;2;5	1
180	206	30	3000002;5200005;4199001	100;2;5	1
181	306	3	3000002;5200005;4199001	80;3;5	1
182	306	6	3000002;5200005;4199001	80;3;5	1
183	306	9	3000002;5200005;4199001	80;3;5	1
184	306	12	3000002;5200005;4199001	100;3;5	1
185	306	15	3000002;5200005;4199001	100;3;5	1
186	306	18	3000002;5200005;4199001	100;3;5	1
187	306	21	3000002;5200005;4199001	100;3;5	1
188	306	24	3000002;5200005;4199001	120;3;5	1
189	306	27	3000002;5200005;4199001	120;3;5	1
190	306	30	3000002;5200005;4199001	120;3;5	1
191	107	3	3000002;5200005;4199001	20;1;5	1
192	107	6	3000002;5200005;4199001	20;1;5	1
193	107	9	3000002;5200005;4199001	20;1;5	1
194	107	12	3000002;5200005;4199001	50;1;5	1
195	107	15	3000002;5200005;4199001	50;1;5	1
196	107	18	3000002;5200005;4199001	50;1;5	1
197	107	21	3000002;5200005;4199001	50;1;5	1
198	107	24	3000002;5200005;4199001	80;1;5	1
199	107	27	3000002;5200005;4199001	80;1;5	1
200	107	30	3000002;5200005;4199001	80;1;5	1
201	207	3	3000002;5200005;4199001	50;2;5	1
202	207	6	3000002;5200005;4199001	50;2;5	1
203	207	9	3000002;5200005;4199001	50;2;5	1
204	207	12	3000002;5200005;4199001	80;2;5	1
205	207	15	3000002;5200005;4199001	80;2;5	1
206	207	18	3000002;5200005;4199001	80;2;5	1
207	207	21	3000002;5200005;4199001	80;2;5	1
208	207	24	3000002;5200005;4199001	100;2;5	1
209	207	27	3000002;5200005;4199001	100;2;5	1
210	207	30	3000002;5200005;4199001	100;2;5	1
211	307	3	3000002;5200005;4199001	80;3;5	1
212	307	6	3000002;5200005;4199001	80;3;5	1
213	307	9	3000002;5200005;4199001	80;3;5	1
214	307	12	3000002;5200005;4199001	100;3;5	1
215	307	15	3000002;5200005;4199001	100;3;5	1
216	307	18	3000002;5200005;4199001	100;3;5	1
217	307	21	3000002;5200005;4199001	100;3;5	1
218	307	24	3000002;5200005;4199001	120;3;5	1
219	307	27	3000002;5200005;4199001	120;3;5	1
220	307	30	3000002;5200005;4199001	120;3;5	1
221	108	3	3000002;5200005;4199001	20;1;5	1
222	108	6	3000002;5200005;4199001	20;1;5	1
223	108	9	3000002;5200005;4199001	20;1;5	1
224	108	12	3000002;5200005;4199001	50;1;5	1
225	108	15	3000002;5200005;4199001	50;1;5	1
226	108	18	3000002;5200005;4199001	50;1;5	1
227	108	21	3000002;5200005;4199001	50;1;5	1
228	108	24	3000002;5200005;4199001	80;1;5	1
229	108	27	3000002;5200005;4199001	80;1;5	1
230	108	30	3000002;5200005;4199001	80;1;5	1
231	208	3	3000002;5200005;4199001	50;2;5	1
232	208	6	3000002;5200005;4199001	50;2;5	1
233	208	9	3000002;5200005;4199001	50;2;5	1
234	208	12	3000002;5200005;4199001	80;2;5	1
235	208	15	3000002;5200005;4199001	80;2;5	1
236	208	18	3000002;5200005;4199001	80;2;5	1
237	208	21	3000002;5200005;4199001	80;2;5	1
238	208	24	3000002;5200005;4199001	100;2;5	1
239	208	27	3000002;5200005;4199001	100;2;5	1
240	208	30	3000002;5200005;4199001	100;2;5	1
241	308	3	3000002;5200005;4199001	80;3;5	1
242	308	6	3000002;5200005;4199001	80;3;5	1
243	308	9	3000002;5200005;4199001	80;3;5	1
244	308	12	3000002;5200005;4199001	100;3;5	1
245	308	15	3000002;5200005;4199001	100;3;5	1
246	308	18	3000002;5200005;4199001	100;3;5	1
247	308	21	3000002;5200005;4199001	100;3;5	1
248	308	24	3000002;5200005;4199001	120;3;5	1
249	308	27	3000002;5200005;4199001	120;3;5	1
250	308	30	3000002;5200005;4199001	120;3;5	1
251	109	3	3000002;5200005;4199001	20;1;5	1
252	109	6	3000002;5200005;4199001	20;1;5	1
253	109	9	3000002;5200005;4199001	20;1;5	1
254	109	12	3000002;5200005;4199001	50;1;5	1
255	109	15	3000002;5200005;4199001	50;1;5	1
256	109	18	3000002;5200005;4199001	50;1;5	1
257	109	21	3000002;5200005;4199001	50;1;5	1
258	109	24	3000002;5200005;4199001	80;1;5	1
259	109	27	3000002;5200005;4199001	80;1;5	1
260	109	30	3000002;5200005;4199001	80;1;5	1
261	209	3	3000002;5200005;4199001	50;2;5	1
262	209	6	3000002;5200005;4199001	50;2;5	1
263	209	9	3000002;5200005;4199001	50;2;5	1
264	209	12	3000002;5200005;4199001	80;2;5	1
265	209	15	3000002;5200005;4199001	80;2;5	1
266	209	18	3000002;5200005;4199001	80;2;5	1
267	209	21	3000002;5200005;4199001	80;2;5	1
268	209	24	3000002;5200005;4199001	100;2;5	1
269	209	27	3000002;5200005;4199001	100;2;5	1
270	209	30	3000002;5200005;4199001	100;2;5	1
271	309	3	3000002;5200005;4199001	80;3;5	1
272	309	6	3000002;5200005;4199001	80;3;5	1
273	309	9	3000002;5200005;4199001	80;3;5	1
274	309	12	3000002;5200005;4199001	100;3;5	1
275	309	15	3000002;5200005;4199001	100;3;5	1
276	309	18	3000002;5200005;4199001	100;3;5	1
277	309	21	3000002;5200005;4199001	100;3;5	1
278	309	24	3000002;5200005;4199001	120;3;5	1
279	309	27	3000002;5200005;4199001	120;3;5	1
280	309	30	3000002;5200005;4199001	120;3;5	1
281	110	3	3000002;5200005;4199001	20;1;5	1
282	110	6	3000002;5200005;4199001	20;1;5	1
283	110	9	3000002;5200005;4199001	20;1;5	1
284	110	12	3000002;5200005;4199001	50;1;5	1
285	110	15	3000002;5200005;4199001	50;1;5	1
286	110	18	3000002;5200005;4199001	50;1;5	1
287	110	21	3000002;5200005;4199001	50;1;5	1
288	110	24	3000002;5200005;4199001	80;1;5	1
289	110	27	3000002;5200005;4199001	80;1;5	1
290	110	30	3000002;5200005;4199001	80;1;5	1
291	210	3	3000002;5200005;4199001	50;2;5	1
292	210	6	3000002;5200005;4199001	50;2;5	1
293	210	9	3000002;5200005;4199001	50;2;5	1
294	210	12	3000002;5200005;4199001	80;2;5	1
295	210	15	3000002;5200005;4199001	80;2;5	1
296	210	18	3000002;5200005;4199001	80;2;5	1
297	210	21	3000002;5200005;4199001	80;2;5	1
298	210	24	3000002;5200005;4199001	100;2;5	1
299	210	27	3000002;5200005;4199001	100;2;5	1
300	210	30	3000002;5200005;4199001	100;2;5	1
301	310	3	3000002;5200005;4199001	80;3;5	1
302	310	6	3000002;5200005;4199001	80;3;5	1
303	310	9	3000002;5200005;4199001	80;3;5	1
304	310	12	3000002;5200005;4199001	100;3;5	1
305	310	15	3000002;5200005;4199001	100;3;5	1
306	310	18	3000002;5200005;4199001	100;3;5	1
307	310	21	3000002;5200005;4199001	100;3;5	1
308	310	24	3000002;5200005;4199001	120;3;5	1
309	310	27	3000002;5200005;4199001	120;3;5	1
310	310	30	3000002;5200005;4199001	120;3;5	1
311	111	3	3000002;5200005;4199001	20;1;5	1
312	111	6	3000002;5200005;4199001	20;1;5	1
313	111	9	3000002;5200005;4199001	20;1;5	1
314	111	12	3000002;5200005;4199001	50;1;5	1
315	111	15	3000002;5200005;4199001	50;1;5	1
316	111	18	3000002;5200005;4199001	50;1;5	1
317	111	21	3000002;5200005;4199001	50;1;5	1
318	111	24	3000002;5200005;4199001	80;1;5	1
319	111	27	3000002;5200005;4199001	80;1;5	1
320	111	30	3000002;5200005;4199001	80;1;5	1
321	211	3	3000002;5200005;4199001	50;2;5	1
322	211	6	3000002;5200005;4199001	50;2;5	1
323	211	9	3000002;5200005;4199001	50;2;5	1
324	211	12	3000002;5200005;4199001	80;2;5	1
325	211	15	3000002;5200005;4199001	80;2;5	1
326	211	18	3000002;5200005;4199001	80;2;5	1
327	211	21	3000002;5200005;4199001	80;2;5	1
328	211	24	3000002;5200005;4199001	100;2;5	1
329	211	27	3000002;5200005;4199001	100;2;5	1
330	211	30	3000002;5200005;4199001	100;2;5	1
331	311	3	3000002;5200005;4199001	80;3;5	1
332	311	6	3000002;5200005;4199001	80;3;5	1
333	311	9	3000002;5200005;4199001	80;3;5	1
334	311	12	3000002;5200005;4199001	100;3;5	1
335	311	15	3000002;5200005;4199001	100;3;5	1
336	311	18	3000002;5200005;4199001	100;3;5	1
337	311	21	3000002;5200005;4199001	100;3;5	1
338	311	24	3000002;5200005;4199001	120;3;5	1
339	311	27	3000002;5200005;4199001	120;3;5	1
340	311	30	3000002;5200005;4199001	120;3;5	1
341	112	3	3000002;5200005;4199001	20;1;5	1
342	112	6	3000002;5200005;4199001	20;1;5	1
343	112	9	3000002;5200005;4199001	20;1;5	1
344	112	12	3000002;5200005;4199001	50;1;5	1
345	112	15	3000002;5200005;4199001	50;1;5	1
346	112	18	3000002;5200005;4199001	50;1;5	1
347	112	21	3000002;5200005;4199001	50;1;5	1
348	112	24	3000002;5200005;4199001	80;1;5	1
349	112	27	3000002;5200005;4199001	80;1;5	1
350	112	30	3000002;5200005;4199001	80;1;5	1
351	212	3	3000002;5200005;4199001	50;2;5	1
352	212	6	3000002;5200005;4199001	50;2;5	1
353	212	9	3000002;5200005;4199001	50;2;5	1
354	212	12	3000002;5200005;4199001	80;2;5	1
355	212	15	3000002;5200005;4199001	80;2;5	1
356	212	18	3000002;5200005;4199001	80;2;5	1
357	212	21	3000002;5200005;4199001	80;2;5	1
358	212	24	3000002;5200005;4199001	100;2;5	1
359	212	27	3000002;5200005;4199001	100;2;5	1
360	212	30	3000002;5200005;4199001	100;2;5	1
361	312	3	3000002;5200005;4199001	80;3;5	1
362	312	6	3000002;5200005;4199001	80;3;5	1
363	312	9	3000002;5200005;4199001	80;3;5	1
364	312	12	3000002;5200005;4199001	100;3;5	1
365	312	15	3000002;5200005;4199001	100;3;5	1
366	312	18	3000002;5200005;4199001	100;3;5	1
367	312	21	3000002;5200005;4199001	100;3;5	1
368	312	24	3000002;5200005;4199001	120;3;5	1
369	312	27	3000002;5200005;4199001	120;3;5	1
370	312	30	3000002;5200005;4199001	120;3;5	1
371	113	3	3000002;5200005;4199001	20;1;5	1
372	113	6	3000002;5200005;4199001	20;1;5	1
373	113	9	3000002;5200005;4199001	20;1;5	1
374	113	12	3000002;5200005;4199001	50;1;5	1
375	113	15	3000002;5200005;4199001	50;1;5	1
376	113	18	3000002;5200005;4199001	50;1;5	1
377	113	21	3000002;5200005;4199001	50;1;5	1
378	113	24	3000002;5200005;4199001	80;1;5	1
379	113	27	3000002;5200005;4199001	80;1;5	1
380	113	30	3000002;5200005;4199001	80;1;5	1
381	213	3	3000002;5200005;4199001	50;2;5	1
382	213	6	3000002;5200005;4199001	50;2;5	1
383	213	9	3000002;5200005;4199001	50;2;5	1
384	213	12	3000002;5200005;4199001	80;2;5	1
385	213	15	3000002;5200005;4199001	80;2;5	1
386	213	18	3000002;5200005;4199001	80;2;5	1
387	213	21	3000002;5200005;4199001	80;2;5	1
388	213	24	3000002;5200005;4199001	100;2;5	1
389	213	27	3000002;5200005;4199001	100;2;5	1
390	213	30	3000002;5200005;4199001	100;2;5	1
391	313	3	3000002;5200005;4199001	80;3;5	1
392	313	6	3000002;5200005;4199001	80;3;5	1
393	313	9	3000002;5200005;4199001	80;3;5	1
394	313	12	3000002;5200005;4199001	100;3;5	1
395	313	15	3000002;5200005;4199001	100;3;5	1
396	313	18	3000002;5200005;4199001	100;3;5	1
397	313	21	3000002;5200005;4199001	100;3;5	1
398	313	24	3000002;5200005;4199001	120;3;5	1
399	313	27	3000002;5200005;4199001	120;3;5	1
400	313	30	3000002;5200005;4199001	120;3;5	1
401	114	3	3000002;5200005;4199001	20;1;5	1
402	114	6	3000002;5200005;4199001	20;1;5	1
403	114	9	3000002;5200005;4199001	20;1;5	1
404	114	12	3000002;5200005;4199001	50;1;5	1
405	114	15	3000002;5200005;4199001	50;1;5	1
406	114	18	3000002;5200005;4199001	50;1;5	1
407	114	21	3000002;5200005;4199001	50;1;5	1
408	114	24	3000002;5200005;4199001	80;1;5	1
409	114	27	3000002;5200005;4199001	80;1;5	1
410	114	30	3000002;5200005;4199001	80;1;5	1
411	214	3	3000002;5200005;4199001	50;2;5	1
412	214	6	3000002;5200005;4199001	50;2;5	1
413	214	9	3000002;5200005;4199001	50;2;5	1
414	214	12	3000002;5200005;4199001	80;2;5	1
415	214	15	3000002;5200005;4199001	80;2;5	1
416	214	18	3000002;5200005;4199001	80;2;5	1
417	214	21	3000002;5200005;4199001	80;2;5	1
418	214	24	3000002;5200005;4199001	100;2;5	1
419	214	27	3000002;5200005;4199001	100;2;5	1
420	214	30	3000002;5200005;4199001	100;2;5	1
421	314	3	3000002;5200005;4199001	80;3;5	1
422	314	6	3000002;5200005;4199001	80;3;5	1
423	314	9	3000002;5200005;4199001	80;3;5	1
424	314	12	3000002;5200005;4199001	100;3;5	1
425	314	15	3000002;5200005;4199001	100;3;5	1
426	314	18	3000002;5200005;4199001	100;3;5	1
427	314	21	3000002;5200005;4199001	100;3;5	1
428	314	24	3000002;5200005;4199001	120;3;5	1
429	314	27	3000002;5200005;4199001	120;3;5	1
430	314	30	3000002;5200005;4199001	120;3;5	1
431	115	3	3000002;5200005;4199001	20;1;5	1
432	115	6	3000002;5200005;4199001	20;1;5	1
433	115	9	3000002;5200005;4199001	20;1;5	1
434	115	12	3000002;5200005;4199001	50;1;5	1
435	115	15	3000002;5200005;4199001	50;1;5	1
436	115	18	3000002;5200005;4199001	50;1;5	1
437	115	21	3000002;5200005;4199001	50;1;5	1
438	115	24	3000002;5200005;4199001	80;1;5	1
439	115	27	3000002;5200005;4199001	80;1;5	1
440	115	30	3000002;5200005;4199001	80;1;5	1
441	215	3	3000002;5200005;4199001	50;2;5	1
442	215	6	3000002;5200005;4199001	50;2;5	1
443	215	9	3000002;5200005;4199001	50;2;5	1
444	215	12	3000002;5200005;4199001	80;2;5	1
445	215	15	3000002;5200005;4199001	80;2;5	1
446	215	18	3000002;5200005;4199001	80;2;5	1
447	215	21	3000002;5200005;4199001	80;2;5	1
448	215	24	3000002;5200005;4199001	100;2;5	1
449	215	27	3000002;5200005;4199001	100;2;5	1
450	215	30	3000002;5200005;4199001	100;2;5	1
451	315	3	3000002;5200005;4199001	80;3;5	1
452	315	6	3000002;5200005;4199001	80;3;5	1
453	315	9	3000002;5200005;4199001	80;3;5	1
454	315	12	3000002;5200005;4199001	100;3;5	1
455	315	15	3000002;5200005;4199001	100;3;5	1
456	315	18	3000002;5200005;4199001	100;3;5	1
457	315	21	3000002;5200005;4199001	100;3;5	1
458	315	24	3000002;5200005;4199001	120;3;5	1
459	315	27	3000002;5200005;4199001	120;3;5	1
460	315	30	3000002;5200005;4199001	120;3;5	1
461	116	3	3000002;5200005;4199001	20;1;5	1
462	116	6	3000002;5200005;4199001	20;1;5	1
463	116	9	3000002;5200005;4199001	20;1;5	1
464	116	12	3000002;5200005;4199001	50;1;5	1
465	116	15	3000002;5200005;4199001	50;1;5	1
466	116	18	3000002;5200005;4199001	50;1;5	1
467	116	21	3000002;5200005;4199001	50;1;5	1
468	116	24	3000002;5200005;4199001	80;1;5	1
469	116	27	3000002;5200005;4199001	80;1;5	1
470	116	30	3000002;5200005;4199001	80;1;5	1
471	216	3	3000002;5200005;4199001	50;2;5	1
472	216	6	3000002;5200005;4199001	50;2;5	1
473	216	9	3000002;5200005;4199001	50;2;5	1
474	216	12	3000002;5200005;4199001	80;2;5	1
475	216	15	3000002;5200005;4199001	80;2;5	1
476	216	18	3000002;5200005;4199001	80;2;5	1
477	216	21	3000002;5200005;4199001	80;2;5	1
478	216	24	3000002;5200005;4199001	100;2;5	1
479	216	27	3000002;5200005;4199001	100;2;5	1
480	216	30	3000002;5200005;4199001	100;2;5	1
481	316	3	3000002;5200005;4199001	80;3;5	1
482	316	6	3000002;5200005;4199001	80;3;5	1
483	316	9	3000002;5200005;4199001	80;3;5	1
484	316	12	3000002;5200005;4199001	100;3;5	1
485	316	15	3000002;5200005;4199001	100;3;5	1
486	316	18	3000002;5200005;4199001	100;3;5	1
487	316	21	3000002;5200005;4199001	100;3;5	1
488	316	24	3000002;5200005;4199001	120;3;5	1
489	316	27	3000002;5200005;4199001	120;3;5	1
490	316	30	3000002;5200005;4199001	120;3;5	1
491	117	3	3000002;5200005;4199001	20;1;5	1
492	117	6	3000002;5200005;4199001	20;1;5	1
493	117	9	3000002;5200005;4199001	20;1;5	1
494	117	12	3000002;5200005;4199001	50;1;5	1
495	117	15	3000002;5200005;4199001	50;1;5	1
496	117	18	3000002;5200005;4199001	50;1;5	1
497	117	21	3000002;5200005;4199001	50;1;5	1
498	117	24	3000002;5200005;4199001	80;1;5	1
499	117	27	3000002;5200005;4199001	80;1;5	1
500	117	30	3000002;5200005;4199001	80;1;5	1
501	217	3	3000002;5200005;4199001	50;2;5	1
502	217	6	3000002;5200005;4199001	50;2;5	1
503	217	9	3000002;5200005;4199001	50;2;5	1
504	217	12	3000002;5200005;4199001	80;2;5	1
505	217	15	3000002;5200005;4199001	80;2;5	1
506	217	18	3000002;5200005;4199001	80;2;5	1
507	217	21	3000002;5200005;4199001	80;2;5	1
508	217	24	3000002;5200005;4199001	100;2;5	1
509	217	27	3000002;5200005;4199001	100;2;5	1
510	217	30	3000002;5200005;4199001	100;2;5	1
511	317	3	3000002;5200005;4199001	80;3;5	1
512	317	6	3000002;5200005;4199001	80;3;5	1
513	317	9	3000002;5200005;4199001	80;3;5	1
514	317	12	3000002;5200005;4199001	100;3;5	1
515	317	15	3000002;5200005;4199001	100;3;5	1
516	317	18	3000002;5200005;4199001	100;3;5	1
517	317	21	3000002;5200005;4199001	100;3;5	1
518	317	24	3000002;5200005;4199001	120;3;5	1
519	317	27	3000002;5200005;4199001	120;3;5	1
520	317	30	3000002;5200005;4199001	120;3;5	1
521	118	3	3000002;5200005;4199001	20;1;5	1
522	118	6	3000002;5200005;4199001	20;1;5	1
523	118	9	3000002;5200005;4199001	20;1;5	1
524	118	12	3000002;5200005;4199001	50;1;5	1
525	118	15	3000002;5200005;4199001	50;1;5	1
526	118	18	3000002;5200005;4199001	50;1;5	1
527	118	21	3000002;5200005;4199001	50;1;5	1
528	118	24	3000002;5200005;4199001	80;1;5	1
529	118	27	3000002;5200005;4199001	80;1;5	1
530	118	30	3000002;5200005;4199001	80;1;5	1
531	218	3	3000002;5200005;4199001	50;2;5	1
532	218	6	3000002;5200005;4199001	50;2;5	1
533	218	9	3000002;5200005;4199001	50;2;5	1
534	218	12	3000002;5200005;4199001	80;2;5	1
535	218	15	3000002;5200005;4199001	80;2;5	1
536	218	18	3000002;5200005;4199001	80;2;5	1
