id	groupId	upperLimit	lowerLimit	type	reward	rewardNum	mailID	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
27	421	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
28	421	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
29	442	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
30	442	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
31	442	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
32	442	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
33	442	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
34	442	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
35	442	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
36	443	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
37	443	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
38	443	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
39	443	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
40	443	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
41	443	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
42	443	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
43	445	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
44	445	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
45	445	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
46	445	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
47	445	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
48	445	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
49	445	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
50	447	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
51	447	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
52	447	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
53	447	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
54	447	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
55	447	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
56	447	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
57	448	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
58	448	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
59	448	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
60	448	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
61	448	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
62	448	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
63	448	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
64	449	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
65	449	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
66	449	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
67	449	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
68	449	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
69	449	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
70	449	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
71	451	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
72	451	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
73	451	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
74	451	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
75	451	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
76	451	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
77	451	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
78	453	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
79	453	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
80	453	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
81	453	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
82	453	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
83	453	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
84	453	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
85	454	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
86	454	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
87	454	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
88	454	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
89	454	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
90	454	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
91	454	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
92	455	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
93	455	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
94	455	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
95	455	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
96	455	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
97	455	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
98	455	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
99	456	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
100	456	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
101	456	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
102	456	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
103	456	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
104	456	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
105	456	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
106	457	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
107	457	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
108	457	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
109	457	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
110	457	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
111	457	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
112	457	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
113	458	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
114	458	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
115	458	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
116	458	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
117	458	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
118	458	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
119	458	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
120	458	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
121	458	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
122	458	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
123	458	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
124	458	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
125	458	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
126	458	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
127	459	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
128	459	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
129	459	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
130	459	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
131	459	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
132	459	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
133	459	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
134	460	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
135	460	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
136	460	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
137	460	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
138	460	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
139	460	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
140	460	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
141	461	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
142	461	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
143	461	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
144	461	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
145	461	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
146	461	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
147	461	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
148	462	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
149	462	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
150	462	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
151	462	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
152	462	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
153	462	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
154	462	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
155	463	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
156	463	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
157	463	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
158	463	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
159	463	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
160	463	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
161	463	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
162	464	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
163	464	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
164	464	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
165	464	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
166	464	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
167	464	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
168	464	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
169	465	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
170	465	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
171	465	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
172	465	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
173	465	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
174	465	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
175	465	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
176	466	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
177	466	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
178	466	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
179	466	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
180	466	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
181	466	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
182	466	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
183	467	1	1	1	4197005;4100032;3000018	30;100;1200	90046	1	第1名	第1名	No.1	1位	1위	อันดับที่ 1
184	467	2	3	1	4197005;4100032;3000018	25;80;900	90047	1	2-3名	2-3名	No.2 - No.3	2〜3位	2-3위	อันดับ 2-3
185	467	4	10	1	4197005;4100032;3000018	20;60;700	90048	1	4-10名	4-10名	No.4 - No.10	4〜10位	4-10위	อันดับ 4-10
186	467	11	30	1	4197005;4100032;3000018	15;50;600	90049	1	11-30名	11-30名	No.11 - No.30	11〜30位	11-30위	อันดับ 11-30
187	467	31	50	1	4197005;4100032;3000018	10;40;500	90050	1	31-50名	31-50名	No.31 - No.50	31〜50位	31-50위	อันดับ 31-50
188	467	51	100	1	4197005;4100032;3000018	6;30;400	90051	1	51-100名	51-100名	No.51 - No.100	51〜100位	51-100위	อันดับ 51-100
189	467	101	1000000	1	4197005;4100032;3000018	4;20;300	90052	1	未进前100	未進前100	Not in the top 100	100位圏外	100위 미만	ไม่ติด 100 อันดับแรก
