StageId,,des,Difficulty,DifficultyName,Offset,Hurt,Reward,RolePetId
60301,西蒙,2,1,ui_DailyBossDungeon_6,"-2,0","3188,4781,6375,7968,9562,11156,12749,14343,15936","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014009,3014020,3016009,3014003,3014016"
60302,西蒙,2,2,ui_DailyBossDungeon_7,"-2,0","10276,15414,20552,25690,30828,35966,41104,46242,51379","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014009,3014020,3016009,3014003,3014016"
60303,西蒙,2,3,ui_DailyBossDungeon_8,"-2,0","115892,173837,231783,289728,347674,405620,463565,521511,579456","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014009,3014020,3016009,3014003,3014016"
60304,西蒙,2,4,ui_DailyBossDungeon_9,"-2,0","314450,471675,628900,786125,943350,1100575,1257800,1415025,1572249","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014009,3014020,3016009,3014003,3014016"
60305,西蒙,2,5,ui_DailyBossDungeon_30,"-2,0","586599,879898,1173197,1466496,1759796,2053095,2346394,2639693,2932992","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014009,3014020,3016009,3014003,3014016"
60306,西蒙,2,6,ui_DailyBossDungeon_10,"-2,0","780135,1170202,1560269,1950336,2340404,2730471,3120538,3510605,3900672","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014009,3014020,3016009,3014003,3014016"
60401,莉莉布朗尼,3,1,ui_DailyBossDungeon_6,"-2,0","3560,5339,7119,8898,10678,12458,14237,16017,17796","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014029,3016013,3015004,3015002,3014027"
60402,莉莉布朗尼,3,2,ui_DailyBossDungeon_7,"-2,0","23079,34618,46157,57696,69236,80775,92314,103853,115392","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014029,3016013,3015004,3015002,3014027"
60403,莉莉布朗尼,3,3,ui_DailyBossDungeon_8,"-2,0","193695,290542,387389,484236,581084,677931,774778,871625,968472","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014029,3016013,3015004,3015002,3014027"
60404,莉莉布朗尼,3,4,ui_DailyBossDungeon_9,"-2,0","465349,698024,930698,1163373,1396047,1628722,1861396,2094071,2326745","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014029,3016013,3015004,3015002,3014027"
60405,莉莉布朗尼,3,5,ui_DailyBossDungeon_30,"-2,0","774467,1161700,1548933,1936166,2323400,2710633,3097866,3485099,3872332","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014029,3016013,3015004,3015002,3014027"
60406,莉莉布朗尼,3,6,ui_DailyBossDungeon_10,"-2,0","1029988,1544982,2059975,2574969,3089963,3604956,4119950,4634944,5149937","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3014029,3016013,3015004,3015002,3014027"
60501,咎瓦尤斯,4,1,ui_DailyBossDungeon_6,"-15,0","3188,4781,6375,7968,9562,11156,12749,14343,15936","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016130,3014024,3013004,3016013,3015002"
60502,咎瓦尤斯,4,2,ui_DailyBossDungeon_7,"-15,0","8564,12845,17127,21408,25690,29972,34253,38535,42816","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016130,3014024,3013004,3016013,3015002"
60503,咎瓦尤斯,4,3,ui_DailyBossDungeon_8,"-15,0","115892,173837,231783,289728,347674,405620,463565,521511,579456","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016130,3014024,3013004,3016013,3015002"
60504,咎瓦尤斯,4,4,ui_DailyBossDungeon_9,"-15,0","314450,471675,628900,786125,943350,1100575,1257800,1415025,1572249","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016130,3014024,3013004,3016013,3015002"
60505,咎瓦尤斯,4,5,ui_DailyBossDungeon_30,"-15,0","586599,879898,1173197,1466496,1759796,2053095,2346394,2639693,2932992","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016130,3014024,3013004,3016013,3015002"
60506,咎瓦尤斯,4,6,ui_DailyBossDungeon_10,"-15,0","780135,1170202,1560269,1950336,2340404,2730471,3120538,3510605,3900672","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016130,3014024,3013004,3016013,3015002"
60601,黑桃,5,1,ui_DailyBossDungeon_6,"-2,0","4250,6375,8500,10624,12749,14874,16999,19124,21248","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016031,3016013,3015002,3014030,3015004"
60602,黑桃,5,2,ui_DailyBossDungeon_7,"-2,0","16670,25005,33340,41674,50009,58344,66679,75014,83348","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016031,3016013,3015002,3014030,3015004"
60603,黑桃,5,3,ui_DailyBossDungeon_8,"-2,0","95804,143705,191607,239508,287410,335312,383213,431115,479016","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016031,3016013,3015002,3014030,3015004"
60604,黑桃,5,4,ui_DailyBossDungeon_9,"-2,0","212254,318381,424508,530634,636761,742888,849015,955142,1061268","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016031,3016013,3015002,3014030,3015004"
60605,黑桃,5,5,ui_DailyBossDungeon_30,"-2,0","351959,527939,703918,879898,1055877,1231857,1407836,1583816,1759795","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016031,3016013,3015002,3014030,3015004"
60606,黑桃,5,6,ui_DailyBossDungeon_10,"-2,0","468081,702121,936162,1170202,1404242,1638283,1872323,2106363,2340403","1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1000002,50;1001019,50;1001052,1","3016031,3016013,3015002,3014030,3015004"
