id,,loop,music_id,file_name,suchname
8110056,档案室_编年史_黄金时代,1,8120007,bgm_BianNianShi_07_golden_age,bgm_BNS_HuangJinShiDai
8110057,档案室_编年史_圣龙战争,1,8120008,bgm_BianNianShi_08_dragons_war,bgm_BNS_ShengLongZhanZheng
8110058,档案室_编年史_弑神,1,8120009,bgm_BianNianShi_09_deicide,bgm_BNS_ShiShen
8110059,档案室_编年史_新的秩序,1,8120010,bgm_BianNianShi_10_new_order,bgm_BNS_XinDeZhiXu
8110060,档案室_编年史_拉耶的崛起,1,8120011,bgm_BianNianShi_11_rise_of_torah,bgm_BNS_LaYeDeJueQi
8110061,档案室_编年史_风暴将至,1,8120012,bgm_BianNianShi_12_storm_is_coming,bgm_BNS_FengBaoJiangZhi
8110062,档案室_编年史_我们的故事,1,8120013,bgm_BianNianShi_13_our_story,bgm_BNS_WoMenDeGuShi
8110063,日常_魔女档案,1,8120053,bgm_RiChang_TongYong,bgm_MoNvDangAn
8110064,主线_战前剧情 通用,1,8120021,bgm_JuQing_TongYong_ZhengChang,bgm_ZhanDou_ProFight
8110065,主线_战后剧情 通用,1,8120022,bgm_JuQing_TongYong_ZhengChang_02,bgm_ZhanDou_AfterFight
8110066,主线_纯剧情通用,1,8120023,bgm_JuQing_TongYong_ZhengChang_03,bgm_Story
8110067,钓鱼_场景,1,8120075,bgm_YouXi_DiaoYu,bgm_RiChang_DiaoYu
8110068,钓鱼_对抗,1,8120076,bgm_YouXi_DiaoYu_DuiKang,bgm_Diaoyu_duikang
8110069,赛马_选人,1,8120071,bgm_YouXi_SaiMa_XuanRen,bgm_SaiMa_xuanren
8110070,赛马_倒计时,1,8120072,bgm_YouXi_SaiMa_DaoJiShi,bgm_Saima_daojishi
8110071,赛马（点击下注后播放）,1,8120073,bgm_YouXi_SaiMa,bgm_SaiMa_bisaikais
8110072,赛马_领奖台,1,8120074,bgm_YouXi_SaiMa_LingJiangTai,bgm_SaiMa_lingjiangtai
8110073,农场,1,8120077,bgm_YouXi_NongChang,bgm_NongChang
8110074,温泉,1,8120078,bgm_YouXi_WenQuan,bgm_WenQuan
8110075,日常 欢快,1,8120047,bgm_RiChang_HuanKuai,bgm_RiChang_HuanKuai
8110076,日常 舒缓,1,8120048,bgm_RiChang_ShuHuan,bgm_RiChang_ShuHuan
8110077,日常 悠闲,1,8120051,bgm_RiChang_YouXian,bgm_RiChang_YouXian
8110078,剧情通用 紧张,1,8120024,bgm_JuQing_TongYong_JinZhang,bgm_TongYong_07_JuQing_JinZhang
8110079,剧情通用 胜利,1,8120025,bgm_JuQing_TongYong_ShengLi,bgm_TongYong_11_JuQing_ShengLi
8110080,剧情通用 悲伤,1,8120026,bgm_JuQing_TongYong_BeiShang,bgm_TongYong_13_JuQing_BeiShang
8110081,剧情通用 回忆,1,8120027,bgm_JuQing_TongYong_HuiYi,bgm_TongYong_15_JuQing_HuiYi
8110082,剧情 悲伤抒情,1,8120028,bgm_JuQing_BeiShangShuQing,bgm_JuQing_beichuangdejuenzhu
8110083,剧情 轻松一刻,1,8120029,bgm_JuQing_QingSongYiKe,bgm_JuQing_xiaomonuhuankuaiwu
8110084,剧情 危机来临,1,8120030,bgm_JuQing_WeiJiLaiLin,bgm_JuQing_zhenlideweiji
8110085,剧情 邪恶阴谋,1,8120031,bgm_JuQing_XieEYinMou,bgm_JuQing_xieeyinmou
8110086,剧情 星空之下,1,8120032,bgm_JuQing_XingKongZhiXia,bgm_JuQing_xingkongzhixia
8110087,剧情 深沉,1,8120033,bgm_JuQing_ShenChen,bgm_JuQing_jinglingyinji
8110088,剧情 悲伤,1,8120034,bgm_JuQing_BeiShang,bgm_JuQing_BeiShang
8110089,剧情 奋起,1,8120035,bgm_JuQing_FenQi,bgm_JuQing_Fenqi
8110090,剧情 回忆,1,8120036,bgm_JuQing_HuiYi,bgm_JuQing_Huiyi
8110091,剧情 羁绊,1,8120037,bgm_JuQing_JiBan,bgm_JuQing_Jiban
8110092,剧情 紧张,1,8120038,bgm_JuQing_JinZhang,bgm_JuQing_JinZhang
8110093,剧情 正常,1,8120039,bgm_JuQing_ZhengChang,bgm_JuQing_Zhengchang
8110094,剧情 庆典,1,8120040,bgm_JuQing_QingDian,bgm_JuQing_QingDian
8110095,界面_根目录,1,8120043,bgm_JieMian_ZhuJieMian,bgm_qiyuan
8110096,界面_抽卡,1,8120045,bgm_JieMian_ChouKa,bgm_chouka_dengdai
8110097,界面_抽卡_结束,1,8120046,bgm_JieMian_ChouKa_JieShu,bgm_chouka_jieshu_loop
8110098,暴食之罪,1,8120054,bgm_ZhanDou_Boss_BaoShi,bgm_ZhanDou_Boss_BaoShi
8110099,色欲之罪,1,8120055,bgm_ZhanDou_Boss_SeYu,bgm_ZhanDou_Boss_SeYu
8110100,愤怒之罪_红色,1,8120056,bgm_ZhanDou_Boss_FenNu_Hong,bgm_ZhanDou_Boss_FenNu_Hong
8110101,愤怒之罪_蓝色,1,8120057,bgm_ZhanDou_Boss_FenNu_Lan,bgm_ZhanDou_Boss_FenNu_Lan
8110102,嫉妒之罪,1,8120058,bgm_ZhanDou_Boss_JiDu,bgm_ZhanDou_Boss_JiDu
8110103,战斗 通用1,1,8120059,bgm_ZhanDou_TongYong_01,bgm_ZhanDou_TongYong_01
8110104,战斗 通用2,1,8120060,bgm_ZhanDou_TongYong_02,bgm_ZhanDou_TongYong_02
8110105,战斗 通用3,1,8120061,bgm_ZhanDou_TongYong_03,bgm_ZhanDou_TongYong_03
8110106,战斗 通用4,1,8120062,bgm_ZhanDou_TongYong_04,bgm_ZhanDou_TongYong_04
8110107,战斗 弘大,1,8120063,bgm_ZhanDou_HongDa,bgm_ZhanDou_XuanZhanShiYan
8110108,战斗 歇斯底里,1,8120070,bgm_ZhanDou_XieSiDiLi,bgm_ZhanDou_AoZhan
8110109,战斗_大桥 白天,1,8120079,bgm_ZhanDou_DaQiao_BaiTian,bgm_ZhanDou_DaQiao_BaiTian
8110110,战斗_大桥 夜晚,1,8120080,bgm_ZhanDou_DaQiao_YeWan,bgm_ZhanDou_DaQiao_YeWan
8110111,战斗_街道 白天,1,8120081,bgm_ZhanDou_JieDao_BaiTian,bgm_ZhanDou_JieDao_BaiTian
8110112,战斗_街道 夜晚,1,8120082,bgm_ZhanDou_JieDao_YeWan,bgm_ZhanDou_JieDao_YeWan
8110113,战斗_宴会厅,1,8120083,bgm_ZhanDou_YanHuiTing,bgm_ZhanDou_YanHuiTing
8110114,战斗_山顶,1,8120084,bgm_ZhanDou_ShanDing,bgm_ZhanDou_Shanding
8110115,战斗_地窖,1,8120085,bgm_ZhanDou_DiJiao,bgm_ZhanDou_DiJiao
8110116,战斗_下水道,1,8120086,bgm_ZhanDou_XiaShuiDao,bgm_ZhanDou_XiaShuiDao
8110117,战斗_小巷,1,8120087,bgm_ZhanDou_XiaoXiang,bgm_ZhanDou_Xiaoxiang
8110118,战斗_花园,1,8120088,bgm_ZhanDou_HuaYuan,bgm_ZhanDou_Huayuan
8110119,战斗_训练场,1,8120089,bgm_ZhanDou_XunLianChang,bgm_ZhanDou_XunLianChang
8110120,战斗_野外,1,8120090,bgm_ZhanDou_YeWai,bgm_ZhanDou_YeWai
8110121,主线剧情_第5章,1,8120019,bgm_ZhangJie_5,bgm_ZhangJie_5
8110122,音效_签到 环境音,1,8120091,UI_SignIn_amb,UI_SignIn_waiting_amb
8110123,音效_农场 环境音,1,8120092,UI_Farm_amb,UI_Farm_waiting_amb
8110124,圣别之塔,1,8120042,bgm_JieMian_FuYinGuanLi,bgm_ShengBieZhiTa
8110125,常驻活动_圣别之塔,1,8120093,bgm_HuoDong_ShengBieZhiTa_1,bgm_HuoDong_ShengBieZhiTa
8110126,主线剧情_双神之战,1,8120014,bgm_ZhangJie_ShuangShenZhiZhan,bgm_ZhangJie_ShuangShenZhiZhan
8110127,战斗优势1,1,8120094,bgm_ZhanDou_YouShi_1,bgm_ZhanDou_WeakNess
8110128,常规战斗1,1,8120095,bgm_ZhanDou_ChangGui_1,bgm_ZhanDou_ChangGui_1
8110129,三柱臣,1,8120096,bgm_JuQing_SanZhuChen,bgm_JuQing_SanZhuChen
8110130,剧情 戏剧家,1,8120097,bgm_JuQing_XiJuJia,bgm_JuQing_XiJuJia
8110131,常规战斗2,1,8120098,bgm_ZhanDou_ChangGui_2,bgm_ZhanDou_ChangGui_2
8110132,常规战斗3,1,8120099,bgm_ZhanDou_ChangGui_3,bgm_ZhanDou_ChangGui_3
8110133,战斗优势2,1,8120100,bgm_ZhanDou_YouShi_2,bgm_ZhanDou_WeakNess_2
8110134,一等星之夜,1,8120101,bgm_HuoDong_YiDengXingZhiYe.ogg,bgm_HuoDong_YiDengXingZhiYe
8110135,锦绣序曲,1,8120102,bgm_HuoDong_Tao_1.ogg,bgm_HuoDong_Tao_1
8110136,丹心阵,1,8120103,bgm_HuoDong_Tao_2,bgm_HuoDong_Tao_2
8110137,光阴驻足,1,8120104,bgm_JieMian_ZhuJieMian_2,bgm_JieMian_ZhuJieMian_2
8110138,曦光颂,1,8120105,bgm_JieMian_ZhuJieMian_3,bgm_JieMian_ZhuJieMian_3
8110139,魔潮涌动,1,8120106,bgm_HuoDong_GuaiWuLieZhen,bgm_HuoDong_GuaiWuLieZhen
8110140,历史：禁锢之秘闻,1,8120107,bgm_HuoDong_ShengBieZhiTa_3,bgm_HuoDong_ShengBieZhiTa_3
8110141,和光同尘,1,8120108,bgm_HuoDong_Bosiju_1.ogg,bgm_HuoDong_Bosiju_1
8110142,推理对决,1,8120109,bgm_HuoDong_Naomi_1.ogg,bgm_HuoDong_Naomi_1
8110143,如履薄冰,1,8120110,bgm_HuoDong_Naomi_2,bgm_HuoDong_Naomi_2
8110144,谨慎前行,1,8120111,bgm_HuoDong_Naomi_3,bgm_HuoDong_Naomi_3
8110145,历史长河,1,8120112,bgm_HuoDong_Naomi_4,bgm_HuoDong_Naomi_4
8110146,怀疑与猜忌,1,8120113,bgm_HuoDong_Naomi_5,bgm_HuoDong_Naomi_5
8110147,活动_极焰_主界面 ,1,8120114,bgm_HuoDong_Jiyan_1.ogg,bgm_HuoDong_Jiyan_1
8110148,活动_极焰_BOSS战 ,1,8120115,bgm_HuoDong_Jiyan_2.ogg,bgm_HuoDong_Jiyan_2
8110149,活动_极焰_游戏主界面,1,8120116,bgm_HuoDong_Jiyan_3.ogg,bgm_HuoDong_Jiyan_3
8110150,活动_露易丝_角色曲,1,8120117,bgm_JueSe_Louise,bgm_JueSe_Louise
8110151,活动_露易丝_主界面,1,8120118,bgm_HuoDong_Louise.ogg,bgm_HuoDong_Louise
8110152,活动_恋花_主界面,1,8120119,bgm_HuoDong_Lianhua.ogg,bgm_HuoDong_Lianhua
8110153,活动_诺维雅_主界面,1,8120120,bgm_HuoDong_Novia.ogg,bgm_HuoDong_Novia
8110154,活动-闪乱神乐,1,8120121,bgm_HuoDong_Kagura.ogg,bgm_HuoDong_Kagura
8110155,活动-一周年,1,8120122,bgm_HuoDong_Zhounian.ogg,bgm_HuoDong_Zhounian
8110156,活动_卡洛蒂_主界面,1,8120123,bgm_HuoDong_Carlotti_01.ogg,bgm_HuoDong_Carlotti_01
8110157,活动_卡洛蒂_剧情_轻松,1,8120124,bgm_HuoDong_Carlotti_02.ogg,bgm_HuoDong_Carlotti_02
8110158,活动_卡洛蒂_剧情_紧张,1,8120125,bgm_HuoDong_Carlotti_03.ogg,bgm_HuoDong_Carlotti_03
8110159,活动_黑音_主界面,1,8120126,bgm_HuoDong_HeiYin.ogg,bgm_HuoDong_HeiYin
8110160,活动_白夜_主界面,1,8120127,bgm_HuoDong_BaiYe.ogg,bgm_HuoDong_BaiYe
