DressId,Sort,Show,,DressName,,DressSource,Par1,,Source,DressDes,,DecorationPositiontype,SpecialType,DecorationType,Model,Icon,Quality
5002041,41,1,纯白龙尾,RoleDressName_5002041,吉拉蒂亚,0,3016009,吉拉蒂亚,RoleDressSource_5002041,RoleDressDes_5002041,晶化的红龙不曾想过自己的命运，她只是一昧走向那未知的前路。,4,,601,sp_3016009,sp_3016009_icon,5
5002042,42,1,鬼魅幽兰,RoleDressName_5002042,卡萝琳,0,3016011,卡萝琳,RoleDressSource_5002042,RoleDressDes_5002042,离开家乡时，卡萝琳带走一朵兰花，父亲说那是母亲的最爱。,1,,101,sp_3016011,sp_3016011_icon,4
5002043,43,1,青蛙发带,RoleDressName_5002043,克尔苏娜,0,3016013,克尔苏娜,RoleDressSource_5002043,RoleDressDes_5002043,外形酷似青蛙的发带，据说佩戴后会略微增加周遭下雨的几率？,1,,101,sp_3016013,sp_3016013_icon,5
5002044,44,1,颂诗胸针,RoleDressName_5002044,罗莎莉,0,3016017,罗莎莉,RoleDressSource_5002044,RoleDressDes_5002044,吟游诗人的歌声将随着她所见所闻，所思所想的而愈发深入人心。,3,,301,sp_3016017,sp_3016017_icon,4
5002045,45,1,怠惰的愿珠,RoleDressName_5002045,佩内洛普,0,3016023,佩内洛普,RoleDressSource_5002045,RoleDressDes_5002045,小魔女所持有的珠玉，据说佩戴后会变得懒惰，不想动弹。,3,,301,sp_3016023,sp_3016023_icon,3
5002046,46,1,深渊眼眸,RoleDressName_5002046,小闪,0,3016031,小闪,RoleDressSource_5002046,RoleDressDes_5002046,“当你凝视深渊时，深渊也在凝视你。”,2,4,,sp_3016031,sp_3016031_icon,5
5002047,47,1,小熊帽,RoleDressName_5002047,仙蒂,0,3016038,仙蒂,RoleDressSource_5002047,RoleDressDes_5002047,非常可爱的小熊帽子。我们承诺，没有一只小熊受到伤害。,1,,101,sp_3016038,sp_3016038_icon,3
5002048,48,1,堕落之触,RoleDressName_5002048,昔莱,0,3016078,昔莱,RoleDressSource_5002048,RoleDressDes_5002048,那一日，她终于看清了堕落与绝望。,2,4,,sp_3016078,sp_3016078_icon,5
5002049,49,1,航海眼罩,RoleDressName_5002049,伊卡洛斯,0,3016130,伊卡洛斯,RoleDressSource_5002049,RoleDressDes_5002049,航海者所佩戴的独眼罩，具有快速适应光线变幻的作用，也被视作海上身份的象征。,2,,103,sp_3016130,sp_3016130_icon,5
5002050,50,1,青铜面具,RoleDressName_5002050,桃,0,3014009,桃,RoleDressSource_5002050,RoleDressDes_5002050,人们只会渴求符合他们所想象的神而不会去在意她的本貌，因此神才有了各种各样的面具。,1,,101,sp_3014009,sp_3014009_icon,5
5002051,51,1,青鸟之翎,RoleDressName_5002051,伊拉,0,3014031,伊拉,RoleDressSource_5002051,RoleDressDes_5002051,淡蓝色的羽饰曾是两姐妹的喜爱之物，在二人身处环境恶劣的矿井时它曾带来了些许的慰藉。,1,,101,sp_3014031,sp_3014031_icon,5
5002052,52,1,卯兔布偶,RoleDressName_5002052,异邦波斯菊,0,3016187,异邦波斯菊,RoleDressSource_5002052,RoleDressDes_5002052,由手工制成的精巧挂件，作为被传承下来的信物，其中寄宿着前代卯兔圣卫们的信念,3,,301,sp_3016187,sp_3016187_icon,5
5002053,53,1,世界之泪,RoleDressName_5002053,贝卡丝,0,3016068,贝卡丝,RoleDressSource_5002053,RoleDressDes_5002053,贝卡丝的发饰，据说是神明赠予她的眼泪。,1,,101,sp_3016068,sp_3016068_icon,4
5002054,54,1,流民万用刀,RoleDressName_5002054,瑞比娅,0,3016010,瑞比娅,RoleDressSource_5002054,RoleDressDes_5002054,瑞比娅常用的武器，可以用来削果皮、分食物，以及为一些人送行。,3,,301,sp_3016010,sp_3016010_icon,5
5002055,55,1,荣耀弯角,RoleDressName_5002055,塞蕾丝蒂娜,0,3016024,塞蕾丝蒂娜,RoleDressSource_5002055,RoleDressDes_5002055,卡尔佩恩家引以为傲的特征。在绝境中，它是最后的武器。,1,,101,sp_3016024,sp_3016024_icon,5
5002056,56,1,古董眼镜,RoleDressName_5002056,奈奥米,0,3016020,奈奥米,RoleDressSource_5002056,RoleDressDes_5002056,并不能真的提升智力，只会让人看上去显得聪明一些。,1,,102,sp_3016020,sp_3016020_icon,5
5002057,57,1,世界之泪,RoleDressName_5002057,艾琳娜,0,3016049,艾琳娜,RoleDressSource_5002057,RoleDressDes_5002057,艾琳娜的发饰，据说是神明赠予她的眼泪。,1,,101,sp_3016049,sp_3016049_icon,5
5002058,58,1,聆听者的秘钥,RoleDressName_5002058,艾斯塔利亚,0,3014011,艾斯塔利亚,RoleDressSource_5002058,RoleDressDes_5002058,杰西斯教教皇的权力象征。在第三纪元以前，教皇受祂的戒，传祂的福音。,3,,301,sp_3014011,sp_3014011_icon,5
5002059,59,1,决心,RoleDressName_5002059,极焰,0,3016188,极焰,RoleDressSource_5002059,RoleDressDes_5002059,柔如春柳，炽若红莲。,3,,301,sp_3016188,sp_3016188_icon,5
5002060,60,1,迷声金铃,RoleDressName_5002060,黛比,0,3014002,黛比,RoleDressSource_5002060,RoleDressDes_5002060,对于潜行来说铃铛是一种只会起到反效果的装备，不过只要潜行的技术足够高超，铃铛就只是一种装饰。,1,,101,sp_3014002,sp_3014002_icon,4
5002061,61,1,糖果腰包,RoleDressName_5002061,露易丝,0,3016016,露易丝,RoleDressSource_5002061,RoleDressDes_5002061,“要来一点糖果吗？甜甜的味道会让心情都一起好起来的~”,3,,301,sp_3016016,sp_3016016_icon,5
5002062,62,1,远行腿环,RoleDressName_5002062,恋花,0,3014006,恋花,RoleDressSource_5002062,RoleDressDes_5002062,少女用魔法自制的腿环，可以大大减轻长途跋涉带来的腿部疲劳。,3,,502,sp_3014006,sp_3014006_icon,5
5002063,63,1,引路蝶,RoleDressName_5002063,花梨,0,3014017,花梨,RoleDressSource_5002063,RoleDressDes_5002063,幻蝶曼舞，引导着迷途者前往只属于此人的乐园。,1,,101,sp_3014017,sp_3014017_icon,5
5002064,64,1,虔诚之握,RoleDressName_5002064,菲尔盖娜,0,3013013,菲尔盖娜,RoleDressSource_5002064,RoleDressDes_5002064,祈祷吧，圣典上说，神的慈悲会宽恕人的罪孽。,3,,512,sp_3013013,sp_3013013_icon,5
5002065,65,1,瑰丽之人,RoleDressName_5002065,诺维雅,0,3015001,诺维雅,RoleDressSource_5002065,RoleDressDes_5002065,一切都是为了绽放的瞬间——绝对的美丽，让生命也黯然失色。,1,,101,sp_3015001,sp_3015001_icon,5
5002066,66,1,纯白蝴蝶,RoleDressName_5002066,雪泉,0,3017001,雪泉,RoleDressSource_5002066,RoleDressDes_5002066,当蝴蝶样式的头饰飘舞时，即可知道如雪般纯洁的正义又一次执行了。,3,,301,sp_5002066,sp_5002066_icon,5
5002067,67,1,雪之花,RoleDressName_5002067,雪不归,0,3017002,雪不归,RoleDressSource_5002067,RoleDressDes_5002067,无论是否愿意，白花都会给人带来一种怜悯感，即使少女从不需要这些。,1,,101,sp_5002067,sp_5002067_icon,5
5002068,68,1,无名的胸针,RoleDressName_5002068,杜达·戴维,0,3016119,杜达·戴维,RoleDressSource_5002068,RoleDressDes_5002068,皇帝胸前的装饰物。没有人知道这件饰品象征着哪一项荣誉，杜达也从不回答。,3,,301,sp_3016119,sp_3016119_icon,5
5002069,69,1,灰烬的咏叹,RoleDressName_5002069,塔嘉娜,0,3016189,塔嘉娜,RoleDressSource_5002069,RoleDressDes_5002069,死亡之国的枯败颜色。浓缩着终末、绝望与旧日的结局。,5,2,101,sp_3016189,sp_3016189_icon,5
5002070,70,1,星雪袖套,RoleDressName_5002070,卡洛蒂,0,3014028,卡洛蒂,RoleDressSource_5002070,RoleDressDes_5002070,看似平平无奇的袖套，然而摸上去的手感，却总会比预想中更为冰凉。,3,,513,sp_3014028,sp_3014028_icon,5
5003046,101,,钢铁手甲,RoleDressName_5003046,,2,,[盛夏潮声]累消活动获得,RoleDressSource_5003046,RoleDressDes_5003046,大小可变，威力十足的手甲，是与雪泉同为月闪队的夜樱最引以为傲的武器。,3,,513,sp_5003046,sp_5003046_icon,5
5003047,102,,黑色贝雷帽,RoleDressName_5003047,,2,,[不归之途]签到活动获得,RoleDressSource_5003047,RoleDressDes_5003047,曾经与雪泉同为月闪队的两备的帽子，也是米伦从未有过的风格的帽子，也许很快就会流行。,1,,101,sp_5003047,sp_5003047_icon,5
5003048,103,,摇曳猫尾,RoleDressName_5003048,,2,,[盛夏潮声]累消活动获得,RoleDressSource_5003048,RoleDressDes_5003048,黑色的猫尾像风中的猫尾草一样，摇晃中向所有看到的人散播着可爱。,4,,601,sp_5003048,sp_5003048_icon,5
5003050,104,1,忍猫公仔,RoleDressName_5003050,雷雷,2,3014024,群星纪闻·隐,RoleDressSource_5003050,RoleDressDes_5003050,特殊饰品，雷雷的忍猫公仔，看起来非常柔软舒适。,5,5,801,sp_3014024_02,sp_3014024_icon_02,5
5003051,105,1,忍者绒耳,RoleDressName_5003051,雷雷,2,3014024,群星纪闻·隐,RoleDressSource_5003051,RoleDressDes_5003051,以忍者少女为原型制作的头饰，填充的仿制绒毛相当舒适。,1,,110,sp_3014024_03,sp_3014024_icon_03,5
5003052,108,1,辉光白鹿,RoleDressName_5003052,弥生,2,3014005,真理圣殿办事处,RoleDressSource_5003052,RoleDressDes_5003052,总是眯着眼的白鹿，似乎会发出白光，骑上去有股暖洋洋的感觉。,5,5,801,sp_3014005_02,sp_3014005_icon_02,5
5003053,109,1,魔王之角,RoleDressName_5003053,纳菲,2,3014021,群星纪闻·隐,RoleDressSource_5003053,RoleDressDes_5003053,“嘿嘿，以后纳菲的角可会成为大魔王的象征！”——纳菲如是说。,1,,110,sp_3014021_02,sp_3014021_icon_02,5
5003054,110,1,Futurear,RoleDressName_5003054,未来,2,3014012,群星纪闻·隐,RoleDressSource_5003054,RoleDressDes_5003054,未来的耳朵——呸，是耳机。据说可以从莱哈特监听到米伦的频段……,1,,101,sp_3014012_02,sp_3014012_icon_02,5
5003055,111,1,收获日,RoleDressName_5003055,昔莱,2,3016078,群星纪闻·隐,RoleDressSource_5003055,RoleDressDes_5003055,对任何昂萨斯来说都是荣耀的象征，昔莱却总用它挂着装不下的食物……,1,,101,sp_3016078_02,sp_3016078_icon_02,5
5003056,112,1,兔兔心叠结,RoleDressName_5003056,大波斯菊,2,3016187,群星纪闻·隐,RoleDressSource_5003056,RoleDressDes_5003056,偷偷地，将心意也叠在其中吧……,1,,110,sp_3016187_02,sp_3016187_icon_02,5
5003057,113,1,斋王之仪,RoleDressName_5003057,哀歌,2,3013015,群星纪闻·隐,RoleDressSource_5003057,RoleDressDes_5003057,一物一饰，不容有失。,3,,301,sp_3013015_02,sp_3013015_icon_02,5
5003058,114,1,岁月耳羽,RoleDressName_5003058,焰心,2,3014003,群星纪闻·隐,RoleDressSource_5003058,RoleDressDes_5003058,日升月落，倏尔千年。,1,,110,sp_3014003_02,sp_3014003_icon_02,5
5003059,115,,神秘年糕？,RoleDressName_5003059,,2,,潮汐馈礼,RoleDressSource_5003059,RoleDressDes_5003059,看什么看，小心我吃了你。,5,5,801,sp_cz_01,sp_cz_01,5
5003060,116,,龙龙闹新春,RoleDressName_5003060,,2,,潮汐馈礼,RoleDressSource_5003060,RoleDressDes_5003060,戴上它，你也是英武之龙！,1,,101,sp_cz_02,sp_cz_02,5
5003061,117,1,祈愿之顶,RoleDressName_5003061,,2,,群星纪闻·隐,RoleDressSource_5003061,RoleDressDes_5003061,情意与心愿或许的确无法触碰，但它们一定存在。,1,,101,sp_3014016_02,sp_3014016_icon_02,5
5003062,118,1,圣龙之角,RoleDressName_5003062,,2,,群星纪闻·隐,RoleDressSource_5003062,RoleDressDes_5003062,荣耀、威严、引领、守护、象征。,1,,110,sp_3015002_02,sp_3015002_icon_02,5
5003063,119,1,白玫瑰发卡,RoleDressName_5003063,,2,,群星纪闻·隐,RoleDressSource_5003063,RoleDressDes_5003063,纯洁的白玫瑰，若是由父母赠给女儿，则代表了对保护她永远天真的期许。,1,,101,sp_3016010_02,sp_3016010_icon_02,5
5003064,120,1,梦色玩偶熊,RoleDressName_5003064,,2,,群星纪闻·隐,RoleDressSource_5003064,RoleDressDes_5003064,“小熊玩偶会邀请它的小主人一起到梦境世界游玩。”——这是聪明的商人为了销售商品特别编写的故事，竟然意外地风靡米伦。,3,,301,sp_3016023_01,sp_3016023_icon_02,5
5003065,121,,辉光金轮坠,RoleDressName_5003065,,2,,冬梦尽礼,RoleDressSource_5003065,RoleDressDes_5003065,胸部饰品，仿照太阳光芒雕刻成的十字挂坠，据说木质部分盘久了会变得富有光泽，还能……释放香气？,3,,301,sp_3014011_01,sp_3014011_icon_02,5
5003066,122,1,天水羽饰,RoleDressName_5003066,,2,,群星纪闻·隐,RoleDressSource_5003066,RoleDressDes_5003066,精灵的眼泪落在那夜的黑暗里，像极了夜晚的湖光。,3,,301,sp_3016049_01,sp_3016049_icon_01,5
5003067,123,1,昼夜的甜蜜,RoleDressName_5003067,,2,,群星纪闻·隐,RoleDressSource_5003067,RoleDressDes_5003067,贝儿用甜蜜描绘一个简单的梦想，遇到侍主后梦想变成了两个。,1,,101,sp_3014029_01,sp_3014029_icon_01,5
5100001,124,1,情热耳羽,RoleDressName_5100001,,2,,群星纪闻·隐,RoleDressSource_5100001,RoleDressDes_5100001,晴光之下，多了些独属于他们的细语。,1,,110,sp_3014023_01,sp_3014023_icon_01,5
5100002,125,1,永不迷失的牧铃,RoleDressName_5100002,,2,,群星纪闻·隐,RoleDressSource_5100002,RoleDressDes_5100002,清脆的铃声会指引你找到我……还有我们的方向。,4,,613,sp_3014017_01,sp_3014017_icon_01,5
5100003,126,1,黑暗的威权,RoleDressName_5100003,原萨拉,2,3015007,群星纪闻·隐,RoleDressSource_5100001,RoleDressDes_5100003,黑暗、及其概念的象征。,1,,101,sp_3015007_02,sp_3015006_icon_01,5
5100004,127,1,桃华,RoleDressName_5100004,原桃,2,,群星纪闻·隐,RoleDressSource_5100001,RoleDressDes_5100004,欺诈、杀戮、锦绣、繁荣。,3,,301,sp_3014009_02,sp_3014009_icon_01,5
5100005,128,1,福音雪橇铃,RoleDressName_5100005,原圣诞牧,2,,群星纪闻·隐,RoleDressSource_5100001,RoleDressDes_5100005,用彩色缎带加以装饰的铃铛，寄托着冬雪节里的人们盼望属于自己的那份幸福来敲门的心愿。,3,,301,sp_301500801_02,sp_301500801_icon_01,5
5003031,201,1,锈红钥匙,RoleDressName_5003031,安普莎,1,301402501,装扮商店,RoleDressSource_5003031,RoleDressDes_5003031,头部饰品，驱动人偶行动的发条钥匙，不知道什么时候开始自行运转。驱动人偶的或许是这把钥匙，也可能是内心的渴望。,1,,101,sp_301402501,sp_301402501_icon,5
5003032,202,1,遥远辉星,RoleDressName_5003032,炽爱,1,301300401,装扮商店,RoleDressSource_5003032,RoleDressDes_5003032,头部饰品，即便星星落下，也不会失去光辉。这既是旧时代人们的信仰，也是对天使们而言的事实。,1,,101,sp_301300401,sp_301300401_icon,5
5003033,203,1,虚妄之花,RoleDressName_5003033,安娜,1,301403001,装扮商店,RoleDressSource_5003033,RoleDressDes_5003033,心爱之人采撷路旁的野花，编织成她最期待的模样。,1,,101,sp_301403001,sp_301403001_icon,5
5003034,204,1,回魂小铃铛,RoleDressName_5003034,纳菲,1,301402101,装扮商店,RoleDressSource_5003034,RoleDressDes_5003034,“吓人度小量提升，可爱度极大提升，虽然挂在耳朵旁，但一点也不吵。”——来自一条获赞数为零的买家秀。,1,,110,sp_301402101,sp_301402101_icon,5
5003035,205,1,典雅缎带,RoleDressName_5003035,耶坦尼娅,1,301500401,花与蝶之球,RoleDressSource_5003035,RoleDressDes_5003035,公主裙后的装饰，耶坦尼娅喜欢的少女风格,4,,501,sp_301500401,sp_301500401_icon,5
5003036,206,1,尖帽雪球熊,RoleDressName_5003036,牧,1,301500801,装扮商店,RoleDressSource_5003036,RoleDressDes_5003036,雪球熊的幼崽就像雪团，一不留神就会消失在雪地里。牧给这一只戴了帽子和围巾，现在不用担心找不到它了。,5,5,801,sp_301500801,sp_301500801_icon,5
5003037,207,1,可爱公仔,RoleDressName_5003037,吉拉蒂亚,1,301600903,装扮商店,RoleDressSource_5003037,RoleDressDes_5003037,花掉一整个月生活费才在娃娃机里抓到的可爱公仔——因为和心上人莫名神似。,4,,601,sp_301600903,sp_301600903_icon,5
5003038,208,1,白玉耳坠,RoleDressName_5003038,伊拉,1,301403101,装扮商店,RoleDressSource_5003038,RoleDressDes_5003038,一个小饰品，一点小心思。,1,,110,sp_301403101,sp_301403101_icon,5
5003039,209,1,医者盟约,RoleDressName_5003039,耶坦尼娅,1,301500402,装扮商店,RoleDressSource_5003039,RoleDressDes_5003039,永远怀抱慈爱——这是她们给自己的誓约。,1,,101,sp_301500402,sp_301500402_icon,5
5003040,210,1,明黄小鸭,RoleDressName_5003040,塞蕾丝蒂娜,1,301602401,装扮商店,RoleDressSource_5003040,RoleDressDes_5003040,丢进水里会沉沉浮浮的小鸭子，承载了侍主与塞蕾丝蒂娜共度的独特假期。,1,,101,sp_301602401,sp_301602401_icon,5
5003041,211,1,可爱遮阳帽,RoleDressName_5003041,丘吉尔,1,301402201,装扮商店,RoleDressSource_5003041,RoleDressDes_5003041,太阳和爱意一样，太过热烈的话……哎呀，不说这个了。,1,,101,sp_301402201,sp_301402201_icon,5
5003042,212,1,海滨墨镜,RoleDressName_5003042,伊卡洛斯,1,301613001,装扮商店,RoleDressSource_5003042,RoleDressDes_5003042,“在眼罩上戴墨镜，是一种幽默吗？” “所以墨镜只能架在头上啊！这才酷！”,1,,101,sp_301613001,sp_301613001_icon,5
