Id,TabType,Number,Type,RoleId,,Name,WeaponDesc,WeaponDescCoordinate,BackStory,StoryTitle,StoryDesc,StoryCondition,ConditionTitle,MonsterCapacityTitle,MonsterCapacityDesc,MonsterThreat,Resources,CanvasSize,Open
2013,2,013,3,3040004,炽炎翼,book_name_2013,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2013_1_1,book_storydesc_2013_1_2,book_storydesc_2013_1_3","10014,1;10014,20;10014,40","book_unlocktitle_2013_1_1,book_unlocktitle_2013_1_2,book_unlocktitle_2013_1_3","book_capacitytitle_2013_1_1,book_capacitytitle_2013_1_2,book_capacitytitle_2013_1_3","book_capacitydesc_2013_1_1,book_capacitydesc_2013_1_2,book_capacitydesc_2013_1_3",3,0,,1
2014,2,014,3,3040005,宁芙妖,book_name_2014,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2014_1_1,book_storydesc_2014_1_2,book_storydesc_2014_1_3","10015,1;10015,20;10015,40","book_unlocktitle_2014_1_1,book_unlocktitle_2014_1_2,book_unlocktitle_2014_1_3","book_capacitytitle_2014_1_1,book_capacitytitle_2014_1_2","book_capacitydesc_2014_1_1,book_capacitydesc_2014_1_2",2,0,,1
2015,2,015,3,3040006,噬命刃,book_name_2015,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2015_1_1,book_storydesc_2015_1_2,book_storydesc_2015_1_3","10016,1;10016,20;10016,40","book_unlocktitle_2015_1_1,book_unlocktitle_2015_1_2,book_unlocktitle_2015_1_3","book_capacitytitle_2015_1_1,book_capacitytitle_2015_1_2,book_capacitytitle_2015_1_3","book_capacitydesc_2015_1_1,book_capacitydesc_2015_1_2,book_capacitydesc_2015_1_3",1,0,,1
2016,2,016,3,3040007,影巫女,book_name_2016,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2016_1_1,book_storydesc_2016_1_2,book_storydesc_2016_1_3","10017,1;10017,20;10017,40","book_unlocktitle_2016_1_1,book_unlocktitle_2016_1_2,book_unlocktitle_2016_1_3","book_capacitytitle_2016_1_1,book_capacitytitle_2016_1_2,book_capacitytitle_2016_1_3","book_capacitydesc_2016_1_1,book_capacitydesc_2016_1_2,book_capacitydesc_2016_1_3",3,0,,1
2017,2,017,3,3040016,妄兽,book_name_2017,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2017_1_1,book_storydesc_2017_1_2,book_storydesc_2017_1_3","10018,1;10018,20;10018,40","book_unlocktitle_2017_1_1,book_unlocktitle_2017_1_2,book_unlocktitle_2017_1_3","book_capacitytitle_2017_1_1,book_capacitytitle_2017_1_2,book_capacitytitle_2017_1_3","book_capacitydesc_2017_1_1,book_capacitydesc_2017_1_2,book_capacitydesc_2017_1_3",2,0,,1
2018,2,018,3,30400161,祸兽,book_name_2018,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2018_1_1,book_storydesc_2018_1_2,book_storydesc_2018_1_3","10019,1;10019,20;10019,40","book_unlocktitle_2018_1_1,book_unlocktitle_2018_1_2,book_unlocktitle_2018_1_3","book_capacitytitle_2018_1_1,book_capacitytitle_2018_1_2,book_capacitytitle_2018_1_3","book_capacitydesc_2018_1_1,book_capacitydesc_2018_1_2,book_capacitydesc_2018_1_3",3,0,,1
2019,2,019,3,3040017,婴狐,book_name_2019,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2019_1_1,book_storydesc_2019_1_2,book_storydesc_2019_1_3","10020,1;10020,20;10020,40","book_unlocktitle_2019_1_1,book_unlocktitle_2019_1_2,book_unlocktitle_2019_1_3","book_capacitytitle_2019_1_1,book_capacitytitle_2019_1_2,book_capacitytitle_2019_1_3","book_capacitydesc_2019_1_1,book_capacitydesc_2019_1_2,book_capacitydesc_2019_1_3",2,0,,1
2020,2,020,3,30400171,狐魑,book_name_2020,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2020_1_1,book_storydesc_2020_1_2,book_storydesc_2020_1_3","10021,1;10021,20;10021,40","book_unlocktitle_2020_1_1,book_unlocktitle_2020_1_2,book_unlocktitle_2020_1_3","book_capacitytitle_2020_1_1,book_capacitytitle_2020_1_2,book_capacitytitle_2020_1_3","book_capacitydesc_2020_1_1,book_capacitydesc_2020_1_2,book_capacitydesc_2020_1_3",3,0,,1
2021,2,021,3,3050001,蝇斥候,book_name_2021,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2021_1_1,book_storydesc_2021_1_2,book_storydesc_2021_1_3","10022,1;10022,50;10022,100","book_unlocktitle_2021_1_1,book_unlocktitle_2021_1_2,book_unlocktitle_2021_1_3","book_capacitytitle_2021_1_1,book_capacitytitle_2021_1_2","book_capacitydesc_2021_1_1,book_capacitydesc_2021_1_2",0,0,,1
2022,2,022,3,30500011,播疫妖蝇,book_name_2022,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2022_1_1,book_storydesc_2022_1_2,book_storydesc_2022_1_3","10023,1;10023,50;10023,100","book_unlocktitle_2022_1_1,book_unlocktitle_2022_1_2,book_unlocktitle_2022_1_3","book_capacitytitle_2022_1_1,book_capacitytitle_2022_1_2","book_capacitydesc_2022_1_1,book_capacitydesc_2022_1_2",1,0,,1
2023,2,023,3,30500012,凋败妖蝇,book_name_2023,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2023_1_1,book_storydesc_2023_1_2,book_storydesc_2023_1_3","10024,1;10024,50;10024,100","book_unlocktitle_2023_1_1,book_unlocktitle_2023_1_2,book_unlocktitle_2023_1_3","book_capacitytitle_2023_1_1,book_capacitytitle_2023_1_2","book_capacitydesc_2023_1_1,book_capacitydesc_2023_1_2",3,0,,1
2024,2,024,3,3050002,铁骑士,book_name_2024,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2024_1_1,book_storydesc_2024_1_2,book_storydesc_2024_1_3","10025,1;10025,50;10025,100","book_unlocktitle_2024_1_1,book_unlocktitle_2024_1_2,book_unlocktitle_2024_1_3","book_capacitytitle_2024_1_1,book_capacitytitle_2024_1_2","book_capacitydesc_2024_1_1,book_capacitydesc_2024_1_2",1,0,,1
2025,2,025,3,30500021,白银骑士,book_name_2025,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2025_1_1,book_storydesc_2025_1_2,book_storydesc_2025_1_3","10026,1;10026,50;10026,100","book_unlocktitle_2025_1_1,book_unlocktitle_2025_1_2,book_unlocktitle_2025_1_3","book_capacitytitle_2025_1_1,book_capacitytitle_2025_1_2","book_capacitydesc_2025_1_1,book_capacitydesc_2025_1_2",2,0,,1
2026,2,026,3,30500022,黄金骑士,book_name_2026,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2026_1_1,book_storydesc_2026_1_2,book_storydesc_2026_1_3","10027,1;10027,50;10027,100","book_unlocktitle_2026_1_1,book_unlocktitle_2026_1_2,book_unlocktitle_2026_1_3","book_capacitytitle_2026_1_1,book_capacitytitle_2026_1_2","book_capacitydesc_2026_1_1,book_capacitydesc_2026_1_2",3,0,,1
2027,2,027,3,3050003,刃行者,book_name_2027,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2027_1_1,book_storydesc_2027_1_2,book_storydesc_2027_1_3","10028,1;10028,50;10028,100","book_unlocktitle_2027_1_1,book_unlocktitle_2027_1_2,book_unlocktitle_2027_1_3","book_capacitytitle_2027_1_1,book_capacitytitle_2027_1_2","book_capacitydesc_2027_1_1,book_capacitydesc_2027_1_2",1,0,,1
2028,2,028,3,30500031,刃行怪,book_name_2028,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2028_1_1,book_storydesc_2028_1_2,book_storydesc_2028_1_3","10029,1;10029,50;10029,100","book_unlocktitle_2028_1_1,book_unlocktitle_2028_1_2,book_unlocktitle_2028_1_3","book_capacitytitle_2028_1_1,book_capacitytitle_2028_1_2","book_capacitydesc_2028_1_1,book_capacitydesc_2028_1_2",2,0,,1
2029,2,029,3,30500032,刃行魔,book_name_2029,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2029_1_1,book_storydesc_2029_1_2,book_storydesc_2029_1_3","10030,1;10030,50;10030,100","book_unlocktitle_2029_1_1,book_unlocktitle_2029_1_2,book_unlocktitle_2029_1_3","book_capacitytitle_2029_1_1,book_capacitytitle_2029_1_2","book_capacitydesc_2029_1_1,book_capacitydesc_2029_1_2",3,0,,1
2030,2,030,3,3050004,梦游羊·苏生,book_name_2030,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2030_1_1,book_storydesc_2030_1_2,book_storydesc_2030_1_3","10031,1;10031,50;10031,100","book_unlocktitle_2030_1_1,book_unlocktitle_2030_1_2,book_unlocktitle_2030_1_3","book_capacitytitle_2030_1_1,book_capacitytitle_2030_1_2","book_capacitydesc_2030_1_1,book_capacitydesc_2030_1_2",4,0,,1
2031,2,031,3,30500041,梦游羊·幻魇,book_name_2031,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2031_1_1,book_storydesc_2031_1_2,book_storydesc_2031_1_3","10032,1;10032,50;10032,100","book_unlocktitle_2031_1_1,book_unlocktitle_2031_1_2,book_unlocktitle_2031_1_3","book_capacitytitle_2031_1_1,book_capacitytitle_2031_1_2","book_capacitydesc_2031_1_1,book_capacitydesc_2031_1_2",4,0,,1
2032,2,032,3,30500042,梦游羊·白夜,book_name_2032,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2032_1_1,book_storydesc_2032_1_2,book_storydesc_2032_1_3","10033,1;10033,50;10033,100","book_unlocktitle_2032_1_1,book_unlocktitle_2032_1_2,book_unlocktitle_2032_1_3","book_capacitytitle_2032_1_1,book_capacitytitle_2032_1_2","book_capacitydesc_2032_1_1,book_capacitydesc_2032_1_2",4,0,,1
2033,2,033,3,30500043,梦游羊·惊爆,book_name_2033,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2033_1_1,book_storydesc_2033_1_2,book_storydesc_2033_1_3","10034,1;10034,50;10034,100","book_unlocktitle_2033_1_1,book_unlocktitle_2033_1_2,book_unlocktitle_2033_1_3","book_capacitytitle_2033_1_1,book_capacitytitle_2033_1_2","book_capacitydesc_2033_1_1,book_capacitydesc_2033_1_2",4,0,,1
2034,2,034,3,3050005,炎射手,book_name_2034,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2034_1_1,book_storydesc_2034_1_2,book_storydesc_2034_1_3","10035,1;10035,50;10035,100","book_unlocktitle_2034_1_1,book_unlocktitle_2034_1_2,book_unlocktitle_2034_1_3","book_capacitytitle_2034_1_1,book_capacitytitle_2034_1_2","book_capacitydesc_2034_1_1,book_capacitydesc_2034_1_2",0,0,,1
2035,2,035,3,30500051,深红射手,book_name_2035,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2035_1_1,book_storydesc_2035_1_2,book_storydesc_2035_1_3","10036,1;10036,50;10036,100","book_unlocktitle_2035_1_1,book_unlocktitle_2035_1_2,book_unlocktitle_2035_1_3","book_capacitytitle_2035_1_1,book_capacitytitle_2035_1_2","book_capacitydesc_2035_1_1,book_capacitydesc_2035_1_2",2,0,,1
2036,2,036,3,30500052,灰烬射手,book_name_2036,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2036_1_1,book_storydesc_2036_1_2,book_storydesc_2036_1_3","10037,1;10037,50;10037,100","book_unlocktitle_2036_1_1,book_unlocktitle_2036_1_2,book_unlocktitle_2036_1_3","book_capacitytitle_2036_1_1,book_capacitytitle_2036_1_2","book_capacitydesc_2036_1_1,book_capacitydesc_2036_1_2",3,0,,1
2037,2,037,3,3050006,潜伏怪,book_name_2037,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2037_1_1,book_storydesc_2037_1_2,book_storydesc_2037_1_3","10038,1;10038,50;10038,100","book_unlocktitle_2037_1_1,book_unlocktitle_2037_1_2,book_unlocktitle_2037_1_3","book_capacitytitle_2037_1_1,book_capacitytitle_2037_1_2","book_capacitydesc_2037_1_1,book_capacitydesc_2037_1_2",0,0,,1
2038,2,038,3,30500061,掠夺怪,book_name_2038,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2038_1_1,book_storydesc_2038_1_2,book_storydesc_2038_1_3","10039,1;10039,50;10039,100","book_unlocktitle_2038_1_1,book_unlocktitle_2038_1_2,book_unlocktitle_2038_1_3","book_capacitytitle_2038_1_1,book_capacitytitle_2038_1_2","book_capacitydesc_2038_1_1,book_capacitydesc_2038_1_2",1,0,,1
2039,2,039,3,30500062,吞噬怪,book_name_2039,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2039_1_1,book_storydesc_2039_1_2,book_storydesc_2039_1_3","10040,1;10040,50;10040,100","book_unlocktitle_2039_1_1,book_unlocktitle_2039_1_2,book_unlocktitle_2039_1_3","book_capacitytitle_2039_1_1,book_capacitytitle_2039_1_2","book_capacitydesc_2039_1_1,book_capacitydesc_2039_1_2",2,0,,1
2040,2,040,3,3050007,食人花,book_name_2040,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2040_1_1,book_storydesc_2040_1_2,book_storydesc_2040_1_3","10041,1;10041,50;10041,100","book_unlocktitle_2040_1_1,book_unlocktitle_2040_1_2,book_unlocktitle_2040_1_3",book_capacitytitle_2040_1_1,book_capacitydesc_2040_1_1,1,0,,1
2041,2,041,3,30500071,巨食花,book_name_2041,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2041_1_1,book_storydesc_2041_1_2,book_storydesc_2041_1_3","10042,1;10042,50;10042,100","book_unlocktitle_2041_1_1,book_unlocktitle_2041_1_2,book_unlocktitle_2041_1_3",book_capacitytitle_2041_1_1,book_capacitydesc_2041_1_1,2,0,,1
2042,2,042,3,30500072,恶诞花妖,book_name_2042,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2042_1_1,book_storydesc_2042_1_2,book_storydesc_2042_1_3","10043,1;10043,50;10043,100","book_unlocktitle_2042_1_1,book_unlocktitle_2042_1_2,book_unlocktitle_2042_1_3",book_capacitytitle_2042_1_1,book_capacitydesc_2042_1_1,3,0,,1
2043,2,043,3,3050011,厨怪,book_name_2043,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2043_1_1,book_storydesc_2043_1_2,book_storydesc_2043_1_3","10044,1;10044,50;10044,100","book_unlocktitle_2043_1_1,book_unlocktitle_2043_1_2,book_unlocktitle_2043_1_3","book_capacitytitle_2043_1_1,book_capacitytitle_2043_1_2","book_capacitydesc_2043_1_1,book_capacitydesc_2043_1_2",0,0,,1
2044,2,044,3,30500111,厨妖,book_name_2044,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2044_1_1,book_storydesc_2044_1_2,book_storydesc_2044_1_3","10045,1;10045,50;10045,100","book_unlocktitle_2044_1_1,book_unlocktitle_2044_1_2,book_unlocktitle_2044_1_3","book_capacitytitle_2044_1_1,book_capacitytitle_2044_1_2","book_capacitydesc_2044_1_1,book_capacitydesc_2044_1_2",1,0,,1
2045,2,045,3,30500112,厨鬼,book_name_2045,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2045_1_1,book_storydesc_2045_1_2,book_storydesc_2045_1_3","10046,1;10046,50;10046,100","book_unlocktitle_2045_1_1,book_unlocktitle_2045_1_2,book_unlocktitle_2045_1_3","book_capacitytitle_2045_1_1,book_capacitytitle_2045_1_2","book_capacitydesc_2045_1_1,book_capacitydesc_2045_1_2",2,0,,1
2046,2,046,3,3050012,黑面纱之魅,book_name_2046,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2046_1_1,book_storydesc_2046_1_2,book_storydesc_2046_1_3","10047,1;10047,50;10047,100","book_unlocktitle_2046_1_1,book_unlocktitle_2046_1_2,book_unlocktitle_2046_1_3","book_capacitytitle_2046_1_1,book_capacitytitle_2046_1_2","book_capacitydesc_2046_1_1,book_capacitydesc_2046_1_2",0,0,,1
2047,2,047,3,30500121,黑面纱之魇,book_name_2047,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2047_1_1,book_storydesc_2047_1_2,book_storydesc_2047_1_3","10048,1;10048,50;10048,100","book_unlocktitle_2047_1_1,book_unlocktitle_2047_1_2,book_unlocktitle_2047_1_3","book_capacitytitle_2047_1_1,book_capacitytitle_2047_1_2","book_capacitydesc_2047_1_1,book_capacitydesc_2047_1_2",1,0,,1
2048,2,048,3,30500122,黑面纱之怨,book_name_2048,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2048_1_1,book_storydesc_2048_1_2,book_storydesc_2048_1_3","10049,1;10049,50;10049,100","book_unlocktitle_2048_1_1,book_unlocktitle_2048_1_2,book_unlocktitle_2048_1_3","book_capacitytitle_2048_1_1,book_capacitytitle_2048_1_2","book_capacitydesc_2048_1_1,book_capacitydesc_2048_1_2",2,0,,1
2049,2,049,3,3050013,怒魔人,book_name_2049,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2049_1_1,book_storydesc_2049_1_2,book_storydesc_2049_1_3","10050,1;10050,50;10050,100","book_unlocktitle_2049_1_1,book_unlocktitle_2049_1_2,book_unlocktitle_2049_1_3","book_capacitytitle_2049_1_1,book_capacitytitle_2049_1_2","book_capacitydesc_2049_1_1,book_capacitydesc_2049_1_2",0,0,,1
2050,2,050,3,30500131,噬怒魔,book_name_2050,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2050_1_1,book_storydesc_2050_1_2,book_storydesc_2050_1_3","10051,1;10051,50;10051,100","book_unlocktitle_2050_1_1,book_unlocktitle_2050_1_2,book_unlocktitle_2050_1_3","book_capacitytitle_2050_1_1,book_capacitytitle_2050_1_2","book_capacitydesc_2050_1_1,book_capacitydesc_2050_1_2",1,0,,1
2051,2,051,3,30500132,憎恶异魔,book_name_2051,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2051_1_1,book_storydesc_2051_1_2,book_storydesc_2051_1_3","10052,1;10052,50;10052,100","book_unlocktitle_2051_1_1,book_unlocktitle_2051_1_2,book_unlocktitle_2051_1_3","book_capacitytitle_2051_1_1,book_capacitytitle_2051_1_2","book_capacitydesc_2051_1_1,book_capacitydesc_2051_1_2",2,0,,1
2052,2,052,3,3050014,糖豆妖精,book_name_2052,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2052_1_1,book_storydesc_2052_1_2,book_storydesc_2052_1_3","10053,1;10053,50;10053,100","book_unlocktitle_2052_1_1,book_unlocktitle_2052_1_2,book_unlocktitle_2052_1_3","book_capacitytitle_2052_1_1,book_capacitytitle_2052_1_2","book_capacitydesc_2052_1_1,book_capacitydesc_2052_1_2",0,0,,1
2053,2,053,3,30500141,诡戏妖精,book_name_2053,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2053_1_1,book_storydesc_2053_1_2,book_storydesc_2053_1_3","10054,1;10054,50;10054,100","book_unlocktitle_2053_1_1,book_unlocktitle_2053_1_2,book_unlocktitle_2053_1_3","book_capacitytitle_2053_1_1,book_capacitytitle_2053_1_2","book_capacitydesc_2053_1_1,book_capacitydesc_2053_1_2",1,0,,1
2054,2,054,3,30500142,怪邪妖精,book_name_2054,0,0,0,"book_backstory_2001,book_backstory_2002,book_backstory_2003","book_storydesc_2054_1_1,book_storydesc_2054_1_2,book_storydesc_2054_1_3","10055,1;10055,50;10055,100","book_unlocktitle_2054_1_1,book_unlocktitle_2054_1_2,book_unlocktitle_2054_1_3","book_capacitytitle_2054_1_1,book_capacitytitle_2054_1_2","book_capacitydesc_2054_1_1,book_capacitydesc_2054_1_2",2,0,,1
