StageId,PreStage,Show,Name,StageNumber,,StageOrder,Type,MainStage,BossTitle,FirstRawardMission,ThreeStarMission,ThreeStarReward,OpenCondition,WinCondition,WinConditionLevelRefix,LoseCondition,LoseConditionLevelRefix,ItemConsume,MaxRound,Power,TaskReward,ChapterId,ChapterMapId,StageTime,MonsterId,SuggestGospel,StageMonsterAttrBuff,MonsterAttrBuff,SelfStartSkill,AwardBuff,ItemId,Drop,InfiniteReward,Plot,EndPlot,Icon,Sound,SkillQuantity,SkillId,MonsterSkillId,AllowSkill,Quantity,Scene,SpecialCamera,Des,StageDes,StagePointDisplay,StagePoint,,FixedTeam,AssistRole
10121,10109,1,stage_name_10121,1-14,讨伐-5,1014,1,1,0,101210,"101210,101212,101213",101214,0,0,,,,"1000004,10",9900,"6,2068",0,1,87011002,103,101211,"3013023,3014019,3016013,3016038,3013003,3016009",0,"0,101,-600;0,102,-340;0,103,-340;0,104,-340;0,105,-130",99999896,0,0,"101012,50010121",,,,0,8120098,0,0,,,,1979205,,steage_des_10121,,,,击败所有怪物，取得战斗胜利,,1
10110,10121,1,stage_name_10110,1-15,最终现场,1015,1,1,0,101100,"101100,101102,101103",101104,0,0,,,,"1000004,10",9900,"6,2288",0,1,87011002,101,101101,"3014016,3013006,3014001,3013022,3013015,3015002,3014005,3015004",0,"0,101,-600;0,102,-330;0,103,-330;0,104,-330;0,105,-120",99999896,0,0,"101012,50010110",,5801014,0,0,8120086,0,0,,,,1979223,,steage_des_10110,,,,击败所有怪物，取得战斗胜利,,1
10111,10110,1,stage_name_10111,1-16,猎物,1016,1,3,0,101110,0,0,0,0,,,,0,0,0,0,1,87011002,101,0,0,0,,99999896,0,0,0,,5801015,0,0,,0,0,,,,,,steage_des_10111,,,,纯剧情关卡，本关无战斗,,1
10112,10111,1,stage_name_10112,1-17,病,1017,1,1,2,101120,"101120,101122,101123",101124,0,0,,,,"1000004,10",9900,"8,2288",0,1,87011006,101,101121,"3013009,3013004,3014025",0,"0,101,-300;0,102,100;0,103,-150;0,104,-150;0,105,0",99999896,0,0,"101012,50010112",,5801016,0,0,8120081,0,0,,,,1979204,,steage_des_10112,,,,将怪物的血量削减一半,,1
10123,10112,1,stage_name_10123,1-18,讨伐-6,1018,1,1,0,101230,"101230,101232,101233",101234,0,0,,,,"1000004,10",9900,"8,2288",0,1,87011003,103,101231,"3013020,3013009,3016011",0,"0,101,-500;0,102,150;0,103,-310;0,104,-310;0,105,-105",99999896,0,0,"101012,50010123",,,,0,8120095,0,0,,,,1979205,,steage_des_10123,,,,击败所有怪物，取得战斗胜利,,1
10113,10123,1,stage_name_10113,1-19,传染,1019,1,1,0,101130,"101130,101132,101133",101134,0,0,,,,"1000004,10",9900,"9,2288",0,1,87011002,102,101131,"3013023,3014019,3016013,3016031,3015002,3013022,3013015",0,"0,101,-500;0,102,200;0,103,-300;0,104,-300;0,105,-100",99999896,0,0,"101022,50010113",,5801017,0,0,8120082,0,0,,,,1979205,,steage_des_10113,,,,击败所有怪物，取得战斗胜利,,1
10114,10113,1,stage_name_10114,1-20,追查,1020,1,1,1,101140,"101140,101142,101143",101144,0,0,,,,"1000004,10",9900,"10,3991",0,1,87011003,103,101141,"3013020,3013009,3016011",0,"0,101,-950;0,102,250;0,103,-290;0,104,-400;0,105,-95",99999896,0,0,101032,,5801018,5801019,0,8120088,0,0,,,,1979220,,steage_des_10114,,,,击败所有怪物，取得战斗胜利,,1
10124,10114,1,stage_name_10124,1-21,讨伐-7,1021,1,1,0,101240,"101240,101242,101243",101244,0,0,,,,"1000004,10",9900,"10,3991",0,1,87011003,103,101241,"3013020,3013009,3016011",0,"0,101,-500;0,102,250;0,103,-280;0,104,-280;0,105,-90",99999896,0,0,"101042,50010124",,,,0,8120095,0,0,,,,1979205,,steage_des_10124,,,,击败所有怪物，取得战斗胜利,,1
10125,10124,1,stage_name_10125,1-22,讨伐-8,1022,1,1,0,101250,"101250,101252,101253",101254,0,0,,,,"1000004,10",9900,"10,3991",0,1,87011003,103,101251,"3013020,3013009,3016011",0,"0,101,-500;0,102,250;0,103,-270;0,104,-270;0,105,-85",99999896,0,0,"101052,50010125",,,,0,8120095,0,0,,,,1979205,,steage_des_10125,,,,击败所有怪物，取得战斗胜利,,1
10126,10125,1,stage_name_10126,1-23,讨伐-9,1023,1,1,0,101260,"101260,101262,101263",101264,0,0,,,,"1000004,10",9900,"10,3991",0,1,87011003,103,101261,"3013020,3013009,3016011",0,"0,101,-500;0,102,250;0,103,-260;0,104,-260;0,105,-80",99999896,0,0,"101072,50010126",,,,0,8120095,0,0,,,,1979205,,steage_des_10126,,,,击败所有怪物，取得战斗胜利,,1
10127,10126,1,stage_name_10127,1-24,讨伐-10,1024,1,1,1,101270,"101270,101272,101273",101274,0,0,,,,"1000004,10",9900,"10,3991",0,1,87011003,103,101271,"3013020,3013009,3016011",0,"0,101,-940;0,102,425;0,103,-250;0,104,-500;0,105,-75",99999896,0,0,101082,,,,0,8120095,0,0,,,,1979205,,steage_des_10127,,,,击败所有怪物，取得战斗胜利,,1
10201,10127,1,stage_name_10201,2-1,小雨,2001,1,1,0,102010,"102010,102012,102013",102014,0,0,,,,"1000004,10",0,"10,3377",0,2,87021001,213,102011,"3014016,3014005,3015004,3013006,3014001",0,"0,101,-400;0,102,0;0,103,-40;0,104,-40;0,105,-70",99999896,0,0,"102022,50010201",,5801020,5801021,0,8120086,0,0,,,,1979223,,steage_des_10201,,,,击败所有怪物，取得战斗胜利,,1
10202,10201,1,stage_name_10202,2-2,怠慢与谨慎,2002,1,1,1,102020,"102020,102022,102023",102024,0,0,,,,"1000004,10",0,"10,3991",0,2,87021002,213,102021,"3013025,3013003,3016009",0,"0,101,-950;0,102,0;0,103,-30;0,104,-455;0,105,-70",99999896,0,0,102032,,5801022,5801023,0,8120054,0,0,,,,1979206,FightCamera_3020001,steage_des_10202,,,,将怪物的血量削减三分之一,,1
10203,10202,1,stage_name_10203,2-3,谜题,2003,1,3,0,102030,0,0,0,0,,,,0,0,0,0,2,87021003,213,0,0,0,,99999896,0,0,0,,5801024,0,0,,0,0,,,,,,steage_des_10203,,,,纯剧情关卡，本关无战斗,,1
10204,10203,1,stage_name_10204,2-4,雨痕,2004,1,3,0,102040,0,0,0,0,,,,0,0,0,0,2,87021010,211,0,0,0,,99999896,0,0,0,,5801025,0,0,,0,0,,,,,,steage_des_10204,,,,纯剧情关卡，本关无战斗,,1
10205,10204,1,stage_name_10205,2-5,乌云,2005,1,3,0,102050,0,0,0,0,,,,0,0,0,0,2,87021010,211,0,0,0,,99999896,0,0,0,,5801026,0,0,,0,0,,,,,,steage_des_10205,,,,纯剧情关卡，本关无战斗,,1
10206,10205,1,stage_name_10206,2-6,蛀虫,2006,1,3,0,102060,0,0,0,0,,,,0,0,0,0,2,87021010,211,0,0,0,,99999896,0,0,0,,5801027,0,0,,0,0,,,,,,steage_des_10206,,,,纯剧情关卡，本关无战斗,,1
10207,10206,1,stage_name_10207,2-7,天敌,2007,1,3,0,102070,0,0,0,0,,,,0,0,0,0,2,87021010,211,0,0,0,,99999896,0,0,0,,5801028,0,0,,0,0,,,,,,steage_des_10207,,,,纯剧情关卡，本关无战斗,,1
10208,10207,1,stage_name_10208,2-8,分歧,2008,1,3,0,102080,0,0,0,0,,,,0,0,0,0,2,87021003,211,0,0,0,,99999896,0,0,0,,5801029,0,0,,0,0,,,,,,steage_des_10208,,,,纯剧情关卡，本关无战斗,,1
10209,10208,1,stage_name_10209,2-9,期待,2009,1,3,0,102090,0,0,0,0,,,,0,0,0,0,2,87021003,211,0,0,0,,99999896,0,0,0,,5801030,0,0,,0,0,,,,,,steage_des_10209,,,,纯剧情关卡，本关无战斗,,1
10210,10209,1,stage_name_10210,2-10,嘲笑,2010,1,3,0,102100,0,0,0,0,,,,0,0,0,0,2,87021010,211,0,0,0,,99999896,0,0,0,,5801031,0,0,,0,0,,,,,,steage_des_10210,,,,纯剧情关卡，本关无战斗,,1
10211,10210,1,stage_name_10211,2-11,夜魇,2011,1,3,0,102110,0,0,0,0,,,,0,0,0,0,2,87021003,211,0,0,0,,99999896,0,0,0,,5801032,0,0,,0,0,,,,,,steage_des_10211,,,,纯剧情关卡，本关无战斗,,1
10212,10211,1,stage_name_10212,2-12,选择,2012,1,3,0,102120,0,0,0,0,,,,0,0,0,0,2,87021004,211,0,0,0,,99999896,0,0,0,,5801033,0,0,,0,0,,,,,,steage_des_10212,,,,纯剧情关卡，本关无战斗,,1
10213,10212,1,stage_name_10213,2-13,预报,2013,1,1,0,102130,"102130,102132,102133",102134,0,0,,,,"1000004,10",9900,"11,3564",0,2,87021005,212,102131,"3014016,3014005,3015004,3013009,3016011,3016130",0,"0,101,-400;0,102,0;0,103,-20;0,104,-20;0,105,-65",99999896,0,0,"102042,50010213",,5801034,0,0,8120082,0,0,,,,1979205,,steage_des_10213,,,,击败所有怪物，取得战斗胜利,,1
10214,10213,1,stage_name_10214,2-14,倾盆,2014,1,1,1,102140,"102140,102142,102143",102144,0,0,,,,"1000004,10",9900,"12,4446",0,2,87021007,223,102141,"3013025,3013003,3016009",0,"0,101,-950;0,102,0;0,103,-80;0,104,-500;0,105,-60",99999896,0,0,102052,,5801035,5801036,0,8120054,0,0,,,,1979206,FightCamera_3020001,steage_des_10214,,,,击败所有怪物，取得战斗胜利,,1
10215,10214,1,stage_name_10215,2-15,洗脱,2015,1,3,0,102150,0,0,0,0,,,,0,0,0,0,2,87021008,223,0,0,0,,99999896,0,0,0,,5801037,0,0,,0,0,,,,,,steage_des_10215,,,,纯剧情关卡，本关无战斗,,1
10216,10215,1,stage_name_10216,2-16,2-16,2016,1,1,0,102160,"102160,102162,102163",102164,0,0,,,,"1000004,10",9900,"14,4158",0,2,87021008,221,102161,"3013009,3013004,3014025,3016038,3013003,3016009",0,"0,101,-400;0,102,0;0,103,10;0,104,0;0,105,-55",99999896,0,0,"102062,50010216",,,,0,8120054,0,0,,,,1979221,,steage_des_10216,,,,击败所有怪物，取得战斗胜利,,1
10217,10216,1,stage_name_10217,2-17,2-17,2017,1,1,0,102170,"102170,102172,102173",102174,0,0,,,,"1000004,10",9900,"15,4840",0,2,87021008,222,102171,"3013022,3013015,3015002,3014004,3014021,3014001,3013018,3014027,3016031",0,"0,101,-400;0,102,0;0,103,10;0,104,0;0,105,-50",99999896,0,0,"102072,50010217",,,,0,8120082,0,0,,,,1979205,,steage_des_10217,,,,击败所有怪物，取得战斗胜利,,1
10218,10217,1,stage_name_10218,2-18,2-18,2018,1,1,0,102180,"102180,102182,102183",102184,0,0,,,,"1000004,10",9900,"16,5060",0,2,87021008,223,102181,"3013023,3016017,3016013,3013017,3014001,3016009",0,"0,101,-400;0,102,0;0,103,20;0,104,0;0,105,-45",99999896,0,0,"102082,50010218",,,,0,8120086,0,0,,,,1979223,,steage_des_10218,,,,击败所有怪物，取得战斗胜利,,1
10219,10218,1,stage_name_10219,2-19,2-19,2019,1,1,0,102190,"102190,102192,102193",102194,0,0,,,,"1000004,10",9900,"17,5280",0,2,87021008,221,102191,"3016038,3013003,3016009,3016031,3015002,3016013,3014016,3014005,3015004",0,"0,101,-400;0,102,0;0,103,30;0,104,0;0,105,-40",99999896,0,0,"102022,50010219",,,,0,8120054,0,0,,,,1979221,,steage_des_10219,,,,击败所有怪物，取得战斗胜利,,1
10220,10219,1,stage_name_10220,2-20,2-20,2020,1,1,0,102200,"102200,102202,102203",102204,0,0,,,,"1000004,10",9900,"18,5500",0,2,87021008,222,102201,"3013023,3016017,3016013,3014016,3014005,3015004,3013009,3013004,3014025",0,"0,101,-400;0,102,0;0,103,40;0,104,0;0,105,-35",99999896,0,0,"102032,50010220",,,,0,8120082,0,0,,,,1979205,,steage_des_10220,,,,击败所有怪物，取得战斗胜利,,1
10221,10220,1,stage_name_10221,2-21,2-21,2021,1,1,0,102210,"102210,102212,102213",102214,0,0,,,,"1000004,10",9900,"19,5720",0,2,87021008,223,102211,"3013023,3014019,3016013,3014016,3013006,3014001",0,"0,101,-400;0,102,0;0,103,50;0,104,0;0,105,-30",99999896,0,0,"102042,50010221",,,,0,8120086,0,0,,,,1979223,,steage_des_10221,,,,击败所有怪物，取得战斗胜利,,1
10222,10221,1,stage_name_10222,2-22,2-22,2022,1,1,0,102220,"102220,102222,102223",102224,0,0,,,,"1000004,10",9900,"20,5940",0,2,87021008,221,102221,"3016038,3013003,3016009,3016031,3015002,3016013,3014016,3014005,3015004",0,"0,101,-400;0,102,0;0,103,60;0,104,0;0,105,-25",99999896,0,0,"102052,50010222",,,,0,8120054,0,0,,,,1979221,,steage_des_10222,,,,击败所有怪物，取得战斗胜利,,1
10223,10222,1,stage_name_10223,2-23,2-23,2023,1,1,0,102230,"102230,102232,102233",102234,0,0,,,,"1000004,10",9900,"21,6160",0,2,87021008,222,102231,"3013022,3013015,3015002,3014004,3014021,3014001,3013018,3014027,3016031",0,"0,101,-400;0,102,0;0,103,70;0,104,0;0,105,-20",99999896,0,0,"102062,50010223",,,,0,8120082,0,0,,,,1979205,,steage_des_10223,,,,击败所有怪物，取得战斗胜利,,1
10224,10223,1,stage_name_10224,2-24,2-24,2024,1,1,0,102240,"102240,102242,102243",102244,0,0,,,,"1000004,10",9900,"22,6380",0,2,87021008,223,102241,"3013023,3014019,3016013,3016031,3015002,3013022,3013015",0,"0,101,-400;0,102,0;0,103,80;0,104,0;0,105,-15",99999896,0,0,"102072,50010224",,,,0,8120086,0,0,,,,1979223,,steage_des_10224,,,,击败所有怪物，取得战斗胜利,,1
10225,10224,1,stage_name_10225,2-25,2-25,2025,1,1,0,102250,"102250,102252,102253",102254,0,0,,,,"1000004,10",9900,"23,6600",0,2,87021008,221,102251,"3013023,3014019,3016013,3013009,3013004,3014025,3016038,3013003,3016009",0,"0,101,-400;0,102,0;0,103,90;0,104,0;0,105,-10",99999896,0,0,"102082,50010225",,,,0,8120054,0,0,,,,1979221,,steage_des_10225,,,,击败所有怪物，取得战斗胜利,,1
10226,10225,1,stage_name_10226,2-26,2-26,2026,1,1,2,102260,"102260,102262,102263",102264,0,0,,,,"1000004,10",9900,"24,7273",0,2,87021008,222,102261;102262,"3014003,3014005,3015004",0,"0,101,-600;0,102,0;0,103,100;0,104,0;0,105,-5",99999896,0,0,"102022,50010226",,,,0,8120082,0,0,,,,1979205,,steage_des_10226,,,,击败所有怪物，取得战斗胜利,,1
10227,10226,1,stage_name_10227,2-27,2-27,2027,1,1,0,102270,"102270,102272,102273",102274,0,0,,,,"1000004,10",9900,"25,7469",0,2,87021008,223,102271,"3016038,3013003,3016009,3013022,3013015,3015002,3016031,3016013",0,"0,101,-400;0,102,0;0,103,210;0,104,0;0,105,0",99999896,0,0,"102032,50010227",,,,0,8120086,0,0,,,,1979223,,steage_des_10227,,,,击败所有怪物，取得战斗胜利,,1
10228,10227,1,stage_name_10228,2-28,2-28,2028,1,1,1,102280,"102280,102282,102283",102284,0,0,,,,"1000004,10",9900,"25,8827",0,2,87021008,221,102281,"3013025,3013003,3016009",0,"0,101,-860;0,102,0;0,103,100;0,104,-258;0,105,2",99999896,0,0,102042,,,,0,8120054,0,0,,,,1979206,FightCamera_3020001,steage_des_10228,,,,击败所有怪物，取得战斗胜利,,1
10301,10228,1,stage_name_10301,3-1,冰冷,3001,1,3,0,103010,0,0,0,0,,,,0,0,0,0,3,87031008,221,0,0,0,,99999896,0,0,0,,5801038,0,0,,0,0,,,,,,steage_des_10301,,,,纯剧情关卡，本关无战斗,,1
10302,10301,1,stage_name_10302,3-2,折翼,3002,1,3,0,103020,0,0,0,0,,,,0,0,0,0,3,87031001,303,0,0,0,,99999896,0,0,0,,5801039,0,0,,0,0,,,,,,steage_des_10302,,,,纯剧情关卡，本关无战斗,,1
10303,10302,1,stage_name_10303,3-3,调动,3003,1,3,0,103030,0,0,0,0,,,,0,0,0,0,3,87031004,301,0,0,0,,99999896,0,0,0,,5801040,0,0,,0,0,,,,,,steage_des_10303,,,,纯剧情关卡，本关无战斗,,1
10304,10303,1,stage_name_10304,3-4,盛宴,3004,1,3,0,103040,0,0,0,0,,,,0,0,0,0,3,87031004,301,0,0,0,,99999896,0,0,0,,5801041,0,0,,0,0,,,,,,steage_des_10304,,,,纯剧情关卡，本关无战斗,,1
10305,10304,1,stage_name_10305,3-5,萌芽,3005,1,3,0,103050,0,0,0,0,,,,0,0,0,0,3,87031011,221,0,0,0,,99999896,0,0,0,,5801042,0,0,,0,0,,,,,,steage_des_10305,,,,纯剧情关卡，本关无战斗,,1
10306,10305,1,stage_name_10306,3-6,警告,3006,1,1,0,103060,"103060,103062,103063",103064,0,0,,,,"1000004,10",9900,"27,7942",0,3,87031006,223,103061;103062,"3013009,3013004,3014025,3016038,3013003,3016009",0,"0,101,200;0,102,200;0,103,130;0,104,-130;0,105,4",99999896,0,0,"103022,50010306",,5801043,5801044,0,8120083,0,0,,,,1979213,,steage_des_10306,,,,击败所有怪物，取得战斗胜利,,1
10307,10306,1,stage_name_10307,3-7,断链,3007,1,1,0,103070,"103070,103072,103073",103074,0,0,,,,"1000004,10",9900,"28,8173",0,3,87031002,301,103071;103072,"3013009,3013004,3014025,3013017,3014001,3016009",0,"0,101,200;0,102,200;0,103,140;0,104,-130;0,105,6",99999896,0,0,"103032,50010307",,5801045,0,0,8120081,0,0,,,,1979204,,steage_des_10307,,,,击败所有怪物，取得战斗胜利,,1
10308,10307,1,stage_name_10308,3-8,噬灭,3008,1,1,0,103080,"103080,103082,103083",103084,0,0,,,,"1000004,10",9900,"29,8404",0,3,87031002,301,103081;103082,"3013023,3014019,3016013,3016031,3015002,3013022,3013015",0,"0,101,200;0,102,0;0,103,150;0,104,-150;0,105,8",99999896,0,0,"103042,50010308",,5801046,5801047,0,8120087,0,0,,,,1979215,,steage_des_10308,,,,击败所有怪物，取得战斗胜利,,1
10309,10308,1,stage_name_10309,3-9,破土,3009,1,3,0,103090,0,0,0,0,,,,0,0,0,0,3,87031001,303,0,0,0,,99999896,0,0,0,,5801048,0,0,,0,0,,,,,,steage_des_10309,,,,纯剧情关卡，本关无战斗,,1
10310,10309,1,stage_name_10310,3-10,剪除,3010,1,1,1,103100,"103100,103102,103103",103104,0,0,,,,"1000004,10",9900,"30,10803",0,3,87031012,221,103101,"3013017,3014001,3015002",0,"0,101,-550;0,102,200;0,103,100;0,104,160;0,105,10",99999896,0,0,103052,,5801049,5801050,0,8120088,0,0,,,,1979220,FightCamera_3030002,steage_des_10310,,,,将怪物的血量削减一半,,1
10311,10310,1,stage_name_10311,3-11,独白,3011,1,1,1,103110,"103110,103112,103113",103114,0,0,,,,"1000004,10",9900,"31,11102",0,3,87031012,223,103111,"3013017,3014001,3015002",0,"0,101,-500;0,102,200;0,103,100;0,104,160;0,105,12",99999896,0,0,103062,,5801051,5801052,0,8120098,0,0,,,,1979220,FightCamera_3030002,steage_des_10311,,,,击败所有怪物，取得战斗胜利,,1
10312,10311,1,stage_name_10312,3-12,3-12,3012,1,1,0,103120,"103120,103122,103123",103124,0,0,,,,"1000004,10",9900,"32,9636",0,3,87031012,221,103121;103122,"3013009,3013004,3014025,3013018,3014027,3016031",0,"0,101,250;0,102,0;0,103,180;0,104,180;0,105,14",99999896,0,0,"103072,50010312",,,,0,8120083,0,0,,,,1979213,,steage_des_10312,,,,击败所有怪物，取得战斗胜利,,1
10313,10312,1,stage_name_10313,3-13,3-13,3013,1,1,2,103130,"103130,103132,103133",103134,0,0,,,,"1000004,10",9900,"33,10563",0,3,87031012,222,103131,"3014003,3014005,3015004",0,"0,101,-400;0,102,500;0,103,190;0,104,110;0,105,16",99999896,0,0,103082,,,,0,8120081,0,0,,,,1979204,,steage_des_10313,,,,击败所有怪物，取得战斗胜利,,1
10314,10313,1,stage_name_10314,3-14,3-14,3014,1,1,2,103140,"103140,103142,103143",103144,0,0,,,,"1000004,10",9900,"34,10821",0,3,87031012,223,103141,"3014005,3016031,3014023",0,"0,101,-400;0,102,500;0,103,200;0,104,120;0,105,18",99999896,0,0,103022,,,,0,8120087,0,0,,,,1979215,,steage_des_10314,,,,击败所有怪物，取得战斗胜利,,1
10315,10314,1,stage_name_10315,3-15,3-15,3015,1,1,0,103150,"103150,103152,103153",103154,0,0,,,,"1000004,10",9900,"35,10494",0,3,87031012,221,103151;103152,"3013023,3014019,3016013,3014016,3014005,3015004,3016017",0,"0,101,300;0,102,0;0,103,210;0,104,210;0,105,20",99999896,0,0,"103032,50010315",,,,0,8120088,0,0,,,,1979220,,steage_des_10315,,,,击败所有怪物，取得战斗胜利,,1
10316,10315,1,stage_name_10316,3-16,3-16,3016,1,1,2,103160,"103160,103162,103163",103164,0,0,,,,"1000004,10",9900,"36,11479",0,3,87031012,222,103161,"3013020,3014021,3015006",0,"0,101,-300;0,102,220;0,103,220;0,104,130;0,105,-150",99999896,0,0,103042,,,,0,8120083,0,0,,,,1979213,,steage_des_10316,,,,击败所有怪物，取得战斗胜利,,1
10317,10316,1,stage_name_10317,3-17,3-17,3017,1,1,0,103170,"103170,103172,103173",103174,0,0,,,,"1000004,10",9900,"37,10989",0,3,87031012,223,103171;103172,"3013023,3014019,3016013,3014016,3014005,3015004,3016017",0,"0,101,450;0,102,0;0,103,230;0,104,230;0,105,24",99999896,0,0,"103052,50010317",,,,0,8120081,0,0,,,,1979204,,steage_des_10317,,,,击败所有怪物，取得战斗胜利,,1
10318,10317,1,stage_name_10318,3-18,3-18,3018,1,1,2,103180,"103180,103182,103183",103184,0,0,,,,"1000004,10",9900,"38,12008",0,3,87031012,221,103181,"3014016,3014005,3016013",0,"0,101,-200;0,102,240;0,103,240;0,104,140;0,105,-100",99999896,0,0,103062,,,,0,8120087,0,0,,,,1979215,,steage_des_10318,,,,击败所有怪物，取得战斗胜利,,1
