Id,TargetType,TargetId,,Application,Show,VoiceTitle,,VoiceText,,ShowType,StandbyTime,Group,UnlockCondition,SkinClickVoice,UnlockText
8000061,1,3000001,律丨剧情对话·其十,0,0,voicerole_title_8000061,剧情对话·其十,voicerole_text_8000061,你知道么？,1,0,3000001,0,,
8000062,1,3000001,律丨研发公司,0,0,voicerole_title_8000062,研发公司,voicerole_text_8000062,INCHI GAME,0,0,3000001,0,,
8000063,1,3000001,律丨发行公司,0,0,voicerole_title_8000063,发行公司,voicerole_text_8000063,Bilibili,0,0,3000001,0,,
8000064,1,3000001,律丨工作室名,0,0,voicerole_title_8000064,工作室名,voicerole_text_8000064,AOI Studio,0,0,3000001,0,,
8000065,1,3000001,律丨游戏名称,0,0,voicerole_title_8000065,游戏名称,voicerole_text_8000065,千年之旅 ELF,0,0,3000001,0,,
8000066,1,3000002,克萝萝丨登陆问候,0,1,voicerole_title_8000066,登陆问候,voicerole_text_8000066,哥哥，很高兴见到你。,1,0,3000002,0,,
8000067,1,3000002,克萝萝丨闲置·其一,0,1,voicerole_title_8000067,闲置·其一,voicerole_text_8000067,哥哥，克萝萝会等你的！,1,0,3000002,0,,
8000068,1,3000002,克萝萝丨闲置·其二,0,1,voicerole_title_8000068,闲置·其二,voicerole_text_8000068,哥哥，克萝萝好无聊，一起来玩吧？,1,0,3000002,0,,
8000069,1,3000002,克萝萝丨提示·代办事项,0,1,voicerole_title_8000069,提示·代办事项,voicerole_text_8000069,哥哥，好像还有什么东西没确认呢，去看看吧？,1,0,3000002,0,,
8000070,1,3000002,克萝萝丨提示·活动,0,0,voicerole_title_8000070,提示·活动,voicerole_text_8000070,哥哥，好像还有什么东西没确认呢，去看看吧？,1,0,3000002,0,,
8000071,1,3000002,克萝萝丨生日祝福,0,1,voicerole_title_8000071,生日祝福,voicerole_text_8000071,今天是哥哥的生日！克萝萝今天可以让你摸摸尾巴！,1,0,3000002,0,,
8000072,1,3000002,克萝萝丨秘书任职:主页·其一,0,1,voicerole_title_8000072,秘书任职:主页·其一,voicerole_text_8000072,克萝萝是副官！,1,0,3000002,0,,
8000073,1,3000002,克萝萝丨秘书任职:主页·其二,0,0,voicerole_title_8000073,秘书任职:主页·其二,voicerole_text_8000073,克萝萝报道~,1,0,3000002,0,,
8000074,1,3000002,克萝萝丨秘书任职:管理·其一,0,0,voicerole_title_8000074,秘书任职:管理·其一,voicerole_text_8000074,星痕们，大家都好吗？,1,0,3000002,0,,
8000075,1,3000002,克萝萝丨秘书任职:管理·其二,0,0,voicerole_title_8000075,秘书任职:管理·其二,voicerole_text_8000075,大家都在呢，哥哥来看看吧。,1,0,3000002,0,,
8000076,1,3000002,克萝萝丨秘书任职:出击·其一,0,1,voicerole_title_8000076,秘书任职:出击·其一,voicerole_text_8000076,克萝萝会保护哥哥的！,1,0,3000002,0,,
8000077,1,3000002,克萝萝丨秘书任职:出击·其二,0,1,voicerole_title_8000077,秘书任职:出击·其二,voicerole_text_8000077,我可是很凶的！,1,0,3000002,0,,
8000078,1,3000002,克萝萝丨秘书任职:日常·其一,0,1,voicerole_title_8000078,秘书任职:日常·其一,voicerole_text_8000078,一直和哥哥在一起。,1,0,3000002,0,,
8000079,1,3000002,克萝萝丨秘书任职:日常·其二,0,1,voicerole_title_8000079,秘书任职:日常·其二,voicerole_text_8000079,啦啦啦啦啦啦啦！,1,0,3000002,0,,
8000080,1,3000002,克萝萝丨初次相遇,0,1,voicerole_title_8000080,初次相遇,voicerole_text_8000080,哥哥，今后让我们一起前进吧！,1,0,3000002,0,,
8000081,1,3000002,克萝萝丨职业强化·其一,0,1,voicerole_title_8000081,职业强化·其一,voicerole_text_8000081,为了哥哥，克萝萝会变得更强。,1,0,3000002,0,,
8000082,1,3000002,克萝萝丨职业强化·其二,0,0,voicerole_title_8000082,职业强化·其二,voicerole_text_8000082,为了哥哥，克萝萝会变得更强。,1,0,3000002,0,,
8000083,1,3000002,克萝萝丨对话·其一,0,1,voicerole_title_8000083,对话·其一,voicerole_text_8000083,感觉脑袋变得热乎乎的。,1,0,3000002,0,1,
8000084,1,3000002,克萝萝丨对话·其二,0,1,voicerole_title_8000084,对话·其二,voicerole_text_8000084,啊……唔唔唔唔唔……,1,0,3000002,0,1,
8000085,1,3000002,克萝萝丨对话·其三,0,1,voicerole_title_8000085,对话·其三,voicerole_text_8000085,哥哥，克萝萝在听呢。,1,0,3000002,0,1,
8000086,1,3000002,克萝萝丨拽一拽·其一,0,1,voicerole_title_8000086,拽一拽·其一,voicerole_text_8000086,感觉痒痒的~,1,0,3000002,0,,
8000087,1,3000002,克萝萝丨拽一拽·其二,0,1,voicerole_title_8000087,拽一拽·其二,voicerole_text_8000087,不能摸！,1,0,3000002,0,,
8000088,1,3000002,克萝萝丨拽一拽·其三,0,1,voicerole_title_8000088,拽一拽·其三,voicerole_text_8000088,克萝萝要失去平衡了……,1,0,3000002,0,,
8000089,1,3000002,克萝萝丨等待食物,0,1,voicerole_title_8000089,等待食物,voicerole_text_8000089,哥哥，要给克萝萝吃的吗？,1,0,3000002,0,,
8000090,1,3000002,克萝萝丨垂涎食物,0,1,voicerole_title_8000090,垂涎食物,voicerole_text_8000090,哥哥，克萝萝肚子饿了。,1,0,3000002,0,,
8000091,1,3000002,克萝萝丨美食评语·喜欢,0,1,voicerole_title_8000091,美食评语·喜欢,voicerole_text_8000091,嗯，很好吃！,1,0,3000002,0,,
8000092,1,3000002,克萝萝丨美食评语·一般,0,1,voicerole_title_8000092,美食评语·一般,voicerole_text_8000092,唔，克萝萝讨厌这个……,1,0,3000002,0,,
8000093,1,3000002,克萝萝丨美食评语·讨厌,0,1,voicerole_title_8000093,美食评语·讨厌,voicerole_text_8000093,这不是食物！,1,0,3000002,0,,
8000094,1,3000002,克萝萝丨编队,0,1,voicerole_title_8000094,编队,voicerole_text_8000094,克萝萝来帮忙啦。,1,0,3000002,0,,
8000095,1,3000002,克萝萝丨战斗开始,0,0,voicerole_title_8000095,战斗开始,voicerole_text_8000095,克萝萝也能使用星痕之力！,1,0,3000002,0,,
8000096,1,3000002,克萝萝丨战斗选中,0,0,voicerole_title_8000096,战斗选中,voicerole_text_8000096,在！,1,0,3000002,0,,
8000097,1,3000002,克萝萝丨再起不能,0,1,voicerole_title_8000097,再起不能,voicerole_text_8000097,克萝萝，没能量了……,1,0,3000002,0,,
8000098,1,3000002,克萝萝丨受击·其一,0,1,voicerole_title_8000098,受击·其一,voicerole_text_8000098,唔唔。,1,0,3000002,0,,
8000099,1,3000002,克萝萝丨受击·其二,0,1,voicerole_title_8000099,受击·其二,voicerole_text_8000099,哥哥，我没事……,1,0,3000002,0,,
8000100,1,3000002,克萝萝丨受击·其三,0,1,voicerole_title_8000100,受击·其三,voicerole_text_8000100,好疼！,1,0,3000002,0,,
8000101,1,3000002,克萝萝丨获得增益,0,1,voicerole_title_8000101,获得增益,voicerole_text_8000101,这样的话，就无敌了！,1,0,3000002,0,,
8000102,1,3000002,克萝萝丨爆气·初,0,1,voicerole_title_8000102,灵魂解放·初,voicerole_text_8000102,冲啊！,1,0,3000002,0,,
8000103,1,3000002,克萝萝丨爆气·劲,0,1,voicerole_title_8000103,灵魂解放·劲,voicerole_text_8000103,哈啊！,1,0,3000002,0,,
8000104,1,3000002,克萝萝丨爆气·极,0,1,voicerole_title_8000104,灵魂解放·极,voicerole_text_8000104,最后一击！,1,0,3000002,0,,
8000105,1,3000002,克萝萝丨普通攻击·其一,0,0,voicerole_title_8000105,普通攻击·其一,voicerole_text_8000105,嘿！,1,0,3000002,0,,
8000106,1,3000002,克萝萝丨普通攻击·其二,0,0,voicerole_title_8000106,普通攻击·其二,voicerole_text_8000106,唔唔唔啊！,1,0,3000002,0,,
8000107,1,3000002,克萝萝丨连协技能·律,0,0,voicerole_title_8000107,连携技能·律,voicerole_text_8000107,律：“上吧！” 克萝萝：“嘿呀！哈！克萝萝飞踢！”,1,0,3000002,0,,
8000108,1,3000002,克萝萝丨连协技能·黑神月咏,0,0,voicerole_title_8000108,连携技能·黑神月咏,voicerole_text_8000108,克萝萝：“就让克萝萝和黑神姐姐一起打败你！” 黑神：“克萝萝真是太可爱了！……这种不识风趣的家伙……” 黑神：“……斩。”,1,0,3000002,0,,
8000109,1,3000002,克萝萝丨连协技能·安洁,0,0,voicerole_title_8000109,连携技能·安洁,voicerole_text_8000109,克萝萝：“要上啦！” 安洁：“群星元素的力量啊……” 克萝萝：“嘿！”,1,0,3000002,0,,
8000110,1,3000002,克萝萝丨连协技能·米娅,0,0,voicerole_title_8000110,连携技能·米娅,voicerole_text_8000110,克萝萝：“克萝萝要认真起来了！” 米娅：“克萝萝，要帮忙吗！哈啊！” 克萝萝：“啊！”,1,0,3000002,0,,
8000111,1,3000002,克萝萝丨最终奥义,0,1,voicerole_title_8000111,最终奥义,voicerole_text_8000111,“克萝萝生气了！” “嗯？尾巴？力量不断涌出来了” “嘿啊！” “嘿！嘿！嘿！哈啊！” “嗯，起不来了吗？” “啦啦啦！啦啦！啦啦！”,1,0,3000002,0,,
8000112,1,3000002,克萝萝丨胜利,0,1,voicerole_title_8000112,胜利,voicerole_text_8000112,战斗结束，大家没受伤吧？,1,0,3000002,0,,
8000113,1,3000002,克萝萝丨情绪·高兴,0,0,voicerole_title_8000113,情绪·高兴,voicerole_text_8000113,嗯嗯！,1,0,3000002,0,,
8000114,1,3000002,克萝萝丨情绪·生气,0,0,voicerole_title_8000114,情绪·生气,voicerole_text_8000114,唔嗯！,1,0,3000002,0,,
8000115,1,3000002,克萝萝丨情绪·难过,0,0,voicerole_title_8000115,情绪·难过,voicerole_text_8000115,呜呜。,1,0,3000002,0,,
8000116,1,3000002,克萝萝丨情绪·感谢,0,0,voicerole_title_8000116,情绪·感谢,voicerole_text_8000116,啦啦啦！,1,0,3000002,0,,
8000117,1,3000002,克萝萝丨剧情对话·其一,0,0,voicerole_title_8000117,剧情对话·其一,voicerole_text_8000117,我认为是这样的，哥哥。,1,0,3000002,0,,
8000118,1,3000002,克萝萝丨剧情对话·其二,0,0,voicerole_title_8000118,剧情对话·其二,voicerole_text_8000118,我们不能这样，哥哥。,1,0,3000002,0,,
8000119,1,3000002,克萝萝丨剧情对话·其三,0,0,voicerole_title_8000119,剧情对话·其三,voicerole_text_8000119,在问我么？,1,0,3000002,0,,
8000120,1,3000002,克萝萝丨剧情对话·其四,0,0,voicerole_title_8000120,剧情对话·其四,voicerole_text_8000120,那个……,1,0,3000002,0,,
8000121,1,3000002,克萝萝丨剧情对话·其五,0,0,voicerole_title_8000121,剧情对话·其五,voicerole_text_8000121,有需要我帮忙的么？,1,0,3000002,0,,
8000122,1,3000002,克萝萝丨剧情对话·其六,0,0,voicerole_title_8000122,剧情对话·其六,voicerole_text_8000122,很有意思……,1,0,3000002,0,,
8000123,1,3000002,克萝萝丨剧情对话·其七,0,0,voicerole_title_8000123,剧情对话·其七,voicerole_text_8000123,为什么呀……哥哥？,1,0,3000002,0,,
8000124,1,3000002,克萝萝丨剧情对话·其八,0,0,voicerole_title_8000124,剧情对话·其八,voicerole_text_8000124,好啊，哥哥。,1,0,3000002,0,,
8000125,1,3000002,克萝萝丨剧情对话·其九,0,0,voicerole_title_8000125,剧情对话·其九,voicerole_text_8000125,话说回来，哥哥。,1,0,3000002,0,,
8000126,1,3000002,克萝萝丨剧情对话·其十,0,0,voicerole_title_8000126,剧情对话·其十,voicerole_text_8000126,哥哥，你知道么？,1,0,3000002,0,,
8000127,1,3000002,克萝萝丨研发公司,0,0,voicerole_title_8000127,研发公司,voicerole_text_8000127,INCHI GAME,0,0,3000002,0,,
8000128,1,3000002,克萝萝丨发行公司,0,0,voicerole_title_8000128,发行公司,voicerole_text_8000128,Bilibili,0,0,3000002,0,,
8000129,1,3000002,克萝萝丨工作室名,0,0,voicerole_title_8000129,工作室名,voicerole_text_8000129,AOI Studio,0,0,3000002,0,,
8000130,1,3000002,克萝萝丨游戏名称,0,0,voicerole_title_8000130,游戏名称,voicerole_text_8000130,千年之旅 ELF,0,0,3000002,0,,
8000131,1,3000003,黑神月咏丨登陆问候,0,1,voicerole_title_8000131,登陆问候,voicerole_text_8000131,又见面了，今天心情怎么样？,1,0,3000003,0,,
8000132,1,3000003,黑神月咏丨闲置·其一,0,1,voicerole_title_8000132,闲置·其一,voicerole_text_8000132,遇到什么烦心事了吧，可以说给我听听么？,1,0,3000003,0,,
8000133,1,3000003,黑神月咏丨闲置·其二,0,1,voicerole_title_8000133,闲置·其二,voicerole_text_8000133,你看上去好像挺累了，我给你泡一杯艾兰茶吧。,1,0,3000003,0,,
8000134,1,3000003,黑神月咏丨提示·代办事项,0,1,voicerole_title_8000134,提示·代办事项,voicerole_text_8000134,你是不是忘了什么？,1,0,3000003,0,,
8000135,1,3000003,黑神月咏丨提示·活动,0,0,voicerole_title_8000135,提示·活动,voicerole_text_8000135,你是不是忘了什么？,1,0,3000003,0,,
8000136,1,3000003,黑神月咏丨生日祝福,0,1,voicerole_title_8000136,生日祝福,voicerole_text_8000136,这是……给您的礼物。我不知道您喜欢什么，所以……诶？……您喜欢就好,1,0,3000003,0,,
8000137,1,3000003,黑神月咏丨秘书任职:主页·其一,0,1,voicerole_title_8000137,秘书任职:主页·其一,voicerole_text_8000137,若能帮上您的忙，我将不胜荣幸。,1,0,3000003,0,,
8000138,1,3000003,黑神月咏丨秘书任职:主页·其二,0,0,voicerole_title_8000138,秘书任职:主页·其二,voicerole_text_8000138,非常感谢。我会回应这份信任。,1,0,3000003,0,,
8000139,1,3000003,黑神月咏丨秘书任职:管理·其一,0,0,voicerole_title_8000139,秘书任职:管理·其一,voicerole_text_8000139,突击检查！大家都做好战斗准备了吗？,1,0,3000003,0,,
8000140,1,3000003,黑神月咏丨秘书任职:管理·其二,0,0,voicerole_title_8000140,秘书任职:管理·其二,voicerole_text_8000140,大家都在等着你的作战安排。,1,0,3000003,0,,
8000141,1,3000003,黑神月咏丨秘书任职:出击·其一,0,1,voicerole_title_8000141,秘书任职:出击·其一,voicerole_text_8000141,我们出发吧。,1,0,3000003,0,,
8000142,1,3000003,黑神月咏丨秘书任职:出击·其二,0,1,voicerole_title_8000142,秘书任职:出击·其二,voicerole_text_8000142,以我家族的名誉起誓！,1,0,3000003,0,,
8000143,1,3000003,黑神月咏丨秘书任职:日常·其一,0,1,voicerole_title_8000143,秘书任职:日常·其一,voicerole_text_8000143,偶尔放松一下也是必要的。,1,0,3000003,0,,
8000144,1,3000003,黑神月咏丨秘书任职:日常·其二,0,1,voicerole_title_8000144,秘书任职:日常·其二,voicerole_text_8000144,好像有人在等你。,1,0,3000003,0,,
8000145,1,3000003,黑神月咏丨初次相遇,0,1,voicerole_title_8000145,初次相遇,voicerole_text_8000145,我是黑神月咏——还请您多多关照。,1,0,3000003,0,,
8000146,1,3000003,黑神月咏丨职业强化·其一,0,1,voicerole_title_8000146,职业强化·其一,voicerole_text_8000146,十年磨剑……只为一朝一瞬。,1,0,3000003,0,,
8000147,1,3000003,黑神月咏丨职业强化·其二,0,0,voicerole_title_8000147,职业强化·其二,voicerole_text_8000147,十年磨剑……只为一朝一瞬。,1,0,3000003,0,,
8000148,1,3000003,黑神月咏丨对话·其一,0,1,voicerole_title_8000148,对话·其一,voicerole_text_8000148,啊，想看我的发饰吗？啊……等等，有点儿太近了……,1,0,3000003,0,1,
8000149,1,3000003,黑神月咏丨对话·其二,0,1,voicerole_title_8000149,对话·其二,voicerole_text_8000149,能不能陪我一会儿？啊，当然是指陪我对练啊！,1,0,3000003,0,1,
8000150,1,3000003,黑神月咏丨对话·其三,0,1,voicerole_title_8000150,对话·其三,voicerole_text_8000150,怎么了？有什么事情想问我吗？好啊，让我看看……,1,0,3000003,0,1,
8000151,1,3000003,黑神月咏丨拽一拽·其一,0,1,voicerole_title_8000151,拽一拽·其一,voicerole_text_8000151,无论哪里我都会跟着一起去的。,1,0,3000003,0,,
8000152,1,3000003,黑神月咏丨拽一拽·其二,0,1,voicerole_title_8000152,拽一拽·其二,voicerole_text_8000152,啊，你打算带我去哪里啊？,1,0,3000003,0,,
8000153,1,3000003,黑神月咏丨拽一拽·其三,0,0,voicerole_title_8000153,拽一拽·其三,voicerole_text_8000153,就这么喜欢我的头发吗？,1,0,3000003,0,,
8000154,1,3000003,黑神月咏丨等待食物,0,1,voicerole_title_8000154,等待食物,voicerole_text_8000154,今天吃什么？,1,0,3000003,0,,
8000155,1,3000003,黑神月咏丨垂涎食物,0,1,voicerole_title_8000155,垂涎食物,voicerole_text_8000155,唔……是要给我吃，还是不给呢？,1,0,3000003,0,,
8000156,1,3000003,黑神月咏丨美食评语·喜欢,0,1,voicerole_title_8000156,美食评语·喜欢,voicerole_text_8000156,哇，真是美味。,1,0,3000003,0,,
8000157,1,3000003,黑神月咏丨美食评语·一般,0,1,voicerole_title_8000157,美食评语·一般,voicerole_text_8000157,唔……很、很好吃。,1,0,3000003,0,,
8000158,1,3000003,黑神月咏丨美食评语·讨厌,0,1,voicerole_title_8000158,美食评语·讨厌,voicerole_text_8000158,这是在开什么玩笑吗？,1,0,3000003,0,,
8000159,1,3000003,黑神月咏丨编队,0,1,voicerole_title_8000159,编队,voicerole_text_8000159,明白。,1,0,3000003,0,,
8000160,1,3000003,黑神月咏丨战斗开始,0,0,voicerole_title_8000160,战斗开始,voicerole_text_8000160,这群恶徒，我将给予他们秩序的惩戒。,1,0,3000003,0,,
8000161,1,3000003,黑神月咏丨战斗选中,0,0,voicerole_title_8000161,战斗选中,voicerole_text_8000161,明白。,1,0,3000003,0,,
8000162,1,3000003,黑神月咏丨再起不能,0,1,voicerole_title_8000162,再起不能,voicerole_text_8000162,我就要止步于此吗……,1,0,3000003,0,,
8000163,1,3000003,黑神月咏丨受击·其一,0,1,voicerole_title_8000163,受击·其一,voicerole_text_8000163,振作……,1,0,3000003,0,,
