Id,Chinese,English,Japanese,TChinese,Korea,Actor
zxjq_xu_01_n_Entry_1_63,不知为何，她又露出了那样的表情。有种苦闷的感觉。,,,,,旁白
zxjq_xu_01_n_Entry_1_64,——抱歉，让你久等了，莉莉娅。,,,,,我
zxjq_xu_01_n_Entry_1_65,——我原谅你了。……噗，你那是什么表情，你不是失忆了吗？,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_66,等等，你该不会是在捉弄我吧？我要生气了哦。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_67,你的脸，比起生气更像是惊喜吧。但我确实想不起来过去的事情了，只是……,,,,,我
zxjq_xu_01_n_Entry_1_68,有什么……非常重要，鲜明而深刻的印象。它让我觉得在刚才那一刻，我必须那么说。,,,,,我
zxjq_xu_01_n_Entry_1_69,……,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_70,呵呵，嘴真甜。但是……突然有点火大了。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_71,这又是为什么？,,,,,我
zxjq_xu_01_n_Entry_1_72,反正你出去以后，又要靠着这张嘴去招惹其他女人。那还不如先把你留在这里。等我回来再解放你。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_73,嗯。,,,,,我
zxjq_xu_01_n_Entry_1_74,……你倒是一点也不担心，我真的会把你留在这里的。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_75,你不会的。,,,,,我
zxjq_xu_01_n_Entry_1_76,咦，能这么肯定……是啊，我不会那么做的。但是有条件，和我约定——,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_77,出去以后，照顾好自己，别去做危险的事情，不许忘记我，还有我回来第一时间就要看到你。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_78,我会的，我答应你。,,,,,我
zxjq_xu_01_n_Entry_1_79,答应得这么快，到时候反悔了怎么办？,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_80,我——,,,,,我
zxjq_xu_01_n_Entry_1_81,莉莉娅把食指放在我的嘴唇上，不让我再说下去。,,,,,旁白
zxjq_xu_01_n_Entry_1_82,不用跟我保证，不管对象是谁，决定要做什么，或是不做什么，你是自由的，你可以希望任何事情，只要事后不后悔就行了。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_83,而我的愿望……就是希望你能够幸福。这就是我全部的愿望。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_84,莉莉娅……,,,,,我
zxjq_xu_01_n_Entry_1_85,来吧，我送你出去。也不能耽搁太久。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_86,说到这里，我有心问她，我们是什么样的关系，但是这恐怕是个伤人的问题。,,,,,旁白
zxjq_xu_01_n_Entry_1_87,所以，我没有问她。,,,,,旁白
zxjq_xu_01_n_Entry_1_88,……,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_89,但是莉莉娅适时的沉默又让我觉得，她已经“听”到这个问题了。,,,,,旁白
zxjq_xu_01_n_Entry_1_90,……这是你醒来前的梦，灵魂本来不会卡在这儿的。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_91,但这个梦太真实，让你变得分不清了，所以得让这场梦结束。当它结束的时候，你就能明白现实在哪一边了。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_92,梦？,,,,,我
zxjq_xu_01_n_Entry_1_93,不用想太复杂，用你的话说——梦大部分都做不完，基本上中途就会醒来，但也有必须把梦做完的时候。现在就是那样的情况。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_94,none,,,,,旁白
zxjq_xu_01_n_Entry_1_95,none,,,,,旁白
zxjq_xu_01_n_Entry_1_96,none,,,,,旁白
zxjq_xu_01_n_Entry_1_97,我跟着莉莉娅的步伐走着。,,,,,旁白
zxjq_xu_01_n_Entry_1_98,……上次我们就是在这里分别的呢。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_99,上次，在这里？,,,,,我
zxjq_xu_01_n_Entry_1_100,none,,,,,旁白
zxjq_xu_01_n_Entry_1_101,一幕场景从我的脑海中一闪而过。,,,,,旁白
zxjq_xu_01_n_Entry_1_102,（刚才那是……？）,,,,,我
zxjq_xu_01_n_Entry_1_103,宫殿的大门打开了。,,,,,旁白
zxjq_xu_01_n_Entry_1_104,none,,,,,旁白
zxjq_xu_01_n_Entry_1_105,我望向那空空如也的玉座。……这座大殿里，似乎什么也没有？,,,,,旁白
zxjq_xu_01_n_Entry_1_106,莉莉娅，我们来这里是要——,,,,,我
zxjq_xu_01_n_Entry_1_107,凡人。萨拉，死了吗？,,,,,？？？
zxjq_xu_01_n_Entry_1_108,我回过头，刚才还空荡荡的玉座上突然出现了一个人影。我不知道祂是怎么出现的。,,,,,旁白
zxjq_xu_01_n_Entry_1_109,……原来如此，外面吵闹是因为你吧。我准了，上前说出你的名字。,,,,,？？？
zxjq_xu_01_n_Entry_1_110,none,,,,,旁白
zxjq_xu_01_n_Entry_1_111,装模作样么？太难看了，神啊，不，杰西斯！,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_112,嗯，那边的，那就是……辛苦你把他带来了。来，到我身边来。,,,,,杰西斯
zxjq_xu_01_n_Entry_1_113,……？,,,,,我
zxjq_xu_01_n_Entry_1_114,我忍不住再次看向莉莉娅。,,,,,旁白
zxjq_xu_01_n_Entry_1_115,上次在这里分别、梦、醒来、把梦做完、现实在哪一边……组合这些关键词语，事情的脉络已经在我心里了。,,,,,旁白
zxjq_xu_01_n_Entry_1_116,但我仍然不知道接下来将要发生什么事。,,,,,旁白
zxjq_xu_01_n_Entry_1_117,莉莉娅对我眨眨眼。,,,,,旁白
zxjq_xu_01_n_Entry_1_118,我心领神会，这是叫我静观其变。,,,,,旁白
zxjq_xu_01_n_Entry_1_119,是需要对你进行褒奖吗？也好，凡人，我认可你的功绩。前来领赏吧。你想要什么？凡间的统治权吗？,,,,,杰西斯
zxjq_xu_01_n_Entry_1_120,回答我一个问题。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_121,……,,,,,杰西斯
zxjq_xu_01_n_Entry_1_122,为什么要不断挑动纷争？,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_123,难道被鲜血与战火染遍的，就是你所希望的世界的样貌吗？,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_124,这是实验，战争催化了实验的进程。,,,,,杰西斯
zxjq_xu_01_n_Entry_1_125,……,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_126,实验……真是一个全新的发现……所以才——,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_127,有很多人问过我，这个世界还要受战争折磨多久？血腥的时代何时结束？,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_128,他们当中还有人质问过你的神像，神还要从人手上夺走什么？人何时才能解脱？,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_129,none,,,,,旁白
zxjq_xu_01_n_Entry_1_131,……,,,,,杰西斯
zxjq_xu_01_n_Entry_1_134,none,,,,,旁白
zxjq_xu_01_n_Entry_1_139,——该结束了，杰西斯。你和你所钟爱的愚蠢战争。,,,,,莉莉娅
zxjq_xu_01_n_Entry_1_141,……,,,,,杰西斯
zxjq_xu_01_n_Entry_1_142,是吗。,,,,,杰西斯
zxjq_xu_01_n_Entry_1_143,none,,,,,旁白
zxjq_xu_01_n_Entry_1_144,none,,,,,旁白
zxjq_xu_02_n_Actor_1,选项,,,,,选项
zxjq_xu_02_n_Actor_2,旁白,,,,,旁白
zxjq_xu_02_n_Actor_14,天界,,,,,天界
zxjq_xu_02_n_Actor_3,？？？,,,,,？？？
zxjq_xu_02_n_Actor_4,莉莉娅,,,,,莉莉娅
zxjq_xu_02_n_Actor_5,杰西斯,,,,,杰西斯
zxjq_xu_02_n_Actor_6,牧,,,,,牧
zxjq_xu_02_n_Actor_7,我,,,,,我
zxjq_xu_02_n_Actor_8,？？？（黑影）,,,,,？？？（黑影）
zxjq_xu_02_n_Actor_9,熟悉的陌生女人,,,,,熟悉的陌生女人
zxjq_xu_02_n_Actor_10,古怪的声音,,,,,古怪的声音
zxjq_xu_02_n_Actor_11,巨大的黑影,,,,,巨大的黑影
zxjq_xu_02_n_Actor_12,莉莉娅2,,,,,莉莉娅2
zxjq_xu_02_n_Actor_13,神,,,,,神
zxjq_xu_02_n_Title_Title,第二节 梦醒时刻,,,,,Title
zxjq_xu_02_n_Description_Description,杰西斯战败，莉莉娅在梦中和侍主道别。,,,,,Description
zxjq_xu_02_n_Entry_1_1,none,,,,,旁白
zxjq_xu_02_n_Entry_1_3,杰西斯……,,,,,选项
zxjq_xu_02_n_Entry_1_4,对她来说，死亡这个概念本身就是虚幻的，就像在做梦一样。,,,,,莉莉娅
zxjq_xu_02_n_Entry_1_5,这家伙在梦里，也会一直虎视眈眈地盯着我们吧，不如说，她已经在那么做了，然后一发现这边有破绽，就准备复活过来，重新夺回一切。,,,,,莉莉娅
zxjq_xu_02_n_Entry_1_6,那……还真是麻烦。,,,,,？？？
zxjq_xu_02_n_Entry_1_7,别说这种言不由衷的话，你其实不想杀死杰西斯吧？那就去想办法。就算失忆了，你也清楚吧，只有你可以改变杰西斯。,,,,,莉莉娅
zxjq_xu_02_n_Entry_1_8,所以，接下来就靠你了。,,,,,莉莉娅
zxjq_xu_02_n_Entry_1_9,none,,,,,旁白
zxjq_xu_02_n_Entry_1_10,那么，这样就结束了，该分别了。啊，不对——,,,,,莉莉娅
zxjq_xu_02_n_Entry_1_11,不是分别，是暂时不见面。,,,,,莉莉娅
zxjq_xu_02_n_Entry_1_12,只是暂时。,,,,,莉莉娅
zxjq_xu_02_n_Entry_1_13,是再见之前的准备。,,,,,莉莉娅
zxjq_xu_02_n_Entry_1_14,去吧，去看看新的世界。,,,,,莉莉娅
zxjq_xu_02_n_Entry_1_15,然后——她啪地一拍手。,,,,,旁白
zxjq_xu_02_n_Entry_1_16,none,,,,,旁白
zxjq_xu_02_n_Entry_1_17,咚地，我有种心脏被用力抓住的感觉。,,,,,旁白
zxjq_xu_02_n_Entry_1_19,她死了吗？,,,,,选项
zxjq_xu_01_Actor_1,选项,Options,選択,選項,,选项
zxjq_xu_01_Actor_2,旁白,Voiceover,ナレーション,旁白,,旁白
zxjq_xu_01_Actor_14,天界,The Heavenly Realm,天界,天界,,天界
zxjq_xu_01_Actor_3,？？？,？？？,？？？,？？？,,？？？
zxjq_xu_01_Actor_4,莉莉娅,Lillia,リリア,莉莉婭,,莉莉娅
zxjq_xu_01_Actor_5,杰西斯,Jancis,ジェシーズ,傑西斯,,杰西斯
zxjq_xu_01_Actor_6,牧,Muu,ムー,牧,,牧
zxjq_xu_01_Actor_7,我,Me,我,我,,我
zxjq_xu_01_Actor_8,？？？（黑影）,??? (Black shadow),？？？（黑い影）,？？？（黑影）,,？？？（黑影）
zxjq_xu_01_Actor_9,神秘的女人,Mysterious Woman,謎の女,神秘的女人,,神秘的女人
zxjq_xu_01_Actor_10,古怪的声音,Weird Sound,奇妙な声,古怪的聲音,,古怪的声音
zxjq_xu_01_Actor_11,巨大的黑影,Huge Black Shadow,巨大な黒い影,巨大的黑影,,巨大的黑影
zxjq_xu_01_Actor_12,莉莉娅2,Lillia 2,リリア2,莉莉婭2,,莉莉娅2
zxjq_xu_01_Actor_13,神,Deity,神,神,,神
zxjq_xu_01_Title_Title,第一节 长梦初醒,EP 1 Waking Dream,第一話 長い夢,第一節 長夢初醒,,Title
zxjq_xu_01_Description_Description,一场忘却一切的梦，一场为了和平的战争。,"A forgotten dream, a war for peace.",忘却の彼方にある夢と、平和のための戦争,一場忘卻一切的夢，一場為了和平的戰爭。,,Description
zxjq_xu_01_Entry_1_2,none,none,none,none,,牧
zxjq_xu_01_Entry_1_3,风……是云？,Is it the breeze... or a cloud?,ここは……,風……是雲？,,？？？
zxjq_xu_01_Entry_1_4,抱歉，不能再睡啦。,Hey... It's time to wake up.,おはよう、お寝坊さん。,抱歉，不能再睡啦。,,神秘的女人
zxjq_xu_01_Entry_1_5,风和云从湛蓝的天空俯视着我。意识到自己的呼吸的时候，我已经在这里了。,It's nice that the wind and clouds peer down from the clear blue. Where am I?,君は……？それに、ここは一体……,風和雲從湛藍的天空俯視著我。意識到自己的呼吸的時候，我已經在這裏了。,,？？？
zxjq_xu_01_Entry_1_6,在发什么呆？好不容易才见着。,Talk to me! I went through a lot to meet you.,……思い出せない？,在發什麼呆？好不容易才見著。,,神秘的女人
zxjq_xu_01_Entry_1_7,你在和我说话吗？,Are you talking to me?,ああ、何も……,你在和我說話嗎？,,？？？
zxjq_xu_01_Entry_1_8,那是当然，这里除了你哪还有谁。,Of course. It's just us here.,そう……夢の中に記憶だけ置いてきてしまったのかしら？,那是當然，這裏除了你哪還有誰。,,神秘的女人
zxjq_xu_01_Entry_1_9,……睡久了，变笨喽。,Did you sleep your brains away?,なら、もう一度眠りについて……なーんて、冗談よ。,……睡久了，變笨嘍。,,神秘的女人
zxjq_xu_01_Entry_1_10,等一下，我是不是在……我躺着？,"Hold on, am I... lying down on something?",……教えてくれ、ここはどこなんだ？,等一下，我是不是在……我躺著？,,？？？
zxjq_xu_01_Entry_1_11,嗯，在我腿上呢。,"Yep, right on my leg.",私の膝の上よ。,嗯，在我腿上呢。,,神秘的女人
zxjq_xu_01_Entry_1_12,不是在云上？,Not on the clouds?,は？　いや……そういうことじゃなくて……,不是在雲上？,,？？？
zxjq_xu_01_Entry_1_13,none,none,none,none,,旁白
zxjq_xu_01_Entry_1_14,女人俯身把我的头抱在怀里。她抚弄我的脸颊，把手指绕在我的耳朵上。,"She cradles my head to her chest, fingertips tracing my cheek before twining softly around my ear.",彼女はやさしく私の髪に触れる。どうやら彼女に膝枕をされ眠っていたようだ。,女人俯身把我的頭抱在懷裏。她撫弄我的臉頰，把手指繞在我的耳朵上。,,旁白
zxjq_xu_01_Entry_1_15,none,none,none,none,,旁白
zxjq_xu_01_Entry_1_16,清醒点了吧？,Are you feeling clear-headed now?,本当に何も思い出せないの？私の名前も？,清醒點了吧？,,神秘的女人
zxjq_xu_01_Entry_1_17,莉莉……娅……？,Lillia...Lillia?,君は……リリ……ア……？　（どうして、彼女の名前を……）,莉莉……婭……？,,？？？
zxjq_xu_01_Entry_1_18,出了点儿意外，我提前叫醒你啦。,I had to wake you up sooner than planned because something unexpected came up.,あら……思い出してくれたのね。でも、目覚めるには早すぎたみたいだわ。,出了點兒意外，我提前叫醒你啦。,,莉莉娅
zxjq_xu_01_Entry_1_19,叫醒我是……,Wake me up?,目覚める……？,叫醒我是……,,？？？
zxjq_xu_01_Entry_1_20,不……说到底，我是——？,"No, wait!",私の記憶がないのと何か関係が……？,不……說到底，我是——？,,？？？
zxjq_xu_01_Entry_1_21,嗯，你不知道我在说什么。连莉莉娅这个名字，也是刚才突然从脑子里蹦出来的？,Huh? You look confusing. ,……やはり不完全のようね。,嗯，你不知道我在說什麼。連莉莉婭這個名字，也是剛才突然從腦子裏蹦出來的？,,莉莉娅
zxjq_xu_01_Entry_1_22,……不错嘛，还记得我是谁。,Guess I'm lucky you still remember me.,残念だけど、ここで記憶を取り戻すことは出来ないわ。,……不錯嘛，還記得我是誰。,,莉莉娅
zxjq_xu_01_Entry_1_23,名字先不告诉你。发生了什么事情倒可以说说。,Let me fill you in on what went down.,でも、話をすることなら出来るわよ。少しだけあなたのことを教えてあげる。,名字先不告訴你。發生了什麼事情倒可以說說。,,莉莉娅
zxjq_xu_01_Entry_1_24,你啊，以前不听我的话，去做了危险的事情后差点死了。,"You ignored my advice, did something reckless, and nearly bit the dust.",眠りにつく前、あなたは瀕死の状態だったの。無茶な真似をしたせいでね。,你啊，以前不聽我的話，去做了危險的事情後差點死了。,,莉莉娅
zxjq_xu_01_Entry_1_25,亏得我机智灵敏，才想出了救你的办法。,"Lucky for you, I'm smart enough to save your skin.",そんなあなたを私が助けたのよ。とある方法でね。,虧得我機智靈敏，才想出了救你的辦法。,,莉莉娅
zxjq_xu_01_Entry_1_26,什么办法？该不会是能让我失忆的办法吧……,Is that why I can't remember anything?,その影響で記憶が……？,什麼辦法？該不會是能讓我失憶的辦法吧……,,？？？
zxjq_xu_01_Entry_1_27,唔，一下就说中了。你在这方面的本领倒是没有变化呢。,Bingo. You're still sharp.,ふふ、察しがいいわね。そういうところは相変わらずみたい。,唔，一下就說中了。你在這方面的本領倒是沒有變化呢。,,莉莉娅
zxjq_xu_01_Entry_1_28,就没有更好一点的办法吗……,Wasn't there a better option?,他に方法はなかったのか？,就沒有更好一點的辦法嗎……,,？？？
zxjq_xu_01_Entry_1_29,一点小问题，一两百年之后总会恢复的。不许有意见。我可是……花费了漫长的时间，将死亡赶了回去。,"Just a minor hiccup. You'll get your memories back in a century or two. No complaints, OK? After all, I... put in a lot of effort to save your life.",記憶なんて二百年も経てば元に戻るもの。命の方が大事に決まっているでしょう？,一點小問題，一兩百年之後總會恢復的。不許有意見。我可是……花費了漫長的時間，將死亡趕了回去。,,莉莉娅
zxjq_xu_01_Entry_1_30,none,none,none,none,,旁白
zxjq_xu_01_Entry_1_31,别摸我的头。,Quit messing with my hair.,それは……というか、頭を撫でるのはやめてくれないか。,別摸我的頭。,,？？？
zxjq_xu_01_Entry_1_32,有什么关系，真是小气的男人。,Why? Don't sweat the small stuff.,もう……このくらい許してくれてもいいじゃない。,有什麼關係，真是小氣的男人。,,莉莉娅
zxjq_xu_01_Entry_1_33,莉莉娅又用手抚弄着我的头发，还轻轻地亲吻了我的面颊。,Lillia runs her fingers through my hair again and plants a soft kiss on my cheek.,リリアは目を細め、私の頬にやさしく口づける。,莉莉婭又用手撫弄著我的頭髮，還輕輕地親吻了我的面頰。,,旁白
zxjq_xu_01_Entry_1_34,你这样我可要摸你的头了。,"If you keep this up, I'll return the favor.",君はどうしていつも………………いつも？,你這樣我可要摸你的頭了。,,？？？
zxjq_xu_01_Entry_1_35,究竟是为什么呢？我跟这个女人、莉莉娅聊天时非常愉快，感觉自己什么话都能说。,And why's that? Chatting with Lillia was a blast. It felt like we could talk about anything under the sun.,彼女の唇から伝わる熱を、私は覚えていた。,究竟是為什麼呢？我跟這個女人、莉莉婭聊天時非常愉快，感覺自己什麼話都能說。,,旁白
zxjq_xu_01_Entry_1_36,哼，那你来呀~,"Humph, come on.",少しは思い出したみたいね？,哼，那你來呀~,,莉莉娅
zxjq_xu_01_Entry_1_37,……还是算了。然后呢，这里又是哪儿？,"Alright, enough of that... So, where are we?",……わからない。それよりも、結局ここはどこなんだ？,……還是算了。然後呢，這裏又是哪兒？,,？？？
zxjq_xu_01_Entry_1_38,天界，弑神之战的战场，前面那个浮空岛上面就是杰西斯的大神殿，后面与天军交战的则是魔女们。,"This is the battleground of the Deitieslayer War, up in the Heavenly Realm. That floating island ahead is the Great Temple of Jancis, and behind us, the Novas are duking it out with the Heavenly Army.",天界よ。そして、神殺しの戦いの場でもあるわ。向こうの浮遊島にはジェシーズの大神殿があって、魔女たちが天の軍と戦っているわ。,天界，弑神之戰的戰場，前面那個浮空島上面就是傑西斯的大神殿，後面與天軍交戰的則是魔女們。,,莉莉娅
zxjq_xu_01_Entry_1_39,一堆没听过的名词……但是，抱歉，让你久等了，莉莉娅。,"A whole lot of terms I've never heard before... But hey, sorry for making you wait, Lillia.",天界……？　ジェシーズ……？　魔女……？ど、どういうことだ……？,一堆沒聽過的名詞……但是，抱歉，讓你久等了，莉莉婭。,,？？？
zxjq_xu_01_Entry_1_40,……我原谅你了。噗，你那是什么表情，你不是失忆了吗？,"It's OK. Phew, why the odd look? I thought you lost your memory?",何も分からなくて当然よね。,……我原諒你了。噗，你那是什麼表情，你不是失憶了嗎？,,莉莉娅
zxjq_xu_01_Entry_1_41,等等，你该不会是在捉弄我吧？我要生气了哦。,"Wait, are you messing with me? I'm about to blow a fuse.",でも安心して。そのうち記憶も完全に戻るわ。,等等，你該不會是在捉弄我吧？我要生氣了哦。,,莉莉娅
zxjq_xu_01_Entry_1_42,你的脸，比起生气更像是惊喜吧。我确实想不起来过去的事情了，不过——,"You seem more shocked than mad. I can't dredge up the past, true, but—",そう、なのか……今の私には、この場所も名前も何も分からないが——,你的臉，比起生氣更像是驚喜吧。我確實想不起來過去的事情了，不過——,,？？？
zxjq_xu_01_Entry_1_43,我有种印象。非常重要，鲜明而深刻的印象。它让我觉得，我必须这么说。,"I've just remembered something. Something important, clear, and unforgettable. It's like I have to say it out loud.",……とても大切に想っていたことだけは、心が覚えているみたいだ。,我有種印象。非常重要，鮮明而深刻的印象。它讓我覺得，我必須這麼說。,,？？？
zxjq_xu_01_Entry_1_44,呵呵，嘴真甜。但是……突然有点火大了。,"Heh, heh. That's really sweet of you. But now... I'm getting a bit peeved.",はぁ……相変わらず口がうまいのね。なんだか腹が立ってきたわ……,呵呵，嘴真甜。但是……突然有點火大了。,,莉莉娅
zxjq_xu_01_Entry_1_45,呃，为什么？,Why?,私はうまいことを言おうとしたわけじゃ——,呃，為什麼？,,？？？
