Id,Name,Type,ActivityGroupID,TimeType,OpenTime,Params,UnlockId,ChannelLock,Openlimit,RankID,ExpiredRankID,ExpiredItem,ExpiredShop,ExpiredMission,CoinConversion,FindRaward,FindMail,Condition
1010200,锦绣奇缘-关卡,102,1010000,1,"10201,10202;1010101,1010102",,,"0,2,3,4,5,6,7,8,9,10",,0,,,,1010000,,,,"10201010,10201020,10201030,10201040,10201050,10201060,10201070,10201080,10201090,10201100,10201110,10201120,10201130,10201140,10201150,10201160,10201170,10201180,10201190,10201200,10201210,10201220,10201230,10201240,10201250,10201260,10202010,10202020,10202030,10202040,10202050,10202060,10202070,10202080,10202090,10202100,10202110,10202120,10202130,10202140,10202150,10202160,10202170,10202180,10202190,10202200,10203010,10203020,10203030,10203040,10203050"
1010300,锦绣奇缘-商店,103,1010000,1,60103,,,"0,2,3,4,5,6,7,8,9,10",,0,,1001026,"6010301,6010302,6010303,6010304,6010305,6010306,6010307,6010308,6010309,6010310,6010311,6010312,6010313,6010314,6010315,6010316,6010317,6010318,6010319,6010320,6010321,6010322,6010323,6010324,6010327,6010328,6010329",,,,,
1010400,锦绣奇缘-签到,104,1010000,1,3060,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,3060,,,,
1010500,锦绣奇缘-任务（有攻击动画）,105,1010000,1,3061,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,3061,,,,
1010700,锦绣奇缘-剧情回看,107,1010000,1,10701,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,,,,,
1010101,锦绣奇缘-普通关卡,10201,1010000,1,,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,,,,,
1010102,锦绣奇缘-困难关卡,10201,1010000,1,,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,,,,,
1011300,锦绣奇缘-挑战关卡排行榜,113,1010000,1,,,,"0,2,3,4,5,6,7,8,9,10",,19000,,,,,,,,
1011400,锦绣奇缘-挑战关卡,114,1010000,1,"1020301,1020302,1020303,1020304,1020305",,,"0,2,3,4,5,6,7,8,9,10",,0,,,,,,,,"19000,19001,19002,19003,19004,19005"
1040000,大波斯菊活动-和光同尘,5,1040000,1,,,1010000,,,0,,,,,"1040000;1001041,1000003,200",,1040000,
1040100,和光同尘-主界面,101,1040000,1,,,,,,0,,,,,,,,
1040200,和光同尘-关卡,102,1040000,1,"10401,10402;1040101,1040102",,,,,0,,1001041,,"1040000,1040001",,,,"10401010,10401020,10401030,10401040,10401050,10401060,10401070,10401080,10401090,10401100,10401110,10401120,10401130,10401140,10401150,10401160,10401170,10401180,10401190,10402010,10402020,10402030,10402040,10402050,10402060,10402070,10402080,10402090,10402100,10402110,10402120,10402130,10402140,10402150,10402160,10402170,10402180,10403010,10403020,10403030,10403040,10403050"
1040300,和光同尘-商店,103,1040000,1,60403,,,,,0,,,"6040301,6040302,6040303,6040305,6040306,6040307,6040309,6040310,6040311,6040312,6040313,6040314,6040315,6040316,6040317,6040318,6040319,6040320,6040321,6040322,6040323,6040324",,,,,
1040400,和光同尘-签到,104,1040000,1,3067,,,,,0,,,,3067,,,,
1040600,和光同尘-任务,106,1040000,1,"3068,3069",,,,,0,,,,"3068,3069",,,,
1040700,和光同尘-剧情回看,107,1040000,1,"10704,107041",,,,,0,,,,,,,,
1040101,和光同尘-普通关卡,10201,1040000,1,,,,,,0,,,,,,,,"10401021,10401051,10401091,10401111,10401121,10401131,10401141,10401151,10401161,10401171,10401181,10401191,10402021,10402051,10402061,10402111,10402121,10402131,10402141,10402151,10402161,10402171,10402181,10401022,10401052,10401092,10401112,10401122,10401132,10401142,10401152,10401162,10401172,10401182,10401192,10402022,10402052,10402062,10402112,10402122,10402132,10402142,10402152,10402162,10402172,10402182,10401023,10401053,10401093,10401113,10401123,10401133,10401143,10401153,10401163,10401173,10401183,10401193,10402023,10402053,10402063,10402113,10402123,10402133,10402143,10402153,10402163,10402173,10402183,10401024,10401054,10401094,10401114,10401124,10401134,10401144,10401154,10401164,10401174,10401184,10401194,10402024,10402054,10402064,10402114,10402124,10402134,10402144,10402154,10402164,10402174,10402184"
1040102,和光同尘-困难关卡,10201,1040000,1,,,,,,0,,,,,,,,
1041300,和光同尘-挑战关卡排行榜,113,1040000,1,,,,,,19001,,,,,,,,
1041400,和光同尘-挑战关卡,114,1040000,1,"1040301,1040302,1040303,1040304,1040305",,,,,0,,,,,,,,"19006,19007,19008,19009,19010,19011"
100118,activity_name_18,2,,1,,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,3062,,,,
110001,CR用户签到活动,2,,3,,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,,,,,
110002,CR用户通行证,2,,1,,,,"0,2,3,4,5,6,7,8,9,10",,0,,999001,99001,"3065,3066",,"3065,3066",110004,
110003,CR超级用户每日登录,2,,3,,,,"0,2,3,4,5,6,7,8,9,10",,0,,,,,,,,
100119,通行证2期-纳菲,2,,1,,,,,"101120,1",0,,"10101,10102","10104,10105,10106","1012,1013,101099,101199",,"1012,1013,101099,101199",10205,
100120,activity_name_20,2,,1,,,,,,0,,,,3070,,3070,100120,20073
100121,activity_name_21,2,,3,,,,,,0,,,,,,,,
30001,黯影地牢-肉鸽爬塔s1,8,30001,1,"401,402,403,404,405,406",,,,,2001,,,,3071,,,,
39001,魔物列阵,9,39001,4,"1800,2591999",101,,"0,2,3,4,5,8,9,10",,"39003,39004,39005",,,,3106,,3106,,
39002,魔物列阵,9,39001,4,"1800,2591999",102,,"0,2,3,4,5,8,9,10",,"39003,39004,39005",,,,3106,,3106,,
100122,activity_name_22,2,,1,,,,0,,0,,,,3072,,3072,100122,20074
100123,activity_name_23,2,,3,,,,"0,2,3,4,5",,0,,,,,,,,
100124,深渊之域-预告,2,,3,,,,,,,,,,,,,,
100125,黯影地牢-预告,2,,3,,,,,,,,,,,,,,
100126,怪物列阵-预告,2,,3,,,,"0,2,3,4,5",,,,,,,,,,
100127,美梦之前,2,,1,,,,,,0,,,,,,,,
100128,圣兽之心,2,,1,,,,"0,2,3,4,5,6,7",,0,,,,3062,,,,
1030000,昔莱活动-遮光梦,5,1030000,1,,,1030000,,,0,,,,,"1030000;1001040,1000003,200",,1030000,
1030100,遮光梦-主界面,101,1030000,1,,,,,,0,,,,,,,,
1030200,遮光梦-关卡,102,1030000,1,10301;1030101,,,,,0,,1001040,,"1030000,1030001",,,,"10301010,10301020,10301030,10301040,10301050,10301060,10301070,10301080,10301090,10301100,10301110,10301120,10301130,10301140,10301150,10301160,10301170,10301180,10301190,10301200,10301210,10301220,10301230,10301240,10301250,10301260,10301270,10301280,10301290,10301300,10303010,10303020,10303030,10303040"
1030300,遮光梦-商店,103,1030000,1,60303,,,,,0,,,"6030301,6030302,6030303,6030305,6030306,6030307,6030309,6030310,6030311,6030312,6030313,6030314,6030315,6030316,6030317,6030318,6030319,6030320,6030321,6030322,6030323,6030324,6030325,6030331",,,,,
1030400,遮光梦-签到,104,1030000,1,3081,,,,,0,,,,3081,,,,
1030500,遮光梦-任务,106,1030000,1,"3079,3080",,,,,0,,,,"3079,3080",,,,
1030600,遮光梦-剧情回看,108,1030000,1,10703,,,,,0,,,,,,,,
1030101,遮光梦-普通关卡,10201,1030000,1,,,,,,0,,,,,,,,"10301011,10301021,10301031,10301041,10301051,10301061,10301071,10301081,10301091,10301101,10301111,10301121,10301131,10301141,10301151,10301161,10301171,10301181,10301191,10301201,10301211,10301221,10301231,10301241,10301251,10301261,10301271,10301281,10301291,10301301,10301012,10301022,10301032,10301042,10301052,10301062,10301072,10301082,10301092,10301102,10301112,10301122,10301132,10301142,10301152,10301162,10301172,10301182,10301192,10301202,10301212,10301222,10301232,10301242,10301252,10301262,10301272,10301282,10301292,10301302"
1031300,遮光梦-挑战关卡排行榜,113,1030000,1,,,,,,19002,,,,,,,,"10301013,10301023,10301033,10301043,10301053,10301063,10301073,10301083,10301093,10301103,10301113,10301123,10301133,10301143,10301153,10301163,10301173,10301183,10301193,10301203,10301213,10301223,10301233,10301243,10301253,10301263,10301273,10301283,10301293,10301303,10301014,10301024,10301034,10301044,10301054,10301064,10301074,10301084,10301094,10301104,10301114,10301124,10301134,10301144,10301154,10301164,10301174,10301184,10301194,10301204,10301214,10301224,10301234,10301244,10301254,10301264,10301274,10301284,10301294,10301304"
1031400,遮光梦-挑战关卡,114,1030000,1,"1030301,1030302,1030303,1030304,1030305",,,,,0,,,,,,,,"19012,19013,19014,19015,19016,19017"
100129,崇高之翼-昔莱觉醒活动,2,,1,,,,,,0,,,,3082,,,,
100130,集换卡-预告,2,,3,,,,"2,3,4,5,6,7",,,,,,,,,,
100131,通行证3期-未来,2,,1,,,,,"101120,1",0,,"10101,10102","10107,10108,10109","1014,1015,101099,101199",,"1014,1015,101099,101199",10205,
100132,扭蛋-装扮,10,,1,,,,0,,,,,,3083,"100132;1001044,1000002,60",3083,1001321,
100133,钻石大转盘,10,,1,,,,0,,,,,,,,,,
100134,再布神谕,2,,1,,,,,,,,,,"3089,3084,3085,3086,3087,3088",,,,
100135,知更鸟（奈奥米觉醒活动）,2,,1,,,,,,,,,,,,,,
100136,通行证4期-神光,2,,1,,,,,"101120,1",0,,"10101,10102","10110,10111,10112","1016,1017,101099,101199",,"1016,1017,101099,101199",10205,
1050000,奈奥米活动-知更鸟的安魂曲,5,1050000,1,,,1050000,,,0,,,,,"1050000;1001042,1000003,200",,1050000,
1050100,知更鸟的安魂曲-主界面,101,1050000,1,,,,,,0,,,,,,,,
1050200,知更鸟的安魂曲-关卡,102,1050000,1,"10501,10502;1050101,1050102",,,,,0,,1001042,,"1050000,1050001",,,,"10501010,10501020,10501030,10501040,10501050,10501060,10501070,10501080,10501090,10501100,10501110,10501120,10501130,10501140,10501150,10501160,10501170,10501180,10501190,10501200,10501210,10501220,10501230,10501240,10501250,10501260,10501270,10502010,10502020,10502030,10502040,10502050,10502060,10502070,10502080,10502090,10502100,10503010,10503020,10503030,10503040,10503050"
1050300,知更鸟的安魂曲-商店,103,1050000,1,60503,,,,,0,,,"6050301,6050302,6050303,6050305,6050306,6050307,6050308,6050309,6050310,6050311,6050312,6050313,6050314,6050315,6050316,6050317,6050318,6050319,6050320,6050321,6050322,6050323,6050324,6050325,6050326,6050327,6050328,6050329",,,,,
1050400,知更鸟的安魂曲-签到,104,1050000,1,3094,,,,,0,,,,3094,,,,
1050500,知更鸟的安魂曲-任务,106,1050000,1,"3092,3093",,,,,0,,,,"3092,3093",,,,
1050600,知更鸟的安魂曲-剧情回看,107,1050000,1,"10705,107051",,,,,0,,,,,,,,
1050101,知更鸟的安魂曲-普通关卡,10201,1050000,1,,,,,,0,,,,,,,,
1050102,知更鸟的安魂曲-困难关卡,10201,1050000,1,,,,,,0,,,,,,,,"10501151,10501161,10501171,10501181,10501191,10501201,10501211,10501221,10501231,10501241,10501251,10501261,10501271,10502011,10502021,10502031,10502041,10502051,10502061,10502071,10502081,10502091,10502101,10501152,10501162,10501172,10501182,10501192,10501202,10501212,10501222,10501232,10501242,10501252,10501262,10501272,10502012,10502022,10502032,10502042,10502052,10502062,10502072,10502082,10502092,1050210"
1051300,知更鸟的安魂曲-挑战关卡排行榜,113,1050000,1,,,,,,19003,,,,,,,,"10501153,10501163,10501173,10501183,10501193,10501203,10501213,10501223,10501233,10501243,10501253,10501263,10501273,10502013,10502023,10502033,10502043,10502053,10502063,10502073,10502083,10502093,10502103"
1051400,知更鸟的安魂曲-挑战关卡,114,1050000,1,"1050301,1050302,1050303,1050304,1050305",,,,,0,,,,,,,,"19018,19019,19020,19021,19022,19023"
100137,丰收时刻-国服累计充值,2,,1,,,,"0,8,9,10",,0,,,,3095,,3095,100120,20143
100138,集换卡-预告-国服,2,,3,,,,"0,8,9,10",,,,,,,,,,
100139,重返圣城-回归签到,2,,10,"1296000,0,1209600",,,"0,2,3,4,5",,,,,,3097,,,,20146
100140,归行票证-回归基金,2,,10,"1296000,0,1209600",,,"0,2,3,4,5",,,,999997,99997,3100,,3100,100140,20151
100141,中庭夜集-回归商店,2,,10,"1296000,0,1209600",,,"0,2,3,4,5",,,,,"100002,100003",,,,,
100142,诺维雅觉醒活动,2,,1,,,,,,,,,,3098,,,,
100143,通行证5期-大波斯菊,2,,1,,,,,"101120,1",0,,"10101,10102","10113,10114,10115","1014,1015,101099,101199",,"1014,1015,101099,101199",10205,
100144,爱尔维拉觉醒活动,2,,1,,,,,,,,,,3099,,,,
1200000,爱尔维拉活动-恶龙计划,5,1200000,1,,,1030000,,,0,,,,,"1200000;1015051,1000003,200",,1200000,
1200100,恶龙计划-主界面,101,1200000,1,,,,,,0,,,,,,,,
1200200,恶龙计划-关卡,102,1200000,1,"12001,12002;1200101,1200102",,,,,0,,1015051,,"1200000,1200001",,,,
1200300,恶龙计划-商店,103,1200000,1,62003,,,,,0,,,"6200301,6200302,6200303,6200305,6200306,6200307,6200308,6200309,6200310,6200311,6200312,6200313,6200314,6200315,6200316,6200317,6200318,6200319,6200320,6200321,6200322,6200323,6200324,6200325,6200326",,,,,
1200400,恶龙计划-签到,104,1200000,1,3101,,,,,0,,,,3101,,,,
1200500,恶龙计划-任务,106,1200000,1,"3102,3103",,,,,0,,,,"3102,3103",,,,
1200600,恶龙计划-剧情回看,108,1200000,1,12003,,,,,0,,,,,,,,
1200101,恶龙计划-普通关卡,10201,1200000,1,,,,,,0,,,,,,,,
1200102,恶龙计划-困难关卡,10201,1200000,1,,,,,,0,,,,,,,,
1201300,恶龙计划-挑战关卡排行榜,113,1200000,1,,,,,,19004,,,,,,,,
1201400,恶龙计划-挑战关卡,114,1200000,1,"1200301,1200302,1200303,1200304,1200305",,,,,0,,,,,,,,"19024,19025,19026,19027,19028,19029"
100145,通行证6期-桃,2,,1,,,,,"101120,1",0,,"10101,10102","10116,10117,10118","1014,1015,101099,101199",,"1014,1015,101099,101199",10205,
100146,百抽庆重逢,2,,3,,,,"0,8,9,10",,,,,,,,,,
100147,重逢献礼,2,,3,,,,"0,8,9,10",,,,,,,,,,
100148,初入异世-桃试玩,2,,1,,,,,,,,,,,,,,
100149,夜雾领航-塞蕾丝蒂娜预热,2,,1,,,,,,,,,,,,,,
