RoleId,,gospelname,gospelname_en,gospeltitle_en,gospelintro,cv_cn,cv,illust,gospel_title,gospel_race,basic_data_1,basic_data_2,favor_data_1,favor_data_2,favor_data_3,favor_data_4,favor_data_5,secret_data,start_captain,start_team,start_combat,end_combat,treasure,complaint,encourage,revivify,end_captain,end_team
3013025,多萝西,rolepet_name_3013025,rolepet_en_name_3013025,rolepet_letile_name_3013025,rolepet_brief_3013025,rolepet_cv_cn_3013025,rolepet_cv_jp_3013025,rolepet_illust_3013025,rolepet_title_3013025,rolepet_race_3013025,rolepet_basic_data_1_3013025,rolepet_basic_data_2_3013025,rolepet_favor_data_1_3013025,rolepet_favor_data_2_3013025,rolepet_favor_data_3_3013025,rolepet_favor_data_4_3013025,rolepet_favor_data_5_3013025,rolepet_job_desc_3013025,rolepet_start_cap_3013025,rolepet_start_team_3013025,rolepet_start_combat_3013025,rolepet_end_3013025,rolepet_treasure_3013025,rolepet_complaint_3013025,rolepet_encourage_3013025,rolepet_revivify_3013025,rolepet_end_captain_3013025,rolepet_end_team_3013025
3014001,普琳普顿,rolepet_name_3014001,rolepet_en_name_3014001,rolepet_letile_name_3014001,rolepet_brief_3014001,rolepet_cv_cn_3014001,rolepet_cv_jp_3014001,rolepet_illust_3014001,rolepet_title_3014001,rolepet_race_3014001,rolepet_basic_data_1_3014001,rolepet_basic_data_2_3014001,rolepet_favor_data_1_3014001,rolepet_favor_data_2_3014001,rolepet_favor_data_3_3014001,rolepet_favor_data_4_3014001,rolepet_favor_data_5_3014001,rolepet_job_desc_3014001,rolepet_start_cap_3014001,rolepet_start_team_3014001,rolepet_start_combat_3014001,rolepet_end_3014001,rolepet_treasure_3014001,rolepet_complaint_3014001,rolepet_encourage_3014001,rolepet_revivify_3014001,rolepet_end_captain_3014001,rolepet_end_team_3014001
3014003,焰心,rolepet_name_3014003,rolepet_en_name_3014003,rolepet_letile_name_3014003,rolepet_brief_3014003,rolepet_cv_cn_3014003,rolepet_cv_jp_3014003,rolepet_illust_3014003,rolepet_title_3014003,rolepet_race_3014003,rolepet_basic_data_1_3014003,rolepet_basic_data_2_3014003,rolepet_favor_data_1_3014003,rolepet_favor_data_2_3014003,rolepet_favor_data_3_3014003,rolepet_favor_data_4_3014003,rolepet_favor_data_5_3014003,rolepet_job_desc_3014003,rolepet_start_cap_3014003,rolepet_start_team_3014003,rolepet_start_combat_3014003,rolepet_end_3014003,rolepet_treasure_3014003,rolepet_complaint_3014003,rolepet_encourage_3014003,rolepet_revivify_3014003,rolepet_end_captain_3014003,rolepet_end_team_3014003
3014004,索菲,rolepet_name_3014004,rolepet_en_name_3014004,rolepet_letile_name_3014004,rolepet_brief_3014004,rolepet_cv_cn_3014004,rolepet_cv_jp_3014004,rolepet_illust_3014004,rolepet_title_3014004,rolepet_race_3014004,rolepet_basic_data_1_3014004,rolepet_basic_data_2_3014004,rolepet_favor_data_1_3014004,rolepet_favor_data_2_3014004,rolepet_favor_data_3_3014004,rolepet_favor_data_4_3014004,rolepet_favor_data_5_3014004,rolepet_job_desc_3014004,rolepet_start_cap_3014004,rolepet_start_team_3014004,rolepet_start_combat_3014004,rolepet_end_3014004,rolepet_treasure_3014004,rolepet_complaint_3014004,rolepet_encourage_3014004,rolepet_revivify_3014004,rolepet_end_captain_3014004,rolepet_end_team_3014004
3014005,弥生,rolepet_name_3014005,rolepet_en_name_3014005,rolepet_letile_name_3014005,rolepet_brief_3014005,rolepet_cv_cn_3014005,rolepet_cv_jp_3014005,rolepet_illust_3014005,rolepet_title_3014005,rolepet_race_3014005,rolepet_basic_data_1_3014005,rolepet_basic_data_2_3014005,rolepet_favor_data_1_3014005,rolepet_favor_data_2_3014005,rolepet_favor_data_3_3014005,rolepet_favor_data_4_3014005,rolepet_favor_data_5_3014005,rolepet_job_desc_3014005,rolepet_start_cap_3014005,rolepet_start_team_3014005,rolepet_start_combat_3014005,rolepet_end_3014005,rolepet_treasure_3014005,rolepet_complaint_3014005,rolepet_encourage_3014005,rolepet_revivify_3014005,rolepet_end_captain_3014005,rolepet_end_team_3014005
3014009,桃,rolepet_name_3014009,rolepet_en_name_3014009,rolepet_letile_name_3014009,rolepet_brief_3014009,rolepet_cv_cn_3014009,rolepet_cv_jp_3014009,rolepet_illust_3014009,rolepet_title_3014009,rolepet_race_3014009,rolepet_basic_data_1_3014009,rolepet_basic_data_2_3014009,rolepet_favor_data_1_3014009,rolepet_favor_data_2_3014009,rolepet_favor_data_3_3014009,rolepet_favor_data_4_3014009,rolepet_favor_data_5_3014009,rolepet_job_desc_3014009,rolepet_start_cap_3014009,rolepet_start_team_3014009,rolepet_start_combat_3014009,rolepet_end_3014009,rolepet_treasure_3014009,rolepet_complaint_3014009,rolepet_encourage_3014009,rolepet_revivify_3014009,rolepet_end_captain_3014009,rolepet_end_team_3014009
3014011,艾斯塔利亚,rolepet_name_3014011,rolepet_en_name_3014011,rolepet_letile_name_3014011,rolepet_brief_3014011,rolepet_cv_cn_3014011,rolepet_cv_jp_3014011,rolepet_illust_3014011,rolepet_title_3014011,rolepet_race_3014011,rolepet_basic_data_1_3014011,rolepet_basic_data_2_3014011,rolepet_favor_data_1_3014011,rolepet_favor_data_2_3014011,rolepet_favor_data_3_3014011,rolepet_favor_data_4_3014011,rolepet_favor_data_5_3014011,rolepet_job_desc_3014011,rolepet_start_cap_3014011,rolepet_start_team_3014011,rolepet_start_combat_3014011,rolepet_end_3014011,rolepet_treasure_3014011,rolepet_complaint_3014011,rolepet_encourage_3014011,rolepet_revivify_3014011,rolepet_end_captain_3014011,rolepet_end_team_3014011
3014012,未来,rolepet_name_3014012,rolepet_en_name_3014012,rolepet_letile_name_3014012,rolepet_brief_3014012,rolepet_cv_cn_3014012,rolepet_cv_jp_3014012,rolepet_illust_3014012,rolepet_title_3014012,rolepet_race_3014012,rolepet_basic_data_1_3014012,rolepet_basic_data_2_3014012,rolepet_favor_data_1_3014012,rolepet_favor_data_2_3014012,rolepet_favor_data_3_3014012,rolepet_favor_data_4_3014012,rolepet_favor_data_5_3014012,rolepet_job_desc_3014012,rolepet_start_cap_3014012,rolepet_start_team_3014012,rolepet_start_combat_3014012,rolepet_end_3014012,rolepet_treasure_3014012,rolepet_complaint_3014012,rolepet_encourage_3014012,rolepet_revivify_3014012,rolepet_end_captain_3014012,rolepet_end_team_3014012
3014016,杏林,rolepet_name_3014016,rolepet_en_name_3014016,rolepet_letile_name_3014016,rolepet_brief_3014016,rolepet_cv_cn_3014016,rolepet_cv_jp_3014016,rolepet_illust_3014016,rolepet_title_3014016,rolepet_race_3014016,rolepet_basic_data_1_3014016,rolepet_basic_data_2_3014016,rolepet_favor_data_1_3014016,rolepet_favor_data_2_3014016,rolepet_favor_data_3_3014016,rolepet_favor_data_4_3014016,rolepet_favor_data_5_3014016,rolepet_job_desc_3014016,rolepet_start_cap_3014016,rolepet_start_team_3014016,rolepet_start_combat_3014016,rolepet_end_3014016,rolepet_treasure_3014016,rolepet_complaint_3014016,rolepet_encourage_3014016,rolepet_revivify_3014016,rolepet_end_captain_3014016,rolepet_end_team_3014016
3014018,诗娅,rolepet_name_3014018,rolepet_en_name_3014018,rolepet_letile_name_3014018,rolepet_brief_3014018,rolepet_cv_cn_3014018,rolepet_cv_jp_3014018,rolepet_illust_3014018,rolepet_title_3014018,rolepet_race_3014018,rolepet_basic_data_1_3014018,rolepet_basic_data_2_3014018,rolepet_favor_data_1_3014018,rolepet_favor_data_2_3014018,rolepet_favor_data_3_3014018,rolepet_favor_data_4_3014018,rolepet_favor_data_5_3014018,rolepet_job_desc_3014018,rolepet_start_cap_3014018,rolepet_start_team_3014018,rolepet_start_combat_3014018,rolepet_end_3014018,rolepet_treasure_3014018,rolepet_complaint_3014018,rolepet_encourage_3014018,rolepet_revivify_3014018,rolepet_end_captain_3014018,rolepet_end_team_3014018
3014019,艾什尔,rolepet_name_3014019,rolepet_en_name_3014019,rolepet_letile_name_3014019,rolepet_brief_3014019,rolepet_cv_cn_3014019,rolepet_cv_jp_3014019,rolepet_illust_3014019,rolepet_title_3014019,rolepet_race_3014019,rolepet_basic_data_1_3014019,rolepet_basic_data_2_3014019,rolepet_favor_data_1_3014019,rolepet_favor_data_2_3014019,rolepet_favor_data_3_3014019,rolepet_favor_data_4_3014019,rolepet_favor_data_5_3014019,rolepet_job_desc_3014019,rolepet_start_cap_3014019,rolepet_start_team_3014019,rolepet_start_combat_3014019,rolepet_end_3014019,rolepet_treasure_3014019,rolepet_complaint_3014019,rolepet_encourage_3014019,rolepet_revivify_3014019,rolepet_end_captain_3014019,rolepet_end_team_3014019
3014020,阿波菲斯,rolepet_name_3014020,rolepet_en_name_3014020,rolepet_letile_name_3014020,rolepet_brief_3014020,rolepet_cv_cn_3014020,rolepet_cv_jp_3014020,rolepet_illust_3014020,rolepet_title_3014020,rolepet_race_3014020,rolepet_basic_data_1_3014020,rolepet_basic_data_2_3014020,rolepet_favor_data_1_3014020,rolepet_favor_data_2_3014020,rolepet_favor_data_3_3014020,rolepet_favor_data_4_3014020,rolepet_favor_data_5_3014020,rolepet_job_desc_3014020,rolepet_start_cap_3014020,rolepet_start_team_3014020,rolepet_start_combat_3014020,rolepet_end_3014020,rolepet_treasure_3014020,rolepet_complaint_3014020,rolepet_encourage_3014020,rolepet_revivify_3014020,rolepet_end_captain_3014020,rolepet_end_team_3014020
3014021,纳菲,rolepet_name_3014021,rolepet_en_name_3014021,rolepet_letile_name_3014021,rolepet_brief_3014021,rolepet_cv_cn_3014021,rolepet_cv_jp_3014021,rolepet_illust_3014021,rolepet_title_3014021,rolepet_race_3014021,rolepet_basic_data_1_3014021,rolepet_basic_data_2_3014021,rolepet_favor_data_1_3014021,rolepet_favor_data_2_3014021,rolepet_favor_data_3_3014021,rolepet_favor_data_4_3014021,rolepet_favor_data_5_3014021,rolepet_job_desc_3014021,rolepet_start_cap_3014021,rolepet_start_team_3014021,rolepet_start_combat_3014021,rolepet_end_3014021,rolepet_treasure_3014021,rolepet_complaint_3014021,rolepet_encourage_3014021,rolepet_revivify_3014021,rolepet_end_captain_3014021,rolepet_end_team_3014021
3014022,丘吉尔,rolepet_name_3014022,rolepet_en_name_3014022,rolepet_letile_name_3014022,rolepet_brief_3014022,rolepet_cv_cn_3014022,rolepet_cv_jp_3014022,rolepet_illust_3014022,rolepet_title_3014022,rolepet_race_3014022,rolepet_basic_data_1_3014022,rolepet_basic_data_2_3014022,rolepet_favor_data_1_3014022,rolepet_favor_data_2_3014022,rolepet_favor_data_3_3014022,rolepet_favor_data_4_3014022,rolepet_favor_data_5_3014022,rolepet_job_desc_3014022,rolepet_start_cap_3014022,rolepet_start_team_3014022,rolepet_start_combat_3014022,rolepet_end_3014022,rolepet_treasure_3014022,rolepet_complaint_3014022,rolepet_encourage_3014022,rolepet_revivify_3014022,rolepet_end_captain_3014022,rolepet_end_team_3014022
3014023,神光,rolepet_name_3014023,rolepet_en_name_3014023,rolepet_letile_name_3014023,rolepet_brief_3014023,rolepet_cv_cn_3014023,rolepet_cv_jp_3014023,rolepet_illust_3014023,rolepet_title_3014023,rolepet_race_3014023,rolepet_basic_data_1_3014023,rolepet_basic_data_2_3014023,rolepet_favor_data_1_3014023,rolepet_favor_data_2_3014023,rolepet_favor_data_3_3014023,rolepet_favor_data_4_3014023,rolepet_favor_data_5_3014023,rolepet_job_desc_3014023,rolepet_start_cap_3014023,rolepet_start_team_3014023,rolepet_start_combat_3014023,rolepet_end_3014023,rolepet_treasure_3014023,rolepet_complaint_3014023,rolepet_encourage_3014023,rolepet_revivify_3014023,rolepet_end_captain_3014023,rolepet_end_team_3014023
3014024,雷雷,rolepet_name_3014024,rolepet_en_name_3014024,rolepet_letile_name_3014024,rolepet_brief_3014024,rolepet_cv_cn_3014024,rolepet_cv_jp_3014024,rolepet_illust_3014024,rolepet_title_3014024,rolepet_race_3014024,rolepet_basic_data_1_3014024,rolepet_basic_data_2_3014024,rolepet_favor_data_1_3014024,rolepet_favor_data_2_3014024,rolepet_favor_data_3_3014024,rolepet_favor_data_4_3014024,rolepet_favor_data_5_3014024,rolepet_job_desc_3014024,rolepet_start_cap_3014024,rolepet_start_team_3014024,rolepet_start_combat_3014024,rolepet_end_3014024,rolepet_treasure_3014024,rolepet_complaint_3014024,rolepet_encourage_3014024,rolepet_revivify_3014024,rolepet_end_captain_3014024,rolepet_end_team_3014024
3014025,安普莎,rolepet_name_3014025,rolepet_en_name_3014025,rolepet_letile_name_3014025,rolepet_brief_3014025,rolepet_cv_cn_3014025,rolepet_cv_jp_3014025,rolepet_illust_3014025,rolepet_title_3014025,rolepet_race_3014025,rolepet_basic_data_1_3014025,rolepet_basic_data_2_3014025,rolepet_favor_data_1_3014025,rolepet_favor_data_2_3014025,rolepet_favor_data_3_3014025,rolepet_favor_data_4_3014025,rolepet_favor_data_5_3014025,rolepet_job_desc_3014025,rolepet_start_cap_3014025,rolepet_start_team_3014025,rolepet_start_combat_3014025,rolepet_end_3014025,rolepet_treasure_3014025,rolepet_complaint_3014025,rolepet_encourage_3014025,rolepet_revivify_3014025,rolepet_end_captain_3014025,rolepet_end_team_3014025
3014026,库萝爱,rolepet_name_3014026,rolepet_en_name_3014026,rolepet_letile_name_3014026,rolepet_brief_3014026,rolepet_cv_cn_3014026,rolepet_cv_jp_3014026,rolepet_illust_3014026,rolepet_title_3014026,rolepet_race_3014026,rolepet_basic_data_1_3014026,rolepet_basic_data_2_3014026,rolepet_favor_data_1_3014026,rolepet_favor_data_2_3014026,rolepet_favor_data_3_3014026,rolepet_favor_data_4_3014026,rolepet_favor_data_5_3014026,rolepet_job_desc_3014026,rolepet_start_cap_3014026,rolepet_start_team_3014026,rolepet_start_combat_3014026,rolepet_end_3014026,rolepet_treasure_3014026,rolepet_complaint_3014026,rolepet_encourage_3014026,rolepet_revivify_3014026,rolepet_end_captain_3014026,rolepet_end_team_3014026
3014027,贝拉,rolepet_name_3014027,rolepet_en_name_3014027,rolepet_letile_name_3014027,rolepet_brief_3014027,rolepet_cv_cn_3014027,rolepet_cv_jp_3014027,rolepet_illust_3014027,rolepet_title_3014027,rolepet_race_3014027,rolepet_basic_data_1_3014027,rolepet_basic_data_2_3014027,rolepet_favor_data_1_3014027,rolepet_favor_data_2_3014027,rolepet_favor_data_3_3014027,rolepet_favor_data_4_3014027,rolepet_favor_data_5_3014027,rolepet_job_desc_3014027,rolepet_start_cap_3014027,rolepet_start_team_3014027,rolepet_start_combat_3014027,rolepet_end_3014027,rolepet_treasure_3014027,rolepet_complaint_3014027,rolepet_encourage_3014027,rolepet_revivify_3014027,rolepet_end_captain_3014027,rolepet_end_team_3014027
