Id,,BuffIcon,WordName,,HitEffect,EffectIcon,TriggerEffect,Effect,EffectPosition,EndEffect,Action,HeadShow
4000038,受击BP效率增加,bp_be_attack_efficiency_up,skillshow_name_4000038,受击获能增加,eft_buff_bp_up,,,,,,,0
4000039,赋予每回合BP增长,bp_js_atk_efficiency_up,skillshow_name_4000039,回合获得能量,eft_buff_bp_up,,,,,,,0
4000040,赋予BP返利,bp_round_up,skillshow_name_4000040,赋予能量返还,eft_buff_bp_up,,,,,,,0
4000041,弱点效率增加,weak_efficiency _up,skillshow_name_4000041,弱破效果增加,eft_buff_weakness_up,,,,,,,0
4000042,弱点性能增加,weak_damage_up,skillshow_name_4000042,弱破效果增加,eft_buff_weakness_up,,,,,,,0
4000043,弱点伤害增加,weak_resist_up,skillshow_name_4000043,弱破抵抗提升,eft_buff_defense_up,,,,,,,0
4000044,异常状态命中增加,abnormal_all_up,skillshow_name_4000044,效果命中增加,eft_buff_asp_up,,,,,,,0
4000045,异常状态抵抗增加,abnormal_resist_all_reduce,skillshow_name_4000045,效果抵抗增加,eft_buff_asr_up,,,,,,,0
4000046,攻击力减少,atk_reduce,skillshow_name_4000046,攻击力减少,eft_buff_attack_down,,,,,,,0
4000047,防御力减少,def_reduce,skillshow_name_4000047,防御力减少,eft_buff_defense_down,,,,,,,0
4000048,伤害减少,damage_reduce,skillshow_name_4000048,伤害减少,eft_buff_attack_down,,,,,,,0
4000049,魔女普攻伤害减少,skill_attack_damage_reduce,skillshow_name_4000049,魔女普攻伤害减少,eft_buff_attack_down,,,,,,,0
4000050,魔女奥义伤害减少,skill_aoyi_damage_reduce,skillshow_name_4000050,魔女奥义伤害减少,eft_buff_attack_down,,,,,,,0
4000051,魔女QTE伤害减少,skill_qte_damage_reduce,skillshow_name_4000051,连携伤害减少,eft_buff_attack_down,,,,,,,0
4000052,星痕技能伤害减少,skill_gospelattack_damage_reduce,skillshow_name_4000052,星痕技能伤害减少,eft_buff_attack_down,,,,,,,0
4000053,所有技能伤害减少,skill_resist_reduce,skillshow_name_4000053,所有技能伤害减少,eft_buff_defense_down,,,,,,,0
4000054,魔女普攻伤害减少,skill_attack_resist_reduce,skillshow_name_4000054,魔女普攻伤害减少,eft_buff_defense_down,,,,,,,0
4000055,魔女奥义伤害减少,skill_aoyi_resist_reduce,skillshow_name_4000055,魔女奥义伤害减少,eft_buff_defense_down,,,,,,,0
4000056,魔女QTE伤害减少,skill_qte_resist_reduce,skillshow_name_4000056,连携伤害减少,eft_buff_defense_down,,,,,,,0
4000057,星痕技能伤害减少,skill_gospelattack_resist_reduce,skillshow_name_4000057,星痕技能伤害减少,eft_buff_defense_down,,,,,,,0
4000058,种族伤害减少,damage_race_reduce,skillshow_name_4000058,职阶伤害减少,eft_buff_attack_down,,,,,,,0
4000059,诞生伤害减少,damage_birth_reduce,skillshow_name_4000059,诞生伤害减少,eft_buff_attack_down,,,,,,,0
4000060,君王伤害减少,damage_monarch_reduce,skillshow_name_4000060,君王伤害减少,eft_buff_attack_down,,,,,,,0
4000061,传道伤害减少,damage_evangelism_reduce,skillshow_name_4000061,传道伤害减少,eft_buff_attack_down,,,,,,,0
4000062,仆从伤害减少,damage_servant_reduce,skillshow_name_4000062,仆从伤害减少,eft_buff_attack_down,,,,,,,0
4000063,神子伤害减少,damage_son_of_god_reduce,skillshow_name_4000063,神子伤害减少,eft_buff_attack_down,,,,,,,0
4000064,受难伤害减少,damage_crucifixion_reduce,skillshow_name_4000064,受难伤害减少,eft_buff_attack_down,,,,,,,0
4000065,人子伤害减少,damage_son_of_man_reduce,skillshow_name_4000065,人子伤害减少,eft_buff_attack_down,,,,,,,0
4000066,种族伤害减少,damage_reduce_race_reduce,skillshow_name_4000066,种族伤害减少,eft_buff_defense_down,,,,,,,0
4000067,诞生伤害减少,damage_reduce_birth_reduce,skillshow_name_4000067,诞生伤害减少,eft_buff_defense_down,,,,,,,0
4000068,君王伤害减少,damage_reduce_monarch_reduce,skillshow_name_4000068,君王伤害减少,eft_buff_defense_down,,,,,,,0
4000069,传道伤害减少,damage_reduce_evangelism_reduce,skillshow_name_4000069,传道伤害减少,eft_buff_defense_down,,,,,,,0
4000070,仆从伤害减少,damage_reduce_servant_reduce,skillshow_name_4000070,仆从伤害减少,eft_buff_defense_down,,,,,,,0
4000071,神子伤害减少,damage_reduce_son_of_god_reduce,skillshow_name_4000071,神子伤害减少,eft_buff_defense_down,,,,,,,0
4000072,受难伤害减少,damage_reduce_crucifixion_reduce,skillshow_name_4000072,受难伤害减少,eft_buff_defense_down,,,,,,,0
4000073,人子伤害减少,damage_reduce_son_of_man_reduce,skillshow_name_4000073,人子伤害减少,eft_buff_defense_down,,,,,,,0
4000074,弱点特效减少,break_power_reduce,skillshow_name_4000074,弱点特效减少,eft_buff_defense_down,,,,,,,0
4000075,伤害追加减少,be_break_power_reduce,skillshow_name_4000075,伤害追加减少,eft_buff_attack_down,,,,,,,0
4000076,伤害减免减少,damage_resist_reduce,skillshow_name_4000076,伤害减免下降,eft_buff_defense_down,,,,,,,0
4000077,最大生命值减少,hp_reduce,skillshow_name_4000077,最大生命值减少,eft_buff_health_down,,,,,,,0
4000078,治疗效果减少,heal_effect_reduce,skillshow_name_4000078,治疗效果减少,eft_buff_health_down,,,,,,,0
4000079,受到治疗效果减少,heal_effect_reduce,skillshow_name_4000079,受到治疗效果减少,eft_buff_health_down,,,,,,,0
4000080,BP效率减少,bp_efficiency_reduce,skillshow_name_4000080,能量获取减少,eft_buff_bp_down,,,,,,,0
4000081,攻击BP效率减少,bp_attack_efficiency_reduce,skillshow_name_4000081,攻击获能减少,eft_buff_bp_down,,,,,,,0
4000082,受击BP效率减少,bp_be_attack_efficiency_reduce,skillshow_name_4000082,受击获能减少,eft_buff_bp_down,,,,,,,0
4000083,弱点效率减少,weak_efficiency _reduce,skillshow_name_4000083,弱破效率减少,eft_buff_asp_down,,,,,,,0
4000084,弱点性能减少,weak_damage_reduce,skillshow_name_4000084,弱破性能减少,eft_buff_asp_down,,,,,,,0
4000085,弱点伤害减少,weak_resist_reduce,skillshow_name_4000085,弱破抵抗减少,eft_buff_defense_down,,,,,,,0
4000086,异常状态性能减少,weak_resist_up,skillshow_name_4000086,异常状态伤害减少,eft_buff_asp_down,,,,,,,0
4000087,异常状态抵抗减少,weak_resist_up,skillshow_name_4000087,异常状态抵抗减少,eft_buff_asr_down,,,,,,,0
4000088,赋予反伤,thorns,skillshow_name_4000088,反伤,eft_buff_attack_up,,,,,,,0
4000089,赋予反射,thorns,skillshow_name_4000089,伤害反制,,,,Skill_diamond,0,,,0
4000090,赋予吸收,absorb,skillshow_name_4000090,吸收,eft_buff_bp_up,,,,,,,0
4000091,赋予吸血,hp_steal_up,skillshow_name_4000091,吸血,eft_buff_attack_up,,,,,,,0
4000092,赋予中毒,poison,skillshow_name_4000092,侵蚀,,,,Skill_qinshi,0,,,1
4000093,赋予灼烧,burn,skillshow_name_4000093,灼烧,,,,Skill_zhuoshao,0,,,1
4000094,赋予定身,frozen,skillshow_name_4000094,定身,,,,Skill_jingu,0,5999002_01_end,,1
4000095,赋予封禁,ban,skillshow_name_4000095,封禁,,,,Skill_fengjin,0,,,0
4000096,赋予沉默,silent,skillshow_name_4000096,沉默,,,,eft_buff_silent_loop,2,,,0
4000097,赋予睡眠,sleep,skillshow_name_4000097,睡眠,,,,eft_buff_sleep,2,,,0
4000098,赋予弱点状态,,skillshow_name_4000098,赋予完全弱点击破,,,5991200_01_break_02,,,,,0
4000099,赋予闪避,dodge,skillshow_name_4000099,闪避,eft_buff_avoid,ui_zd_zi_shanbi,,",3050003_cy",,,,0
4000100,赋予必中,dodge_invalid,skillshow_name_4000100,必中,eft_buff_attack_up,,,,,,,0
4000101,赋予无敌,invincible,skillshow_name_4000101,绝对防御,eft_buff_Invincible,ui_zd_zi_Invincible,,,,,,0
4000102,赋予无敌贯通,invincible_invalid,skillshow_name_4000102,无敌贯通,eft_buff_attack_up,,,,,,,0
4000103,赋予心眼,fencing,skillshow_name_4000103,心眼,eft_buff_attack_up,,,,,,,0
4000104,赋予无视防御,def_invalid,skillshow_name_4000104,无视防御,eft_buff_attack_up,,,,,,,0
4000105,赋予免死,avoid_death,skillshow_name_4000105,免死,eft_buff_immortal,ui_zd_zi_avoid_death,,,,,,0
4000106,赋予嘲讽,lock_self_all,skillshow_name_4000106,嘲讽,,,,,,,,1
4000107,赋予强制仇恨,lock_self,skillshow_name_4000107,强制仇恨,eft_buff_attack_down,,,,,,,0
4000108,赋予秒杀,lock_self,skillshow_name_4000108,秒杀,eft_buff_attack_up,,,,,,,0
4000109,赋予再动,act_count_up,skillshow_name_4000109,再动,eft_buff_bp_up,,,,,,,0
4000110,赋予减少cd,lock_self,skillshow_name_4000110,减少技能冷却,eft_buff_bp_up,,,,,,,0
4000111,赋予刷新cd,lock_self,skillshow_name_4000111,重置技能冷却,eft_buff_bp_up,,,,,,,0
4000112,赋予强化无效,lock_self,skillshow_name_4000112,赋予强化无效,eft_buff_Invalid,,,,,,,0
4000113,赋予弱化无效,lock_self,skillshow_name_4000113,赋予弱化无效,eft_buff_defense_down,,,,,,,0
4000114,赋予标记,lock_self,skillshow_name_4000114,标记,,,,,2,,,0
4000115,赋予吸血,hp_steal_up,skillshow_name_4000115,吸血,eft_buff_xixue,,,,,,,0
4000116,怒气增加,bp_efficiency_up,skillshow_name_4000116,能量增加,eft_buff_bp_up,,,,,,,0
4000117,怒气减少,bp_efficiency_reduce,skillshow_name_4000117,能量减少,eft_buff_bp_down,,,,,,,0
4000118,HP提升,hp_up,skillshow_name_4000118,生命值增加,eft_buff_bp_up,,,,,,,0
4000119,HP减少,hp_reduce,skillshow_name_4000119,生命值减少,,,,,,,,0
4000120,魔女QTE增幅,skill_qte_damage_up,skillshow_name_4000120,连携效果增强,eft_buff_bp_up,,,,,,,0
4000121,全能,almighty,skillshow_name_4000121,赋予攻守兼备,eft_buff_bp_up,,,,,,,0
4000122,吸引力,lock_self,skillshow_name_4000122,增加吸引力,eft_buff_ridicule,,,,,,,0
4000123,赋予护盾,shield_enhance_up,skillshow_name_4000123,赋予护盾,eft_buff_Invincible,,,,,,,0
4000124,侵蚀抗性降低,abnormal_resist_poison_reduce,skillshow_name_4000124,侵蚀抗性降低,eft_buff_defense_down,,,,,,,0
4000125,赋予充能,charging,skillshow_name_4000125,赋予充能,eft_buff_bp_up,,,,,,,0
4000126,赋予易碎,weaken,skillshow_name_4000126,赋予易碎,eft_buff_defense_down,,,,,,,1
4000127,赋予中毒加深,poison,skillshow_name_4000127,赋予侵蚀加深,,,,,,,,0
4000128,赋予严重虚弱,weaken,skillshow_name_4000128,受压制伤害加深,eft_buff_defense_down,,,,,,,0
4000129,赋予防御性能提升,def_up,skillshow_name_4000129,赋予防御性能提升,eft_buff_defense_up,,,,,,,0
4000130,怒气增加,bp_efficiency_up,skillshow_name_4000130,怒气增加,eft_buff_bp_up,,,,,,,0
4000131,怒气减少,bp_efficiency_reduce,skillshow_name_4000131,怒气减少,eft_buff_bp_down,,,,,,,0
4000132,赋予感电,electricity,skillshow_name_4000132,感电,,,,Skill_chudian,0,,,1
4000133,护甲增加,def_up,skillshow_name_4000133,护甲增加,eft_buff_defense_up,,,,,,,0
4000134,护甲减少,def_reduce,skillshow_name_4000134,护甲减少,eft_buff_defense_down,,,,,,,0
4000135,赋予禁疗,infcet,skillshow_name_4000135,禁疗,,,,,,,,0
4000136,赋予减伤害,weak,skillshow_name_4000136,虚弱,,,,,,,,1
4000137,赋予减怒气,decline,skillshow_name_4000137,减怒,,,,,,,,0
4000138,赋予肃清,,skillshow_name_4000138,肃清,eft_buff_suqing_hit,,,eft_buff_suqing,0,,,0
4000139,火焰爆炸,,skillshow_name_4000139,火焰爆炸,,,eft_zd_fireboom,,,,,0
4000140,雷电,,skillshow_name_4000140,雷电,eft_zd_zhaolei,,,,,,,0
4000141,彩萝卜,,skillshow_name_4000141,彩萝卜,3016187_jn_02_buff,,,,,,,0
4000142,水护盾,,skillshow_name_4000142,水之加护,,,,eft_buff_shuidun,0,,,0
4000143,水受击,,skillshow_name_4000143,渊流,eft_buff_shui_hit,,,,,,,0
4000144,元素融合,,skillshow_name_4000144,元素融合,eft_zd_yuansuhit,,,,,,,0
4000145,火焰爆炸2,,skillshow_name_4000145,火焰爆炸2,eft_zd_fireboom,,,,,,,0
4000146,水元素,,skillshow_name_4000146,赋予水元素,,,,,,,,0
4000147,火元素,,skillshow_name_4000147,赋予火元素,,,,,,,,0
4000148,雷元素,,skillshow_name_4000148,赋予雷元素,,,,,,,,0
4000149,火焰爆炸3,,skillshow_name_4000149,炎爆,eft_zd_fireboom,,,,,,,0
4000150,雷电1,,skillshow_name_4000150,雷场,eft_zd_zhaolei,,,,,,,0
4000151,灼烧强化,,skillshow_name_4000151,灼烧强化,eft_buff_attack_up,,,,,,,0
4000152,决心,,skillshow_name_4000152,决心,eft_buff_attack_up,,,,,,,0
4000153,治疗转化,abnormal_resist_infect_up,skillshow_name_4000153,治疗转化,eft_buff_Invincible,,,,,,,0
4000154,收割,,skillshow_name_4000154,收割,eft_buff_attack_up,,,,,,,0
4000155,侵蚀强化,poison_deep,skillshow_name_4000155,侵蚀强化,eft_buff_attack_up,,,,,,,0
4000156,防御穿透,def_reduce,skillshow_name_4000156,防御穿透,eft_buff_defense_down,,,,,,,0
4000157,赋予护盾上限,shield_enhance_up,skillshow_name_4000157,赋予护盾上限,eft_buff_Invincible,,,,,,,0
4000158,最终伤害增加,damage_up,skillshow_name_4000158,最终伤害增加,eft_buff_attack_up,,,,,,,0
4000159,仇恨增加,lock_self,skillshow_name_4000159,仇恨增加,eft_buff_attack_up,,,,,,,0
4000160,灵魂解放伤害增加,skill_aoyi_damage_up,skillshow_name_4000160,灵魂解放伤害增加,eft_buff_attack_up,,,,,,,0
4000161,韧性伤害,weak_efficiency _up,skillshow_name_4000161,韧性伤害增加,eft_buff_weakness_up,,,,,,,0
4000162,韧性最大值降低,weak_resist_reduce,skillshow_name_4000162,韧性最大值减少,eft_buff_defense_down,,,,,,,0
4000163,灼烧抵抗减少,weak_resist_reduce,skillshow_name_4000163,灼烧抵抗减少,eft_buff_asr_down,,,,,,,0
4000164,驱散负面状态,,skillshow_name_4000164,驱散负面状态,eft_buff_asp_up,,,,,,,0
4000165,驱散增益状态,,skillshow_name_4000165,驱散增益状态,eft_buff_asp_down,,,,,,,0
4000166,弱点击破I段,,skillshow_name_4000166,赋予弱点击破I段,eft_buff_defense_down,,,,,,,0
4000167,弱点击破II段,,skillshow_name_4000167,赋予弱点击破II段,eft_buff_defense_down,,,,,,,0
4000168,弱点击破III段,,skillshow_name_4000168,赋予弱点击破III段,eft_buff_defense_down,,,,,,,0
4000169,冷却时间缩减,,skillshow_name_4000169,冷却时间减少,eft_buff_bp_up,,,,,,,0
4000170,完全弱点击破晕眩,,skillshow_name_4000170,赋予晕眩,,,,Skill_ruodian,0,,zd_yichang,0
4000171,逆浪,,skillshow_name_4000171,赋予逆浪,eft_buff_health_up,,,,,,,0
4000172,胡萝卜,,skillshow_name_4000172,赋予胡萝卜,eft_buff_bp_up,,,,,,,0
4000173,蛇毒,,skillshow_name_4000173,赋予蛇毒,eft_buff_defense_down,,,,,,,0
4000174,加速,act_count_up,skillshow_name_4000174,加速,eft_buff_attack_up,,,,,,,0
4010130,艾斯塔利亚倒水1,,skillshow_name_4010130,减主动技能,3014011_jn_jy_01_yin,,,,,,,0
4010131,艾斯塔利亚倒水2,,skillshow_name_4010131,减即时技能,3014011_jn_jy_01_yang,,,,,,,0
4010132,伊拉2技能愤怒,,skillshow_name_4010132,忿怒,eft_buff_bp_up,,,,,,,0
4010135,艾斯塔利亚-阳,,skillshow_name_4010135,法力源泉,,,,buff_3014011_fali,2,,,0
4010136,艾斯塔利亚-阴,,skillshow_name_4010136,生命源泉,,,,buff_3014011_shengming,2,,,0
4010139,年兽buff,,skillshow_name_4010139,年兽buff,3030005_buff,,,,,,,0
4010140,黛比2技能,,skillshow_name_4010140,冻结,,,,,,,,0
4010141,黛比3技能,,skillshow_name_4010141,玩偶,,,,,,,,0
4010142,露易丝-蚀龙之毒,,skillshow_name_4010142,蚀龙之毒,eft_buff_bp_down,,,,,,,0
4010143,露易丝-冰淇淋,,skillshow_name_4010143,冰淇淋,eft_buff_bp_up,,,,,,,0
4010144,露易丝-甜甜圈,,skillshow_name_4010144,甜甜圈,eft_buff_bp_up,,,,,,,0
4010145,露易丝-奶油蛋糕,,skillshow_name_4010145,奶油蛋糕,eft_buff_bp_up,,,,,,,0
4010146,露易丝-巧克力,,skillshow_name_4010146,巧克力,eft_buff_bp_up,,,,,,,0
4010147,黑面纱夫人死亡记录,,skillshow_name_4010147,黑面纱夫人死亡记录,,,,3050012_guihuo,2,,,0
4010148,恋花2技能-百法,,skillshow_name_4010148,百法,eft_buff_bp_up,,,,,,,0
4010149,花梨2技能-冒险精神,,skillshow_name_4010149,冒险精神,eft_buff_bp_up,,,,,,,0
4010150,恋花2觉醒技能-百法,,skillshow_name_4010150,百法,eft_buff_bp_up,,,,,,,0
4010151,菲尔盖娜2技能-审判,,skillshow_name_4010151,审判,eft_buff_bp_up,,,,,,,0
4010152,菲尔盖娜2技能-锁链,,skillshow_name_4010152,锁链,eft_buff_bp_down,,,,,,,0
4010153,雪泉2-冻伤,frozen,skillshow_name_4010153,冻伤,eft_buff_bp_down,,,,,,,0
4010154,雪不归2-不归之雪,,skillshow_name_4010154,不归之雪,eft_buff_bp_up,,,,,,,0
4010155,狄妮莎-转身buff,,skillshow_name_4010155,狄妮莎-转身buff,,,,3020010_buff_02,0,,,0
4010156,杜达·戴维，破溃,,skillshow_name_4010156,破溃,,,,,,,,0
4010157,赋予灼烧加深,burn,skillshow_name_4010157,灼烧加深,,,,,,,,0
4010158,赋予感电加深,electricity,skillshow_name_4010158,感电加深,,,,,,,,0
4010159,赋予地刺,lock_self,skillshow_name_4010159,地刺,,,,,,,,0
301500220,附加龙帝君临,weak_efficiency _up,skillshow_name_301500220,龙帝君临,eft_buff_weakness_up,,,3015002_lingyu,,,,0
301601321,附加净佑水域,heal_effect_up,skillshow_name_301601321,净佑水域,eft_buff_health_up,,,3016013_lingyu,,,,0
301601340,附加净佑水域,heal_effect_up,skillshow_name_301601340,净佑水域,eft_buff_health_up,,,3016013_lingyu,,,,0
301603121,附加深渊呓语,,skillshow_name_301603121,深渊呓语,eft_buff_attack_up,,,,,,,0
301603120,附加呓语,,skillshow_name_301603120,呓语,eft_buff_attack_up,,,3016031_lingyu,,,,0
301402370,附加怒火,burn,skillshow_name_301402370,怒火,,,,,,,,0
301613070,附加风暴,,skillshow_name_301613070,风暴,,,,,,,,0
301302060,附加号令,,skillshow_name_301302060,号令,,,,,,,,0
301401221,附加祈求,heal_effect_up,skillshow_name_301401221,祈求,eft_buff_health_up,,,,,,,0
301401222,附加伤害分流,field_gospel_favor_reduce,skillshow_name_301401222,伤害分流,,,,,,,,0
301401921,附加荆棘,,skillshow_name_301401921,<color=#0584A7>荆棘</color>,,,,,,,,0
34000641,附加加速,act_count_reduce,skillshow_name_34000641,速度提升,,,,,,,,0
4000175,附加减速,act_count_reduce,skillshow_name_4000175,速度降低,,,,,,,,0
4000176,提高闪避几率,dodge_invalid,skillshow_name_4000176,提高闪避几率,,,,,,,,0
4000177,眩晕,sleep,skillshow_name_4000177,赋予晕眩,,,,,,,,0
4000178,恢复韧性,,skillshow_name_4000178,恢复韧性,eft_buff_shield,,,,,,,0
4000179,剪刃,js_extra,skillshow_name_4000179,剪刃,,,,,,,,0
4000180,劈刃,js_extra,skillshow_name_4000180,劈刃,,,,,,,,0
4000181,斩刃,js_extra,skillshow_name_4000181,斩刃,,,,,,,,0
4000182,圣光,heal_to_shield,skillshow_name_4000182,附加圣光,,,,,,,,0
4000183,诅咒,avoid_death,skillshow_name_4000183,附加诅咒,,,,,,,,0
4000184,祝福,heal_to_shield,skillshow_name_4000184,附加祝福,,,,,,,,0
4000185,自爆,death_together,skillshow_name_4000185,附加自爆,,,,,,,,0
4000186,欲梦,sleep,skillshow_name_4000186,附加欲梦,,,,,,,,0
4000187,反伤比例增加,thorns,skillshow_name_4000187,反伤比例提升,,,,,,,,0
4000188,命中效果增加,break_power_up,skillshow_name_4000188,命中效果增加,,,,,,,,0
4000189,贯穿,skill_gospelattack_damage_up,skillshow_name_4000189,附加<color=#FB9E13>贯穿</color>,eft_buff_attack_up,,,,,,,0
4000190,蒸发,,skillshow_name_4000190,附加<color=#0584A7>蒸发</color>,,,,,,,,0
4000191,击破,,skillshow_name_4000191,附加<color=#E40D08>击破</color>,,,,,,,,0
4000192,韧性最大值提高,weak_resist_up,skillshow_name_4000192,韧性最大值提高,eft_buff_defense_up,,,,,,,0
4000193,赋予复苏,heal_effect_up,skillshow_name_4000193,赋予复苏,eft_buff_health_up,,,,,,,0
4000194,赋予在动,haste,skillshow_name_4000194,赋予在动,,,,,,,,0
4000195,每回合BP减少,,skillshow_name_4000195,赋予每回合BP减少,eft_buff_bp_down,,,,,,,0
4000196,暴击概率提升,fixed_armor_up,skillshow_name_4000196,暴击概率提升,,,,,,,,0
4000197,适应减速,,skillshow_name_4000197,适应减速,,,,,,,,0
4000198,适应加速,,skillshow_name_4000198,适应加速,,,,,,,,0
4000199,受到护盾效果增强,,skillshow_name_4000199,<color=#00AEFF>$[Attribute_Name_135]增强</color>,,,,,,,,0
4000200,施加的护盾效果增强,,skillshow_name_4000200,<color=#00AEFF>$[Attribute_Name_134]增加</color>,,,,,,,,0
4000201,决斗,anger,skillshow_name_4000201,决斗,,,,,,,,0
4000202,蔷薇,,skillshow_name_4000202,蔷薇,,,,,,,,0
4000203,感电强化,electricity_enhance_up,skillshow_name_4000203,感电强化,,,,,,,,
350017120,烛火蓄能,,skillshow_name_350017120,<color=#FF6C0D>烛火蓄能</color>,,,,,,,,0
350015142,蘑菇菇,,skillshow_name_350015142,<color=#ffcf69>蘑菇菇</color>,,,,,,,zd_bianxing,0
350014133,糖豆领域,,skillshow_name_350014133,<color=#FF6C0D>糖豆领域</color>,,,,3050014_lingyu,,,,0
350014223,诡术,,skillshow_name_350014223,<color=#A10998>诡术</color>,,,,,,,,0
350014233,诡戏领域,,skillshow_name_350014233,<color=#ae73fa>诡戏领域</color>,,,,3050014_lingyu,,,,0
350014323,怪邪,,skillshow_name_350014323,<color=#069B87>怪邪</color>,,,,,,,,0
350014333,怪邪领域,,skillshow_name_350014333,<color=#A10998>怪邪领域</color>,,,,3050014_lingyu,,,,0
350012133,魅惑,,skillshow_name_350012133,<color=#A10998>魅惑</color>,,,,,,,,0
350012233,附身,,skillshow_name_350012233,<color=#ae73fa>附身</color>,,,,,,,,0
350012333,凝视,,skillshow_name_350012333,<color=#E40D08>凝视</color>,,,,,,,,0
350012136,面纱,,skillshow_name_350012136,<color=#F43308>面纱</color>,,,,,,,,0
