Id,TabType,,ShowType,,Number,HistoryImage,HistoryName,HistoryParaText,HistoryDesc,Open
5890403,9,人物事迹,2,黑神紫音,03,ui_dn_tj_npc_5890403,chronicle_name_9_3,0,chronicle_desc_9_3,0
5890404,9,人物事迹,2,爱染,04,ui_dn_tj_npc_5890423,chronicle_name_9_4,0,chronicle_desc_9_4,0
5890405,9,人物事迹,2,阿莎,05,ui_dn_tj_npc_5890405,chronicle_name_9_5,0,chronicle_desc_9_5,0
5890406,9,人物事迹,2,贾丝缇,06,ui_jq_lihui_jiasiti,chronicle_name_9_6,0,chronicle_desc_9_6,0
5890407,9,人物事迹,2,罗托,07,ui_jq_lihui_luotuo,chronicle_name_9_7,0,chronicle_desc_9_7,0
5890503,10,鸟埔记闻,1,魔女,03,ui_cd_monv,chronicle_name_10_1,chronicle_paratext_7_1,chronicle_desc_10_1,0
5890504,10,鸟埔记闻,1,星痕,04,ui_cd_xinheng,chronicle_name_10_2,chronicle_paratext_7_1,chronicle_desc_10_2,0
5890505,10,鸟埔记闻,1,游民,05,ui_cd_youmin,chronicle_name_10_3,chronicle_paratext_7_1,chronicle_desc_10_3,1
5890506,10,鸟埔记闻,1,根本法,06,ui_cd_genbenfa,chronicle_name_10_4,chronicle_paratext_7_1,chronicle_desc_10_4,1
5890507,10,鸟埔记闻,1,世袭工种,07,ui_cd_shixigongzhong,chronicle_name_10_5,chronicle_paratext_7_1,chronicle_desc_10_5,1
5890508,10,鸟埔记闻,1,混乱潮汐,08,ui_cd_hundunchaoxi,chronicle_name_10_6,chronicle_paratext_7_1,chronicle_desc_10_6,1
5890510,10,鸟埔记闻,1,使徒,10,ui_cd_shitu,chronicle_name_10_7,chronicle_paratext_7_1,chronicle_desc_10_7,1
5890516,10,鸟埔记闻,1,供需官,16,ui_cd_gongxuguan,chronicle_name_10_8,chronicle_paratext_7_1,chronicle_desc_10_8,1
5890526,10,鸟埔记闻,1,龙车,26,ui_cd_dilong,chronicle_name_10_9,chronicle_paratext_7_1,chronicle_desc_10_9,0
5890528,10,鸟埔记闻,1,信隼,28,ui_cd_xinsun,chronicle_name_10_10,chronicle_paratext_7_1,chronicle_desc_10_10,1
5890530,10,鸟埔记闻,1,大区,30,ui_cd_daqu,chronicle_name_10_11,chronicle_paratext_7_1,chronicle_desc_10_11,1
5890534,10,鸟埔记闻,1,七城,34,ui_cd_qicheng,chronicle_name_10_12,chronicle_paratext_7_1,chronicle_desc_10_12,1
5890501,10,鸟埔记闻,1,侍主,01,ui_cd_kanteweieryoumin,chronicle_name_10_13,chronicle_paratext_7_1,chronicle_desc_10_13,0
5890502,10,鸟埔记闻,1,米伦通史,02,ui_cd_miluntongshi,chronicle_name_10_14,chronicle_paratext_7_1,chronicle_desc_10_14,0
5890509,10,鸟埔记闻,1,潮汐节,09,ui_cd_chaoxiji,chronicle_name_10_15,chronicle_paratext_7_1,chronicle_desc_10_15,0
5890511,10,鸟埔记闻,1,马提亚字体,11,ui_cd_matiyaziti,chronicle_name_10_16,chronicle_paratext_7_1,chronicle_desc_10_16,0
5890512,10,鸟埔记闻,1,诺德拉矿难,12,ui_cd_nuodelakuangnan,chronicle_name_10_17,chronicle_paratext_7_1,chronicle_desc_10_17,0
5890513,10,鸟埔记闻,1,逐渐凋零的家系,13,ui_cd_diaolingdejiaxi,chronicle_name_10_18,chronicle_paratext_7_1,chronicle_desc_10_18,0
5890514,10,鸟埔记闻,1,登天长阶,14,ui_cd_dengtianchangti,chronicle_name_10_19,chronicle_paratext_7_1,chronicle_desc_10_19,0
5890515,10,鸟埔记闻,1,阿克拉,15,ui_cd_akela,chronicle_name_10_20,chronicle_paratext_7_1,chronicle_desc_10_20,0
5890517,10,鸟埔记闻,1,枢机官,17,ui_cd_qijuguan,chronicle_name_10_21,chronicle_paratext_7_1,chronicle_desc_10_21,0
5890518,10,鸟埔记闻,1,黑神家的先祖,18,ui_cd_heishenjiazu,chronicle_name_10_22,chronicle_paratext_7_1,chronicle_desc_10_22,0
5890519,10,鸟埔记闻,1,异邦人的传记,19,ui_cd_yibangren,chronicle_name_10_23,chronicle_paratext_7_1,chronicle_desc_10_23,0
5890520,10,鸟埔记闻,1,三个阶段,20,ui_cd_sangejieduan,chronicle_name_10_24,chronicle_paratext_7_1,chronicle_desc_10_24,0
5890521,10,鸟埔记闻,1,东海岸家族,21,ui_cd_donghaian,chronicle_name_10_25,chronicle_paratext_7_1,chronicle_desc_10_25,0
5890522,10,鸟埔记闻,1,保婚官,22,ui_cd_baohunguan,chronicle_name_10_26,chronicle_paratext_7_1,chronicle_desc_10_26,0
5890523,10,鸟埔记闻,1,坎特维尔,23,ui_cd_kanteweieryoumin,chronicle_name_10_27,chronicle_paratext_7_1,chronicle_desc_10_27,0
5890524,10,鸟埔记闻,1,坎特维尔特使,24,ui_cd_kanteweieryoumin,chronicle_name_10_28,chronicle_paratext_7_1,chronicle_desc_10_28,0
5890525,10,鸟埔记闻,1,融合月,25,ui_cd_rongheyue,chronicle_name_10_29,chronicle_paratext_7_1,chronicle_desc_10_29,0
5890527,10,鸟埔记闻,1,七圣星痕,27,ui_cd_qishengxinghen,chronicle_name_10_30,chronicle_paratext_7_1,chronicle_desc_10_30,0
5890529,10,鸟埔记闻,1,魔女棋,29,ui_cd_monvqi,chronicle_name_10_31,chronicle_paratext_7_1,chronicle_desc_10_31,0
5890531,10,鸟埔记闻,1,龙类,31,ui_cd_longlei,chronicle_name_10_32,chronicle_paratext_7_1,chronicle_desc_10_32,0
5890532,10,鸟埔记闻,1,回响,32,ui_cd_huixiang,chronicle_name_10_33,chronicle_paratext_7_1,chronicle_desc_10_33,0
5890533,10,鸟埔记闻,1,腐化魔法,33,ui_cd_fuhuamofa,chronicle_name_10_34,chronicle_paratext_7_1,chronicle_desc_10_34,0
5890535,10,鸟埔记闻,1,超凡感官,35,ui_cd_genbenfa,chronicle_name_10_35,chronicle_paratext_7_1,chronicle_desc_10_35,0
5890536,10,鸟埔记闻,1,神人,36,ui_cd_yibangren,chronicle_name_10_36,chronicle_paratext_7_1,chronicle_desc_10_36,0
5890537,10,鸟埔记闻,1,魔法诅咒,37,ui_cd_genbenfa,chronicle_name_10_37,chronicle_paratext_7_1,chronicle_desc_10_37,0
5890538,10,鸟埔记闻,1,誓言诅咒,38,ui_cd_heishenzuxian,chronicle_name_10_38,chronicle_paratext_7_1,chronicle_desc_10_38,0
5890539,10,鸟埔记闻,1,认知界限,39,ui_cd_nuodelakuangnan,chronicle_name_10_39,chronicle_paratext_7_1,chronicle_desc_10_39,0
5890540,10,鸟埔记闻,1,守密咒语,40,ui_cd_kantrweier,chronicle_name_10_40,chronicle_paratext_7_1,chronicle_desc_10_40,0
