Id,Name,Icon,Playerlevel,Monsters,Score,Type
1029,robot_name_29,3000004,58,"49,76,2000053;5,71,2000320;23,70,2000231;5,44,2000191;24,31,2000262",0,2
1030,robot_name_30,3000005,59,"3,78,2000193;47,70,2000122;0;21,71,2000122;15,76,2000131",50,2
1031,robot_name_31,3000001,60,"27,80,2000072;45,55,2000420;6,63,2000460;49,69,2000203;51,50,2000340",50,2
1032,robot_name_32,3000002,61,"23,82,2000441;47,66,2000181;45,31,2000400;9,68,2000450;49,73,2000251;21,35,2000163",50,2
1033,robot_name_33,3000003,62,"5,81,2000081;43,65,2000053;2,70,2000152;31,46,2000400;3,69,2000053;43,40,2000152",100,2
1034,robot_name_34,3000004,63,"50,85,2000320;12,73,2000281;0;15,77,2000440;5,63,2000300;42,67,2000380",100,2
1035,robot_name_35,3000005,64,"38,88,2000082;48,71,2000272;44,56,2000112;34,77,2000113;48,75,2000061;32,31,2000101",100,2
1036,robot_name_36,3000001,65,"44,79,2000261;49,88,2000101;0;44,67,2000142;34,71,2000111;42,86,2000012",150,2
1037,robot_name_37,3000002,66,"31,95,2000042;10,67,2000092;16,80,2000031;45,99,2000271;13,93,2000222",150,2
1038,robot_name_38,3000003,67,"26,110,2000061;42,96,2000212;40,57,2000012;41,84,2000002;23,63,2000153;43,100,2000011",150,2
1039,robot_name_39,3000004,68,"49,105,2000042;4,100,2000390;44,91,2000223;29,111,2000292;47,89,2000440;6,88,2000440",200,2
1040,robot_name_40,3000005,69,"42,112,2000151;7,107,2000131;5,111,2000272;45,119,2000121;42,100,2000410;51,80,2000102",200,2
1041,robot_name_41,3000001,70,"37,120,2000073;50,88,2000431;0;29,101,2000460;42,110,2000232;49,79,2000043;1,70,2000221",0,3
1042,robot_name_42,3000002,71,"34,97,2000350;25,121,2000272;16,114,2000351;49,109,2000330;0;0;50,98,2000380;49,66,2000350",0,3
1043,robot_name_43,3000003,72,"48,100,2000183;29,71,2000431;0;51,73,2000133;29,121,2000041;9,97,2000091;37,69,2000041;24,100,2000141",0,3
1044,robot_name_44,3000004,73,"25,133,2000032;13,120,2000291;0;28,121,2000340;35,75,2000281;0;51,120,2000310;43,99,2000450",0,3
1045,robot_name_45,3000005,74,"44,125,2000233;3,111,2000261;22,99,2000223;48,130,2000161;44,98,2000431;0;45,93,2000102;45,50,2000183",0,3
1046,robot_name_46,3000001,75,"45,117,2000101;36,101,2000032;35,71,2000350;27,65,2000232;34,94,2000440;41,121,2000012;43,125,2000091;22,71,2000053",0,3
1047,robot_name_47,3000002,76,"1,100,2000212;51,125,2000033;0;47,90,2000171;44,123,2000460;22,112,2000202;46,119,2000222;6,65,2000051",0,3
1048,robot_name_48,3000003,77,"46,105,2000282;38,128,2000223;0;17,111,2000113;4,130,2000221;0;21,115,2000173;41,103,2000300",0,3
1049,robot_name_49,3000004,78,"46,87,2000201;49,137,2000161;50,69,2000041;47,102,2000330;4,128,2000202;39,40,2000151;47,99,2000481;10,128,2000133",0,3
1050,robot_name_50,3000005,79,"9,135,2000113;16,100,2000151;47,71,2000022;34,121,2000400;30,115,2000251;0;12,140,2000242;45,116,2000410",50,3
1051,robot_name_51,3000001,80,"17,108,2000183;9,132,2000360;0;38,135,2000161;28,119,2000233;46,84,2000051;24,130,2000073;15,121,2000073",50,3
1052,robot_name_52,3000002,81,"44,137,2000470;27,128,2000223;0;19,130,2000061;14,130,2000021;0;34,121,2000300;48,139,2000001",50,3
1053,robot_name_53,3000003,82,"29,122,2000330;41,140,2000023;12,111,2000012;17,88,2000271;4,143,2000233;0;37,125,2000320;42,136,2000410",100,3
1054,robot_name_54,3000004,83,"49,130,2000063;19,121,2000073;0;42,130,2000011;31,120,2000440;41,121,2000163;8,121,2000291;25,121,2000021",100,3
1055,robot_name_55,3000005,84,"39,145,2000231;50,130,2000192;47,121,2000251;38,120,2000132;2,100,2000233;43,100,2000082;14,120,2000131;48,90,2000153",100,3
1056,robot_name_56,3000001,85,"4,146,2000111;43,121,2000431;36,138,2000193;45,131,2000172;24,89,2000133;0;23,144,2000221;11,131,2000111",150,3
1057,robot_name_57,3000002,86,"19,141,2000062;46,126,2000051;0;32,144,2000310;6,99,2000061;48,116,2000390;46,127,2000441;48,152,2000143",150,3
1058,robot_name_58,3000003,87,"15,117,2000242;44,122,2000330;49,150,2000141;24,129,2000152;26,119,2000091;0;47,143,2000223;37,135,2000192",150,3
1059,robot_name_59,3000004,88,"16,125,2000272;28,147,2000370;35,131,2000330;2,139,2000441;42,88,2000191;45,121,2000043;7,100,2000450;23,121,2000222",200,3
1060,robot_name_60,3000005,89,"48,150,2000012;34,155,2000141;30,134,2000063;44,76,2000340;20,120,2000470;42,147,2000193;16,141,2000470;49,127,2000222",200,3
