Id,TabType,UnLockCondition,MusicTime,Author,SoundId,,SoundImage,Open
1618,16,"10803,1",1899/12/31 2:15:00,librarysound_ahthor_1,8120042,旅程,bgm_FuYinGuanLi,1
1619,16,"10804,1",1899/12/31 0:19:00,librarysound_ahthor_1,8120045,抽卡,,0
1620,16,"10805,1",1899/12/31 0:25:00,librarysound_ahthor_1,8120046,抽卡_结束,,0
1621,16,"10806,1",1899/12/31 0:59:00,librarysound_ahthor_1,8120047,噔噔华尔兹,bgm_RiChang_HuanKuai,1
1622,16,"10807,1",1899/12/31 1:13:00,librarysound_ahthor_1,8120048,一日的纪念,bgm_RiChang_ShuHuan,1
1623,16,"10808,1",1899/12/31 1:18:00,librarysound_ahthor_1,8120049,梦境圆舞曲,bgm_RiChang_WenXin,1
1624,16,"10809,1",1899/12/31 1:39:00,librarysound_ahthor_1,8120050,收获的私语,bgm_RiChang_XiuXian,1
1625,16,"10810,1",1899/12/31 0:56:00,librarysound_ahthor_1,8120051,快乐小镇,bgm_RiChang_YouXian,1
1626,16,"10811,1",1899/12/31 0:51:00,librarysound_ahthor_1,8120071,喧耀的未来,,0
1627,16,"10812,1",1899/12/31 1:06:00,librarysound_ahthor_1,8120072,急速急转,,0
1628,16,"10813,1",1899/12/31 0:46:00,librarysound_ahthor_1,8120073,青空之夏,bgm_SaiMa,1
1629,16,"10814,1",1899/12/31 0:09:00,librarysound_ahthor_1,8120074,相信奇迹,,0
1630,16,"10815,1",1899/12/31 1:04:00,librarysound_ahthor_1,8120075,水平线上的等待,bgm_DiaoYu,0
1631,16,"10816,1",1899/12/31 0:32:00,librarysound_ahthor_1,8120076,钓鱼_对抗,,0
1632,16,"10817,1",1899/12/31 1:11:00,librarysound_ahthor_1,8120077,春熙锄禾,bgm_NongChang,0
1633,16,"10818,1",1899/12/31 1:11:00,librarysound_ahthor_1,8120078,蕴雾柔泉,bgm_WenQuan,0
1634,16,"10819,1",1899/12/31 1:00:00,librarysound_ahthor_1,8120091,音效_签到 环境音,,0
1635,16,"10820,1",1899/12/31 1:00:00,librarysound_ahthor_1,8120092,音效_农场 环境音,,0
1636,16,"10821,1",1899/12/31 2:16:00,librarysound_ahthor_1,8120093,圣别之塔,,0
1637,16,"10822,1",1899/12/31 0:58:00,librarysound_ahthor_1,8120106,魔潮涌动,bgm_bbhd_gwlz,0
1638,16,"10823,1",1899/12/31 1:01:00,librarysound_ahthor_1,8120107,历史：禁锢之秘闻,bgm_bbhd_sbzt,0
