Id,,,,Rank,Type,Class,DebutAnimation,DyingAnimation,ModelScale,SuggestGospel,BpModelScale,ModelChestHeight,ModelBottomWidth,ModelChestWidth,SpecialCamera,Model,HeadBig,HeadSmall
30300043,咎瓦尤斯,受难,小boss,,2,5,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300044,咎瓦尤斯,受难,小boss,,2,6,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300045,咎瓦尤斯,受难,小boss,,2,7,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300046,咎瓦尤斯,受难,小boss,,2,1,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300047,咎瓦尤斯,受难,小boss,,2,2,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300048,咎瓦尤斯,受难,小boss,,2,3,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300049,咎瓦尤斯,受难,小boss,,2,4,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300050,咎瓦尤斯,受难,小boss,,2,5,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300051,咎瓦尤斯,受难,小boss,,2,6,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300052,咎瓦尤斯,受难,小boss,,2,7,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300053,咎瓦尤斯,受难,小boss,,2,1,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300054,咎瓦尤斯,受难,小boss,,2,2,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300055,咎瓦尤斯,受难,小boss,,2,3,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300056,咎瓦尤斯,受难,小boss,,2,4,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300057,咎瓦尤斯,受难,小boss,,2,5,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300058,咎瓦尤斯,受难,小boss,,2,6,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300059,咎瓦尤斯,受难,小boss,,2,7,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300060,咎瓦尤斯,受难,小boss,,2,1,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300061,咎瓦尤斯,受难,小boss,,2,2,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300062,咎瓦尤斯,受难,小boss,,2,3,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300063,咎瓦尤斯,受难,小boss,,2,4,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300064,咎瓦尤斯,受难,小boss,,2,5,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300065,咎瓦尤斯,受难,小boss,,2,6,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300066,咎瓦尤斯,受难,小boss,,2,7,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300067,咎瓦尤斯,受难,小boss,,2,1,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300068,咎瓦尤斯,受难,小boss,,2,2,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300069,咎瓦尤斯,受难,小boss,,2,3,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300070,咎瓦尤斯,受难,小boss,,2,4,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300071,咎瓦尤斯,受难,小boss,,2,5,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300072,咎瓦尤斯,受难,小boss,,2,6,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300073,咎瓦尤斯,受难,小boss,,2,7,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300074,咎瓦尤斯,受难,小boss,,2,1,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300075,咎瓦尤斯,受难,小boss,,2,2,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300076,咎瓦尤斯,受难,小boss,,2,3,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300077,咎瓦尤斯,受难,小boss,,2,4,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300078,咎瓦尤斯,受难,小boss,,2,5,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300079,咎瓦尤斯,受难,小boss,,2,6,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300080,咎瓦尤斯,受难,小boss,,2,7,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
30300081,咎瓦尤斯,受难,小boss,,2,7,1,,,"3013001,3014021,3014023",8000,,,,FightCamera_3030002,3030003,head_3030003,head_3030003_2
3030005,年兽,受难,小boss,,2,6,1,,,"3013007,3016017,3016013",8000,,,,FightCamera_3030005,3030005,head_3030005,head_3030005_2
3060001,黑桃,传道,小boss,,2,3,1,,,"3014009,3014021,3014023",10000,,,,FightCamera_3060001,3060001,head_3060001,head_3060001_2
30600011,黑桃,君王,小boss,,2,2,1,,,"3014009,3014021,3014023",10000,,,,FightCamera_3060001,3060001,head_3060001,head_3060001_2
30600012,黑桃,传道,小boss,,2,3,1,,,"3014009,3014021,3014023",10000,,,,FightCamera_3060001,306000101,head_3060001,head_3060001_2
3040001,咒行鵺,仆从,精英,,1,4,1,,,"3013020,3014021,3015006",10000,234,300,670,,3040001,head_3040001,head_3040001_2
3040002,夺心魔,人子,精英,,1,7,1,,,"3014003,3014005,3015004",10000,234,300,670,,3040002,head_3040002,head_3040002_2
3040003,深渊刺,受难,精英,,1,6,1,,,"3014016,3014005,3016013",10000,234,300,670,,3040003,head_3040003,head_3040003_2
3040004,炽炎翼,神子,精英,,1,5,1,,,"3016031,3015002,3016013",10000,234,300,670,,3040004,head_3040004,head_3040004_2
3040005,宁芙妖,诞生,精英,,1,1,1,,,"3014005,3016031,3014023",10000,234,300,670,,3040005,head_3040005,head_3040005_2
3040006,噬命刃,君王,精英,,1,2,1,,,"3014012,3013006,3016031",10000,234,300,670,,3040006,head_3040006,head_3040006_2
3040007,影巫女,传道,精英,,1,3,1,,,"3014016,3013015,3015004",10000,234,300,670,,3040007,head_3040007,head_3040007_2
3040016,妄兽,君王,精英,,1,2,,,,"3015004,3014005,3013025",10000,,,,,3040016,head_3040016,head_3040016_2
30400161,祸兽,君王,精英,,1,2,,,,"3015004,3014005,3013025",10000,,,,,30400161,head_30400161,head_30400161_2
3040017,婴狐,传道,精英,,1,3,,,,"3016031,3014020,3013022",10000,,,,,3040017,head_3040017,head_3040017_2
30400171,狐魑,传道,精英,,1,3,,,,"3016031,3014020,3013022",10000,,,,,30400171,head_30400171,head_30400171_2
3050001,蝇斥候,仆从,小怪,,0,4,,,,"3014016,3013006,3014001",10000,100,100,150,,3050001,head_3050001,head_3050001_2
30500011,播疫妖蝇,仆从,小怪,,0,4,,,,"3014016,3013006,3014001",10000,100,100,150,,30500011,head_30500011,head_30500011_2
30500012,凋败妖蝇,仆从,小怪,,0,4,,,,"3014016,3013006,3014001",10000,100,100,150,,30500012,head_30500012,head_30500012_2
30500013,蝇斥候SP,仆从,boss,,3,4,,,,"3014016,3013006,3014001",10000,100,100,150,,3050001,head_3050001,head_3050001_2
3050002,铁骑士,人子,小怪,,0,7,,,,"3013009,3013004,3014025",10000,100,100,150,,3050002,head_3050002,head_3050002_2
30500021,白银骑士,人子,小怪,,0,7,,,,"3013009,3013004,3014025",10000,100,100,150,,30500021,head_30500021,head_30500021_2
30500022,黄金骑士,人子,小怪,,0,7,,,,"3013009,3013004,3014025",10000,100,100,150,,30500022,head_30500022,head_30500022_2
30500023,铁骑士4,人子,小怪,,0,7,,,,"3013009,3013004,3014025",10000,100,100,150,,30500022,head_30500022,head_30500022_2
3050003,刃行者,受难,小怪,,0,6,,,,"3013023,3014019,3016013",10000,100,100,150,,3050003,head_3050003,head_3050003_2
30500031,刃行怪,受难,小怪,,0,6,,,,"3013023,3014019,3016013",10000,100,100,150,,30500031,head_30500031,head_30500031_2
30500032,刃行魔,受难,小怪,,0,6,,,,"3013023,3014019,3016013",10000,100,100,150,,30500032,head_30500032,head_30500032_2
30500033,刃行怪SP,受难,boss,,3,6,,,,"3013023,3014019,3016013",10000,100,100,150,,3050003,head_3050003,head_3050003_2
3050004,梦游羊圣光,神子,小怪,,0,5,,,,"3013004,3013009,3013018",10000,100,100,150,,3050004,head_3050004,head_3050004_2
30500041,梦游羊诅咒,神子,小怪,,0,5,,,,"3013004,3013009,3013018",10000,100,100,150,,30500041,head_30500041,head_30500043_2
30500042,梦游羊祝福,神子,小怪,,0,5,,,,"3013004,3013009,3013018",10000,100,100,150,,30500042,head_30500043,head_30500041_2
30500043,梦游羊自爆,神子,小怪,,0,5,,,,"3013004,3013009,3013018",10000,100,100,150,,30500043,head_30500042,head_30500042_2
3050005,炎射手,诞生,小怪,,0,1,,,,"3014016,3014005,3015004",10000,100,100,150,,3050005,head_3050005,head_3050005_2
30500051,深红射手,诞生,小怪,,0,1,,,,"3014016,3014005,3015004",10000,100,100,150,,30500051,head_30500051,head_30500051_2
30500052,灰烬射手,诞生,小怪,,0,1,,,,"3014016,3014005,3015004",10000,100,100,150,,30500052,head_30500052,head_30500052_2
30500053,炎射手SP,诞生,boss,,3,1,,,,"3014016,3014005,3015004",10000,100,100,150,,3050005,head_3050005,head_3050005_2
3050006,潜伏怪,君王,小怪,,0,2,,,,"3016031,3015002,3016013",10000,100,100,150,,3050006,head_3050006,head_3050006_2
30500061,掠夺怪,君王,小怪,,0,2,,,,"3016031,3015002,3016013",10000,100,100,150,,30500061,head_30500061,head_30500061_2
30500062,吞噬怪,君王,小怪,,0,2,,,,"3016031,3015002,3016013",10000,100,100,150,,30500062,head_30500062,head_30500062_2
3050007,食人花,传道,小怪,,0,3,,,,"3013022,3013015,3015002",10000,100,100,150,,3050007,head_3050007,head_3050007_2
30500071,巨食花,传道,小怪,,0,3,,,,"3013022,3013015,3015002",10000,100,100,150,,30500071,head_30500071,head_30500071_2
30500072,恶诞花妖,传道,小怪,,0,3,,,,"3013022,3013015,3015002",10000,100,100,150,,30500072,head_30500072,head_30500072_2
30500073,食人花SP,传道,boss,,3,3,,,,"3013022,3013015,3015002",10000,100,100,150,,3050007,head_3050007,head_3050007_2
30500074,食人花,传道,小怪,,0,3,,,,"3013022,3013015,3015002",10000,100,100,150,,3050007,head_3050007,head_3050007_2
3050011,厨怪,仆从,小怪,,0,4,,,,"3013009,3016011,3016130",10000,100,100,150,,3050011,head_3050011,head_3050011_2
30500111,厨妖,仆从,小怪,,0,4,,,,"3013009,3016011,3016130",10000,100,100,150,,30500111,head_30500111,head_30500111_2
30500112,厨鬼,仆从,小怪,,0,4,,,,"3013009,3016011,3016130",10000,100,100,150,,30500112,head_30500112,head_30500112_2
3050012,黑面纱之魅,人子,小怪,,0,7,,,,"3013014,3013017,3014001",10000,100,100,150,,3050012,head_3050012,head_3050012_2
30500121,黑面纱之魇,人子,小怪,,0,7,,,,"3013014,3013017,3014001",10000,100,100,150,,30500121,head_30500121,head_30500121_2
30500122,黑面纱之怨,人子,小怪,,0,7,,,,"3013014,3013017,3014001",10000,100,100,150,,30500122,head_30500122,head_30500122_2
3050013,怒魔人,受难,小怪,,0,6,,,,"3013023,3016017,3016013",10000,100,100,150,,3050013,head_3050013,head_3050013_2
30500131,噬怒魔,受难,小怪,,0,6,,,,"3013023,3016017,3016013",10000,100,100,150,,30500131,head_30500131,head_30500131_2
30500132,憎恶异魔,受难,小怪,,0,6,,,,"3013023,3016017,3016013",10000,100,100,150,,30500132,head_30500132,head_30500132_2
3050014,糖豆妖精,神子,小怪,,0,5,,,,"3013017,3014001,3016009",10000,100,100,150,,3050014,head_3050014,head_3050014_2
30500141,诡戏妖精,神子,小怪,,0,5,,,,"3013017,3014001,3016009",10000,100,100,150,,30500141,head_30500141,head_30500141_2
30500142,怪邪妖精,神子,小怪,,0,5,,,,"3013017,3014001,3016009",10000,100,100,150,,30500142,head_30500142,head_30500142_2
3050015,蕈人,诞生,小怪,,0,1,,,,"3016038,3013003,3016009",10000,100,100,150,,3050015,head_3050015,head_3050015_2
30500151,厚垣蕈人,诞生,小怪,,0,1,,,,"3016038,3013003,3016009",10000,100,100,150,,30500151,head_30500151,head_30500151_2
30500152,蕈人酋长,诞生,小怪,,0,1,,,,"3016038,3013003,3016009",10000,100,100,150,,30500152,head_30500152,head_30500152_2
3050016,公主骑士偶,君王,小怪,,0,2,,,,"3013018,3014027,3016031",10000,100,100,150,,3050016,head_3050016,head_3050016_2
30500161,皇家骑士偶,君王,小怪,,0,2,,,,"3013018,3014027,3016031",10000,100,100,150,,30500161,head_30500161,head_30500161_2
30500162,猩红骑士偶,君王,小怪,,0,2,,,,"3013018,3014027,3016031",10000,100,100,150,,30500162,head_30500162,head_30500162_2
3050017,烛贤者,传道,小怪,,0,3,,,,"3014004,3014021,3014001",10000,100,100,150,,3050017,head_3050017,head_3050017_2
30500171,炽贤者,传道,小怪,,0,3,,,,"3014004,3014021,3014001",10000,100,100,150,,30500171,head_30500171,head_30500171_2
30500172,烬贤者,传道,小怪,,0,3,,,,"3014004,3014021,3014001",10000,100,100,150,,30500172,head_30500172,head_30500172_2
3050008,暴食小怪1,仆从,小怪,,0,4,,,,0,10000,100,100,150,,3050008,head_3050008,head_3050008_2
30500081,暴食小怪2,仆从,小怪,,0,4,,,,0,10000,100,100,150,,30500081,head_3050008,head_3050008_2
3050022,欢乐戏法师,人子,小怪,,0,7,,,,"3014025,3014031,3016078",10000,,,,,3050022,head_3050022,head_3050022_2
3050023,鬼修罗,受难,小怪,,0,6,,,,"3014023,3014009,3016009",10000,,,,,3050023,head_3050023,head_3050023_2
3050026,火兵士,君王,小怪,,0,2,,,,"3014023,3016013,3016017",10000,,,,,3050026,head_3050026,head_3050026_2
3050027,暗教士,传道,小怪,,0,3,,,,"3016024,3014001,3014021",10000,,,,,3050027,head_3050027,head_3050027_2
3050036,竹傀儡,君王,小怪,,0,2,,,,"3016031,3014027,3013018",10000,,,,,3050036,head_3050036,head_3050036_2
30500361,竹筒王,君王,小怪,,0,2,,,,"3016031,3014027,3013018",10000,,,,,30500361,head_30500361,head_30500361_2
3050046,鼎生,君王,小怪,,0,2,,,,"3015006,3014005,3014012",10000,,,,,3050046,head_3050046,head_3050046_2
30500461,赤面,君王,小怪,,0,2,,,,"3015006,3014005,3014012",10000,,,,,30500461,head_30500461,head_30500461_2
3050047,命鼠,传道,小怪,,0,3,,,,"3015007,3016009,3014004",10000,,,,,3050047,head_3050047,head_3050047_2
30500471,丹鼠,传道,小怪,,0,3,,,,"3015007,3016009,3014004",10000,,,,,30500471,head_30500471,head_30500471_2
3050037,器傀,传道,小怪,,0,3,,,,"3015004,3014001,3015002",10000,,,,,3050037,head_3050037,head_3050037_2
30500371,瓷傀,传道,小怪,,0,3,,,,"3015004,3014001,3015002",10000,,,,,30500371,head_30500371,head_30500371_2
3050048,云峦狐,传道,小怪,,0,3,,,,"3014003,3014001,3013022",10000,,,,,3050048,head_3050048,head_3050048_2
30500481,云霞狐,传道,小怪,,0,3,,,,"3013004,3014021,3014004",10000,,,,,30500481,head_30500481,head_30500481_2
30500482,云峦狐,传道,小怪,,0,3,,,,"3015007,3015002,3014020",10000,,,,,30500482,head_30500482,head_30500482_2
3050049,艾卡希猎兵,受难,小怪,,0,6,,,,"3013004,3014019,3013007",10000,,,,,3050049,head_3050049,head_3050049_2
30500491,艾卡希佣仆,受难,小怪,,0,6,,,,"3014023,3016013,3016017",10000,,,,,30500491,head_30500491,head_30500491_2
