Id,Type,Order,TypeIcon,Name,ShopIcon,TabName,Tap,BuyUiType,UnlockCondition,Currency,CurrencyDisplay,RandCounts,RandPools,AutoFresh,Ticket,Setting,NameImage,DecorationImage,Pic,UnlockId
414,4,86,ui_sd_yeqian_xia_4,ui_shop_04,1001010_icon,ui_shoptab_414,1,2,0,1001019,1001019,4,"41401,4",3,0,1,ui_sd_dh_zi_1,,bg_t_1,1301
415,4,85,ui_sd_yeqian_xia_4,ui_shop_04,1001028_icon,ui_shoptab_415,1,2,0,1001028,1001028,0,,3,0,1,ui_sd_dh_zi_1,,bg_t_1,430
416,4,84,ui_sd_yeqian_xia_4,ui_shop_05,1001003_icon,ui_shoptab_416,1,2,0,1001003,1001003,0,,1,0,1,ui_sd_dh_zi_1,,bg_t_1,434
1000,0,99,ui_sd_yeqian_xia_1,ui_shop_01,,ui_shop_01,1,5,0,0,0,0,,0,0,2,ui_sd_tj_zi_1,ui_t_sd_hengtiao_shang_di_4,bg_t_1,404
1001,1001,99,,ui_shop_1001,,ui_shop_ui_shop_1001,0,0,0,1000002,"1000001,1000002",0,,0,0,0,,,bg_t_1,
1002,1002,99,,ui_shop_1002,,ui_shop_ui_shop_1002,0,0,0,1000001,"1000001,1000002",0,,0,0,0,,,bg_t_1,
1003,2,99,,ui_shop_2,,ui_shop_ui_shop_2,0,1,0,0,0,0,,0,0,2,,,bg_t_1,
701,7,99,ui_sd_yeqian_xia_2,ui_shop_07,,ui_shoptab_701,0,1,0,0,"1000001,1000002",0,,0,0,1,ui_sd_fl_zi_1,,bg_t_1,428
702,7,99,ui_sd_yeqian_xia_2,ui_shop_07,,ui_shoptab_702,0,1,0,0,"1000001,1000002",0,,0,0,1,ui_sd_fl_zi_1,,bg_t_1,429
60103,6,99,,,,,0,2,0,1001026,1001026,0,,0,0,0,,,,
60403,6,99,,,,,0,2,0,1001041,1001041,0,,0,0,0,,,,
60303,6,99,,,,,0,2,0,1001040,1001040,0,,0,0,0,,,,
60503,6,99,,,,,0,2,0,1001042,1001042,0,,0,0,0,,,,
62003,6,99,,,,,0,2,0,1001068,1001068,0,,0,0,0,,,,
