ID,Path,,Text,Params,TextPivot,BackGround,MainRes,MainResPivot,TitleBg,TitleBgPivot,HelpText
24,UI/Prefab/Activity/ActivitySummary/SwitchActivity,深渊之域,activityui_text_24,6B47C7,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_syzy,,,,
25,UI/Prefab/Activity/ActivitySummary/SwitchActivity,黯影地牢,activityui_text_25,34728A,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_aydl,,,,
26,UI/Prefab/Activity/ActivitySummary/SwitchActivity,怪物列阵,activityui_text_26,1560AC,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_gwzl,,,,
27,UI/Prefab/Activity/ActivitySummary/SkinSwitchAct,美梦之前,,"-462,-449;242,-341;756,-234",,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_mmzq,,,,
28,UI/Prefab/Activity/ActivitySummary/ComTaskActPanel,大波斯菊觉醒活动,activityui_text_28_1,,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_task_sszx,,,,
29,UI/Prefab/Activity/ActivitySummary/ComTaskActPanel,昔莱觉醒活动,activityui_text_29_1,,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_task_cgzy,,,,
1001,UI/Prefab/Activity/ActivitySummary/CRSignin,CR用户签到活动,activityui_text_cr_1,,,,,,,,
1002,UI/Prefab/Activity/ActivitySummary/CRPermit,CR用户通行证,activityui_text_cr_2,,,,UI/Prefab/Activity/SevenDaySubPannel/CRPermitBg,,,,
1003,UI/Prefab/Activity/ActivitySummary/CRMegaFan,CR超级用户每日登录,activityui_text_cr_3,,,,,,,,
30,UI/Prefab/Activity/ActivitySummary/SwitchActivity,集换卡,activityui_text_30,1560AC,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_jhksc,,,,
32,UI/Prefab/Activity/GashaponMechinePanel,扭蛋,activityui_text_32,,,,,,,,
33,UI/Prefab/Activity/ActivitySummary/RotaryTable,转盘,activityui_text_33,,,,,,,,
34,UI/Prefab/Activity/ActivitySummary/ActivityGroupTask_zbsy,再布神谕,"activityui_text_9_1,activityui_text_9_2",,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_group_zbsy,,,,activityui_text_8
35,UI/Prefab/Activity/ActivitySummary/ComTaskActPanel,奈奥米觉醒活动,activityui_text_35,,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_task_zgn,,,,
38,UI/Prefab/Activity/ActivitySummary/SwitchActivity,集换卡,activityui_text_38,1560AC,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_jhksc,,,,
39,UI/Prefab/Activity/ReturnActivity/RE_cysc,回归七日签到,activityui_text_39,,,ui_hdyg_wa_di_1_1,,,,,
40,UI/Prefab/Activity/ReturnActivity/RE_gxpz,回归成长基金,activityui_text_40,,,,,,,,
41,UI/Prefab/Activity/ReturnActivity/RE_ztyj,回归商店,activityui_text_41,,,,,,,,
42,UI/Prefab/Activity/ActivitySummary/ComTaskActPanel,诺维雅觉醒活动,,,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_task_nwy,,,,
44,UI/Prefab/Activity/ActivitySummary/ComTaskActPanel,爱尔维拉觉醒活动,,,,,UI/Prefab/Activity/ActivitySummary/BgPrefab/Con_task_aewl,,,,
46,UI/Prefab/Activity/ActivitySummary/HundredDrawGift,十日签到-100抽,activityui_text_46,,,,,,,,
47,UI/Prefab/Activity/ActivitySummary/ReunionGift,35级拿小闪皮肤,activityui_text_47,,,,,,,,
48,UI/Prefab/Activity/ActivitySummary/ComActTaskPanel,初入异世,,240B43,,,UI/Prefab/Activity/ActivitySummary/ActTaskPrefab/Con_task_crys,,,,
49,UI/Prefab/Activity/ActivitySummary/ComActTaskPanel,夜雾领航,,000000,,,UI/Prefab/Activity/ActivitySummary/ActTaskPrefab/Con_task_ywlh,,,,
