Id,,Level,Exp,FavorUp,ItemReward,AttrRefix,,Des,FaverUnlock
3000005,米娅,0,100,"1,60",0,,,FavorReward_3000005_0,
3000005,米娅,1,200,"1,60","1000002,10",,,,
3000005,米娅,2,400,"1,60","1000002,10",,,FavorReward_3000005_2,
3000005,米娅,3,800,"1,70","1000002,10",,,FavorReward_3000005_3,
3000005,米娅,4,1600,"1,70","1000002,10",,,FavorReward_3000005_4,
3000005,米娅,5,3200,"1,70","1000002,10",,,FavorReward_3000005_5,
3000005,米娅,6,4800,"1,70","1000002,10",,,FavorReward_3000005_6,
3000005,米娅,7,,"1,70","1000002,10",,,FavorReward_3000005_7,
3000006,玛莎,0,100,"1,60",0,,,FavorReward_3000006_0,
3000006,玛莎,1,200,"1,60","1000002,10",,,,
3000006,玛莎,2,400,"1,60","1000002,10",,,FavorReward_3000006_2,
3000006,玛莎,3,800,"1,70","1000002,10",,,FavorReward_3000006_3,
3000006,玛莎,4,1600,"1,70","1000002,10",,,FavorReward_3000006_4,
3000006,玛莎,5,3200,"1,70","1000002,10",,,FavorReward_3000006_5,
3000006,玛莎,6,4800,"1,70","1000002,10",,,FavorReward_3000006_6,
3000006,玛莎,7,,"1,70","1000002,10",,,FavorReward_3000006_7,
3013001,格蕾,0,100,,0,,,FavorReward_3013001_0,
3013001,格蕾,1,200,,"1000002,10","10000001,1",,FavorReward_3013001_1,"1,1"
3013001,格蕾,2,400,,"1000002,10","10000002,1",,FavorReward_3013001_2,"2,1"
3013001,格蕾,3,800,,"1000002,10","10000003,1",,FavorReward_3013001_3,3
3013001,格蕾,4,1600,,"1000002,10","10000004,1",,FavorReward_3013001_4,"2,2"
3013001,格蕾,5,3200,,"1000002,10","10000005,1",,FavorReward_3013001_5,"1,2"
3013001,格蕾,6,4800,,"1000002,10","10000006,1",,FavorReward_3013001_6,
3013001,格蕾,7,6400,,"1000002,10","10000007,1",,FavorReward_3013001_7,"2,3"
3013001,格蕾,8,8000,,"1000002,10","10000008,1",,FavorReward_3013001_8,"1,3"
3013001,格蕾,9,9600,,"1000002,10","10000009,1",,FavorReward_3013001_9,"2,4"
3013001,格蕾,10,0,,"1000002,10","10000010,1",,FavorReward_3013001_10,4
3013003,阿涅克斯,0,100,,0,,,FavorReward_3013003_0,
3013003,阿涅克斯,1,200,,"1000002,10","10000191,1",,FavorReward_3013003_1,"1,1"
3013003,阿涅克斯,2,400,,"1000002,10","10000192,1",,FavorReward_3013003_2,"2,1"
3013003,阿涅克斯,3,800,,"1000002,10","10000193,1",,FavorReward_3013003_3,3
3013003,阿涅克斯,4,1600,,"1000002,10","10000194,1",,FavorReward_3013003_4,"2,2"
3013003,阿涅克斯,5,3200,,"1000002,10","10000195,1",,FavorReward_3013003_5,"1,2"
3013003,阿涅克斯,6,4800,,"1000002,10","10000196,1",,FavorReward_3013003_6,
3013003,阿涅克斯,7,6400,,"1000002,10","10000197,1",,FavorReward_3013003_7,"2,3"
3013003,阿涅克斯,8,8000,,"1000002,10","10000198,1",,FavorReward_3013003_8,"1,3"
3013003,阿涅克斯,9,9600,,"1000002,10","10000199,1",,FavorReward_3013003_9,"2,4"
3013003,阿涅克斯,10,0,,"1000002,10","10000200,1",,FavorReward_3013003_10,4
3013004,炽爱,0,100,,0,,,FavorReward_3013004_0,
3013004,炽爱,1,200,,"1000002,10","10000201,1",,FavorReward_3013004_1,"1,1"
3013004,炽爱,2,400,,"1000002,10","10000202,1",,FavorReward_3013004_2,"2,1"
3013004,炽爱,3,800,,"1000002,10","10000203,1",,FavorReward_3013004_3,3
3013004,炽爱,4,1600,,"1000002,10","10000204,1",,FavorReward_3013004_4,"2,2"
3013004,炽爱,5,3200,,"1000002,10","10000205,1",,FavorReward_3013004_5,"1,2"
3013004,炽爱,6,4800,,"1000002,10","10000206,1",,FavorReward_3013004_6,
3013004,炽爱,7,6400,,"1000002,10","10000207,1",,FavorReward_3013004_7,"2,3"
3013004,炽爱,8,8000,,"1000002,10","10000208,1",,FavorReward_3013004_8,"1,3"
3013004,炽爱,9,9600,,"1000002,10","10000209,1",,FavorReward_3013004_9,"2,4"
3013004,炽爱,10,0,,"1000002,10","10000210,1",,FavorReward_3013004_10,4
3013006,水仙,0,100,,0,,,FavorReward_3013006_0,
3013006,水仙,1,200,,"1000002,10","10000211,1",,FavorReward_3013006_1,"1,1"
3013006,水仙,2,400,,"1000002,10","10000212,1",,FavorReward_3013006_2,"2,1"
3013006,水仙,3,800,,"1000002,10","10000213,1",,FavorReward_3013006_3,3
3013006,水仙,4,1600,,"1000002,10","10000214,1",,FavorReward_3013006_4,"2,2"
3013006,水仙,5,3200,,"1000002,10","10000215,1",,FavorReward_3013006_5,"1,2"
3013006,水仙,6,4800,,"1000002,10","10000216,1",,FavorReward_3013006_6,
3013006,水仙,7,6400,,"1000002,10","10000217,1",,FavorReward_3013006_7,"2,3"
3013006,水仙,8,8000,,"1000002,10","10000218,1",,FavorReward_3013006_8,"1,3"
3013006,水仙,9,9600,,"1000002,10","10000219,1",,FavorReward_3013006_9,"2,4"
3013006,水仙,10,0,,"1000002,10","10000220,1",,FavorReward_3013006_10,4
3013007,菲莉希亚,0,100,,0,,,FavorReward_3013007_0,
3013007,菲莉希亚,1,200,,"1000002,10","10000011,1",,FavorReward_3013007_1,"1,1"
3013007,菲莉希亚,2,400,,"1000002,10","10000012,1",,FavorReward_3013007_2,"2,1"
3013007,菲莉希亚,3,800,,"1000002,10","10000013,1",,FavorReward_3013007_3,3
3013007,菲莉希亚,4,1600,,"1000002,10","10000014,1",,FavorReward_3013007_4,"2,2"
3013007,菲莉希亚,5,3200,,"1000002,10","10000015,1",,FavorReward_3013007_5,"1,2"
3013007,菲莉希亚,6,4800,,"1000002,10","10000016,1",,FavorReward_3013007_6,
3013007,菲莉希亚,7,6400,,"1000002,10","10000017,1",,FavorReward_3013007_7,"2,3"
3013007,菲莉希亚,8,8000,,"1000002,10","10000018,1",,FavorReward_3013007_8,"1,3"
3013007,菲莉希亚,9,9600,,"1000002,10","10000019,1",,FavorReward_3013007_9,"2,4"
3013007,菲莉希亚,10,0,,"1000002,10","10000020,1",,FavorReward_3013007_10,4
3013008,梅露特,0,100,,0,,,FavorReward_3013008_0,
3013008,梅露特,1,200,,"1000002,10","10000021,1",,FavorReward_3013008_1,"1,1"
3013008,梅露特,2,400,,"1000002,10","10000022,1",,FavorReward_3013008_2,"2,1"
3013008,梅露特,3,800,,"1000002,10","10000023,1",,FavorReward_3013008_3,3
3013008,梅露特,4,1600,,"1000002,10","10000024,1",,FavorReward_3013008_4,"2,2"
3013008,梅露特,5,3200,,"1000002,10","10000025,1",,FavorReward_3013008_5,"1,2"
3013008,梅露特,6,4800,,"1000002,10","10000026,1",,FavorReward_3013008_6,
3013008,梅露特,7,6400,,"1000002,10","10000027,1",,FavorReward_3013008_7,"2,3"
3013008,梅露特,8,8000,,"1000002,10","10000028,1",,FavorReward_3013008_8,"1,3"
3013008,梅露特,9,9600,,"1000002,10","10000029,1",,FavorReward_3013008_9,"2,4"
3013008,梅露特,10,0,,"1000002,10","10000030,1",,FavorReward_3013008_10,4
3013009,奈奈芙,0,100,,0,,,FavorReward_3013009_0,
3013009,奈奈芙,1,200,,"1000002,10","10000031,1",,FavorReward_3013009_1,"1,1"
3013009,奈奈芙,2,400,,"1000002,10","10000032,1",,FavorReward_3013009_2,"2,1"
3013009,奈奈芙,3,800,,"1000002,10","10000033,1",,FavorReward_3013009_3,3
3013009,奈奈芙,4,1600,,"1000002,10","10000034,1",,FavorReward_3013009_4,"2,2"
3013009,奈奈芙,5,3200,,"1000002,10","10000035,1",,FavorReward_3013009_5,"1,2"
3013009,奈奈芙,6,4800,,"1000002,10","10000036,1",,FavorReward_3013009_6,
3013009,奈奈芙,7,6400,,"1000002,10","10000037,1",,FavorReward_3013009_7,"2,3"
3013009,奈奈芙,8,8000,,"1000002,10","10000038,1",,FavorReward_3013009_8,"1,3"
3013009,奈奈芙,9,9600,,"1000002,10","10000039,1",,FavorReward_3013009_9,"2,4"
3013009,奈奈芙,10,0,,"1000002,10","10000040,1",,FavorReward_3013009_10,4
3013013,菲尔盖娜,0,100,,0,,,FavorReward_3013013_0,
3013013,菲尔盖娜,1,200,,"1000002,10","10000641,1",,FavorReward_3013013_1,"1,1"
3013013,菲尔盖娜,2,400,,"1000002,10","10000642,1",,FavorReward_3013013_2,"2,1"
3013013,菲尔盖娜,3,800,,"1000002,10","10000643,1",,FavorReward_3013013_3,3
3013013,菲尔盖娜,4,1600,,"1000002,10","10000644,1",,FavorReward_3013013_4,"2,2"
3013013,菲尔盖娜,5,3200,,"1000002,10","10000645,1",,FavorReward_3013013_5,"1,2"
3013013,菲尔盖娜,6,4800,,"1000002,10","10000646,1",,FavorReward_3013013_6,
3013013,菲尔盖娜,7,6400,,"1000002,10","10000647,1",,FavorReward_3013013_7,"2,3"
3013013,菲尔盖娜,8,8000,,"1000002,10","10000648,1",,FavorReward_3013013_8,"1,3"
3013013,菲尔盖娜,9,9600,,"1000002,10","10000649,1",,FavorReward_3013013_9,"2,4"
3013013,菲尔盖娜,10,0,,"1000002,10","10000650,1",,FavorReward_3013013_10,4
3013014,玛瑙,0,100,,0,,,FavorReward_3013014_0,
3013014,玛瑙,1,200,,"1000002,10","10000041,1",,FavorReward_3013014_1,"1,1"
3013014,玛瑙,2,400,,"1000002,10","10000042,1",,FavorReward_3013014_2,"2,1"
3013014,玛瑙,3,800,,"1000002,10","10000043,1",,FavorReward_3013014_3,3
3013014,玛瑙,4,1600,,"1000002,10","10000044,1",,FavorReward_3013014_4,"2,2"
3013014,玛瑙,5,3200,,"1000002,10","10000045,1",,FavorReward_3013014_5,"1,2"
3013014,玛瑙,6,4800,,"1000002,10","10000046,1",,FavorReward_3013014_6,
3013014,玛瑙,7,6400,,"1000002,10","10000047,1",,FavorReward_3013014_7,"2,3"
3013014,玛瑙,8,8000,,"1000002,10","10000048,1",,FavorReward_3013014_8,"1,3"
3013014,玛瑙,9,9600,,"1000002,10","10000049,1",,FavorReward_3013014_9,"2,4"
3013014,玛瑙,10,0,,"1000002,10","10000050,1",,FavorReward_3013014_10,4
3013015,哀歌,0,100,,0,,,FavorReward_3013015_0,
3013015,哀歌,1,200,,"1000002,10","10000221,1",,FavorReward_3013015_1,"1,1"
3013015,哀歌,2,400,,"1000002,10","10000222,1",,FavorReward_3013015_2,"2,1"
3013015,哀歌,3,800,,"1000002,10","10000223,1",,FavorReward_3013015_3,3
3013015,哀歌,4,1600,,"1000002,10","10000224,1",,FavorReward_3013015_4,"2,2"
3013015,哀歌,5,3200,,"1000002,10","10000225,1",,FavorReward_3013015_5,"1,2"
3013015,哀歌,6,4800,,"1000002,10","10000226,1",,FavorReward_3013015_6,
3013015,哀歌,7,6400,,"1000002,10","10000227,1",,FavorReward_3013015_7,"2,3"
3013015,哀歌,8,8000,,"1000002,10","10000228,1",,FavorReward_3013015_8,"1,3"
3013015,哀歌,9,9600,,"1000002,10","10000229,1",,FavorReward_3013015_9,"2,4"
3013015,哀歌,10,0,,"1000002,10","10000230,1",,FavorReward_3013015_10,4
3013017,波斯菊,0,100,,0,,,FavorReward_3013017_0,
3013017,波斯菊,1,200,,"1000002,10","10000051,1",,FavorReward_3013017_1,"1,1"
3013017,波斯菊,2,400,,"1000002,10","10000052,1",,FavorReward_3013017_2,"2,1"
3013017,波斯菊,3,800,,"1000002,10","10000053,1",,FavorReward_3013017_3,3
3013017,波斯菊,4,1600,,"1000002,10","10000054,1",,FavorReward_3013017_4,"2,2"
3013017,波斯菊,5,3200,,"1000002,10","10000055,1",,FavorReward_3013017_5,"1,2"
3013017,波斯菊,6,4800,,"1000002,10","10000056,1",,FavorReward_3013017_6,
3013017,波斯菊,7,6400,,"1000002,10","10000057,1",,FavorReward_3013017_7,"2,3"
3013017,波斯菊,8,8000,,"1000002,10","10000058,1",,FavorReward_3013017_8,"1,3"
3013017,波斯菊,9,9600,,"1000002,10","10000059,1",,FavorReward_3013017_9,"2,4"
3013017,波斯菊,10,0,,"1000002,10","10000060,1",,FavorReward_3013017_10,4
3013018,爱琳,0,100,,0,,,FavorReward_3013018_0,
3013018,爱琳,1,200,,"1000002,10","10000061,1",,FavorReward_3013018_1,"1,1"
3013018,爱琳,2,400,,"1000002,10","10000062,1",,FavorReward_3013018_2,"2,1"
3013018,爱琳,3,800,,"1000002,10","10000063,1",,FavorReward_3013018_3,3
3013018,爱琳,4,1600,,"1000002,10","10000064,1",,FavorReward_3013018_4,"2,2"
3013018,爱琳,5,3200,,"1000002,10","10000065,1",,FavorReward_3013018_5,"1,2"
3013018,爱琳,6,4800,,"1000002,10","10000066,1",,FavorReward_3013018_6,
3013018,爱琳,7,6400,,"1000002,10","10000067,1",,FavorReward_3013018_7,"2,3"
3013018,爱琳,8,8000,,"1000002,10","10000068,1",,FavorReward_3013018_8,"1,3"
3013018,爱琳,9,9600,,"1000002,10","10000069,1",,FavorReward_3013018_9,"2,4"
3013018,爱琳,10,0,,"1000002,10","10000070,1",,FavorReward_3013018_10,4
3013019,库萝心,0,100,,0,,,FavorReward_3013019_0,
3013019,库萝心,1,200,,"1000002,10","10000231,1",,FavorReward_3013019_1,"1,1"
3013019,库萝心,2,400,,"1000002,10","10000232,1",,FavorReward_3013019_2,"2,1"
3013019,库萝心,3,800,,"1000002,10","10000233,1",,FavorReward_3013019_3,3
3013019,库萝心,4,1600,,"1000002,10","10000234,1",,FavorReward_3013019_4,"2,2"
3013019,库萝心,5,3200,,"1000002,10","10000235,1",,FavorReward_3013019_5,"1,2"
3013019,库萝心,6,4800,,"1000002,10","10000236,1",,FavorReward_3013019_6,
3013019,库萝心,7,6400,,"1000002,10","10000237,1",,FavorReward_3013019_7,"2,3"
3013019,库萝心,8,8000,,"1000002,10","10000238,1",,FavorReward_3013019_8,"1,3"
3013019,库萝心,9,9600,,"1000002,10","10000239,1",,FavorReward_3013019_9,"2,4"
3013019,库萝心,10,0,,"1000002,10","10000240,1",,FavorReward_3013019_10,4
3013020,维达,0,100,,0,,,FavorReward_3013020_0,
3013020,维达,1,200,,"1000002,10","10000071,1",,FavorReward_3013020_1,"1,1"
3013020,维达,2,400,,"1000002,10","10000072,1",,FavorReward_3013020_2,"2,1"
3013020,维达,3,800,,"1000002,10","10000073,1",,FavorReward_3013020_3,3
3013020,维达,4,1600,,"1000002,10","10000074,1",,FavorReward_3013020_4,"2,2"
3013020,维达,5,3200,,"1000002,10","10000075,1",,FavorReward_3013020_5,"1,2"
3013020,维达,6,4800,,"1000002,10","10000076,1",,FavorReward_3013020_6,
3013020,维达,7,6400,,"1000002,10","10000077,1",,FavorReward_3013020_7,"2,3"
3013020,维达,8,8000,,"1000002,10","10000078,1",,FavorReward_3013020_8,"1,3"
3013020,维达,9,9600,,"1000002,10","10000079,1",,FavorReward_3013020_9,"2,4"
3013020,维达,10,0,,"1000002,10","10000080,1",,FavorReward_3013020_10,4
3013022,莱拉,0,100,,0,,,FavorReward_3013022_0,
3013022,莱拉,1,200,,"1000002,10","10000081,1",,FavorReward_3013022_1,"1,1"
3013022,莱拉,2,400,,"1000002,10","10000082,1",,FavorReward_3013022_2,"2,1"
3013022,莱拉,3,800,,"1000002,10","10000083,1",,FavorReward_3013022_3,3
3013022,莱拉,4,1600,,"1000002,10","10000084,1",,FavorReward_3013022_4,"2,2"
3013022,莱拉,5,3200,,"1000002,10","10000085,1",,FavorReward_3013022_5,"1,2"
3013022,莱拉,6,4800,,"1000002,10","10000086,1",,FavorReward_3013022_6,
3013022,莱拉,7,6400,,"1000002,10","10000087,1",,FavorReward_3013022_7,"2,3"
3013022,莱拉,8,8000,,"1000002,10","10000088,1",,FavorReward_3013022_8,"1,3"
3013022,莱拉,9,9600,,"1000002,10","10000089,1",,FavorReward_3013022_9,"2,4"
3013022,莱拉,10,0,,"1000002,10","10000090,1",,FavorReward_3013022_10,4
3013023,芙洛拉,0,100,,0,,,FavorReward_3013023_0,
3013023,芙洛拉,1,200,,"1000002,10","10000091,1",,FavorReward_3013023_1,"1,1"
3013023,芙洛拉,2,400,,"1000002,10","10000092,1",,FavorReward_3013023_2,"2,1"
3013023,芙洛拉,3,800,,"1000002,10","10000093,1",,FavorReward_3013023_3,3
3013023,芙洛拉,4,1600,,"1000002,10","10000094,1",,FavorReward_3013023_4,"2,2"
3013023,芙洛拉,5,3200,,"1000002,10","10000095,1",,FavorReward_3013023_5,"1,2"
3013023,芙洛拉,6,4800,,"1000002,10","10000096,1",,FavorReward_3013023_6,
3013023,芙洛拉,7,6400,,"1000002,10","10000097,1",,FavorReward_3013023_7,"2,3"
3013023,芙洛拉,8,8000,,"1000002,10","10000098,1",,FavorReward_3013023_8,"1,3"
3013023,芙洛拉,9,9600,,"1000002,10","10000099,1",,FavorReward_3013023_9,"2,4"
3013023,芙洛拉,10,0,,"1000002,10","10000100,1",,FavorReward_3013023_10,4
3013025,多萝西,0,100,,0,,,FavorReward_3013025_0,
3013025,多萝西,1,200,,"1000002,10","10000111,1",,FavorReward_3013025_1,"1,1"
3013025,多萝西,2,400,,"1000002,10","10000112,1",,FavorReward_3013025_2,"2,1"
3013025,多萝西,3,800,,"1000002,10","10000113,1",,FavorReward_3013025_3,3
3013025,多萝西,4,1600,,"1000002,10","10000114,1",,FavorReward_3013025_4,"2,2"
3013025,多萝西,5,3200,,"1000002,10","10000115,1",,FavorReward_3013025_5,"1,2"
3013025,多萝西,6,4800,,"1000002,10","10000116,1",,FavorReward_3013025_6,
3013025,多萝西,7,6400,,"1000002,10","10000117,1",,FavorReward_3013025_7,"2,3"
3013025,多萝西,8,8000,,"1000002,10","10000118,1",,FavorReward_3013025_8,"1,3"
3013025,多萝西,9,9600,,"1000002,10","10000119,1",,FavorReward_3013025_9,"2,4"
3013025,多萝西,10,0,,"1000002,10","10000120,1",,FavorReward_3013025_10,4
3014001,普琳普顿,0,100,,0,,,FavorReward_3014001_0,
3014001,普琳普顿,1,200,,"1000002,10","10000241,1",,FavorReward_3014001_1,"1,1"
3014001,普琳普顿,2,400,,"1000002,10","10000242,1",,FavorReward_3014001_2,"2,1"
3014001,普琳普顿,3,800,,"1000002,10","10000243,1",,FavorReward_3014001_3,3
3014001,普琳普顿,4,1600,,"1000002,10","10000244,1",,FavorReward_3014001_4,"2,2"
3014001,普琳普顿,5,3200,,"1000002,10","10000245,1",,FavorReward_3014001_5,"1,2"
3014001,普琳普顿,6,4800,,"1000002,10","10000246,1",,FavorReward_3014001_6,
3014001,普琳普顿,7,6400,,"1000002,10","10000247,1",,FavorReward_3014001_7,"2,3"
3014001,普琳普顿,8,8000,,"1000002,10","10000248,1",,FavorReward_3014001_8,"1,3"
3014001,普琳普顿,9,9600,,"1000002,10","10000249,1",,FavorReward_3014001_9,"2,4"
3014001,普琳普顿,10,0,,"1000002,10","10000250,1",,FavorReward_3014001_10,4
3014002,黛比,0,100,,0,,,FavorReward_3014002_0,
3014002,黛比,1,200,,"1000002,10","10000601,1",,FavorReward_3014002_1,"1,1"
3014002,黛比,2,400,,"1000002,10","10000602,1",,FavorReward_3014002_2,"2,1"
3014002,黛比,3,800,,"1000002,10","10000603,1",,FavorReward_3014002_3,3
3014002,黛比,4,1600,,"1000002,10","10000604,1",,FavorReward_3014002_4,"2,2"
3014002,黛比,5,3200,,"1000002,10","10000605,1",,FavorReward_3014002_5,"1,2"
3014002,黛比,6,4800,,"1000002,10","10000606,1",,FavorReward_3014002_6,
3014002,黛比,7,6400,,"1000002,10","10000607,1",,FavorReward_3014002_7,"2,3"
3014002,黛比,8,8000,,"1000002,10","10000608,1",,FavorReward_3014002_8,"1,3"
3014002,黛比,9,9600,,"1000002,10","10000609,1",,FavorReward_3014002_9,"2,4"
3014002,黛比,10,0,,"1000002,10","10000610,1",,FavorReward_3014002_10,4
3014003,焰心,0,100,,0,,,FavorReward_3014003_0,
3014003,焰心,1,200,,"1000002,10","10000121,1",,FavorReward_3014003_1,"1,1"
3014003,焰心,2,400,,"1000002,10","10000122,1",,FavorReward_3014003_2,"2,1"
3014003,焰心,3,800,,"1000002,10","10000123,1",,FavorReward_3014003_3,3
3014003,焰心,4,1600,,"1000002,10","10000124,1",,FavorReward_3014003_4,"2,2"
3014003,焰心,5,3200,,"1000002,10","10000125,1",,FavorReward_3014003_5,"1,2"
3014003,焰心,6,4800,,"1000002,10","10000126,1",,FavorReward_3014003_6,
3014003,焰心,7,6400,,"1000002,10","10000127,1",,FavorReward_3014003_7,"2,3"
3014003,焰心,8,8000,,"1000002,10","10000128,1",,FavorReward_3014003_8,"1,3"
3014003,焰心,9,9600,,"1000002,10","10000129,1",,FavorReward_3014003_9,"2,4"
3014003,焰心,10,0,,"1000002,10","10000130,1",,FavorReward_3014003_10,4
3014004,索菲,0,100,,0,,,FavorReward_3014004_0,
3014004,索菲,1,200,,"1000002,10","10000131,1",,FavorReward_3014004_1,"1,1"
3014004,索菲,2,400,,"1000002,10","10000132,1",,FavorReward_3014004_2,"2,1"
3014004,索菲,3,800,,"1000002,10","10000133,1",,FavorReward_3014004_3,3
3014004,索菲,4,1600,,"1000002,10","10000134,1",,FavorReward_3014004_4,"2,2"
3014004,索菲,5,3200,,"1000002,10","10000135,1",,FavorReward_3014004_5,"1,2"
3014004,索菲,6,4800,,"1000002,10","10000136,1",,FavorReward_3014004_6,
3014004,索菲,7,6400,,"1000002,10","10000137,1",,FavorReward_3014004_7,"2,3"
3014004,索菲,8,8000,,"1000002,10","10000138,1",,FavorReward_3014004_8,"1,3"
3014004,索菲,9,9600,,"1000002,10","10000139,1",,FavorReward_3014004_9,"2,4"
3014004,索菲,10,0,,"1000002,10","10000140,1",,FavorReward_3014004_10,4
3014005,弥生,0,100,,0,,,FavorReward_3014005_0,
3014005,弥生,1,200,,"1000002,10","10000251,1",,FavorReward_3014005_1,"1,1"
3014005,弥生,2,400,,"1000002,10","10000252,1",,FavorReward_3014005_2,"2,1"
3014005,弥生,3,800,,"1000002,10","10000253,1",,FavorReward_3014005_3,3
3014005,弥生,4,1600,,"1000002,10","10000254,1",,FavorReward_3014005_4,"2,2"
3014005,弥生,5,3200,,"1000002,10","10000255,1",,FavorReward_3014005_5,"1,2"
3014005,弥生,6,4800,,"1000002,10","10000256,1",,FavorReward_3014005_6,
3014005,弥生,7,6400,,"1000002,10","10000257,1",,FavorReward_3014005_7,"2,3"
3014005,弥生,8,8000,,"1000002,10","10000258,1",,FavorReward_3014005_8,"1,3"
3014005,弥生,9,9600,,"1000002,10","10000259,1",,FavorReward_3014005_9,"2,4"
3014005,弥生,10,0,,"1000002,10","10000260,1",,FavorReward_3014005_10,4
3014006,恋花,0,100,,0,,,FavorReward_3014006_0,
3014006,恋花,1,200,,"1000002,10","10000621,1",,FavorReward_3014006_1,"1,1"
3014006,恋花,2,400,,"1000002,10","10000622,1",,FavorReward_3014006_2,"2,1"
3014006,恋花,3,800,,"1000002,10","10000623,1",,FavorReward_3014006_3,3
3014006,恋花,4,1600,,"1000002,10","10000624,1",,FavorReward_3014006_4,"2,2"
3014006,恋花,5,3200,,"1000002,10","10000625,1",,FavorReward_3014006_5,"1,2"
3014006,恋花,6,4800,,"1000002,10","10000626,1",,FavorReward_3014006_6,
3014006,恋花,7,6400,,"1000002,10","10000627,1",,FavorReward_3014006_7,"2,3"
3014006,恋花,8,8000,,"1000002,10","10000628,1",,FavorReward_3014006_8,"1,3"
3014006,恋花,9,9600,,"1000002,10","10000629,1",,FavorReward_3014006_9,"2,4"
3014006,恋花,10,0,,"1000002,10","10000630,1",,FavorReward_3014006_10,4
3014009,桃,0,100,,0,,,FavorReward_3014009_0,
3014009,桃,1,200,,"1000002,10","10000521,1",,FavorReward_3014009_1,"1,1"
3014009,桃,2,400,,"1000002,10","10000522,1",,FavorReward_3014009_2,"2,1"
3014009,桃,3,800,,"1000002,10","10000523,1",,FavorReward_3014009_3,3
3014009,桃,4,1600,,"1000002,10","10000524,1",,FavorReward_3014009_4,"2,2"
3014009,桃,5,3200,,"1000002,10","10000525,1",,FavorReward_3014009_5,"1,2"
3014009,桃,6,4800,,"1000002,10","10000526,1",,FavorReward_3014009_6,
3014009,桃,7,6400,,"1000002,10","10000527,1",,FavorReward_3014009_7,"2,3"
3014009,桃,8,8000,,"1000002,10","10000528,1",,FavorReward_3014009_8,"1,3"
3014009,桃,9,9600,,"1000002,10","10000529,1",,FavorReward_3014009_9,"2,4"
3014009,桃,10,0,,"1000002,10","10000530,1",,FavorReward_3014009_10,4
3014011,艾斯塔利亚,0,100,,0,,,FavorReward_3014011_0,
3014011,艾斯塔利亚,1,200,,"1000002,10","10000581,1",,FavorReward_3014011_1,"1,1"
3014011,艾斯塔利亚,2,400,,"1000002,10","10000582,1",,FavorReward_3014011_2,"2,1"
3014011,艾斯塔利亚,3,800,,"1000002,10","10000583,1",,FavorReward_3014011_3,3
3014011,艾斯塔利亚,4,1600,,"1000002,10","10000584,1",,FavorReward_3014011_4,"2,2"
3014011,艾斯塔利亚,5,3200,,"1000002,10","10000585,1",,FavorReward_3014011_5,"1,2"
3014011,艾斯塔利亚,6,4800,,"1000002,10","10000586,1",,FavorReward_3014011_6,
3014011,艾斯塔利亚,7,6400,,"1000002,10","10000587,1",,FavorReward_3014011_7,"2,3"
